method,n,imp_V0,tr_V0,pval0,imp_V1,tr_V1,pval1,imp_V2,tr_V2,pval2,imp_V3,tr_V3,pval3,imp_V4,tr_V4,pval4,imp_V5,tr_V5,pval5,imp_V6,tr_V6,pval6,imp_V7,tr_V7,pval7,imp_V8,tr_V8,pval8,imp_V9,tr_V9,pval9,imp_V10,tr_V10,pval10,imp_V11,tr_V11,pval11,imp_V12,tr_V12,pval12,imp_V13,tr_V13,pval13,imp_V14,tr_V14,pval14,imp_V15,tr_V15,pval15,imp_V16,tr_V16,pval16,imp_V17,tr_V17,pval17,imp_V18,tr_V18,pval18,imp_V19,tr_V19,pval19,imp_V20,tr_V20,pval20,imp_V21,tr_V21,pval21,imp_V22,tr_V22,pval22,imp_V23,tr_V23,pval23,imp_V24,tr_V24,pval24,imp_V25,tr_V25,pval25,imp_V26,tr_V26,pval26,imp_V27,tr_V27,pval27,imp_V28,tr_V28,pval28,imp_V29,tr_V29,pval29,imp_V30,tr_V30,pval30,imp_V31,tr_V31,pval31,imp_V32,tr_V32,pval32,imp_V33,tr_V33,pval33,imp_V34,tr_V34,pval34,imp_V35,tr_V35,pval35,imp_V36,tr_V36,pval36,imp_V37,tr_V37,pval37,imp_V38,tr_V38,pval38,imp_V39,tr_V39,pval39,imp_V40,tr_V40,pval40,imp_V41,tr_V41,pval41,imp_V42,tr_V42,pval42,imp_V43,tr_V43,pval43,imp_V44,tr_V44,pval44,imp_V45,tr_V45,pval45,imp_V46,tr_V46,pval46,imp_V47,tr_V47,pval47,imp_V48,tr_V48,pval48,imp_V49,tr_V49,pval49,tr_time
LOCO-W,200,-24.45181795018334,0.0,0.6671107586519701,9.179554808303076,1.0,0.43183933936113783,146.14137723494042,0.0,2.2467787442415066e-05,-85.03642153282193,0.0,0.9739398900335661,-53.56466005894151,0.0,0.8602588802923137,29.189303444907566,0.0,0.2680342217073043,-24.42196802902681,0.0,0.678943984311954,-69.93433796148841,0.0,0.962256170461674,-58.64146971860785,0.0,0.8719361946617619,15.969412778546689,0.0,0.3926284771127252,-83.69917659282174,1.0,0.9500708907883952,1.7659997196310826,0.0,0.48690551724383924,53.68892778485331,0.0,0.1352759503839014,-60.08868722595157,1.0,0.864808079631853,-125.35674345791398,0.0,0.9942301964649565,-65.00256538045946,1.0,0.9477692488751491,-76.65971948863887,0.0,0.933917868142557,132.71313703934948,0.0,0.0009661332430023206,-47.055386931716654,0.0,0.818747583577685,-24.371863381736564,0.0,0.6777799975312713,54.51921637887301,1.0,0.16523819629705083,-56.4779633626711,0.0,0.8608868705800783,19.79335999823694,1.0,0.35975054494926584,-45.82235371527081,0.0,0.817168995962648,-79.75429201879955,0.0,0.9603807650993206,-45.97407506437314,0.0,0.794606160336491,66.20867275994661,0.0,0.07059872709079751,-112.35333248369729,1.0,0.9996129557196649,0.4030306452132724,0.0,0.4973274507234461,51.82445513234938,0.0,0.14175097181888174,-34.62357529341636,1.0,0.7312807726421908,-14.788700363953517,0.0,0.6060035226923022,-113.60864774848302,1.0,0.9948123568121165,-69.26324006888609,0.0,0.9285604262273489,82.2224682725615,0.0,0.04370526406662645,-40.86176542777682,0.0,0.7874962538785536,-43.11861545359811,1.0,0.816805342003428,42.31311413589839,0.0,0.20121479973514256,-88.36780825599652,0.0,0.9768570759574725,-18.26026699009598,0.0,0.6434508743792121,-71.89935993011495,0.0,0.9743550577685905,-94.93550998932032,0.0,0.9929213513184241,-55.52160489006374,1.0,0.8901908377179808,40.931812195224275,0.0,0.20781889299161782,45.958025379828335,0.0,0.16260832905873834,-67.97829838297486,0.0,0.9396882031181538,-29.980124389681617,1.0,0.7388222405509601,-72.81630723048802,0.0,0.9235838000667479,76.98898609120091,0.0,0.07804835296470614,-55.628017088628894,0.0,0.8207488944177544,140.4409694671631
LOCO-W,500,-19.91003735908697,0.0,0.8798742703493136,5.489799934814846,1.0,0.36797637417745777,8.34079258814247,0.0,0.28474894390602556,-2.8374025517103783,0.0,0.5557626446764086,14.111458746848678,0.0,0.19712142244049158,-8.399336874233871,0.0,0.6654931161584658,6.881052952427406,0.0,0.3462947845377098,0.22218753009927458,0.0,0.49440723802471354,0.21855270008756594,0.0,0.495667590843039,16.944776467548408,0.0,0.14423192288256848,4.658766410758841,1.0,0.40040363205687124,-31.91578376528037,0.0,0.964559922511786,6.351087132637989,0.0,0.3587140802090736,11.619500588090686,1.0,0.23260622161543676,11.591198252155495,0.0,0.2435032211995457,14.58200274499372,1.0,0.21668399060643873,-10.793501859218509,0.0,0.740798366765115,143.03277007300724,0.0,0.0,-3.7180732823683527,0.0,0.5778710670954785,44.025335456115116,0.0,0.00807081403543386,0.9975204253101546,1.0,0.4734259298712439,-19.109163765748825,0.0,0.8428981579928092,-0.9561365424656527,1.0,0.5248045461856896,-3.4349817578449033,0.0,0.5659392419976761,-12.440191527570319,0.0,0.7656649235543138,-24.297887587714765,0.0,0.9106467863966969,-6.113422752661647,0.0,0.6252780923469544,7.639591939547173,1.0,0.3348880809231123,-26.675145020245992,0.0,0.9591401022983387,5.417197199810509,0.0,0.3968908137313031,10.765647523263986,1.0,0.27978867235051463,-24.806727628630938,0.0,0.955464271741141,19.7600248729428,1.0,0.08308868291644567,12.916335196206019,0.0,0.24970318709112194,22.128024406531782,0.0,0.1290678152869651,-6.451174849571848,0.0,0.635413805482173,3.2669450711566945,1.0,0.4307238119948993,-6.751098832053054,0.0,0.6491597338031755,-3.629795948424198,0.0,0.579596987762215,0.44632663432212144,0.0,0.4909578236215052,7.369213924714524,0.0,0.3099318152820738,-61.57914476713433,0.0,0.999693781241464,-24.0574319562091,1.0,0.9155693441667561,12.66855609233043,0.0,0.22378609619526935,2.2242483571638374,0.0,0.4492080382107082,-42.39974696289553,0.0,0.9976134531625565,11.764920381774617,1.0,0.24057437259867243,-3.9296852311581527,0.0,0.5892852182521282,-3.566759129334478,0.0,0.5770329282035571,-3.683120429370359,0.0,0.5838897058053066,293.5008854866028
LOCO-W,1000,74.73438168206233,0.0,2.4049948365356677e-05,32.32095864304334,1.0,0.03778884079317224,-8.897869289723014,0.0,0.6561485059273727,1.6233172723204488,0.0,0.46988035563359,44.5509260237144,0.0,0.01472968222751958,-20.93264253054727,0.0,0.8775189854530745,-23.34595272221549,0.0,0.9116373318390453,6.792353482648119,0.0,0.3826497212316894,38.739396318331615,0.0,0.01006623866736045,16.242723543069754,0.0,0.20929222548680304,4.177401993242412,1.0,0.3843742154020484,-31.466415856005927,0.0,0.9616475465432438,31.22004419022951,0.0,0.03891942098914869,-12.301965494404369,1.0,0.7543638378113571,17.671535343606426,0.0,0.19233242475379464,64.00023054716192,1.0,0.0005340283563611825,-27.052072290021453,0.0,0.9209487253955722,8.152865497026287,0.0,0.3210409277050692,-177.24116611172468,0.0,1.0,-124.9180677027247,0.0,0.9999999999999993,-2.3181460816136776,1.0,0.5513792334953187,9.073511362097356,0.0,0.35207076888252287,-15.259811548048113,1.0,0.7939566333207524,7.179166903151943,0.0,0.34207245741612224,70.30679319130432,0.0,0.0005606100760893185,-47.31581817252451,0.0,0.9852256845425406,-39.94593339343078,0.0,0.9841430782735233,5.400359685590368,1.0,0.3717278405084157,-3.4501830858057394,0.0,0.5828545840441188,-65.14907962819312,0.0,0.9998770161362416,27.75602794953168,1.0,0.06954910255103708,47.58038523547812,0.0,0.0071136058775053135,-5.851373617278021,1.0,0.6358184542583867,-17.38858281379618,0.0,0.8110783696637921,-67.4539761260668,0.0,0.9999172312385786,-0.667375002498201,0.0,0.5146532423603003,-30.801049412537957,1.0,0.953831601562224,45.12406297460873,0.0,0.005745347093277786,-1.685380689792625,0.0,0.5377524901862293,-16.32808573398828,0.0,0.8075457845819507,-42.54828662612757,0.0,0.9846949912423089,39.23313218746592,0.0,0.037958039307975144,-17.787477724803267,1.0,0.8060179685159621,52.129653691317735,0.0,0.002285807271408591,3.040803571506407,0.0,0.403906942323748,-15.193192115681011,0.0,0.7685671185714318,-21.361530416425953,1.0,0.8868839725646498,-9.79537534990642,0.0,0.6630883195533075,30.306652749790363,0.0,0.0863371914964246,-36.47795860697786,0.0,0.9887608934218554,576.7792992591858
LOCO-W,5000,59.89955483894476,0.0,3.3306690738754696e-16,62.61779447369369,1.0,5.181632900530531e-12,-17.044669786434614,0.0,0.9892635323137569,-80.57791859744327,0.0,1.0,10.38740796498704,0.0,0.10487899434372716,-60.59018386384243,0.0,0.9999999999776638,-69.36767500659313,0.0,0.9999999999999967,-4.002651021017607,0.0,0.662457001178249,-5.656909001732873,0.0,0.7414482715927202,-3.0504087353548446,0.0,0.6660104363274517,57.79036409068362,1.0,1.1156187085248348e-11,-24.71099187393169,0.0,0.9978137319346032,126.0730885652585,0.0,0.0,26.757356609347294,1.0,0.0004154351749018348,-76.27080758949049,0.0,1.0,-1.2188537879661918,1.0,0.5538287292078579,3.8324649182973585,0.0,0.3339092706116943,6.103487943717656,0.0,0.24142971487379028,-28.588033160675224,0.0,0.9998771630058282,-81.53201066046746,0.0,1.0,-0.5951146107843581,1.0,0.5340294466359423,-4.28117755296459,0.0,0.7017974962862071,-19.281935663879004,1.0,0.9954416918175115,-27.76430076131791,0.0,0.9994116302404363,-32.72128325275137,0.0,0.9999555838227675,13.973732956849055,0.0,0.04171040833644979,24.664711554913517,0.0,0.0016071676476229202,77.33748160494338,1.0,0.0,-6.070890843433044,0.0,0.7274209776175673,5.0162638161188955,0.0,0.2968310733596591,10.544898390723047,1.0,0.05566773422385418,-108.44371736784659,0.0,1.0,-1.6918975959044724,1.0,0.597192523858936,-74.64988727156069,0.0,1.0,-3.3645559696072893,0.0,0.6776413551018386,-31.268013726795036,0.0,0.9999806541704309,55.889258440097606,1.0,2.9233260256944504e-10,-6.996731442107962,0.0,0.7704351918876542,85.15857188947452,0.0,0.0,-31.653416713674375,0.0,0.9999274756930256,34.318939216603326,0.0,1.0830418906260242e-05,-76.4343623961748,0.0,1.0,-4.042241522412232,1.0,0.6991119738949828,-5.108062867902991,0.0,0.706060067661377,-21.272496793911,0.0,0.9965959952217534,-57.736148415604575,0.0,0.9999999999670265,-24.066789362175374,1.0,0.9995373085655027,2.691448274650449,0.0,0.37789505342705076,-8.332812180840637,0.0,0.8305339000346091,126.46852943024518,0.0,0.0,3082.2044389247894
CPI,200,0.16510658560397928,0.0,0.14106487503324255,0.39444176868011027,1.0,0.04136049278806221,-0.2932989163900288,0.0,0.9544682948620408,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.19195724813624793,0.0,0.8727135257547731,0.0,0.0,1.0,0.0,0.0,1.0,-0.14087657256825992,1.0,0.8433781132993436,7.505485097067179,0.0,0.09087917658749561,0.0,0.0,1.0,-0.5396522293511623,1.0,0.9562136011081401,0.022149618084569056,0.0,0.1566218867006372,0.28786484430642645,1.0,0.3185814386315977,0.0,0.0,1.0,-0.11578198116040994,0.0,0.8433781132993381,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.16274182488984934,0.0,0.1566218867006483,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.085656159451986,0.0,0.15662188670065413,0.6816916732678067,0.0,0.37015584746072905,-36.1242794083594,1.0,0.9350546609461293,0.0,0.0,1.0,0.0,0.0,1.0,-0.9306196892566447,1.0,0.737277405915966,-0.23120212984844102,0.0,0.8398737959354351,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.013202384496167952,0.0,0.5383352373263688,0.16550899545731568,0.0,0.2945083504745354,0.0,0.0,1.0,0.0,0.0,1.0,0.14491091864326222,0.0,0.1566218867006326,2.048143172487954,1.0,0.2714246329162819,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.41507397337781526,1.0,0.9484701339799076,0.0,0.0,1.0,0.20919402057950265,0.0,0.15662188670065474,0.0,0.0,1.0,4.668310642242432
CPI,500,0.0023921013479935027,0.0,0.1578459872997816,2.30413354055608,1.0,0.06880946208718525,-0.003631593723611104,0.0,0.8421540127002802,-0.0032197662945918637,0.0,0.8421540127005573,-0.0156656215572184,0.0,0.5413228674862247,0.0036739336009361523,0.0,0.2940104813895149,0.0,0.0,1.0,-0.023759669825921037,0.0,0.8998982639507074,-0.14909978098003762,0.0,0.5832078754511856,-0.1364375745638995,0.0,0.8421540127006955,-0.16647600959899478,1.0,0.8483558127619117,-0.00565701939044061,0.0,0.7847931961035879,-0.3595844656811096,0.0,0.8289933182524551,2.5915220868245115,1.0,0.03257374129206064,-0.002034718329610996,0.0,0.51625536785642,-0.014819631978014058,1.0,0.5394359636271151,-0.4118101659384763,0.0,0.9628175171717571,0.0,0.0,1.0,0.0066081862346720754,0.0,0.15784598729871602,-0.017252776834880024,0.0,0.8421540127005439,0.36765454641883366,1.0,0.270856866754297,-0.011766545352429603,0.0,0.596544214859326,0.2463120892177244,1.0,0.44481507598427533,-0.5071092383886651,0.0,0.8583463239470592,0.0,0.0,1.0,-0.001447231733237686,0.0,0.8421540127043352,0.0,0.0,1.0,0.3551089595351016,1.0,0.15873989461819094,0.0,0.0,1.0,-0.028413189413498685,0.0,0.8962001904858931,0.044145500435661233,1.0,0.39980169336873156,0.004605515469648935,0.0,0.15784598730049992,0.008372840706954321,1.0,0.15784598729957988,0.02694962384248356,0.0,0.1578459872991439,0.0,0.0,1.0,0.007051406447857289,0.0,0.1578459873001949,0.08343002137530675,1.0,0.46078549688092846,-0.10811222832663248,0.0,0.8581974005556581,0.002733341032580938,0.0,0.15784598730107802,0.004232663044831497,0.0,0.1578459873000821,0.001413112486375212,0.0,0.41052760394185406,-0.006057196122071673,0.0,0.8775764779847399,-0.9030441775140048,1.0,0.9631838184004294,-0.006708632122666813,0.0,0.842154012701213,-0.0325394614330321,0.0,0.8637295654137673,1.851054491503703,0.0,0.13725588541712863,0.01954567466097501,1.0,0.4601155699381126,0.0,0.0,1.0,0.05423445839929286,0.0,0.15784598729931337,-0.029138891473081685,0.0,0.5368772825111353,9.226335048675537
CPI,1000,-0.04426119810429441,0.0,0.8465362456275314,-2.4136178265395642,1.0,0.8507814311744879,0.0007990663499128914,0.0,0.15825129612443956,-0.41364344786185825,0.0,0.8356876148742851,-0.035589160371273465,0.0,0.7147482773647515,0.0,0.0,1.0,-0.17378000906305147,0.0,0.8128755980586502,0.06501545934173691,0.0,0.15825129612782696,0.02172200887002873,0.0,0.15825129612755973,0.2840939076256461,0.0,0.07625484070324122,-0.0034543041018935128,1.0,0.7127022530743439,0.8553336335654365,0.0,0.1652999488217894,0.029907715165080617,0.0,0.23384690906253652,0.03341379884281537,1.0,0.2672500831150672,2.290103752269232,0.0,0.037527210156651704,0.0,1.0,1.0,0.0,0.0,1.0,0.2998590365229745,0.0,0.06881957589779822,0.9428041059508132,0.0,0.12587628231952047,0.0,0.0,1.0,-1.0664286775365213,1.0,0.8463558984028854,0.04413655706886743,0.0,0.4223406673350678,0.6104123162525923,1.0,0.12668944580200903,0.060160230265438486,0.0,0.09681125499459442,0.021743713702647938,0.0,0.15825129612775973,-0.033012543346757184,0.0,0.8806919844209482,-0.10352993255949627,0.0,0.5919890887875016,0.0611903373648488,1.0,0.4040305535801936,-0.04539024848952522,0.0,0.8542490055746036,-0.0012570620871485971,0.0,0.8417487038649676,1.2035523008380267,1.0,0.37473016612612353,-0.006948609096554037,0.0,0.841748703871575,-0.12729337480587333,1.0,0.9108767828679125,0.0,0.0,1.0,0.0,0.0,1.0,-0.01978177745542098,0.0,0.841748703871962,-2.381163191526639,1.0,0.6985252245565711,-0.023883518245497726,0.0,0.9416500951435282,0.022409611166892773,0.0,0.15825129612759609,0.04099630820419975,0.0,0.16577950721067936,-0.09372240581009805,0.0,0.8417487038720405,0.1430375993122368,0.0,0.15825129612789784,-0.22572583907361832,1.0,0.6432843757869124,-0.2595022417994812,0.0,0.9901630574356695,0.07060304452275545,0.0,0.15283454956160275,0.0,0.0,1.0,0.016238349273891117,1.0,0.1582512961280796,0.0008717734099832342,0.0,0.49621152743506436,-0.0426449497805379,0.0,0.8034832334585595,0.0,0.0,1.0,17.24669313430786
CPI,5000,-0.5522688150739725,0.0,0.9008251266161732,0.16357799610651114,1.0,0.02033185725239845,0.0028278369965732963,0.0,0.47648392082940216,0.0,0.0,1.0,0.17961850631334642,0.0,0.1044256983021386,0.15036336910077353,0.0,0.06293732916365481,-0.015733146004777154,0.0,0.7924900930280424,-0.06595275535053702,0.0,0.9169615831796389,0.04199404590460176,0.0,0.22627623868366636,-0.1659699580126528,0.0,0.6686875352990154,0.6066579879802418,1.0,0.18868447384360593,0.03169423950944861,0.0,0.3215917305166529,0.046597677344323074,0.0,0.3720748089279804,1.3451584711422413,1.0,0.0605974024525014,0.5014835656153309,0.0,0.06689073705689379,0.4395175560981386,1.0,0.1321030503972725,0.01591442300843937,0.0,0.35823558355510293,0.24940257725072001,0.0,0.08828908376087458,-0.02998449735844133,0.0,0.6924289669830286,0.09235740227171618,0.0,0.3159777646944534,-0.4061676524169684,1.0,0.9287231165605287,0.014370218423437109,0.0,0.4839756672234388,1.3112743105565698,1.0,0.04273420433246539,0.30731830113580827,0.0,0.0041457723126197684,-0.03399694822670085,0.0,0.841425429871453,0.04795308394989206,0.0,0.1606065150590265,0.18974851767785594,0.0,0.1016804896700858,0.3358954100611413,1.0,0.24826947069420985,0.11332581314786694,0.0,0.4576635515426636,-0.06064137834732719,0.0,0.6056719697458584,0.20833254737735274,1.0,0.424276413357823,-0.021396492471637885,0.0,0.5826216731562303,0.4437970607702084,1.0,0.10442047329560733,0.22326903623923045,0.0,0.107739150109247,-0.02436112259530887,0.0,0.8414254298711064,0.0,0.0,1.0,0.40071627238438623,1.0,0.12775584994951705,-0.3739943833023176,0.0,0.8631360203917597,-0.0023752485989518846,0.0,0.5681336948483623,0.04086822021051262,0.0,0.3315618457131622,0.12550415722552088,0.0,0.007951019861751531,0.1106297310969353,0.0,0.060872086648391534,0.8535165396333468,1.0,0.27432327885357927,0.012266503644468685,0.0,0.4465496467649655,-0.27443552162532114,0.0,0.8692963773614509,0.008847845254706499,0.0,0.4907401839187996,0.718378764415263,1.0,0.21297514770612608,-0.1370004619915619,0.0,0.9178908208851897,-0.025044905505325232,0.0,0.6566028294069033,-0.17414912133341431,0.0,0.8696546561914841,76.2485179901123
CPI_sqrt,200,0.16510658560397928,0.0,0.47040107344055,0.39444176868011027,1.0,0.43183240769474784,-0.2932989163900288,0.0,0.552009713457249,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,-0.19195724813624793,0.0,0.5341717697819887,0.0,0.0,0.5,0.0,0.0,0.5,-0.14087657256825992,1.0,0.5254191805472039,7.505485097067179,0.0,0.16454228407690458,0.0,0.0,0.5,-0.5396522293511623,1.0,0.5894785522099695,0.022149618084569056,0.0,0.4957756888105141,0.28786484430642645,1.0,0.457232692975959,0.0,0.0,0.5,-0.11578198116040994,0.0,0.5211336090286894,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.16274182488984934,0.0,0.4709269819580843,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,7.085656159451986,0.0,0.217998001396372,0.6816916732678067,0.0,0.43439467753608146,-36.1242794083594,1.0,0.918280771725025,0.0,0.0,0.5,0.0,0.0,0.5,-0.9306196892566447,1.0,0.6038129470417261,-0.23120212984844102,0.0,0.5399935441064958,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,-0.013202384496167952,0.0,0.5023865012448833,0.16550899545731568,0.0,0.47223439216399665,0.0,0.0,0.5,0.0,0.0,0.5,0.14491091864326222,0.0,0.47390109538431885,2.048143172487954,1.0,0.35316129652967204,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,-0.41507397337781526,1.0,0.5708629053261526,0.0,0.0,0.5,0.20919402057950265,0.0,0.4634034778777895,0.0,0.0,0.5,4.579378843307495
CPI_sqrt,500,0.0023921013479935027,0.0,0.49932531665151164,2.30413354055608,1.0,0.21846729729399883,-0.003631593723611104,0.0,0.5010233831594141,-0.0032197662945918637,0.0,0.5009075935361271,-0.0156656215572184,0.0,0.5039983427902447,0.0036739336009361523,0.0,0.49896699324289984,0.0,0.0,0.5,-0.023759669825921037,0.0,0.5066253098983459,-0.14909978098003762,0.0,0.5280119787824636,-0.1364375745638995,0.0,0.5351152704368811,-0.16647600959899478,1.0,0.5421216165937346,-0.00565701939044061,0.0,0.5015901524766646,-0.3595844656811096,0.0,0.5795836983794839,2.5915220868245115,1.0,0.17882002562215643,-0.002034718329610996,0.0,0.5005552243228054,-0.014819631978014058,1.0,0.5037855644261751,-0.4118101659384763,0.0,0.5989640398354571,0.0,0.0,0.5,0.0066081862346720754,0.0,0.4981417118615404,-0.017252776834880024,0.0,0.5048155416036665,0.36765454641883366,1.0,0.42759581709209143,-0.011766545352429603,0.0,0.503214680392664,0.2463120892177244,1.0,0.4691979097652863,-0.5071092383886651,0.0,0.606059771930763,0.0,0.0,0.5,-0.001447231733237686,0.0,0.5004084584303224,0.0,0.0,0.5,0.3551089595351016,1.0,0.4203756926770912,0.0,0.0,0.5,-0.028413189413498685,0.0,0.5079006934295222,0.044145500435661233,1.0,0.48889685937595145,0.004605515469648935,0.0,0.4987030557931734,0.008372840706954321,1.0,0.49764839384737447,0.02694962384248356,0.0,0.49252868141390566,0.0,0.0,0.5,0.007051406447857289,0.0,0.4980176921376854,0.08343002137530675,1.0,0.4852725256869466,-0.10811222832663248,0.0,0.5284842970658941,0.002733341032580938,0.0,0.4992292566933094,0.004232663044831497,0.0,0.49880774048050186,0.001413112486375212,0.0,0.49960252237676644,-0.006057196122071673,0.0,0.5017050009245604,-0.9030441775140048,1.0,0.6812158361838581,-0.006708632122666813,0.0,0.5018864012022058,-0.0325394614330321,0.0,0.5090032695914063,1.851054491503703,0.0,0.2756033867786212,0.01954567466097501,1.0,0.4951486066049182,0.0,0.0,0.5,0.05423445839929286,0.0,0.4852458138573837,-0.029138891473081685,0.0,0.5067314389675494,9.285711526870728
