method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,77.29697465896606,0.8604085560112182,1.0,0.9908661463034754,1.0,2.9762826341261928e-06,1.0,0.9999898626786652,1.0,2.314581532769644e-06,1.0,0.5735774769682692,1.0,0.998791875940486,1.0,0.9903387876336163,1.0,3.169964366556144e-07,1.0,0.9799827614810273,1.0,0.002428787152968459,1.0,2.523477685034692e-06,1.0,1.639185784552133e-06,0.0,0.8868804374897208,0.0,0.9992829871551308,0.0,0.9481630097084749,0.0,0.9999983260752627,0.0,0.3692471066280175,0.0,0.007364673497075036,0.0,0.9694016622261258,0.0,2.528386702971286e-05,0.0,2.2083236439485177e-07,0.0,0.00511708157405022,0.0,0.9999697634968332,0.0,0.006628467969450824,0.0,0.20362036735406375,0.0,0.8755763318141574,0.0,0.8168503792411357,0.0,1.212592486954378e-05,0.0,0.5099100514989033,0.0,7.575982030605388e-07,0.0,0.0025362336416180353,0.0,0.0019088826427569039,0.0,0.9999997923731995,0.0,0.7116303576376911,0.0,0.9999998592307886,0.0,3.1748930229280603e-07,0.0,0.45244937885604986,0.0,0.7013260439730863,0.0,1.4435418638214514e-08,0.0,0.9994429126219783,0.0,0.9997769501594133,0.0,0.9984818968733178,0.0,0.022237880937217458,0.0,0.0006628941663808785,0.0,0.6266970086112362,0.0,0.999988656087093,0.0,0.999890342656636,0.0,0.9364803638176074,0.0,0.999795375495502,0.0,0.00018099611941235771
CPI,300,4.227203369140625,0.8604085560112182,1.0,0.012270691231694657,1.0,0.773786507472921,1.0,0.11998413215918091,1.0,0.32203450244275217,1.0,0.004030945677675779,1.0,0.4425886615599081,1.0,0.04203449229222449,1.0,0.08683780088248477,1.0,0.001942885104906047,1.0,0.0010515190677276855,1.0,0.0009878299616687804,1.0,0.09531719399089233,0.0,0.7741366876712606,0.0,0.14746758108941155,0.0,0.5062115684078147,0.0,0.5900138217264451,0.0,0.9845572881774148,0.0,0.3043193404173763,0.0,0.5251643980700037,0.0,0.4601202454883775,0.0,0.6063877732045051,0.0,0.4140231894758209,0.0,0.33461842588059243,0.0,0.24541157719806556,0.0,0.9636434409481549,0.0,0.7575345380214695,0.0,0.35985850787616475,0.0,0.12302943484304113,0.0,0.9865173164723408,0.0,0.04738089313972371,0.0,0.45800553318193765,0.0,0.9288094442694372,0.0,0.44762492243501467,0.0,0.9977331080270431,0.0,0.7064758507313456,0.0,0.364550292690887,0.0,0.16908730238836256,0.0,0.18477620368336123,0.0,0.5037087769909085,0.0,0.6194195439879189,0.0,0.39149057436207935,0.0,0.971590660861988,0.0,0.0589991862245088,0.0,0.4847463083787302,0.0,0.2478542660357107,0.0,0.8696329513688514,0.0,0.7186218120748115,0.0,0.7311536954385098,0.0,0.9676924852938594,0.0,0.2433741714507246
CPI_sqrt,300,4.223282337188721,0.8604085560112182,1.0,0.30014307086563674,1.0,0.5054145303175438,1.0,0.40455659671497046,1.0,0.31912904538807996,1.0,0.2540727639821623,1.0,0.33667756389418374,1.0,0.2845675606499185,1.0,0.3018070814323731,1.0,0.050732224446792686,1.0,0.19972466450651521,1.0,0.22686324313031858,1.0,0.36607161268254623,0.0,0.5072584281230526,0.0,0.4793097413373674,0.0,0.5046217102293162,0.0,0.5157095730993618,0.0,0.5410230829715641,0.0,0.49662320498740004,0.0,0.501927754371377,0.0,0.4952859142381664,0.0,0.5016089570630289,0.0,0.517414512500449,0.0,0.508102928431017,0.0,0.4972022859012847,0.0,0.49665315418139505,0.0,0.5048870134507759,0.0,0.505523144386453,0.0,0.49352616755228296,0.0,0.5105083260082178,0.0,0.47591525398906187,0.0,0.4941290619776584,0.0,0.5010184622409388,0.0,0.5006074590653193,0.0,0.5025647211093542,0.0,0.5020133865350417,0.0,0.493650454696569,0.0,0.4880993238822664,0.0,0.5005287982131985,0.0,0.501878405301264,0.0,0.5186129293010396,0.0,0.49627005061404944,0.0,0.5025524787236032,0.0,0.5005706743555126,0.0,0.49959396186969096,0.0,0.5014366949864582,0.0,0.4991366276524197,0.0,0.5116476018982361,0.0,0.5022020307580992,0.0,0.506652284147523,0.0,0.4883331435077826
CPI_n,300,4.215029954910278,0.8604085560112182,1.0,0.0023561801619072036,1.0,0.45645012860995515,1.0,0.34365316479790753,1.0,0.012538761306742125,1.0,0.007186321892738677,1.0,0.5565753752209764,1.0,0.04931492081744456,1.0,0.019396267853587248,1.0,0.030400905125590988,1.0,0.004317046851983001,1.0,0.0008542402469878133,1.0,0.050816674907714444,0.0,0.34857922263788227,0.0,0.2584793300776095,0.0,0.4763203890618677,0.0,0.6034638841850918,0.0,0.6593584307516648,0.0,0.476116918228754,0.0,0.4990339828495035,0.0,0.46855345142908916,0.0,0.5194728248103427,0.0,0.5333148395236782,0.0,0.46866076651665245,0.0,0.42495063723693677,0.0,0.6511025426485259,0.0,0.5301203340728157,0.0,0.38662030871481784,0.0,0.4524889739837075,0.0,0.5725559352059592,0.0,0.3112649795025203,0.0,0.49021065613231507,0.0,0.46100578967921935,0.0,0.498687188142979,0.0,0.6346934005966587,0.0,0.525555040258009,0.0,0.554783832010501,0.0,0.49786497082456077,0.0,0.5173579854107967,0.0,0.5360646567992048,0.0,0.4545813580787304,0.0,0.507901987971341,0.0,0.5490347274913695,0.0,0.47320059436682343,0.0,0.5303035108115699,0.0,0.46889514027407125,0.0,0.4885633839774272,0.0,0.5878330658560001,0.0,0.5227672232993112,0.0,0.4975432520755352,0.0,0.22129699384992946
CPI_bt,300,4.391797780990601,0.8604085560112182,1.0,6.840173371678955e-08,1.0,0.02267648803087328,1.0,0.010359014788782334,1.0,0.027555670661757906,1.0,9.54998703955652e-06,1.0,0.884141802211797,1.0,0.012554919114499869,1.0,0.007795126120810173,1.0,0.02249169329135716,1.0,2.664697779284309e-05,1.0,1.8778742289182976e-05,1.0,0.20589621639782146,0.0,0.4811142867640893,0.0,0.3188254532667323,0.0,0.56032315499009,0.0,0.6829416406943842,0.0,0.5956223661307498,0.0,0.45849637007761984,0.0,0.49576130467192875,0.0,0.5462941157027483,0.0,0.5207406254264849,0.0,0.5037693488980463,0.0,0.49480030246535656,0.0,0.4131062098416243,0.0,0.5221988092582134,0.0,0.5536510231534089,0.0,0.4911389259081183,0.0,0.4518335441741729,0.0,0.6325455722603334,0.0,0.3193075069077391,0.0,0.45550461864240244,0.0,0.4943172160958683,0.0,0.5627690318374389,0.0,0.42557700779072405,0.0,0.55477094020725,0.0,0.508298154619597,0.0,0.375914816393011,0.0,0.5141866771623771,0.0,0.5314173699873385,0.0,0.4703385503607422,0.0,0.5213955308124013,0.0,0.5509912976749369,0.0,0.5021838240563313,0.0,0.5375379061175117,0.0,0.4672439410588523,0.0,0.5207458923449901,0.0,0.6300093847577317,0.0,0.4474685709867248,0.0,0.5660010433314023,0.0,0.2101019124014531
CPI_sqd,300,4.387689590454102,0.8604085560112182,1.0,2.7457936458441027e-46,1.0,0.08090153223418312,1.0,3.6373396518357334e-06,1.0,0.8238674510096303,1.0,1.7257350394895693e-08,1.0,0.28398411216325736,1.0,0.0032423881924880994,1.0,0.01599030697489943,1.0,0.6385952324134222,1.0,7.574672588000522e-14,1.0,3.649987586232181e-15,1.0,4.5242919850790286e-07,0.0,0.715998606647697,0.0,1.639760504361902e-43,0.0,0.9999999999999994,0.0,0.9999999999999938,0.0,1.0,0.0,0.018830986759212704,0.0,0.00015783627722548252,0.0,5.44301179856716e-23,0.0,1.0,0.0,1.2067906332054112e-07,0.0,1.2341167467700325e-12,0.0,1.059250023385307e-31,0.0,0.9548703923965707,0.0,1.0,0.0,7.42639789308119e-13,0.0,1.8178782463294062e-07,0.0,1.0,0.0,1.7926922653315385e-71,0.0,2.1460209725828888e-17,0.0,1.0,0.0,0.00016779060729785745,0.0,1.0,0.0,0.004399486054531083,0.0,6.720174374539088e-43,0.0,0.24052005739292714,0.0,0.940769732882499,0.0,0.5324318366493013,0.0,0.9649447975047698,0.0,7.611694060410628e-88,0.0,1.0,0.0,1.1937739280418777e-38,0.0,0.9999999999999886,0.0,8.329809673615787e-22,0.0,0.9998877115068093,0.0,1.0,0.0,0.9999999777902626,0.0,1.0,0.0,6.210615816589138e-54
S-CPI,300,4.619682312011719,0.8604085560112182,1.0,9.484237729407863e-06,1.0,0.7396207326568403,1.0,0.015091382684838103,1.0,0.08842699258579573,1.0,0.008306183170353771,1.0,0.7392822619843485,1.0,0.1360014747402521,1.0,0.1646901510822743,1.0,0.6307495217346331,1.0,1.968943066942874e-05,1.0,0.00042864575434083623,1.0,0.25700796741203413,0.0,0.24156576430595172,0.0,0.19523343427220224,0.0,0.6893166302352463,0.0,0.7976802193770778,0.0,0.9690832053914925,0.0,0.05315009449873205,0.0,0.5349366695898458,0.0,0.17967569843156223,0.0,0.8901014224407031,0.0,0.6731281561546856,0.0,0.5200556586049327,0.0,0.10507901901574879,0.0,0.9287568416307128,0.0,0.7133631961924549,0.0,0.32295717800014023,0.0,0.007687486721538076,0.0,0.9908086179402771,0.0,0.11583085417338157,0.0,0.3605558117681297,0.0,0.7355709589494337,0.0,0.8048408532422577,0.0,0.9500827107096965,0.0,0.6304895400084622,0.0,0.6094593189359646,0.0,0.16703878695969088,0.0,0.6878426192982111,0.0,0.8195922700267149,0.0,0.790554026048142,0.0,0.6381211261851422,0.0,0.7053516895371942,0.0,0.14832743315950647,0.0,0.8457351557790238,0.0,0.3337207975739247,0.0,0.7892564809430133,0.0,0.840685178583638,0.0,0.9250931699685396,0.0,0.5896209349209426,0.0,0.015201217732644236
S-CPI_sqrt,300,4.6182944774627686,0.8604085560112182,1.0,0.1871079317493074,1.0,0.5633290342924745,1.0,0.3184338371918024,1.0,0.40771635354155233,1.0,0.2893396635870349,1.0,0.5589090503190007,1.0,0.2799024081374304,1.0,0.3413510125815684,1.0,0.480650527492724,1.0,0.07344460290251725,1.0,0.08026933125940544,1.0,0.3639576026158378,0.0,0.48367740763269174,0.0,0.4830033269265494,0.0,0.5047772153428828,0.0,0.513401044241878,0.0,0.5499837032491577,0.0,0.4974069110953433,0.0,0.5011240136463015,0.0,0.4975860999875308,0.0,0.5078353906258256,0.0,0.5169458342371084,0.0,0.5013980729972374,0.0,0.4871513227094104,0.0,0.5095505011016638,0.0,0.5068007012550059,0.0,0.4972865687530376,0.0,0.493329136979372,0.0,0.5200469805211957,0.0,0.4747409125481401,0.0,0.49201350809437844,0.0,0.5100093623924709,0.0,0.5057904783452815,0.0,0.5066406938276906,0.0,0.5019348299387246,0.0,0.5054135342899017,0.0,0.4885864238445467,0.0,0.5015529720951836,0.0,0.5020430520360897,0.0,0.5125327270689166,0.0,0.48739800710431563,0.0,0.5071339785950043,0.0,0.4974524883476001,0.0,0.5023989582536351,0.0,0.49865992449284374,0.0,0.5014692996092357,0.0,0.5249043780967863,0.0,0.5067506882562716,0.0,0.5095090448345376,0.0,0.45692126328731464
S-CPI_n,300,4.615692138671875,0.8604085560112182,1.0,0.001336532332219283,1.0,0.571230023259885,1.0,0.06082390685293086,1.0,0.05274737217087891,1.0,0.04346826564268201,1.0,0.6058375647094083,1.0,0.1324722493177672,1.0,0.145607298927459,1.0,0.34182886607235186,1.0,0.00026739156766471045,1.0,0.0023594236311945548,1.0,0.1924170940325729,0.0,0.4565070598739673,0.0,0.2747516520446283,0.0,0.5189115004935592,0.0,0.6354387456368173,0.0,0.8232475851291119,0.0,0.4618019553016676,0.0,0.5172497613626913,0.0,0.5136608176614164,0.0,0.5460992873973424,0.0,0.5865798636894591,0.0,0.47935592271480615,0.0,0.39587543018518373,0.0,0.5685816444113155,0.0,0.5978780337607833,0.0,0.5007789898614899,0.0,0.44714381035260276,0.0,0.6708455725691443,0.0,0.3375977573202994,0.0,0.4904006269653522,0.0,0.5616571630450612,0.0,0.5530011412441945,0.0,0.6986676993504978,0.0,0.48792579436482053,0.0,0.5160846227330259,0.0,0.43715698747191756,0.0,0.5055790546632052,0.0,0.5337280804941176,0.0,0.5636243762305311,0.0,0.43026109364849896,0.0,0.5076323028165503,0.0,0.4704901950997203,0.0,0.5652006600131507,0.0,0.47950119538955666,0.0,0.5191972784157938,0.0,0.6296314711202066,0.0,0.5602518313572865,0.0,0.5740666370502631,0.0,0.27924017524151157
S-CPI_bt,300,4.7933855056762695,0.8604085560112182,1.0,3.060325610687637e-08,1.0,0.9165145449746115,1.0,9.900507397899068e-05,1.0,0.16748094381722028,1.0,0.008836280871913973,1.0,0.6202224798405226,1.0,0.2523029109073446,1.0,0.2101520426558015,1.0,0.20546359855499763,1.0,0.0007042527784871229,1.0,0.00018008312446332508,1.0,0.2675141763735679,0.0,0.3649520388421591,0.0,0.2972549519401001,0.0,0.5335263073578148,0.0,0.7498801702548079,0.0,0.9246262879257454,0.0,0.4776098468481743,0.0,0.5023179144095371,0.0,0.48058402068182315,0.0,0.5523979048562551,0.0,0.5108368826832234,0.0,0.49606699928769166,0.0,0.4066547485917478,0.0,0.562064919652506,0.0,0.6148286943339234,0.0,0.5198073390408966,0.0,0.43844382685785716,0.0,0.6805545108380491,0.0,0.16964276388065508,0.0,0.49311742671473807,0.0,0.5854540226081729,0.0,0.5670414380144704,0.0,0.63007752838687,0.0,0.5347466387243864,0.0,0.5364433252582829,0.0,0.4099456831789239,0.0,0.506243386293755,0.0,0.5524302296485878,0.0,0.7384048818297294,0.0,0.46087765345168863,0.0,0.580812113887955,0.0,0.4641221743030214,0.0,0.5656639910789039,0.0,0.5055586875772657,0.0,0.5053444277636424,0.0,0.6950642229178876,0.0,0.5716171600617739,0.0,0.5643629582948462,0.0,0.14768428668140676
