method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,35.22325372695923,0.9614407338495411,1.0,0.783367914588829,1.0,0.5883481929661527,1.0,0.34587593514023296,1.0,0.22857942395266573,1.0,0.5082740444335541,1.0,0.7893176994709323,1.0,0.8506241499261289,1.0,0.597298162654244,1.0,0.1987582751922201,1.0,0.7755112653526914,1.0,0.3708585813911016,1.0,0.8034533629530158,0.0,0.9268351125871673,0.0,0.24056794032869488,0.0,0.1958437632687946,0.0,0.4566576634441766,0.0,0.12491949863067842,0.0,0.2182087320780287,0.0,0.15877299777697895,0.0,0.19887994245292762,0.0,0.014334218555928091,0.0,0.22357115905984704,0.0,0.3379047580482516,0.0,0.2127567493264957,0.0,0.49659747832446555,0.0,0.31012822696951803,0.0,0.12119799421826483,0.0,0.49894813252116366,0.0,0.06861251896106912,0.0,0.4159228297392148,0.0,0.6663727388048137,0.0,0.21630684621639684,0.0,0.5785320194004124,0.0,0.7261846877404041,0.0,0.7481256815478989,0.0,0.40535524094779396,0.0,0.8281582242805468,0.0,0.09542611996596184,0.0,0.2888710413012521,0.0,0.25677910315331554,0.0,0.040462310142602154,0.0,0.3662257340269224,0.0,0.5881745443881061,0.0,0.19573469206075056,0.0,0.5745185512303533,0.0,0.18739031228375969,0.0,0.009157417741223917,0.0,0.39753328490473416,0.0,0.1016443251668726,0.0,0.6273863396060969
CPI,300,4.075768232345581,0.9614407338495411,1.0,0.017325214279276975,1.0,1.4613581468823636e-05,1.0,0.0013030693291115009,1.0,0.0007252720715370952,1.0,9.93279979995224e-05,1.0,9.332986871978754e-06,1.0,6.7973141526504855e-06,1.0,0.00046726584955397553,1.0,0.0191589504474093,1.0,3.46331561847218e-07,1.0,5.182880753428712e-05,1.0,6.92017851152567e-08,0.0,0.6973034244828835,0.0,0.0719417826780392,0.0,0.31159062272241234,0.0,0.7370133951323076,0.0,0.7850361198925742,0.0,0.5006186914070875,0.0,0.2524148464283673,0.0,0.6890823500084268,0.0,0.9133622197270104,0.0,0.0421298237028269,0.0,0.14048879383778845,0.0,0.28844067342496416,0.0,0.5857501131257282,0.0,0.35065562155438107,0.0,0.05127864838077419,0.0,0.798297119415157,0.0,0.8450488821207669,0.0,0.17969364508483482,0.0,0.49132945535666017,0.0,0.8679229426784612,0.0,0.05698702796114265,0.0,0.327435050284001,0.0,0.8167382201019833,0.0,0.8696874313606033,0.0,0.44057176194036085,0.0,0.023729395174459846,0.0,0.22123401542231869,0.0,0.8547201691737705,0.0,0.7471690656424959,0.0,0.4885462629822017,0.0,0.004362908946112578,0.0,0.10868098091779704,0.0,0.1407965641069207,0.0,0.49913748010538284,0.0,0.8249804759164026,0.0,0.13787934341030578,0.0,0.8412552485736915,0.0,0.4795490048315049
CPI_sqrt,300,4.0546324253082275,0.9614407338495411,1.0,0.24081576891930428,1.0,0.38114763275774916,1.0,0.27050504210558246,1.0,0.416536928497432,1.0,0.14111461487523852,1.0,0.15900979374935953,1.0,0.23561773161419702,1.0,0.30395324416163294,1.0,0.16656873994968702,1.0,0.13333028043075323,1.0,0.08981370797338306,1.0,0.11522839189823658,0.0,0.473009029103769,0.0,0.5029606849695295,0.0,0.5136013963833199,0.0,0.505264995526899,0.0,0.54401023546368,0.0,0.500297242116043,0.0,0.48876168750988563,0.0,0.5347059171599903,0.0,0.5316019719799502,0.0,0.48205647561258375,0.0,0.47984903140815927,0.0,0.5024874083926277,0.0,0.5028429864495793,0.0,0.47270297977304926,0.0,0.49643044677710824,0.0,0.5324615358015381,0.0,0.49536900831252273,0.0,0.5070514264818055,0.0,0.4785975235791008,0.0,0.5048147792401514,0.0,0.47422871036954706,0.0,0.4670258725376937,0.0,0.49498411074717014,0.0,0.49578666793514314,0.0,0.48731923688617973,0.0,0.4765809356579352,0.0,0.5007403995306199,0.0,0.5348372354416446,0.0,0.5011312321619569,0.0,0.49813374014343353,0.0,0.4682507938715811,0.0,0.4913151918639576,0.0,0.4944757060766518,0.0,0.521180485446802,0.0,0.5106712781844251,0.0,0.5008355561902895,0.0,0.5100464635442117,0.0,0.4868540187691702
CPI_n,300,4.054081439971924,0.9614407338495411,1.0,0.024643671133990297,1.0,0.004129375802370871,1.0,0.01648673332008227,1.0,0.008585916816222854,1.0,0.0009998048113950117,1.0,0.007930999141501669,1.0,0.0010748279752921127,1.0,0.02063009030384913,1.0,0.037115909867735886,1.0,0.0012317347728236512,1.0,0.00023590252521550183,1.0,0.0005118809400117689,0.0,0.34808481852118756,0.0,0.6031883651427049,0.0,0.5258268622662566,0.0,0.4546388413099243,0.0,0.6099622571591977,0.0,0.5601998947735989,0.0,0.522687368407788,0.0,0.7477822432363082,0.0,0.521244805480349,0.0,0.2946932786804243,0.0,0.3594141163315725,0.0,0.6423668405332151,0.0,0.492704352097586,0.0,0.44685633602175245,0.0,0.36769712740618066,0.0,0.6306721998377334,0.0,0.44510827310010986,0.0,0.4618550374144136,0.0,0.4633184207154893,0.0,0.5445832782989483,0.0,0.40255909909744525,0.0,0.22274649859587387,0.0,0.40774733373746086,0.0,0.5467387033897476,0.0,0.717754199026704,0.0,0.3783443278536611,0.0,0.5590481194994295,0.0,0.42905000318083325,0.0,0.5569238196540479,0.0,0.46353261117705824,0.0,0.3341814935149654,0.0,0.5103363686974512,0.0,0.6278984365881422,0.0,0.4811204740970608,0.0,0.652028393862367,0.0,0.40167418939245814,0.0,0.5323062771355449,0.0,0.3004142247275704
CPI_bt,300,4.239874839782715,0.9614407338495411,1.0,6.373966084715347e-06,1.0,0.0005826538756627839,1.0,1.0538915491818923e-05,1.0,0.029081465047776135,1.0,5.438970177978548e-16,1.0,6.416845402010118e-10,1.0,9.929593099926389e-09,1.0,6.977599445163442e-07,1.0,3.8688416329361246e-08,1.0,6.138959955506174e-16,1.0,1.0794952809246774e-10,1.0,4.367319249755092e-17,0.0,0.33267810568374534,0.0,0.32083809622413695,0.0,0.3957730401855938,0.0,0.6735370448099038,0.0,0.5323208600816574,0.0,0.7417243259461841,0.0,0.5194365795540855,0.0,0.6845697601886833,0.0,0.6393589884041222,0.0,0.1987584336307281,0.0,0.34013398717718246,0.0,0.7090654221905639,0.0,0.7590002013862549,0.0,0.2118485362878046,0.0,0.3520648189200767,0.0,0.7087820809318426,0.0,0.2933766164860643,0.0,0.3767290704527475,0.0,0.5762524052204455,0.0,0.635024622013736,0.0,0.2985685605841635,0.0,0.30684017548464465,0.0,0.5881978994926772,0.0,0.5707338759433119,0.0,0.5830974541476811,0.0,0.31062001915242465,0.0,0.2851151335940415,0.0,0.5363519390371344,0.0,0.5308900749263497,0.0,0.4861772632867934,0.0,0.23850201785752895,0.0,0.30292246273756185,0.0,0.5043278421397319,0.0,0.5746094637474395,0.0,0.42166074745036103,0.0,0.43953141003650137,0.0,0.6833180274197375,0.0,0.5035870148506169
CPI_sqd,300,4.234244346618652,0.9614407338495411,1.0,2.4294929508411816e-21,1.0,5.511098438466297e-57,1.0,9.925277595004869e-57,1.0,5.041325353518412e-60,1.0,1.3971251752493915e-23,1.0,1.1366604878103322e-30,1.0,6.807530103160649e-45,1.0,6.679215448839031e-15,1.0,1.1411582854697706e-18,1.0,4.4051659486498103e-26,1.0,2.4951532026365712e-14,1.0,7.181448718833586e-62,0.0,0.0014477074674725061,0.0,0.9995014962969874,0.0,3.7615878386166754e-76,0.0,0.9999999999999958,0.0,0.9999447427186238,0.0,1.0,0.0,1.872768598314948e-76,0.0,1.0,0.0,1.0,0.0,1.1998329199921765e-31,0.0,2.663756931509774e-24,0.0,1.0,0.0,1.0,0.0,4.860575596190596e-88,0.0,2.529762118635157e-53,0.0,1.0,0.0,0.05950338287714113,0.0,7.255889648702495e-15,0.0,1.0713499985850648e-05,0.0,1.0,0.0,3.583542838756128e-55,0.0,3.903024585484447e-52,0.0,9.094428828197764e-10,0.0,0.9992702056562387,0.0,0.39703739165894014,0.0,0.8762364952443934,0.0,0.999999998296857,0.0,0.5123207452339422,0.0,0.033431685718278065,0.0,0.5011066714577547,0.0,0.0,0.0,8.404130808133281e-40,0.0,0.744921711360961,0.0,0.9999999993739647,0.0,4.10753849714648e-68,0.0,4.50846593985313e-74,0.0,1.0,0.0,0.24528402793382448
S-CPI,300,4.224619388580322,0.9614407338495411,1.0,0.008953052046130776,1.0,0.004675688496082784,1.0,0.0024729141016994875,1.0,0.02459069182137271,1.0,8.825665037752514e-05,1.0,6.363971532861007e-06,1.0,0.005012854183409954,1.0,0.0391574156489819,1.0,0.005134661795985441,1.0,0.00010532340484774347,1.0,0.00010474550577850418,1.0,1.7082472707696613e-06,0.0,0.6782231917225895,0.0,0.45381459184108347,0.0,0.9216311874177487,0.0,0.735976154000778,0.0,0.8735586299822591,0.0,0.89882396939222,0.0,0.26442910524340724,0.0,0.9726028303700687,0.0,0.908270665341816,0.0,0.05962460486307031,0.0,0.222557898682041,0.0,0.9939183005088308,0.0,0.7695565405173257,0.0,0.02715714373192884,0.0,0.1903683988479405,0.0,0.9640944329035535,0.0,0.642002790183883,0.0,0.5668247554267042,0.0,0.7534335072284968,0.0,0.7042985734689786,0.0,0.1023349559879499,0.0,0.14787392204538286,0.0,0.7277291874183026,0.0,0.2116505255434863,0.0,0.9100784986001855,0.0,0.32343831896681374,0.0,0.29260589618774135,0.0,0.874867396921772,0.0,0.7461979817411805,0.0,0.8228964909225476,0.0,0.028385737599642222,0.0,0.2274513597050848,0.0,0.8193472822673851,0.0,0.5695347947571588,0.0,0.8888172361497935,0.0,0.15275809448334954,0.0,0.9485698772176501,0.0,0.6596474451877603
S-CPI_sqrt,300,4.224458932876587,0.9614407338495411,1.0,0.331759314769881,1.0,0.27350991339857456,1.0,0.23595974357447352,1.0,0.35308307175000686,1.0,0.14107830884210715,1.0,0.16061224596037676,1.0,0.18270715363120887,1.0,0.28508766245444933,1.0,0.2351757813297694,1.0,0.09749238637331248,1.0,0.1340212508624658,1.0,0.10653440955432619,0.0,0.522111982551202,0.0,0.4977138449457548,0.0,0.5463055500117076,0.0,0.525701612251339,0.0,0.5518954659009722,0.0,0.5327706353972931,0.0,0.4836235505939964,0.0,0.5712493902725462,0.0,0.5312006835986112,0.0,0.4760750374430633,0.0,0.48048290036405333,0.0,0.5960846796361546,0.0,0.5444233302358189,0.0,0.44190521936542687,0.0,0.48028169827310224,0.0,0.544166570856325,0.0,0.5047891336782702,0.0,0.49690892957405147,0.0,0.5278813322277934,0.0,0.538757831242309,0.0,0.4766148634715668,0.0,0.4852113704113995,0.0,0.503706358824099,0.0,0.49567485999032945,0.0,0.5075268318177513,0.0,0.4903785016233994,0.0,0.4901470255490022,0.0,0.5538997720253311,0.0,0.5209213552902805,0.0,0.5136937538816341,0.0,0.45472560343729423,0.0,0.49934865883988055,0.0,0.4967538572422667,0.0,0.5093651814752849,0.0,0.5341344588945296,0.0,0.4839828437359663,0.0,0.5356770172367739,0.0,0.5023062729595021
S-CPI_n,300,4.217357873916626,0.9614407338495411,1.0,0.028915304910062258,1.0,0.024390495384026524,1.0,0.014147817609484636,1.0,0.0657799762892944,1.0,0.0006411416391400303,1.0,0.00041247847589542867,1.0,0.019330280388747713,1.0,0.052171186829140404,1.0,0.010279138952925537,1.0,0.0010910874295726103,1.0,0.0018906330005299594,1.0,0.00031948322697054936,0.0,0.5842173442659622,0.0,0.5545176088729459,0.0,0.7031114871946711,0.0,0.7087308960954742,0.0,0.7837556384322383,0.0,0.6944485426276881,0.0,0.37436919789240025,0.0,0.7955586074093856,0.0,0.6016064938050742,0.0,0.2919291110768121,0.0,0.46881627306622026,0.0,0.9308428562638743,0.0,0.67239072351682,0.0,0.2859508919554222,0.0,0.4165526072057785,0.0,0.8399179168262816,0.0,0.5946202437723439,0.0,0.4532864954353881,0.0,0.6295320117525469,0.0,0.662161197576518,0.0,0.3643603875062176,0.0,0.34190544227649644,0.0,0.6614207711029993,0.0,0.46826833184918015,0.0,0.6356243996694546,0.0,0.38821912782780327,0.0,0.5239654927585563,0.0,0.7629819130900624,0.0,0.5166663414886044,0.0,0.6226052943881186,0.0,0.22017835539467778,0.0,0.4691521185429067,0.0,0.5266495196395798,0.0,0.4959509853225148,0.0,0.7527444180536756,0.0,0.35815414608145224,0.0,0.7071099644760787,0.0,0.6060903939616851
S-CPI_bt,300,4.404304027557373,0.9614407338495411,1.0,2.5151111176989236e-05,1.0,4.1192232338727745e-06,1.0,0.0002735377445963326,1.0,0.0043968780302791124,1.0,1.3558769157728755e-07,1.0,8.42020458256181e-11,1.0,1.7130140225122895e-05,1.0,0.0006374129912396591,1.0,0.00014054758501028014,1.0,2.4456026893046794e-08,1.0,5.020834157034937e-09,1.0,8.057437405089442e-12,0.0,0.6273045936598446,0.0,0.5140066349864507,0.0,0.8474811295975431,0.0,0.820648382806134,0.0,0.8945755514561562,0.0,0.8522190557782419,0.0,0.4132177568439217,0.0,0.9504430292105861,0.0,0.7813593670805506,0.0,0.15454625177788311,0.0,0.27157442389453346,0.0,0.9740310910687477,0.0,0.7737418427757696,0.0,0.1647643945275244,0.0,0.42119300193731485,0.0,0.8226944012211064,0.0,0.6604920617221857,0.0,0.5032384910956713,0.0,0.7598659716045693,0.0,0.704275735184635,0.0,0.408755905942869,0.0,0.27340496113596147,0.0,0.6316887868497761,0.0,0.46243524981450823,0.0,0.7214218110672903,0.0,0.20818051050030023,0.0,0.34698256639918845,0.0,0.827399605429132,0.0,0.5971036027212784,0.0,0.6910287507897702,0.0,0.19249480835644628,0.0,0.3171386402469718,0.0,0.5551605983652728,0.0,0.5542032176558841,0.0,0.7692775127460743,0.0,0.35095192362080296,0.0,0.8398897698642169,0.0,0.43414735045109837
