method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,123.09197688102722,0.7953981613165308,1.0,0.48275262225576177,1.0,0.08628537461802277,1.0,0.776083012797439,1.0,0.0052398273936291595,1.0,0.9969563629229573,1.0,0.6051289568597933,1.0,0.07552853945038684,1.0,0.024737598904678415,1.0,0.34004812621989755,1.0,0.27882832054987794,1.0,0.3210967153969301,1.0,0.0023519937626086396,0.0,0.568827839187382,0.0,0.017761350256119024,0.0,0.8536315798397645,0.0,0.02377197244341145,0.0,0.9052404410471213,0.0,0.9888648956706043,0.0,0.9972009944168465,0.0,0.9452616407828655,0.0,0.049071875458547964,0.0,0.9815092573730683,0.0,0.5301498857235603,0.0,0.41451557908582437,0.0,0.2970591649968687,0.0,0.012358532808792067,0.0,0.1928792004410229,0.0,0.03859798942429293,0.0,0.9915395557849045,0.0,0.14426019788710964,0.0,0.9204931060883079,0.0,0.2364733382304418,0.0,0.31860740999574544,0.0,0.9633181102582424,0.0,0.2625792216147761,0.0,0.0065673936641216235,0.0,0.36920863004696614,0.0,0.9610627522246825,0.0,0.3529767973540776,0.0,0.3305864689383047,0.0,0.8059321395403332,0.0,0.5177696967821286,0.0,0.3326066576482354,0.0,0.004140996322052559,0.0,0.9960602580357466,0.0,0.16731058649513475,0.0,0.701693829481949,0.0,0.9976530328553543,0.0,0.47966998915901937,0.0,0.003633122113998688
CPI,300,6.127762317657471,0.7953981613165308,1.0,0.3290574620866078,1.0,0.21481368177066018,1.0,0.02418672518697111,1.0,0.2550477087102274,1.0,0.2615832363308518,1.0,0.3935082884590783,1.0,0.002236039924519186,1.0,0.00026040438976736866,1.0,0.03226419562289392,1.0,0.06560753932362859,1.0,0.01358077867321802,1.0,0.009461652660000456,0.0,0.31648694318046505,0.0,0.8748392101890237,0.0,0.09132662579227485,0.0,0.24846591384728028,0.0,0.9107268792241916,0.0,0.8599509137535398,0.0,0.14020897677349242,0.0,0.07447353142490268,0.0,0.8553674606712796,0.0,0.42845402154626144,0.0,0.7667117547028572,0.0,0.3005121993700947,0.0,0.3457678702556741,0.0,0.034999785489929505,0.0,0.8582324598185853,0.0,0.5393468110403213,0.0,0.13377301808792885,0.0,0.12257604031857239,0.0,0.2669455801750943,0.0,0.7641340339633358,0.0,0.19526621237381664,0.0,0.10396987894203635,0.0,0.9384541797694747,0.0,0.7752566072540918,0.0,0.04179069438402655,0.0,0.9841572922676302,0.0,0.8118952238804062,0.0,0.0682778816858585,0.0,0.12515277091446847,0.0,0.3716965427199749,0.0,0.506075414986143,0.0,0.9372460103122324,0.0,0.7358564115970283,0.0,0.2689811319137938,0.0,0.0657011007477104,0.0,0.4080028608764053,0.0,0.5321935102753707,0.0,0.6160830406965885
CPI_sqrt,300,6.133809328079224,0.7953981613165308,1.0,0.4912752063054251,1.0,0.3129879809940248,1.0,0.40406440569754537,1.0,0.42981496117148354,1.0,0.387236105385855,1.0,0.3583233442513504,1.0,0.20808328649768298,1.0,0.12997955269931427,1.0,0.18553093824126865,1.0,0.33811936045321134,1.0,0.39181661490174285,1.0,0.35897575322132413,0.0,0.4922177692040678,0.0,0.5297046119489901,0.0,0.4959157367460764,0.0,0.5010875299023596,0.0,0.5073531277656196,0.0,0.5084465957986583,0.0,0.480374796085646,0.0,0.4977197657946807,0.0,0.5077222477596859,0.0,0.4953502187191176,0.0,0.49860088829390026,0.0,0.49868193037493264,0.0,0.4995190177231889,0.0,0.49951365292593797,0.0,0.49539303309400057,0.0,0.5026467316859827,0.0,0.49995157414026076,0.0,0.49559091128380933,0.0,0.5032131907078362,0.0,0.5091770246144222,0.0,0.49544482264372314,0.0,0.5001729330044447,0.0,0.5199230107582343,0.0,0.50880218063909,0.0,0.49279138671302564,0.0,0.5055361422189111,0.0,0.5042588490521749,0.0,0.4963319480570981,0.0,0.4981031970401428,0.0,0.5014173046023271,0.0,0.4970454564302163,0.0,0.4969399541347768,0.0,0.4966831721805302,0.0,0.49043559130690567,0.0,0.4719110796112891,0.0,0.5042577316565816,0.0,0.4935721640341391,0.0,0.4957974058759304
CPI_n,300,6.144346714019775,0.7953981613165308,1.0,0.3893279233463782,1.0,0.3076036050168094,1.0,0.09285265594831876,1.0,0.12071111942676988,1.0,0.09089834106098932,1.0,0.06044664675801126,1.0,0.008061321559207937,1.0,0.06524642135669545,1.0,0.02604937222216584,1.0,0.057031546179028655,1.0,0.01637562312071542,1.0,0.12800827375112372,0.0,0.40512266813112235,0.0,0.4722638774083934,0.0,0.5383432685786246,0.0,0.43085175725949554,0.0,0.646745611026373,0.0,0.5562172804951325,0.0,0.5138322660099667,0.0,0.4485252829762649,0.0,0.5573609857590516,0.0,0.3730622297787859,0.0,0.44571596277401765,0.0,0.44403244609843684,0.0,0.534235461863035,0.0,0.44213092908968066,0.0,0.5898018448798188,0.0,0.5025516312921439,0.0,0.35080250379854827,0.0,0.5402143890582506,0.0,0.4279224675653794,0.0,0.5625208073174615,0.0,0.48512318212070893,0.0,0.467793425201353,0.0,0.5506617661111695,0.0,0.5310852182990802,0.0,0.37018827651760877,0.0,0.5753021101847531,0.0,0.5063540646278878,0.0,0.5360428131479965,0.0,0.4875284282266105,0.0,0.44056900124213577,0.0,0.3915438631769387,0.0,0.6074693615441025,0.0,0.36286650906510914,0.0,0.4134295860314198,0.0,0.45026365759320996,0.0,0.4718158126551453,0.0,0.49862667642392006,0.0,0.4307447168161965
CPI_bt,300,6.306916952133179,0.7953981613165308,1.0,0.3548964349334467,1.0,0.042531757576369324,1.0,0.13878717201002083,1.0,0.003215151433016423,1.0,0.12334163240950785,1.0,0.0751351991041699,1.0,2.3407375450162325e-05,1.0,0.004170769397041738,1.0,0.020842954920533372,1.0,0.013047513483395846,1.0,0.0024951948219357747,1.0,0.0009425883964429218,0.0,0.37531245031324,0.0,0.5534594507864203,0.0,0.45091672732122673,0.0,0.5986974633562026,0.0,0.6518409353376307,0.0,0.6776935378251168,0.0,0.44074457519223803,0.0,0.45438704880899117,0.0,0.5570516932388485,0.0,0.37664903416708456,0.0,0.597965941350592,0.0,0.5643346899877999,0.0,0.47820011130198636,0.0,0.42772461097432946,0.0,0.45603426365413857,0.0,0.4917275547781771,0.0,0.28270674670037843,0.0,0.4262317308609628,0.0,0.4638693077237254,0.0,0.5835536474538633,0.0,0.5108204960148224,0.0,0.44912924761265327,0.0,0.5353333513753504,0.0,0.5903953883048809,0.0,0.4030632288324519,0.0,0.6781940637104443,0.0,0.5449875738319365,0.0,0.3929021213830276,0.0,0.4384464849558337,0.0,0.39523720207558966,0.0,0.5206723729394696,0.0,0.7583788194964979,0.0,0.4087619827123061,0.0,0.45874765947215035,0.0,0.38153636255140666,0.0,0.4708108981550138,0.0,0.4030219084997841,0.0,0.37636601437139067
CPI_sqd,300,6.318136930465698,0.7953981613165308,1.0,9.788567496207121e-20,1.0,0.0026992227015269696,1.0,1.4460997893622422e-161,1.0,5.9679515555367094e-15,1.0,1.4958590058820758e-11,1.0,0.05985334710504654,1.0,4.1004939426590126e-09,1.0,0.013637372811499494,1.0,0.0020153051128514185,1.0,4.320475129225236e-06,1.0,0.0004437210960792924,1.0,6.806390981029683e-35,0.0,0.003611495357319961,0.0,0.9999978832172531,0.0,0.7874779388183819,0.0,1.0,0.0,0.08094044162891872,0.0,1.0,0.0,0.9999982763748813,0.0,8.046689724797043e-29,0.0,1.3797604955958498e-05,0.0,9.07056735077399e-15,0.0,0.9999999805100858,0.0,6.291671867976348e-50,0.0,1.0,0.0,0.29371311263630895,0.0,1.0,0.0,0.9999999999991195,0.0,0.044573765692510633,0.0,0.9999999999999527,0.0,2.3935148053248434e-11,0.0,0.9894342775934396,0.0,1.225274912741153e-07,0.0,3.739757889052062e-13,0.0,0.9999999895129462,0.0,1.0,0.0,0.09374618586255173,0.0,1.0,0.0,0.9999990206502931,0.0,0.9868615294039831,0.0,0.9991174544003157,0.0,1.0,0.0,5.485377179138558e-50,0.0,1.0,0.0,1.4224066124374452e-53,0.0,7.0260688236479e-09,0.0,1.1493569982981312e-119,0.0,1.0,0.0,0.9999941075949208,0.0,0.9999761494287436
S-CPI,300,18.12799310684204,0.7953981613165308,1.0,0.4018042496235151,1.0,0.09193703434098305,1.0,0.03329347066612241,1.0,0.18164792145923891,1.0,0.06579447314418956,1.0,0.22967895361170348,1.0,0.0002790123360598926,1.0,0.0013762801004428666,1.0,0.2780000898765136,1.0,0.04599113441138552,1.0,0.15745275664301395,1.0,0.007604838688108385,0.0,0.43351192051149867,0.0,0.7466939787504646,0.0,0.4530886134293686,0.0,0.46279660336581513,0.0,0.9134568480232466,0.0,0.9770275001837665,0.0,0.27901225785052636,0.0,0.158989729238934,0.0,0.7862536414832753,0.0,0.19833340575525193,0.0,0.6750818588904719,0.0,0.39299671016587673,0.0,0.5814868112275628,0.0,0.4084525166456467,0.0,0.8035682642949746,0.0,0.43580644299008353,0.0,0.1797920435120155,0.0,0.17312341647675944,0.0,0.5859858072321867,0.0,0.7556319552835686,0.0,0.23931543222227453,0.0,0.17139735726129407,0.0,0.8272000365751394,0.0,0.7851844843520084,0.0,0.08710109440681724,0.0,0.9010452759863267,0.0,0.752985870640799,0.0,0.6484360792411,0.0,0.638076907421163,0.0,0.44294007312784733,0.0,0.3567802226079043,0.0,0.8868018648701936,0.0,0.3604466137378737,0.0,0.15143526298764898,0.0,0.08745448968252084,0.0,0.36002702904107137,0.0,0.5691234053642973,0.0,0.5646506461286164
S-CPI_sqrt,300,18.120253086090088,0.7953981613165308,1.0,0.4695334304641187,1.0,0.4191550644490265,1.0,0.36796120471659943,1.0,0.5197865245231328,1.0,0.3552988469394611,1.0,0.3571134979881747,1.0,0.14309471386560718,1.0,0.05889391444137947,1.0,0.3307465747292049,1.0,0.3174881748726459,1.0,0.3493427058662495,1.0,0.322514613652046,0.0,0.48595827840882466,0.0,0.5231367888578876,0.0,0.4918223671931517,0.0,0.5049198928932692,0.0,0.5308495840503782,0.0,0.5243217309051923,0.0,0.500153564289259,0.0,0.4882030890172961,0.0,0.5065126090819513,0.0,0.48464983710407494,0.0,0.4993901588452789,0.0,0.4930180953965041,0.0,0.49990037189949066,0.0,0.4968519564410365,0.0,0.5209814003460378,0.0,0.4964554518130355,0.0,0.47846038582004957,0.0,0.490797609558378,0.0,0.5008542669536595,0.0,0.5145576100810849,0.0,0.49383908931194626,0.0,0.4917399393984682,0.0,0.5161481855823365,0.0,0.5187604462258697,0.0,0.4821603213726863,0.0,0.519573391331168,0.0,0.5053280335623117,0.0,0.5069050797721021,0.0,0.4938000184207924,0.0,0.4962988806355527,0.0,0.47058071433339116,0.0,0.5271258637262142,0.0,0.4962260411792298,0.0,0.4908179665096388,0.0,0.47050130993726413,0.0,0.5033509214847638,0.0,0.4975867376653563,0.0,0.5052983788549963
S-CPI_n,300,18.127158164978027,0.7953981613165308,1.0,0.39117691283599426,1.0,0.1762670418229369,1.0,0.12731498343244085,1.0,0.64365052313418,1.0,0.0776274980675216,1.0,0.2802840027095583,1.0,0.0026342065573115984,1.0,0.0013278976982275792,1.0,0.2188866468093692,1.0,0.09732208513953677,1.0,0.1585085861624131,1.0,0.028330752469123758,0.0,0.4468348657486582,0.0,0.5599819800255389,0.0,0.44725814602130365,0.0,0.49788544323677647,0.0,0.6503674230674503,0.0,0.7077041023534598,0.0,0.4865131574535795,0.0,0.3848478831352946,0.0,0.5441872754520838,0.0,0.40142888872156934,0.0,0.489739807865071,0.0,0.5033924952990299,0.0,0.501407425816711,0.0,0.4680533033303926,0.0,0.601829286568504,0.0,0.44365687164562134,0.0,0.40667377852474995,0.0,0.4644465651874715,0.0,0.4518208850319623,0.0,0.585034910021899,0.0,0.4716343307153146,0.0,0.48572353299132665,0.0,0.6741424656811699,0.0,0.5443040230255871,0.0,0.36286869235089336,0.0,0.6160234129848478,0.0,0.5444490513110439,0.0,0.5318850752869569,0.0,0.4969762103734278,0.0,0.4599939109440811,0.0,0.44270511277188157,0.0,0.7322722306849542,0.0,0.5406994917367822,0.0,0.44461038413631837,0.0,0.33441746059478517,0.0,0.5067260275165946,0.0,0.5057031384842079,0.0,0.49159768097241424
S-CPI_bt,300,18.309636116027832,0.7953981613165308,1.0,0.20459920721519748,1.0,0.29033371897954774,1.0,0.024153759270734307,1.0,0.14875977413769853,1.0,0.15383161626614644,1.0,0.34135879756421056,1.0,4.921631804165412e-07,1.0,0.0011428978659780938,1.0,0.2697073057380526,1.0,0.006880172359446183,1.0,0.21966323545559086,1.0,0.0009383547929098838,0.0,0.40118406658163175,0.0,0.534363074432872,0.0,0.47365606291559775,0.0,0.39132522916361784,0.0,0.7692909264407533,0.0,0.8130986908230218,0.0,0.3819799297405308,0.0,0.3893295581214141,0.0,0.5698571914633427,0.0,0.3144777714762079,0.0,0.5820162449000345,0.0,0.4151364809316291,0.0,0.5288817313932026,0.0,0.4565932259572687,0.0,0.6859740036434572,0.0,0.49925662634993045,0.0,0.41144454994513946,0.0,0.45687907193715155,0.0,0.4692564113832149,0.0,0.650441103113916,0.0,0.40543528761027153,0.0,0.4529583619611185,0.0,0.6690060985036856,0.0,0.6091114345721246,0.0,0.31220579619417854,0.0,0.6253542251260611,0.0,0.5692271307934867,0.0,0.49312264854914656,0.0,0.47834056676863174,0.0,0.4391416939940668,0.0,0.4731736267135458,0.0,0.8295971596321441,0.0,0.4404809212943592,0.0,0.3307972779464017,0.0,0.3071506642747013,0.0,0.4841631562658414,0.0,0.5000422091937676,0.0,0.5241016852720726
