method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,846.8198671340942,0.9889460685809799,1.0,0.004209524004698428,1.0,0.1789774715612239,1.0,0.0002468149271653841,1.0,0.03872044021394083,1.0,0.03455537251719498,1.0,0.1804829929027547,1.0,0.00023347147941044089,1.0,0.31556473170432664,1.0,0.00013408730564157256,1.0,0.0032143351504354545,1.0,0.0001043065258085063,1.0,1.3132370535906546e-05,0.0,0.0012036536935210451,0.0,0.18427527275460687,0.0,0.2519831524776749,0.0,0.6779696855653332,0.0,0.42238611455244823,0.0,0.42196448016630184,0.0,0.9736141952385068,0.0,0.8989272325923287,0.0,0.38623276619115354,0.0,0.9968948035567023,0.0,0.005249490453552164,0.0,0.8651272800576403,0.0,0.43147869071172806,0.0,0.04703654176877381,0.0,0.5102582787723814,0.0,0.37600431080113483,0.0,0.2306910534515535,0.0,0.8221123849997369,0.0,0.4645686037921133,0.0,0.5178943751043217,0.0,0.06716379444126264,0.0,0.7573395543618053,0.0,0.29326501260437043,0.0,0.7108410181152933,0.0,0.9592691151534036,0.0,0.045837486426669516,0.0,0.01163190711488471,0.0,0.06425946362557466,0.0,0.13442164791127809,0.0,0.8701018680971764,0.0,0.46556337404310144,0.0,0.003555100239023057,0.0,0.8824486657644559,0.0,0.7935965267014939,0.0,0.9266128825156109,0.0,0.7765288284816022,0.0,0.12818714375783768,0.0,0.16192270721567126
CPI,300,16.13868808746338,0.9889460685809799,1.0,2.065733242962673e-08,1.0,0.0012170519487902075,1.0,4.1305847629625253e-05,1.0,2.849306044291691e-06,1.0,2.94937005895111e-06,1.0,7.993371359411697e-08,1.0,2.2815203586195436e-05,1.0,1.572285481745592e-07,1.0,6.382731853605816e-07,1.0,3.832333052256723e-07,1.0,8.854231292667315e-11,1.0,6.926502058685486e-06,0.0,0.7105916134630094,0.0,0.6947938612153924,0.0,0.7763736312296337,0.0,0.7228310937759252,0.0,0.7537010403138503,0.0,0.2681488733577666,0.0,0.81093803162443,0.0,0.9149509278671681,0.0,0.15697868047641267,0.0,0.04121927999982254,0.0,0.3951717031218999,0.0,0.1625782778130348,0.0,0.9794472575837126,0.0,0.4541801214693159,0.0,0.5233645554191015,0.0,0.8761117387419453,0.0,0.11934473439706189,0.0,0.6110554920454381,0.0,0.289038976494462,0.0,0.0294836066834227,0.0,0.4106005121454732,0.0,0.4567212889058883,0.0,0.2342933091840238,0.0,0.7897045344228126,0.0,0.9443772334229326,0.0,0.03948717402956433,0.0,0.7628914119430268,0.0,0.313079340488172,0.0,0.6083926098427813,0.0,0.039604826288757465,0.0,0.8327702626134417,0.0,0.3106802619328588,0.0,0.9771295762104074,0.0,0.9160616839546234,0.0,0.34883894742256705,0.0,0.1053382194390573,0.0,0.11674328928495165,0.0,0.006506479983610724
CPI_sqrt,300,16.14562678337097,0.9889460685809799,1.0,0.21895022696254085,1.0,0.2599128860602959,1.0,0.23712963959443667,1.0,0.29278376463194444,1.0,0.16780503874283026,1.0,0.11334880246558388,1.0,0.17895787745467978,1.0,0.1782477340311472,1.0,0.17039969747633565,1.0,0.11168042558701019,1.0,0.046425812235946655,1.0,0.06871521112440705,0.0,0.5000251605941765,0.0,0.5000232391660769,0.0,0.4996421134261112,0.0,0.4999808997052145,0.0,0.5001019893023415,0.0,0.49966459294679616,0.0,0.5001031091880461,0.0,0.5000785909767079,0.0,0.4998954503785464,0.0,0.4998660524125792,0.0,0.4998539392153957,0.0,0.49991580030495614,0.0,0.5000947231159473,0.0,0.5000695214446643,0.0,0.4999568353528265,0.0,0.500126003223819,0.0,0.4994463565255672,0.0,0.4999359102169339,0.0,0.4999082569992863,0.0,0.49999944036552935,0.0,0.5001185747943594,0.0,0.5002712623597225,0.0,0.49996849665752174,0.0,0.5000095750983351,0.0,0.5024137173139612,0.0,0.4998237746291175,0.0,0.5000556549649812,0.0,0.4997683126298725,0.0,0.5001315562752314,0.0,0.5008963057322079,0.0,0.5001108845125068,0.0,0.5001269255109079,0.0,0.5000700714083836,0.0,0.5002131770895787,0.0,0.500079055368958,0.0,0.49994383060180086,0.0,0.49995970793381495,0.0,0.4998016942446048
CPI_n,300,16.152143239974976,0.9889460685809799,1.0,0.00035249944834262804,1.0,0.003861738571176024,1.0,0.0031380504496438992,1.0,0.0021966601967790852,1.0,4.542338153316947e-05,1.0,1.5397446693488627e-05,1.0,0.0019833176469670776,1.0,0.0001999810172663261,1.0,0.0007473926500392435,1.0,9.514045777888855e-06,1.0,1.3786892595643558e-07,1.0,2.830934266286744e-06,0.0,0.501408141118101,0.0,0.5013341783599197,0.0,0.5211867882999983,0.0,0.5018204804192545,0.0,0.5009857191560916,0.0,0.49701851139796516,0.0,0.4997693525158116,0.0,0.5003545351637643,0.0,0.5000880944578178,0.0,0.49899684273283673,0.0,0.5002789081448848,0.0,0.4969415251627633,0.0,0.5009499762290684,0.0,0.5022757957659647,0.0,0.5006537622144064,0.0,0.5007082499693427,0.0,0.4984181415258741,0.0,0.5001686536462728,0.0,0.4998842930035428,0.0,0.5000282202542051,0.0,0.5008952243840594,0.0,0.5014904880360882,0.0,0.49810894738995753,0.0,0.5011256599381251,0.0,0.520628629896149,0.0,0.4986995497472124,0.0,0.5004414159338127,0.0,0.49891611393454566,0.0,0.5008301266961122,0.0,0.49094777438617354,0.0,0.502770197222359,0.0,0.5003225456196402,0.0,0.5000782692707703,0.0,0.5031756769958295,0.0,0.5015515883182665,0.0,0.4983251129753849,0.0,0.49936387859877823,0.0,0.49913782065126566
CPI_bt,300,16.319326639175415,0.9889460685809799,1.0,1.337658242775236e-16,1.0,1.0065640478836995e-06,1.0,5.752847123718054e-13,1.0,1.933308608841214e-05,1.0,4.3462131386410067e-13,1.0,4.670479244987814e-16,1.0,4.864500729553246e-10,1.0,1.1928013810095975e-15,1.0,1.2164095162596414e-13,1.0,3.1989507410475024e-33,1.0,6.336563403429798e-35,1.0,2.6235823532530548e-20,0.0,0.5005109045068646,0.0,0.5023489404164774,0.0,0.5039776610582885,0.0,0.5002576541195256,0.0,0.5014192939234484,0.0,0.500193725358332,0.0,0.5007011597459384,0.0,0.5008956954864013,0.0,0.4998849455792093,0.0,0.49901918800239164,0.0,0.497613183207502,0.0,0.4973818034650178,0.0,0.5000619516632141,0.0,0.49878762294959034,0.0,0.4990777497764148,0.0,0.5008606936907616,0.0,0.49896912688833467,0.0,0.49783337810584455,0.0,0.5003726996680948,0.0,0.5002174189411112,0.0,0.5017678637800893,0.0,0.49996157479050013,0.0,0.49720920266596524,0.0,0.5013337777685207,0.0,0.5261050161618321,0.0,0.49720407685541135,0.0,0.49973567837096966,0.0,0.4992408248573391,0.0,0.5018552376285902,0.0,0.4929556383646992,0.0,0.502095711682083,0.0,0.5001740059766819,0.0,0.5011226833456857,0.0,0.502901140346843,0.0,0.49967353606227977,0.0,0.5000380129012213,0.0,0.5005235011477204,0.0,0.4993290460642786
CPI_sqd,300,16.350807189941406,0.9889460685809799,1.0,0.0,1.0,1.0017933748154515e-66,1.0,0.0,1.0,1.2907237067497662e-142,1.0,4.236299318683756e-280,1.0,5.0010961607965795e-121,1.0,6.385126823655454e-72,1.0,1.5403619777810483e-184,1.0,5.776161705851208e-48,1.0,9.96460988437515e-50,1.0,5.955712768152052e-49,1.0,1.6316324181124417e-68,0.0,0.6247890675446115,0.0,0.426779984491848,0.0,0.22903857192518512,0.0,0.7470564514322716,0.0,0.6485367638293705,0.0,0.26514610140062445,0.0,0.436909763742048,0.0,0.6837396414774076,0.0,0.40109143778593703,0.0,0.424683580133212,0.0,0.41787653125492097,0.0,0.23750644963565098,0.0,0.5363032839609765,0.0,0.5147482428949552,0.0,0.5686633492432954,0.0,0.48163705176753935,0.0,0.34635136010114065,0.0,0.4292461492124954,0.0,0.47106303423459484,0.0,0.6234658387523071,0.0,0.6213520848786631,0.0,0.4990325838308,0.0,0.11297707522147421,0.0,0.6320675604715146,0.0,0.9899028492218125,0.0,0.2849522780860366,0.0,0.48349787537584354,0.0,0.3835334497175198,0.0,0.5131261457262875,0.0,0.0007276992288659059,0.0,0.6079478433568508,0.0,0.47960104853144303,0.0,0.5548374824427127,0.0,0.48358879308786695,0.0,0.538522814858579,0.0,0.4539318766693141,0.0,0.3116494793642006,0.0,0.3413446812274561
S-CPI,300,29.178590059280396,0.9889460685809799,1.0,3.1295886361365426e-05,1.0,0.000359255966084815,1.0,0.0002799888401803372,1.0,0.00036570148192823887,1.0,4.735072882234972e-06,1.0,1.1908923946203083e-06,1.0,0.0008510026898025574,1.0,3.6601796549031048e-09,1.0,0.0006346209479246286,1.0,4.0128059781728814e-08,1.0,5.2422241111446e-07,1.0,1.3276039362463776e-06,0.0,0.7701734422381219,0.0,0.4018862707034092,0.0,0.766157966593827,0.0,0.7358656553316242,0.0,0.9739734522200052,0.0,0.1378197874460036,0.0,0.8568079590321619,0.0,0.9434252879347677,0.0,0.4320075044902658,0.0,0.02414672678296137,0.0,0.3873860051242549,0.0,0.06842265974370292,0.0,0.9663503720483644,0.0,0.8030433214925197,0.0,0.6328132562337445,0.0,0.8945258107213067,0.0,0.3638227371905789,0.0,0.7114547542544043,0.0,0.5577354635865373,0.0,0.6360611219849365,0.0,0.5778803182095407,0.0,0.18036047920250464,0.0,0.10266543619493324,0.0,0.9612898561909209,0.0,0.9275011283652712,0.0,0.09859697809676632,0.0,0.2775770213520833,0.0,0.2971704408712308,0.0,0.5458106048682779,0.0,0.6629092403045902,0.0,0.8601384089586361,0.0,0.763029485490194,0.0,0.6740738178124848,0.0,0.9091424231502594,0.0,0.3160275470785029,0.0,0.21757029396772054,0.0,0.07765526412905116,0.0,0.05119486809926441
S-CPI_sqrt,300,29.20404887199402,0.9889460685809799,1.0,0.19686868793093076,1.0,0.27329801461477476,1.0,0.23439221466855747,1.0,0.31162937907670063,1.0,0.13479796889174012,1.0,0.12105194793078217,1.0,0.23401435680106786,1.0,0.09369442651681564,1.0,0.20472751430387048,1.0,0.05939455182676401,1.0,0.06854819698916564,1.0,0.06580225113868876,0.0,0.5002271964460397,0.0,0.4999430425419615,0.0,0.5011533384185212,0.0,0.5001586744364717,0.0,0.5002157776212577,0.0,0.499653837763123,0.0,0.5001089522105429,0.0,0.5002449088826283,0.0,0.49985287303632053,0.0,0.4997822149206441,0.0,0.4999905741971763,0.0,0.4998341382036748,0.0,0.5001303920730128,0.0,0.5000240338316605,0.0,0.5000868923658094,0.0,0.5002641220190985,0.0,0.49990153068786647,0.0,0.5001774146523505,0.0,0.5000896253744178,0.0,0.49995954971499834,0.0,0.5002555796407658,0.0,0.49999810706236403,0.0,0.4994342936393275,0.0,0.5002605267061032,0.0,0.5032402090865967,0.0,0.4995691225931501,0.0,0.4999781160751375,0.0,0.49995796995202957,0.0,0.5001739987561121,0.0,0.5000945127518741,0.0,0.5001188008328253,0.0,0.5000332641459494,0.0,0.5000480873131256,0.0,0.5003407707175291,0.0,0.4998841751573582,0.0,0.49993251628867263,0.0,0.4999430534674123,0.0,0.4996413347018587
S-CPI_n,300,29.183090209960938,0.9889460685809799,1.0,0.006610940923741248,1.0,0.014624967039580654,1.0,0.007812267408013475,1.0,0.029971454647255293,1.0,0.000777036749979534,1.0,4.1050198057779875e-05,1.0,0.005515073287262018,1.0,5.160670418706004e-05,1.0,0.00440321917485655,1.0,4.0805633453941565e-06,1.0,3.8884815153048986e-05,1.0,3.5310278264892525e-05,0.0,0.5007981228632465,0.0,0.5013613927665734,0.0,0.5160802402389859,0.0,0.5025791382498028,0.0,0.5015371908748374,0.0,0.497433450396452,0.0,0.5015008032257842,0.0,0.5020563350217965,0.0,0.4984821806987612,0.0,0.49861642217855984,0.0,0.4986768807061985,0.0,0.4976751096583328,0.0,0.5008579257517355,0.0,0.4996321411393387,0.0,0.5002763214604397,0.0,0.5012591038439991,0.0,0.4978308738567619,0.0,0.5009293875576729,0.0,0.5013679366341967,0.0,0.4997587055238178,0.0,0.4986507020025726,0.0,0.4996840060478513,0.0,0.49630797948800665,0.0,0.5018946564962604,0.0,0.5213352832292758,0.0,0.4970156920676085,0.0,0.4995882813962179,0.0,0.4995603808983722,0.0,0.5013130920895883,0.0,0.5165325780902267,0.0,0.5014167114754057,0.0,0.49964821907497914,0.0,0.500773597991066,0.0,0.5022099278140776,0.0,0.4994162161729725,0.0,0.49874015913684205,0.0,0.49881175915844295,0.0,0.4967106296666971
S-CPI_bt,300,29.404945135116577,0.9889460685809799,1.0,1.236634619432771e-09,1.0,3.711783016289878e-09,1.0,2.9364916763602963e-08,1.0,5.167311045900129e-07,1.0,2.1022008136233004e-19,1.0,9.091057856669325e-16,1.0,1.923210755096948e-08,1.0,6.387786073483525e-19,1.0,3.454021950926981e-08,1.0,1.1408211218559296e-14,1.0,9.515823914909486e-12,1.0,1.6769035887780258e-13,0.0,0.5010087469040166,0.0,0.500786162808756,0.0,0.5084245232128067,0.0,0.5009939712624617,0.0,0.5019809758376605,0.0,0.4965938763491179,0.0,0.5011400504522645,0.0,0.5011561462382415,0.0,0.49952452032183825,0.0,0.4977769096662264,0.0,0.4987539872363884,0.0,0.4981353001246951,0.0,0.5016009619361467,0.0,0.5038689230889469,0.0,0.5003907545056518,0.0,0.5015628868576746,0.0,0.49954052963057666,0.0,0.5003045571599696,0.0,0.5014275106795556,0.0,0.4994578960531757,0.0,0.5013422508774198,0.0,0.4992848800842978,0.0,0.49539576856816747,0.0,0.5012277464377962,0.0,0.5235749664337366,0.0,0.49718838042083946,0.0,0.49839000838395286,0.0,0.5008162042134917,0.0,0.5014832595251562,0.0,0.5040325743215128,0.0,0.502391105585766,0.0,0.500516904857411,0.0,0.5013480082634145,0.0,0.5014404186739452,0.0,0.4997479417255189,0.0,0.4983813790286021,0.0,0.49949864767236624,0.0,0.49587016804191664
