method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.377397060394287,0.9888933070211023,1.0,0.26120992357302497,1.0,0.06699462266160416,1.0,0.002061505767174121,1.0,0.7599592874687757,1.0,0.3745246477304389,1.0,0.0031738051840791703,1.0,0.020161727649857242,1.0,1.918666487521481e-05,1.0,0.007608820355777812,1.0,0.0034548546720089,1.0,0.0010233773652943423,1.0,0.014412219730832287,0.0,0.952876423441957,0.0,0.1485828089723915,0.0,0.0726728075077695,0.0,0.02954477827621138,0.0,0.8736558488567061,0.0,0.9363724966372395,0.0,0.5769437203814676,0.0,0.2261784811089349,0.0,0.48723163134050973,0.0,0.8559208609243554,0.0,0.6973515516638132,0.0,0.5430648037985952,0.0,0.14401188392182973,0.0,0.7869525427647686,0.0,0.3355306057601948,0.0,0.5922356911857236,0.0,0.0313917378659061,0.0,0.1545054545342881,0.0,0.6121821422095917,0.0,0.7412396581604026,0.0,0.8627692436703293,0.0,0.6865939501874007,0.0,0.2808222248329969,0.0,0.2404760373418342,0.0,0.004428412296750728,0.0,0.4525416654450676,0.0,0.991496927932437,0.0,0.7979654578881802,0.0,0.13356693662253716,0.0,0.9071188700886789,0.0,0.08564263512543646,0.0,0.37292897881183507,0.0,0.7085387754731165,0.0,0.6721402779860001,0.0,0.11888576350810642,0.0,0.8137595053007707,0.0,0.9523530060687596,0.0,0.6952605742153323
CPI,300,3.210604429244995,0.9888933070211023,1.0,0.0009348778982314859,1.0,3.2234137481436524e-05,1.0,1.4511345344121915e-06,1.0,1.2386029524053881e-05,1.0,1.5768612926916417e-05,1.0,6.708244686909181e-06,1.0,9.540358538691602e-07,1.0,4.094830263409993e-09,1.0,6.8030651562775356e-09,1.0,4.872867171509562e-10,1.0,7.528081921304209e-08,1.0,5.705381656389529e-09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.330726360407694,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1394072504007708,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6749513274338704
CPI_sqrt,300,3.199934482574463,0.9888933070211023,1.0,0.30219016713227287,1.0,0.277421516828814,1.0,0.19870409398973143,1.0,0.32356026949297734,1.0,0.229116401212913,1.0,0.2576615146720763,1.0,0.260672729397769,1.0,0.11272733157796022,1.0,0.10724723206449582,1.0,0.04894940157350819,1.0,0.06608863613158023,1.0,0.08453105512411169,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49398586553880736,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5015641006804951,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5013053057108353
CPI_n,300,3.2027499675750732,0.9888933070211023,1.0,0.02174155386593021,1.0,0.006323570942541359,1.0,0.0013341454632628063,1.0,0.005422450438788562,1.0,0.003156913912035308,1.0,0.001811416997009178,1.0,0.0005876039749519849,1.0,7.772908492888653e-05,1.0,7.740008083069432e-05,1.0,1.2922956812462025e-05,1.0,1.270076815812808e-06,1.0,3.593927060367508e-06,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5268057991653516,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49223813007570844,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5126359394202034
CPI_bt,300,3.385430335998535,0.9888933070211023,1.0,0.0006058129951465116,1.0,8.716713882324484e-07,1.0,1.4611779307851833e-10,1.0,3.984469869609646e-08,1.0,1.1149534416977802e-12,1.0,7.429282555390713e-12,1.0,2.315804871124235e-08,1.0,6.316826922898712e-13,1.0,5.2008133635828904e-17,1.0,1.2741585596241848e-16,1.0,3.297985800445444e-25,1.0,1.703599738738109e-14,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4855280528677803,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4969596951240681,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.471136813912806
CPI_sqd,300,3.3793540000915527,0.9888933070211023,1.0,1.7566626039911208e-151,1.0,8.431328953650122e-152,1.0,1.9244296461254064e-77,1.0,0.0,1.0,1.1233671846987694e-79,1.0,1.8661040188363215e-41,1.0,2.6433637958778947e-68,1.0,1.0464604797887031e-72,1.0,1.9174825022469482e-88,1.0,3.4933432173619787e-37,1.0,2.061897701119332e-100,1.0,2.4622769248404795e-49,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,2.095056828443003e-27,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.05814076906643505,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.999707268904467
S-CPI,300,3.3035075664520264,0.9888933070211023,1.0,0.0024788482907541123,1.0,2.6152368285104995e-05,1.0,4.598208147977661e-05,1.0,0.0001987024769904724,1.0,0.00010650579347857649,1.0,0.0007225253532627303,1.0,2.0276292077466332e-05,1.0,4.64622533399943e-06,1.0,2.606803642730582e-08,1.0,7.109654666534394e-07,1.0,9.69700939395902e-09,1.0,3.16514266079579e-08,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.12593184740572244,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.2507379250106809,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.1540852583304615,0.0,0.6206329964081461
S-CPI_sqrt,300,3.304332971572876,0.9888933070211023,1.0,0.3433702167286342,1.0,0.2936084648423276,1.0,0.2162217778721791,1.0,0.28485868613809695,1.0,0.22202341902783868,1.0,0.306752208367556,1.0,0.22564228834211747,1.0,0.12269994001710738,1.0,0.1393091475267671,1.0,0.08624080243104537,1.0,0.07122678658220985,1.0,0.049429384625736365,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.4968095286581319,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.4995264096899243,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.49999999999999994,0.0,0.5013411348034114
S-CPI_n,300,3.303584098815918,0.9888933070211023,1.0,0.07147683479278744,1.0,0.021302706412709718,1.0,0.004277005387111971,1.0,0.009814283742245475,1.0,0.00413395315996512,1.0,0.020736003368776776,1.0,0.006336662391679264,1.0,0.000962423680411512,1.0,0.00013196859588571048,1.0,0.00011758137199539248,1.0,1.2281237268470143e-06,1.0,8.04330557485114e-06,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4619020754419619,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4930318489976037,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.5128268281301133
S-CPI_bt,300,3.4869723320007324,0.9888933070211023,1.0,0.0003600167161005265,1.0,1.0894292992865281e-06,1.0,2.213252349898722e-09,1.0,1.9794916968206676e-06,1.0,3.6918215788436956e-11,1.0,2.0472506336247996e-07,1.0,1.5887119403406912e-08,1.0,4.73387515397705e-16,1.0,9.756269479678065e-13,1.0,4.318363400941241e-13,1.0,2.0773022172301326e-24,1.0,2.1729211314256196e-25,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4576609234847992,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4962857267499018,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4999999999999993,0.0,0.4890849129528898
