method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,70.06739044189453,-0.11843939700600181,0.0,0.6751847954936248,0.0,0.0021861336168882417,0.0,0.021606959249454993,0.0,0.018072272717434057,0.0,0.9999999938978115,0.0,1.5457676250107966e-09,0.0,0.7557055619885638,1.0,0.9999999723479922,0.0,5.825668078718316e-06,0.0,6.737290725311595e-10,0.0,0.9989319207596191,0.0,0.5989061913295719,0.0,0.0005840109925380199,0.0,1.1561483104216563e-08,0.0,0.9999998386617543,0.0,2.059142867671948e-05,0.0,0.9843616152305681,0.0,0.9816407426766286,0.0,1.3557188471846615e-07,0.0,0.5463694405386741,0.0,7.448198791060179e-08,0.0,0.8681610308473129,0.0,0.9997201997862923,0.0,6.045057875381232e-07,0.0,0.9519410939680794,0.0,0.17196142558508842,0.0,3.2748429414697355e-05,0.0,3.6358663857427587e-07,0.0,0.017346068270784776,0.0,0.9926946244650464,0.0,0.9996057179215714,0.0,0.000593454565239071,0.0,1.519703918262394e-09,0.0,0.9999986090866625,0.0,0.9999997182225737,0.0,0.0041287866174798404,0.0,1.2340835099378111e-06,0.0,0.8101802650876933,0.0,5.8443434933774796e-05,0.0,0.9908659741822141,0.0,0.00031397700897017877,0.0,1.5537016118116753e-11,0.0,0.040070835073954925,0.0,5.9397405960393e-07,0.0,3.679173107284939e-07,0.0,0.9999999354794148,0.0,0.0007412322172672958,0.0,0.020736099407756448,0.0,0.9999966238064061,0.0,0.05444737064900629
CPI,300,4.214505672454834,-0.11843939700600181,0.0,0.9593644295775158,0.0,0.00842549044594815,0.0,0.41597624591811905,0.0,0.41491012188955056,0.0,0.7496149390353335,0.0,0.35992849590358716,0.0,0.6326221216174194,1.0,0.1071579221255009,0.0,0.9607350423481981,0.0,0.17350495380197656,0.0,0.8738826423121322,0.0,0.7528485133135125,0.0,0.14172653360485538,0.0,0.010090336200149892,0.0,0.10260394567038111,0.0,0.32198932388312734,0.0,0.4494235475699252,0.0,0.3619106586755044,0.0,0.6015857277430635,0.0,0.32572119523866405,0.0,0.3471886748732368,0.0,0.289608092254328,0.0,0.4549626023426074,0.0,0.2143122796440018,0.0,0.1472931868351881,0.0,0.21414870084928717,0.0,0.650269291480053,0.0,0.7009945913013087,0.0,0.4209180446693097,0.0,0.19717179651917,0.0,0.7959514904123091,0.0,0.7250121148905786,0.0,0.1935916303830314,0.0,0.1858020149406197,0.0,0.7348538986595908,0.0,0.7257291583730988,0.0,0.5382423483754524,0.0,0.0706787511575133,0.0,0.15704031361473159,0.0,0.5461404663782736,0.0,0.7292670804359453,0.0,0.9133567619943891,0.0,0.39880518579973506,0.0,0.5067848462918515,0.0,0.9377009738758315,0.0,0.7864675562839913,0.0,0.4528151575098992,0.0,0.8147890157889723,0.0,0.855287835907836,0.0,0.9445779379734316
CPI_sqrt,300,4.190839767456055,-0.11843939700600181,0.0,0.49823324583314504,0.0,0.48827846812688,0.0,0.49804563301243454,0.0,0.48734928935303573,0.0,0.5042775051425317,0.0,0.490786137890985,0.0,0.5200231631540232,1.0,0.4915635748388051,0.0,0.5307029002637197,0.0,0.5280890836880779,0.0,0.5188567531442996,0.0,0.5190513207446878,0.0,0.5112241237230871,0.0,0.4854628372953697,0.0,0.413795605864015,0.0,0.49947623539430414,0.0,0.44040052156241216,0.0,0.5105862540847513,0.0,0.5072581151390677,0.0,0.5159247919377824,0.0,0.4584050140077439,0.0,0.5063237570667689,0.0,0.4988739595722887,0.0,0.4929465169198008,0.0,0.4823372687142168,0.0,0.47582888854038735,0.0,0.5316205873863378,0.0,0.5054781952424923,0.0,0.5048855861639112,0.0,0.46344968404124853,0.0,0.5039221841513214,0.0,0.521800168239088,0.0,0.48176100258272464,0.0,0.4828751782676757,0.0,0.5053798888519171,0.0,0.5042912551578556,0.0,0.4907317927288761,0.0,0.4856806963449275,0.0,0.4738464731982421,0.0,0.4859078321101748,0.0,0.5380764851452613,0.0,0.480041159557314,0.0,0.5052243358565752,0.0,0.5111259139511859,0.0,0.5093708383652079,0.0,0.4900691753853406,0.0,0.5002682589157156,0.0,0.48857387016367926,0.0,0.4633124917275474,0.0,0.519787542961758
CPI_n,300,4.189123868942261,-0.11843939700600181,0.0,0.6458054589630291,0.0,0.44296299461090843,0.0,0.5440984648852694,0.0,0.2881068894039013,0.0,0.5997240320003193,0.0,0.5482200075274472,0.0,0.6819216928183298,1.0,0.0591412405034869,0.0,0.6255893033392936,0.0,0.5308594712902792,0.0,0.3852056401685777,0.0,0.3338748504884155,0.0,0.4031984198767201,0.0,0.4956999029093118,0.0,0.1943352588007205,0.0,0.5593572500708472,0.0,0.3715306753396963,0.0,0.6273412762923072,0.0,0.38526329533184356,0.0,0.4526104144381191,0.0,0.2919858949033016,0.0,0.545211463137419,0.0,0.4459662823323894,0.0,0.5791899264020522,0.0,0.3275565915941694,0.0,0.35234432491714074,0.0,0.7084483358819608,0.0,0.5715029956236338,0.0,0.41752274307510395,0.0,0.46122589245886103,0.0,0.6232960867163875,0.0,0.6682889555869739,0.0,0.4932816049868707,0.0,0.5663877519169794,0.0,0.512240324910172,0.0,0.6947094511022647,0.0,0.33782167441647726,0.0,0.41512015915608136,0.0,0.4757883976375888,0.0,0.43959848567711757,0.0,0.8161988939937154,0.0,0.4677999237762777,0.0,0.4309291486104643,0.0,0.24688608540524676,0.0,0.4608635981895943,0.0,0.6131091399067594,0.0,0.4889753763095198,0.0,0.4418795956000883,0.0,0.5539072426382781,0.0,0.41834426717564843
CPI_bt,300,4.3668811321258545,-0.11843939700600181,0.0,0.5911722811672496,0.0,0.2776807847335462,0.0,0.4609501777376938,0.0,0.32759711999056956,0.0,0.7101208364431703,0.0,0.49140995873115895,0.0,0.8047732444597744,1.0,0.00031059806414272947,0.0,0.8497816892613328,0.0,0.5816189248427446,0.0,0.43746581694128783,0.0,0.793531771173974,0.0,0.3575053507285274,0.0,0.46332569713417343,0.0,0.1146203989897352,0.0,0.6053781132847387,0.0,0.3786354048620599,0.0,0.6347688598781791,0.0,0.5000682978014832,0.0,0.7215184802455527,0.0,0.08248161357899159,0.0,0.3132435156712174,0.0,0.3804888794826995,0.0,0.5955085566454986,0.0,0.24995391049483073,0.0,0.28302426837357686,0.0,0.7241767845020068,0.0,0.5125047543698104,0.0,0.6260206671730564,0.0,0.3420304645327162,0.0,0.6188635325747296,0.0,0.584231735096429,0.0,0.26042957195465843,0.0,0.11990357081422326,0.0,0.5820383900450201,0.0,0.9986494742941492,0.0,0.3810025503825082,0.0,0.30636168000794034,0.0,0.35550254863994313,0.0,0.5762588519661487,0.0,0.7080679511492431,0.0,0.549701693329162,0.0,0.2800545263562454,0.0,0.27591864853084036,0.0,0.359341479590122,0.0,0.3335052737035158,0.0,0.4747487985179956,0.0,0.40565332547927385,0.0,0.19637454454467934,0.0,0.5927365236901758
CPI_sqd,300,4.374497413635254,-0.11843939700600181,0.0,1.0,0.0,3.715074960896807e-219,0.0,5.086764917277386e-78,0.0,3.032427223397478e-06,0.0,1.0,0.0,0.009419155191175008,0.0,1.0,1.0,6.722999034845677e-108,0.0,1.0,0.0,0.9998904604234219,0.0,0.9999999998963844,0.0,1.0,0.0,1.0,0.0,4.8740209436492745e-39,0.0,4.987899560716272e-189,0.0,1.0,0.0,0.0,0.0,0.8908514320231844,0.0,0.000459095920297031,0.0,1.4878714459313566e-11,0.0,0.0,0.0,0.999999999999999,0.0,0.0,0.0,1.0,0.0,2.3446157663016937e-177,0.0,3.081911569994183e-98,0.0,1.0,0.0,0.002541533713959532,0.0,1.0,0.0,0.9931669851239017,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.719498115696378e-199,0.0,0.9928101473280876,0.0,1.0,0.0,1.3280186801975344e-271,0.0,2.6924331873205963e-204,0.0,1.9941887843874637e-25,0.0,1.0,0.0,1.0,0.0,5.4436985183185386e-174,0.0,6.462652729127534e-141,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999994731631626,0.0,0.0,0.0,1.630827514802086e-13,0.0,1.0
S-CPI,300,4.63407826423645,-0.11843939700600181,0.0,0.8273308134055954,0.0,0.010047399557463118,0.0,0.3380114547945981,0.0,0.25572696100418607,0.0,0.8143342328853804,0.0,0.8944445306626949,0.0,0.8473431109613963,1.0,0.572396326762236,0.0,0.823652161702668,0.0,0.8555045773887886,0.0,0.5101748237585895,0.0,0.8887295606017609,0.0,0.36240191934461785,0.0,0.10747938951953423,0.0,0.11957774975769253,0.0,0.6397064055737625,0.0,0.10775003120595933,0.0,0.8270632648805374,0.0,0.44529302407574645,0.0,0.8003445847835838,0.0,0.09281591726051125,0.0,0.6798432307154886,0.0,0.22115111149632083,0.0,0.6588279506336671,0.0,0.10832889433048065,0.0,0.3994260378209956,0.0,0.6542247790758899,0.0,0.5765734478900145,0.0,0.6380475757726796,0.0,0.33812308815989545,0.0,0.8699921046985466,0.0,0.93443613255819,0.0,0.5279740405524289,0.0,0.7708026343979995,0.0,0.8638059549701586,0.0,0.9666367621105367,0.0,0.25783288261962145,0.0,0.007664876947803846,0.0,0.1613591259452889,0.0,0.3051570306831811,0.0,0.8761519938999397,0.0,0.6507372824590594,0.0,0.5375965524688339,0.0,0.47118409818685625,0.0,0.3612829400902317,0.0,0.7273397752957664,0.0,0.4927343296017082,0.0,0.4819357847181192,0.0,0.6279315442578072,0.0,0.8393193026876411
S-CPI_sqrt,300,4.634385347366333,-0.11843939700600181,0.0,0.5184474259264987,0.0,0.45752114978059266,0.0,0.49177712834066895,0.0,0.4905309942098985,0.0,0.515497311217507,0.0,0.5090114948272313,0.0,0.5585846522467972,1.0,0.45278713700481615,0.0,0.5280562617249723,0.0,0.5214173850985101,0.0,0.502809357803004,0.0,0.5392720433194507,0.0,0.5102138268422215,0.0,0.48141781334559003,0.0,0.4195791052977972,0.0,0.5002595519147588,0.0,0.45872751041829685,0.0,0.5154537541918014,0.0,0.4942543297734124,0.0,0.5180086904571085,0.0,0.4773251997314611,0.0,0.479613499537347,0.0,0.46900863109868984,0.0,0.4946240601685456,0.0,0.45770436042723517,0.0,0.4950849838487285,0.0,0.5128335703123937,0.0,0.5177753745661201,0.0,0.5094797265167608,0.0,0.5066848954147055,0.0,0.5154465536121099,0.0,0.58742577596903,0.0,0.4984152227956636,0.0,0.5660299206478243,0.0,0.511267121568588,0.0,0.6680354770258451,0.0,0.4805306938441865,0.0,0.4760926024087637,0.0,0.47921023672740426,0.0,0.4722266150188843,0.0,0.5426724625579533,0.0,0.5066866424021519,0.0,0.4973568986583983,0.0,0.4687738176389629,0.0,0.48049465977935757,0.0,0.507364319786564,0.0,0.5030744787768805,0.0,0.5021955964918249,0.0,0.4980686017676503,0.0,0.526832778263242
S-CPI_n,300,4.626244068145752,-0.11843939700600181,0.0,0.6130187115965442,0.0,0.2064344182446487,0.0,0.4250890349775731,0.0,0.3722968385936607,0.0,0.6271405282196459,0.0,0.6273604666621322,0.0,0.7379261404744034,1.0,0.3436048063912924,0.0,0.6956818042781416,0.0,0.6993726712323813,0.0,0.5286074419352625,0.0,0.6097609239377321,0.0,0.531672241862605,0.0,0.3471875500385424,0.0,0.24065723323534116,0.0,0.7057778859442078,0.0,0.29074418925622597,0.0,0.5804677351731446,0.0,0.472779113366632,0.0,0.6014686800100206,0.0,0.27826527949049096,0.0,0.4546110556536018,0.0,0.4276876773091857,0.0,0.4946708453946065,0.0,0.4023155353706959,0.0,0.3602940672511939,0.0,0.5532426447186913,0.0,0.660282845587055,0.0,0.5339728761295537,0.0,0.4964720761370373,0.0,0.7387643345036048,0.0,0.8243639662525584,0.0,0.4763144979570658,0.0,0.7661653262475978,0.0,0.6345218887904585,0.0,0.8907951396882523,0.0,0.4209463770379567,0.0,0.34600548632644534,0.0,0.44526479482356496,0.0,0.3857985593215856,0.0,0.7297726178952842,0.0,0.4775448335958399,0.0,0.507284267435399,0.0,0.5820215860042747,0.0,0.47878402889254706,0.0,0.4062167475467745,0.0,0.5218781039682837,0.0,0.5272828148133971,0.0,0.5452324110061965,0.0,0.5201126864723977
S-CPI_bt,300,4.804132461547852,-0.11843939700600181,0.0,0.657039510773805,0.0,0.14713017752839858,0.0,0.37140269764736866,0.0,0.47938569621691607,0.0,0.610013679667182,0.0,0.6782347433603699,0.0,0.9965532702937654,1.0,0.23645459559597065,0.0,0.9607912361812376,0.0,0.6823945831040361,0.0,0.600529648161666,0.0,0.8371321424483956,0.0,0.43574732031050734,0.0,0.24987716757120426,0.0,0.035410457222956,0.0,0.6643478998625265,0.0,0.08683405742960498,0.0,0.49009970660152447,0.0,0.4147700463891836,0.0,0.8206781113207078,0.0,0.06681339131425777,0.0,0.4204007879588897,0.0,0.2381649563719922,0.0,0.47566196960980117,0.0,0.11434225693914118,0.0,0.5446145438905586,0.0,0.748506947646825,0.0,0.758603843203059,0.0,0.593290884687082,0.0,0.5564544067584741,0.0,0.6583522092330962,0.0,0.980018725806578,0.0,0.4164161542192802,0.0,0.9400862313430273,0.0,0.5685400934101535,0.0,0.999999982446995,0.0,0.45643817217465976,0.0,0.3162411347972327,0.0,0.36713931458852433,0.0,0.6737985168376611,0.0,0.9246156718443561,0.0,0.4935161884382032,0.0,0.4222917785989819,0.0,0.3868901585114424,0.0,0.5105407572594152,0.0,0.45624722181851946,0.0,0.4728534826114378,0.0,0.5151035628456915,0.0,0.7398272661907489,0.0,0.9344180405069189
