method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,141.92219352722168,0.11040928531807548,0.0,0.665527844785091,0.0,0.9578157818437805,0.0,0.9921561551903836,0.0,0.9676509782693057,0.0,0.32422336881657854,0.0,0.6126985355690862,0.0,0.11951837961930445,0.0,0.5419150610787673,0.0,0.4629500642468455,0.0,0.9982868552775267,0.0,0.8879289493844789,0.0,0.3495857692598977,0.0,0.8058418399058829,0.0,0.7192809168623598,0.0,0.7702503560985386,0.0,0.0014083127039313803,0.0,0.09579498854406787,0.0,0.10810791633942296,0.0,0.9811179262176386,0.0,0.09576973389114674,0.0,0.4086488928307942,0.0,0.519235305790197,0.0,0.7576961929974841,0.0,0.06290388145864256,0.0,0.6872501513825298,0.0,0.23933282509572118,0.0,0.6696450744573083,0.0,0.638080382610895,0.0,0.9242494288996381,0.0,0.8338941944295921,0.0,0.6792561234480028,0.0,0.38100911537531623,0.0,0.6783050987361632,0.0,0.07074211753298187,0.0,0.6320709842795498,1.0,0.46051510579610144,0.0,0.008927655756098662,0.0,0.46355861348698324,0.0,0.2970045599759099,0.0,0.83246438219265,0.0,0.06911588115515555,0.0,0.9675435902061288,0.0,0.9292255272229325,0.0,0.9828574407145567,0.0,0.8705071576697013,0.0,0.04167063508938995,0.0,0.26957680825779007,0.0,0.8695610002867418,0.0,0.8835504257120741,0.0,0.5513545157558448
CPI,300,6.73468279838562,0.11040928531807548,0.0,0.4812912475445913,0.0,0.06824689094465261,0.0,0.6195466648120396,0.0,0.24518613067699496,0.0,0.7634534008796625,0.0,0.5606204979262692,0.0,0.28720344515265184,0.0,0.5081263670815475,0.0,0.7314214490366123,0.0,0.7374785653928417,0.0,0.5186809437516835,0.0,0.32562542560877683,0.0,0.688900550366061,0.0,0.4718684663011763,0.0,0.2799710549812251,0.0,0.5500269031844243,0.0,0.6199149808531208,0.0,0.9908262757590697,0.0,0.8904626295329187,0.0,0.3387789253230481,0.0,0.7770364431551837,0.0,0.8846653676397034,0.0,0.07635368977770936,0.0,0.2836092699127904,0.0,0.05961850545720304,0.0,0.8972325414820885,0.0,0.5596636377006303,0.0,0.9493618155146109,0.0,0.9514774822879151,0.0,0.5588159603634544,0.0,0.019948889402018177,0.0,0.671426238147129,0.0,0.8831391345010767,0.0,0.4310517841717173,0.0,0.7139301500530421,1.0,0.001465923806693671,0.0,0.4026659757201422,0.0,0.9745945236512709,0.0,0.6822408573159316,0.0,0.891365699187288,0.0,0.7529761941867412,0.0,0.7330116569807015,0.0,0.03664974054582645,0.0,0.21116253886204295,0.0,0.0626821618258444,0.0,0.41193532726720383,0.0,0.991572029810272,0.0,0.5117955541265742,0.0,0.9561637645372448,0.0,0.35126326613931436
CPI_sqrt,300,6.726491928100586,0.11040928531807548,0.0,0.5027033383789982,0.0,0.48109775008917577,0.0,0.5039692696159002,0.0,0.49737859355376945,0.0,0.5159063787273184,0.0,0.5230349875877246,0.0,0.4949244244301825,0.0,0.5022472796830211,0.0,0.5007902195701566,0.0,0.5002037808463815,0.0,0.500180885020711,0.0,0.5082423228110192,0.0,0.5135470539115561,0.0,0.5045436391711973,0.0,0.4986417657743988,0.0,0.49721243739432514,0.0,0.4967654956342343,0.0,0.5075640642137463,0.0,0.5065753604694504,0.0,0.4893515966480216,0.0,0.507749314921076,0.0,0.5058229212476967,0.0,0.47906771962673494,0.0,0.5135087376509748,0.0,0.49656518686230483,0.0,0.5003220750032012,0.0,0.5090475862539784,0.0,0.5055030393917888,0.0,0.5004275962654389,0.0,0.49482106084131083,0.0,0.4951457688144835,0.0,0.5083050754019195,0.0,0.5052945144621679,0.0,0.5040164748632746,0.0,0.5144232195448825,1.0,0.18988054183878877,0.0,0.49779865430408077,0.0,0.5219868637564684,0.0,0.5003909616193343,0.0,0.502507836645704,0.0,0.4889231007242017,0.0,0.506104701250472,0.0,0.490519800403492,0.0,0.49822295454202514,0.0,0.49194757873296086,0.0,0.5060278183378054,0.0,0.496171649426505,0.0,0.49656437894854955,0.0,0.5162921501523013,0.0,0.4802007966342028
CPI_n,300,6.725472450256348,0.11040928531807548,0.0,0.5151852292554236,0.0,0.43813374999791244,0.0,0.6103646627593077,0.0,0.3495974854943139,0.0,0.514052492108277,0.0,0.4844336737049642,0.0,0.40050466828516224,0.0,0.34533540193464773,0.0,0.4870486762859411,0.0,0.5152142419251918,0.0,0.570685553007506,0.0,0.582414157314647,0.0,0.5306930670106442,0.0,0.4200548554964298,0.0,0.458355940077241,0.0,0.46400302082848094,0.0,0.5652296334170787,0.0,0.4398043793061418,0.0,0.4589186848473956,0.0,0.48703631591544283,0.0,0.4583721398664351,0.0,0.5683012536393495,0.0,0.49953977165798424,0.0,0.6115960332028875,0.0,0.5128696276271231,0.0,0.7143981265607874,0.0,0.48692604089771047,0.0,0.6268365136877991,0.0,0.5332217216605211,0.0,0.42226304517898755,0.0,0.47691972101712676,0.0,0.5156589510837152,0.0,0.4901788329862618,0.0,0.5588077185255433,0.0,0.5412389758629442,1.0,0.000853767382820855,0.0,0.45346822289737715,0.0,0.6198105822823682,0.0,0.5508203021910613,0.0,0.5839258235799002,0.0,0.4238213286371868,0.0,0.4912241290846345,0.0,0.5175174188956155,0.0,0.39336667371386264,0.0,0.48732587800092325,0.0,0.5639534432405695,0.0,0.4966647311543641,0.0,0.551624489568518,0.0,0.5907933775200781,0.0,0.5014242602286524
CPI_bt,300,6.925683259963989,0.11040928531807548,0.0,0.42443717049413976,0.0,0.4680852429886881,0.0,0.5429635251632541,0.0,0.374626490541778,0.0,0.5280561729804889,0.0,0.4453536143465221,0.0,0.3083242259862961,0.0,0.6921559520509825,0.0,0.47307638631615295,0.0,0.5714993070971148,0.0,0.45018474063369884,0.0,0.48208457288459305,0.0,0.6019780089086616,0.0,0.35297399684068015,0.0,0.5207717096756029,0.0,0.4806799440145484,0.0,0.5072733637074326,0.0,0.48186301708988194,0.0,0.5126913234083077,0.0,0.5087666955393717,0.0,0.476554704022619,0.0,0.5528925874103499,0.0,0.44581461982167964,0.0,0.5611835353577235,0.0,0.5507181089120444,0.0,0.6799156448953428,0.0,0.42568789649337807,0.0,0.8071572320892841,0.0,0.4356757883215624,0.0,0.5229672729622774,0.0,0.47478678412230074,0.0,0.47312063007224525,0.0,0.5309787263663208,0.0,0.5251133877005031,0.0,0.5659322136519889,1.0,6.049586812577064e-31,0.0,0.516368932358978,0.0,0.696213059475525,0.0,0.5341217426739725,0.0,0.5484763390561338,0.0,0.3361886879240684,0.0,0.6116805797443888,0.0,0.2857183240811697,0.0,0.5285613553168794,0.0,0.5088778024717815,0.0,0.5247737668366478,0.0,0.53616691798746,0.0,0.5131533934601427,0.0,0.46245514965792245,0.0,0.477823963345317
CPI_sqd,300,6.934478282928467,0.11040928531807548,0.0,0.006566799057084821,0.0,1.7880193528697957e-56,0.0,1.0,0.0,3.610537053285747e-261,0.0,0.9999999188702565,0.0,1.0,0.0,0.9999999999999892,0.0,0.9999999999998958,0.0,0.4192812778284174,0.0,0.9966209696896039,0.0,3.564407977186434e-33,0.0,0.9999999976876796,0.0,0.9995299353985009,0.0,4.6131061141626353e-07,0.0,1.0615660384750929e-12,0.0,0.9999999999994282,0.0,1.0,0.0,1.0,0.0,1.210723575312083e-06,0.0,7.190020552470424e-19,0.0,5.475188461619422e-08,0.0,1.0,0.0,2.087552174073622e-77,0.0,1.0,0.0,5.615152874316346e-258,0.0,1.0,0.0,4.317924412092506e-16,0.0,1.0,0.0,0.9998225882920967,0.0,0.9910122465535817,0.0,8.781423472956718e-32,0.0,4.922902499927858e-101,0.0,6.625908629391432e-10,0.0,0.17749584799996043,0.0,5.9737400634709144e-145,1.0,0.0,0.0,1.7831911855499023e-197,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0011347726086572228,0.0,0.9999665507083602,0.0,7.58982428560352e-78,0.0,1.570328741579943e-48,0.0,0.7783318386540274,0.0,0.8764636107830877,0.0,1.0,0.0,2.299140936080738e-295,0.0,1.0,0.0,6.292386427025565e-126
S-CPI,300,19.064051389694214,0.11040928531807548,0.0,0.6634679149994241,0.0,0.44346334972650325,0.0,0.888078945097283,0.0,0.32223681586741737,0.0,0.8564841540346619,0.0,0.907368329150913,0.0,0.2574783184438856,0.0,0.7463527310191165,0.0,0.5491692410019599,0.0,0.9179265641858272,0.0,0.6971176322589523,0.0,0.7587109704572401,0.0,0.9175957481785307,0.0,0.43287304442511065,0.0,0.24003341643930304,0.0,0.7556081464343691,0.0,0.47556235723884166,0.0,0.5812309183283187,0.0,0.7046423892410653,0.0,0.22214601723932292,0.0,0.302686724918591,0.0,0.8788297553522797,0.0,0.13556369159887965,0.0,0.8128869763140342,0.0,0.24420560387784684,0.0,0.7976102359482445,0.0,0.6538732746386371,0.0,0.8817806790457967,0.0,0.5624413227755055,0.0,0.2951682417826382,0.0,0.06490730388930505,0.0,0.32992500472058056,0.0,0.4529388003216389,0.0,0.8194774881283003,0.0,0.6723157061081781,1.0,8.353318991528296e-05,0.0,0.45644030034426325,0.0,0.9607446151085143,0.0,0.6678791508213163,0.0,0.8033084399972716,0.0,0.3796413560074672,0.0,0.7836382023832429,0.0,0.13268319959730068,0.0,0.06661517818138518,0.0,0.41083316336273745,0.0,0.5609195099236859,0.0,0.9212552615697576,0.0,0.1202429347349937,0.0,0.7846471144322649,0.0,0.19166132563323074
S-CPI_sqrt,300,19.07047414779663,0.11040928531807548,0.0,0.5076008747645762,0.0,0.48750355202236023,0.0,0.5119943525165771,0.0,0.48655805170195027,0.0,0.5122027640123269,0.0,0.5275317297333443,0.0,0.48669332048923525,0.0,0.5051254962634734,0.0,0.49923632606484564,0.0,0.5093111763264487,0.0,0.5037096982979686,0.0,0.5048440058969238,0.0,0.5229405753988359,0.0,0.4928463620888143,0.0,0.49332051383277964,0.0,0.505281626797564,0.0,0.5018102696773374,0.0,0.5118383029160068,0.0,0.503324525695346,0.0,0.4933675890535594,0.0,0.5003164095296218,0.0,0.5100283698955693,0.0,0.4846003485331185,0.0,0.5096669063181896,0.0,0.48656025742367276,0.0,0.5348771839705074,0.0,0.5020589991476111,0.0,0.5339042849046773,0.0,0.5050947619989393,0.0,0.48975142113655434,0.0,0.4868454007670383,0.0,0.4958522944266242,0.0,0.49867524930462354,0.0,0.5064244988625368,0.0,0.5097076881572744,1.0,0.1150654073352515,0.0,0.49548355676646944,0.0,0.5190254824321734,0.0,0.5066316024037797,0.0,0.5096594505808101,0.0,0.48307691215956094,0.0,0.5069642549110843,0.0,0.48676130683219687,0.0,0.48886292611977733,0.0,0.4955160203580956,0.0,0.5018506188909355,0.0,0.5054413017452947,0.0,0.49473367144729286,0.0,0.5152869992016303,0.0,0.49332756638917846
S-CPI_n,300,19.04595375061035,0.11040928531807548,0.0,0.5006375470632433,0.0,0.3297112429869938,0.0,0.5958579632269799,0.0,0.423597061770166,0.0,0.6188571646467032,0.0,0.6988317373989688,0.0,0.41004431197501945,0.0,0.5106416458424299,0.0,0.5314980892152239,0.0,0.5979216998627312,0.0,0.5512071417956415,0.0,0.507889321746798,0.0,0.5797557798592593,0.0,0.469185106665618,0.0,0.4756415437512625,0.0,0.5366960901991084,0.0,0.5178423899625646,0.0,0.5588201659507329,0.0,0.5148213769676482,0.0,0.43590823675543783,0.0,0.46859274614876745,0.0,0.5840914833698477,0.0,0.3688724695374181,0.0,0.5780399492887787,0.0,0.43172344937495166,0.0,0.7051331288937561,0.0,0.4918815249759394,0.0,0.7119378311748741,0.0,0.5195709610653579,0.0,0.4409004742352274,0.0,0.44938284007499285,0.0,0.39862856764370763,0.0,0.5265991585962381,0.0,0.5874770776107026,0.0,0.4892571096723742,1.0,0.0016880610479843938,0.0,0.5159266963314022,0.0,0.6933393432508512,0.0,0.5281428389404218,0.0,0.594008495415893,0.0,0.38046113636396905,0.0,0.5624481578776923,0.0,0.42096856087771,0.0,0.4748207201887366,0.0,0.45303882708690263,0.0,0.5374422038980641,0.0,0.49843656023498273,0.0,0.4307356042359025,0.0,0.6607255301197197,0.0,0.39903919042007296
S-CPI_bt,300,19.26358723640442,0.11040928531807548,0.0,0.5446751714182009,0.0,0.296389814401385,0.0,0.5991706061176256,0.0,0.3642272018003272,0.0,0.6300056472149853,0.0,0.8813355084491254,0.0,0.37993067323146534,0.0,0.5852517229810472,0.0,0.5174763611885196,0.0,0.5958169877018592,0.0,0.5341015000810626,0.0,0.549614677880339,0.0,0.6953265772344117,0.0,0.521097138694212,0.0,0.4909215389696195,0.0,0.5929185683511745,0.0,0.5220242606300617,0.0,0.6656865757255256,0.0,0.5193020365582954,0.0,0.4154513094710753,0.0,0.48171540531052365,0.0,0.5849824209151303,0.0,0.26277295258322075,0.0,0.5711645599235521,0.0,0.3252966061550757,0.0,0.7526386806158736,0.0,0.4775001930873641,0.0,0.7828572172645735,0.0,0.49905816959355537,0.0,0.38195530709721437,0.0,0.4050468564628621,0.0,0.3318678730025857,0.0,0.5540309902773694,0.0,0.5583344962402084,0.0,0.6561634826506813,1.0,6.533720557333205e-47,0.0,0.4927480568049949,0.0,0.7545055146893411,0.0,0.5310243300407957,0.0,0.6006024817225758,0.0,0.38286487850278883,0.0,0.6205923282447279,0.0,0.437283909168676,0.0,0.3860156821713688,0.0,0.4806640129554167,0.0,0.5228062725433875,0.0,0.5048035227154747,0.0,0.4464921154031435,0.0,0.6583745004040531,0.0,0.4607484370964016
