method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,904.8622150421143,0.06073363014867905,0.0,0.999999992477875,0.0,0.0,0.0,0.24930251035124318,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.798474867977575e-10,0.0,0.9999999999777772,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.7863470275502067e-07,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9934455686339407,0.0,1.0,0.0,0.004369381490850643,0.0,0.9999999999999308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.999999999978733,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8804020270249113,0.0,1.4619653254666076e-07,0.0,1.0,0.0,1.0
CPI,300,17.53341794013977,0.06073363014867905,0.0,0.11829977020650279,0.0,0.35552388441256677,0.0,0.9578888126987636,0.0,0.38410735398348034,0.0,0.14428952089826064,0.0,0.36296331811849064,0.0,0.570982010080052,0.0,0.4038910994677377,0.0,0.408422528064186,0.0,0.9155752976774851,0.0,0.34655678897520004,0.0,0.14612266412689734,0.0,0.7530124562154354,0.0,0.34672076056684686,0.0,0.8845725349292332,0.0,0.8183247658275634,0.0,0.7570121675631162,0.0,0.4074422273421329,0.0,0.8449098146613618,0.0,0.9745777162675251,0.0,0.5675796032706922,1.0,0.0021416121872009407,0.0,0.20845513546691202,0.0,0.8376108763122856,0.0,0.5541706036710893,0.0,0.9268875271227964,0.0,0.06437695335190698,0.0,0.6818234664108631,0.0,0.8391332788783038,0.0,0.17822912225711973,0.0,0.18551900257058201,0.0,0.731941026312722,0.0,0.6861030459357443,0.0,0.3595799829865734,0.0,0.6615538739388225,0.0,0.776205089981461,0.0,0.3643766183383323,0.0,0.08300835821826741,0.0,0.6729897622664062,0.0,0.2019199071651569,0.0,0.9182736540684434,0.0,0.8982781300746676,0.0,0.5616315746326169,0.0,0.10255500814660196,0.0,0.13313345898199141,0.0,0.3678934135150469,0.0,0.3081952421278355,0.0,0.9314178679098286,0.0,0.1955295616367349,0.0,0.6071136216636644
CPI_sqrt,300,17.53700876235962,0.06073363014867905,0.0,0.4971248600456092,0.0,0.5130045873001098,0.0,0.5106240234233359,0.0,0.5001924780645006,0.0,0.5055847193907055,0.0,0.49364217756641715,0.0,0.5346363176456018,0.0,0.5000683085078204,0.0,0.48596613732520666,0.0,0.5035078550057032,0.0,0.5001619861826039,0.0,0.47568617805578833,0.0,0.49859769409297655,0.0,0.5021411773170346,0.0,0.49422298792246133,0.0,0.4989123767925853,0.0,0.5008176310960133,0.0,0.4985087625001507,0.0,0.49992217213608564,0.0,0.49965915442102093,0.0,0.5038511440906736,1.0,0.2688079820307018,0.0,0.4679531165647239,0.0,0.48448010463752655,0.0,0.5220746488179224,0.0,0.520048310870597,0.0,0.4995369670855943,0.0,0.49433130308322054,0.0,0.5012203661566389,0.0,0.4953828542394412,0.0,0.4970089538169945,0.0,0.5017874201725805,0.0,0.4927569984781821,0.0,0.4876016220191253,0.0,0.4756740723621372,0.0,0.5771490748593336,0.0,0.489264741001497,0.0,0.49737619339078637,0.0,0.4987308488016727,0.0,0.5064197342436848,0.0,0.5005583516618137,0.0,0.4920056884531071,0.0,0.48617796013773956,0.0,0.48476345535474813,0.0,0.5009591686267904,0.0,0.503263775807133,0.0,0.49571354767961434,0.0,0.5020728239069014,0.0,0.5048232178157808,0.0,0.5023154237485722
CPI_n,300,17.55574655532837,0.06073363014867905,0.0,0.4707608328126929,0.0,0.3999016897739036,0.0,0.5972735200907773,0.0,0.5143463182177189,0.0,0.43573139579242254,0.0,0.48153348246669814,0.0,0.6413540715158872,0.0,0.4683909569479055,0.0,0.32279650736018606,0.0,0.5501798864580296,0.0,0.5162229764228314,0.0,0.48592562665665057,0.0,0.5001100906210848,0.0,0.5498015519020876,0.0,0.31052966927431286,0.0,0.45799286355374336,0.0,0.5112851152947354,0.0,0.5201039365593929,0.0,0.5094724717721875,0.0,0.5114112362659013,0.0,0.5260531639732697,1.0,0.09977320753929436,0.0,0.40645213730834884,0.0,0.47527334034520125,0.0,0.5199726805560333,0.0,0.7211363882486056,0.0,0.4803999536379676,0.0,0.49920326400221815,0.0,0.5176484915738967,0.0,0.5228056495293895,0.0,0.5566332182463535,0.0,0.47925518023028874,0.0,0.39137140216410227,0.0,0.4586741525496401,0.0,0.3990668947468142,0.0,0.6574736446987891,0.0,0.3862566322908114,0.0,0.47859726561960125,0.0,0.4826588241318142,0.0,0.4893027524492446,0.0,0.49801115495588566,0.0,0.5106482181477038,0.0,0.4380516855939524,0.0,0.5122694657423879,0.0,0.4978854491470447,0.0,0.6855746906191289,0.0,0.30994505406657424,0.0,0.5203061691372476,0.0,0.473511327592148,0.0,0.5732319764152489
CPI_bt,300,17.72520613670349,0.06073363014867905,0.0,0.497690403748445,0.0,0.5124263119728639,0.0,0.4504305133385812,0.0,0.48309502208404576,0.0,0.4242445901748254,0.0,0.5253847788855617,0.0,0.6648641458014932,0.0,0.46774133772991244,0.0,0.29468133613645525,0.0,0.571834839905523,0.0,0.5042095860875382,0.0,0.1272363781138912,0.0,0.48723152947014303,0.0,0.4633619091062322,0.0,0.5895977771974997,0.0,0.45818945590554916,0.0,0.5058960099986463,0.0,0.43490143806431036,0.0,0.5117893471753667,0.0,0.5046826765338832,0.0,0.5801688963734432,1.0,1.6520853677696845e-11,0.0,0.5923423626609522,0.0,0.4247249335908611,0.0,0.5612384836408477,0.0,0.7003761345273332,0.0,0.48133502897367664,0.0,0.6126844590234198,0.0,0.523910623009616,0.0,0.5436871420522389,0.0,0.43030320409096434,0.0,0.5363650059078655,0.0,0.5000425583388481,0.0,0.5694544786852038,0.0,0.5951176198222439,0.0,0.7824664867151172,0.0,0.45368054117240025,0.0,0.4828307371931164,0.0,0.48642257390877003,0.0,0.42161309411146686,0.0,0.4817162440011561,0.0,0.4707620218886815,0.0,0.38494546096512144,0.0,0.5589740765492885,0.0,0.5060205170877141,0.0,0.6671929020347053,0.0,0.23781417337722371,0.0,0.530935049469423,0.0,0.45831511216939713,0.0,0.6448846368888527
CPI_sqd,300,17.723137617111206,0.06073363014867905,0.0,0.9999873722071861,0.0,1.0,0.0,1.0,0.0,0.0015073259111589089,0.0,9.612296434897892e-31,0.0,1.0,0.0,1.0,0.0,4.71095410619231e-10,0.0,1.095503710584927e-293,0.0,0.9998273628342188,0.0,2.5960266681725475e-17,0.0,0.0,0.0,0.2573801852670087,0.0,0.03325208946633176,0.0,2.9392816110234064e-213,0.0,0.9968588073664056,0.0,0.9840731407218226,0.0,6.94851855570575e-73,0.0,0.9999968765334929,0.0,0.999984634426827,0.0,2.6383684513233993e-08,1.0,0.0,0.0,3.452273736208854e-23,0.0,5.0772185240301725e-242,0.0,0.9999999061171774,0.0,1.0,0.0,0.9284290826566902,0.0,0.9999985774998214,0.0,0.9999999502714549,0.0,2.2718275277780105e-23,0.0,0.9999999999999837,0.0,0.022039221195598546,0.0,1.433221143249367e-89,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.792498007057351e-181,0.0,2.5025880571634664e-07,0.0,0.5565165623369386,0.0,8.895744032960763e-06,0.0,0.25625883013607564,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9962712240628183,0.0,0.00011867147999215376,0.0,2.349421814421542e-298,0.0,0.694747317165983,0.0,0.7373559863234377,0.0,1.0
S-CPI,300,30.64291000366211,0.06073363014867905,0.0,0.5999855194275011,0.0,0.6083002124407594,0.0,0.7222875549189287,0.0,0.23029364299260613,0.0,0.4681251706930676,0.0,0.08816739810346597,0.0,0.8955367606645406,0.0,0.4916454742970915,0.0,0.02108654396792559,0.0,0.8545159805631755,0.0,0.5027572072552209,0.0,0.03703448940422967,0.0,0.6156811695290222,0.0,0.6664892195982561,0.0,0.5616585153873366,0.0,0.35952820401375274,0.0,0.9434906341170697,0.0,0.3163005447102578,0.0,0.7337009827798554,0.0,0.4562922127645763,0.0,0.7456369220016517,1.0,9.372406435914873e-05,0.0,0.2155918520388611,0.0,0.3339978004605684,0.0,0.6849397040823896,0.0,0.9239559641551222,0.0,0.29833713595784406,0.0,0.767393586507749,0.0,0.9253407221286114,0.0,0.35765654873450964,0.0,0.06312832968320656,0.0,0.36430551936682426,0.0,0.2817076506445322,0.0,0.5135746730044295,0.0,0.7431267852435632,0.0,0.8633333406633052,0.0,0.10380623972434422,0.0,0.03863010999199261,0.0,0.28190012004885645,0.0,0.4219190579146865,0.0,0.9305531913547206,0.0,0.3224544548540039,0.0,0.015755765464005072,0.0,0.508217440733324,0.0,0.3052507428136009,0.0,0.6347739043269361,0.0,0.04591237447346671,0.0,0.9221956524765991,0.0,0.46694678781834903,0.0,0.4600457173280485
S-CPI_sqrt,300,30.606353282928467,0.06073363014867905,0.0,0.4940613445162244,0.0,0.5166005731650062,0.0,0.5108572429738276,0.0,0.4997814891852903,0.0,0.4892543398651935,0.0,0.48587232135587916,0.0,0.5245041107053328,0.0,0.498931880960611,0.0,0.4679800959912106,0.0,0.5151339847231514,0.0,0.5028075618730855,0.0,0.4628944581588144,0.0,0.4993767469760826,0.0,0.4979208148715642,0.0,0.50135030260042,0.0,0.4960482667368335,0.0,0.5011439003570889,0.0,0.4960045775476507,0.0,0.50234933542544,0.0,0.49992921639690513,0.0,0.5007179711426161,1.0,0.23946721027395113,0.0,0.47475187597262497,0.0,0.4782576392253275,0.0,0.50764686077341,0.0,0.5380002412395883,0.0,0.49945582647997777,0.0,0.5042549851160979,0.0,0.5051606801065578,0.0,0.49908839981190384,0.0,0.4884273337507193,0.0,0.5048835122304081,0.0,0.49339356726278094,0.0,0.5260488550474879,0.0,0.5161822354996387,0.0,0.5494028660993221,0.0,0.4768723193488751,0.0,0.4951589162710135,0.0,0.49907442738701224,0.0,0.5000639461781694,0.0,0.5030410134105257,0.0,0.4930693914096029,0.0,0.4788067859835572,0.0,0.5004775677297731,0.0,0.5003581119275304,0.0,0.525241813694137,0.0,0.46580609667486417,0.0,0.5065117286631982,0.0,0.4972370579734077,0.0,0.5152503254788313
S-CPI_n,300,30.592649221420288,0.06073363014867905,0.0,0.43998650824434415,0.0,0.5418388756626794,0.0,0.554506702529159,0.0,0.49398927339450716,0.0,0.5257091805576813,0.0,0.3654116576370337,0.0,0.6381802293258519,0.0,0.489293013372331,0.0,0.2482047739183102,0.0,0.5878433775444741,0.0,0.5293009388975035,0.0,0.24609479687954028,0.0,0.49018023668561567,0.0,0.5035447353463061,0.0,0.5828518071742118,0.0,0.4834799584602816,0.0,0.5143208894548984,0.0,0.4888421685365411,0.0,0.5127473433850726,0.0,0.5056673343670431,0.0,0.49890238444764873,1.0,0.017499512277424113,0.0,0.36109179285549764,0.0,0.33051694138761456,0.0,0.6475682030575374,0.0,0.7172913008161825,0.0,0.4803451719104783,0.0,0.5466783259584193,0.0,0.5306265979587457,0.0,0.4746670639742994,0.0,0.4464926962998531,0.0,0.5065577454893295,0.0,0.41378446002188873,0.0,0.5378454471064584,0.0,0.6371178870974927,0.0,0.7459268269513901,0.0,0.4029252344388844,0.0,0.4469977066359556,0.0,0.4785038013692759,0.0,0.48132100756451923,0.0,0.5138720663512008,0.0,0.47055782273700086,0.0,0.3089103264731331,0.0,0.4614843235210667,0.0,0.4772924123806981,0.0,0.6313003854847026,0.0,0.2952563367280624,0.0,0.5497757366312122,0.0,0.4676900101305753,0.0,0.635108617969628
S-CPI_bt,300,30.72861075401306,0.06073363014867905,0.0,0.43993148685857175,0.0,0.7848084108127569,0.0,0.5768967966734365,0.0,0.4862518593896777,0.0,0.6017801574671462,0.0,0.39962331169744814,0.0,0.6692066957932198,0.0,0.47689064600427034,0.0,0.22293038053480985,0.0,0.6093786751662869,0.0,0.5228195574639781,0.0,0.12750524788097262,0.0,0.4883470044144585,0.0,0.5326606113031819,0.0,0.5770929291021757,0.0,0.44123617919725683,0.0,0.5119191398002975,0.0,0.430460809209975,0.0,0.508940297172799,0.0,0.5048835846082589,0.0,0.5231486375709915,1.0,2.3413515603688476e-20,0.0,0.3278274648487597,0.0,0.33817986010626916,0.0,0.5244874044207215,0.0,0.7291495088666092,0.0,0.4862811249239479,0.0,0.5464807719418008,0.0,0.5562617018082096,0.0,0.4578319540044327,0.0,0.4394055037792399,0.0,0.5187766319613115,0.0,0.3840996926782834,0.0,0.7672339315214953,0.0,0.7113836755410892,0.0,0.7969931287705678,0.0,0.3747062479392619,0.0,0.4501875337710557,0.0,0.47125684805904244,0.0,0.4615581782290543,0.0,0.5399808528990346,0.0,0.49164306092916316,0.0,0.26732251450025935,0.0,0.5189043424891709,0.0,0.5167766922580276,0.0,0.629048245646793,0.0,0.23574281385038903,0.0,0.5508535728477506,0.0,0.4947169554039082,0.0,0.6683845784277689
