method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,880.4329116344452,0.40662218660072336,0.0,7.073158470038976e-08,0.0,0.09530289155368865,1.0,1.0,0.0,1.0,1.0,0.9999338376440317,0.0,0.9999999999973429,0.0,0.5383527685307791,0.0,1.8246239610220094e-05,1.0,1.0,0.0,0.999949757311669,1.0,0.9999996324039013,0.0,0.9629791047307885,0.0,1.0768697045193676e-10,0.0,0.9999999999998604,0.0,0.9499072876136636,0.0,0.9879357401823492,0.0,1.0,0.0,2.19824158875781e-14,1.0,1.9891331873855833e-06,1.0,3.059785758097178e-11,0.0,0.00014544500517732484,0.0,1.0,0.0,1.0,0.0,0.7911600647423227,1.0,0.015416857394343286,0.0,0.9999927033547034,0.0,3.0300007430872355e-06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0840890870020843e-06,0.0,1.0,0.0,0.02090982937008956,0.0,1.0,0.0,4.3172828034787614e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9962534962374155,1.0,0.5807525832716722,0.0,1.0,1.0,0.0,1.0,5.924402080026425e-10,0.0,0.9997538104859979,0.0,0.8510877256229618,0.0,7.788214517745473e-13,0.0,0.65569537233513,1.0,1.0
CPI,300,17.147659301757812,0.40662218660072336,0.0,0.16400979004400584,0.0,0.9005535502381076,1.0,0.2865574373681484,0.0,0.016922896062686855,1.0,0.18464664822063076,0.0,0.16254221555517062,0.0,0.43059388349250066,0.0,0.6510272791946161,1.0,0.056402121412344276,0.0,0.6412687781417354,1.0,0.007824819066865784,0.0,0.27954523500763484,0.0,0.567801397072034,0.0,0.9464624515379039,0.0,0.4167013929641319,0.0,0.40860177050088436,0.0,0.9289549993886581,0.0,0.6155497486483108,1.0,0.0020817760359231456,1.0,0.11951460856454732,0.0,0.2104697197502518,0.0,0.9425360657775038,0.0,0.6762088083151038,0.0,0.29322153467682327,1.0,0.11266325816923672,0.0,0.6992626328744637,0.0,0.03374504324622388,0.0,0.6768952305798122,0.0,0.8956465278663176,0.0,0.6191835767186675,0.0,0.6195926434098661,0.0,0.4754311591143132,0.0,0.7545255326945398,0.0,0.7243361426523482,0.0,0.6331934987734575,0.0,0.343499178369566,1.0,0.18519487067719248,0.0,0.3605807345210731,0.0,0.8866550206980831,0.0,0.19265942106743744,0.0,0.3776952806935371,1.0,0.0001064303652663486,0.0,0.38262609100727674,1.0,0.12799299939070097,1.0,0.03958011438049552,0.0,0.4105300510822592,0.0,0.8724205729940228,0.0,0.0032277253626574404,0.0,0.2968829237727453,1.0,0.20547962765379868
CPI_sqrt,300,17.1546733379364,0.40662218660072336,0.0,0.45150395403895266,0.0,0.521777254418927,1.0,0.3739217951032603,0.0,0.49826334911829284,1.0,0.35604115987839835,0.0,0.555216756600931,0.0,0.4654776489901298,0.0,0.503184504079451,1.0,0.45975144683413266,0.0,0.4991238067760667,1.0,0.2970126357683668,0.0,0.5271761841581484,0.0,0.492657110269227,0.0,0.5073685764280488,0.0,0.5077387529763238,0.0,0.5173063280698883,0.0,0.5499620208817526,0.0,0.4789543395685848,1.0,0.39035487056027773,1.0,0.38983058576625684,0.0,0.44886387329861965,0.0,0.5756079563963318,0.0,0.5430626543981569,0.0,0.3901814630231424,1.0,0.4047016864718877,0.0,0.5771416464640571,0.0,0.4872988440798307,0.0,0.4700523270255816,0.0,0.5539183755795624,0.0,0.5001512856863681,0.0,0.5184315149574048,0.0,0.5639960792238085,0.0,0.5096672465693878,0.0,0.529823427888808,0.0,0.4968895533502641,0.0,0.5219781069705091,1.0,0.37933624507653974,0.0,0.4415504550317308,0.0,0.5038053015674424,0.0,0.47375423610035855,0.0,0.5179031164158475,1.0,0.12368490028174584,0.0,0.49235169990671435,1.0,0.22276045155026608,1.0,0.38910865182236654,0.0,0.49781390204644904,0.0,0.5062523759743585,0.0,0.4736892410793489,0.0,0.48879954788244867,1.0,0.19317816480098876
CPI_n,300,17.157482385635376,0.40662218660072336,0.0,0.11936029996895908,0.0,0.4642941046284671,1.0,0.14153179699130586,0.0,0.5297649846646629,1.0,0.09308887957117229,0.0,0.37891637921907945,0.0,0.3375264809737951,0.0,0.6082601798475601,1.0,0.07646231302960936,0.0,0.4333229744800571,1.0,0.1610876409086608,0.0,0.5341039813091152,0.0,0.41552156236011756,0.0,0.5797532620184869,0.0,0.46109140057917514,0.0,0.6901239988749538,0.0,0.5807993087577158,0.0,0.36418115098200793,1.0,0.13446062257337443,1.0,0.41775479730226034,0.0,0.5181100601030734,0.0,0.5277898588018078,0.0,0.7820969492406653,0.0,0.13169041022562195,1.0,0.136734738089496,0.0,0.9047615578765342,0.0,0.3689318077920962,0.0,0.4852525724781036,0.0,0.43064184576407705,0.0,0.48761117037629403,0.0,0.6747997950476999,0.0,0.6354925579904024,0.0,0.6650323750667995,0.0,0.43292457398168166,0.0,0.4036268574847552,0.0,0.82349629580873,1.0,0.28304330151806933,0.0,0.47133711574769555,0.0,0.531397793598755,0.0,0.18040693591193868,0.0,0.5709808678367547,1.0,0.012397978819320574,0.0,0.5509767250350293,1.0,0.006146092314178175,1.0,0.015046507952484928,0.0,0.5119926337458898,0.0,0.6048889405131197,0.0,0.4411463766454025,0.0,0.4261438517959825,1.0,0.05324172015574833
CPI_bt,300,17.336026430130005,0.40662218660072336,0.0,0.16293485315200856,0.0,0.6573509546471966,1.0,1.293607755652537e-09,0.0,0.6871377909100453,1.0,0.004609414583630625,0.0,0.12867442372493626,0.0,0.24609101705857916,0.0,0.16437697638450594,1.0,4.107624897622634e-06,0.0,0.3466182323043071,1.0,6.788251477496291e-06,0.0,0.45320659388989754,0.0,0.48165849097761126,0.0,0.5758139772854087,0.0,0.47003184543738313,0.0,0.5248030103260153,0.0,0.13034403353026414,0.0,0.4228386018732268,1.0,1.3155347362739474e-10,1.0,0.014010091625229502,0.0,0.004790822056157121,0.0,0.9797919712716427,0.0,0.883115034685493,0.0,0.00012778522702592039,1.0,8.476894048656947e-06,0.0,0.9979135379911198,0.0,0.31308434889744985,0.0,0.7123986876126149,0.0,0.3341324019388475,0.0,0.4814755902520286,0.0,0.7950727697403921,0.0,0.0818094623112865,0.0,0.7792737640794611,0.0,0.06551701272852921,0.0,0.8527653535138173,0.0,0.43880793477991115,1.0,0.3415942108749244,0.0,0.2279254921749579,0.0,0.5400977168080691,0.0,0.2886384315013617,0.0,0.5165387582916225,1.0,3.593953244327476e-11,0.0,0.6780104000275418,1.0,9.74617676386275e-10,1.0,4.4545736774481286e-17,0.0,0.5189100847871216,0.0,0.5850717968687287,0.0,0.2899177053383254,0.0,0.3898007868322828,1.0,2.77686910693677e-07
CPI_sqd,300,17.337613105773926,0.40662218660072336,0.0,4.701677394456106e-40,0.0,1.0,1.0,4.1239458992639026e-72,0.0,1.0,1.0,3.5698764974114685e-113,0.0,0.003082429443814995,0.0,1.2330324274424037e-146,0.0,0.6623928690867741,1.0,0.00014512924568311887,0.0,1.0,1.0,1.936907298594385e-105,0.0,3.0079876993076633e-06,0.0,0.0436888557318389,0.0,0.9986622480823473,0.0,0.15386773839218099,0.0,1.9971412122019862e-21,0.0,1.0,0.0,0.8226727941718663,1.0,2.0336915429665965e-13,1.0,1.0,0.0,7.454684048243303e-158,0.0,0.9997313839027946,0.0,1.0,0.0,0.9923040993773977,1.0,1.859814701884951e-24,0.0,0.9999963877295267,0.0,0.0,0.0,0.8485782321426901,0.0,6.704383488456966e-32,0.0,6.099403847706821e-08,0.0,0.9993825846892913,0.0,0.9998556424416033,0.0,1.2990430142525757e-103,0.0,0.9999999996052303,0.0,1.6649859096032087e-38,0.0,6.514409094864253e-12,1.0,2.0809475545730863e-140,0.0,3.283796217304363e-126,0.0,1.0,0.0,1.0,0.0,2.5450819458922538e-284,1.0,7.816472986771104e-300,0.0,3.10435513202254e-246,1.0,1.9350714611679483e-08,1.0,0.0,0.0,1.7614280215337249e-06,0.0,9.553748835041479e-11,0.0,0.0,0.0,6.561446685994976e-29,1.0,2.474395025865599e-09
S-CPI,300,30.165789127349854,0.40662218660072336,0.0,0.5966319263793345,0.0,0.8055626716110584,1.0,0.05750604872164725,0.0,0.6320496982508601,1.0,0.22057557380247783,0.0,0.552423889486206,0.0,0.15041182999344327,0.0,0.20494544634044193,1.0,0.2763057940818098,0.0,0.8522184748200263,1.0,0.017724792723163633,0.0,0.3166943674837964,0.0,0.47426433580512123,0.0,0.9231709549979318,0.0,0.7160160883875178,0.0,0.827461900367076,0.0,0.6069593009128915,0.0,0.14861710753291346,1.0,0.09667685704112738,1.0,0.20675297872612264,0.0,0.32642560613226745,0.0,0.85389127029877,0.0,0.6755313877430602,0.0,0.3289000055645875,1.0,0.20740316114762913,0.0,0.9566887310891914,0.0,0.04973229453379441,0.0,0.7487394695353667,0.0,0.6545309594734998,0.0,0.2322836110491458,0.0,0.8132119316925266,0.0,0.9074883219728074,0.0,0.31794725634116305,0.0,0.573817578493681,0.0,0.7337196547571684,0.0,0.8139258772533706,1.0,0.5928474716013351,0.0,0.734944890724461,0.0,0.8902580284228864,0.0,0.41493125338909304,0.0,0.3575815971776099,1.0,0.0016469707270468255,0.0,0.49966056790623314,1.0,0.2137553811722902,1.0,0.06648087643634044,0.0,0.38821472415834,0.0,0.38632228454387735,0.0,0.059390767505613305,0.0,0.3923666871193169,1.0,0.12945451574973776
S-CPI_sqrt,300,30.17666482925415,0.40662218660072336,0.0,0.40708814966543977,0.0,0.5152903572382523,1.0,0.32924729173043943,0.0,0.5138453598513529,1.0,0.3123432535029634,0.0,0.5524601893056985,0.0,0.4561529441113993,0.0,0.5013410178389381,1.0,0.43936480102209885,0.0,0.5210766264764299,1.0,0.24378369047511744,0.0,0.4835252604535768,0.0,0.48404283746989185,0.0,0.5091505924678187,0.0,0.525759150246486,0.0,0.513011726412417,0.0,0.534625939464329,0.0,0.4779941576932451,1.0,0.34608683987611977,1.0,0.4751059076652988,0.0,0.4508091787763079,0.0,0.6544005903461443,0.0,0.5318484719835539,0.0,0.48592449182091846,1.0,0.43777023897315953,0.0,0.6581684661987992,0.0,0.47378248101029524,0.0,0.5045326144791866,0.0,0.5613503469430942,0.0,0.4944493152417417,0.0,0.5301928414504137,0.0,0.6536070850465486,0.0,0.450680763573237,0.0,0.5281750104695465,0.0,0.5183987161686325,0.0,0.5433329168506014,1.0,0.45924949180325975,0.0,0.49178515242717985,0.0,0.504692189783525,0.0,0.4884118481725323,0.0,0.49054268892007097,1.0,0.1530055545320948,0.0,0.49635552790022397,1.0,0.26149661034529853,1.0,0.2092619913733385,0.0,0.4969375159359377,0.0,0.5013052264250639,0.0,0.46635631725818866,0.0,0.5030120013019327,1.0,0.4366650980106258
S-CPI_n,300,30.18106484413147,0.40662218660072336,0.0,0.5483900142688837,0.0,0.6568632390350585,1.0,0.05254275775222462,0.0,0.5633927629821706,1.0,0.15288451846784318,0.0,0.679591687142393,0.0,0.32199623429648205,0.0,0.5558940182747854,1.0,0.19760927248519305,0.0,0.5763373356865972,1.0,0.08599993768130848,0.0,0.515896295088221,0.0,0.4589633946436315,0.0,0.5930558458156123,0.0,0.722268160463921,0.0,0.7068490303144559,0.0,0.6454675345440793,0.0,0.350990763994687,1.0,0.0875339200823213,1.0,0.38330684060997955,0.0,0.7026320214185608,0.0,0.8370820385690624,0.0,0.6008335387442278,0.0,0.37154282743750966,1.0,0.28858624824819995,0.0,0.9218310403316423,0.0,0.2516100954263109,0.0,0.5608596615304365,0.0,0.6328754445143978,0.0,0.48059157751540194,0.0,0.6042857069732459,0.0,0.8937348814468942,0.0,0.4217923780958884,0.0,0.6019255664368728,0.0,0.676189798690682,0.0,0.8362507831130654,1.0,0.310854218053357,0.0,0.33619559591481585,0.0,0.5419115543593721,0.0,0.4875647990706196,0.0,0.36730348753857145,1.0,0.007281512330448011,0.0,0.43131151159252723,1.0,0.11750687115537173,1.0,0.02129093452487189,0.0,0.509756161614993,0.0,0.5347272715910675,0.0,0.29892370623282216,0.0,0.4723826474661679,1.0,0.25021256649855617
S-CPI_bt,300,30.357736825942993,0.40662218660072336,0.0,0.5522965459134148,0.0,0.7258495998533678,1.0,4.218327832678273e-08,0.0,0.5267564465879061,1.0,4.118203624849739e-05,0.0,0.8118571952481215,0.0,0.286604085990016,0.0,0.45448332544023173,1.0,0.0005706676257776674,0.0,0.7595945466239566,1.0,2.186891498075624e-09,0.0,0.4564507162504558,0.0,0.45912364277046036,0.0,0.5714131477187997,0.0,0.6631190474858439,0.0,0.9513125875112232,0.0,0.6260443454002804,0.0,0.14392120993202806,1.0,2.6167190400405913e-10,1.0,0.4307146640922455,0.0,0.012310522002567175,0.0,0.9999563457295357,0.0,0.9156884155290533,0.0,0.022588130494111444,1.0,0.010321014888527897,0.0,0.9864809426640625,0.0,0.2323093405346937,0.0,0.5827562615671464,0.0,0.7931401102367392,0.0,0.4708475595824315,0.0,0.7863566401147253,0.0,0.9999910556151135,0.0,0.5985937529654375,0.0,0.7578774514289486,0.0,0.7595187472330918,0.0,0.8905806671420542,1.0,0.33142206881006214,0.0,0.47693318358118486,0.0,0.542629173328813,0.0,0.7362078180405539,0.0,0.33411016553517403,1.0,1.1897216327189132e-17,0.0,0.3921863982628017,1.0,0.009003322337967332,1.0,1.4462433605489693e-07,0.0,0.48171579424683497,0.0,0.6261043835764004,0.0,0.20490547290373973,0.0,0.5482460791208137,1.0,0.002358965189918934
