method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,78.03760147094727,-0.9588850340514972,0.0,0.8988626911145357,0.0,0.8664669317739156,0.0,0.5202715943811196,0.0,0.9127342193640862,1.0,0.8778433580166949,0.0,0.48366625452590106,0.0,0.7185746223410429,0.0,0.774280763886763,0.0,0.5989996715470584,1.0,0.47231885807494967,0.0,0.9190234364503347,0.0,0.22225266032633684,0.0,0.8048321062590389,0.0,0.14584558238865886,0.0,0.8651651273157095,0.0,0.5187494533929833,0.0,0.1227001595111521,0.0,0.755478125607538,0.0,0.11894576873149054,0.0,0.7723681569994396,0.0,0.825223142130392,0.0,0.265989360621001,1.0,0.20568234439291744,0.0,0.5564093254599454,1.0,0.982481091664207,1.0,0.5124335565480269,1.0,0.7592867534268225,0.0,0.1795079460828305,0.0,0.14331000469837885,0.0,0.21188102502765593,0.0,0.8933564380182779,1.0,0.026229027654393944,0.0,0.12525979743572735,0.0,0.14209101434299487,0.0,0.933059178205927,1.0,0.5125950951444151,0.0,0.7671263334668409,0.0,0.7289315055319612,0.0,0.08774256946890802,0.0,0.5949394185509195,0.0,0.30763435189542565,1.0,0.6619814993546268,1.0,0.4261509894347423,0.0,0.6584019817390389,0.0,0.710363788846139,1.0,0.9010174364634889,0.0,0.05657171282086759,1.0,0.10914403499369807,0.0,0.22979890376177825,0.0,0.5861488948591358
CPI,300,4.2200117111206055,-0.9588850340514972,0.0,0.25604446310715906,0.0,0.8423043818951782,0.0,0.8520095073154108,0.0,0.7549051071754427,1.0,0.08370489518796298,0.0,0.2079977081666181,0.0,0.20221883035199684,0.0,0.9767773811125716,0.0,0.12098661197451227,1.0,0.8674829087033605,0.0,0.7783497092580027,0.0,0.2509288294167187,0.0,0.47358352812799254,0.0,0.3001863862766975,0.0,0.544339183162128,0.0,0.18002771422780722,0.0,0.05357799155992892,0.0,0.4998241908625978,0.0,0.2002713266350138,0.0,0.8639322597605028,0.0,0.7755240584867362,0.0,0.8138801481419737,1.0,0.09236359615646711,0.0,0.0482098978554058,1.0,0.44769868841019594,1.0,0.16574011088215995,1.0,0.09492779047556393,0.0,0.8987140534291511,0.0,0.35203139800490396,0.0,0.769062933602384,0.0,0.17130419614335085,1.0,0.9403086351417805,0.0,0.2623942149516108,0.0,0.1950939149839941,0.0,0.10191768904118087,1.0,0.18490849792503622,0.0,0.6227933020539813,0.0,0.8396770240992698,0.0,0.4486732690372062,0.0,0.4797740430978893,0.0,0.7161757113336662,1.0,0.15527795577225606,1.0,0.11455147007359656,0.0,0.8871950819652088,0.0,0.4513171118872871,1.0,0.8210083844999945,0.0,0.08019417355181724,1.0,0.15849776672236093,0.0,0.9500297675129015,0.0,0.23942945897240597
CPI_sqrt,300,4.215738534927368,-0.9588850340514972,0.0,0.5532171533352651,0.0,0.512712224447243,0.0,0.4684238225717403,0.0,0.41585015848727547,1.0,0.4956165193483696,0.0,0.4535953780563484,0.0,0.4206416728903723,0.0,0.5040830728405938,0.0,0.47741381134701666,1.0,0.5365886073073264,0.0,0.5705262141601304,0.0,0.46935910583415147,0.0,0.4814406253062986,0.0,0.5286535530457316,0.0,0.497041456609824,0.0,0.48009548445729433,0.0,0.5461282994233162,0.0,0.54444869938152,0.0,0.5041770292847111,0.0,0.49569095224496296,0.0,0.5117789936872584,0.0,0.5681106051535633,1.0,0.21831660067802527,0.0,0.41021535024902106,1.0,0.5849455725989023,1.0,0.5016467254109157,1.0,0.4595035016581705,0.0,0.5283073491476682,0.0,0.49009150308826743,0.0,0.4949246049838016,0.0,0.4475154111112911,1.0,0.5040027245376869,0.0,0.44643215747136583,0.0,0.4815188187837885,0.0,0.4514743915693237,1.0,0.4597886989164945,0.0,0.4844179884444497,0.0,0.46867606548632484,0.0,0.48489774131093455,0.0,0.4760023555751363,0.0,0.5277517268390058,1.0,0.4796837305618088,1.0,0.48536717569764504,0.0,0.4941695882462718,0.0,0.4916966300967022,1.0,0.612229842435902,0.0,0.4179340233442904,1.0,0.41052710410089666,0.0,0.4858763511177561,0.0,0.5384988261097865
CPI_n,300,4.218717813491821,-0.9588850340514972,0.0,0.8452090157366596,0.0,0.49399450498473474,0.0,0.5211650059080521,0.0,0.12605005444539225,1.0,0.22634595640562155,0.0,0.1617671697235849,0.0,0.3035304505901243,0.0,0.6231548950315103,0.0,0.3561977694578353,1.0,0.8544420171457037,0.0,0.465434564284922,0.0,0.32182032262411825,0.0,0.3840774030693898,0.0,0.4037643401648483,0.0,0.4682145453066046,0.0,0.2525791540208898,0.0,0.6628701895171278,0.0,0.40105878711118786,0.0,0.20802216512157812,0.0,0.5358120981002621,0.0,0.6159569518324539,0.0,0.7993722916773385,1.0,0.7048220230062286,0.0,0.2058521831827574,1.0,0.8745727447601088,1.0,0.5558390079122404,1.0,0.5141706365311381,0.0,0.7459733226437322,0.0,0.34812955475117696,0.0,0.7270663007922685,0.0,0.22738304997780273,1.0,0.7006428469569901,0.0,0.7241747419624354,0.0,0.40286953334731435,0.0,0.4225259434428781,1.0,0.4483826859571895,0.0,0.25567186084458293,0.0,0.3991451683974043,0.0,0.4498978412483872,0.0,0.4759187590053044,0.0,0.6943447295539209,1.0,0.7437240677107467,1.0,0.36612836269972265,0.0,0.5300806786227464,0.0,0.5951373744016817,1.0,0.7755659404221805,0.0,0.36886610838812145,1.0,0.5596640546275146,0.0,0.636746182132355,0.0,0.3988680498748328
CPI_bt,300,4.390209913253784,-0.9588850340514972,0.0,0.8914316723231539,0.0,0.497532718989002,0.0,0.19841010186992641,0.0,0.3066632769996224,1.0,0.26181572538434184,0.0,0.22751212661961534,0.0,0.003893935963197421,0.0,0.5484632800954918,0.0,0.002974944817110191,1.0,0.9996143698083192,0.0,0.5526972084358444,0.0,0.5250277559643913,0.0,0.5516010077285828,0.0,0.45587342245096957,0.0,0.9198286519356866,0.0,0.5487238301192038,0.0,0.05796387535678114,0.0,0.6245569031952884,0.0,0.2769565061646098,0.0,0.5162646241475507,0.0,0.7978504816164469,0.0,0.4939791239232568,1.0,0.0009882868693085211,0.0,0.0009694456629438629,1.0,0.7745004675431483,1.0,0.9850013299348431,1.0,0.7454496182180115,0.0,0.9823354019201151,0.0,0.6646016077538526,0.0,0.09095395439784998,0.0,0.08426184882064447,1.0,0.8555302241917511,0.0,0.1414036731609839,0.0,0.33387811417689506,0.0,0.11617739086462314,1.0,0.5389167474655856,0.0,0.0005462235731632523,0.0,0.9293937356092088,0.0,0.5981648970127009,0.0,0.529502901802651,0.0,0.5499415613734783,1.0,0.9223047277117397,1.0,0.01312301996885863,0.0,0.7477871564683919,0.0,0.35185359939739524,1.0,0.40580776268259866,0.0,0.11901382638248065,1.0,0.0024829782177685825,0.0,0.4831713406103385,0.0,0.0974986869415061
CPI_sqd,300,4.388194799423218,-0.9588850340514972,0.0,0.8872636197316729,0.0,1.0,0.0,2.9796298836608918e-114,0.0,1.0,1.0,0.0,0.0,2.5366439293539764e-260,0.0,3.776462053041042e-226,0.0,4.185072411825746e-06,0.0,1.5130988928802901e-33,1.0,1.0,0.0,7.146059714956735e-05,0.0,1.970128794370888e-37,0.0,6.362134725017438e-152,0.0,0.06338965677070753,0.0,0.16354381019876474,0.0,0.0,0.0,1.0,0.0,0.9941452336839935,0.0,3.584113591378776e-35,0.0,0.9999999980664165,0.0,1.0,0.0,0.9942744752519629,1.0,4.5904099768484575e-95,0.0,1.5931297834023177e-115,1.0,0.630971727569753,1.0,0.9999999593787714,1.0,1.0,0.0,1.0,0.0,5.888713674416616e-63,0.0,0.9999998272940127,0.0,5.109952255387329e-305,1.0,1.0,0.0,3.3668525551879413e-47,0.0,3.332862966408326e-213,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4511985257734991,0.0,2.8733900301093293e-13,0.0,1.0,1.0,1.4530217360198337e-09,1.0,1.3066979520324325e-180,0.0,1.0,0.0,4.691014552446594e-75,1.0,1.0185327796330127e-15,0.0,0.0,1.0,1.0,0.0,0.9224434052688167,0.0,1.0
S-CPI,300,4.604812383651733,-0.9588850340514972,0.0,0.9318316265984865,0.0,0.6207703705154045,0.0,0.36375607614958033,0.0,0.6247391688279991,1.0,0.1780549520498641,0.0,0.016338149180701266,0.0,0.05294969449288276,0.0,0.9512707897925922,0.0,0.13818422554146542,1.0,0.8739190817424657,0.0,0.8840979705757387,0.0,0.11801901421850608,0.0,0.21672830567186202,0.0,0.36153753845854286,0.0,0.419066749043177,0.0,0.05427877156482736,0.0,0.5333001925746839,0.0,0.529194408968346,0.0,0.13360072606633527,0.0,0.2555078795890563,0.0,0.8535519870985886,0.0,0.9307852714694476,1.0,0.07577038741143706,0.0,0.0966995374159007,1.0,0.6421199789077874,1.0,0.8558678290775891,1.0,0.21951268719288225,0.0,0.9321757820165004,0.0,0.09444396108910208,0.0,0.21768258131954055,0.0,0.12181819121996385,1.0,0.8300229572345686,0.0,0.5290910369990436,0.0,0.3883051796200208,0.0,0.5149068596921075,1.0,0.24179968699509846,0.0,0.37825570794606517,0.0,0.8178587741847854,0.0,0.07931744526347251,0.0,0.4029586065569502,0.0,0.8422483077155063,1.0,0.7658804478393018,1.0,0.23265871474247135,0.0,0.802277266419084,0.0,0.25746248337591715,1.0,0.8258086063645309,0.0,0.08226706615332913,1.0,0.13309095927254494,0.0,0.8835492971506933,0.0,0.516832386279429
S-CPI_sqrt,300,4.604410171508789,-0.9588850340514972,0.0,0.5419716599095048,0.0,0.5028297690935241,0.0,0.4816385560143769,0.0,0.508229838066234,1.0,0.39028875812805003,0.0,0.41091710046234986,0.0,0.41724746846962946,0.0,0.5298816790612745,0.0,0.3952475401516204,1.0,0.7424746953276198,0.0,0.5232114065485781,0.0,0.46872435384293054,0.0,0.4751020800877991,0.0,0.4779917292327918,0.0,0.48514791956864994,0.0,0.45329765946865147,0.0,0.5450363108943485,0.0,0.5062021200879907,0.0,0.48846213957641854,0.0,0.5023528005948495,0.0,0.5358818649837486,0.0,0.8220572259088157,1.0,0.4948018037940648,0.0,0.3369868236851057,1.0,0.6457946323996039,1.0,0.5698772308623788,1.0,0.4180557696263692,0.0,0.5995910843245393,0.0,0.47327253565772776,0.0,0.5176928205575083,0.0,0.4042884135395309,1.0,0.5544526419193676,0.0,0.5283261915631176,0.0,0.48044804149916664,0.0,0.5194897089745623,1.0,0.4841176029131678,0.0,0.4940436505490084,0.0,0.5292879744966604,0.0,0.4870148054892526,0.0,0.49798545507134956,0.0,0.5542156937077618,1.0,0.5819540579978083,1.0,0.44163258610620965,0.0,0.5167963200756893,0.0,0.4874452119648726,1.0,0.631441927209987,0.0,0.4227650252738375,1.0,0.3759092021094361,0.0,0.5101327901265124,0.0,0.5682400188697319
S-CPI_n,300,4.599872350692749,-0.9588850340514972,0.0,0.8136542912512212,0.0,0.5154555882821031,0.0,0.4036902436482151,0.0,0.4901640704239556,1.0,0.15533422920869294,0.0,0.1435493399279152,0.0,0.19509134809996248,0.0,0.7203128538104343,0.0,0.16567931549923087,1.0,0.855350988260555,0.0,0.6745472311513683,0.0,0.4116099961378204,0.0,0.46822144989731884,0.0,0.5975516063467509,0.0,0.47094640226333595,0.0,0.231317949160679,0.0,0.3771105547357786,0.0,0.5225727203347953,0.0,0.46182306384902594,0.0,0.4793935675333411,0.0,0.6872500543264017,0.0,0.8912466942904673,1.0,0.42307608216024295,0.0,0.13971066497492285,1.0,0.7846030637468441,1.0,0.6614939532153316,1.0,0.2685491093940445,0.0,0.8361338497144717,0.0,0.3399414337732506,0.0,0.4039617493757236,0.0,0.20745952532100326,1.0,0.7663428390773889,0.0,0.6587861774209317,0.0,0.35792774082468515,0.0,0.538455603880368,1.0,0.30096539529734057,0.0,0.43903754319824806,0.0,0.7305221209999035,0.0,0.4661279977970623,0.0,0.5301546614910148,0.0,0.6475369248731246,1.0,0.7221966989994616,1.0,0.3815530093032875,0.0,0.5453173513122506,0.0,0.37818126593368184,1.0,0.7895968151532293,0.0,0.3029873423820105,1.0,0.18626032540834242,0.0,0.5314512438632216,0.0,0.7166225827415129
S-CPI_bt,300,4.778366804122925,-0.9588850340514972,0.0,0.9074944989389797,0.0,0.47545266623938137,0.0,0.41112640273659384,0.0,0.13176947141139944,1.0,0.009577465884600785,0.0,0.09660610905471428,0.0,0.0027152943050525948,0.0,0.7339831748105403,0.0,0.00015225755892042954,1.0,0.9787617883885251,0.0,0.713214646107588,0.0,0.3803761305896326,0.0,0.49216223504364565,0.0,0.7660470976430022,0.0,0.2637783038465594,0.0,0.10624223556115048,0.0,0.40257629919400634,0.0,0.4114526453348297,0.0,0.0517927128337292,0.0,0.49096784120281095,0.0,0.8265577271673944,0.0,0.9795847395514741,1.0,0.0002293975515772405,0.0,2.2902356423747106e-05,1.0,0.9971958531566719,1.0,0.717060486904839,1.0,0.054811910474031084,0.0,0.9960469590804143,0.0,0.35477173357919856,0.0,0.6689794744613392,0.0,0.002957432717473662,1.0,0.815729043929766,0.0,0.4326595885596099,0.0,0.26722575490909595,0.0,0.12697931392685952,1.0,0.1690883516525748,0.0,0.4854495706046633,0.0,0.8421436315906607,0.0,0.3571764626370405,0.0,0.4642234840378303,0.0,0.8897328851124864,1.0,0.9527724766580477,1.0,0.00691387359944158,0.0,0.568046722613466,0.0,0.3814859005143113,1.0,0.998911245692181,0.0,0.021339411020902498,1.0,0.0003846003268984857,0.0,0.8239486444492898,0.0,0.7839837781835818
