method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,149.81607675552368,-0.31118238750908844,1.0,0.47853125026643384,0.0,0.11487283228449507,1.0,0.09024313211426371,1.0,0.6919515657080795,0.0,0.9558955457942703,1.0,0.954099420880035,0.0,0.5836450887404705,0.0,0.009958539706549918,1.0,0.34584381188885915,0.0,0.1375920176517178,0.0,0.614406510997028,1.0,0.8154961904629472,1.0,0.9258523058195115,0.0,0.31927632156317276,1.0,0.04451514552744673,0.0,0.4296276381581411,0.0,0.12396229151132454,0.0,0.9550808284729042,0.0,0.19496486595945228,0.0,0.004614205622312517,0.0,0.5879475954136222,0.0,0.07781733066314289,0.0,0.6973794908950635,0.0,0.7175823847825833,0.0,0.6324091319006386,0.0,0.7284235212183764,0.0,0.8269771421672563,0.0,0.2025930214060424,0.0,0.29088692371364966,0.0,0.7936272512823561,0.0,0.44822217954786814,0.0,0.9557433880144194,1.0,0.5597927278253212,0.0,0.1696523148155039,1.0,0.9342476719689883,0.0,0.6320728189905341,1.0,0.34810025003071354,0.0,0.4006633295146045,0.0,0.10109748579366928,1.0,0.9741247973435395,0.0,0.3919817243217256,0.0,0.8043712986026145,0.0,0.00905178852300137,0.0,0.8934416228826441,0.0,0.44618768181977486,0.0,0.6085264063526673,0.0,0.979879511793041,0.0,0.8502277362966115,0.0,0.49025344887690603,0.0,0.6109074448597049
CPI,300,6.693688154220581,-0.31118238750908844,1.0,0.18419396193921594,0.0,0.7705906520760959,1.0,0.8640244197048759,1.0,0.4131677180900946,0.0,0.27243668297972784,1.0,0.9750587453674489,0.0,0.36166707257781994,0.0,0.7612891179642693,1.0,0.7676829244838307,0.0,0.990685266339706,0.0,0.28768653074198836,1.0,0.8480560823404651,1.0,0.3856432133071516,0.0,0.08747582767349366,1.0,0.7947288380973161,0.0,0.30853434628859144,0.0,0.01995524134746405,0.0,0.7672655813183753,0.0,0.6649528670860965,0.0,0.011869696256230544,0.0,0.16177372356690312,0.0,0.14958637302811678,0.0,0.17698874459357666,0.0,0.3700177742622397,0.0,0.830785378878654,0.0,0.5077923158282794,0.0,0.5866670267168398,0.0,0.19747990843411783,0.0,0.398913199331094,0.0,0.06276500163174477,0.0,0.8221573937218614,0.0,0.4803523024150953,1.0,0.26838092998908947,0.0,0.10138108501435844,1.0,0.7487805095420778,0.0,0.7593448540040109,1.0,0.44831221721134956,0.0,0.6624661274460029,0.0,0.21948446484138678,1.0,0.9400815058303945,0.0,0.3338022987478194,0.0,0.7614062339788208,0.0,0.2016896300638546,0.0,0.8587586999879179,0.0,0.029394574596817654,0.0,0.35389870488531083,0.0,0.6909936681549318,0.0,0.1037601669241125,0.0,0.03107540412566941,0.0,0.17248887281991016
CPI_sqrt,300,6.695579290390015,-0.31118238750908844,1.0,0.49781488029255594,0.0,0.5098375547667425,1.0,0.5004625816365237,1.0,0.4982096179518188,0.0,0.5091178354407777,1.0,0.5122790687063354,0.0,0.49900925031644583,0.0,0.5015761698521028,1.0,0.4953848126199366,0.0,0.5096412513817961,0.0,0.4979509876213579,1.0,0.5757141830701618,1.0,0.5000458028937335,0.0,0.4946632805098239,1.0,0.4968919761293907,0.0,0.4644528372940715,0.0,0.4787109057396637,0.0,0.501248132693342,0.0,0.5009020339663307,0.0,0.4890852788964049,0.0,0.4815354154695514,0.0,0.5046590288138566,0.0,0.4975028289923333,0.0,0.48607058215136745,0.0,0.5485778476178198,0.0,0.5044357307938556,0.0,0.4867141942593775,0.0,0.48317913171238897,0.0,0.5138286543655689,0.0,0.505841364395675,0.0,0.5026357679481194,0.0,0.4978531500587767,1.0,0.49275298655345506,0.0,0.48925730463524325,1.0,0.5007273731454919,0.0,0.4928207421612196,1.0,0.2653661244257821,0.0,0.4903506589118819,0.0,0.49745787752144455,1.0,0.4810668267588467,0.0,0.5172639896191044,0.0,0.5074245742818215,0.0,0.5083718848320005,0.0,0.503628304943875,0.0,0.4789418160990622,0.0,0.5078415618359786,0.0,0.48888696533480036,0.0,0.41414811470565627,0.0,0.4888457580391709,0.0,0.483944216972775
CPI_n,300,6.7034173011779785,-0.31118238750908844,1.0,0.35406963687141635,0.0,0.3791377671651367,1.0,0.5289183233315732,1.0,0.5065608292581294,0.0,0.6613805283039552,1.0,0.5200744059251129,0.0,0.4430048844675928,0.0,0.5009007193259952,1.0,0.5915872567509164,0.0,0.6213134487544383,0.0,0.5117772102944161,1.0,0.7756411412041389,1.0,0.4892702724470114,0.0,0.47852234707185276,1.0,0.5413604083193996,0.0,0.3920397782597652,0.0,0.28872670427493297,0.0,0.4799017622005684,0.0,0.4730616219780735,0.0,0.4417493525892734,0.0,0.3499006288608237,0.0,0.39366133276190846,0.0,0.44192269806986406,0.0,0.5165508444143928,0.0,0.657851970053853,0.0,0.5306147305403145,0.0,0.623787236718367,0.0,0.2956485326207647,0.0,0.4920026543123007,0.0,0.40924754811763486,0.0,0.5472146294637682,0.0,0.5420271862689267,1.0,0.4686431608509182,0.0,0.4989434450507759,1.0,0.5474669414090313,0.0,0.4382610955972955,1.0,0.34676421574531663,0.0,0.4720460900967511,0.0,0.39928108472403206,1.0,0.6076645260804885,0.0,0.5827222228639466,0.0,0.5632733528714111,0.0,0.4565075613021082,0.0,0.49824344196832543,0.0,0.3450070464769337,0.0,0.5566664064165232,0.0,0.5631547770580503,0.0,0.5906924547749404,0.0,0.46824684634261177,0.0,0.19251239792455704
CPI_bt,300,6.896270513534546,-0.31118238750908844,1.0,0.30328949442608394,0.0,0.6168598249286337,1.0,0.5715130930351355,1.0,0.624794982972194,0.0,0.5770125935521861,1.0,0.6123608408027135,0.0,0.5117104470381081,0.0,0.559664121849977,1.0,0.5313402258919007,0.0,0.628667329319164,0.0,0.48290118404602334,1.0,0.9942429190148903,1.0,0.4768515306091656,0.0,0.45080210240664237,1.0,0.20408124140265688,0.0,0.481231661006284,0.0,0.45367018320736147,0.0,0.5390430755319834,0.0,0.49851997681509047,0.0,0.4197641845222837,0.0,0.3272408828770066,0.0,0.34421530027301517,0.0,0.578488405441702,0.0,0.34079376966891795,0.0,0.7830038967501457,0.0,0.44763523655239185,0.0,0.5415649590651489,0.0,0.37125389624910504,0.0,0.445158381552113,0.0,0.4797103386707355,0.0,0.5227784090312233,0.0,0.5642617997564854,1.0,0.3499936990779917,0.0,0.37526873768107294,1.0,0.6399333252112489,0.0,0.4712880199380204,1.0,0.574097127800893,0.0,0.5009599451893272,0.0,0.455261957365734,1.0,0.7741403326660689,0.0,0.5963404705110547,0.0,0.5495599853496194,0.0,0.5840576433764044,0.0,0.7318728244313552,0.0,0.43935838812671146,0.0,0.5503785858736451,0.0,0.6072554271652928,0.0,0.5288821128231479,0.0,0.4192799481845635,0.0,0.13917854994761558
CPI_sqd,300,6.887692928314209,-0.31118238750908844,1.0,1.1787781256561897e-18,0.0,1.5799114411542095e-287,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9999999999342898,0.0,0.19613997496599211,1.0,5.880204792662814e-29,0.0,1.0,0.0,0.9998979678436875,1.0,1.0,1.0,5.1433563586131774e-26,0.0,1.0,1.0,0.0005631215685557594,0.0,9.98162986486924e-74,0.0,0.0,0.0,1.0,0.0,0.9999997541308807,0.0,5.802650684664018e-84,0.0,3.070985372773113e-191,0.0,0.9933798532326784,0.0,2.1036318487107087e-289,0.0,1.0,0.0,1.0,0.0,0.0008509966851507778,0.0,1.0,0.0,9.205741674875509e-45,0.0,0.0,0.0,2.287315894008974e-83,0.0,1.0,0.0,0.9999885412500998,1.0,2.486765366929589e-165,0.0,0.2374908915911556,1.0,1.0,0.0,1.146194882100586e-20,1.0,3.892764281265396e-06,0.0,4.019717211187526e-52,0.0,2.999371502703804e-12,1.0,2.0684075525555915e-215,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.999987090531683,0.0,5.3608490292882354e-06,0.0,0.0003474213065693393,0.0,1.0815276415574204e-159,0.0,1.0,0.0,6.177394090195874e-102,0.0,2.2429799181990428e-306
S-CPI,300,18.623978853225708,-0.31118238750908844,1.0,0.18540348916839355,0.0,0.5941662201190747,1.0,0.8546041730390753,1.0,0.9089437019594038,0.0,0.4638614330455939,1.0,0.8864165189427051,0.0,0.22110134339070298,0.0,0.6244944951215492,1.0,0.6887095048828942,0.0,0.9885387754458408,0.0,0.3648622849473574,1.0,0.8580790651127546,1.0,0.3870277399431087,0.0,0.20186260013231222,1.0,0.24114909294776682,0.0,0.25487042133806537,0.0,0.412316980769916,0.0,0.935760358833528,0.0,0.24284056261552062,0.0,0.06260530153668384,0.0,0.006478943227311284,0.0,0.1722067529505985,0.0,0.1232816478923815,0.0,0.5029171699778867,0.0,0.6639984446630526,0.0,0.4909204863840923,0.0,0.40608404586615027,0.0,0.016340340784999595,0.0,0.1992203908029535,0.0,0.16781022752636882,0.0,0.9435666673726218,0.0,0.7001103273341978,1.0,0.11767051441382459,0.0,0.057102485536198566,1.0,0.9540369151022863,0.0,0.8198439260730721,1.0,0.6773653422025748,0.0,0.3483185166325101,0.0,0.3183671249047457,1.0,0.6855563247825481,0.0,0.7766549672809265,0.0,0.5805050866376557,0.0,0.5376155774112269,0.0,0.6713863900609691,0.0,0.056252494501944195,0.0,0.378819577096983,0.0,0.27893238808828114,0.0,0.5125048936919043,0.0,0.12564692656578808,0.0,0.16985866899306235
S-CPI_sqrt,300,18.640953540802002,-0.31118238750908844,1.0,0.46938421214646764,0.0,0.495316831415578,1.0,0.534668611901832,1.0,0.5151538552986693,0.0,0.5046181382721552,1.0,0.5156666696536478,0.0,0.4984035592809503,0.0,0.5003819414869655,1.0,0.5054078588796929,0.0,0.5061560799984204,0.0,0.5013440733768935,1.0,0.6039699440072651,1.0,0.4985095075907157,0.0,0.49434194293448575,1.0,0.49753080694662993,0.0,0.47840941669727693,0.0,0.4839111558147463,0.0,0.509461034193594,0.0,0.49922180396142296,0.0,0.48338903556411833,0.0,0.4832982449034569,0.0,0.4797688478385504,0.0,0.4888601945045849,0.0,0.4982296753694195,0.0,0.5136100382868914,0.0,0.5024720232244552,0.0,0.5133848511963056,0.0,0.46941068832799127,0.0,0.49188267917927353,0.0,0.49088883770403663,0.0,0.5064746320866697,0.0,0.5039639911852323,1.0,0.4821090495712042,0.0,0.48473410285406243,1.0,0.5146961710686162,0.0,0.5004188866396553,1.0,0.6987738040522958,0.0,0.4979088537316384,0.0,0.5034714363437365,1.0,0.4871067579704911,0.0,0.5053337363709247,0.0,0.498673937747508,0.0,0.5028664801265715,0.0,0.5103017977187034,0.0,0.4563862372851218,0.0,0.49751158891242714,0.0,0.49070682055907655,0.0,0.4966474004702197,0.0,0.48552366410779185,0.0,0.44954274199822636
S-CPI_n,300,18.658249855041504,-0.31118238750908844,1.0,0.426686778723969,0.0,0.4254131658839905,1.0,0.6614110261938357,1.0,0.604258142694518,0.0,0.4912204677912775,1.0,0.6156709677034331,0.0,0.4956229605596146,0.0,0.441342889505629,1.0,0.5239934907994594,0.0,0.6156005571096017,0.0,0.5203090341613514,1.0,0.7930389427557658,1.0,0.4920736693763485,0.0,0.45757956622699786,1.0,0.48865931406479673,0.0,0.4024704599341856,0.0,0.3363409658485133,0.0,0.660919211014176,0.0,0.448821394812851,0.0,0.36141198098071614,0.0,0.3357397473151585,0.0,0.3435091260648881,0.0,0.4534393132543381,0.0,0.3668378924509652,0.0,0.6468913447623538,0.0,0.4802694525710263,0.0,0.5946352854204823,0.0,0.3014234592061767,0.0,0.5700707910085966,0.0,0.3901057824861224,0.0,0.5616386363611634,0.0,0.5159840801215183,1.0,0.3647652304704522,0.0,0.41752302020196075,1.0,0.6561679122424218,0.0,0.4741308895683375,1.0,0.8537693646031752,0.0,0.41658993773586306,0.0,0.3786992606684983,1.0,0.5031113629662646,0.0,0.5883655519272375,0.0,0.46966972133622215,0.0,0.5484608505426717,0.0,0.5363840846334418,0.0,0.2693407646251277,0.0,0.5438884559314865,0.0,0.4845009951780457,0.0,0.5870067821104399,0.0,0.37406700313804986,0.0,0.2257898329241141
S-CPI_bt,300,18.814335107803345,-0.31118238750908844,1.0,0.33517999635030105,0.0,0.5209319092546242,1.0,0.7626234776696401,1.0,0.6853532184626655,0.0,0.485066224054116,1.0,0.6470223335569945,0.0,0.4439651688697335,0.0,0.5676231319355438,1.0,0.5830390970575404,0.0,0.6584949774630842,0.0,0.4871615668996999,1.0,0.9972728472230074,1.0,0.5026692121876937,0.0,0.42977049641540155,1.0,0.462466026314298,0.0,0.2601716154981085,0.0,0.20512205038289644,0.0,0.6953251990766596,0.0,0.45756391534968077,0.0,0.3555864753540914,0.0,0.29224549233350844,0.0,0.2803040695085979,0.0,0.3954294513956797,0.0,0.2997458793864449,0.0,0.7572332201272918,0.0,0.5245925226160517,0.0,0.5942952422496417,0.0,0.1958884878587281,0.0,0.4726160235140777,0.0,0.40596429756505925,0.0,0.6310829670584158,0.0,0.47518568137520945,1.0,0.35571663114621555,0.0,0.3639287387973781,1.0,0.693408965230636,0.0,0.5361533080222068,1.0,0.9275709457635948,0.0,0.44024547242450923,0.0,0.35590324233463533,1.0,0.6066524064781518,0.0,0.6402081570581932,0.0,0.4968351367440607,0.0,0.5149000617289051,0.0,0.4687228615819908,0.0,0.24633796610894698,0.0,0.5156497648891685,0.0,0.46099117452888555,0.0,0.4013119453954998,0.0,0.37066900573072203,0.0,0.011028130132767922
