method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,942.3029658794403,-0.1612558713225274,1.0,0.31309914361810964,0.0,0.21005251815445058,1.0,0.4784131029187101,1.0,0.9999999956975144,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.329070518200751e-15,1.0,0.0,0.0,0.0,0.0,0.9999998919901849,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,0.9999184487775061,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.027361382625905373,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9989415136990998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPI,300,18.076106071472168,-0.1612558713225274,1.0,0.09528669607539242,0.0,0.8253371174564914,1.0,0.7886061290133619,1.0,0.8119576165332194,0.0,0.07698476750083658,1.0,0.9689673536163839,0.0,0.4505538301863315,0.0,0.7469561917883999,1.0,0.8117684644264537,0.0,0.97780609263129,0.0,0.8580526501765509,1.0,0.8359838635952492,1.0,0.3255540018219929,0.0,0.0372985670336166,1.0,0.8366685186705776,0.0,0.2501888072471705,0.0,0.0710043043645924,0.0,0.785666928529102,0.0,0.7140530287009799,0.0,0.04822189720172271,0.0,0.8781917987845156,0.0,0.264415281548115,0.0,0.10690051529222439,0.0,0.34223261021935736,0.0,0.08379343864550814,0.0,0.8023812263828605,0.0,0.6138676913313227,0.0,0.08964803519316433,0.0,0.5623883333041333,0.0,0.08353311513816886,0.0,0.8031921503242256,0.0,0.28272122279169865,1.0,0.0007946531986303606,0.0,0.13260146349579816,1.0,0.5196534223948271,0.0,0.41664176512339673,1.0,0.3077445839962605,0.0,0.7241596017765364,0.0,0.19007354403262638,1.0,0.6998890449712429,0.0,0.080646196980793,0.0,0.7665359246576577,0.0,0.7723890360681145,0.0,0.9697775201954969,0.0,0.033285532055175565,0.0,0.016614133732790325,0.0,0.7468460516313327,0.0,0.08296660461408079,0.0,0.003991709320911916,0.0,0.15053119436160195
CPI_sqrt,300,18.073416709899902,-0.1612558713225274,1.0,0.4944442886544255,0.0,0.5141611514174629,1.0,0.49681071699353535,1.0,0.5075510512912416,0.0,0.49346715659384255,1.0,0.513130671166214,0.0,0.5018366243909184,0.0,0.49935105745475555,1.0,0.4963845111655975,0.0,0.5098047400050155,0.0,0.49922913597714785,1.0,0.5773902400535242,1.0,0.496803927910722,0.0,0.4964841585097879,1.0,0.4965517804175811,0.0,0.5078746238642816,0.0,0.48336313089270805,0.0,0.48779655253051923,0.0,0.49453651075801375,0.0,0.4914525191396023,0.0,0.4934010196093975,0.0,0.4910233558255119,0.0,0.49759913126359695,0.0,0.49484584727679864,0.0,0.4881167414645666,0.0,0.4995944760591437,0.0,0.48959160534940294,0.0,0.482928579601406,0.0,0.4988409328776573,0.0,0.48443457882931046,0.0,0.5008206073471704,0.0,0.5047100459321922,1.0,0.4619161830770673,0.0,0.4706585909517726,1.0,0.4929734877278685,0.0,0.48524122111494333,1.0,0.29831562047499705,0.0,0.4901530356054707,0.0,0.48784782005396227,1.0,0.4841256201066552,0.0,0.4965133504737249,0.0,0.5095577348474746,0.0,0.49949902138288527,0.0,0.5106006825519281,0.0,0.4799346026251169,0.0,0.4872760293500719,0.0,0.49104410074249794,0.0,0.4449678645038215,0.0,0.48927963998781915,0.0,0.49160993454660057
CPI_n,300,18.080633878707886,-0.1612558713225274,1.0,0.32559453098000934,0.0,0.3620273272915028,1.0,0.5103871682316248,1.0,0.635420933211622,0.0,0.3950875260454135,1.0,0.5034310515087986,0.0,0.4743649340820271,0.0,0.4532411332651,1.0,0.6032111348305808,0.0,0.5894586936371822,0.0,0.5335485698401272,1.0,0.7578589707013876,1.0,0.48499431562073236,0.0,0.4676517118606203,1.0,0.5827206461193342,0.0,0.5188580397773342,0.0,0.33352870179081795,0.0,0.42795404895931216,0.0,0.4608644249372699,0.0,0.4496159820429636,0.0,0.40300519748077857,0.0,0.5475588323999614,0.0,0.4306969588996821,0.0,0.48896517641145293,0.0,0.3290914060956479,0.0,0.526232352137962,0.0,0.6387864387960288,0.0,0.3127721631708345,0.0,0.46160541976740904,0.0,0.45943665241006476,0.0,0.5534904110262391,0.0,0.5234843618765093,1.0,0.5075150844876184,0.0,0.3733110759344912,1.0,0.5222478603792013,0.0,0.32442731294286514,1.0,0.26558389068098065,0.0,0.4833261070046855,0.0,0.4199741406796368,1.0,0.5866002322929791,0.0,0.304350686396026,0.0,0.5485320812902681,0.0,0.5815466362622959,0.0,0.5788492561232158,0.0,0.3526538851279457,0.0,0.38263733208589396,0.0,0.6285737370567723,0.0,0.519803481901303,0.0,0.4932107366997562,0.0,0.20573435392377765
CPI_bt,300,18.24215841293335,-0.1612558713225274,1.0,0.35079432482262607,0.0,0.5874588692277954,1.0,0.5248257842727745,1.0,0.6952353272322664,0.0,0.45626985724073055,1.0,0.625241240270054,0.0,0.564564254836438,0.0,0.522147429081826,1.0,0.5380183019202168,0.0,0.6113575823663728,0.0,0.5219884843992194,1.0,0.9915370205565526,1.0,0.45089677531065586,0.0,0.43835042388767975,1.0,0.19970497744356902,0.0,0.3719124110258234,0.0,0.49376172818108105,0.0,0.5618749333421518,0.0,0.4501702290777857,0.0,0.43878971308704623,0.0,0.6502306257382233,0.0,0.4846704015451128,0.0,0.5409128377629782,0.0,0.35829326449930154,0.0,0.29284625785560936,0.0,0.4259315193525216,0.0,0.5728200388750637,0.0,0.36347276024244113,0.0,0.1692014438952995,0.0,0.352079063514653,0.0,0.5194042493355109,0.0,0.5650716898997951,1.0,0.26539241204512953,0.0,0.27149084573083526,1.0,0.5468387543566731,0.0,0.4514512126598065,1.0,0.6889508783280415,0.0,0.490540887405092,0.0,0.41360813551472786,1.0,0.42738527225037404,0.0,0.5844554913355948,0.0,0.6064294840263551,0.0,0.513993634734082,0.0,0.7687433137164247,0.0,0.475615268633592,0.0,0.5950769636343272,0.0,0.6628434328150491,0.0,0.2881258004710195,0.0,0.4382910548568647,0.0,0.08645246822363639
CPI_sqd,300,18.238192796707153,-0.1612558713225274,1.0,1.443917613992237e-105,0.0,1.949139410540589e-274,1.0,1.0,1.0,1.0,0.0,1.073426773233905e-69,1.0,1.0,0.0,1.0,0.0,0.005949970412769267,1.0,0.00042111340435279265,0.0,1.0,0.0,0.9999999994067448,1.0,1.0,1.0,1.9680140409939525e-30,0.0,0.9999560643908553,1.0,0.03540152831249315,0.0,8.04317276905007e-51,0.0,0.0,0.0,2.8792053831300722e-11,0.0,1.0,0.0,4.162171456095659e-54,0.0,1.6205136309229529e-127,0.0,6.827829069874975e-264,0.0,0.0,0.0,1.0,0.0,2.1586310884590064e-260,0.0,0.6232717786553569,0.0,1.0,0.0,1.4020692711630254e-21,0.0,1.9098548154988943e-54,0.0,4.3189415207615565e-288,0.0,1.0,0.0,0.9999999999472783,1.0,0.0,0.0,1.3153698986770998e-92,1.0,1.0,0.0,4.8922357181032754e-83,1.0,1.3359020856961487e-63,0.0,1.2223840455632515e-82,0.0,5.234251392825632e-21,1.0,0.031908784436289674,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0152102998926498e-45,0.0,5.611752529572344e-217,0.0,0.9999827018515841,0.0,0.8162690716240948,0.0,5.31929854660244e-63,0.0,5.84445109085515e-97
S-CPI,300,30.569536447525024,-0.1612558713225274,1.0,0.06661103455804764,0.0,0.7493455362094832,1.0,0.8276156548086339,1.0,0.9986302277233674,0.0,0.0428386694027485,1.0,0.8791325846968487,0.0,0.4027689714845639,0.0,0.5033814550374586,1.0,0.6796414208002688,0.0,0.9767066525285091,0.0,0.7201149686091668,1.0,0.8549485175513784,1.0,0.2237771603915168,0.0,0.038105480030938436,1.0,0.2852246824215521,0.0,0.55835432790087,0.0,0.3583937029092803,0.0,0.3856779430642153,0.0,0.19420283094359697,0.0,0.13527297615493478,0.0,0.6706859151366737,0.0,0.31552712777202113,0.0,0.10923355564193327,0.0,0.4118468174709761,0.0,0.07017568683706152,0.0,0.3576837993361169,0.0,0.47867077095637695,0.0,0.030916362270461187,0.0,0.15551263800843745,0.0,0.16627236994644107,0.0,0.9250373989347694,0.0,0.684111473713111,1.0,0.0700674967325337,0.0,0.1728244390430977,1.0,0.9091152861317273,0.0,0.6544949503569094,1.0,0.4170990244009344,0.0,0.17659307327285445,0.0,0.2395949201536655,1.0,0.6082678170642369,0.0,0.10474239247960071,0.0,0.5164261949768956,0.0,0.5202639536354353,0.0,0.8788158614349626,0.0,0.020074356344218232,0.0,0.15289030744020837,0.0,0.7075954378006074,0.0,0.25338368130044825,0.0,0.11145100986626089,0.0,0.20258860632515424
S-CPI_sqrt,300,30.545462608337402,-0.1612558713225274,1.0,0.4609367641505818,0.0,0.49727406780006833,1.0,0.5312729556381056,1.0,0.5196334548268507,0.0,0.4837334565563634,1.0,0.5150999430231854,0.0,0.500854960091808,0.0,0.497929814754206,1.0,0.505895202824764,0.0,0.5070212391473465,0.0,0.5043467130480357,1.0,0.6052544661117594,1.0,0.4952388084734725,0.0,0.48826659645624454,1.0,0.501647420595762,0.0,0.5027539043293285,0.0,0.4863196456111469,0.0,0.4921398747914481,0.0,0.4987782015538554,0.0,0.4855136491351575,0.0,0.5037350475946316,0.0,0.4911562378694222,0.0,0.4858843974248447,0.0,0.49309302609978417,0.0,0.4622724822384403,0.0,0.5042041246761731,0.0,0.5139842877370028,0.0,0.4735146791696142,0.0,0.4962427706082505,0.0,0.46308491688331777,0.0,0.5106340118276191,0.0,0.5024666055985885,1.0,0.4754552380256909,0.0,0.4607599649326975,1.0,0.5107088906745333,0.0,0.4915167865710883,1.0,0.545751895877313,0.0,0.48539617202982743,0.0,0.493066840914132,1.0,0.4819151954129623,0.0,0.47424723894970316,0.0,0.5019574681280466,0.0,0.5059453005895184,0.0,0.5176609703065451,0.0,0.45859239815839403,0.0,0.48666277622411086,0.0,0.5098580994307439,0.0,0.47909674786541306,0.0,0.48220454468481233,0.0,0.44744917224467884
S-CPI_n,300,30.616182565689087,-0.1612558713225274,1.0,0.34835859940200076,0.0,0.4285440950773644,1.0,0.6558652331355119,1.0,0.6726058077743113,0.0,0.29574050335317903,1.0,0.6071324173028132,0.0,0.5181785158607599,0.0,0.4392470140589189,1.0,0.5423482366782834,0.0,0.5924819893421605,0.0,0.5328779798988975,1.0,0.7934936196926325,1.0,0.4683544111646989,0.0,0.3914108755811713,1.0,0.5042171206459432,0.0,0.48996334027028265,0.0,0.38470556808347955,0.0,0.46295124873187765,0.0,0.46023811634384176,0.0,0.3958036882327968,0.0,0.565519656933027,0.0,0.458007119381678,0.0,0.4335231547062523,0.0,0.3548269789584131,0.0,0.32812245844806853,0.0,0.5011190613561293,0.0,0.5728629313777047,0.0,0.27111383132353506,0.0,0.5467738528958712,0.0,0.3078996058915455,0.0,0.634655959296505,0.0,0.52646260954331,1.0,0.2682992555792595,0.0,0.3251115598172408,1.0,0.580109202163712,0.0,0.41285071458646416,1.0,0.6741047186803953,0.0,0.3669536644360579,0.0,0.3496833426415946,1.0,0.4455214220207467,0.0,0.3050298630722137,0.0,0.4439268984897547,0.0,0.5483727651267907,0.0,0.5957146114371351,0.0,0.2546947042675115,0.0,0.4090446926534132,0.0,0.5411793625206263,0.0,0.38685905870106363,0.0,0.34000862912867025,0.0,0.2282212511702752
S-CPI_bt,300,30.752117395401,-0.1612558713225274,1.0,0.16415233677486296,0.0,0.5127528888694045,1.0,0.7519616656446697,1.0,0.7162564901537118,0.0,0.2735145118569879,1.0,0.6482225876517286,0.0,0.48022077530139967,0.0,0.5441564564857476,1.0,0.6099978278518126,0.0,0.6332773017010049,0.0,0.5295253636061302,1.0,0.9962627532581938,1.0,0.46902424584508073,0.0,0.3922877924540428,1.0,0.4676981168785722,0.0,0.49127524175591014,0.0,0.27113408962121793,0.0,0.45818554654772564,0.0,0.4801534566552011,0.0,0.38983173848422265,0.0,0.46508644327378573,0.0,0.5076531428804001,0.0,0.38936041818791967,0.0,0.3020869222782212,0.0,0.21043849871329173,0.0,0.546755591010985,0.0,0.5349399046326223,0.0,0.21899118105463228,0.0,0.41067394331435403,0.0,0.1425929586879754,0.0,0.6185010963355186,0.0,0.48468165512802197,1.0,0.22283477547376784,0.0,0.1347854648228607,1.0,0.5871774997341624,0.0,0.4775967425193086,1.0,0.183865704412564,0.0,0.4238026852450032,0.0,0.32344690883590277,1.0,0.5278194093259345,0.0,0.3547207782423014,0.0,0.4589325651400877,0.0,0.5704631815240134,0.0,0.5705248089561787,0.0,0.21778561701164512,0.0,0.44953367735040084,0.0,0.5504431402345009,0.0,0.257417324250957,0.0,0.3486545831634238,0.0,0.013429149105515506
