method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,853.3014574050903,-0.017213856510279957,0.0,0.0,0.0,0.0,0.0,0.9980594469386143,0.0,1.0,0.0,1.0,0.0,0.8324863849352138,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00069307656833828,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0004500913289205988,0.0,0.9974067136666369,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4663220609122405e-06,0.0,0.0,0.0,0.6489398691693122,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9999998237105632,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999999993794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09334862681465683
CPI,300,16.55287265777588,-0.017213856510279957,0.0,0.7333156997718211,0.0,0.37282157663894755,0.0,0.7874936776387202,0.0,0.27658260782896404,0.0,0.23744663035089542,0.0,0.3875164300996251,0.0,0.7542498562293674,0.0,0.019934246601083495,0.0,0.2951328444789113,0.0,0.5555798765933866,0.0,0.1850691852772599,0.0,0.8035697143829008,0.0,0.06991882814004433,0.0,0.3474889650079448,0.0,0.1630754045029969,0.0,0.01728783508222796,0.0,0.5248355994161169,0.0,0.1993908824245751,0.0,0.8795077440934795,0.0,0.1743998710296023,0.0,0.6981399216974294,0.0,0.8847378043083973,0.0,0.4713789861917423,0.0,0.18001762272991645,0.0,0.18595063233392178,0.0,0.8114554470987367,0.0,0.24103921502961334,0.0,0.37528706954634544,0.0,0.7347683966460772,0.0,0.7483315409157236,0.0,0.8078962799771723,0.0,0.07961900360017493,1.0,0.9248860094924545,0.0,0.14291810164387786,0.0,0.1211379055128548,0.0,0.5500091684984697,0.0,0.9132582273349916,0.0,0.23529679694617506,0.0,0.14147951940179815,0.0,0.3694170983294052,0.0,0.8127472097587904,0.0,0.18697302408696365,0.0,0.2986511220340349,0.0,0.18153435217008096,0.0,0.47836286218765034,0.0,0.35506351842371725,0.0,0.1756796370355232,0.0,0.5608883674022601,0.0,0.09841313283324327,0.0,0.26150357486608355
CPI_sqrt,300,16.56088399887085,-0.017213856510279957,0.0,0.4953982485932361,0.0,0.5041181125576343,0.0,0.5049174297653506,0.0,0.4970611669282219,0.0,0.4085542168068961,0.0,0.5147257747395242,0.0,0.50870825132672,0.0,0.45962998070319766,0.0,0.49723322532152114,0.0,0.5114831119716438,0.0,0.502076331451597,0.0,0.4945302958628047,0.0,0.5055841563781902,0.0,0.44797276293335053,0.0,0.4587168294573282,0.0,0.5135508218654163,0.0,0.5039250679723706,0.0,0.4991300704560986,0.0,0.5082606787543665,0.0,0.4720984588557781,0.0,0.4986281188006289,0.0,0.5131595636370015,0.0,0.5186452958982362,0.0,0.4898854552295455,0.0,0.4860718725947912,0.0,0.5033979957424254,0.0,0.4726392575157176,0.0,0.49588440502381415,0.0,0.5303152846143848,0.0,0.5388886947521506,0.0,0.539915757383907,0.0,0.4647757250521899,1.0,0.5506742691539526,0.0,0.467168375380578,0.0,0.5095814027997224,0.0,0.5168721075046946,0.0,0.5110288148819834,0.0,0.4935418458979392,0.0,0.4759405007423029,0.0,0.4903264742140034,0.0,0.523935833945676,0.0,0.500740794143013,0.0,0.4784153578550402,0.0,0.4864797479806948,0.0,0.4953443844627875,0.0,0.445196825665539,0.0,0.49794112985147804,0.0,0.5159852411199211,0.0,0.49014904315522984,0.0,0.491379570541464
CPI_n,300,16.594329357147217,-0.017213856510279957,0.0,0.4484431794176502,0.0,0.5573487970288062,0.0,0.45815474844153026,0.0,0.39324799925003906,0.0,0.3459413619899635,0.0,0.4109479579797558,0.0,0.5443021749655115,0.0,0.17795747434064263,0.0,0.45796838564806014,0.0,0.46653173056370284,0.0,0.5852009363190255,0.0,0.6193852306806676,0.0,0.4718577272274453,0.0,0.43733896657761606,0.0,0.2143976999279622,0.0,0.40115447335589804,0.0,0.4251043273987034,0.0,0.43818245699101654,0.0,0.6102720208279584,0.0,0.37614623505678624,0.0,0.6232507253003797,0.0,0.5251724744356018,0.0,0.4428105738553183,0.0,0.50348752997357,0.0,0.47410823268241986,0.0,0.5099043528411072,0.0,0.3344990432936543,0.0,0.4177976312959047,0.0,0.5730993464342395,0.0,0.36559998033951074,0.0,0.6473673803489742,0.0,0.28843418944264165,1.0,0.7788367069528629,0.0,0.31465362833729116,0.0,0.5308364151953491,0.0,0.6226746646247291,0.0,0.571915767889275,0.0,0.3530710842007932,0.0,0.3117357736291216,0.0,0.41042001354137736,0.0,0.6400712159328382,0.0,0.3683295117002344,0.0,0.5844618454845721,0.0,0.6375019440414491,0.0,0.44067342065410664,0.0,0.4579384266715333,0.0,0.4969429994004356,0.0,0.7032222587164942,0.0,0.34980317881299783,0.0,0.5478261137994842
CPI_bt,300,16.710635900497437,-0.017213856510279957,0.0,0.4174893522962746,0.0,0.5421437858710426,0.0,0.5645441633181708,0.0,0.4345615916973004,0.0,0.00655223805312635,0.0,0.6788053635238753,0.0,0.6263810675247924,0.0,0.02197405970226737,0.0,0.48032689826091707,0.0,0.5778766153492433,0.0,0.4721723310715169,0.0,0.4772466654118392,0.0,0.3074601893788976,0.0,0.3149011783897664,0.0,0.004217891888947975,0.0,0.4548344081322548,0.0,0.5737240843722036,0.0,0.48881597572718544,0.0,0.8001563385179548,0.0,0.23818579430354953,0.0,0.5082346955761432,0.0,0.4779473412157953,0.0,0.45554426671173165,0.0,0.26824747331350496,0.0,0.4703630689736724,0.0,0.6470956181079925,0.0,0.2550172141376302,0.0,0.4136174312965688,0.0,0.7722352622502766,0.0,0.6655328732197617,0.0,0.7106240352811856,0.0,0.034530890491206986,1.0,0.9858053617415706,0.0,0.26859412955970874,0.0,0.16417346341066041,0.0,0.5399532113225342,0.0,0.7299292710809662,0.0,0.2882301635169373,0.0,0.2608931416610684,0.0,0.4309958163612308,0.0,0.7129417449796214,0.0,0.5093847357287692,0.0,0.6753333974045174,0.0,0.22348222342613988,0.0,0.3719832164244886,0.0,0.2826228703266663,0.0,0.3327888100229792,0.0,0.7040295676507491,0.0,0.21529795920046413,0.0,0.5359412504851125
CPI_sqd,300,16.717743158340454,-0.017213856510279957,0.0,8.844514166942884e-05,0.0,0.9999999996543888,0.0,0.9999999999999999,0.0,1.0450892242257583e-218,0.0,1.7312782597563525e-19,0.0,3.5911964402923452e-59,0.0,1.0,0.0,0.0,0.0,0.5867310086005528,0.0,0.27816653082129783,0.0,1.0470830282667525e-07,0.0,0.9999519337399431,0.0,5.933453612803867e-25,0.0,4.944911691179431e-134,0.0,5.346709932322042e-07,0.0,1.0,0.0,0.4956793642840084,0.0,1.0,0.0,1.0,0.0,1.3858136354308877e-49,0.0,1.0,0.0,7.868677475121456e-06,0.0,0.9999999999999468,0.0,6.460159163014097e-181,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.420837773085458e-237,0.0,1.0,0.0,0.45607357940251725,0.0,2.0795310488867147e-130,0.0,2.5553810835913697e-292,1.0,1.0,0.0,5.394076067567115e-86,0.0,4.617795150192097e-157,0.0,3.229665376438045e-42,0.0,1.0,0.0,1.413231829258037e-200,0.0,0.0,0.0,0.1880689533412171,0.0,1.0,0.0,1.0,0.0,0.01563026799372645,0.0,0.0,0.0,0.6590556667040548,0.0,0.021393996922996115,0.0,6.132077688363471e-24,0.0,1.0,0.0,3.078183181449598e-300,0.0,1.0
S-CPI,300,28.28650426864624,-0.017213856510279957,0.0,0.298650932483823,0.0,0.7650177053154676,0.0,0.45753370341056204,0.0,0.22067062897975398,0.0,0.17213911303035884,0.0,0.6670234196942566,0.0,0.8417270420234313,0.0,0.020105430192141078,0.0,0.31243839697196163,0.0,0.309314449526344,0.0,0.5168887636302621,0.0,0.31664959277079974,0.0,0.09245172270522722,0.0,0.40623801349785593,0.0,0.3923697612100555,0.0,0.253654437053434,0.0,0.5644305316165805,0.0,0.15454138345390733,0.0,0.8401454105938251,0.0,0.12350670828649962,0.0,0.7033733303451292,0.0,0.48438637767692494,0.0,0.5684272888948197,0.0,0.266978433417495,0.0,0.4690533236063064,0.0,0.9581088645612859,0.0,0.1935964894880583,0.0,0.10759871175965208,0.0,0.5734381482144464,0.0,0.5521377578812872,0.0,0.6825649798032941,0.0,0.052214797654927106,1.0,0.9044054531655632,0.0,0.0150522317601541,0.0,0.15278484535945197,0.0,0.8078723306809619,0.0,0.7077171750042386,0.0,0.2800623268521958,0.0,0.15696580506999813,0.0,0.2805474568292059,0.0,0.8188672106081646,0.0,0.2471712763550158,0.0,0.43897571844787936,0.0,0.1512579299535271,0.0,0.4577223964509354,0.0,0.23111629584259652,0.0,0.22721428738966298,0.0,0.9631724380366139,0.0,0.16003510059022363,0.0,0.6568961952869284
S-CPI_sqrt,300,28.29735827445984,-0.017213856510279957,0.0,0.491033443897928,0.0,0.508217142618359,0.0,0.5024917391489508,0.0,0.484309917606641,0.0,0.37765366413661405,0.0,0.5094300982254166,0.0,0.5135459481315995,0.0,0.3965547678708251,0.0,0.49534769069063517,0.0,0.5100556544523308,0.0,0.497046122091349,0.0,0.506007490918915,0.0,0.4890445108346094,0.0,0.48954382361345866,0.0,0.4699618265781476,0.0,0.48222751980763306,0.0,0.5034399188286214,0.0,0.492050972696222,0.0,0.5288898366273231,0.0,0.45422319096244423,0.0,0.5306845068028145,0.0,0.4985351680482418,0.0,0.5100824431641606,0.0,0.4868907382182886,0.0,0.48887225483144586,0.0,0.5174500156810578,0.0,0.4356347678636131,0.0,0.4890079561171379,0.0,0.5085300016787128,0.0,0.5239510741086518,0.0,0.5257319089716986,0.0,0.4478975282009743,1.0,0.6301714362743452,0.0,0.4610469043303637,0.0,0.4428811625917963,0.0,0.5367711105053751,0.0,0.5084114035140531,0.0,0.4696898051622774,0.0,0.4639017919954499,0.0,0.4968771307074075,0.0,0.5349097630694383,0.0,0.4848975414299494,0.0,0.4890514688980128,0.0,0.48760730652119805,0.0,0.4923183176839699,0.0,0.4468714264253867,0.0,0.4895271027271524,0.0,0.5287339345424229,0.0,0.4882396790934894,0.0,0.5183508068885536
S-CPI_n,300,28.300270080566406,-0.017213856510279957,0.0,0.46805332126853605,0.0,0.5693534009730011,0.0,0.4579970090982686,0.0,0.4209831316223041,0.0,0.2048172931136289,0.0,0.5684942868660121,0.0,0.6606788213885342,0.0,0.13420533436125687,0.0,0.4673075971696768,0.0,0.5777974440675803,0.0,0.5006716245905106,0.0,0.4011349944801348,0.0,0.33884100942485995,0.0,0.4678457077512482,0.0,0.4399138155654412,0.0,0.39913543942578855,0.0,0.5607533108154371,0.0,0.44083508250879827,0.0,0.6760149129855857,0.0,0.2836511431570311,0.0,0.6351727763993107,0.0,0.47690669618934983,0.0,0.6128461583751112,0.0,0.3972840673366745,0.0,0.5094687058952726,0.0,0.5786719487546481,0.0,0.2479380158901996,0.0,0.4074015734886596,0.0,0.6110719159172321,0.0,0.5234937389751126,0.0,0.5833073986984535,0.0,0.18130039547401106,1.0,0.8693613696018361,0.0,0.23174075889352502,0.0,0.3070241022047802,0.0,0.6733803103108922,0.0,0.6673503646506165,0.0,0.2988323538042551,0.0,0.32397566899403196,0.0,0.4504466640899552,0.0,0.6313783583682498,0.0,0.4467631401293342,0.0,0.4166385016988713,0.0,0.4275760719917109,0.0,0.4111327310821798,0.0,0.40881450623921567,0.0,0.42426161359260617,0.0,0.65217517697614,0.0,0.43637276769614675,0.0,0.604790191621139
S-CPI_bt,300,28.46545934677124,-0.017213856510279957,0.0,0.39821120397725723,0.0,0.5726528238026216,0.0,0.5154750708118443,0.0,0.3852151388764831,0.0,0.00010024481255068404,0.0,0.5655040662376201,0.0,0.5967830208923464,0.0,0.0165849069590524,0.0,0.4884669770248843,0.0,0.5363406671585954,0.0,0.5317227689759759,0.0,0.3915750131996715,0.0,0.3346289320664747,0.0,0.43577032272641414,0.0,0.3902671144292169,0.0,0.3284551570284574,0.0,0.5881341523554524,0.0,0.4462288356757087,0.0,0.7915395557656102,0.0,0.2550246876544787,0.0,0.6484884207993958,0.0,0.5256937867661838,0.0,0.7207224029698328,0.0,0.3884021209201598,0.0,0.5930781043105222,0.0,0.7396979119489289,0.0,0.07982106186604271,0.0,0.41140847420546256,0.0,0.7588362975971242,0.0,0.5349291679676244,0.0,0.7466115870012773,0.0,0.06839917137120821,1.0,0.999176462734714,0.0,0.21994928968871236,0.0,0.054070994895137336,0.0,0.6771058103331353,0.0,0.6746187528050782,0.0,0.13840127627581206,0.0,0.1902647559492341,0.0,0.4373340278580509,0.0,0.7998531219944124,0.0,0.42662647726342845,0.0,0.49605295678226835,0.0,0.13803417035278537,0.0,0.40992783139139954,0.0,0.009709021513802015,0.0,0.42811678039226875,0.0,0.706672615300611,0.0,0.26086122586059135,0.0,0.6184260870690994
