method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,3000,769.2303721904755,-0.06571310431931798,0.0,4.994655520551561e-05,0.0,0.9996595065272759,1.0,0.6217693059989496,0.0,0.9976789806888331,1.0,0.4957738267044859,1.0,0.7622448315964352,0.0,0.9792183841006716,0.0,3.6232277289549586e-08,1.0,0.013703916372813096,0.0,0.5419191739329139,1.0,0.6135765715612784,0.0,0.08659417803809111,1.0,0.6942118546726359,0.0,0.4044167315347985,0.0,0.6785095145667742,0.0,3.6193913643955966e-08,0.0,0.0017313698718672832,0.0,0.9926291678387577,0.0,0.9999916394708765,0.0,0.27503647434601564,0.0,0.0382073709039934,0.0,0.9996960511826589,1.0,0.9706446679436426,1.0,0.7792011192049882,1.0,0.8475197450466977,0.0,0.13533807514008522,0.0,0.0076208107314574836,0.0,0.9710625429025727,1.0,5.61214401888499e-05,0.0,0.7917397996383471,0.0,0.5226388552814829,0.0,0.8920471818019471,0.0,0.1896907933110208,0.0,0.7178604188865377,1.0,0.25708090497900427,0.0,0.8593158889582457,0.0,0.004082864336121816,0.0,0.209276523297365,0.0,2.3992087804014517e-05,0.0,0.02121396718456292,0.0,0.9725975304697887,1.0,0.16182377292829264,0.0,0.0024452105259451518,0.0,0.19578869008255184,0.0,0.3986845844245943,0.0,0.9971874257929747,0.0,0.0062986245146609,0.0,0.9138647764790078,0.0,0.02254773427958534,0.0,0.790895821878037
CPI,3000,34.68656873703003,-0.06571310431931798,0.0,0.5652587062801198,0.0,0.3706306810502087,1.0,0.45756120161219715,0.0,0.3404653701141135,1.0,0.5936643910569257,1.0,0.9012834788735854,0.0,0.1594548238634398,0.0,0.6090485120986625,1.0,0.23808259676069415,0.0,0.5314632279022126,1.0,0.2115128143394941,0.0,0.45716762971752517,1.0,0.44078462784450695,0.0,0.7806153994493927,0.0,0.6439844418869636,0.0,0.8433485026224292,0.0,0.9718709188191382,0.0,0.5581199874263769,0.0,0.9829383011415739,0.0,0.7922014441795944,0.0,0.5531595673770028,0.0,0.22113666364746337,1.0,0.20341425271964086,1.0,0.1825184769417223,1.0,0.28184252266142984,0.0,0.052360192218925725,0.0,0.5996512467040973,0.0,0.1983650596978152,1.0,0.032552190946690776,0.0,0.3756740689590416,0.0,0.867621301157457,0.0,0.2793396154148461,0.0,0.01699335969532792,0.0,0.9341763627753712,1.0,0.8335611867635233,0.0,0.6563386129704039,0.0,0.9128993886487566,0.0,0.4458070192740684,0.0,0.24559412965072575,0.0,0.2298425038956033,0.0,0.42055448259129363,1.0,0.8949610839640851,0.0,0.031035660259526456,0.0,0.9485226306633587,0.0,0.9794866158578016,0.0,0.41494959077924115,0.0,0.11088043089650007,0.0,0.1961093337969807,0.0,0.16208335628859533,0.0,0.9926754057871837
CPI_sqrt,3000,34.5782208442688,-0.06571310431931798,0.0,0.495549523766856,0.0,0.49385585305069013,1.0,0.47313124781382776,0.0,0.5344825491769817,1.0,0.505777535218465,1.0,0.5228673641737362,0.0,0.482881550632315,0.0,0.5140659697831638,1.0,0.48311312650455096,0.0,0.5107619970625774,1.0,0.48667071401165934,0.0,0.4502785770866566,1.0,0.49613365842697765,0.0,0.49146093558553305,0.0,0.4911647648295462,0.0,0.4858117958336803,0.0,0.49478568895201924,0.0,0.529749141793282,0.0,0.5003324201931753,0.0,0.5201469642094194,0.0,0.5177917196770065,0.0,0.483244617200852,1.0,0.49144897873757426,1.0,0.5095885945288444,1.0,0.4930708418686437,0.0,0.5011642854664611,0.0,0.511072912181712,0.0,0.46550583590317907,1.0,0.4888843062190913,0.0,0.5085493053212334,0.0,0.5027094987550192,0.0,0.4747797431728682,0.0,0.49206736839841575,0.0,0.5156093810272383,1.0,0.477049530090688,0.0,0.607276416231065,0.0,0.5560034166808803,0.0,0.48202816913130225,0.0,0.497778089431346,0.0,0.4925631537452064,0.0,0.48935536554535397,1.0,0.42951575008863285,0.0,0.5006940929812941,0.0,0.5045324856307614,0.0,0.4943858187927769,0.0,0.5210452844177048,0.0,0.4611748410379688,0.0,0.4797431565139508,0.0,0.46892281708870204,0.0,0.5369989314076303
CPI_n,3000,34.51878023147583,-0.06571310431931798,0.0,0.8096658354352579,0.0,0.7397223638400934,1.0,0.45937952160537415,0.0,0.7404967658387158,1.0,0.4810633576965837,1.0,0.7705074291217644,0.0,0.515696784796024,0.0,0.6086318563479172,1.0,0.41771611707256706,0.0,0.8440482830213627,1.0,0.41392026159958906,0.0,0.5595708991202268,1.0,0.16435187186548822,0.0,0.3792319095871205,0.0,0.4164203606360418,0.0,0.630731648247188,0.0,0.5075264903977045,0.0,0.5650862577246806,0.0,0.7185039085997333,0.0,0.7722984082035887,0.0,0.6063603974237864,0.0,0.3345581156406208,1.0,0.5295607466921411,1.0,0.7418379422826666,1.0,0.6104384241352515,0.0,0.8471250283909328,0.0,0.6960907238081181,0.0,0.05786665100695247,1.0,0.3032787214454407,0.0,0.49829619858977453,0.0,0.5039051393994548,0.0,0.7398561408825192,0.0,0.2696966194637511,0.0,0.41487198338778397,1.0,0.2943228879549017,0.0,0.9344807021089558,0.0,0.665768319637364,0.0,0.18265229108323394,0.0,0.47189440419957607,0.0,0.22719991668850947,0.0,0.2748250786317583,1.0,0.269144885887461,0.0,0.7833420320356641,0.0,0.7470919094194608,0.0,0.6476411646817998,0.0,0.3939699568298293,0.0,0.13833599798833796,0.0,0.1723923253638801,0.0,0.7554818310459468,0.0,0.5218658699100455
CPI_bt,3000,42.58161997795105,-0.06571310431931798,0.0,0.07682634105645177,0.0,0.9251894077501595,1.0,0.5990251490949842,0.0,0.3648994436823879,1.0,0.469341418614505,1.0,0.840336476699084,0.0,0.9968999946336777,0.0,0.9514029438797568,1.0,0.4805742410876413,0.0,0.5639788180684486,1.0,0.3420821528144129,0.0,0.6706115216074491,1.0,0.0812947351224102,0.0,0.7044261161417231,0.0,0.5955791842607384,0.0,0.6342102145623878,0.0,0.9350199397496937,0.0,0.04709019896732742,0.0,0.3030387037089385,0.0,0.925521370718067,0.0,0.0011083541244211077,0.0,0.3397707861181599,1.0,0.16954221478750714,1.0,0.11810737602536292,1.0,0.8865105735811798,0.0,0.30183804773993317,0.0,0.5723291016611725,0.0,0.001433423123994126,1.0,0.0006905607889621531,0.0,0.19366031927755673,0.0,0.7834832600685674,0.0,0.6622860440876401,0.0,0.8831488946390392,0.0,0.7206224762384734,1.0,0.4372025069664536,0.0,0.9833982138691811,0.0,0.9761403308028903,0.0,0.9695298873583765,0.0,0.8901086679275669,0.0,0.8193682916966742,0.0,0.2929177214680512,1.0,0.032460948872783967,0.0,0.3100724618088879,0.0,0.9946865240644341,0.0,0.06389161761635485,0.0,0.4239258850377433,0.0,0.1749700970376758,0.0,0.9999655650708733,0.0,0.08496885086137318,0.0,0.9952171642864959
CPI_sqd,3000,42.53642988204956,-0.06571310431931798,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9999986607019302,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.999999990142116,0.0,1.0,0.0,0.9980781520841453,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.020808172782918154,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.1160896854193245e-24,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
S-CPI,3000,36.01615810394287,-0.06571310431931798,0.0,0.5599690574950776,0.0,0.7735412625712069,1.0,0.6362961131810723,0.0,0.8122900411405637,1.0,0.9013862929877756,1.0,0.8988559523337244,0.0,0.5805182207933136,0.0,0.8561573441879606,1.0,0.7277756134440554,0.0,0.8155374679061826,1.0,0.18600986989573198,0.0,0.7532801325438632,1.0,0.17713227632255168,0.0,0.2007127619276966,0.0,0.5746469188511021,0.0,0.7931718550295528,0.0,0.9408440971194674,0.0,0.8977049943904489,0.0,0.5952064399211597,0.0,0.9821631575811852,0.0,0.8870673959302369,0.0,0.4471104374992968,1.0,0.6230691893768092,1.0,0.8584816798061057,1.0,0.6799925601085149,0.0,0.7324619680057919,0.0,0.8921590591267385,0.0,0.36388052906424206,1.0,0.045002929109073386,0.0,0.5878709081538069,0.0,0.9757592408827316,0.0,0.6298811848641472,0.0,0.2538876979330766,0.0,0.6480994310776705,1.0,0.5026321400506433,0.0,0.9757345578200007,0.0,0.928077160298075,0.0,0.7672965060570351,0.0,0.7093454448979618,0.0,0.34669860544795356,0.0,0.33485473977202584,1.0,0.8297464177489916,0.0,0.678336779510571,0.0,0.9893745303984735,0.0,0.772052716634095,0.0,0.8866350260257804,0.0,0.10280381282774625,0.0,0.6898477347439349,0.0,0.919004547420708,0.0,0.99353998581615
S-CPI_sqrt,3000,36.09894800186157,-0.06571310431931798,0.0,0.5211744440829789,0.0,0.5332959146878942,1.0,0.5203046215520224,0.0,0.5335903224787109,1.0,0.5148265281343049,1.0,0.5553179254025737,0.0,0.5144937738285735,0.0,0.5348920746713065,1.0,0.5074298815877873,0.0,0.5381643127946263,1.0,0.48757058338155196,0.0,0.5092025473059547,1.0,0.4932657741633785,0.0,0.4749038057844662,0.0,0.4991335425771128,0.0,0.5028904169490671,0.0,0.5371144580759614,0.0,0.5213102391541811,0.0,0.5166149641546781,0.0,0.5586843752930399,0.0,0.5453891761489258,0.0,0.5064478425212081,1.0,0.5010292280944993,1.0,0.5400274308899097,1.0,0.5212041671574088,0.0,0.5441800591222121,0.0,0.5195089321209859,0.0,0.48091646590432624,1.0,0.4242245849258778,0.0,0.5160797974009352,0.0,0.5172284228179795,0.0,0.5007920128423106,0.0,0.4761457674802611,0.0,0.4990986125940722,1.0,0.5103935383549171,0.0,0.6426068674067195,0.0,0.5866205534794965,0.0,0.5333604978621488,0.0,0.5000648054203995,0.0,0.5002422552176964,0.0,0.4815884965635843,1.0,0.5390140633078042,0.0,0.5023475579999866,0.0,0.539991481526849,0.0,0.514206106424192,0.0,0.51345048950696,0.0,0.4768599215563382,0.0,0.5380459643496728,0.0,0.5222259319413568,0.0,0.6447875454528221
S-CPI_n,3000,35.770358085632324,-0.06571310431931798,0.0,0.6873356810089543,0.0,0.7395462102396371,1.0,0.7490720476959148,0.0,0.7517635606648949,1.0,0.8634197412409859,1.0,0.802745626362943,0.0,0.5923138007940647,0.0,0.7919032999008118,1.0,0.5380176500203047,0.0,0.8989223027417952,1.0,0.3607103562108167,0.0,0.5773910269353567,1.0,0.40136628491065424,0.0,0.43299136160211327,0.0,0.5444700563530127,0.0,0.7292023085039692,0.0,0.8689965196215774,0.0,0.7847753552880862,0.0,0.6325998792777123,0.0,0.8884525164786843,0.0,0.8614484552715052,0.0,0.567765059429744,1.0,0.4751610586391828,1.0,0.8537634664292867,1.0,0.6470276324964158,0.0,0.8604380138024699,0.0,0.756391342493032,0.0,0.379282866558971,1.0,0.10358785963880235,0.0,0.566481859097293,0.0,0.7527255032933842,0.0,0.3914617333497044,0.0,0.4031932700120549,0.0,0.5909431443739321,1.0,0.4609515935068718,0.0,0.9708940582898131,0.0,0.9591509288283749,0.0,0.8301026556904753,0.0,0.5037809448996112,0.0,0.3696737188013795,0.0,0.33312378844313195,1.0,0.6347722869431187,0.0,0.5743021267961402,0.0,0.7957338988625196,0.0,0.641957375186055,0.0,0.7850796770339625,0.0,0.2273842522947318,0.0,0.7271168984083332,0.0,0.6945047932711106,0.0,0.9254675132632375
S-CPI_bt,3000,43.59497094154358,-0.06571310431931798,0.0,0.9996108783842299,0.0,0.979212549038687,1.0,0.641748060302711,0.0,0.9986736843736786,1.0,0.9997386200033263,1.0,0.9995231313505225,0.0,0.8442047915097501,0.0,0.9996195971306189,1.0,0.47977076910843314,0.0,0.9999649439334728,1.0,0.2752163001819654,0.0,0.9993738011939771,1.0,0.3215394075725478,0.0,0.34757642813942957,0.0,0.4027948298753317,0.0,0.6115657138677456,0.0,0.9861307241064884,0.0,0.9932071638746662,0.0,0.7526116689051303,0.0,0.9991444703814262,0.0,0.9999997436681689,0.0,0.6297602958900248,1.0,0.8601863021854094,1.0,0.9999999750273203,1.0,0.9990607596286355,0.0,0.9884277960101381,0.0,0.9059168980498802,0.0,0.002344529497023151,1.0,5.842299889023108e-07,0.0,0.8549424129479593,0.0,0.9289023643825303,0.0,0.06851123020404687,0.0,0.11543766763955476,0.0,0.1708595247129333,1.0,0.8602704480149675,0.0,1.0,0.0,0.9999999997383034,0.0,0.9973279402068386,0.0,0.9186456928434918,0.0,0.173597969876709,0.0,0.6957377733495389,1.0,0.9961585162713937,0.0,0.5112465465228605,0.0,0.9938197139505666,0.0,0.7668145540239815,0.0,0.7756790462458452,0.0,0.005477561847610481,0.0,0.8413304686986244,0.0,0.9895688618250849,0.0,1.0
