method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,79.4688823223114,-0.2705798150143188,1.0,1.8383944033750765e-08,0.0,0.9999999996457193,0.0,0.3694191067160639,0.0,0.00014349586903106282,0.0,0.9999999891031236,1.0,0.999999999973199,0.0,0.8635949704492629,1.0,6.398713781052834e-10,0.0,0.9999990150774959,0.0,0.9999997256096527,1.0,4.783611912140273e-07,1.0,0.006712982101890419,1.0,0.004989997298559312,1.0,1.5299636862975419e-06,0.0,0.9999997295344186,0.0,0.02661496530570906,0.0,0.5855618823262263,0.0,0.9999584507312806,0.0,0.35518761954737554,0.0,0.9999998633567476,0.0,0.9999785583051108,1.0,0.0009124107545643856,0.0,1.2135285998304823e-08,0.0,0.6963348499471784,1.0,0.99999995503507,0.0,1.4609434773049657e-08,0.0,3.035428866038359e-07,0.0,2.431628805199537e-06,0.0,3.6220883696813644e-06,0.0,0.13961210263119794,0.0,0.013080165565235502,0.0,0.03504383151352042,0.0,0.9999999994580359,0.0,2.2537527399890678e-14,0.0,0.6911713248738003,0.0,1.170409869022393e-08,0.0,0.9999999999751374,0.0,4.932279312752641e-07,0.0,2.55200601928518e-06,0.0,0.0012196876271658441,0.0,1.5922086850084227e-05,1.0,0.9959901663504507,0.0,4.406136455692433e-09,0.0,0.9784037960250188,1.0,0.15956340607069808,0.0,0.006277665230605689,0.0,0.9999975523417324,0.0,0.00032009189050219433,1.0,0.7659362904135767,0.0,0.8922347183463444
CPI,300,4.264338493347168,-0.2705798150143188,1.0,0.41278475695587785,0.0,0.7057959140652028,0.0,0.6784106516898517,0.0,0.16962953110958207,0.0,0.24856771012476991,1.0,0.12246073630575677,0.0,0.8728476319860539,1.0,0.21648489465418042,0.0,0.7216798265521234,0.0,0.4040300578944789,1.0,0.9844178068455405,1.0,0.7806167837949123,1.0,0.4528941669348795,1.0,0.39472482952340027,0.0,0.9408351755200599,0.0,0.4557226456311078,0.0,0.6397084704004037,0.0,0.4451854822049423,0.0,0.40570000416135094,0.0,0.5835416527919074,0.0,0.2767911822633472,1.0,0.1452492419569612,0.0,0.8874041249815987,0.0,0.17564925727758385,1.0,0.7155356385458693,0.0,0.3432023566494994,0.0,0.3298517316606997,0.0,0.938684161534084,0.0,0.11550355143888918,0.0,0.7937419448111234,0.0,0.4740079474478632,0.0,0.9270184688176777,0.0,0.26083555720929785,0.0,0.603865900080479,0.0,0.26670866580221253,0.0,0.325191932036442,0.0,0.4421307158339341,0.0,0.17818005187735664,0.0,0.8885718127335698,0.0,0.6035049420619252,0.0,0.23065632490329196,1.0,0.30333309973541034,0.0,0.12234706214243951,0.0,0.7399469393204434,1.0,0.7668406787048747,0.0,0.8646316894858439,0.0,0.24094456802297232,0.0,0.17225936341114667,1.0,0.9320298719755113,0.0,0.2516066775020338
CPI_sqrt,300,4.218706369400024,-0.2705798150143188,1.0,0.47738664538356573,0.0,0.5065393594304931,0.0,0.5101682910536389,0.0,0.5127744251473819,0.0,0.493078898911027,1.0,0.5027651833944599,0.0,0.5065782152763447,1.0,0.5521725683925359,0.0,0.514653756371893,0.0,0.48363111280772736,1.0,0.5382271628517489,1.0,0.505231349730977,1.0,0.4973249612173549,1.0,0.4596059973694505,0.0,0.5097349597347036,0.0,0.5108334722955562,0.0,0.5155812293814743,0.0,0.5390376311514097,0.0,0.4589437160364932,0.0,0.5022546566945716,0.0,0.5921003369943516,1.0,0.5879482166020077,0.0,0.5102800480039665,0.0,0.48602128664066696,1.0,0.5047695021355262,0.0,0.5698913357671813,0.0,0.4962401911828106,0.0,0.5605570228497001,0.0,0.5062764835663828,0.0,0.5792176707785273,0.0,0.5371866761794553,0.0,0.49003966500489105,0.0,0.45630308017110244,0.0,0.4697464585575844,0.0,0.5217144604456287,0.0,0.4633107895430437,0.0,0.5545441317519979,0.0,0.4847400120602033,0.0,0.5089822496184209,0.0,0.4899804285918415,0.0,0.45001410590373553,1.0,0.5284876327523865,0.0,0.491325163672849,0.0,0.4745037706567612,1.0,0.5274991714296108,0.0,0.5634595646016912,0.0,0.49446744103274237,0.0,0.4938538444095851,1.0,0.6802487900563744,0.0,0.5289327189051427
CPI_n,300,4.2186243534088135,-0.2705798150143188,1.0,0.3693993349728797,0.0,0.3308097745911393,0.0,0.47180632490304764,0.0,0.5111866498885494,0.0,0.4324714765700649,1.0,0.5829194604130934,0.0,0.619327776472244,1.0,0.25291882907954577,0.0,0.7555039404112861,0.0,0.5035067471150604,1.0,0.5569103765363446,1.0,0.4587492929249234,1.0,0.565777975110497,1.0,0.48163503868768603,0.0,0.5858390824554192,0.0,0.519629302351712,0.0,0.5737643958590426,0.0,0.6287060327163949,0.0,0.18886446537550733,0.0,0.5268238314524237,0.0,0.4226116492131685,1.0,0.5116832776494011,0.0,0.5857539155563334,0.0,0.31720453343461946,1.0,0.5214964925508244,0.0,0.3338202963944912,0.0,0.4571056598969495,0.0,0.8339768944962396,0.0,0.4496435406588106,0.0,0.46782929179500643,0.0,0.4033951536553989,0.0,0.586529824941896,0.0,0.5593356422530609,0.0,0.4494855206533613,0.0,0.3873645687074381,0.0,0.40835803534688697,0.0,0.22879320853912494,0.0,0.4391840583858561,0.0,0.5610622411583559,0.0,0.5558161786130844,0.0,0.7309097451953397,1.0,0.7119657657264273,0.0,0.4327815175969559,0.0,0.3699771614017074,1.0,0.6252497634449272,0.0,0.5488074980579518,0.0,0.1963035640937798,0.0,0.3283121963896443,1.0,0.610445003668022,0.0,0.3586649937786399
CPI_bt,300,4.402239561080933,-0.2705798150143188,1.0,0.4283484603992058,0.0,0.673598232898592,0.0,0.44342163711915783,0.0,0.41554750150856196,0.0,0.5235560218483047,1.0,0.5778920869155788,0.0,0.7196067291161529,1.0,0.4072837272049842,0.0,0.9618138441408166,0.0,0.028289485346422002,1.0,0.8042542801807212,1.0,0.7831376779534971,1.0,0.4362984040008743,1.0,0.23887739326107005,0.0,0.6548273064298914,0.0,0.4568868197676283,0.0,0.5340201086721544,0.0,0.6661392158503263,0.0,0.51032621407297,0.0,0.6029850412538843,0.0,1.0095016202621424e-05,1.0,0.6872369133652406,0.0,0.7348815978821427,0.0,0.5093695297331489,1.0,0.6933243597502812,0.0,0.6035572658191161,0.0,0.4125518824997604,0.0,0.9074853242302554,0.0,0.37847736797552967,0.0,0.7350106320929239,0.0,0.23208268778232655,0.0,0.4954346629006216,0.0,0.7116083741402452,0.0,0.6255648853316855,0.0,0.2658947517086956,0.0,0.2227047849476338,0.0,0.5786650792598106,0.0,0.006982819877767311,0.0,0.45076904500805987,0.0,0.42309511622895835,0.0,0.7570668746035756,1.0,0.4039120520886688,0.0,0.3811353830938806,0.0,0.8065357694325852,1.0,0.6876406973469422,0.0,0.5467689926902504,0.0,0.1488075055543887,0.0,0.5921017750772367,1.0,0.9891755344043646,0.0,0.24558831664305197
CPI_sqd,300,4.3990747928619385,-0.2705798150143188,1.0,3.034755621468027e-95,0.0,0.0,0.0,1.0,0.0,7.886264712104326e-134,0.0,2.2070450077450306e-58,1.0,0.7450069905355153,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2651583746064988,1.0,1.0,0.0,1.0,0.0,0.9999999962988557,0.0,1.0,0.0,1.0,0.0,2.890926933635628e-230,0.0,1.0,0.0,8.930493033557436e-11,1.0,1.0,0.0,1.0,0.0,2.9510054285429174e-146,1.0,1.0,0.0,1.0,0.0,5.392622412988497e-05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9477714197816693,0.0,3.826529439046597e-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00017832474753860726,0.0,8.759836214273837e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0001127182270063454,0.0,1.5356985024343433e-31,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9999999772923579,0.0,4.770376674548901e-134,1.0,1.0,0.0,0.0
S-CPI,300,4.618495941162109,-0.2705798150143188,1.0,0.5692823064390369,0.0,0.5328604360182565,0.0,0.7048640013876082,0.0,0.3242448308819254,0.0,0.3503130661239655,1.0,0.7510099032931074,0.0,0.917110240428425,1.0,0.5902276407750083,0.0,0.873999550940709,0.0,0.6167562244215054,1.0,0.9773907040819684,1.0,0.8058341246331603,1.0,0.148134256644797,1.0,0.7466649044861778,0.0,0.8733196025146993,0.0,0.9339853133281559,0.0,0.854359654500389,0.0,0.9316117363520096,0.0,0.08800769128111252,0.0,0.8737068950940374,0.0,0.48358052179578487,1.0,0.9144085178065211,0.0,0.8321496905822359,0.0,0.4894684919083147,1.0,0.8835330051825476,0.0,0.25405859279249776,0.0,0.21816171832015374,0.0,0.8687525729401268,0.0,0.4021285566849248,0.0,0.4394149581250812,0.0,0.6532084121440341,0.0,0.6377302025044156,0.0,0.5467272712363467,0.0,0.7401888447664606,0.0,0.24535420200398272,0.0,0.45719155161411384,0.0,0.5589156938961708,0.0,0.17219010928033052,0.0,0.9101466807701104,0.0,0.39064304470436306,0.0,0.8005302576963165,1.0,0.5203068678947227,0.0,0.11057901866815079,0.0,0.4173876342706519,1.0,0.7795635707847766,0.0,0.6875806476328167,0.0,0.37274114262969477,0.0,0.42724894814243797,1.0,0.9846059748072726,0.0,0.22390378457407845
S-CPI_sqrt,300,4.61640191078186,-0.2705798150143188,1.0,0.48956963514398844,0.0,0.5416985410150209,0.0,0.5233427826154666,0.0,0.5038384793256613,0.0,0.4926567830566015,1.0,0.5115341261298014,0.0,0.5115326870043773,1.0,0.5042607732185559,0.0,0.5597600241556254,0.0,0.5583672326777331,1.0,0.5610848191862576,1.0,0.5044276517463839,1.0,0.4923148795880891,1.0,0.511304011325556,0.0,0.526708864765883,0.0,0.5139367323997095,0.0,0.514774297141026,0.0,0.537596227438649,0.0,0.43809157136646426,0.0,0.5113122062722425,0.0,0.4573491825318796,1.0,0.5898705700802003,0.0,0.5313250490757359,0.0,0.4931221276311165,1.0,0.5244164899129942,0.0,0.49283564471459324,0.0,0.487663876650256,0.0,0.5654967049262436,0.0,0.500074305366251,0.0,0.5532085483486247,0.0,0.4926914264328538,0.0,0.5157951750022127,0.0,0.5128849275062058,0.0,0.543311678822244,0.0,0.4776668907988217,0.0,0.5175684573793272,0.0,0.5005122097877777,0.0,0.4399342179547222,0.0,0.5303200796672727,0.0,0.4758562340465143,0.0,0.5283364371894516,1.0,0.47525733435633405,0.0,0.4903213641127354,0.0,0.5048244270119295,1.0,0.5457358142404791,0.0,0.5351270763139125,0.0,0.4809858488213566,0.0,0.48607806215297406,1.0,0.7364432091576686,0.0,0.47058507644087655
S-CPI_n,300,4.614383220672607,-0.2705798150143188,1.0,0.4709751925207369,0.0,0.6232432062871276,0.0,0.6369347599268376,0.0,0.451573041637689,0.0,0.4443981427278987,1.0,0.5183563880199266,0.0,0.6066749698128623,1.0,0.44570199951428446,0.0,0.788030406285566,0.0,0.7347900333803249,1.0,0.7954584057033098,1.0,0.5624325167925553,1.0,0.45411799199650543,1.0,0.6869143476986528,0.0,0.6584070179556943,0.0,0.5994065553596678,0.0,0.6284691338276391,0.0,0.6734217204272183,0.0,0.24542381305721633,0.0,0.6165309607412176,0.0,0.6242514486010151,1.0,0.7621398777552076,0.0,0.6302968707639847,0.0,0.4622757482184321,1.0,0.7040509751117926,0.0,0.5091848099135189,0.0,0.4464967793456811,0.0,0.7712830186485793,0.0,0.5180025001858493,0.0,0.5956730459769402,0.0,0.5866245140073164,0.0,0.5634505068595199,0.0,0.48678300576433153,0.0,0.5385822815144863,0.0,0.3079430185977133,0.0,0.47737131000098204,0.0,0.440867420961093,0.0,0.33662601741074444,0.0,0.6447857297067513,0.0,0.41924126563958675,0.0,0.7452467546698925,1.0,0.347262797887756,0.0,0.4244626372757089,0.0,0.6143158373036217,1.0,0.5750216391746068,0.0,0.682259932532774,0.0,0.2996194248709558,0.0,0.3283774308496972,1.0,0.9802935072540424,0.0,0.34418988301135367
S-CPI_bt,300,4.8146491050720215,-0.2705798150143188,1.0,0.5439324860613345,0.0,0.539869825950341,0.0,0.7221460543909484,0.0,0.46809035601522603,0.0,0.47167735525836785,1.0,0.5625459636612541,0.0,0.6652897507473883,1.0,0.5829266822152244,0.0,0.9530915049297612,0.0,0.9282193370639815,1.0,0.9356594660280244,1.0,0.6652609451267351,1.0,0.4500997195763146,1.0,0.7919634869038514,0.0,0.7257850067583478,0.0,0.6194241533249809,0.0,0.5896094453410294,0.0,0.7891781695487503,0.0,0.07141758557121045,0.0,0.6654568566171482,0.0,0.6973081076108564,1.0,0.9429110592232233,0.0,0.775150554797001,0.0,0.4579393821353538,1.0,0.9141548323439612,0.0,0.22885766373267025,0.0,0.3833868578826674,0.0,0.9925132356167358,0.0,0.5329248266800135,0.0,0.5322651503855653,0.0,0.3004664680573549,0.0,0.6776089002601117,0.0,0.5662956471526343,0.0,0.9841052113329283,0.0,0.4337850541820023,0.0,0.31178765426632904,0.0,0.4371186430011123,0.0,0.057819811655755504,0.0,0.65127331007453,0.0,0.21112200041941998,0.0,0.9662467932801658,1.0,0.03251659357102954,0.0,0.38742354691776565,0.0,0.7328318277334277,1.0,0.8926949771093764,0.0,0.7578482345040711,0.0,0.4982237250113988,0.0,0.3003054885186838,1.0,0.9999999999996775,0.0,0.16794500563799847
