method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,919.5968632698059,-0.011805555769203613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.002755395861925e-06,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9135182080628765,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0004786147719607614,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.009293782963520125,0.0,0.9985194677769837,0.0,0.0,0.0,0.0005309571218573561,0.0,0.0,0.0,0.0,0.0,0.999987826524091,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
CPI,300,17.63812279701233,-0.011805555769203613,1.0,0.47177622893639004,0.0,0.7373328909490504,0.0,0.7498652221853896,0.0,0.21438889530113836,0.0,0.07058559487195763,1.0,0.09515811642313032,0.0,0.8471425943518653,1.0,0.09970396943187632,0.0,0.6128505497870055,0.0,0.1896398520859679,1.0,0.9638882593506176,1.0,0.8313086035771664,1.0,0.41387889138911294,1.0,0.26862682933652876,0.0,0.96570313297868,0.0,0.12626696019531847,0.0,0.5185022223208444,0.0,0.3101415252683199,0.0,0.42617073450754284,0.0,0.5189398799492955,0.0,0.5863571302744103,1.0,0.15056646283809005,0.0,0.7840125299806768,0.0,0.023135073134792367,1.0,0.7314357555975265,0.0,0.39270985213689835,0.0,0.15671518171810267,0.0,0.9380617950726299,0.0,0.20048649251087652,0.0,0.9154782385241986,0.0,0.6998622201373952,0.0,0.8638901631116563,0.0,0.05838850562007401,0.0,0.5892914188091795,0.0,0.40834582005896536,0.0,0.6789345257899354,0.0,0.15359997762898098,0.0,0.06404301784826492,0.0,0.980418365174008,0.0,0.8710633704642623,0.0,0.270587157991672,1.0,0.42828875296676305,0.0,0.0936931051768739,0.0,0.7800332913256807,1.0,0.34129394170883814,0.0,0.989268009910137,0.0,0.17146296847349207,0.0,0.15873821166028695,1.0,0.8685717156415379,0.0,0.232746759478627
CPI_sqrt,300,17.649568796157837,-0.011805555769203613,1.0,0.4970481480516615,0.0,0.4995632726760318,0.0,0.5015520263031782,0.0,0.49989111716320495,0.0,0.49916181637904494,1.0,0.5012349973406458,0.0,0.5014900276666455,1.0,0.5000999056057172,0.0,0.5001741622735518,0.0,0.48048393693942426,1.0,0.5042807501819053,1.0,0.4999548256289395,1.0,0.5001188790879377,1.0,0.4939228237948007,0.0,0.5007188946016603,0.0,0.499974238699554,0.0,0.5007561790707227,0.0,0.5023096934308774,0.0,0.49562324454244383,0.0,0.5004669787436185,0.0,0.5258090686158347,1.0,0.5110328158090244,0.0,0.49921725260263483,0.0,0.4968340527929176,1.0,0.49835630061410374,0.0,0.5073696454605785,0.0,0.49948201539210046,0.0,0.5047023832064331,0.0,0.5003771856339314,0.0,0.506441410092706,0.0,0.5066173368141142,0.0,0.49838075796618536,0.0,0.4924132591366776,0.0,0.49294343314916667,0.0,0.5025361195348108,0.0,0.4980798616612138,0.0,0.5042909818719732,0.0,0.4973398135961996,0.0,0.5016450327094252,0.0,0.49856813205072864,0.0,0.49912034842913133,1.0,0.5023978615865426,0.0,0.49902935027352857,0.0,0.4970919894875259,1.0,0.5021960875391454,0.0,0.5106259639303217,0.0,0.498187009559637,0.0,0.4983922549097951,1.0,0.5198812053866602,0.0,0.501397421814653
CPI_n,300,17.646872520446777,-0.011805555769203613,1.0,0.48534400922090326,0.0,0.4644748792803526,0.0,0.48579847072008675,0.0,0.5053894146437635,0.0,0.4865105231973436,1.0,0.5171766444619639,0.0,0.5209031102326555,1.0,0.35434358534891425,0.0,0.5393125662960063,0.0,0.49760865050269054,1.0,0.531901274175209,1.0,0.4869503413101192,1.0,0.5183484877603031,1.0,0.5094286747595623,0.0,0.5131150980036416,0.0,0.5018613934353043,0.0,0.49743812577331287,0.0,0.5031365844588725,0.0,0.44142574729016254,0.0,0.5061588784002211,0.0,0.5834754417626127,1.0,0.48583619952192403,0.0,0.5155378805573247,0.0,0.4398712913927403,1.0,0.5009665477731002,0.0,0.46415568215628655,0.0,0.4779964868307512,0.0,0.5531746616330674,0.0,0.5003340047720768,0.0,0.5118711193867717,0.0,0.4856419463104994,0.0,0.5058302838991633,0.0,0.49222770036541597,0.0,0.4285736762666216,0.0,0.483167703278763,0.0,0.48797338114096944,0.0,0.4244625103495043,0.0,0.5096174908238046,0.0,0.5169645824400063,0.0,0.4994708122115107,0.0,0.5266601931630048,1.0,0.5330768188046675,0.0,0.4873790930727282,0.0,0.5202703525274311,1.0,0.5045281107607794,0.0,0.5502670010791383,0.0,0.45855877995816247,0.0,0.4726758153264579,1.0,0.5009099726895523,0.0,0.4668960264995963
CPI_bt,300,17.834106922149658,-0.011805555769203613,1.0,0.49929068106974883,0.0,0.5226002911748573,0.0,0.5041912395993382,0.0,0.47256049200365613,0.0,0.4969001213498507,1.0,0.5147832216428652,0.0,0.5308554371051891,1.0,0.3966547030527382,0.0,0.5618796940687386,0.0,0.3720729667679261,1.0,0.5317983655479428,1.0,0.5270900822712309,1.0,0.49125810310680795,1.0,0.4605737153423206,0.0,0.5123213932074322,0.0,0.4993254814449421,0.0,0.502208187806667,0.0,0.5144868690038337,0.0,0.4750273573027756,0.0,0.5027615142475216,0.0,0.37282630304004694,1.0,0.5100450308419461,0.0,0.5133610142583235,0.0,0.46593892788757807,1.0,0.503669646393268,0.0,0.5044678253197449,0.0,0.47169541968871487,0.0,0.5398767638487653,0.0,0.4951812722412073,0.0,0.5379305795636091,0.0,0.4726019799280372,0.0,0.5068709269788266,0.0,0.4875738545727514,0.0,0.4743833672127038,0.0,0.4846780352706021,0.0,0.4710483648370351,0.0,0.5207894767246573,0.0,0.4396307297032469,0.0,0.507739821799515,0.0,0.48332533967213126,0.0,0.5429145372658299,1.0,0.4006118207567044,0.0,0.48545863012032336,0.0,0.526170263601909,1.0,0.49506270257697294,0.0,0.5456732270049667,0.0,0.4498991908136207,0.0,0.5149543360691813,1.0,0.5763327224032655,0.0,0.4570828760380826
CPI_sqd,300,17.83671545982361,-0.011805555769203613,1.0,0.0001570212168093003,0.0,0.059294677028030665,0.0,0.9991421697695065,0.0,1.496908483769703e-07,0.0,0.0002966542780316793,1.0,0.8019579803127568,0.0,0.9998837699165976,1.0,2.2368293079700387e-15,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8687402830154447,1.0,0.0798748205121706,1.0,0.9999999983900879,0.0,0.9999973557613434,0.0,0.5243457478749736,0.0,0.9999997633662514,0.0,0.999997787724081,0.0,0.25532621425742996,0.0,0.9999991330434552,0.0,0.9999983311215168,1.0,0.035386620623590444,0.0,0.6627736119212503,0.0,3.2037444028860035e-34,1.0,1.0,0.0,0.5734710082862249,0.0,0.0006721045681148444,0.0,0.5626260971784554,0.0,0.9483002144981009,0.0,0.9999999946146906,0.0,0.9998632914324906,0.0,0.5106882897333281,0.0,0.00018213316386865726,0.0,1.0,0.0,0.00012218541749774248,0.0,7.667033506266179e-57,0.0,0.9999999645431996,0.0,0.8391810024059474,0.0,0.009563952810386387,0.0,1.6241034757221534e-11,0.0,1.8563992927829828e-07,1.0,7.958313881598952e-09,0.0,0.04461992610223638,0.0,0.9962855592603729,1.0,0.9666097953133247,0.0,1.0,0.0,0.5274743243377357,0.0,0.6059331078084216,1.0,1.0,0.0,6.694686131718811e-07
S-CPI,300,30.77787160873413,-0.011805555769203613,1.0,0.6874151582452703,0.0,0.6494120348525271,0.0,0.535882811579313,0.0,0.19703442077741073,0.0,0.07773245674934244,1.0,0.7729201256949624,0.0,0.9770214878488048,1.0,0.22780676925708232,0.0,0.7917081356040142,0.0,0.300080194738106,1.0,0.9967396521412845,1.0,0.7941518096963547,1.0,0.16988835441373834,1.0,0.6547012012631115,0.0,0.9473031217644846,0.0,0.28483053979082107,0.0,0.720550363611355,0.0,0.8281906141073472,0.0,0.02748563989386989,0.0,0.8378487114484011,0.0,0.5362442106253155,1.0,0.7811804302107144,0.0,0.5733436280544665,0.0,0.08679239315747345,1.0,0.7544071998218511,0.0,0.10290367864904082,0.0,0.042558040120460806,0.0,0.7200259300695393,0.0,0.49828708858479814,0.0,0.27236866129769216,0.0,0.7526728561469763,0.0,0.6951045133368374,0.0,0.13809783753567806,0.0,0.4524156270764864,0.0,0.2491735689242967,0.0,0.4643624214417093,0.0,0.6087171923432607,0.0,0.07986999190966204,0.0,0.9744613511208817,0.0,0.3666173854497784,0.0,0.8273561625270704,1.0,0.3793680761802425,0.0,0.1724971756872048,0.0,0.3338709062677663,1.0,0.6563773954174152,0.0,0.910697062214808,0.0,0.2167193495009423,0.0,0.4787732226542495,1.0,0.896648053978252,0.0,0.14139411916846378
S-CPI_sqrt,300,30.755972385406494,-0.011805555769203613,1.0,0.499030041534692,0.0,0.5058711957638441,0.0,0.5010591988250629,0.0,0.49867285931363764,0.0,0.49837040215589085,1.0,0.5021871016800064,0.0,0.5020637728965494,1.0,0.483687156976908,0.0,0.5051538443339567,0.0,0.4794509268784001,1.0,0.5049348365579049,1.0,0.500917588379856,1.0,0.49883221293663266,1.0,0.5012712499307002,0.0,0.5018176204211434,0.0,0.4998335311227366,0.0,0.5006713379761777,0.0,0.5021806158604457,0.0,0.4928020927264396,0.0,0.5015087026914509,0.0,0.4958008330804274,1.0,0.5080781446924888,0.0,0.5002738053808837,0.0,0.49264707224587434,1.0,0.5040828769676655,0.0,0.4958131942585993,0.0,0.4965735966654785,0.0,0.5038558633192888,0.0,0.5002677165537444,0.0,0.5051031410977118,0.0,0.5013103460031499,0.0,0.5018336843158049,0.0,0.4972529306213115,0.0,0.5001991948624552,0.0,0.4984547510389746,0.0,0.5021401303606702,0.0,0.4968052204187949,0.0,0.4910661468341535,0.0,0.5058569679276759,0.0,0.498005653293831,0.0,0.5017408983075397,1.0,0.49080073658238305,0.0,0.49900733965115235,0.0,0.49969527230230043,1.0,0.502162832331027,0.0,0.5102974604813709,0.0,0.496368361711491,0.0,0.49860352937823416,1.0,0.5277052709088467,0.0,0.4966115424430941
S-CPI_n,300,30.7908935546875,-0.011805555769203613,1.0,0.4944979338620278,0.0,0.5530035618496552,0.0,0.5094949706884071,0.0,0.4784838514971443,0.0,0.4845717263060415,1.0,0.5058051430901148,0.0,0.5165844935800202,1.0,0.3637114874672478,0.0,0.5507773593056536,0.0,0.42277275628766225,1.0,0.548083461781677,1.0,0.5092736433446506,1.0,0.4946790038774036,1.0,0.5249840091442614,0.0,0.5167740242757367,0.0,0.4989159792672792,0.0,0.5118141995371965,0.0,0.5242261783745139,0.0,0.4378943935403805,0.0,0.5179216089181262,0.0,0.590147096246088,1.0,0.5432430150000893,0.0,0.5110274195804104,0.0,0.4369739183783987,1.0,0.5315527568902849,0.0,0.48441953596352505,0.0,0.46915676969957937,0.0,0.5519746467742156,0.0,0.5019843876698202,0.0,0.5027003277787738,0.0,0.5291505687902657,0.0,0.5092025846110166,0.0,0.44856778509121875,0.0,0.46833382729579576,0.0,0.4816451686715562,0.0,0.5037285530381187,0.0,0.4824991247182755,0.0,0.4268201570464944,0.0,0.5506617395222337,0.0,0.4791552786195338,0.0,0.5329185968905148,1.0,0.40050836986837685,0.0,0.48776037791173144,0.0,0.5145774013574926,1.0,0.48728430843039977,0.0,0.5953196853129875,0.0,0.4505693676724258,0.0,0.46829186708063625,1.0,0.7015967881737674,0.0,0.4666816210766485
S-CPI_bt,300,30.97030234336853,-0.011805555769203613,1.0,0.5133684214329355,0.0,0.500472063718886,0.0,0.5087268372403054,0.0,0.4809899645012651,0.0,0.4881497168088605,1.0,0.5089260410385265,0.0,0.5278211643618087,1.0,0.38625993273797116,0.0,0.5504353937274915,0.0,0.33795214483053876,1.0,0.551209334922544,1.0,0.5075612557524254,1.0,0.49264578184060503,1.0,0.5039059804943469,0.0,0.5195386453500122,0.0,0.49835187388371527,0.0,0.49648967286744083,0.0,0.518717483162989,0.0,0.44113411572957767,0.0,0.5220777069559592,0.0,0.5984481671467641,1.0,0.544735200942697,0.0,0.49833536022575725,0.0,0.43478789612458374,1.0,0.5588612565510681,0.0,0.44643155526871925,0.0,0.45631278616456905,0.0,0.5612506516006245,0.0,0.503211075285845,0.0,0.48198716543563486,0.0,0.49834171806517963,0.0,0.5208575485304571,0.0,0.4552223780153123,0.0,0.5305359914630742,0.0,0.49785530294834734,0.0,0.4906400489138094,0.0,0.4786070162119682,0.0,0.40569211055699433,0.0,0.5473402801118048,0.0,0.46344276821386465,0.0,0.5589498155848077,1.0,0.3826741662505242,0.0,0.487575384750102,0.0,0.5186189272840096,1.0,0.520922120633477,0.0,0.58244108776347,0.0,0.47812697947550525,0.0,0.47636742814064287,1.0,0.6943439096872247,0.0,0.45561325674467057
