method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,233.24310564994812,0.2686666485606578,0.0,0.588805983736243,0.0,0.2540897638967876,0.0,0.37120949100858325,0.0,0.9877809993205549,0.0,0.15476553914233748,1.0,0.04890787927909357,0.0,0.7621732983616518,0.0,0.9961871055582062,0.0,0.9999434122985411,0.0,0.6739494623565081,1.0,0.002015155517554934,1.0,0.23668845449096765,0.0,0.16901594739686487,0.0,0.7764561371911678,1.0,0.01239626356884993,1.0,0.039906490860833754,1.0,3.329646621752502e-07,0.0,0.10927031844400192,0.0,0.7736987622166807,1.0,0.6638004308183425,0.0,0.00019231116653994906,1.0,0.8925284823348336,1.0,0.11163757873991398,0.0,0.059298245681957074,1.0,0.38898171867066933,0.0,0.07675341291072091,0.0,0.05129136959353242,0.0,0.4901241890582593,0.0,0.5617243878969965,0.0,0.0050032450982933074,0.0,0.6558325537926546,0.0,0.9859630280614877,0.0,0.5984379517790934,0.0,0.9589347140574602,0.0,0.0177648195341763,0.0,0.24089308789641728,0.0,0.4519471916973996,0.0,0.9839281313285513,0.0,0.9988345739120191,0.0,0.1307034044537564,0.0,0.11840726998755091,1.0,0.0008456099064508837,0.0,0.9311713112614299,1.0,0.10191675425443414,0.0,0.5607470129966894,0.0,0.9464693787516659,0.0,0.29667466477001514,0.0,0.07985150241558059,0.0,0.7683840686465147,0.0,0.627248591598701
CPI,1000,11.722362279891968,0.2686666485606578,0.0,0.5340751844294451,0.0,0.3554017023421491,0.0,0.17208682482033633,0.0,0.31269338016272485,0.0,0.3104277911072386,1.0,0.9217075579160153,0.0,0.4177302701388071,0.0,0.18020495376054813,0.0,0.002939532991778826,0.0,0.9121248006690346,1.0,0.1718206090749707,1.0,0.567326469041756,0.0,0.7330773132841971,0.0,0.7094066928504511,1.0,0.015648897409079567,1.0,0.0051077833115258115,1.0,2.993766961977282e-05,0.0,0.24411937367187925,0.0,0.3238861205198603,1.0,0.5133071096937407,0.0,0.544312859866429,1.0,0.15083684947539355,1.0,0.5922445628325735,0.0,0.9984021558344718,1.0,0.017472438287549682,0.0,0.38602718848606,0.0,0.6374581257980011,0.0,0.8731706945126668,0.0,0.2721307268268234,0.0,0.7401443820231325,0.0,0.2293145566933183,0.0,0.2336714039374697,0.0,0.1997618990380977,0.0,0.9837324761813089,0.0,0.6245610453846775,0.0,0.5069505192507181,0.0,0.8764405150615695,0.0,0.3453041639244544,0.0,0.10814417464248843,0.0,0.3655257738830038,0.0,0.05781092590824562,1.0,0.15319370417777906,0.0,0.10978684153389345,1.0,0.30971454316392455,0.0,0.21243076441385644,0.0,0.8811637011265399,0.0,0.11970373790385502,0.0,0.6173710536647936,0.0,0.3358257051781246,0.0,0.3525397008112131
CPI_sqrt,1000,11.684779405593872,0.2686666485606578,0.0,0.4893239931487399,0.0,0.4781859064253662,0.0,0.5251222610997813,0.0,0.47118891556944537,0.0,0.4095557778309711,1.0,0.5394779133725672,0.0,0.4905420382256195,0.0,0.5285230800784863,0.0,0.37341560070038626,0.0,0.5084910637072363,1.0,0.4967062316465631,1.0,0.5133414326566929,0.0,0.46404507666463873,0.0,0.5461619506926106,1.0,0.3187808948301757,1.0,0.022301015727069225,1.0,0.01249563800895219,0.0,0.5065597453359847,0.0,0.2871043492266112,1.0,0.5743155750304254,0.0,0.5624182239508778,1.0,0.42592902236721075,1.0,0.46941977781750027,0.0,0.5667452557067016,1.0,0.37780893195228327,0.0,0.49888464301966146,0.0,0.5947287221901161,0.0,0.5445075068237337,0.0,0.4938343452638277,0.0,0.5995816267309011,0.0,0.4835921696423603,0.0,0.47918316610175554,0.0,0.5134211251498717,0.0,0.5089367901920226,0.0,0.49298300084872176,0.0,0.629984491766981,0.0,0.6639159001879824,0.0,0.5353732974760617,0.0,0.3603946493774222,0.0,0.5147874993991028,0.0,0.4131398315768204,1.0,0.3332283188757127,0.0,0.3922025311860404,1.0,0.46320779188540956,0.0,0.4614353844625934,0.0,0.5662249413632293,0.0,0.4300253489286582,0.0,0.49744398666478173,0.0,0.40147338421540346,0.0,0.4851481729742584
CPI_n,1000,11.66306757926941,0.2686666485606578,0.0,0.2165608724776954,0.0,0.3141676162659415,0.0,0.7617744055602859,0.0,0.3951841559166421,0.0,0.14444307626750053,1.0,0.6672444734426726,0.0,0.28528384543440816,0.0,0.6236445005604412,0.0,0.29102401399137756,0.0,0.47491851373371186,1.0,0.6516524564216066,1.0,0.6962741624751133,0.0,0.45904382788695025,0.0,0.4504951075511786,1.0,0.061573792067522976,1.0,0.006632350685119096,1.0,0.010470512712770805,0.0,0.7271524472859162,0.0,0.30933482578737015,1.0,0.5473925916405927,0.0,0.7054583908044446,1.0,0.2548806299293704,1.0,0.658823207213167,0.0,0.9183296855273326,1.0,0.02003249311027517,0.0,0.6084353895304115,0.0,0.4484243718332783,0.0,0.547854963878662,0.0,0.42841386352602656,0.0,0.7514205512898126,0.0,0.141050439860523,0.0,0.11184780297443703,0.0,0.31178759255233285,0.0,0.7747411369519275,0.0,0.3161602878341586,0.0,0.6374902585667134,0.0,0.6250676903522486,0.0,0.5274845266996552,0.0,0.2729438183470919,0.0,0.46610094641821714,0.0,0.3049628185920315,1.0,0.2694073287313269,0.0,0.09805175195404797,1.0,0.10611568207540772,0.0,0.38797428906739595,0.0,0.8343602156341308,0.0,0.1549851150463764,0.0,0.8190908879498644,0.0,0.16471477939009493,0.0,0.2225308231689428
CPI_bt,1000,12.890414953231812,0.2686666485606578,0.0,0.32760731103641294,0.0,0.7929638612500743,0.0,0.962703413848427,0.0,0.013167980119940042,0.0,0.05393353829122782,1.0,0.9382532294413832,0.0,0.5438022889203058,0.0,0.8709970286437024,0.0,0.03803967159699351,0.0,0.29995338777044767,1.0,0.48047892982512713,1.0,0.3757013008703113,0.0,0.021748104038988404,0.0,0.2749597355632138,1.0,5.095934134485804e-14,1.0,1.68470989523636e-16,1.0,1.298403539313774e-54,0.0,0.01658840602643868,0.0,0.9934209605252503,1.0,0.9999863173504069,0.0,0.9342989664586167,1.0,0.9186439039290568,1.0,0.13490151704156117,0.0,0.9999991562332669,1.0,2.9386759100288284e-41,0.0,0.10790552228958739,0.0,0.6752547427538361,0.0,0.9618498380529387,0.0,0.3174026092079229,0.0,0.9999330487025173,0.0,0.0698936557809049,0.0,0.0019387252642738937,0.0,0.7203690432068447,0.0,0.7974934798627453,0.0,0.95590487424443,0.0,0.08349799766031096,0.0,0.9999999999958739,0.0,0.9480586733230548,0.0,0.77704084421381,0.0,0.11197548586656686,0.0,0.00108524611320446,1.0,5.792972902290944e-10,0.0,1.970187050195337e-12,1.0,0.06042589015956922,0.0,0.022795375287726478,0.0,0.9981527178048771,0.0,0.1437203993286184,0.0,0.8284710075726135,0.0,4.8047565027386115e-12,0.0,0.03146490357007535
CPI_sqd,1000,12.738763093948364,0.2686666485606578,0.0,0.0,0.0,1.8692670164690039e-96,0.0,0.9998321718458251,0.0,8.991137221525232e-66,0.0,0.5736995521895141,1.0,1.0,0.0,0.9993272538046944,0.0,1.0,0.0,2.7545397001759736e-76,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0002173273046042792,0.0,0.0,1.0,1.6876324992759466e-26,1.0,5.960887795541484e-24,1.0,2.7695721295196908e-15,0.0,1.0,0.0,1.3604572856092694e-10,1.0,0.6637635068709102,0.0,8.755848051464547e-83,1.0,5.0323248588714523e-23,1.0,1.0,0.0,1.0,1.0,5.902161660390335e-35,0.0,0.8286897269833563,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.12415229493771e-102,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999604,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.2782481669959615e-136,1.0,6.432514278473942e-109,0.0,2.389257474925029e-87,1.0,0.0,0.0,1.5011541615006032e-07,0.0,1.0,0.0,0.0,0.0,2.623603486020017e-26,0.0,1.6281863174261343e-41,0.0,1.0
S-CPI,1000,12.339911937713623,0.2686666485606578,0.0,0.22552027825333737,0.0,0.5714662763636738,0.0,0.837625810092221,0.0,0.26919959437399643,0.0,0.18932269524429662,1.0,0.9270125260513604,0.0,0.2239828440373814,0.0,0.5606211074264048,0.0,0.5496865149948225,0.0,0.7275761470285317,1.0,0.8148141898786248,1.0,0.8066541494807536,0.0,0.9429492394115889,0.0,0.30207235857240644,1.0,0.07688214932434681,1.0,0.003245312019287542,1.0,0.006026968523243743,0.0,0.6962723784254217,0.0,0.713304526351307,1.0,0.8496086209788412,0.0,0.8643754405489043,1.0,0.24278430646553806,1.0,0.5873888281145287,0.0,0.9982524188724872,1.0,0.002828830184320349,0.0,0.4173304989260913,0.0,0.6732004287777468,0.0,0.8920287713151567,0.0,0.4017981100495741,0.0,0.9899531805081335,0.0,0.07959799983814198,0.0,0.13978458690171502,0.0,0.24841598739988963,0.0,0.934996136225615,0.0,0.6818781319081704,0.0,0.5829866693405584,0.0,0.9905845117768438,0.0,0.8736963535599387,0.0,0.6413645152353281,0.0,0.591811027170185,0.0,0.03703637577720876,1.0,0.09630853167201048,0.0,0.06514635031829112,1.0,0.017998701270002845,0.0,0.44785456696664067,0.0,0.9174265161585703,0.0,0.35234452596126964,0.0,0.689764125753857,0.0,0.16192895788338096,0.0,0.5165911209254103
S-CPI_sqrt,1000,12.328471422195435,0.2686666485606578,0.0,0.4827233468041152,0.0,0.48677469071194507,0.0,0.5815469791191048,0.0,0.4810825123097869,0.0,0.43353098560548925,1.0,0.5599256614124871,0.0,0.5002163491037598,0.0,0.5246635065905775,0.0,0.46578785658135924,0.0,0.5399491907744572,1.0,0.550266225009863,1.0,0.5330707419750317,0.0,0.6359993735385863,0.0,0.48120019368978056,1.0,0.28029526334221694,1.0,0.06641953525745962,1.0,0.016757898505114242,0.0,0.5441130824116084,0.0,0.5388536270922325,1.0,0.7111855204911479,0.0,0.6100871868883241,1.0,0.5062021841051746,1.0,0.530821423773419,0.0,0.6262255332640594,1.0,0.24561750995185982,0.0,0.4913797248441073,0.0,0.5250497571542221,0.0,0.5534246590379085,0.0,0.4998950861642059,0.0,0.6072479110388528,0.0,0.4286679811353801,0.0,0.4343481493663547,0.0,0.4909516399348222,0.0,0.5104431596534013,0.0,0.5039323037298827,0.0,0.505846718068754,0.0,0.7051900825313628,0.0,0.5441428617991972,0.0,0.5144986961148672,0.0,0.5091039255933169,0.0,0.39619169952169087,1.0,0.3664018062267275,0.0,0.4054235554809566,1.0,0.43210367827934026,0.0,0.4390450419256763,0.0,0.5532199975045522,0.0,0.43874061589971547,0.0,0.5301878038078599,0.0,0.4542221121608443,0.0,0.4721626241100097
S-CPI_n,1000,12.339239358901978,0.2686666485606578,0.0,0.27875666666081433,0.0,0.5986148201440958,0.0,0.8132018368470074,0.0,0.37966349248305464,0.0,0.265556515623063,1.0,0.8246714258515628,0.0,0.32192407002512025,0.0,0.6741852319040162,0.0,0.326820554639234,0.0,0.7358009049801213,1.0,0.7862402339837398,1.0,0.6876950437568885,0.0,0.9155883191664104,0.0,0.48174361183697517,1.0,0.06502062061189728,1.0,0.010903871417968053,1.0,0.000988181907910876,0.0,0.5369629113443232,0.0,0.6703514850690677,1.0,0.8604218507132624,0.0,0.6461621149221514,1.0,0.22311573689275138,1.0,0.7432188270647376,0.0,0.9681715945896338,1.0,0.003629911340296876,0.0,0.32017540492784946,0.0,0.5738503605737031,0.0,0.7936094392617576,0.0,0.34931097212512785,0.0,0.9630201293271103,0.0,0.1805716643764223,0.0,0.24596127103771542,0.0,0.4706350460771787,0.0,0.727502975816761,0.0,0.46382751561155844,0.0,0.3834076871992956,0.0,0.851409548386588,0.0,0.6977982659353775,0.0,0.6450814398928342,0.0,0.5824590871867897,0.0,0.11187848931268307,1.0,0.10921215072003188,0.0,0.045814695699662136,1.0,0.07663087804004538,0.0,0.26701775363072006,0.0,0.8053005986227354,0.0,0.27411354782876585,0.0,0.589284940304594,0.0,0.23907885797040407,0.0,0.5524069062911201
S-CPI_bt,1000,13.376613140106201,0.2686666485606578,0.0,0.10368978681496022,0.0,0.3136468475919812,0.0,0.976840079097643,0.0,0.023576260940261332,0.0,0.020204524080042648,1.0,0.999931830727244,0.0,0.15830043291177104,0.0,0.8758997413460434,0.0,3.159590881738472e-05,0.0,0.8774171630608174,1.0,0.9975745482032136,1.0,0.7352468014734557,0.0,1.0,0.0,0.41554482026938,1.0,9.03252703403997e-20,1.0,9.65199315306822e-09,1.0,3.7145126370587304e-13,0.0,0.6522775058132492,0.0,0.9999538547241259,1.0,0.9892868500019194,0.0,0.9998799215151262,1.0,0.00032922585730137946,1.0,0.9746673822434335,0.0,0.9999999999999887,1.0,2.8266489971063813e-24,0.0,0.6618402055615279,0.0,0.9283455479153101,0.0,0.9985662169084922,0.0,0.30315599534438176,0.0,0.999999999999641,0.0,0.008707198360831328,0.0,2.4051452719097596e-05,0.0,0.24367711674397569,0.0,0.8447589813501544,0.0,0.8951244197257034,0.0,0.20115463703718234,0.0,1.0,0.0,0.997021883782436,0.0,0.4600489931610845,0.0,0.8475046584750185,0.0,1.552771008525048e-07,1.0,1.944507423729388e-09,0.0,1.167421960668589e-07,1.0,0.0003383714712140236,0.0,0.18110856852186397,0.0,0.9971480473283137,0.0,0.003174897285060513,0.0,0.9697623153245644,0.0,2.567756084218333e-06,0.0,0.4625976489404326
