method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,249.92415833473206,0.12244861524457928,0.0,0.9893607637354236,0.0,0.18571858492794646,0.0,0.23787788076687844,1.0,0.7610086345978977,0.0,0.8133291182925546,0.0,0.24210470833880038,0.0,0.16092841649947487,0.0,0.08742841786798738,0.0,0.0032434280822899453,1.0,0.14655287243337312,1.0,0.0010774891039375678,0.0,0.5247807981548818,0.0,0.9766713406243823,0.0,0.3602912961812136,0.0,0.9214579928590647,0.0,0.03413604284064098,0.0,0.495497818772353,0.0,0.022179544062126078,1.0,0.3941859403808585,0.0,0.9983971901007185,1.0,0.7063045501852178,0.0,0.3858705430917432,1.0,0.9644742933609934,0.0,0.06341487809246216,1.0,0.14923336398047105,0.0,0.1610061263811945,1.0,0.2915972884471729,0.0,0.38717130447453774,0.0,0.12564857421813436,0.0,0.9036944976814789,0.0,0.053097184343060766,1.0,0.2306094048472418,0.0,0.14143857851546682,0.0,0.0792048557754339,0.0,0.09215820576981759,0.0,0.6575827969139533,0.0,0.506607080616184,1.0,0.1127131176769367,0.0,0.01641577079794876,0.0,0.04466835224283938,0.0,0.00016996131167523743,0.0,0.9632265795807962,0.0,0.7210147089176329,0.0,0.9999539502718059,0.0,0.8698796891391274,1.0,0.8602827219361823,0.0,0.3798577684768025,1.0,0.588842535840006,0.0,0.32057491991426024,0.0,0.9294846399918675
CPI,1000,12.565733432769775,0.12244861524457928,0.0,0.6008235034656993,0.0,0.022582759779026608,0.0,0.31973154757499694,1.0,0.06324351904823727,0.0,0.021998749633797988,0.0,0.8663364510857948,0.0,0.3395787344279553,0.0,0.21733441478774546,0.0,0.34067148231676975,1.0,0.4575376013949524,1.0,0.09232515294942262,0.0,0.5609956935958363,0.0,0.7791816438138874,0.0,0.17176053056628665,0.0,0.22715712593137838,0.0,0.7573166475910955,0.0,0.3224469910246756,0.0,0.09676302838655365,1.0,0.0049602201066847726,0.0,0.3240354899002024,1.0,0.008120085210989976,0.0,0.8067155257257537,1.0,0.12681688898849686,0.0,0.6107063013090688,1.0,0.4904761081049057,0.0,0.9496690116511026,1.0,0.008205527976442768,0.0,0.860440123093221,0.0,0.5428548998005397,0.0,0.7091128996650833,0.0,0.10963694800933416,1.0,0.02904319478185796,0.0,0.14825611886741685,0.0,0.7694290984162754,0.0,0.20307888080483166,0.0,0.6556595067627355,0.0,0.37970640749877643,1.0,0.28587848796031345,0.0,0.663291968145013,0.0,0.15686764307065798,0.0,0.8390074156155694,0.0,0.16157954484791265,0.0,0.4666382550536398,0.0,0.43320248272303546,0.0,0.03832057188054064,1.0,0.7630041443447788,0.0,0.7750382649110388,1.0,0.09560812876364178,0.0,0.10051264639854823,0.0,0.6578046747964708
CPI_sqrt,1000,12.441785335540771,0.12244861524457928,0.0,0.3965616202694393,0.0,0.4721995857578846,0.0,0.5105661251186849,1.0,0.3305976157670032,0.0,0.3778548957925074,0.0,0.5039754957814658,0.0,0.46716525807719,0.0,0.40080954168865623,0.0,0.46757101778575266,1.0,0.7398185774123461,1.0,0.3988381727406525,0.0,0.4550517049894868,0.0,0.5106592523614224,0.0,0.44790567702286543,0.0,0.44104966940632784,0.0,0.4668242794813915,0.0,0.40961761549623343,0.0,0.45215168522496024,1.0,0.3356150153667111,0.0,0.4184527839479308,1.0,0.10218971610204858,0.0,0.7331364775748509,1.0,0.4066021637837189,0.0,0.4531960196278834,1.0,0.5087248744950519,0.0,0.5453744856854881,1.0,0.5572679709600197,0.0,0.4526584172732407,0.0,0.5102919676668457,0.0,0.5506320656836587,0.0,0.4160727745401142,1.0,0.40865082246821854,0.0,0.44673061509564077,0.0,0.5370812291187858,0.0,0.46648694084689235,0.0,0.5718615153533617,0.0,0.5317992441677544,1.0,0.45293842740470625,0.0,0.5035169263699084,0.0,0.4978350449068002,0.0,0.626832411969184,0.0,0.4696126796569803,0.0,0.43012151200695725,0.0,0.48194706400433746,0.0,0.3939301307038193,1.0,0.5389164575908487,0.0,0.518021608326495,1.0,0.46079158360186157,0.0,0.24674674881195963,0.0,0.5340982503849053
CPI_n,1000,12.455342531204224,0.12244861524457928,0.0,0.6109341233799976,0.0,0.34841973467636006,0.0,0.28609796445247115,1.0,0.13525194663330786,0.0,0.0888168482158378,0.0,0.44808137892327243,0.0,0.2849079748146021,0.0,0.23343155937965976,0.0,0.1540141388803271,1.0,0.50340617354943,1.0,0.022408096253823524,0.0,0.2462271006940222,0.0,0.2594866896551208,0.0,0.4973098463814526,0.0,0.2836874678334107,0.0,0.62624507020423,0.0,0.0724822230212985,0.0,0.20131959044245362,1.0,0.10281180100019388,0.0,0.21140927425408745,1.0,0.0007074413731332209,0.0,0.9418747894783205,1.0,0.17631310971141895,0.0,0.4241391597502368,1.0,0.27482628970667355,0.0,0.7275809173877381,1.0,0.7007845463435171,0.0,0.3786326561960779,0.0,0.3978036303684504,0.0,0.9496981392914887,0.0,0.2121678816469521,1.0,0.1288930108578354,0.0,0.47797198350962516,0.0,0.7074188339244611,0.0,0.5162362608890114,0.0,0.8143591627382303,0.0,0.7210576461491495,1.0,0.2939320324135931,0.0,0.8338116840770193,0.0,0.3940104943690127,0.0,0.8310273872690299,0.0,0.10258066590431059,0.0,0.1723939653132781,0.0,0.33572927010984666,0.0,0.279294623328601,1.0,0.6865109385672177,0.0,0.7424571514052908,1.0,0.23435529857663512,0.0,0.42434814720333053,0.0,0.7732847411573531
CPI_bt,1000,13.567734479904175,0.12244861524457928,0.0,2.7676518881774002e-08,0.0,0.5939431284607868,0.0,0.2842120711629872,1.0,0.06700760682477412,0.0,1.3680399202192208e-10,0.0,0.939177377149409,0.0,0.0646665828475195,0.0,2.830506247537948e-23,0.0,0.00020702706700273258,1.0,0.10710683914059732,1.0,1.2941883094662013e-13,0.0,0.9253420020381843,0.0,0.29652748571448634,0.0,0.058659335349894884,0.0,0.6471692194066963,0.0,0.1160646215591904,0.0,1.3870129951062563e-16,0.0,0.00018161996869714666,1.0,6.415395072072881e-10,0.0,8.34327639340074e-06,1.0,1.0255882515286112e-05,0.0,0.9999996729937745,1.0,0.06008843319410989,0.0,0.9703885285670262,1.0,0.3660955408127884,0.0,0.7791656664654376,1.0,0.5526854197794525,0.0,0.9351154530228105,0.0,0.9618191388400035,0.0,0.2724786051409551,0.0,0.05598187111975011,1.0,2.4508900457304567e-08,0.0,0.9718135735821944,0.0,0.8385059260711747,0.0,0.9835853368330845,0.0,0.999999999893589,0.0,0.006829346390936842,1.0,0.04337041607698298,0.0,0.8250375046936694,0.0,0.7409196851110329,0.0,0.3781555699683742,0.0,0.10817315525866639,0.0,0.013352085450712231,0.0,0.9161095430609918,0.0,1.4546372065300005e-16,1.0,0.9245087498937095,0.0,0.3271617551930762,1.0,1.7653852719842408e-11,0.0,0.003005416380793426,0.0,0.07528095147875727
CPI_sqd,1000,13.590770959854126,0.12244861524457928,0.0,2.4090345759183534e-48,0.0,0.0,0.0,0.9990383729819694,1.0,2.741310759225059e-50,0.0,2.713958348690929e-219,0.0,1.0,0.0,2.995603804498963e-08,0.0,3.4348739556067926e-11,0.0,1.7434384282799335e-09,1.0,8.866573672093423e-14,1.0,2.9791287829318066e-17,0.0,1.0,0.0,1.0,0.0,7.600981186814167e-10,0.0,2.21024757279824e-82,0.0,1.0,0.0,1.6452452009908049e-215,0.0,0.0,1.0,3.682410198244553e-32,0.0,7.971968610376853e-305,1.0,3.047889320641817e-13,0.0,0.3247095079897372,1.0,7.486532839118681e-126,0.0,1.598238426389242e-53,1.0,0.0,0.0,0.999935778846451,1.0,4.901135504145225e-189,0.0,1.0,0.0,1.1246221751007864e-173,0.0,1.0,0.0,8.886239716977607e-50,1.0,1.9648618575775346e-220,0.0,0.42023113048240557,0.0,1.0,0.0,0.995365070688682,0.0,0.9546950702842061,0.0,1.5803251613257506e-58,1.0,2.738336278403964e-215,0.0,1.0,0.0,2.1531861488599308e-217,0.0,1.0,0.0,2.806226165863031e-80,0.0,3.477269494786051e-108,0.0,7.228141747810944e-51,0.0,2.5061405339169263e-70,1.0,1.0,0.0,1.0,1.0,7.573658186091604e-166,0.0,0.09586457499944656,0.0,5.842184859525457e-222
S-CPI,1000,13.22402572631836,0.12244861524457928,0.0,0.4682528545356493,0.0,0.23039433509042917,0.0,0.39645095308973943,1.0,0.2040040748990491,0.0,0.030198709733801954,0.0,0.7602808472734186,0.0,0.3797153658901655,0.0,0.4484645255228163,0.0,0.364963859685477,1.0,0.5465835224165753,1.0,0.12113872154365879,0.0,0.3902493360432726,0.0,0.46114295111893605,0.0,0.1334428163436821,0.0,0.1495790859929898,0.0,0.5849623978492676,0.0,0.08825903715686367,0.0,0.19796531314505034,1.0,0.05666647306083875,0.0,0.10980121682545074,1.0,0.05812456184283229,0.0,0.9698630183169704,1.0,0.18347476253472927,0.0,0.45056887899695297,1.0,0.27251304383806646,0.0,0.9061142118551002,1.0,0.3319174677209427,0.0,0.6716088770604762,0.0,0.3729304311833898,0.0,0.7973592627942969,0.0,0.3776494027533357,1.0,0.02500962049789944,0.0,0.07994407369234319,0.0,0.76857982880351,0.0,0.13558047666115597,0.0,0.7237401132611642,0.0,0.45912155890689565,1.0,0.20453187480913676,0.0,0.9786984264454472,0.0,0.7359386862131168,0.0,0.8131719662530253,0.0,0.11514921403896683,0.0,0.12188421813712719,0.0,0.7800370978660324,0.0,0.23755612860190767,1.0,0.9232217569615314,0.0,0.917623408165285,1.0,0.03960522043952387,0.0,0.06453525625010055,0.0,0.659550821858973
S-CPI_sqrt,1000,13.034260034561157,0.12244861524457928,0.0,0.5116024929904117,0.0,0.47304629296056216,0.0,0.4703128086088067,1.0,0.42799663810894073,0.0,0.28379935933164846,0.0,0.5941377817532584,0.0,0.434702203732618,0.0,0.4412754042075659,0.0,0.5797394447854661,1.0,0.5843418239076831,1.0,0.2080017945824672,0.0,0.4978612220405338,0.0,0.5524773393565976,0.0,0.4704808162205911,0.0,0.3491712989055281,0.0,0.4731269299546202,0.0,0.37252803215155333,0.0,0.4490695382970822,1.0,0.25643614919903057,0.0,0.40849906384148177,1.0,0.1576192793385814,0.0,0.79190012049782,1.0,0.41052819261286,0.0,0.5003300704163212,1.0,0.48280036444770097,0.0,0.6095243863262786,1.0,0.46841889389307334,0.0,0.636312810408461,0.0,0.4760157699040267,0.0,0.5733112642747831,0.0,0.4409172181950273,1.0,0.30249281187150756,0.0,0.4586074609450085,0.0,0.5703888120283042,0.0,0.45243562859332326,0.0,0.6662415797703022,0.0,0.4608416160244378,1.0,0.46582702645051166,0.0,0.5629986640152955,0.0,0.5217800612314988,0.0,0.6109023384201073,0.0,0.38863448726986294,0.0,0.41343963720103005,0.0,0.5262236580008806,0.0,0.3912541660899811,1.0,0.5465213599471442,0.0,0.5695465180122261,1.0,0.34246637490680426,0.0,0.35094543031562236,0.0,0.5564074263486777
S-CPI_n,1000,13.118459224700928,0.12244861524457928,0.0,0.5644663945266688,0.0,0.35893465937673297,0.0,0.4102106451282803,1.0,0.24525195364237257,0.0,0.0584583438968967,0.0,0.6871275521772842,0.0,0.22774459901084482,0.0,0.3620573396335334,0.0,0.3631089339123266,1.0,0.6682424460448203,1.0,0.11220559299213961,0.0,0.2659255424205127,0.0,0.6699150305819135,0.0,0.25911662827061105,0.0,0.32037150539098413,0.0,0.46531839940270653,0.0,0.0817643812054305,0.0,0.13194928331493516,1.0,0.12929519737196443,0.0,0.3385584410780591,1.0,0.039960336018368244,0.0,0.9050000299687705,1.0,0.14097292814744905,0.0,0.29970522179552184,1.0,0.4801773147248347,0.0,0.6645627861080927,1.0,0.33577142836217927,0.0,0.7188647452424594,0.0,0.38343353409476,0.0,0.7997830542848472,0.0,0.15829263973857716,1.0,0.08120157537871914,0.0,0.3579194073159836,0.0,0.6701635325929561,0.0,0.324520706615353,0.0,0.9528497174482836,0.0,0.46463768163760166,1.0,0.3146489303197012,0.0,0.7718282789124862,0.0,0.6083677368280525,0.0,0.7756765764723086,0.0,0.154481545395744,0.0,0.12464471641441849,0.0,0.8076613316996692,0.0,0.20106883288715832,1.0,0.7376746491256762,0.0,0.7824841188954061,1.0,0.12789552669426452,0.0,0.16625526149742165,0.0,0.6875830424557446
S-CPI_bt,1000,14.246545553207397,0.12244861524457928,0.0,0.423066714727677,0.0,0.10119350410693395,0.0,0.5406197647809625,1.0,0.0003667986478001518,0.0,3.943256985308488e-14,0.0,0.9999468786524096,0.0,0.0005704150523015921,0.0,0.0174221520137034,0.0,0.14264847216593218,1.0,0.16057580471972505,1.0,0.004777219549792664,0.0,0.7565855333449701,0.0,0.8144479607440864,0.0,0.0034834594001604473,0.0,0.017791031166294588,0.0,0.6510278075289132,0.0,5.610042131126015e-15,0.0,0.07022775140094857,1.0,9.030062885919616e-15,0.0,5.297850007373436e-06,1.0,0.00015614145223455888,0.0,0.9999999942366631,1.0,0.020939641141863072,0.0,0.6329881291603674,1.0,0.17233680994440953,0.0,0.9999987356017717,1.0,0.0020111967345334807,0.0,0.8394228814138956,0.0,0.4249632943297891,0.0,0.9512684366861113,0.0,0.00247238398305555,1.0,4.578724892937955e-12,0.0,0.012636620000584846,0.0,0.9999929510747765,0.0,0.005766676091798941,0.0,0.999999999965329,0.0,0.1721653924357584,1.0,0.06392284928069865,0.0,0.9843799356024551,0.0,0.9983001112060499,0.0,0.8952417123772558,0.0,1.4220713843297644e-06,0.0,8.168669226565472e-05,0.0,0.9795396871621365,0.0,0.06882282131684211,1.0,0.9871053062638796,0.0,0.9979288405477044,1.0,4.504255016579228e-16,0.0,2.926618933874076e-07,0.0,0.9999298508937353
