method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,77.53251123428345,-0.17342781491366033,1.0,0.9999836653803637,0.0,0.9999999961396886,1.0,0.9697805066913119,1.0,0.6705265350893317,0.0,0.002201587917458947,1.0,0.9999971287165057,0.0,0.9999477863758877,0.0,0.7264659747971144,1.0,0.0035621017748865835,0.0,0.01328776836680401,0.0,6.591965409086242e-07,1.0,0.9997347785038118,1.0,0.9999814176710144,0.0,0.3619297983562838,1.0,0.13021619790231997,0.0,0.9741040940229464,0.0,0.9928460272656398,0.0,0.8378825146973219,0.0,0.00026766437409309063,0.0,0.9999928883344609,0.0,0.762384785423346,0.0,0.009949383661177702,0.0,0.8207793099073617,0.0,0.9999999999653905,0.0,0.0004967768229031666,0.0,0.9462092446580876,0.0,0.9996776132674007,0.0,0.08443684685080899,0.0,1.308806804045659e-07,0.0,0.9999953301541789,0.0,0.29997939055919876,0.0,0.675567918563676,1.0,0.016837813086750142,0.0,0.00020877505293959153,1.0,0.999637828752297,0.0,0.15555761921494748,1.0,0.00019622514107298095,0.0,0.04030216420001487,0.0,0.4183565173201922,1.0,7.616855440373271e-06,0.0,0.01065764957926163,0.0,0.041248279713074654,0.0,0.0003115324374400874,0.0,0.9306881442759251,0.0,7.880514241165315e-09,0.0,0.911075828330563,0.0,0.029969875332827023,0.0,0.9976936957472746,0.0,0.9959725247466809,0.0,0.6034399211524295
CPI,300,4.195937871932983,-0.17342781491366033,1.0,0.2220339573830704,0.0,0.8426358734944628,1.0,0.29337084615125353,1.0,0.4312585735553252,0.0,0.8200171713534716,1.0,0.8593488957824592,0.0,0.1886329806001268,0.0,0.057783104330067385,1.0,0.7433995837875793,0.0,0.25994167391069256,0.0,0.9436625020902918,1.0,0.5811331578146567,1.0,0.770445818428614,0.0,0.5360895962782757,1.0,0.046926262332187434,0.0,0.7779385099229261,0.0,0.9204640963358006,0.0,0.7716654089848967,0.0,0.3900512465122571,0.0,0.5780301956595488,0.0,0.208064377598768,0.0,0.7413770020588398,0.0,0.5153423050351568,0.0,0.4744333713202141,0.0,0.453621942379996,0.0,0.5946124858382096,0.0,0.9445696628620271,0.0,0.3365250248679914,0.0,0.37866337020793467,0.0,0.5554297939052202,0.0,0.9410330495907846,0.0,0.9253149768057154,1.0,0.1925089784100602,0.0,0.9357842928248764,1.0,0.27231914946847335,0.0,0.2842625885012804,1.0,0.015741382928194863,0.0,0.3631865902798919,0.0,0.3029173427572766,1.0,0.09086890293462535,0.0,0.38471736745098295,0.0,0.701419271474157,0.0,0.8787665732258463,0.0,0.789160521377251,0.0,0.5891095864379801,0.0,0.898259307473166,0.0,0.3754656532811392,0.0,0.17590186826693643,0.0,0.5183550483654723,0.0,0.9894662892234007
CPI_sqrt,300,4.19179368019104,-0.17342781491366033,1.0,0.470070761857606,0.0,0.5333492654941729,1.0,0.4954163685146869,1.0,0.39473757954724853,0.0,0.5602235201710137,1.0,0.4948688640106809,0.0,0.48489657722832796,0.0,0.5688908635992683,1.0,0.49705413214228816,0.0,0.54322038602923,0.0,0.5538701261167558,1.0,0.5030123470593568,1.0,0.6498815875875076,0.0,0.5588317146302019,1.0,0.4032011980511276,0.0,0.522121231591148,0.0,0.6165877128795076,0.0,0.5302381598698541,0.0,0.49910384595239354,0.0,0.7941742162411507,0.0,0.47969521341773946,0.0,0.5444289787244355,0.0,0.5393560316831021,0.0,0.43553983204143737,0.0,0.5069663019854805,0.0,0.4961970214968064,0.0,0.5521417679334167,0.0,0.5336571511422163,0.0,0.5239975872391845,0.0,0.3803423831975094,0.0,0.5373882715235107,0.0,0.838951710061367,1.0,0.43050047844162836,0.0,0.4746411003297907,1.0,0.46562352827351877,0.0,0.5581255263447569,1.0,0.40843701198882476,0.0,0.47513159687893114,0.0,0.4673028285257784,1.0,0.5319437034900156,0.0,0.5068830454136249,0.0,0.6235349984899531,0.0,0.48298002174044163,0.0,0.6651920868481773,0.0,0.5828192383245057,0.0,0.4630135480955078,0.0,0.5041868746243628,0.0,0.5209240762578646,0.0,0.5220369066547613,0.0,0.6111009411634066
CPI_n,300,4.188235521316528,-0.17342781491366033,1.0,0.18406011355207375,0.0,0.5630541329567718,1.0,0.49439548365272856,1.0,0.08906799708402319,0.0,0.7152801680527348,1.0,0.4188861064721578,0.0,0.20594184312283342,0.0,0.26876419337219065,1.0,0.4872476015873693,0.0,0.4287614934114172,0.0,0.9202488789294236,1.0,0.5496291722633955,1.0,0.3559050863143357,0.0,0.2660653890504602,1.0,0.22829547407887946,0.0,0.6841537776305594,0.0,0.7266551487652515,0.0,0.35088430568414675,0.0,0.5247957129326107,0.0,0.4859567948309359,0.0,0.4469804105624916,0.0,0.727044749954137,0.0,0.8161183493678403,0.0,0.5917339319502745,0.0,0.6571818051470726,0.0,0.6644265990153071,0.0,0.9018867727314811,0.0,0.31328201081113083,0.0,0.3260046479451547,0.0,0.15127530048429266,0.0,0.7098554823533675,0.0,0.8633388822296124,1.0,0.236755644156456,0.0,0.5808527439644636,1.0,0.46555127454100226,0.0,0.6545864405259506,1.0,0.280835226326031,0.0,0.37853726257785714,0.0,0.5236224752668767,1.0,0.6042069419686489,0.0,0.6003094985941703,0.0,0.7767900454210022,0.0,0.19932404331132686,0.0,0.7358042406005489,0.0,0.5142074408051707,0.0,0.7230709983224726,0.0,0.30781867111562483,0.0,0.1913855977213541,0.0,0.6868390010540137,0.0,0.8953816846925098
CPI_bt,300,4.363690137863159,-0.17342781491366033,1.0,0.33230883694414515,0.0,0.8842185927828674,1.0,0.6270189420322877,1.0,0.7522850326636206,0.0,0.8981642308610649,1.0,0.7607758528169428,0.0,0.7212439681456339,0.0,0.5980048551705639,1.0,0.6937899428125408,0.0,0.9649899698000649,0.0,0.9248315837348693,1.0,0.6575210483800662,1.0,0.7719170482934296,0.0,0.4644743240050011,1.0,0.06387807715088833,0.0,0.939991759922738,0.0,0.03671654104793102,0.0,0.3965336679679651,0.0,0.47700047308723414,0.0,0.7350726061057171,0.0,0.1320265250879919,0.0,0.7851067732701845,0.0,0.9998906841262205,0.0,0.4091924925239809,0.0,0.17698623882898884,0.0,0.9998201468854178,0.0,0.9999973585096112,0.0,0.7318825792033017,0.0,0.0006369239181488149,0.0,0.7341509293828741,0.0,0.8285258497063629,0.0,0.9991748633940595,1.0,0.2766656204845812,0.0,0.23265536815699583,1.0,0.2474452981848701,0.0,0.41263715256069594,1.0,0.27552759903472446,0.0,0.5732721957501122,0.0,0.3417513956441281,1.0,7.953431741825107e-05,0.0,0.5672575755489275,0.0,0.756773027442993,0.0,0.9986438700456486,0.0,0.21522809380000385,0.0,0.6154588608024161,0.0,0.7654924825363711,0.0,0.4524387772157123,0.0,0.11607493426428878,0.0,0.8403773357724795,0.0,0.9999473174204982
CPI_sqd,300,4.362529516220093,-0.17342781491366033,1.0,2.207409809461205e-55,0.0,0.006267157876670478,1.0,8.96737049235677e-74,1.0,0.006618427145873236,0.0,1.0,1.0,2.422525321480952e-13,0.0,2.09968341544527e-23,0.0,9.650240806834776e-87,1.0,1.0,0.0,0.5538383351883576,0.0,0.34153467045894276,1.0,1.0,1.0,0.9985667832864452,0.0,1.641990380269206e-09,1.0,1.1839505666362365e-150,0.0,0.007611947998233193,0.0,0.9999580008874426,0.0,1.8492122330831175e-69,0.0,0.976546268037555,0.0,0.08235307304038353,0.0,0.31923908188630623,0.0,3.4507403811960556e-06,0.0,1.0,0.0,0.9916863400343461,0.0,0.07582129210164006,0.0,1.0,0.0,0.7484434049334848,0.0,1.0,0.0,0.9964879815298829,0.0,8.853442767552044e-16,0.0,1.0,0.0,0.999984341266813,1.0,0.001385925974410126,0.0,3.5397593124076645e-08,1.0,0.9998743512877332,0.0,1.8558936630489113e-19,1.0,9.22311728383861e-48,0.0,1.9067834440677527e-59,0.0,8.623298944564752e-05,1.0,0.00011169363830101875,0.0,1.0,0.0,1.0,0.0,5.076185463584087e-08,0.0,0.9999999998495746,0.0,1.0,0.0,1.0,0.0,5.5130022486690335e-05,0.0,1.0,0.0,1.5412224262387386e-08,0.0,1.0
S-CPI,300,4.580874681472778,-0.17342781491366033,1.0,0.35216238209848705,0.0,0.7706125580301244,1.0,0.42966454064311826,1.0,0.4221904912346533,0.0,0.9274681680446049,1.0,0.441792355488217,0.0,0.49662868347707273,0.0,0.35696131807497167,1.0,0.6858375190326925,0.0,0.46489828989982335,0.0,0.9650158633732998,1.0,0.8169355451304063,1.0,0.5162391286631669,0.0,0.71296220763023,1.0,0.07584080043780139,0.0,0.765804813713898,0.0,0.865948438482411,0.0,0.3364900006506679,0.0,0.5653020545342416,0.0,0.8823048934019644,0.0,0.4654990247432673,0.0,0.7146199144840881,0.0,0.7782096311387169,0.0,0.9370595743329593,0.0,0.6926423118554036,0.0,0.8923935813155207,0.0,0.9449609069780289,0.0,0.9350327985626398,0.0,0.589286397816162,0.0,0.2019890236051367,0.0,0.9816053242394813,0.0,0.9903568043869294,1.0,0.32309118887752764,0.0,0.6882510509489009,1.0,0.13231614117196638,0.0,0.1796986805919934,1.0,0.35636109275180605,0.0,0.6073856952767467,0.0,0.32564256899134436,1.0,0.48182863099964063,0.0,0.5199452273497317,0.0,0.645791765158458,0.0,0.7635556916886286,0.0,0.9449989640819736,0.0,0.9380067604039453,0.0,0.8519376624183286,0.0,0.2338407422355735,0.0,0.4222751798149338,0.0,0.8356760755645156,0.0,0.9189204483784106
S-CPI_sqrt,300,4.584266424179077,-0.17342781491366033,1.0,0.47639536854153736,0.0,0.4956273372015138,1.0,0.49475140368716514,1.0,0.5205002386669884,0.0,0.6657950061993466,1.0,0.5011547185085173,0.0,0.4774833913298639,0.0,0.4849471793850243,1.0,0.5426834290695955,0.0,0.5733514354150945,0.0,0.6340655160494502,1.0,0.5228140975202503,1.0,0.4760347158107124,0.0,0.48141744997942476,1.0,0.3491721317755416,0.0,0.5450681992691205,0.0,0.6816702885329698,0.0,0.5117588974195589,0.0,0.5129190128185463,0.0,0.724885208576198,0.0,0.4449681035914399,0.0,0.5683622661953425,0.0,0.609312879166971,0.0,0.5946549045737667,0.0,0.5159369646576814,0.0,0.5959381247160029,0.0,0.7473469236967667,0.0,0.5720483856003491,0.0,0.5559342941927058,0.0,0.38730769667268167,0.0,0.5462242452352853,0.0,0.8863495608116618,1.0,0.4594484842736457,0.0,0.5414637200340732,1.0,0.44396560499661214,0.0,0.43565652672089467,1.0,0.39656424750177066,0.0,0.4801122221480042,0.0,0.37466686682841555,1.0,0.5677418499600284,0.0,0.5078823865028124,0.0,0.5840923233641091,0.0,0.550117567492004,0.0,0.7041961674913507,0.0,0.625242909820673,0.0,0.5266600106715796,0.0,0.5026918089604171,0.0,0.4789244660907814,0.0,0.5600945081077753,0.0,0.6802774385069134
S-CPI_n,300,4.5822508335113525,-0.17342781491366033,1.0,0.2746106322257449,0.0,0.49502800629566335,1.0,0.4211935003288303,1.0,0.6280597662949312,0.0,0.9104300366461426,1.0,0.5989065761754173,0.0,0.5280639755683935,0.0,0.3462505551131386,1.0,0.6104088713197875,0.0,0.6447622559289068,0.0,0.8881054030084603,1.0,0.5041162403589128,1.0,0.5313029591768226,0.0,0.3245254341398166,1.0,0.2724302541321838,0.0,0.7210061397981502,0.0,0.793388542741067,0.0,0.6089387877233198,0.0,0.5986373196883118,0.0,0.8491254320677946,0.0,0.3196198289035229,0.0,0.5134294392073298,0.0,0.693332616580117,0.0,0.8624986329060025,0.0,0.6998425954771452,0.0,0.8215987565243809,0.0,0.9354129767423087,0.0,0.794410891513899,0.0,0.6884320894025776,0.0,0.19193897583926817,0.0,0.7588778720664708,0.0,0.9612564176467026,1.0,0.42228185366274784,0.0,0.5962404873568462,1.0,0.31281867989003287,0.0,0.24033624435647932,1.0,0.24957357346321896,0.0,0.5914872034659762,0.0,0.5418905927454554,1.0,0.6809291777752762,0.0,0.49675724850116465,0.0,0.7065118322727477,0.0,0.6469746659619373,0.0,0.9653517943496992,0.0,0.8465791010043069,0.0,0.5309231618058755,0.0,0.3963768114733681,0.0,0.4490046714705275,0.0,0.738810084945341,0.0,0.9674213931772486
S-CPI_bt,300,4.775187730789185,-0.17342781491366033,1.0,0.4525757467450795,0.0,0.8076306125408246,1.0,0.38994872380736884,1.0,0.3873524546247722,0.0,0.9996458779597148,1.0,0.6582918525605193,0.0,0.14449976805814352,0.0,0.6285176712730202,1.0,0.6759384607617696,0.0,0.5752015251419839,0.0,0.9999978679298723,1.0,0.8635942272686374,1.0,0.6213252406179219,0.0,0.6248616089501161,1.0,0.03536801516383632,0.0,0.9639612324754385,0.0,0.9808604949495545,0.0,0.535148083432547,0.0,0.5548571801876421,0.0,0.9938749889297342,0.0,0.30417733930932084,0.0,0.9221823865292467,0.0,0.9977065932012226,0.0,0.9998455836536506,0.0,0.834126392591154,0.0,0.9909584117194572,0.0,0.9999997336017983,0.0,0.9827387014540984,0.0,0.9109713180725298,0.0,0.0007978883991473744,0.0,0.9150594667607088,0.0,0.9997161529946575,1.0,0.03973127248536475,0.0,0.9371723009592805,1.0,0.1285896356859793,0.0,0.0046780255506117426,1.0,0.012061313796907447,0.0,0.40035614837581823,0.0,0.20454225472152943,1.0,0.9188935192655491,0.0,0.4308746518964197,0.0,0.6951096110880527,0.0,0.4061326279886527,0.0,0.9999879385735221,0.0,0.9793976347745079,0.0,0.6872754299047434,0.0,0.6015831373504392,0.0,0.3907293905163242,0.0,0.8035997032145328,0.0,0.9999999837016252
