method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,21.58112931251526,0.03633551040077976,0.0,0.9563954423594113,0.0,0.29217201207619525,0.0,0.5958309367412107,0.0,0.3269380731660281,0.0,0.013049496949262274,0.0,0.41668556967536874,0.0,0.7238651446226722,0.0,0.716332345413274,0.0,0.44760581529822707,0.0,0.8348044217952686,0.0,0.13060757683304702,0.0,0.09253339583433173,0.0,0.7760346302698748,0.0,0.23917146792601185,1.0,0.5868859140356599,0.0,0.9196141228464068,0.0,0.20944334103795348,0.0,0.06357043910537052,0.0,0.7992987929079101,0.0,0.903765071775497,1.0,0.9237368288718313,0.0,0.8775012358370838,0.0,0.6484564753237164,0.0,0.9641947629212786,0.0,0.6750842783037144,0.0,0.4513506162883315,1.0,0.045666212783973426,1.0,0.33002386318065957,0.0,0.3207317322612495,0.0,0.9187691469291717,0.0,0.7745348012943372,0.0,0.07863454703131534,0.0,0.13300858958656503,0.0,0.5702134365553045,0.0,0.4403177073996074,0.0,0.9330012828998143,0.0,0.9165517454710759,0.0,0.9505898837092923,1.0,0.643439692622598,1.0,0.5439032460563801,1.0,0.9372753274644533,1.0,0.388824902774359,1.0,0.7303134909157066,0.0,0.4509072238951184,0.0,0.7485411008779963,1.0,0.6269272701387687,1.0,0.5616084514859829,0.0,0.6490837599800395,1.0,0.8913487396077437,0.0,0.03315194808884969
CPI,300,4.128446340560913,0.03633551040077976,0.0,0.10700883620780627,0.0,0.05847047119259129,0.0,0.9383442855816487,0.0,0.7019029848818952,0.0,0.8517943853593515,0.0,0.02355065000785878,0.0,0.23024068251394114,0.0,0.8016106200692237,0.0,0.6379593404332237,0.0,0.6272562354819311,0.0,0.9700549482344915,0.0,0.4851138737604738,0.0,0.9288841778690079,0.0,0.4159612825338263,1.0,0.009350046651395914,0.0,0.4636389782015234,0.0,0.876369665934386,0.0,0.798495567036005,0.0,0.5664497763995506,0.0,0.11046846059549387,1.0,0.9183005597755673,0.0,0.9146410110617536,0.0,0.9220272692716709,0.0,0.751334458902667,0.0,0.13719277155940351,0.0,0.07287453681234139,1.0,0.15253787621408782,1.0,0.853653637058761,0.0,0.43518630968904404,0.0,0.9968360763659246,0.0,0.39502701669904317,0.0,0.3504584987277333,0.0,0.31070485697338407,0.0,0.6527959350983381,0.0,0.29587287015292196,0.0,0.20392880821811182,0.0,0.6203478569720156,0.0,0.6390133814821463,1.0,0.08009285002150218,1.0,0.020831730961883958,1.0,0.14548229811388785,1.0,0.007018168499017357,1.0,0.0008417800268007679,0.0,0.20930135534590538,0.0,0.613293846436891,1.0,0.789012742108353,1.0,0.3203517799792968,0.0,0.7554773587463017,1.0,0.016671554983040737,0.0,0.7111195903414915
CPI_sqrt,300,4.1167707443237305,0.03633551040077976,0.0,0.3463560557426929,0.0,0.2615615073746061,0.0,0.6683853360493484,0.0,0.583770263518808,0.0,0.4734913610870478,0.0,0.2744096630422684,0.0,0.3638950651488747,0.0,0.3576679954113918,0.0,0.4631065308514169,0.0,0.518012400889143,0.0,0.4780971392367995,0.0,0.43186594945132617,0.0,0.7573997123396831,0.0,0.4904525989790128,1.0,0.07421389771651035,0.0,0.5423457366848599,0.0,0.5850416480273177,0.0,0.4889816698429934,0.0,0.5500232516674689,0.0,0.35542229934445707,1.0,0.4149104881077644,0.0,0.7626671926775138,0.0,0.5048751635964038,0.0,0.44639149950047535,0.0,0.5960422948635012,0.0,0.36549055954895093,1.0,0.36427812085331635,1.0,0.5858345192711203,0.0,0.49276848318841165,0.0,0.6785687574154551,0.0,0.5035883448787494,0.0,0.40044027237915947,0.0,0.5323607688827953,0.0,0.5582388434475137,0.0,0.5909098298340787,0.0,0.33955489279950285,0.0,0.5485644235104465,0.0,0.5666110175377439,1.0,0.4543653120871298,1.0,0.21401508257851032,1.0,0.24490347444275412,1.0,0.13273939538353013,1.0,0.3246618133219319,0.0,0.433380583944868,0.0,0.5052869696309967,1.0,0.6928287575766674,1.0,0.6423487780039953,0.0,0.295598017587943,1.0,0.21730627559565524,0.0,0.4926539311807915
CPI_n,300,4.117176055908203,0.03633551040077976,0.0,0.3214852879349972,0.0,0.13740608459175097,0.0,0.9490888792816505,0.0,0.6004372243097057,0.0,0.4089006747738756,0.0,0.10086809057992197,0.0,0.3725698777790319,0.0,0.41573120144085096,0.0,0.425187442916126,0.0,0.8230166110394592,0.0,0.6902033653252311,0.0,0.5003753316024243,0.0,0.31011519640318874,0.0,0.3103612923474848,1.0,0.08019995061571678,0.0,0.20933183317556336,0.0,0.7714053763083095,0.0,0.7780079176574184,0.0,0.2528487062377117,0.0,0.15504731413032163,1.0,0.20373500939885808,0.0,0.9229736464860395,0.0,0.15420527416514423,0.0,0.5001360049764005,0.0,0.585559286121388,0.0,0.41718800871054346,1.0,0.2509375046162394,1.0,0.5706989711571587,0.0,0.45499594480842487,0.0,0.846500705100302,0.0,0.46462839058234173,0.0,0.675214514143216,0.0,0.5347901313856464,0.0,0.762805811270622,0.0,0.42916659857081507,0.0,0.4034194598190425,0.0,0.3925387303658377,0.0,0.7787395472538854,1.0,0.20103997587758504,1.0,0.4093316488887968,1.0,0.15073911969336595,1.0,0.07237833032366445,1.0,0.03661233058723967,0.0,0.7901244752156829,0.0,0.731444272462938,1.0,0.6156907449637128,1.0,0.43169083338834374,0.0,0.14656469201064315,1.0,0.2651031908553526,0.0,0.6536474498238779
CPI_bt,300,4.299779891967773,0.03633551040077976,0.0,0.9900772940892082,0.0,0.017021840854555322,0.0,0.9695589568471115,0.0,0.9098353488356452,0.0,0.9517610771193628,0.0,0.9606125687941323,0.0,0.36768554176218515,0.0,0.7375021194333061,0.0,0.0568335045306779,0.0,0.3138577976830236,0.0,0.6907519731140092,0.0,0.15510434274901458,0.0,0.8525005741018739,0.0,0.9043775917138497,1.0,3.794510435931175e-07,0.0,0.8598230763628543,0.0,0.9988437359366709,0.0,0.9999989812625009,0.0,0.04740469371956253,0.0,0.5679558559302613,1.0,0.00423395263347759,0.0,0.7181487829920216,0.0,0.9805771842770409,0.0,0.04550785975191969,0.0,0.02615835678961443,0.0,0.705822021619177,1.0,0.07382918290520504,1.0,0.20797911381623507,0.0,0.32030330351351377,0.0,0.9839709354595856,0.0,0.19593812845162822,0.0,0.9609525974722534,0.0,0.02676394738774291,0.0,0.6910297199278327,0.0,0.9979399484265048,0.0,8.777431645836223e-05,0.0,0.9443872729561078,0.0,0.9785294147561979,1.0,0.08470927921407145,1.0,0.2734876345135544,1.0,0.5588472813626467,1.0,0.010321009311417387,1.0,1.0707587262664705e-10,0.0,0.8887470107776658,0.0,0.42630324587285406,1.0,0.9462272886633551,1.0,0.9999929226550538,0.0,0.7136509082897381,1.0,0.0004684201897457815,0.0,0.008042267597425956
CPI_sqd,300,4.296588659286499,0.03633551040077976,0.0,0.17899437162363613,0.0,3.962913869842647e-06,0.0,0.9999999999999998,0.0,0.9715514347916758,0.0,0.0018032419521608195,0.0,0.272668560720186,0.0,4.777659055684559e-31,0.0,0.42144500205297974,0.0,0.996046713397058,0.0,0.9999969889361567,0.0,1.0,0.0,0.999592000808705,0.0,0.9646043002057648,0.0,0.10859551628216224,1.0,0.001881862439122801,0.0,0.8630221536540451,0.0,0.9999986803896078,0.0,0.9999142509065196,0.0,2.480294444170396e-34,0.0,0.942525331804954,1.0,3.578138922213985e-06,0.0,0.9999999999942325,0.0,0.24894615052663321,0.0,0.999991720624621,0.0,0.16036838314378177,0.0,0.9997327152056991,1.0,0.1402440589563994,1.0,0.00011862740659072554,0.0,0.14706001773237504,0.0,0.9980260082402498,0.0,0.9999999622192531,0.0,0.10597355112057766,0.0,0.9389938145244491,0.0,0.5617828108552834,0.0,0.9944706189097692,0.0,0.0035658048753264815,0.0,0.07840622512199012,0.0,0.9966928622412885,1.0,3.586208188437914e-15,1.0,0.04988376530298406,1.0,0.9466916936375532,1.0,1.2136151444844745e-06,1.0,9.51671687019739e-29,0.0,0.998287144736347,0.0,1.0,1.0,0.9961486153579453,1.0,1.7486768729019773e-08,0.0,0.12151703648520229,1.0,0.05666001198987943,0.0,3.5528063560316277e-09
S-CPI,300,4.284009218215942,0.03633551040077976,0.0,0.040263005759564714,0.0,0.05529628307278154,0.0,0.9651070476858339,0.0,0.7642070731152033,0.0,0.6931795102907721,0.0,0.6025964436767891,0.0,0.46312127579091816,0.0,0.36560370127745967,0.0,0.7619150820763712,0.0,0.8829821225984836,0.0,0.9338470068016167,0.0,0.29790513726052503,0.0,0.9790364548484795,0.0,0.6704545485554664,1.0,0.011209844478275804,0.0,0.8400383735527936,0.0,0.8706787020932198,0.0,0.9306144721392806,0.0,0.4794959838817364,0.0,0.5746746327390109,1.0,0.25556603776692577,0.0,0.9869609547331604,0.0,0.9331437452329548,0.0,0.7347562217190222,0.0,0.6417437142412945,0.0,0.7256877514283944,1.0,0.5624977748406453,1.0,0.8171154887463112,0.0,0.6596059550769803,0.0,0.9396229530257323,0.0,0.4119052063546175,0.0,0.3709372974998294,0.0,0.6295608609541818,0.0,0.729711652705305,0.0,0.7398328351638621,0.0,0.14896033109693801,0.0,0.6011147288999679,0.0,0.927151085791867,1.0,0.31629445073105755,1.0,0.2919580431506781,1.0,0.3987829254157577,1.0,0.07212737861234034,1.0,0.002512724641282715,0.0,0.8468683258329006,0.0,0.6421972066972192,1.0,0.594305929886934,1.0,0.8155845112918712,0.0,0.5416710374606829,1.0,0.010695494089620136,0.0,0.7385637565970475
S-CPI_sqrt,300,4.294894456863403,0.03633551040077976,0.0,0.3139044835821514,0.0,0.20601490094573482,0.0,0.7865416754160535,0.0,0.7082757831745389,0.0,0.5185026596549068,0.0,0.49912817483524957,0.0,0.459168695042043,0.0,0.5800843851145369,0.0,0.6797532072350799,0.0,0.5724532566368499,0.0,0.6210318027950193,0.0,0.4614106485302707,0.0,0.8032197923276898,0.0,0.5127079339390874,1.0,0.06782209949143579,0.0,0.6294728542917726,0.0,0.7494242701160371,0.0,0.653332835605683,0.0,0.4963235733600569,0.0,0.5886293075824276,1.0,0.5036297817894853,0.0,0.7737338640339764,0.0,0.6137847216256342,0.0,0.6414827713776866,0.0,0.5667037970373777,0.0,0.48069930353954665,1.0,0.47175916529148115,1.0,0.5477339996190761,0.0,0.5239396018103903,0.0,0.6303799664975046,0.0,0.4709309289465009,0.0,0.5210549290071869,0.0,0.5503057146343777,0.0,0.6837898947470933,0.0,0.6055260686123979,0.0,0.32132613226433693,0.0,0.5681173917412295,0.0,0.6278695914721758,1.0,0.42481534615782135,1.0,0.32931792429278733,1.0,0.37406986485476945,1.0,0.18843732806301905,1.0,0.10855931384257506,0.0,0.6032998102202561,0.0,0.5501920426708393,1.0,0.612384421750442,1.0,0.5846922096244737,0.0,0.3343814393290264,1.0,0.21301360275350695,0.0,0.5098466906230719
S-CPI_n,300,4.2900168895721436,0.03633551040077976,0.0,0.07140798157929416,0.0,0.06330753381561495,0.0,0.9219395956670744,0.0,0.7150322554950796,0.0,0.6800908045759196,0.0,0.469297593301231,0.0,0.1872355124238984,0.0,0.5513529274073463,0.0,0.7290473601531265,0.0,0.7173185138302547,0.0,0.9061192711526129,0.0,0.6510001984045372,0.0,0.9659129990843424,0.0,0.4922155647524762,1.0,0.012816546108142389,0.0,0.8396877720703845,0.0,0.9072158783254449,0.0,0.7584909328786928,0.0,0.6180278149888898,0.0,0.5772853389445479,1.0,0.3662732487740139,0.0,0.9910995693817837,0.0,0.6733123723515763,0.0,0.6316814562857653,0.0,0.4467080565922932,0.0,0.35440661954007635,1.0,0.38472888337439604,1.0,0.6228817824452861,0.0,0.6613748328828624,0.0,0.8582872545541941,0.0,0.6216563975715675,0.0,0.5518625187061194,0.0,0.6262867178712274,0.0,0.8087304930730252,0.0,0.720848905314472,0.0,0.18368691093309314,0.0,0.6494184860015046,0.0,0.7211698421053023,1.0,0.2612665527517529,1.0,0.10379799416605112,1.0,0.5836036862228474,1.0,0.043591027897651825,1.0,0.031922251644241714,0.0,0.8271503041488868,0.0,0.624611853252563,1.0,0.8121140932495782,1.0,0.6436736677968613,0.0,0.28626502632842765,1.0,0.06437535182132317,0.0,0.5100708554227379
S-CPI_bt,300,4.478103160858154,0.03633551040077976,0.0,0.1297597743769211,0.0,0.05523314291516684,0.0,0.9998905385505363,0.0,0.9493245756974033,0.0,0.8586073267218185,0.0,0.10322986522558136,0.0,0.16337944100323282,0.0,0.8543211997247775,0.0,0.9629849355564769,0.0,0.9881268871897649,0.0,0.9843595641954785,0.0,0.8546322810203548,0.0,0.9994268204581283,0.0,0.7909430311818727,1.0,0.021937202058914397,0.0,0.9864705163708335,0.0,0.9933051682004868,0.0,0.9940104731985208,0.0,0.7514578403225076,0.0,0.8016574671679059,1.0,0.31754724158842806,0.0,0.9999999751378957,0.0,0.9165488088250572,0.0,0.8386723386420532,0.0,0.3125181139674416,0.0,0.2782744464053838,1.0,0.5722640727552927,1.0,0.8975753644767794,0.0,0.43549780962695495,0.0,0.999993411628626,0.0,0.46144384992657395,0.0,0.2600968370832449,0.0,0.5168491030564936,0.0,0.7088079348975996,0.0,0.8692095438947394,0.0,0.0011690434999906737,0.0,0.6444214941632558,0.0,0.971000451489006,1.0,0.05059072097879456,1.0,0.04955575994705798,1.0,0.36389401575027147,1.0,0.02651098596541191,1.0,6.708625333876044e-07,0.0,0.9788026227380976,0.0,0.5358169728846996,1.0,0.9689407244316476,1.0,0.7547261389790689,0.0,0.12751697608949397,1.0,7.692436957773563e-05,0.0,0.7474634797567292
