method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,150.47687578201294,-0.05400088626266153,0.0,0.4973772394237417,0.0,0.3538533911668278,0.0,0.5796576518764647,0.0,0.173288371677496,0.0,0.8071111178736297,0.0,0.9973344802936687,1.0,0.11577003481204362,1.0,0.13157015058441446,0.0,0.03985404232610734,0.0,0.9882303497657369,0.0,0.25256401367101955,0.0,0.5673542271920874,0.0,0.5243721310590191,0.0,0.06568673884235765,0.0,0.9453509850567787,1.0,0.40407530065025643,0.0,0.5976233663786006,1.0,0.5862991425855801,1.0,0.9554288759033265,0.0,0.8982661316938443,0.0,0.2857013406162544,0.0,0.8647193266585624,0.0,0.7919910905878518,0.0,0.15469581326046722,1.0,0.41578635680469167,0.0,0.915027659013649,1.0,0.06266606490752724,0.0,0.8917408403089038,1.0,0.034180052292567153,0.0,0.9736474205942658,0.0,0.41869667275610367,0.0,0.28097425455306513,0.0,0.9868333528333428,1.0,0.5845517421857149,1.0,0.47120473195259593,0.0,0.8607410871317288,0.0,0.1668791517594128,0.0,0.4707650557822767,0.0,0.978520194922501,0.0,0.6775555064864456,0.0,0.7018367777380856,1.0,0.6852331013023631,0.0,0.11976313621776358,0.0,0.16439624201136416,0.0,0.9149631686915722,0.0,0.5436833260880506,0.0,0.4743885598413641,1.0,0.23704963791203948,0.0,0.6480365836137739,0.0,0.9437667166182818
CPI,300,6.87511134147644,-0.05400088626266153,0.0,0.30657361283575246,0.0,0.08269846802424069,0.0,0.12648328743026466,0.0,0.6647594029022785,0.0,0.17951202686319984,0.0,0.7363501266472745,1.0,0.7489042767775443,1.0,0.15981526343862978,0.0,0.7275469483158734,0.0,0.5458765337474151,0.0,0.9248317054223659,0.0,0.29921833765724987,0.0,0.6503644785511341,0.0,0.9472666925311053,0.0,0.300995302858557,1.0,0.24275858502336112,0.0,0.2701203607246644,1.0,0.5993971807277438,1.0,0.034837607020195116,0.0,0.5106282104147409,0.0,0.04250996982177028,0.0,0.9139170426161081,0.0,0.36505796541747193,0.0,0.09077713893951933,1.0,0.11281322789158743,0.0,0.9430927678714984,1.0,0.9236789168036056,0.0,0.07953202347464927,1.0,0.5629281790738981,0.0,0.7759296577318286,0.0,0.7347077096405648,0.0,0.5102872727798672,0.0,0.6662560329155953,1.0,0.811196129920607,1.0,0.7754719314845484,0.0,0.7482933728638379,0.0,0.06601673307133202,0.0,0.11604861694845575,0.0,0.32829283159591083,0.0,0.015744367784494045,0.0,0.9617871745691295,1.0,0.8125059451753491,0.0,0.2953297271013371,0.0,0.09279069752647773,0.0,0.311415885484227,0.0,0.18804849172793503,0.0,0.366119849645155,1.0,0.8739745468635379,0.0,0.2489931408713797,0.0,0.07199936696438462
CPI_sqrt,300,6.8816728591918945,-0.05400088626266153,0.0,0.5034749319021486,0.0,0.46822470239241015,0.0,0.5412429316631725,0.0,0.5187464701910546,0.0,0.4786699730439101,0.0,0.5182762864485138,1.0,0.5301236041754324,1.0,0.6429195313858724,0.0,0.5357838254079996,0.0,0.3877464601837663,0.0,0.5610877212970133,0.0,0.4919158488326397,0.0,0.5716556810682353,0.0,0.503922108216198,0.0,0.4914969429540122,1.0,0.5142688024725989,0.0,0.5327060916737184,1.0,0.5827696774055116,1.0,0.3451037068341245,0.0,0.5029296811742061,0.0,0.3524239943876013,0.0,0.516731381771688,0.0,0.4077484162009871,0.0,0.5178451746660054,1.0,0.49842880959228053,0.0,0.5354233951904416,1.0,0.5433694668669902,0.0,0.48274102352891024,1.0,0.4951130922230239,0.0,0.4876338564278055,0.0,0.4527692913110454,0.0,0.5012815385792091,0.0,0.5117360797644867,1.0,0.4942315144306227,1.0,0.5197526635779476,0.0,0.4829471326510499,0.0,0.4978663999762919,0.0,0.3629236189524937,0.0,0.44146985248613496,0.0,0.4538306044502148,0.0,0.5253988254128146,1.0,0.5552588188502073,0.0,0.5010444219659492,0.0,0.46561707337847613,0.0,0.39272705987451845,0.0,0.49910227376538163,0.0,0.4957415287787287,1.0,0.479177712690016,0.0,0.38605043064032707,0.0,0.5589994167227965
CPI_n,300,6.884677410125732,-0.05400088626266153,0.0,0.4043524997461402,0.0,0.34970879155126644,0.0,0.5163121092247174,0.0,0.6022423689808729,0.0,0.49062592233143265,0.0,0.547584006925813,1.0,0.5737170884304498,1.0,0.6026754135074505,0.0,0.7363107796969918,0.0,0.15891355642562693,0.0,0.5415493670477503,0.0,0.4337793323501892,0.0,0.8480294911075676,0.0,0.36320687769655396,0.0,0.4747253144835818,1.0,0.5211246251244699,0.0,0.31419705423619176,1.0,0.35216093388434666,1.0,0.4074190541795681,0.0,0.4481227655299406,0.0,0.15822591198531127,0.0,0.757173213020754,0.0,0.29186969904409527,0.0,0.3382102141192215,1.0,0.32035059697216794,0.0,0.658952302000732,1.0,0.7497909257308981,0.0,0.3614307103077136,1.0,0.38124846824534825,0.0,0.38733586608497883,0.0,0.18421041209740452,0.0,0.5986625010960647,0.0,0.6405849340844918,1.0,0.4608895767409478,1.0,0.5974717407664969,0.0,0.5277824675366066,0.0,0.30798786176236603,0.0,0.30724047663284704,0.0,0.42940073281354807,0.0,0.38876380764473784,0.0,0.5870125741185541,1.0,0.5849670461250764,0.0,0.32008652946605015,0.0,0.6490747456938891,0.0,0.20519885571461488,0.0,0.476460014575117,0.0,0.3656917941509019,1.0,0.42650456335648007,0.0,0.23056946367388315,0.0,0.8108209039718646
CPI_bt,300,7.081568956375122,-0.05400088626266153,0.0,0.5039563552611597,0.0,0.1260110768554732,0.0,0.3993095953675754,0.0,0.5255106104182696,0.0,0.4018693646778654,0.0,0.545088703664159,1.0,0.659592992529298,1.0,0.981553909475974,0.0,0.6428171653656367,0.0,0.11525075656261496,0.0,0.7220442223654473,0.0,0.6619164440924143,0.0,0.7095700618461065,0.0,0.678026241838638,0.0,0.31647652626759526,1.0,0.39951883680079237,0.0,0.3884952192707312,1.0,0.4960446109492946,1.0,6.121361192911679e-05,0.0,0.4982042753664909,0.0,3.0161256986036815e-05,0.0,0.7211252158800657,0.0,0.026944349700808175,0.0,0.8889003371180124,1.0,0.37236814776990373,0.0,0.8673481532255805,1.0,0.9616045096689645,0.0,0.3108662628501073,1.0,0.693677763132575,0.0,0.48861842568033304,0.0,0.9942104910706362,0.0,0.383794914540859,0.0,0.5763068065387822,1.0,0.4799781749658128,1.0,0.7119292954035545,0.0,0.548504357174782,0.0,0.3236948170726472,0.0,0.21555274357120524,0.0,0.6572669346583303,0.0,0.05202994879696463,0.0,0.5573481955094334,1.0,0.7597997922787969,0.0,0.22685612049335863,0.0,0.26533893785141033,0.0,0.6675950719119788,0.0,0.2708503912384104,0.0,0.41892046628686774,1.0,0.6589283879221216,0.0,0.009033161039444073,0.0,0.8864767698997911
CPI_sqd,300,7.076533317565918,-0.05400088626266153,0.0,3.090725841527128e-26,0.0,2.726434480953776e-60,0.0,1.2361306831725405e-13,0.0,5.8598480001854425e-56,0.0,3.4745420987029554e-33,0.0,0.06700542364319828,1.0,1.0,1.0,0.24438185697724035,0.0,1.0,0.0,0.00046033703644085083,0.0,1.0,0.0,0.9922594246289822,0.0,1.0,0.0,5.435945157364432e-52,0.0,9.422602317093018e-25,1.0,2.4255874284780183e-80,0.0,1.0484536496076273e-150,1.0,2.2884353952181877e-209,1.0,3.3770470712771254e-35,0.0,0.0032924830043844014,0.0,1.0554505670569753e-09,0.0,1.0,0.0,1.5243024248679897e-224,0.0,0.9999982042863294,1.0,1.692374961058737e-106,0.0,1.0,1.0,1.0,0.0,7.726685173903548e-22,1.0,5.5847473197374465e-139,0.0,6.040921176328198e-20,0.0,0.9999999999999718,0.0,0.9999859058763018,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.502895770830888e-17,0.0,1.0,0.0,3.06232968080774e-09,0.0,1.0,0.0,3.0600606423899794e-73,0.0,3.647903208771704e-152,1.0,1.0,0.0,0.0,0.0,2.2563882115961638e-17,0.0,3.4432482580891895e-08,0.0,2.948951040021378e-16,0.0,0.0,1.0,1.0,0.0,2.178934403859569e-67,0.0,1.0
S-CPI,300,19.329630613327026,-0.05400088626266153,0.0,0.501168659981222,0.0,0.1923854323858583,0.0,0.23843693155765266,0.0,0.3188873842768841,0.0,0.33731569461539956,0.0,0.9346812639708044,1.0,0.687842467200356,1.0,0.7277031916283154,0.0,0.8747498426118518,0.0,0.41948546321635505,0.0,0.9828221950524961,0.0,0.5550938153972604,0.0,0.9458746002149462,0.0,0.19774411619415527,0.0,0.338012472126887,1.0,0.43389033785097414,0.0,0.39021130441022517,1.0,0.7630960246208207,1.0,0.0885402127917796,0.0,0.4624350101815854,0.0,0.2368246491124747,0.0,0.7548207245335787,0.0,0.08255404451706427,0.0,0.03426447597698545,1.0,0.0377487791983627,0.0,0.8410979771238136,1.0,0.9386129932845583,0.0,0.1414067651769102,1.0,0.6317150359151449,0.0,0.8556316338924974,0.0,0.8195873663366163,0.0,0.592445513488377,0.0,0.8074848715543057,1.0,0.7734602063886473,1.0,0.8034530264139197,0.0,0.1982993171604981,0.0,0.5997115448092543,0.0,0.05686806564745746,0.0,0.6897280881133183,0.0,0.08386712905941035,0.0,0.29750447212242426,1.0,0.6711459402394944,0.0,0.06828508552973905,0.0,0.127927290802119,0.0,0.17571281705728992,0.0,0.33245871513210556,0.0,0.21853961683933593,1.0,0.8314692976031186,0.0,0.10406255129966319,0.0,0.7972254654218531
S-CPI_sqrt,300,19.34052348136902,-0.05400088626266153,0.0,0.4920647019963651,0.0,0.45676540006557603,0.0,0.49220573957121766,0.0,0.507570086053636,0.0,0.492975122717371,0.0,0.533170955021665,1.0,0.5059013004435503,1.0,0.7209714177833464,0.0,0.5547957179724097,0.0,0.4463240353487291,0.0,0.5648641149666067,0.0,0.4967710793363356,0.0,0.549391921787018,0.0,0.5049204027428884,0.0,0.5016218184487176,1.0,0.48607014534371284,0.0,0.48223443145129663,1.0,0.5489888704028871,1.0,0.3734085014766475,0.0,0.47664293353071907,0.0,0.38116057366772393,0.0,0.5315525205408939,0.0,0.36935201730492506,0.0,0.47777539960320214,1.0,0.46438306186748635,0.0,0.5494907608851489,1.0,0.5561391857740061,0.0,0.4888283485875691,1.0,0.5072118575993313,0.0,0.513497462768905,0.0,0.5631365121615867,0.0,0.4970229461294124,0.0,0.516889785968063,1.0,0.5163432673401019,1.0,0.5303680309015106,0.0,0.46630859566614524,0.0,0.5196944474661239,0.0,0.40571321476334654,0.0,0.5045422210420358,0.0,0.44695128018609803,0.0,0.48195853911933406,1.0,0.4978650424301404,0.0,0.4442370675444687,0.0,0.4798441284090604,0.0,0.4169911275527702,0.0,0.4684729041413011,0.0,0.4803031508923448,1.0,0.517983663836721,0.0,0.38899350287709267,0.0,0.5036570714725782
S-CPI_n,300,19.32130479812622,-0.05400088626266153,0.0,0.6108790969792531,0.0,0.26622231757875314,0.0,0.4324502783666155,0.0,0.5803964939359243,0.0,0.540647428885509,0.0,0.5546579087392314,1.0,0.5806399107295356,1.0,0.727787537457989,0.0,0.5938104308475978,0.0,0.5470247238682263,0.0,0.8037201888763185,0.0,0.6302492091711652,0.0,0.8211635286616901,0.0,0.5322096668424667,0.0,0.36083417290523156,1.0,0.36420507439860056,0.0,0.34617767949654243,1.0,0.6843742767437034,1.0,0.22102238136672847,0.0,0.43263279753560924,0.0,0.36172937979967157,0.0,0.6319435390565085,0.0,0.14316964265340487,0.0,0.3136648278336147,1.0,0.3532097936018092,0.0,0.7564675542782552,1.0,0.7792200809344159,0.0,0.387053842052073,1.0,0.5978003632568588,0.0,0.6586259374272635,0.0,0.6025689948770759,0.0,0.5391850819269856,0.0,0.6748961479130924,1.0,0.542568424594694,1.0,0.6756782751371738,0.0,0.3350327899165776,0.0,0.5407229482569776,0.0,0.20627518032346742,0.0,0.6968263177651048,0.0,0.2387248440102907,0.0,0.43695630690207105,1.0,0.4976309719318039,0.0,0.24469734501845697,0.0,0.32610377433116955,0.0,0.2379178945834612,0.0,0.262256802495082,0.0,0.468149970458898,1.0,0.64567140050145,0.0,0.24909547602302995,0.0,0.5644691949208374
S-CPI_bt,300,19.517672777175903,-0.05400088626266153,0.0,0.5521209159672695,0.0,0.058002384763993935,0.0,0.24589199808994455,0.0,0.6221043307662562,0.0,0.4288028131415632,0.0,0.6782346024326571,1.0,0.7208842166547275,1.0,0.8675670848781604,0.0,0.783836525367887,0.0,0.06652606851712188,0.0,0.96465698480022,0.0,0.46582332075884625,0.0,0.8896490108081201,0.0,0.45318012572702804,0.0,0.27102023207697323,1.0,0.3068046752692332,0.0,0.3066271396991209,1.0,0.7448281011283033,1.0,0.005601923159531836,0.0,0.468215868538714,0.0,0.021135043985451022,0.0,0.7265792414087632,0.0,4.2227362275115194e-05,0.0,0.2828507587432606,1.0,0.18353917334867492,0.0,0.8290108920728612,1.0,0.9707293504080299,0.0,0.44526970253407827,1.0,0.5443913591654268,0.0,0.872742419193156,0.0,0.8750540270971394,0.0,0.4974505813603891,0.0,0.6352701692943564,1.0,0.6982864361305166,1.0,0.7161050479284782,0.0,0.2864750313048634,0.0,0.5475068443787333,0.0,0.000559172286060773,0.0,0.7584630679391988,0.0,0.16640218288200237,0.0,0.41576201028674215,1.0,0.7541979343351131,0.0,0.08715236003871152,0.0,0.3712407866106631,0.0,0.00985711923047901,0.0,0.37929343776671676,0.0,0.3792956801301335,1.0,0.8922202365205628,0.0,0.011923724240222724,0.0,0.8831571321668963
