method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,250.24622654914856,-0.1213964387073656,0.0,0.5782506027173102,1.0,9.2192919964873e-13,0.0,0.5669678626951596,0.0,0.1701127375145055,0.0,0.6015533919553939,1.0,0.29169768642464555,0.0,0.9996340499678414,1.0,0.9995483562421352,0.0,0.99976975806532,0.0,8.189746690367983e-06,0.0,0.9993329444131706,0.0,1.3305931153562156e-06,1.0,0.9950287227195428,0.0,0.6780958510197481,0.0,0.01047566368002495,0.0,0.9999448273853259,0.0,0.25675188374393854,0.0,0.34082687982219806,0.0,0.0012462529222478924,0.0,0.9999382618786261,0.0,0.0055865038700729786,0.0,1.0523321724020818e-06,0.0,0.0007176431298444585,0.0,5.360614174776401e-10,0.0,0.7739926422201606,1.0,0.21619092078234736,0.0,0.9981189760523419,0.0,0.004103839614882476,0.0,0.10389276111218804,0.0,0.9999998843968022,0.0,0.00019238419336642387,1.0,0.8017078062839236,0.0,0.10358094925934902,1.0,0.3742011799358236,1.0,0.07862738245137724,0.0,0.3226828557091228,0.0,0.9991597248631733,0.0,0.28703646213813316,1.0,0.05057323616014764,0.0,0.035962628361778326,0.0,0.8613093515288155,0.0,0.9976251413126113,0.0,0.12821941903335698,0.0,0.6715403451182107,1.0,0.025410281013723335,1.0,0.7092015296557493,0.0,0.9999999997591471,1.0,0.9999666113406876,0.0,0.9999661174613087,0.0,0.2243640559538802
CPI,1000,11.93317699432373,-0.1213964387073656,0.0,0.15703952085971645,1.0,0.5999512536636464,0.0,0.6031454883055478,0.0,0.8810488744088041,0.0,0.5089592295948431,1.0,0.5412467455274461,0.0,0.3530613933949913,1.0,0.029111343082165158,0.0,0.6216059309571758,0.0,0.0006661414997684533,0.0,0.3818338414173494,0.0,0.06255568502727908,1.0,0.5339941899917743,0.0,0.8815641363349322,0.0,0.4118738527495853,0.0,0.21915957158284338,0.0,0.6943743362849408,0.0,0.6482376924035939,0.0,0.4533602607531234,0.0,0.7274436514074285,0.0,0.25897195424560104,0.0,0.26670525317000127,0.0,0.9447274059019619,0.0,0.7986423244403393,0.0,0.4212835853903919,1.0,0.732768028874258,0.0,0.9877163835668373,0.0,0.34204721139043803,0.0,0.6381485883416607,0.0,0.4749792780616902,0.0,0.3598233068746414,1.0,0.8930782261046795,0.0,0.8283234066523226,1.0,0.40173707387366453,1.0,0.17049065906707156,0.0,0.500879673942835,0.0,0.8400955536251056,0.0,0.6458816170912373,1.0,0.8406535987664918,0.0,0.3512548405302215,0.0,0.06377841764253958,0.0,0.2158970716063769,0.0,0.3345658965316037,0.0,0.4387111482591874,1.0,0.11439388163848924,1.0,0.07136576722577385,0.0,0.2721331252592559,1.0,0.5613194532954113,0.0,0.5631983418408263,0.0,0.669826678766847
CPI_sqrt,1000,11.927958488464355,-0.1213964387073656,0.0,0.4848587763166221,1.0,0.5336469587319922,0.0,0.5049827775314302,0.0,0.5369789455988354,0.0,0.49562722829566597,1.0,0.49002691300646356,0.0,0.5041487183638714,1.0,0.44888844457330035,0.0,0.5139189280872354,0.0,0.42725396357274614,0.0,0.4888407951367009,0.0,0.5150763318380253,1.0,0.5085124999198599,0.0,0.5046347868264293,0.0,0.49655834934349447,0.0,0.49416065886332994,0.0,0.48729627128129477,0.0,0.4957574566857884,0.0,0.5061819333659308,0.0,0.48985495241235105,0.0,0.5085942224215392,0.0,0.47669788847931405,0.0,0.48998939806355596,0.0,0.503591935868766,0.0,0.5048020960097261,1.0,0.5003649983572881,0.0,0.526421671682641,0.0,0.508007482615718,0.0,0.4979674499138141,0.0,0.46923795556143083,0.0,0.49462582559920865,1.0,0.5260103447548468,0.0,0.5435611663901041,1.0,0.46850050949478494,1.0,0.5003571406888989,0.0,0.5006188442801044,0.0,0.4749321110302467,0.0,0.509953804223852,1.0,0.5133309525347018,0.0,0.4930068346445265,0.0,0.46583684520163576,0.0,0.4976442697897484,0.0,0.4773006450857086,0.0,0.47222144059264315,1.0,0.4910370891898141,1.0,0.4697785854443182,0.0,0.46872769567249684,1.0,0.5012147463931244,0.0,0.5002732926498867,0.0,0.49255783733001635
CPI_n,1000,11.887993574142456,-0.1213964387073656,0.0,0.3444306003447732,1.0,0.5804322786855753,0.0,0.5233892077255203,0.0,0.7143490993084829,0.0,0.49562554374037865,1.0,0.48674225431009005,0.0,0.4714808302146517,1.0,0.1887140573483645,0.0,0.41950067846262523,0.0,0.2404012071368014,0.0,0.5570709350903484,0.0,0.303713806504818,1.0,0.4956271731734197,0.0,0.5861960927780534,0.0,0.5316379086697386,0.0,0.3707588344486845,0.0,0.4321730114538608,0.0,0.42243222680850656,0.0,0.3360321420724789,0.0,0.6895883192298531,0.0,0.44373727744393043,0.0,0.7139416396195426,0.0,0.8799453198705427,0.0,0.8740726209962877,0.0,0.6032936767526896,1.0,0.8070041070424223,0.0,0.7916019559735807,0.0,0.2646313543227455,0.0,0.36966569093558016,0.0,0.38283431356559927,0.0,0.3874688647628654,1.0,0.4832837847655101,0.0,0.6168082490667597,1.0,0.6286418961114645,1.0,0.3967239669328318,0.0,0.2727621991535735,0.0,0.2774011836606779,0.0,0.5612635857425721,1.0,0.5085106936462318,0.0,0.6322721762850323,0.0,0.4608010809675668,0.0,0.6407368784394443,0.0,0.17098239430811252,0.0,0.34211332076048195,1.0,0.3223451451038815,1.0,0.20896928787679714,0.0,0.37990938062110113,1.0,0.5544165076792839,0.0,0.568549003729135,0.0,0.4150184993338789
CPI_bt,1000,13.042744874954224,-0.1213964387073656,0.0,0.4718482662829631,1.0,0.8316172384954257,0.0,0.6535701803513244,0.0,0.898364568090608,0.0,0.776044272093525,1.0,0.07441527560482653,0.0,0.35443806662842076,1.0,0.12442917573073936,0.0,0.5528367022710033,0.0,0.2659975645601127,0.0,0.19547099718668753,0.0,0.010644844088993669,1.0,0.5468805127726167,0.0,0.20251646463895018,0.0,0.7920146403588857,0.0,0.3174708631542523,0.0,0.294124065566032,0.0,0.3480528923165388,0.0,0.5616102847820317,0.0,0.36395978512034644,0.0,0.4655876822811514,0.0,0.7615228625240487,0.0,0.6829668794723449,0.0,0.7042959009171307,0.0,0.04470894462455694,1.0,0.7057137903965591,0.0,0.8195954906895637,0.0,0.014785456711200809,0.0,0.7060726511983594,0.0,0.11178570819376243,0.0,0.5635289406137852,1.0,0.9864498273387349,0.0,0.5142562611577061,1.0,0.41902120125666265,1.0,0.6275788701683294,0.0,0.038485568509241036,0.0,0.08777341632520924,0.0,0.5900092248764688,1.0,0.5150290140141488,0.0,0.38565326898165203,0.0,0.45773382502807836,0.0,0.34184363269023715,0.0,0.15323928740548254,0.0,0.18847966363508245,1.0,0.36087171313178223,1.0,0.9347181807094416,0.0,0.5618181106361534,1.0,0.37580753463842453,0.0,0.7873838126224584,0.0,0.5850173690641833
CPI_sqd,1000,13.043339729309082,-0.1213964387073656,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.179674894919567e-217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5423493704786366e-134,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0045460486100513805,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.1429322223324004e-57,0.0,0.0,0.0,1.0
S-CPI,1000,12.622278213500977,-0.1213964387073656,0.0,0.24901715503212057,1.0,0.9401870052401263,0.0,0.8056706344465088,0.0,0.8755246551316026,0.0,0.4661990704606155,1.0,0.7838642310031769,0.0,0.5921396714757217,1.0,0.04366765121952193,0.0,0.7831336241952893,0.0,0.005046934418919997,0.0,0.3688970482503391,0.0,0.21863185625773252,1.0,0.7205754145121364,0.0,0.9305786435152396,0.0,0.736132070892439,0.0,0.5725489644057102,0.0,0.37927066933889453,0.0,0.7185563274367777,0.0,0.6388054781008592,0.0,0.6047807804614803,0.0,0.6316179402012045,0.0,0.7237393044697327,0.0,0.9161497859681793,0.0,0.948146903245965,0.0,0.7073077081919218,1.0,0.8025229964719558,0.0,0.9811087068513727,0.0,0.5925230823105472,0.0,0.5240897385933067,0.0,0.21757581950521093,0.0,0.6603365990109475,1.0,0.9985784955401112,0.0,0.9322826906103472,1.0,0.8454719719922518,1.0,0.49617946234991656,0.0,0.48477412675389125,0.0,0.43966951492495393,0.0,0.9477472477886165,1.0,0.322271779652613,0.0,0.601147464803098,0.0,0.2338572637157365,0.0,0.3786372797201513,0.0,0.1607203713460748,0.0,0.6204033671164075,1.0,0.15530491048627987,1.0,0.4391141714253971,0.0,0.3481557532162908,1.0,0.3742569189175343,0.0,0.49020290740084643,0.0,0.40057248399465595
S-CPI_sqrt,1000,12.633311986923218,-0.1213964387073656,0.0,0.4882511446888308,1.0,0.5584900987173355,0.0,0.5308418050834895,0.0,0.5468275938063432,0.0,0.5076426674615298,1.0,0.5175526281790477,0.0,0.514018914499263,1.0,0.4260246086947501,0.0,0.5183702107450805,0.0,0.4335314023486507,0.0,0.4856106229320439,0.0,0.46043414238045105,1.0,0.4992511735756639,0.0,0.5381865052186812,0.0,0.5151297905457515,0.0,0.5089155556914997,0.0,0.49301815215485095,0.0,0.501935495195097,0.0,0.5053970225824429,0.0,0.5062800995723156,0.0,0.5013800789362995,0.0,0.5227580302579165,0.0,0.5659956043418889,0.0,0.5489835802252174,0.0,0.5196247089595263,1.0,0.5423113524833338,0.0,0.5343079643146854,0.0,0.538474404174273,0.0,0.4977015911626622,0.0,0.49403672418059197,0.0,0.4967531405418826,1.0,0.6369982806988079,0.0,0.5548935188819725,1.0,0.5004091370896387,1.0,0.4954355055260591,0.0,0.542292566463008,0.0,0.5049534955500111,0.0,0.5408277452323833,1.0,0.48976030979006946,0.0,0.5212034231644723,0.0,0.49218378323567163,0.0,0.49241225049398707,0.0,0.4792640247674464,0.0,0.524679923938992,1.0,0.4805475126559737,1.0,0.5045869675249997,0.0,0.4830043442723157,1.0,0.5007250414012934,0.0,0.4867820946749152,0.0,0.49566734405787205
S-CPI_n,1000,12.630863904953003,-0.1213964387073656,0.0,0.4947594593441756,1.0,0.8293358197997831,0.0,0.7623178877581658,0.0,0.8808883334188485,0.0,0.5852883971545038,1.0,0.5675015441330085,0.0,0.5529391959048111,1.0,0.1826034371753038,0.0,0.5288149594785854,0.0,0.1327759894341759,0.0,0.37464160816196573,0.0,0.15823138806504305,1.0,0.44871531051671176,0.0,0.8101781121200524,0.0,0.7102166300637794,0.0,0.5908786274168393,0.0,0.6853819391404301,0.0,0.5741703438888045,0.0,0.5728983505082689,0.0,0.48514066927310684,0.0,0.5142804393801886,0.0,0.6017810446235026,0.0,0.872675490223438,0.0,0.7147197993286329,0.0,0.5114986391849824,1.0,0.7948341946777465,0.0,0.770637085385776,0.0,0.6127641350962928,0.0,0.5984076713366404,0.0,0.30500631462957006,0.0,0.46057255407337877,1.0,0.9766686322063312,0.0,0.7986503899041555,1.0,0.585796477142455,1.0,0.3873069797348848,0.0,0.7749751491548464,0.0,0.2255604273610034,0.0,0.7569306573258234,1.0,0.45533981187255984,0.0,0.6044012732638309,0.0,0.4415894950553858,0.0,0.48667513597959555,0.0,0.3002303073735453,0.0,0.5801931106966756,1.0,0.16772986680950142,1.0,0.5058990939481294,0.0,0.3700267881111359,1.0,0.40982195509474934,0.0,0.5066061057791874,0.0,0.5340954364364445
S-CPI_bt,1000,13.766268253326416,-0.1213964387073656,0.0,0.265029356307099,1.0,0.983755010413615,0.0,0.9683753210405401,0.0,0.9991382511633652,0.0,0.3140249396887759,1.0,0.6090706778056567,0.0,0.7673542154119228,1.0,0.0008328928858420742,0.0,0.9238848891777556,0.0,0.0045134178554990636,0.0,0.6189815273505337,0.0,0.07058513625595386,1.0,0.494697040541913,0.0,0.9313645171370932,0.0,0.7306623319129808,0.0,0.42133316499001394,0.0,0.48263343073155685,0.0,0.6965122768773699,0.0,0.6991348037960736,0.0,0.5935641090209449,0.0,0.7824306732420572,0.0,0.8673619319295972,0.0,0.977979148976676,0.0,0.9611861228891265,0.0,0.9012130801870619,1.0,0.8963074823303504,0.0,0.9282339243853315,0.0,0.7811923431565887,0.0,0.7814230925157362,0.0,0.2557271407534606,0.0,0.6588416848347487,1.0,0.9999999994915022,0.0,0.9998575400271595,1.0,0.6704157621470281,1.0,0.4144924962839536,0.0,0.8904403118304778,0.0,0.2410759537584845,0.0,0.9189118289072592,1.0,0.550406246951243,0.0,0.9243339220368734,0.0,0.2583806504954368,0.0,0.6591286614073719,0.0,0.022179691306382542,0.0,0.4337962293265233,1.0,0.02414741424013017,1.0,0.26380291225791674,0.0,0.15002224223052552,1.0,0.45808717380372127,0.0,0.3946326959979575,0.0,0.3747402393973591
S-CPI_sqd,1000,13.742254734039307,-0.1213964387073656,0.0,1.2487470231547421e-261,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3751767783816261,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.905125237842676e-71,0.0,1.0,0.0,0.0,0.0,3.1331937374604832e-158,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0097074111754562e-26,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
S-CPI2,1000,19.79856300354004,-0.1213964387073656,0.0,0.2845407909532064,1.0,0.9604758787947512,0.0,0.9688168212530819,0.0,0.9414047077413957,0.0,0.569733162221003,1.0,0.635310537392286,0.0,0.6278040270351868,1.0,0.07693700110106905,0.0,0.7072525854329829,0.0,0.02607789434231226,0.0,0.4719324652653115,0.0,0.10122533914442544,1.0,0.6172669613891646,0.0,0.9188429825066848,0.0,0.8295803003932087,0.0,0.6630022548469212,0.0,0.45375006567116666,0.0,0.5545590075769682,0.0,0.6909190079762499,0.0,0.5664154604393522,0.0,0.6678904448483163,0.0,0.6145845877351646,0.0,0.9555749567949248,0.0,0.9493855078180566,0.0,0.8439009369789618,1.0,0.9498577532616479,0.0,0.9611169389626352,0.0,0.5119319254432244,0.0,0.6350648004479063,0.0,0.3291556257154553,0.0,0.666460534568553,1.0,0.9975406484566669,0.0,0.9112238900439303,1.0,0.6186142752504723,1.0,0.3616205581394363,0.0,0.772650503752455,0.0,0.3041661437342491,0.0,0.9167720500586001,1.0,0.5189524954895011,0.0,0.7521302080792198,0.0,0.25073480719542907,0.0,0.5132692069645141,0.0,0.1871449812787479,0.0,0.6205117215376957,1.0,0.09910972532611295,1.0,0.38391303941812505,0.0,0.20786384204331854,1.0,0.3949996634628283,0.0,0.4947592346242154,0.0,0.3594495596783601
S-CPI2_sqrt,1000,19.817274570465088,-0.1213964387073656,0.0,0.4854130127927281,1.0,0.5724911550436702,0.0,0.5330885072478841,0.0,0.5694457314222157,0.0,0.5064342716972254,1.0,0.5193280416798599,0.0,0.5010652219947289,1.0,0.43783917702522096,0.0,0.5276182353814752,0.0,0.4307345529027458,0.0,0.4954747786367143,0.0,0.4509409219994576,1.0,0.5061959540793461,0.0,0.5408276429729436,0.0,0.5187650275995273,0.0,0.5109802941488493,0.0,0.5054372606573294,0.0,0.5076470014083918,0.0,0.5130496479157547,0.0,0.5041010790746855,0.0,0.5094040111104725,0.0,0.5224060867657196,0.0,0.5511062616600554,0.0,0.5374014473963903,0.0,0.5222947839529636,1.0,0.5349878786497329,0.0,0.5379320330611064,0.0,0.5139015505984728,0.0,0.5125166338748681,0.0,0.4861448382038899,0.0,0.5103100316054874,1.0,0.6515214192526028,0.0,0.5622031931016163,1.0,0.5099011191355199,1.0,0.4912505550919256,0.0,0.54829287851814,0.0,0.4783826292762666,0.0,0.536041129157374,1.0,0.5001176264922871,0.0,0.5127167485493906,0.0,0.49305045110202783,0.0,0.4977946877778667,0.0,0.47615260168915274,0.0,0.5111139726398163,1.0,0.46303889764664224,1.0,0.4852050604399345,0.0,0.4822867711281132,1.0,0.4973577210188163,0.0,0.49997136460871594,0.0,0.49835994368911773
