method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,1000,255.4605576992035,-0.17227174291620462,0.0,0.004698711138883427,1.0,1.450277519632337e-06,0.0,0.9749136947313547,0.0,0.9999997299677429,0.0,0.999998854802988,0.0,0.14551366305935276,0.0,0.8559390178983122,0.0,0.9992814767360759,0.0,0.9994197707440047,0.0,4.25204871312701e-10,1.0,0.001655462230680138,1.0,0.6283205030521899,0.0,0.14698085172894948,0.0,0.9996523279248971,0.0,0.8719703618014629,1.0,0.9999960409128067,0.0,0.03527705086628452,0.0,0.6840345874209381,1.0,0.08831813828452106,1.0,0.8892119747580176,0.0,0.9759655312905284,0.0,0.9999999991340545,0.0,3.342348142698626e-08,1.0,0.017121024537829488,0.0,0.4675926325887473,0.0,0.8518181656732756,0.0,3.1230236861023997e-06,1.0,0.5965528683489436,0.0,4.440892098500626e-14,0.0,1.835738158151301e-06,1.0,0.9999999987773739,0.0,0.2474095905025805,1.0,7.420835162474937e-06,0.0,3.191985564754418e-10,0.0,0.9999999794368319,0.0,0.9999999999999994,0.0,1.2872575066991132e-06,0.0,0.05724543144638361,0.0,0.024515265078952075,0.0,1.6566920613136915e-08,0.0,0.999997981351697,0.0,0.010458956794127672,0.0,0.9999994551677414,0.0,0.0,1.0,0.528854329490322,0.0,0.9997698424284678,0.0,0.009199897448935679,0.0,3.2154105367165897e-07,1.0,0.9845609879611005,0.0,5.394013784743024e-06
CPI,1000,11.93043327331543,-0.17227174291620462,0.0,0.40468709403821496,1.0,0.5189237259433699,0.0,0.17090941792898184,0.0,0.6811994648307,0.0,0.8469363069396303,0.0,0.8660768305221593,0.0,0.7425052122620248,0.0,0.6379770926772075,0.0,0.9141684636671004,0.0,0.5699680533783517,1.0,0.8106847519892324,1.0,0.4850707862585787,0.0,0.6758093054425293,0.0,0.34673030634500934,0.0,0.7730437371235614,1.0,0.7230510029153819,0.0,0.3001043567486241,0.0,0.9317717323614231,1.0,0.2723757727225997,1.0,0.49791038011631267,0.0,0.37699587219816116,0.0,0.6927866074411908,0.0,0.376201144185428,1.0,0.11419930672407141,0.0,0.8688432803145183,0.0,0.7030315134641006,0.0,0.09121343429864742,1.0,0.39972989641490275,0.0,0.778110818324653,0.0,0.006883857248009442,1.0,0.1324311129072276,0.0,0.18069430155213462,1.0,0.8330866073609533,0.0,0.06769127432568639,0.0,0.06937888627688742,0.0,0.1685098003613154,0.0,0.635377132205295,0.0,0.8286615643970343,0.0,0.9095407271341925,0.0,0.8159136488622114,0.0,0.7019428442106337,0.0,0.24544678649568713,0.0,0.20205111486814076,0.0,0.5650638479625777,1.0,0.20810162475987803,0.0,0.2700005106521973,0.0,0.5390971767474868,0.0,0.36867393982234853,1.0,0.07920413955419953,0.0,0.21948496694005803
CPI_sqrt,1000,11.968534469604492,-0.17227174291620462,0.0,0.4494207931849222,1.0,0.5330910341845543,0.0,0.49237737934490783,0.0,0.49281720458599376,0.0,0.4797606234005085,0.0,0.5033399376460623,0.0,0.504959957497014,0.0,0.5079851346720103,0.0,0.5002276635863441,0.0,0.5173348878372555,1.0,0.4859211427754242,1.0,0.5180847010533391,0.0,0.47367017464528394,0.0,0.4944532832910191,0.0,0.5168958592173684,1.0,0.4831296642973346,0.0,0.46616061977772705,0.0,0.5292422694826526,1.0,0.4921084173480978,1.0,0.5050667675279416,0.0,0.5093437252743074,0.0,0.4860405127750724,0.0,0.4306631321205222,1.0,0.5189533297056323,0.0,0.5161731293825776,0.0,0.48291954931642195,0.0,0.4476430954693526,1.0,0.5127796972562241,0.0,0.5181373521651688,0.0,0.48536163955125206,1.0,0.4935358553810516,0.0,0.46297799052143374,1.0,0.4904243623434619,0.0,0.48946190875138884,0.0,0.472430408097409,0.0,0.49010480164151915,0.0,0.49510325308520053,0.0,0.5033993728843817,0.0,0.5050058833509206,0.0,0.5183630220717352,0.0,0.5169461873650758,0.0,0.5003420198764202,0.0,0.48464697848526156,0.0,0.4853800679742634,1.0,0.4983148153799269,0.0,0.48331099469798705,0.0,0.4923962310415937,0.0,0.49487122601775607,1.0,0.4692355646338712,0.0,0.48649871368049485
CPI_n,1000,11.848850011825562,-0.17227174291620462,0.0,0.603724485025004,1.0,0.43573351784621617,0.0,0.4492563962587386,0.0,0.20562812699847238,0.0,0.6716291327937917,0.0,0.3973574754973046,0.0,0.4309558522788255,0.0,0.5161226741210854,0.0,0.6306179305977384,0.0,0.5037671776193904,1.0,0.6317471144678521,1.0,0.2995037411356173,0.0,0.32320399709265957,0.0,0.4696530783534372,0.0,0.4351249235348069,1.0,0.5837528803210955,0.0,0.28384301934140055,0.0,0.6170318887056225,1.0,0.2661362623545973,1.0,0.5804174301939959,0.0,0.635386721101794,0.0,0.555990333238349,0.0,0.049375020232545426,1.0,0.36546925359210863,0.0,0.6638372879279687,0.0,0.49316271662151073,0.0,0.1809052226404369,1.0,0.5524107651474289,0.0,0.5971611040042011,0.0,0.273379002806168,1.0,0.43947711528471006,0.0,0.34545567353997725,1.0,0.43111526462566113,0.0,0.361801883324397,0.0,0.6550549897804401,0.0,0.28871950025105364,0.0,0.6350812516316464,0.0,0.6273658989649259,0.0,0.6161590086182188,0.0,0.3780896185173497,0.0,0.3630383508537213,0.0,0.5978697552059654,0.0,0.5485066053612764,0.0,0.2676658666656162,1.0,0.43827868067264975,0.0,0.3887347779734975,0.0,0.5868719603159641,0.0,0.4301260958150687,1.0,0.2558696679987279,0.0,0.3957998118207525
CPI_bt,1000,12.982478380203247,-0.17227174291620462,0.0,0.3274076819580258,1.0,0.7694800698035886,0.0,0.013393474256775019,0.0,0.6945196783378087,0.0,0.3901342801178632,0.0,0.2829533079576121,0.0,0.8521326203388728,0.0,0.6404690154648436,0.0,0.8951376693289861,0.0,0.4248138201934455,1.0,0.9941710909574639,1.0,0.8500176196806785,0.0,0.8584504135732027,0.0,0.8570500525703288,0.0,0.3999872232321724,1.0,0.8251041763091833,0.0,0.21139711504878123,0.0,0.3662302754098094,1.0,0.3154683982495802,1.0,0.31317273917450245,0.0,0.4788309390334781,0.0,0.2997192624503136,0.0,0.07350225534354453,1.0,0.40978136023952694,0.0,0.7786630685893746,0.0,0.43026915297671087,0.0,0.009485611083896069,1.0,0.8817892685030355,0.0,0.9901641470749138,0.0,0.27577964105703123,1.0,0.08103256608622406,0.0,0.04014216003275263,1.0,0.24646630535874126,0.0,0.6556383602393048,0.0,0.4975876706848164,0.0,0.7909611856253908,0.0,0.7171125479950254,0.0,0.7056417515837219,0.0,0.5620903460840831,0.0,0.9113007256884097,0.0,0.7713632431752528,0.0,0.6500100265369582,0.0,0.5614697306506239,0.0,0.053511251368482594,1.0,0.3328124668017681,0.0,0.1645756624818055,0.0,0.0896807573662689,0.0,0.4594557425671531,1.0,0.24407640267452801,0.0,0.4413145814823944
CPI_sqd,1000,12.995970010757446,-0.17227174291620462,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9999995977069573,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.313949665507125e-17,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.4062041423258113e-11,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.03620312750469648,0.0,0.0,1.0,0.9767326164017733,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.3850676591532186e-69,0.0,1.0,0.0,0.0,1.0,1.9271244278582717e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4966515116801805e-159
S-CPI,1000,12.578458786010742,-0.17227174291620462,0.0,0.3507427750029421,1.0,0.90884955664631,0.0,0.266757915227786,0.0,0.6821128840856358,0.0,0.30702257064336996,0.0,0.6459854068507201,0.0,0.7164519715327735,0.0,0.7830914573892953,0.0,0.9194400615073257,0.0,0.9924282388305313,1.0,0.7250709382244948,1.0,0.7687814373036401,0.0,0.7012103546190616,0.0,0.7242903808463272,0.0,0.8180505516343276,1.0,0.6914369972134758,0.0,0.2366105107009296,0.0,0.8506110603962147,1.0,0.718045799634762,1.0,0.7730834494004667,0.0,0.6351389699043613,0.0,0.3785858541995928,0.0,0.3581869705638403,1.0,0.6372371486606738,0.0,0.9527091359780459,0.0,0.6649853128731722,0.0,0.17336251779499118,1.0,0.8297490776760372,0.0,0.9095794875979859,0.0,0.335118562348373,1.0,0.23502324574507577,0.0,0.5465999579920086,1.0,0.6254664284945628,0.0,0.7904855791720775,0.0,0.12697177066816856,0.0,0.5415606202429246,0.0,0.7466622203042654,0.0,0.6169419710914514,0.0,0.8344410762541965,0.0,0.8475352789149797,0.0,0.9238250465061982,0.0,0.48372420159995766,0.0,0.41954623148092524,0.0,0.23303329233403647,1.0,0.09864117857798599,0.0,0.7423417923279328,0.0,0.6323997087838035,0.0,0.13172776362827726,1.0,0.009720136958289103,0.0,0.4896709846727575
S-CPI_sqrt,1000,12.581899881362915,-0.17227174291620462,0.0,0.4728371012863695,1.0,0.5296535711286053,0.0,0.4888233190382698,0.0,0.5020705949673872,0.0,0.49967474272274354,0.0,0.5149257769723873,0.0,0.5378734029224859,0.0,0.5275811804154049,0.0,0.5351236345745323,0.0,0.5518206800683879,1.0,0.527501771954699,1.0,0.5238961315738325,0.0,0.51829864506434,0.0,0.5183427283011113,0.0,0.5118793806583892,1.0,0.49812634278520695,0.0,0.4778722308362815,0.0,0.5153318539740854,1.0,0.5125055308129646,1.0,0.5249866168777906,0.0,0.5075714685682634,0.0,0.4887296547979647,0.0,0.4653043981523734,1.0,0.5396661542251291,0.0,0.5277397374990479,0.0,0.5035070596981379,0.0,0.4827840132297413,1.0,0.48547261425681676,0.0,0.5448214527039924,0.0,0.4797574602988194,1.0,0.4996097291129507,0.0,0.49562134043813316,1.0,0.5118328910865263,0.0,0.5224851129449918,0.0,0.47528719512079987,0.0,0.5114810463539141,0.0,0.528112333639806,0.0,0.5079302149695131,0.0,0.5642414126803756,0.0,0.5268124709247409,0.0,0.5240386175177301,0.0,0.4923300819317715,0.0,0.4938466266797292,0.0,0.4805365884594383,1.0,0.4854543485352902,0.0,0.49548116984870966,0.0,0.5200696332622373,0.0,0.4800976025599187,1.0,0.4662005764990128,0.0,0.49903246921894284
S-CPI_n,1000,12.600061655044556,-0.17227174291620462,0.0,0.2179511778939282,1.0,0.7820857237967483,0.0,0.5038786945712839,0.0,0.5213499908916973,0.0,0.4590445647886809,0.0,0.5345962317513137,0.0,0.6683730352825974,0.0,0.7451658955165116,0.0,0.811083933314364,0.0,0.7934184819315622,1.0,0.7653745574651047,1.0,0.6910439902359587,0.0,0.5977178904272525,0.0,0.7091053714185546,0.0,0.5737434545619623,1.0,0.5972838421384022,0.0,0.4036713806440323,0.0,0.6598627979065599,1.0,0.5600182244825366,1.0,0.6710193487434913,0.0,0.6114233085407021,0.0,0.39904732885745076,0.0,0.16907117673057492,1.0,0.5550724035835233,0.0,0.7591314390297967,0.0,0.5334195497768441,0.0,0.3132364136341458,1.0,0.5089145208933162,0.0,0.8751804364977687,0.0,0.141011241061671,1.0,0.42985997235126644,0.0,0.4516791071709695,1.0,0.6643511080944808,0.0,0.6356233009859815,0.0,0.27994114548582616,0.0,0.4509069790583046,0.0,0.6942108041803939,0.0,0.5925971069478546,0.0,0.7054628311720308,0.0,0.6928083881019795,0.0,0.726544391473304,0.0,0.555800452707371,0.0,0.557062299589954,0.0,0.43396233532530953,1.0,0.31213336568067873,0.0,0.5666183465396238,0.0,0.6094274280804516,0.0,0.3768502575420619,1.0,0.20295154437633978,0.0,0.5543981508223492
S-CPI_bt,1000,13.726886749267578,-0.17227174291620462,0.0,0.11454934276698536,1.0,0.9220287398620741,0.0,0.21033148409656754,0.0,0.6743687440975338,0.0,0.3345633595199521,0.0,0.6136142222608166,0.0,0.9107575061813113,0.0,0.7085355751107972,0.0,0.9382034811840644,0.0,0.9861377757985336,1.0,0.7916100547395621,1.0,0.8905665964247661,0.0,0.5807502701084878,0.0,0.759793495316163,0.0,0.8274052988258858,1.0,0.6709108406478318,0.0,0.40855897070989217,0.0,0.6786563671093817,1.0,0.820085614653248,1.0,0.801047594372438,0.0,0.4991449906568627,0.0,0.47920328595336126,0.0,0.007588143071461668,1.0,0.9011201202157121,0.0,0.8325412186234182,0.0,0.5678199759109146,0.0,0.14739646036777931,1.0,0.5699215326561029,0.0,0.9694586077886829,0.0,0.19728321378896596,1.0,0.3341668938660173,0.0,0.8543141275587602,1.0,0.7738278350230585,0.0,0.9049449570544009,0.0,0.05056815590938043,0.0,0.5069987978686441,0.0,0.8300701851790878,0.0,0.5941690518254229,0.0,0.9753376434526516,0.0,0.9453172932211019,0.0,0.9901974463944287,0.0,0.40602206452381484,0.0,0.45806908343419034,0.0,0.13794278901139295,1.0,0.26198375108896216,0.0,0.43685834914862154,0.0,0.7511365068847005,0.0,0.12826081787008248,1.0,0.16342950305962167,0.0,0.6077789367085615
