method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,77.28713607788086,-0.2153820545965499,0.0,2.5822111116013957e-10,0.0,0.9780364303173924,0.0,0.9999999796842226,1.0,1.6290471487878655e-05,0.0,1.2212453270876722e-15,0.0,0.12808936315862274,0.0,0.9999999999999999,0.0,0.008598016771315442,0.0,0.9999999999990018,0.0,0.9999889813194698,0.0,0.42902368390343326,0.0,0.999912613221539,0.0,0.9999999911781113,0.0,0.0004303241515254408,0.0,9.89008874796582e-12,0.0,0.9999976325430058,0.0,1.905015009207034e-05,1.0,0.9479945501407476,0.0,0.9969409861647223,0.0,5.084821452783217e-14,0.0,2.703864909747722e-10,0.0,0.0007030935352775325,0.0,0.9999999999999961,0.0,5.6047422681615444e-05,1.0,0.33660622810831364,1.0,0.0014167545883130295,1.0,0.9999680532920354,0.0,4.825173149924922e-09,0.0,6.010854722338088e-05,0.0,0.9935667637482136,0.0,0.9985206992788075,0.0,3.764455414057011e-11,0.0,0.36787794432815324,0.0,0.999948064508783,1.0,0.7282755936992368,0.0,1.0573830699911468e-10,0.0,0.6695200918047174,0.0,0.9999999920422089,1.0,0.8228242819227445,0.0,0.9999999973799226,1.0,0.00021183448276451688,1.0,0.07314339725018115,1.0,0.2906288480690349,0.0,2.1385013204699987e-08,0.0,1.211867578065906e-06,1.0,0.9999999999987409,1.0,0.4177319851348035,0.0,0.9910126094685716,0.0,0.3174851923449067,0.0,0.8681447019414789
CPI,300,4.209493637084961,-0.2153820545965499,0.0,0.8662752104193262,0.0,0.915780337803981,0.0,0.014200406768756635,1.0,0.5315876222242721,0.0,0.7166978395332954,0.0,0.6537633530702193,0.0,0.6927439804139677,0.0,0.7511406270647085,0.0,0.22912553190027524,0.0,0.27425732534862113,0.0,0.5858097410789282,0.0,0.15456424359706267,0.0,0.24425913145056016,0.0,0.2678892885255518,0.0,0.24494149717785885,0.0,0.628992462680188,0.0,0.555915482522826,1.0,0.24225831667649372,0.0,0.9496750827228362,0.0,0.20697851996139555,0.0,0.7832676728304734,0.0,0.955216573591928,0.0,0.18391803395775153,0.0,0.9333672513385668,1.0,0.5312698092173127,1.0,0.9568562178636081,1.0,0.20152094687083633,0.0,0.564238490520635,0.0,0.792055262317471,0.0,0.5159667744687069,0.0,0.9567420851411925,0.0,0.8962837007851416,0.0,0.26757612027562216,0.0,0.14066678554292933,1.0,0.8483294508886587,0.0,0.046479627140332234,0.0,0.579677776783081,0.0,0.22851225573702955,1.0,0.5852079683446424,0.0,0.07693548883179623,1.0,0.7077824715158012,1.0,0.04119774096690401,1.0,0.032790647322730265,0.0,0.489265228131662,0.0,0.8456401330355322,1.0,0.15180328136732113,1.0,0.0261454903200153,0.0,0.11312733224834598,0.0,0.06858226929578395,0.0,0.18720675025280648
CPI_sqrt,300,4.1905295848846436,-0.2153820545965499,0.0,0.5230438938660584,0.0,0.47665948568068683,0.0,0.44615178153464374,1.0,0.48894538922286074,0.0,0.499675859778976,0.0,0.48964330074571716,0.0,0.5156391673272764,0.0,0.523671562500075,0.0,0.4582261200835147,0.0,0.5028160773951207,0.0,0.5072151245697541,0.0,0.512236384713659,0.0,0.48451442487582835,0.0,0.5032662240638425,0.0,0.49683157381425486,0.0,0.49252090622504135,0.0,0.4935262308450521,1.0,0.48052239739745645,0.0,0.500670948952456,0.0,0.5102615163509793,0.0,0.5136022752586002,0.0,0.5005897620235872,0.0,0.5708169735454474,0.0,0.5082824332660282,1.0,0.5007145975028597,1.0,0.5182969612398695,1.0,0.4864524553000319,0.0,0.503825252845352,0.0,0.5148119783119935,0.0,0.5367561661100398,0.0,0.5182686506465378,0.0,0.4994168288098373,0.0,0.5102202533370129,0.0,0.5015029498502644,1.0,0.5708559712702759,0.0,0.462696094642348,0.0,0.5004643631809993,0.0,0.4726616403903262,1.0,0.4626919647810912,0.0,0.4542273986703309,1.0,0.4917202861723292,1.0,0.5578190960488085,1.0,0.4767812592281988,0.0,0.5352920118182334,0.0,0.5053642971313046,1.0,0.5116653857134287,1.0,0.4486177993709259,0.0,0.5378223077858276,0.0,0.4042355996844626,0.0,0.5025071407283284
CPI_n,300,4.196101903915405,-0.2153820545965499,0.0,0.49087634791072815,0.0,0.5615205199834118,0.0,0.5519829793542694,1.0,0.405218793074323,0.0,0.4752283680908938,0.0,0.43820274038905593,0.0,0.5067734092231346,0.0,0.5126862720921495,0.0,0.4542639010322723,0.0,0.3721074647630347,0.0,0.5280348076237595,0.0,0.5435278430291595,0.0,0.45186600978896607,0.0,0.4682067481091842,0.0,0.6085420028008615,0.0,0.4493610723698152,0.0,0.5076411701873154,1.0,0.2335193753855211,0.0,0.5453188586795855,0.0,0.46377022028526405,0.0,0.6751928723927972,0.0,0.5327181002200871,0.0,0.6340679068595019,0.0,0.7338271937614946,1.0,0.5266844665429226,1.0,0.6240031471114299,1.0,0.33986055518500063,0.0,0.5081066423860757,0.0,0.7603385712368975,0.0,0.4585102203214009,0.0,0.6025566508441212,0.0,0.6088248067642403,0.0,0.4888515941913535,0.0,0.42862382522749576,1.0,0.5674173385365017,0.0,0.375196465594483,0.0,0.2909955242187437,0.0,0.22617192258471958,1.0,0.5827794715053298,0.0,0.469430294246978,1.0,0.45430161780173767,1.0,0.5104843389319016,1.0,0.23514194759752638,0.0,0.3341333635877081,0.0,0.4985632480115853,1.0,0.4781865034546783,1.0,0.1487423112156408,0.0,0.8599862413130309,0.0,0.1951980884750582,0.0,0.45795048610927713
CPI_bt,300,4.366602182388306,-0.2153820545965499,0.0,0.44053595145837915,0.0,0.9091154919361333,0.0,0.15281981513802134,1.0,0.3622202724862901,0.0,0.4629628720157412,0.0,0.20165913616295006,0.0,0.3849696657874855,0.0,0.7310393732206542,0.0,0.36128255494591766,0.0,0.6050852697003664,0.0,0.5424431868743931,0.0,0.4388902755807991,0.0,0.16150829368835407,0.0,0.3999946799147542,0.0,0.41779730112522184,0.0,0.4437950380032613,0.0,0.5383535162685484,1.0,0.6114758489037455,0.0,0.2058828569135404,0.0,0.5397281418950954,0.0,0.4365680628860963,0.0,0.4838745969597727,0.0,0.40872080287911505,0.0,0.6441553131693245,1.0,0.45051526560384664,1.0,0.5373688303559963,1.0,0.21925595694976457,0.0,0.5078832177114233,0.0,0.697826214267093,0.0,0.4521528673969355,0.0,0.575734805453654,0.0,0.5751825453847416,0.0,0.7204920390708329,0.0,0.41819079550463223,1.0,0.6404563458625365,0.0,0.3569706312955242,0.0,0.5498832176173257,0.0,0.29978799378655796,1.0,0.19375183035135224,0.0,0.3018821329883134,1.0,0.32218655663507684,1.0,0.16804949769215616,1.0,0.24908026115527976,0.0,0.7124734468763015,0.0,0.4373545459632566,1.0,0.28411284880701915,1.0,0.08393783862582743,0.0,0.48197391701946807,0.0,0.06807220969111025,0.0,0.4550333896649258
CPI_sqd,300,4.372702360153198,-0.2153820545965499,0.0,0.9999983608858124,0.0,1.0,0.0,0.00020948767480794,1.0,2.6302256722508714e-303,0.0,0.9999999999999996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.031463568043431e-36,0.0,0.9999951403646492,0.0,0.0,0.0,0.0,0.0,4.118245953074403e-16,0.0,1.0,0.0,0.04337347463559112,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9999999866041976,1.0,1.0,1.0,2.279299954911825e-58,0.0,0.999303348317216,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.115858528664418e-06,1.0,4.222555414334459e-253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.147701286918977e-38,0.0,1.0,1.0,0.0,1.0,9.447664643432024e-150,1.0,0.0,0.0,0.007158271681434498,0.0,1.5950757287340583e-36,1.0,4.563161388156114e-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.621824811121109e-60
S-CPI,300,4.601638555526733,-0.2153820545965499,0.0,0.917143392201963,0.0,0.8705149650735233,0.0,0.07315319720946505,1.0,0.11357368051175465,0.0,0.561888708753911,0.0,0.36571520621445025,0.0,0.6645355564404876,0.0,0.8349274882110336,0.0,0.3926032306423509,0.0,0.5172078836828555,0.0,0.9157722327893991,0.0,0.38136033960464777,0.0,0.5044428128235184,0.0,0.5853268444164501,0.0,0.7562870404139337,0.0,0.11671454090028555,0.0,0.9274998552911579,1.0,0.2634428421124328,0.0,0.8940685731883031,0.0,0.6939329299446743,0.0,0.8844928266277865,0.0,0.9293844871126176,0.0,0.5434757723082159,0.0,0.9634758103822583,1.0,0.7129674960028446,1.0,0.9376708725818095,1.0,0.3899437880207368,0.0,0.9558180140605641,0.0,0.910861237107329,0.0,0.6739960256585632,0.0,0.764764404260162,0.0,0.9599075660287146,0.0,0.8727387972056702,0.0,0.25521793805570536,1.0,0.9825002063593479,0.0,0.09176190512848659,0.0,0.5182976161328859,0.0,0.1610223767315136,1.0,0.11567065808685406,0.0,0.6261716235961418,1.0,0.5478853360187251,1.0,0.2724389365965999,1.0,0.05415306270870335,0.0,0.6062216690088648,0.0,0.6734121848485994,1.0,0.2775408938046726,1.0,0.030664350620153515,0.0,0.6010047618096103,0.0,0.1585479801759579,0.0,0.5346759942620525
S-CPI_sqrt,300,4.605485916137695,-0.2153820545965499,0.0,0.5289920393967568,0.0,0.5643949803892112,0.0,0.44045384296589496,1.0,0.4834447456403655,0.0,0.5098573611395435,0.0,0.49921685350087686,0.0,0.49036388501055805,0.0,0.518682356324448,0.0,0.47483926548579747,0.0,0.4970884717123115,0.0,0.5084516048983372,0.0,0.48852436778786484,0.0,0.4775221448669401,0.0,0.5079571495194696,0.0,0.5050396216552565,0.0,0.49586530535232537,0.0,0.5180139734246548,1.0,0.4644730699903104,0.0,0.5851047894267666,0.0,0.5131146823700582,0.0,0.5376832189627117,0.0,0.5163103677504594,0.0,0.5315454463924288,0.0,0.5469720389015799,1.0,0.5067908057617961,1.0,0.5337855833600798,1.0,0.4725378323232735,0.0,0.5022092518601833,0.0,0.5566044397923802,0.0,0.5030694448987789,0.0,0.5256321923780622,0.0,0.5070971416196118,0.0,0.5310669520502194,0.0,0.49495171242300956,1.0,0.5903489526043162,0.0,0.4736610125345213,0.0,0.49559175786861487,0.0,0.46331307936471344,1.0,0.4712006351859307,0.0,0.48185706190564953,1.0,0.5341985783068368,1.0,0.5342591776870819,1.0,0.4456224341745521,0.0,0.5041512036557889,0.0,0.5080840338550681,1.0,0.4803848083648497,1.0,0.4126726096133914,0.0,0.5447913669671799,0.0,0.4758034016690082,0.0,0.49764169655268714
S-CPI_n,300,4.5822741985321045,-0.2153820545965499,0.0,0.6607397151120901,0.0,0.6967808916338353,0.0,0.21411394576633935,1.0,0.36338110268035045,0.0,0.5154664406303221,0.0,0.41445821890949697,0.0,0.7392048402795548,0.0,0.6545712583678186,0.0,0.4321529366472274,0.0,0.49063851886580606,0.0,0.5618104242532345,0.0,0.47235105710036845,0.0,0.48618795678204174,0.0,0.507400527867381,0.0,0.6916050770313151,0.0,0.47042216492158156,0.0,0.6260757578877597,1.0,0.32139750168133363,0.0,0.7739865799498977,0.0,0.6286258896429917,0.0,0.6576464987574627,0.0,0.6187559203708476,0.0,0.5908186512581841,0.0,0.7694501128966746,1.0,0.4889435092242308,1.0,0.7255644401069821,1.0,0.45188038884792814,0.0,0.5210532634154167,0.0,0.7105814335989872,0.0,0.5994094601826161,0.0,0.5802065674364519,0.0,0.5707148273197422,0.0,0.707131626788033,0.0,0.43202623085508474,1.0,0.866410456627675,0.0,0.30259758363926925,0.0,0.43633244624159007,0.0,0.2717965346629608,1.0,0.37064308826344255,0.0,0.5079242345744046,1.0,0.49080356147270876,1.0,0.3870555390661523,1.0,0.22404216651774145,0.0,0.5617893199687564,0.0,0.5126044171501624,1.0,0.4156721443837051,1.0,0.12639407118326146,0.0,0.7727578019586507,0.0,0.4466426282162173,0.0,0.47773656987213614
S-CPI_bt,300,4.75294303894043,-0.2153820545965499,0.0,0.804232220594767,0.0,0.8170243780512556,0.0,0.11965409972894797,1.0,0.2896372995207486,0.0,0.49793924142041807,0.0,0.4285078880518314,0.0,0.5517751167029352,0.0,0.6369916176137467,0.0,0.14926631470253088,0.0,0.5613709410424585,0.0,0.5431942480569327,0.0,0.2879227079887183,0.0,0.49235832193496026,0.0,0.5272177257544229,0.0,0.7313639512058027,0.0,0.47541702188158386,0.0,0.6855251842195753,1.0,0.3277189711433062,0.0,0.9770001089947609,0.0,0.6817576924812665,0.0,0.7614865479033155,0.0,0.5525689006848541,0.0,0.5195368700985593,0.0,0.9079489676776191,1.0,0.42648824927090817,1.0,0.7009302147571524,1.0,0.5889182968240845,0.0,0.5239500744744493,0.0,0.904649622786601,0.0,0.47120907272139595,0.0,0.6688933125563771,0.0,0.5793814803591654,0.0,0.8622616751095759,0.0,0.42692044522621886,1.0,0.9952385795603783,0.0,0.3079931942751555,0.0,0.4110381611062684,0.0,0.23747494568865507,1.0,0.2882481782576327,0.0,0.3130065702970229,1.0,0.45282442904544223,1.0,0.4617328102441306,1.0,0.1440113353191682,0.0,0.5610278984464915,0.0,0.5848480909336393,1.0,0.41841667006471617,1.0,0.01689239051022536,0.0,0.8624345487746772,0.0,0.07531113393651392,0.0,0.5100936237830097
