method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,12.193772315979004,-0.6827590359234676,0.0,0.7424173419585143,0.0,0.9070004577597013,1.0,0.9745860853963066,1.0,0.8876563881821193,0.0,0.4986569155166307,0.0,0.9950663005174705,1.0,0.7029880180809845,0.0,0.9791314976640356,0.0,0.9397345247974596,0.0,0.6031108842997992,0.0,0.9255245170225512,0.0,0.9273410907681531,0.0,0.3740489137098415,1.0,0.9733979223145538,0.0,0.6513042428943201,1.0,0.995708157168773,0.0,0.9640361600514081,0.0,0.9889189927456902,0.0,0.1897483773743851,1.0,0.9881859855955825,0.0,0.9473593938838932,0.0,0.2925240361457897,0.0,0.9010919404286288,0.0,0.4830603047994074,0.0,0.9305110126183902,1.0,0.836680915865414,0.0,0.9997156178112786,0.0,0.9680260572707451,0.0,0.8435760950239528,0.0,0.999740183389796,0.0,0.6837517230868914,0.0,0.9782231399828457,0.0,0.9842037979369065,1.0,0.96556137178634,0.0,0.654075173886506,0.0,0.46940199027028207,0.0,0.871692691674807,0.0,0.9304484706339645,1.0,0.7471103016671682,1.0,0.7779370486189718,1.0,0.7007601646653638,0.0,0.7112334437078394,1.0,0.9165756238219881,0.0,0.9780125262967222,0.0,0.754630173529424,0.0,0.2813534642412021,0.0,0.5818269682524844,0.0,0.4691291287326762,0.0,0.8488965096284273,0.0,0.8331896178459344
CPI,300,3.4815142154693604,-0.6827590359234676,0.0,0.6295391266132372,0.0,0.8740715240580881,1.0,0.4678498558309786,1.0,0.10922195191308243,0.0,0.07234232407278332,0.0,0.4438870850060202,1.0,0.8755583834826921,0.0,0.7000705711825981,0.0,0.7988986854813374,0.0,0.46840757445984604,0.0,0.41420973187352855,0.0,0.28879874349947426,0.0,0.4127883082455307,1.0,0.16694148137326065,0.0,0.6553912480743445,1.0,0.08678325464283371,0.0,0.05554388693605423,0.0,0.19659557070725603,0.0,0.14373970903570737,1.0,0.6371459219509648,0.0,0.018860752074972516,0.0,0.4570704533083161,0.0,0.06309256459440839,0.0,0.269894590412726,0.0,0.7903665228245712,1.0,0.10563161808158888,0.0,0.4870052694450372,0.0,0.24912350979924658,0.0,0.10350891071358781,0.0,0.24905030219260077,0.0,0.06987120185482633,0.0,0.2059420308653811,0.0,0.16215675548423114,1.0,0.046518130881441015,0.0,0.789200008011491,0.0,0.015315609931515579,0.0,0.0815259084800587,0.0,0.011704348392684112,1.0,0.3110375851930327,1.0,0.06253921232449965,1.0,0.6106889530961085,0.0,0.19533827337933468,1.0,0.7692520321559877,0.0,0.5656822293097751,0.0,0.11264152890562251,0.0,0.067729578121234,0.0,0.26442944959861037,0.0,0.07220284968266927,0.0,0.40324161214133525,0.0,0.042198309965684994
CPI_sqrt,300,3.4585161209106445,-0.6827590359234676,0.0,0.4366819572677039,0.0,0.5802839211091656,1.0,0.4152710420736333,1.0,0.4688376454460065,0.0,0.431184809181898,0.0,0.36716358285029205,1.0,0.5839606969542838,0.0,0.49678869927296937,0.0,0.522934176794624,0.0,0.39578308854681077,0.0,0.44921433942075983,0.0,0.5966873735143935,0.0,0.5258521442512075,1.0,0.39046108787792755,0.0,0.5710252138566437,1.0,0.5021796648000705,0.0,0.5071187288540574,0.0,0.5110927014101183,0.0,0.418239265835907,1.0,0.4605069875428829,0.0,0.44069803544107156,0.0,0.5023071565118646,0.0,0.4282227251400463,0.0,0.5254865522537618,0.0,0.5645385707498727,1.0,0.45614048384718775,0.0,0.4921084562217967,0.0,0.48624231905529347,0.0,0.43060205472503343,0.0,0.5076672052167722,0.0,0.40319590667621646,0.0,0.5595567096467088,0.0,0.46928174618582164,1.0,0.47333391150491005,0.0,0.4786909073995732,0.0,0.5080550737478148,0.0,0.4052630577308825,0.0,0.44483263161203185,1.0,0.4583330290095268,1.0,0.44784905379025125,1.0,0.4139072530808923,0.0,0.5983068432743399,1.0,0.5574606295811971,0.0,0.5892423556717649,0.0,0.42268015213141485,0.0,0.4921497512889794,0.0,0.4498379678448263,0.0,0.5419172894316745,0.0,0.43307648806603893,0.0,0.566627645158492
CPI_n,300,3.456177234649658,-0.6827590359234676,0.0,0.6123349975870915,0.0,0.6310398774915629,1.0,0.41401713870283136,1.0,0.39719201868912224,0.0,0.3297762336032871,0.0,0.05003830242356382,1.0,0.7048974856650292,0.0,0.5805337342047888,0.0,0.35297737157227227,0.0,0.4706548393619557,0.0,0.3462230233368751,0.0,0.9113947547659369,0.0,0.8177058114556803,1.0,0.12794903955923476,0.0,0.9040059699343641,1.0,0.3319429308399591,0.0,0.4676324326741538,0.0,0.4600568429020243,0.0,0.20180249871803546,1.0,0.49346363366838325,0.0,0.2696851267134571,0.0,0.5185818013368058,0.0,0.31552458228513025,0.0,0.5373966485208747,0.0,0.3201380209395427,1.0,0.5208147896474757,0.0,0.43338071987801047,0.0,0.4418711594444251,0.0,0.284797192049455,0.0,0.18006344998306223,0.0,0.28398555403171455,0.0,0.7010849556813628,0.0,0.425066489917617,1.0,0.09065038796342367,0.0,0.7094671005633756,0.0,0.45889843856019286,0.0,0.22002812778665348,0.0,0.4194897491865319,1.0,0.17551345627323617,1.0,0.436752634081717,1.0,0.5338158475644667,0.0,0.38985933062153205,1.0,0.3559596484520673,0.0,0.29964213304827203,0.0,0.3698803053776035,0.0,0.4052002294616893,0.0,0.5104012024132651,0.0,0.7368636284957535,0.0,0.15752073638381836,0.0,0.07805735648053186
CPI_bt,300,3.6331162452697754,-0.6827590359234676,0.0,0.810422312136775,0.0,0.9971808683893989,1.0,0.0012052226925012136,1.0,0.00042938392031865866,0.0,0.24674446497478159,0.0,0.0005338199014336751,1.0,0.8834414923863705,0.0,0.9979533628718857,0.0,0.652093649444366,0.0,0.07719463941213521,0.0,0.00022184306566306605,0.0,0.9999974837877237,0.0,0.6514111387631595,1.0,8.862062010608285e-07,0.0,0.9997297037952975,1.0,0.25313147244524076,0.0,0.003249545294004295,0.0,0.46588504231384864,0.0,0.016425292362744134,1.0,0.2444360903128961,0.0,0.3178824443201125,0.0,0.1786133129684876,0.0,0.30341917528874635,0.0,0.0652915326601879,0.0,0.9511760022181155,1.0,0.0067483185606225715,0.0,0.24072877076590088,0.0,0.14108470836548176,0.0,0.30317068319109713,0.0,0.6561939555359074,0.0,0.00016263879607770863,0.0,0.9886391976930056,0.0,0.15990935391836508,1.0,2.635860187793738e-07,0.0,0.9976567965739646,0.0,0.001196269723625658,0.0,0.9599440669499099,0.0,0.011029567236699213,1.0,2.041937906769616e-07,1.0,0.001064646557221655,1.0,0.22745993851888235,0.0,0.14413828243167598,1.0,0.3362520398431016,0.0,0.7469009600673555,0.0,0.5563030032648777,0.0,0.6152096986311768,0.0,0.87211959597761,0.0,0.33546244332075015,0.0,0.24967860875679576,0.0,0.3938800994807927
CPI_sqd,300,3.636601448059082,-0.6827590359234676,0.0,2.9388271549071346e-12,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.2058367504702376e-281,0.0,0.0,1.0,0.0,0.0,0.025096778282769707,0.0,1.0,0.0,3.620667448134093e-37,0.0,0.0,0.0,1.0,0.0,7.413859952950243e-108,1.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.0,8.827201673117105e-101,0.0,0.9999997394757861,0.0,0.0,1.0,0.6919206780423587,0.0,2.541699793207164e-10,0.0,1.0,0.0,3.9793115015930326e-84,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.585104162246033e-136,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9957580749932711,0.0,9.800571431773591e-72,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8294095220963313,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.08981441244095e-65,0.0,0.010867094020287696,0.0,1.0,0.0,0.9999957289259412,0.0,1.0,0.0,0.0
S-CPI,300,3.6222167015075684,-0.6827590359234676,0.0,0.7507578093660272,0.0,0.9458529997058115,1.0,0.4109223230526134,1.0,0.18785889229366992,0.0,0.5112294636141539,0.0,0.06801905650568373,1.0,0.8761715049693457,0.0,0.9002297190019951,0.0,0.8146998532675469,0.0,0.5059962650423188,0.0,0.11807136825087816,0.0,0.9113803033303611,0.0,0.8492661600235651,1.0,0.2877663338159281,0.0,0.9509511935762661,1.0,0.42143860308355297,0.0,0.18373349724083227,0.0,0.7037675105542475,0.0,0.24165870974238496,1.0,0.7096163237829843,0.0,0.5546621117219117,0.0,0.7019321051143421,0.0,0.5508306316093194,0.0,0.2816745605748396,0.0,0.8187953620283158,1.0,0.6902707438294838,0.0,0.7293543065078127,0.0,0.7534576229877661,0.0,0.6214309307364382,0.0,0.5941889466962734,0.0,0.06816060592921946,0.0,0.8072265891953605,0.0,0.6064881436903949,1.0,0.08860095558459291,0.0,0.9688244137501356,0.0,0.5845744447906434,0.0,0.769501659195506,0.0,0.24295401875486983,1.0,0.22699473993825747,1.0,0.0687746954618568,1.0,0.6757584251083839,0.0,0.26797916132960375,1.0,0.7302916489345004,0.0,0.8592031454667486,0.0,0.24418262603747964,0.0,0.40747258824583854,0.0,0.623988384773302,0.0,0.33362299341920426,0.0,0.8275142081978731,0.0,0.5183759833907866
S-CPI_sqrt,300,3.628509044647217,-0.6827590359234676,0.0,0.5984769948078811,0.0,0.6325145805488092,1.0,0.488294813399728,1.0,0.4020078327575232,0.0,0.5296379538970657,0.0,0.3427750891056554,1.0,0.5802558215397022,0.0,0.6164983180459878,0.0,0.5603018219488578,0.0,0.49300444111432884,0.0,0.41140864910487357,0.0,0.6835938272719315,0.0,0.6143424289747857,1.0,0.4712600173516155,0.0,0.6469233773313485,1.0,0.4402154805875656,0.0,0.4623602210960966,0.0,0.5586685035260334,0.0,0.4508290820820508,1.0,0.5143255934156994,0.0,0.5377960932083211,0.0,0.6074643190766604,0.0,0.522517625825798,0.0,0.5264779544507316,0.0,0.579700620398406,1.0,0.5118773173628139,0.0,0.5556615119187176,0.0,0.5889725926026904,0.0,0.5109426650856767,0.0,0.4478747217305098,0.0,0.40476056299261143,0.0,0.5790551500079275,0.0,0.47309865253314554,1.0,0.29889301591237916,0.0,0.6364858926996582,0.0,0.4826968329317273,0.0,0.5758028824029762,0.0,0.44418604720812643,1.0,0.4573943208672375,1.0,0.476418460859033,1.0,0.5606903865066953,0.0,0.49245215140763665,1.0,0.5355023569188782,0.0,0.5820097876140218,0.0,0.47956574860685036,0.0,0.45609140456921216,0.0,0.5515465527834046,0.0,0.52137855857582,0.0,0.5350130203654826,0.0,0.5410568952963057
S-CPI_n,300,3.6217634677886963,-0.6827590359234676,0.0,0.7458528032982751,0.0,0.814124140073649,1.0,0.3534323882574415,1.0,0.2599083096830923,0.0,0.6892673394929962,0.0,0.09428220964000555,1.0,0.8091162907774447,0.0,0.7409216437196837,0.0,0.7675354015191458,0.0,0.6570038916585311,0.0,0.1817226478808069,0.0,0.8763720315855523,0.0,0.7386550217869299,1.0,0.34096711005683616,0.0,0.8992361445464437,1.0,0.4155962871259611,0.0,0.5776922778144565,0.0,0.4813159287081042,0.0,0.3907475692224157,1.0,0.4742207727475686,0.0,0.4631410288883584,0.0,0.6694623276512573,0.0,0.575232696556476,0.0,0.5035448382543406,0.0,0.6714347750594809,1.0,0.540748011134959,0.0,0.6523432107956525,0.0,0.7987981917319372,0.0,0.4991108395698254,0.0,0.418319429777385,0.0,0.16311417759718877,0.0,0.8080655684592334,0.0,0.30059221112535783,1.0,0.1550452117246484,0.0,0.9424212148933773,0.0,0.4846837771005137,0.0,0.5219424463791651,0.0,0.27033275277308055,1.0,0.30496404255111903,1.0,0.1978875693005871,1.0,0.6179167358949643,0.0,0.3527194404444616,1.0,0.5525444979612545,0.0,0.7104580665265052,0.0,0.42686235426750124,0.0,0.4323677164553211,0.0,0.8203457656399319,0.0,0.4289035870614726,0.0,0.5020384918055876,0.0,0.42135081803965363
S-CPI_bt,300,3.802875518798828,-0.6827590359234676,0.0,0.9918804034399816,0.0,0.9997282628173076,1.0,0.4643055918178417,1.0,2.2203146803440793e-05,0.0,0.6448477034002285,0.0,3.560538590392148e-08,1.0,0.9972404600516636,0.0,0.9999927613007216,0.0,0.8238661440554953,0.0,0.7712450315523192,0.0,0.027727673737161538,0.0,0.9999995882537087,0.0,0.9917485369733688,1.0,0.00794919600237657,0.0,0.9999999986548743,1.0,0.6220686908311072,0.0,0.5581570906499258,0.0,0.9971948772522207,0.0,0.2986782583053043,1.0,0.4545644363633061,0.0,0.5264301938452919,0.0,0.9980057215277363,0.0,0.8910324037841133,0.0,0.6222044211659983,0.0,0.9270086112238404,1.0,0.5539031056987805,0.0,0.7790270889821291,0.0,0.9891994061288661,0.0,0.571732266980396,0.0,0.24858952117855637,0.0,0.0019645747574735034,0.0,0.8294398425628211,0.0,0.46373069056337846,1.0,0.00021002354903818443,0.0,0.9999992790555385,0.0,0.9898234361220792,0.0,0.9927499726761437,0.0,8.421411952800787e-05,1.0,0.00036306422827001516,1.0,0.005456948801263246,1.0,0.78027975458974,0.0,0.26334563569939495,1.0,0.5831617954982274,0.0,0.971872860101355,0.0,0.06807589947482519,0.0,0.06780544100139449,0.0,0.9902813468756178,0.0,0.8451875846182912,0.0,0.6176971924110697,0.0,0.8313598742321222
