method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,126.41320848464966,-0.03593080642686419,0.0,0.36889787498557225,1.0,0.8652186295143949,1.0,0.9146347309660171,1.0,0.8613294131282088,0.0,0.03699081955407524,0.0,0.6716639076920613,0.0,0.2694621048936078,1.0,0.07366419214471831,0.0,0.5569337765216161,0.0,0.14551568403962634,1.0,0.9537392638994979,0.0,0.5891013598979034,0.0,0.06778024840868335,1.0,0.013657729974430044,0.0,0.35844133881205076,0.0,0.3091328647319147,0.0,0.19841895667625442,0.0,0.5483428937804343,0.0,0.051530091431292724,0.0,0.9467361259272095,0.0,0.5088047824940487,0.0,0.8174470286392446,1.0,0.2446186429713344,0.0,0.10530975485615246,0.0,0.7879826706984279,0.0,0.6323745692838256,0.0,0.6719916017447675,0.0,0.47735150588783104,0.0,0.8439774371332267,0.0,0.19253343691407854,0.0,0.9997566982777998,1.0,0.17345557812862533,0.0,0.894142052505889,0.0,0.4743995529618432,0.0,0.7790738912198989,0.0,0.3187992071752084,0.0,0.8425172137917081,0.0,0.0683483992419398,0.0,0.4956071340382734,1.0,0.9873591505086153,0.0,0.014871614291976476,0.0,0.39642865754679024,0.0,0.6927755057599869,0.0,0.5734139612988614,0.0,0.8176959275655353,1.0,0.867014067004116,0.0,0.6469825463724481,1.0,0.34287379281947583,0.0,0.12397823876608327,1.0,0.9641569673732043
CPI,300,6.232952356338501,-0.03593080642686419,0.0,0.9000063147417103,1.0,0.271863487011822,1.0,0.40173487310201283,1.0,0.7044816037425933,0.0,0.21591016699411963,0.0,0.4270475677946002,0.0,0.9952914164895686,1.0,0.12064545257501252,0.0,0.1453532141101026,0.0,0.22465373236350938,1.0,0.5591106210500634,0.0,0.029812282457608058,0.0,0.6351099330002947,1.0,0.5687026410617079,0.0,0.4408719387588062,0.0,0.07284552890191451,0.0,0.881590327285263,0.0,0.8953599628496723,0.0,0.8956728689471081,0.0,0.25856421311330446,0.0,0.294477118592952,0.0,0.3819148302603055,1.0,0.5260010428661968,0.0,0.38027048501991806,0.0,0.47509341868626986,0.0,0.5951083601279421,0.0,0.07456578066454488,0.0,0.7593300306335836,0.0,0.6598055410670434,0.0,0.2287692026710636,0.0,0.866394442652854,1.0,0.024098138031921533,0.0,0.6152229584041374,0.0,0.3608706571328439,0.0,0.4363503863494641,0.0,0.017796245195476814,0.0,0.2858228622291729,0.0,0.08844493950447146,0.0,0.9750473562232084,1.0,0.8258421845631057,0.0,0.23829548661000172,0.0,0.024880349431135828,0.0,0.5639620852246301,0.0,0.8947945041421499,0.0,0.892131182526529,1.0,0.04493304200688136,0.0,0.9297173427740023,1.0,0.7596474295200488,0.0,0.9886220006650711,1.0,0.5898431063161665
CPI_sqrt,300,6.227972507476807,-0.03593080642686419,0.0,0.506760570324715,1.0,0.4816497739788399,1.0,0.5000675813621505,1.0,0.5114395437032371,0.0,0.4825698226025025,0.0,0.4952247831658762,0.0,0.5145378031630701,1.0,0.5015935730987969,0.0,0.5041909541247279,0.0,0.5011122404213244,1.0,0.4919176752466432,0.0,0.4970838552921228,0.0,0.49373887107013614,1.0,0.49745985122664005,0.0,0.5067069574017253,0.0,0.49872337721382815,0.0,0.49265059077535417,0.0,0.4983574496260957,0.0,0.4990866066948395,0.0,0.4753236753508474,0.0,0.4976180440072696,0.0,0.476515608760241,1.0,0.5000162855159932,0.0,0.5055579404775526,0.0,0.48655637690632036,0.0,0.5040631540723288,0.0,0.48953879953638707,0.0,0.49189525659380756,0.0,0.5115808597411533,0.0,0.5246577738982694,0.0,0.5044750768152133,1.0,0.46680564339173813,0.0,0.4966962140330223,0.0,0.500633413854497,0.0,0.4861943929613718,0.0,0.4867953469208775,0.0,0.5032763006705802,0.0,0.49431367321849706,0.0,0.5057978746964851,1.0,0.5144275078996126,0.0,0.46924306193903637,0.0,0.4900787421130263,0.0,0.5138254278118605,0.0,0.5041224160096887,0.0,0.49299677744775533,1.0,0.4605850650621973,0.0,0.5092506332713517,1.0,0.49385373948943884,0.0,0.5175129692833927,1.0,0.4945298952831543
CPI_n,300,6.24802827835083,-0.03593080642686419,0.0,0.6014794150337367,1.0,0.4338898407381194,1.0,0.45538308347925116,1.0,0.6400367952637918,0.0,0.42154919535129687,0.0,0.4313596449497903,0.0,0.677666330743739,1.0,0.47888209033933954,0.0,0.49868013029872965,0.0,0.4887754581255906,1.0,0.4890443020949443,0.0,0.4950654766780669,0.0,0.7057694418883937,1.0,0.4214625188095694,0.0,0.5130185910873367,0.0,0.43009107049874024,0.0,0.38360491719311884,0.0,0.4915811329353032,0.0,0.5012508217031642,0.0,0.3571717444222846,0.0,0.38611277745480166,0.0,0.43457272989170015,1.0,0.5129450658348474,0.0,0.5891994415341981,0.0,0.4546986093815272,0.0,0.524947140102282,0.0,0.5756610301397778,0.0,0.5441202633294122,0.0,0.5243636851220345,0.0,0.6225424489949934,0.0,0.5022108645937728,1.0,0.2700327717100936,0.0,0.5323265811001245,0.0,0.46694674815334347,0.0,0.4015678711155839,0.0,0.3671743815455656,0.0,0.44965881223086324,0.0,0.45578350923430366,0.0,0.533912187116075,1.0,0.608690076046546,0.0,0.438307067701533,0.0,0.4637214497660382,0.0,0.636671584551552,0.0,0.5900062810835875,0.0,0.4885984595309763,1.0,0.2947332207682035,0.0,0.5583455852901075,1.0,0.3785515616218791,0.0,0.6715206613702638,1.0,0.4491193509896495
CPI_bt,300,6.42609977722168,-0.03593080642686419,0.0,0.5722591912836755,1.0,0.46015702103229544,1.0,0.3569079499064291,1.0,0.4264948100049686,0.0,0.5227260832255034,0.0,0.4309881686860521,0.0,0.7020178151650683,1.0,0.48241017882458415,0.0,0.35576337345486087,0.0,0.4593185977077626,1.0,0.12672057711201545,0.0,0.34219749932149046,0.0,0.4405228066073595,1.0,0.47176808057149033,0.0,0.47084839928228495,0.0,0.4204218849682812,0.0,0.5617318767559271,0.0,0.5097010974287677,0.0,0.5651113727385215,0.0,0.40169561341457893,0.0,0.5031857974404785,0.0,0.3860950546541269,1.0,0.5323281149881434,0.0,0.44897776907316367,0.0,0.4801038083132973,0.0,0.5427841150764691,0.0,0.41805575631934677,0.0,0.47445896750357797,0.0,0.4980714487407418,0.0,0.39511744935350956,0.0,0.48827860785112753,1.0,0.24873404479658207,0.0,0.5014422241016444,0.0,0.4750689902805202,0.0,0.5133608162722858,0.0,0.43544306060671945,0.0,0.5684694323136448,0.0,0.3807888465928592,0.0,0.6061891039027941,1.0,0.5722997976509929,0.0,0.4012465641926919,0.0,0.39140608862055193,0.0,0.5268123039692003,0.0,0.6018757403535111,0.0,0.48597286158533676,1.0,0.13233680653283708,0.0,0.5841903635709141,1.0,0.5190523965759528,0.0,0.6203316536933439,1.0,0.5976845945002698
CPI_sqd,300,6.413192510604858,-0.03593080642686419,0.0,0.990346570552026,1.0,1.0,1.0,1.8024567396664468e-23,1.0,0.03346171438270225,0.0,0.007352504411854735,0.0,0.9997012223671442,0.0,1.0,1.0,0.00031324743942430386,0.0,6.65326375511997e-310,0.0,0.9999999293047329,1.0,1.0,0.0,2.1606647037653734e-33,0.0,1.0,1.0,0.9999999999284368,0.0,3.0474583882241026e-09,0.0,0.0,0.0,1.794911304248685e-113,0.0,0.9940485603780312,0.0,1.0,0.0,1.0032406364356939e-98,0.0,1.6681306327251788e-05,0.0,1.0,1.0,1.0,0.0,1.5273132090127414e-10,0.0,2.1683573405816824e-200,0.0,0.9998830297984713,0.0,6.5144303639983635e-109,0.0,2.627851441887189e-15,0.0,1.0,0.0,1.0,0.0,0.999999988510956,1.0,0.0,0.0,0.9999996881271868,0.0,5.375748806914092e-97,0.0,4.991520943433193e-51,0.0,2.130260627796155e-186,0.0,1.0,0.0,1.4326481829926097e-220,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.630473551425165e-150,0.0,0.11726799499060736,0.0,1.1249530407775098e-08,0.0,0.9995753955515017,1.0,6.0863666193560195e-164,0.0,1.0,1.0,0.00022940250024780634,0.0,1.0,1.0,8.30394347078037e-122
S-CPI,300,18.121357202529907,-0.03593080642686419,0.0,0.8933886546520813,1.0,0.3171765451400639,1.0,0.2969446451254126,1.0,0.7781675394557103,0.0,0.13367662854640394,0.0,0.08507589799819026,0.0,0.8467180470615158,1.0,0.5029591394134008,0.0,0.24776909863772023,0.0,0.4646296730869207,1.0,0.2612744677720794,0.0,0.09069852250248245,0.0,0.4987055406878567,1.0,0.5220719866620458,0.0,0.763484515545857,0.0,0.04902495909293181,0.0,0.2564214487340095,0.0,0.890656664590156,0.0,0.9215861705208638,0.0,0.026439119286983285,0.0,0.07545293156545353,0.0,0.4190135436265957,1.0,0.46204152934346693,0.0,0.6616265178471588,0.0,0.2106778039176621,0.0,0.8089031327889431,0.0,0.43968343372281543,0.0,0.5185629222367584,0.0,0.7573350706357056,0.0,0.7720231199079541,0.0,0.6527176380461645,1.0,0.00019150490678956973,0.0,0.4600208622147237,0.0,0.21316025899021845,0.0,0.23585294165615023,0.0,0.2794061102081281,0.0,0.5906590571213193,0.0,0.012582199985489786,0.0,0.9382055924717019,1.0,0.9803993058131026,0.0,0.09327121620562207,0.0,0.18696902060990778,0.0,0.7749276484843268,0.0,0.7576319518885604,0.0,0.4614023551874202,1.0,0.01623278840652205,0.0,0.901484977503177,1.0,0.26738090256911334,0.0,0.9994847302485249,1.0,0.33495477103106575
S-CPI_sqrt,300,18.113126039505005,-0.03593080642686419,0.0,0.5087135663298084,1.0,0.4909225477820911,1.0,0.4875747118651229,1.0,0.5380298184017949,0.0,0.49511297264277243,0.0,0.4830880891916333,0.0,0.5270214128964525,1.0,0.49684731671060367,0.0,0.4966920059631683,0.0,0.49882209636197705,1.0,0.47585029218750896,0.0,0.49015534802050087,0.0,0.5201555638363643,1.0,0.4935475911642342,0.0,0.5034968267993628,0.0,0.4781986147387123,0.0,0.4953359758158443,0.0,0.5076236615886498,0.0,0.5105047656497526,0.0,0.48119038096840605,0.0,0.485953048018313,0.0,0.48012114007836343,1.0,0.49598967647745407,0.0,0.5026808685328139,0.0,0.4922028290317493,0.0,0.5088291587860921,0.0,0.500030363740354,0.0,0.4980260489777007,0.0,0.5060722013865903,0.0,0.507511751959379,0.0,0.4999052303125163,1.0,0.46076033901650154,0.0,0.4972819772768218,0.0,0.49362042606519396,0.0,0.49217466501810464,0.0,0.4929800873444543,0.0,0.5007051990009284,0.0,0.4824202321355633,0.0,0.5086445861240971,1.0,0.5165671317545651,0.0,0.48237074577386563,0.0,0.4827624572892377,0.0,0.5076198212547118,0.0,0.5159131139150961,0.0,0.4979797640794485,1.0,0.45187752329319913,0.0,0.5084342370275777,1.0,0.4859695030313081,0.0,0.5212583891217987,1.0,0.49866100729811275
S-CPI_n,300,18.10147213935852,-0.03593080642686419,0.0,0.5793146880984509,1.0,0.5070066806155987,1.0,0.43038298501536365,1.0,0.6573118156503939,0.0,0.4306300482265518,0.0,0.37523416053638603,0.0,0.7047075794067407,1.0,0.4526639864612961,0.0,0.44485756376796337,0.0,0.45927924079974947,1.0,0.415288502030006,0.0,0.40393998250464513,0.0,0.6910623817679006,1.0,0.4813141369084787,0.0,0.5497498894787991,0.0,0.3521875200995071,0.0,0.44741686327391966,0.0,0.5126273970761961,0.0,0.560864854485588,0.0,0.3313674955725501,0.0,0.39600715578080486,0.0,0.40531684124780243,1.0,0.49590957439377203,0.0,0.5876541679233361,0.0,0.44217921306817104,0.0,0.5361809052045949,0.0,0.5054814430344772,0.0,0.4899074798491126,0.0,0.5737393125933776,0.0,0.5097258055996909,0.0,0.5018945548161472,1.0,0.18811398778174948,0.0,0.492933928608753,0.0,0.45367636908084413,0.0,0.3968827051941582,0.0,0.37964846695980514,0.0,0.4919048893603064,0.0,0.358317387404216,0.0,0.6400319225939816,1.0,0.6332553668918641,0.0,0.38586080153325847,0.0,0.4141240372713028,0.0,0.5862280931726404,0.0,0.6164709170877857,0.0,0.46597631926277777,1.0,0.2666798245828239,0.0,0.6038233419607052,1.0,0.49551555428823535,0.0,0.68737462988348,1.0,0.5052455410226345
S-CPI_bt,300,18.280996084213257,-0.03593080642686419,0.0,0.5880762773484246,1.0,0.39705971109828986,1.0,0.4682148925481062,1.0,0.6900995521487978,0.0,0.4275549174896919,0.0,0.37000804595087533,0.0,0.7511795815649998,1.0,0.49314698582665245,0.0,0.38959009864775573,0.0,0.40408543368482575,1.0,0.33450191415367386,0.0,0.3737268077718418,0.0,0.7744806922359673,1.0,0.44346651964502304,0.0,0.532186187249817,0.0,0.3126644149934905,0.0,0.4260299077051253,0.0,0.5692930164355475,0.0,0.5721649762533626,0.0,0.271611193617977,0.0,0.4378559122900577,0.0,0.44483503397600055,1.0,0.4638751598379327,0.0,0.49838882705006826,0.0,0.43050596905627475,0.0,0.5355369243069641,0.0,0.5085019501188326,0.0,0.5122768031478047,0.0,0.5407203317027497,0.0,0.5977149315504688,0.0,0.5091687268243669,1.0,0.11472694607453682,0.0,0.5036361685791974,0.0,0.42896220556812936,0.0,0.45193763977208645,0.0,0.31955432218116714,0.0,0.5410119908171654,0.0,0.34863996104141226,0.0,0.6216306739336644,1.0,0.7133518620318602,0.0,0.2261595244569744,0.0,0.3194899294361815,0.0,0.5524659449080707,0.0,0.6676476956214324,0.0,0.4985048301395867,1.0,0.12910973335431752,0.0,0.5447596807832216,1.0,0.3003381384562263,0.0,0.7354492545418554,1.0,0.47623960004636495
