method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,67.78810024261475,-0.04761522503353466,0.0,0.6317346588272971,0.0,0.053927985413313784,0.0,0.9865276594715877,0.0,1.0393253601082009e-06,0.0,9.757443132363264e-07,0.0,0.9999991340455725,0.0,0.3778333646814207,0.0,0.5806886842160317,0.0,0.07818603631539267,0.0,0.7855173601941816,0.0,0.19896666651822703,0.0,0.9655792305331121,0.0,0.38228213008035816,0.0,0.996642218210556,0.0,0.802143247986178,0.0,0.4829673596186992,0.0,0.6800938995834243,0.0,0.04680929077174267,0.0,0.8979020369545933,0.0,0.21667964427503605,0.0,0.9998773319904906,0.0,0.9988162213014063,0.0,0.20988037257224357,0.0,0.9997229538846192,0.0,0.9611198291398991,0.0,2.368272375863345e-05,0.0,0.9958808781793509,0.0,0.00013658992815190896,0.0,6.4231302498996e-09,0.0,0.7100221566798343,0.0,0.12365097336357334,0.0,0.0014196082182043046,0.0,0.9990664426092536,0.0,0.999930802307566,0.0,0.001830473377510633,0.0,0.9950083510534775,0.0,0.0800856779408523,0.0,5.336586728077464e-11,0.0,0.9998779629102169,0.0,0.09819722121067709,0.0,0.7258247251113226,0.0,0.9455916363359217,0.0,0.6825861371546105,0.0,0.09814456615157208,0.0,0.44457395253217824,0.0,0.013027888998589643,0.0,0.966014821108634,0.0,0.998406696076255,1.0,0.9999927191730997,0.0,0.991042212988265
CPI,300,4.130710124969482,-0.04761522503353466,0.0,0.5344301735838167,0.0,0.9229283396462893,0.0,0.8808023307122759,0.0,0.5666331175285969,0.0,0.6453424793785014,0.0,0.3081221700319865,0.0,0.5209397675502419,0.0,0.1459910906130718,0.0,0.26930665362219464,0.0,0.38005209425266,0.0,0.9152583004653204,0.0,0.23890384585418462,0.0,0.157035126858806,0.0,0.019062962033796566,0.0,0.20596797800339167,0.0,0.048441293712113476,0.0,0.9210854305865164,0.0,0.9852167319137995,0.0,0.7713999754376533,0.0,0.08397942396361513,0.0,0.5289338134888381,0.0,0.7126895212935642,0.0,0.17646751989684123,0.0,0.7272259276969275,0.0,0.1681910667391716,0.0,0.7124196411368089,0.0,0.30969920756769787,0.0,0.39052426757097736,0.0,0.19617425025646051,0.0,0.42785368527926443,0.0,0.9113382723348086,0.0,0.9745064553284286,0.0,0.7744975027984551,0.0,0.56231651135082,0.0,0.485396197632773,0.0,0.8110804886449934,0.0,0.76591072070213,0.0,0.1978013053895335,0.0,0.14621733300875,0.0,0.9469598561578337,0.0,0.6029967472937938,0.0,0.2687846639783492,0.0,0.7007523342733988,0.0,0.7791836955534064,0.0,0.39011459003299853,0.0,0.0495266684219425,0.0,0.3847707043967294,0.0,0.8978447583253961,1.0,0.03675125212892317,0.0,0.26065304529170846
CPI_sqrt,300,4.116600275039673,-0.04761522503353466,0.0,0.4952533896177204,0.0,0.49924487716947563,0.0,0.48879566605660285,0.0,0.5268748819712465,0.0,0.5615531261965617,0.0,0.518575919852946,0.0,0.5253285580166948,0.0,0.48581056124442273,0.0,0.5286264396560394,0.0,0.5193121703024383,0.0,0.4701310550939909,0.0,0.5204528620086849,0.0,0.5275490678349761,0.0,0.4812470401354457,0.0,0.47697346331993873,0.0,0.4472201531161168,0.0,0.5071571463216841,0.0,0.5253103305375703,0.0,0.5403207841806724,0.0,0.43942305773097734,0.0,0.492925825547577,0.0,0.5180940188520031,0.0,0.49449077663080576,0.0,0.5225602044969307,0.0,0.5073256309946677,0.0,0.525189478831092,0.0,0.4307689673525914,0.0,0.4353874573060283,0.0,0.4425873105800245,0.0,0.470409715822861,0.0,0.5027532705128935,0.0,0.6036576120291212,0.0,0.5749985187963276,0.0,0.5788809903005828,0.0,0.5006372776271469,0.0,0.48445166117896815,0.0,0.46922054383864786,0.0,0.52592721499838,0.0,0.4917224162074273,0.0,0.6700926633039264,0.0,0.5371082381876494,0.0,0.5145714422483387,0.0,0.5104302606007618,0.0,0.5200224161460116,0.0,0.49135464359073955,0.0,0.4250393786850726,0.0,0.48612768515687366,0.0,0.5561834856351688,1.0,0.32244469710415496,0.0,0.4188177502512011
CPI_n,300,4.098203182220459,-0.04761522503353466,0.0,0.29554689114183846,0.0,0.3591839595334475,0.0,0.7164051142875769,0.0,0.22661008603453953,0.0,0.44726106504052426,0.0,0.6907986382603134,0.0,0.508731050743345,0.0,0.4874972308932114,0.0,0.2804709749943498,0.0,0.6862079783397528,0.0,0.25197760738404257,0.0,0.3862381937104306,0.0,0.43525702943087463,0.0,0.19712342192426308,0.0,0.39563629883743257,0.0,0.20665172563290118,0.0,0.7155512841677713,0.0,0.7591132300731318,0.0,0.48712315435207865,0.0,0.19674872618345934,0.0,0.41750166544064765,0.0,0.2847268152192858,0.0,0.33258572661858843,0.0,0.5491731079275598,0.0,0.5437379260517918,0.0,0.8501871904858671,0.0,0.22411598322138188,0.0,0.3928989367228503,0.0,0.2873218605098601,0.0,0.4352940694875434,0.0,0.3865438222490458,0.0,0.7591862755746615,0.0,0.9111251987923674,0.0,0.8003284745802964,0.0,0.6059156445795291,0.0,0.35386256982891134,0.0,0.5246739519219018,0.0,0.6588158350657514,0.0,0.2918651310400183,0.0,0.8144563516553733,0.0,0.5792875781038533,0.0,0.6044548028116178,0.0,0.6222214345700222,0.0,0.7863596147586283,0.0,0.6982273766859507,0.0,0.3936268084185666,0.0,0.7387113972565463,0.0,0.82462636878405,1.0,0.15792129025172702,0.0,0.37057928704224097
CPI_bt,300,4.289638519287109,-0.04761522503353466,0.0,0.000106250314976673,0.0,0.48851448123948416,0.0,0.5450455695838551,0.0,0.15025591899691493,0.0,0.5695298335738279,0.0,0.9947332149474565,0.0,0.06196163564855211,0.0,0.21627874566915395,0.0,0.15858048253021656,0.0,0.6370521376469882,0.0,0.1267822378955495,0.0,0.1439183109785857,0.0,0.7509746488870368,0.0,0.034305327729563066,0.0,0.8559208818830202,0.0,0.04600433817497943,0.0,0.5390361909492396,0.0,0.6840698949982355,0.0,0.21864371664439075,0.0,0.1856954541330642,0.0,0.5061573421212647,0.0,0.2605665756691402,0.0,0.44618674300050243,0.0,0.40122062260421576,0.0,0.0514282277813421,0.0,0.005467631175049152,0.0,0.9540499428492795,0.0,0.2525680783079334,0.0,0.1324727726100861,0.0,0.5323157005816656,0.0,0.1387065582444128,0.0,0.9346194355028428,0.0,0.9999987784207246,0.0,0.2522981023469526,0.0,0.4467865683751943,0.0,0.5177212306289798,0.0,0.7856169251542571,0.0,0.9101332761871963,0.0,0.2098732042045779,0.0,0.9997929472029805,0.0,0.7688657754416595,0.0,0.43022961181537767,0.0,0.7043545422740669,0.0,0.9056961159800317,0.0,0.8606099547712506,0.0,0.10290886116712333,0.0,0.626645709858985,0.0,0.021635320544155668,1.0,0.00032118099716283116,0.0,0.3696427232829722
CPI_sqd,300,4.295382022857666,-0.04761522503353466,0.0,7.912376525279024e-121,0.0,0.9986179820955323,0.0,1.0,0.0,0.03106585552856666,0.0,0.9999993915004017,0.0,0.9999225838474708,0.0,0.9999987080527004,0.0,8.013872954831703e-189,0.0,5.5256761604598055e-58,0.0,4.756159555840039e-23,0.0,0.0,0.0,7.479485555973653e-118,0.0,1.0,0.0,1.472798771700225e-96,0.0,1.0,0.0,0.0,0.0,9.831792079210652e-23,0.0,1.0,0.0,1.3372434020840656e-24,0.0,2.2339884954095563e-88,0.0,1.0380387155453413e-17,0.0,0.011142342148731207,0.0,5.411133101791511e-42,0.0,1.0,0.0,0.0001810172047209924,0.0,0.9999999999984178,0.0,1.4279007474623151e-12,0.0,1.0,0.0,1.970142245923115e-142,0.0,1.0,0.0,5.983160866233637e-34,0.0,1.0,0.0,1.0,0.0,0.9999999999999973,0.0,1.0,0.0,0.9999899192572387,0.0,0.0,0.0,1.0,0.0,8.280983959690224e-168,0.0,0.9999999999949943,0.0,1.0,0.0,1.0,0.0,0.9324056847200012,0.0,1.0,0.0,1.0,0.0,3.4034090428049546e-20,0.0,1.0,0.0,1.0,1.0,1.402888939275604e-52,0.0,0.9567684570323829
S-CPI,300,4.5129759311676025,-0.04761522503353466,0.0,0.167556366224289,0.0,0.8226220934913429,0.0,0.6128349678187098,0.0,0.35481372042908615,0.0,0.7409355132598218,0.0,0.9468408618203661,0.0,0.7384829274290876,0.0,0.10862753382352602,0.0,0.27458351673355696,0.0,0.9631862975944897,0.0,0.15280906050616377,0.0,0.14769182846335527,0.0,0.7357857908198486,0.0,0.017557868102701206,0.0,0.6924529578459218,0.0,0.1788294819801018,0.0,0.9328065468215447,0.0,0.8527590891809376,0.0,0.6504174332617014,0.0,0.041062808687934056,0.0,0.5636220195386201,0.0,0.24352283147863746,0.0,0.18119832943612274,0.0,0.6438179232980846,0.0,0.5220396059890854,0.0,0.8591244841740076,0.0,0.27343403914757464,0.0,0.9138629966769232,0.0,0.11786744321871612,0.0,0.3861756479403787,0.0,0.8207314589905257,0.0,0.9870017861686963,0.0,0.9876278064154114,0.0,0.4762522664133596,0.0,0.6974646021469784,0.0,0.6674379950954639,0.0,0.49527161946838805,0.0,0.8987139306310392,0.0,0.0934381549318602,0.0,0.9173541755430905,0.0,0.7628685482630663,0.0,0.6218340592400711,0.0,0.8183881696884641,0.0,0.9274310199088026,0.0,0.38196931926002853,0.0,0.09266606496196439,0.0,0.5851865976159991,0.0,0.8154777564411047,1.0,0.04663093123255098,0.0,0.44996278444720916
S-CPI_sqrt,300,4.5181896686553955,-0.04761522503353466,0.0,0.39156703315129193,0.0,0.5091017048091928,0.0,0.5575865999534955,0.0,0.46450913311897285,0.0,0.4956936130111873,0.0,0.5604905323680893,0.0,0.5378506647554238,0.0,0.48110266195131157,0.0,0.44859337891960177,0.0,0.5822846656018033,0.0,0.4660615669666355,0.0,0.46251084449764746,0.0,0.5097907004030457,0.0,0.4287159863634549,0.0,0.5042281717694231,0.0,0.415859421219932,0.0,0.5366094997524743,0.0,0.5336879429241808,0.0,0.504889006862999,0.0,0.42204157534110753,0.0,0.5390211801679469,0.0,0.42514549671684454,0.0,0.5051815635624024,0.0,0.4964014140704869,0.0,0.4781191173726169,0.0,0.6079786468477351,0.0,0.47466653086775146,0.0,0.5553160435291679,0.0,0.3870339743639825,0.0,0.476843468149436,0.0,0.531624397150969,0.0,0.6322672533010654,0.0,0.6915728461821585,0.0,0.527779846223886,0.0,0.5204452136719747,0.0,0.5231741885749513,0.0,0.4905169791983972,0.0,0.5518224367780179,0.0,0.48108871528677083,0.0,0.6975505127017994,0.0,0.5549312298573219,0.0,0.5080765954037186,0.0,0.572960313678865,0.0,0.5494091174403758,0.0,0.5099076991584497,0.0,0.4702319048469001,0.0,0.5416219455805228,0.0,0.6016946227868749,1.0,0.28328389873218496,0.0,0.3837566946712888
S-CPI_n,300,4.505663156509399,-0.04761522503353466,0.0,0.27606280640847836,0.0,0.36069724227788424,0.0,0.6936540472701852,0.0,0.6103020398771841,0.0,0.4474619799339371,0.0,0.7484114230774451,0.0,0.49451803950079365,0.0,0.30557911220427325,0.0,0.3076854442102561,0.0,0.6973133512360551,0.0,0.31911914384352175,0.0,0.2994896246755634,0.0,0.4379956136664286,0.0,0.14109864996217597,0.0,0.5896358778770249,0.0,0.2181010417150847,0.0,0.6794323343284491,0.0,0.7694460464093746,0.0,0.6010405243416483,0.0,0.18937548600314164,0.0,0.6307661909392355,0.0,0.4940643921799205,0.0,0.3806348390103849,0.0,0.3983070377731301,0.0,0.5221803954664621,0.0,0.8233530618747101,0.0,0.5118819620729359,0.0,0.48317436803572184,0.0,0.24641537770083,0.0,0.3660629143085377,0.0,0.5130853721325284,0.0,0.9282071782738476,0.0,0.9450754539163777,0.0,0.3946907245406381,0.0,0.6279014538651365,0.0,0.5057074707869695,0.0,0.36457042634328807,0.0,0.7391667535497642,0.0,0.29559307313533223,0.0,0.8656441680114731,0.0,0.7327847645444447,0.0,0.5423099990354779,0.0,0.6701406539363304,0.0,0.8454898421204569,0.0,0.6585077174252587,0.0,0.29870350937471973,0.0,0.6534166198179229,0.0,0.7503391909959161,1.0,0.08082066199802623,0.0,0.4825237099378223
S-CPI_bt,300,4.698479652404785,-0.04761522503353466,0.0,2.452918872504439e-05,0.0,0.6179342656410395,0.0,0.9440925923171402,0.0,0.03413707143540864,0.0,0.6988003622588179,0.0,0.9456969270192864,0.0,0.9500238622321702,0.0,0.23995145552447056,0.0,0.1405147396650815,0.0,0.9986560951975767,0.0,0.23454434707855798,0.0,0.05005358923047088,0.0,0.5659310466659457,0.0,0.02100492488589517,0.0,0.3957598464593474,0.0,0.059803978578102164,0.0,0.8081142687345099,0.0,0.9110787167435708,0.0,0.6034730264476009,0.0,0.004878085239733788,0.0,0.5900944089170951,0.0,0.19949226344738763,0.0,0.3911314164369802,0.0,0.5929603630141267,0.0,0.5889997276837231,0.0,0.9990407565672219,0.0,0.8157225596505322,0.0,0.4693791373635913,0.0,0.011986868997618572,0.0,0.20995184238253323,0.0,0.19798246079378579,0.0,0.9999998614600661,0.0,0.9997468241963064,0.0,0.9058955900215007,0.0,0.6928922747370854,0.0,0.5777392679682256,0.0,0.7237627278594632,0.0,0.9098828724887158,0.0,0.2464403795904611,0.0,0.9998739635007919,0.0,0.9823555311317557,0.0,0.5834895769425252,0.0,0.9709109384062977,0.0,0.9914813004563785,0.0,0.8256945606238709,0.0,0.03393593159777446,0.0,0.9219182637863652,0.0,0.9963458793220563,1.0,0.0016743458040678755,0.0,0.4550702060626944
