method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,18.591536045074463,-0.21253076256614079,0.0,0.32394597213097964,0.0,0.2098580366825582,0.0,0.26736720530980707,0.0,0.21546394318819329,0.0,0.23242421408060732,1.0,0.0685174936709203,0.0,0.4982594662056091,0.0,0.8310704587739736,0.0,0.8452102347504212,0.0,0.1805683108723748,0.0,0.7616257684532461,0.0,0.8693162521316393,0.0,0.7775928376425468,0.0,0.5992603246043817,0.0,0.9214389858782037,0.0,0.42154514702316703,0.0,0.04638534337227007,0.0,0.09288797368542034,0.0,0.8339331655235742,0.0,0.7641373503132453,0.0,0.00730467279217395,0.0,0.16695506490891776,0.0,0.6344917049398916,0.0,0.2351680732442326,0.0,0.027032658858252012,0.0,0.34293002261453764,0.0,0.3947445539341743,0.0,0.9089564977906784,0.0,0.18898294466135224,0.0,0.4151233778500153,0.0,0.0959890876038676,0.0,0.36138283842209873,0.0,0.8614596671899346,0.0,0.050365742782662815,0.0,0.5804252538022889,0.0,0.8152963258540591,0.0,0.9635506549561682,0.0,0.5477527714643637,0.0,0.18256880381839313,0.0,0.2666992871581243,0.0,0.5695731047820152,0.0,0.5274017704836136,0.0,0.1528076662696386,0.0,0.6547431331851596,0.0,0.5429840731021265,0.0,0.7430155431941079,0.0,0.34596736830292285,0.0,0.005410905726537685,0.0,0.9791066348343116,0.0,0.870354837165588
CPI,300,3.9118387699127197,-0.21253076256614079,0.0,0.2277255750734244,0.0,0.9685283277904884,0.0,0.20012159086197917,0.0,0.6773532492395322,0.0,0.19013739351886838,1.0,0.050238452276298785,0.0,0.7603426680682505,0.0,0.49666410520994364,0.0,0.35873473850937654,0.0,0.19730077353226866,0.0,0.2942450614735867,0.0,0.3506916286133196,0.0,0.14739784708894066,0.0,0.8338995968150069,0.0,0.05531290907117626,0.0,0.6409424676164103,0.0,0.39957142937349577,0.0,0.7261298009742911,0.0,0.03302376615264165,0.0,0.752608889586148,0.0,0.7089825478760204,0.0,0.8643741753683345,0.0,0.6708882690862956,0.0,0.06144283882773335,0.0,0.31803032519431707,0.0,0.48049977298604263,0.0,0.797545392705046,0.0,0.2644684117857538,0.0,0.1802919053571861,0.0,0.10826858091854841,0.0,0.13013718569900745,0.0,0.22489045093341636,0.0,0.6284108827515809,0.0,0.6294260931360492,0.0,0.49226198743767274,0.0,0.03372521427738465,0.0,0.07103062724817681,0.0,0.5726459225077958,0.0,0.40255742239702275,0.0,0.30587538487208477,0.0,0.3901521500343771,0.0,0.6592349870308044,0.0,0.6351024467139627,0.0,0.3491688218047876,0.0,0.8795028860978835,0.0,0.39266687352155505,0.0,0.5781884966864118,0.0,0.2258296871202305,0.0,0.10026473807133279,0.0,0.30578773283427263
CPI_sqrt,300,3.8940815925598145,-0.21253076256614079,0.0,0.4082245696960161,0.0,0.4891571855133598,0.0,0.5693271994315074,0.0,0.5703163832590119,0.0,0.5827811606972045,1.0,0.15506166936440618,0.0,0.3281882630729504,0.0,0.6350538616657968,0.0,0.563399001983618,0.0,0.5148953727968469,0.0,0.469781774849362,0.0,0.473679466560676,0.0,0.5199079874744384,0.0,0.5110896088358136,0.0,0.4769704103687439,0.0,0.6484460449149658,0.0,0.4530160327383069,0.0,0.4607540388039173,0.0,0.6551775241900766,0.0,0.5623544549981376,0.0,0.570667084548002,0.0,0.680015403141834,0.0,0.4015561899448111,0.0,0.46000504978902723,0.0,0.47632576109199737,0.0,0.31949810888651525,0.0,0.6366172369405732,0.0,0.500221842985883,0.0,0.3862045658688651,0.0,0.2812687000813187,0.0,0.5696220871664179,0.0,0.3246862538940598,0.0,0.5444204868517298,0.0,0.47210986418304224,0.0,0.48696790759455955,0.0,0.37839265518463794,0.0,0.46385182538978714,0.0,0.4178522167307499,0.0,0.5302826201361596,0.0,0.4272118236728426,0.0,0.6080058933560643,0.0,0.49988111031290866,0.0,0.4056058773373431,0.0,0.5256773782270747,0.0,0.5459042960538671,0.0,0.5422192223446193,0.0,0.5340619788811247,0.0,0.5149342929457846,0.0,0.523345867043106,0.0,0.4453031544080029
CPI_n,300,3.8911144733428955,-0.21253076256614079,0.0,0.30384316460761895,0.0,0.7736033529533499,0.0,0.6635653665493373,0.0,0.2524525844983161,0.0,0.35922170820569943,1.0,0.013629858861272964,0.0,0.18165728999762382,0.0,0.7421881521249989,0.0,0.4719934913288017,0.0,0.4634218842221775,0.0,0.47545851891285507,0.0,0.27354472276189956,0.0,0.45065928131318367,0.0,0.5038898050024084,0.0,0.09444162131014955,0.0,0.7119441675361786,0.0,0.6920677876969498,0.0,0.8663567442185068,0.0,0.40680147196875377,0.0,0.7678936886372882,0.0,0.9559972542520692,0.0,0.8842933619546955,0.0,0.554043264811163,0.0,0.2306395005769477,0.0,0.32789853551488435,0.0,0.697571733923037,0.0,0.892187723397984,0.0,0.8928947987197408,0.0,0.25832110407565506,0.0,0.17359581513708217,0.0,0.06960888932105973,0.0,0.2706505214881182,0.0,0.8058227071337559,0.0,0.46766699698204994,0.0,0.23164274730984352,0.0,0.3611552958142381,0.0,0.3658746357877488,0.0,0.3422448143505374,0.0,0.2529421318336562,0.0,0.7603113078443307,0.0,0.2964610746582511,0.0,0.5784245887212757,0.0,0.7826826371423415,0.0,0.7310878940898299,0.0,0.8469180978157448,0.0,0.299335886407889,0.0,0.7909479750790291,0.0,0.2895636200153777,0.0,0.6495136489637852,0.0,0.139691961999649
CPI_bt,300,4.083276271820068,-0.21253076256614079,0.0,0.2888908124645885,0.0,0.9555679536244962,0.0,0.023495432767632395,0.0,0.09863661766808768,0.0,0.0033651775226916244,1.0,2.1868651133000533e-20,0.0,0.11248715395827891,0.0,0.9998718475170879,0.0,0.8618165651586939,0.0,0.8630626878886498,0.0,0.08160801846205923,0.0,0.007123807127007952,0.0,0.4203196485745635,0.0,0.9275250140517125,0.0,3.8134028578743056e-06,0.0,0.848358320395682,0.0,0.9774590495972253,0.0,0.36903554958638873,0.0,0.013002725488324075,0.0,0.9910858558832145,0.0,0.9280130510199684,0.0,0.9999989926318138,0.0,0.9999943427034701,0.0,0.016720883394327132,0.0,0.7645828697414356,0.0,0.0014208958927868192,0.0,0.9998366935666935,0.0,0.00077062575166698,0.0,0.0024369094566465024,0.0,0.0007111886240376224,0.0,0.003977517030007872,0.0,0.06117550794096749,0.0,0.5376260523080393,0.0,0.2149345422453483,0.0,0.5297451072933029,0.0,0.040521575196386814,0.0,0.0988541912758154,0.0,0.03074053323374394,0.0,0.7552727762359803,0.0,0.6648726682030569,0.0,0.7951133688195783,0.0,0.37482722021054193,0.0,0.9680444208135217,0.0,0.09080905294452563,0.0,0.9011941143951517,0.0,0.996235564346118,0.0,0.9946693228377216,0.0,0.17696597393529123,0.0,0.9487639217707042,0.0,0.3670877603828303
CPI_sqd,300,4.074576139450073,-0.21253076256614079,0.0,1.0,0.0,1.0,0.0,1.9210238938262576e-89,0.0,1.3639954899551364e-06,0.0,1.6201467137622168e-10,1.0,3.549127769246386e-07,0.0,0.0003203905030168082,0.0,0.9166755626191225,0.0,0.9983943257493102,0.0,6.518764993930781e-09,0.0,0.9991260188182101,0.0,1.7987470380026836e-122,0.0,2.7823288536443906e-119,0.0,1.0,0.0,3.0626173286597702e-46,0.0,0.5934921150811884,0.0,3.671860914412838e-61,0.0,0.9999999999301225,0.0,0.9996696331703789,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.42947456465381e-66,0.0,5.613556338100609e-19,0.0,2.844059245926701e-13,0.0,0.7076255654935095,0.0,0.9998977159926365,0.0,2.598329743746649e-10,0.0,1.0,0.0,3.864202834891354e-20,0.0,6.436949198788681e-17,0.0,3.0766350423613033e-07,0.0,0.006242008846641748,0.0,5.278904954660846e-30,0.0,0.2940088597360718,0.0,1.0,0.0,1.0481517225998531e-27,0.0,7.361398223146082e-59,0.0,6.892688764581949e-111,0.0,1.0,0.0,0.03197717362072688,0.0,0.005656243772432301,0.0,1.7958786792024037e-08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.309848642903551e-73,0.0,3.1597763145242276e-24,0.0,0.9999999985644834
S-CPI,300,4.058429479598999,-0.21253076256614079,0.0,0.4407015422169218,0.0,0.9644691711745451,0.0,0.37708648704002345,0.0,0.39963129113549356,0.0,0.8645348962336314,1.0,0.005939562820992149,0.0,0.030769033074346093,0.0,0.9180293320716494,0.0,0.3551163500525255,0.0,0.8675173467840094,0.0,0.5052495763345565,0.0,0.29376965023224444,0.0,0.4665320623255871,0.0,0.7782543562518935,0.0,0.15283663483690302,0.0,0.9282703331142932,0.0,0.9360704699380256,0.0,0.8423610385063014,0.0,0.7157018583264907,0.0,0.9231873793940731,0.0,0.9030780919020468,0.0,0.9312878440627561,0.0,0.7860200470037839,0.0,0.3990428775624828,0.0,0.45645496617902925,0.0,0.5054030789672332,0.0,0.7971535518773925,0.0,0.42280045435277047,0.0,0.2625398069999115,0.0,0.250547333714678,0.0,0.4177559682511717,0.0,0.20894397688508132,0.0,0.6371095078374065,0.0,0.43320767575193986,0.0,0.28668369539514044,0.0,0.30846114446659056,0.0,0.34772899174825705,0.0,0.38912713895369244,0.0,0.2595241080379995,0.0,0.6483438486265278,0.0,0.4726807446177089,0.0,0.4049417881460319,0.0,0.4311698139976346,0.0,0.7232083866193795,0.0,0.9448138788125789,0.0,0.8722551491759618,0.0,0.9634051041357726,0.0,0.24449913272565987,0.0,0.2945632712570145,0.0,0.3882838694592063
S-CPI_sqrt,300,4.067813158035278,-0.21253076256614079,0.0,0.44250983963561125,0.0,0.6531378184880285,0.0,0.5081621593464289,0.0,0.48623749424556667,0.0,0.5355533565276276,1.0,0.11273093235692233,0.0,0.32851628069985417,0.0,0.6833180381975388,0.0,0.4755143471361097,0.0,0.5313385499864061,0.0,0.4934080833347896,0.0,0.4285854678427947,0.0,0.4815916774234919,0.0,0.5753429144990633,0.0,0.38901700849376053,0.0,0.6955674738831906,0.0,0.5622734531390686,0.0,0.6774645292634321,0.0,0.6041598228001887,0.0,0.6970833270779572,0.0,0.5799511486428351,0.0,0.7003611240533925,0.0,0.6643629646527728,0.0,0.4145647514940972,0.0,0.4851539496345347,0.0,0.5061835085623383,0.0,0.6426725052522512,0.0,0.5251806824775694,0.0,0.4140759594293434,0.0,0.30822473737947714,0.0,0.4517353026141708,0.0,0.3557871270552553,0.0,0.5034485594292121,0.0,0.48267411887402506,0.0,0.53197213116675,0.0,0.4536024680418009,0.0,0.4899772509353567,0.0,0.47517990759741563,0.0,0.4105146384378457,0.0,0.5811946541667268,0.0,0.5480409328769492,0.0,0.4560009072253003,0.0,0.52051192027968,0.0,0.495914080411838,0.0,0.6383193509379743,0.0,0.5662223813794561,0.0,0.6989778740887839,0.0,0.45552517730852055,0.0,0.4583881476945917,0.0,0.46364961163672835
S-CPI_n,300,4.059342622756958,-0.21253076256614079,0.0,0.5286719966339055,0.0,0.8469616067163432,0.0,0.40349230934059066,0.0,0.2237433510051796,0.0,0.512633561799093,1.0,0.011228607714451997,0.0,0.07095924378751245,0.0,0.9125461615753365,0.0,0.29526055814552493,0.0,0.5972830434908891,0.0,0.3863362087126788,0.0,0.22418680182998751,0.0,0.4012139400743876,0.0,0.8585846036386118,0.0,0.3477477153305324,0.0,0.9048882289859012,0.0,0.6985048036535124,0.0,0.8693885699939599,0.0,0.8017307592311749,0.0,0.8912655666592115,0.0,0.8770655531733109,0.0,0.8635520223091004,0.0,0.7579867990623641,0.0,0.27704006520420543,0.0,0.6001566586051049,0.0,0.6337183248891869,0.0,0.8950860138915326,0.0,0.7066794088214876,0.0,0.18267990596940542,0.0,0.2039498557353565,0.0,0.30249174322627176,0.0,0.21237354795175217,0.0,0.7403653463293507,0.0,0.395619912919067,0.0,0.5250816898178637,0.0,0.3157462551831346,0.0,0.3320533169545583,0.0,0.38580337259526243,0.0,0.11420540668220153,0.0,0.37636198919637304,0.0,0.5252344622290737,0.0,0.5931704146045408,0.0,0.5373713309185815,0.0,0.32292816671319435,0.0,0.8330370735566215,0.0,0.7590792677451234,0.0,0.9153265068293484,0.0,0.41049518264179724,0.0,0.49121748742138094,0.0,0.5470686203073585
S-CPI_bt,300,4.251522541046143,-0.21253076256614079,0.0,0.622387498926738,0.0,0.9988125069000406,0.0,0.15651489119922862,0.0,0.05638853805478816,0.0,0.9920751301437276,1.0,1.2940097278459758e-13,0.0,9.971082041503439e-08,0.0,0.999403126269128,0.0,0.3134259712522341,0.0,0.9840593588290505,0.0,0.03043547725371464,0.0,0.0035528803165362738,0.0,0.18772514429701886,0.0,0.9796609199454434,0.0,0.0016995738742030927,0.0,0.9999744181739377,0.0,0.9863397869918571,0.0,0.9995124110475244,0.0,0.9425329021843664,0.0,0.9995278509674627,0.0,0.8298689864636222,0.0,0.9999970656766719,0.0,0.9998822261737436,0.0,0.005802550082859207,0.0,0.934217867026892,0.0,0.41738492089707624,0.0,0.9773788595456057,0.0,0.9999403641598877,0.0,0.00020829371187091857,0.0,0.03324373649799243,0.0,0.7269295836879187,0.0,0.07149558321552671,0.0,0.9039819295898925,0.0,0.3159763065559533,0.0,0.4526178681704226,0.0,1.1867325912226308e-05,0.0,0.665472371559621,0.0,0.03668311031792477,0.0,0.00014612046114628356,0.0,0.5393411141783635,0.0,0.946589524787305,0.0,0.6358087322942801,0.0,0.5499252987841349,0.0,0.8582814355957927,0.0,0.9997806947164796,0.0,0.9984367018093196,0.0,0.9999986347502066,0.0,0.3651457402978295,0.0,0.7624385041985109,0.0,0.13007636721436178
