method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,145.57457423210144,0.04985883635979249,0.0,0.2926474162353424,0.0,0.5660597616739219,0.0,0.8575788619650144,0.0,0.42197687640243664,0.0,0.8799445543881126,1.0,0.199417364239039,0.0,0.8364271667805534,0.0,0.023998376322736714,0.0,0.01894046420178297,0.0,0.7039791990347981,0.0,0.9338284122898086,0.0,0.10203835128157779,0.0,0.5298427069183378,0.0,0.9288494246712906,0.0,0.05573238085179455,0.0,0.9394777964014315,0.0,0.2885528021802315,0.0,0.003698991796706963,0.0,0.9288140916291385,0.0,0.3765897777884426,0.0,0.5360336565705122,0.0,0.05392609543910387,0.0,0.3442681549119101,0.0,0.2743451165401285,0.0,0.8438443281886071,0.0,0.3756666668518247,0.0,0.055731323293228496,0.0,0.005390248341940018,0.0,0.48325379993791273,0.0,0.43148340483373304,0.0,0.4290869379251335,0.0,0.8545541369000813,0.0,0.6550307131735756,0.0,0.7473343507418568,0.0,0.15192361209612393,0.0,0.9818659232891926,0.0,0.7777586287667416,0.0,0.042813552565666324,0.0,0.8826740762365419,0.0,0.8958447430997545,0.0,0.07552737684824884,0.0,0.10779645350404787,0.0,0.7130914012674545,0.0,0.048092500081677314,0.0,0.483235889628128,0.0,0.1293493129226433,0.0,0.13572689853791098,0.0,0.11440547371119503,0.0,0.20424859238051618,0.0,0.05860829262619638
CPI,300,6.55963397026062,0.04985883635979249,0.0,0.12429193964542845,0.0,0.9613972427374431,0.0,0.8635411567915093,0.0,0.3884318452385514,0.0,0.27017866353605746,1.0,0.24212607227598615,0.0,0.06433344234423807,0.0,0.8413875480589161,0.0,0.8040777214255674,0.0,0.3294529880164918,0.0,0.46323967271073496,0.0,0.3338144652278494,0.0,0.32200569448011396,0.0,0.3882798826251935,0.0,0.57226675102703,0.0,0.32811331277367695,0.0,0.7076823250478316,0.0,0.9389825740019663,0.0,0.0007983748345890396,0.0,0.7037826768750156,0.0,0.9325999185646352,0.0,0.6811555723209171,0.0,0.013814988052061687,0.0,0.705518410560507,0.0,0.5669169926825036,0.0,0.2006876339024285,0.0,0.797294648647616,0.0,0.025903772819042124,0.0,0.6099806042244769,0.0,0.33991868010746396,0.0,0.6572526093732849,0.0,0.8480004088090558,0.0,0.050317814109242395,0.0,0.7364504753445029,0.0,0.8064923911481363,0.0,0.9876921881041203,0.0,0.7700954446004702,0.0,0.37876656049942614,0.0,0.8396384667269197,0.0,0.9107605162555341,0.0,0.7317695360608868,0.0,0.23865291160737168,0.0,0.40083126590030005,0.0,0.2767164121903012,0.0,0.19593108785402463,0.0,0.4770911775931622,0.0,0.0383052195367181,0.0,0.6792349196475334,0.0,0.7717407267708887,0.0,0.6020802504862879
CPI_sqrt,300,6.60462760925293,0.04985883635979249,0.0,0.45038675463210254,0.0,0.5184181091133117,0.0,0.5249873669485856,0.0,0.47483280073164913,0.0,0.5748057041108071,1.0,0.4702890574900364,0.0,0.5052621599810325,0.0,0.5141466079687711,0.0,0.5322337687351544,0.0,0.5045110614476058,0.0,0.5014366249676463,0.0,0.48775558861338086,0.0,0.5141175697619496,0.0,0.5018063298946412,0.0,0.5140503764746128,0.0,0.49865980816004085,0.0,0.48914832396104063,0.0,0.4913033320687584,0.0,0.4760122434184049,0.0,0.48848896452724366,0.0,0.5104327083292819,0.0,0.4656996039402324,0.0,0.4624157817500712,0.0,0.4930889475615284,0.0,0.5184237564964641,0.0,0.5086073101128051,0.0,0.5160462199371633,0.0,0.5083033927157667,0.0,0.5064081282354201,0.0,0.4978685383750269,0.0,0.5322345505676991,0.0,0.5745703488123622,0.0,0.4170910944887411,0.0,0.48635700752487954,0.0,0.5403384558758028,0.0,0.5303017057386926,0.0,0.4997003223401383,0.0,0.4684463141339053,0.0,0.5308032389098084,0.0,0.5234133410975935,0.0,0.5195170313831928,0.0,0.4992718714843604,0.0,0.49216316881845534,0.0,0.48584248753476966,0.0,0.48368133910506755,0.0,0.5124068666495215,0.0,0.4522452698775776,0.0,0.5067070426445075,0.0,0.5236924572475349,0.0,0.5105871942852017
CPI_n,300,6.605273246765137,0.04985883635979249,0.0,0.5622880400477593,0.0,0.6435778518346957,0.0,0.736856368575159,0.0,0.4307977673953527,0.0,0.6076741495711603,1.0,0.044919701101979605,0.0,0.24712203186716003,0.0,0.5266396122854108,0.0,0.6597187898725377,0.0,0.3572251658574963,0.0,0.4453102516689554,0.0,0.4931109381971999,0.0,0.6060405604875284,0.0,0.6082946369381756,0.0,0.40478171398796503,0.0,0.4501396930155712,0.0,0.5429722528116611,0.0,0.42287365509612973,0.0,0.2484353767390885,0.0,0.4661943771299519,0.0,0.6032369454667192,0.0,0.24286769028690725,0.0,0.4203509109532104,0.0,0.60177954118687,0.0,0.5260888303820976,0.0,0.5116211047821533,0.0,0.64511041682027,0.0,0.41212635717910584,0.0,0.6663873447772395,0.0,0.43935129483300783,0.0,0.46652160835891937,0.0,0.6846207921484408,0.0,0.09503365215912257,0.0,0.4059730013952345,0.0,0.6177950894491893,0.0,0.7613484156106539,0.0,0.8008600350481295,0.0,0.5535094068566295,0.0,0.3565490736731949,0.0,0.3632060445389903,0.0,0.7446462964329065,0.0,0.35788738764502986,0.0,0.5220810221023645,0.0,0.3027841217233266,0.0,0.38156706387107947,0.0,0.32532457212586113,0.0,0.731765988422398,0.0,0.40176208330667923,0.0,0.3558789685476132,0.0,0.747517822049539
CPI_bt,300,6.743456125259399,0.04985883635979249,0.0,0.4262948417280232,0.0,0.5596826862633871,0.0,0.9995405544187637,0.0,0.6080155027975945,0.0,0.4396126289473135,1.0,0.000877978767149934,0.0,0.0005658460619087509,0.0,0.3670762450580736,0.0,0.5514604065589607,0.0,0.4352361593303967,0.0,0.44213615594965094,0.0,0.3840130544010988,0.0,0.44149349316072806,0.0,0.4952707258588153,0.0,0.29944233032101475,0.0,0.3765264880321812,0.0,0.47604975286341095,0.0,0.6290760693699737,0.0,0.3889562029959037,0.0,0.4605868858671395,0.0,0.44522733530176656,0.0,0.6299261665877903,0.0,0.36630388512979734,0.0,0.47191111546652864,0.0,0.4208884358673186,0.0,0.43435721021214263,0.0,0.956130007225078,0.0,0.5050473688019033,0.0,0.47635218984347005,0.0,0.3738530411542108,0.0,0.8405212420273349,0.0,0.8830636858549024,0.0,0.0025584563825589704,0.0,0.3553699092138504,0.0,0.5958516880746256,0.0,0.8993086849977301,0.0,0.97923380719996,0.0,0.7974901237463596,0.0,0.7231646279923821,0.0,0.7949308160001939,0.0,0.59032480486975,0.0,0.39093840086823817,0.0,0.5897140236135783,0.0,0.36280524423321014,0.0,0.4635682544360455,0.0,0.630828597430453,0.0,0.4216689795892274,0.0,0.3839986729642611,0.0,0.540253274201749,0.0,0.3848575500936632
CPI_sqd,300,6.735000133514404,0.04985883635979249,0.0,0.9999999593551342,0.0,1.0,0.0,1.0,0.0,6.231419327842566e-09,0.0,1.0,1.0,0.0006133474226870375,0.0,2.717168111783269e-122,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.630381089391548e-63,0.0,0.004180628978821059,0.0,1.0,0.0,2.9184393628526114e-07,0.0,0.9999963227469976,0.0,0.8054037529562401,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9885584594505216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9999999999995204,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.248449347747684e-11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.999999999755853,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.2940018657856974e-98,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9.419171324492987e-45,0.0,1.4554224098133286e-83,0.0,7.873168906892443e-299,0.0,0.0,0.0,1.0,0.0,4.788914409598878e-149,0.0,6.162350753125468e-33,0.0,1.0,0.0,1.0
S-CPI,300,18.55654287338257,0.04985883635979249,0.0,0.2564252247409555,0.0,0.918979319618707,0.0,0.9000971664041517,0.0,0.4000215799014173,0.0,0.7581718463717477,1.0,0.5940851943914472,0.0,0.11527668161948884,0.0,0.6967446649475153,0.0,0.902323846182518,0.0,0.4198785432287099,0.0,0.1943096889535761,0.0,0.8687410640728763,0.0,0.4769458864482833,0.0,0.6378242119194542,0.0,0.3670073026178932,0.0,0.21532630584981377,0.0,0.8998495973138818,0.0,0.9459703053697953,0.0,0.05458238243566382,0.0,0.8037194095750437,0.0,0.8489437810991457,0.0,0.7553834586272496,0.0,0.08189230744201936,0.0,0.7043184673750897,0.0,0.5106936321390618,0.0,0.3828892122094786,0.0,0.9389756467372339,0.0,0.29607426729594744,0.0,0.23652949944015955,0.0,0.2765115148079931,0.0,0.4939672581284601,0.0,0.9832397807466153,0.0,0.03317118783395046,0.0,0.3832379439194099,0.0,0.9567297380327974,0.0,0.992203082117635,0.0,0.6918307233364223,0.0,0.6239008650359646,0.0,0.9666021735853644,0.0,0.866263212918458,0.0,0.9713987234657667,0.0,0.27683521134123135,0.0,0.07519878202969102,0.0,0.2672198575121696,0.0,0.12196075386815408,0.0,0.6793362242613359,0.0,0.18042481960363133,0.0,0.2966484942071531,0.0,0.7956917998000941,0.0,0.8325040552267071
S-CPI_sqrt,300,18.562747716903687,0.04985883635979249,0.0,0.48650083274549893,0.0,0.5173775359880299,0.0,0.6113217409821172,0.0,0.4983003401293391,0.0,0.5541046293469155,1.0,0.4216808583722917,0.0,0.4227907140428864,0.0,0.5152001554073657,0.0,0.5543956554097225,0.0,0.4735792041664637,0.0,0.5007134497508687,0.0,0.5040293893996245,0.0,0.49098241902726963,0.0,0.5016497862416428,0.0,0.4717245764113948,0.0,0.485143402209131,0.0,0.5059026968707414,0.0,0.5467612017433816,0.0,0.4591291164410637,0.0,0.517962754434854,0.0,0.5065562103985706,0.0,0.5187491242111759,0.0,0.4508062214982617,0.0,0.507789966435072,0.0,0.5081994473170091,0.0,0.4924977972727699,0.0,0.5520379176760156,0.0,0.5091117939517736,0.0,0.48745500208675757,0.0,0.496944809249693,0.0,0.4862310603275516,0.0,0.5831412950810181,0.0,0.37355189964060953,0.0,0.5040265244070711,0.0,0.5277047456118581,0.0,0.5713312564315315,0.0,0.5376302770170865,0.0,0.46295777419022577,0.0,0.5607188927000936,0.0,0.5233642663642853,0.0,0.5295655377155074,0.0,0.475617743744016,0.0,0.4896843410966096,0.0,0.4786948924247423,0.0,0.4733732402974701,0.0,0.48141665558657837,0.0,0.45850350915979365,0.0,0.4637973225518808,0.0,0.5001701547563636,0.0,0.5742417757119784
S-CPI_n,300,18.508127450942993,0.04985883635979249,0.0,0.5525945072274743,0.0,0.6845168480117406,0.0,0.7475631667022551,0.0,0.3641641669392185,0.0,0.7880754626484305,1.0,0.5214807208253489,0.0,0.30581097220694897,0.0,0.7177986288435256,0.0,0.6122871316602866,0.0,0.3436947941172216,0.0,0.3647710627768085,0.0,0.5228387186735505,0.0,0.48824078493590417,0.0,0.4510134403319211,0.0,0.4077320844162105,0.0,0.4567245691831357,0.0,0.5694452478738041,0.0,0.7575039360384694,0.0,0.23092528193918388,0.0,0.5712900672344817,0.0,0.6274874611606072,0.0,0.345878722679208,0.0,0.30829720233959335,0.0,0.5322802507667536,0.0,0.5566139969616124,0.0,0.4167465973106925,0.0,0.6990776789002616,0.0,0.45402877674102426,0.0,0.4343247089701695,0.0,0.5057834907071125,0.0,0.6024391971565835,0.0,0.9052213268562075,0.0,0.12546651357272126,0.0,0.4654244370112011,0.0,0.7005748495528756,0.0,0.8272608394955907,0.0,0.571142147054454,0.0,0.5822425635546973,0.0,0.755541304402696,0.0,0.5710232690656775,0.0,0.6951672055845697,0.0,0.45245812617042364,0.0,0.42270503221837197,0.0,0.38461982982013,0.0,0.2437245820188264,0.0,0.5908342264009242,0.0,0.27828985935760886,0.0,0.30832110440164223,0.0,0.6240780453452128,0.0,0.7852257718584104
S-CPI_bt,300,18.649545907974243,0.04985883635979249,0.0,0.6416383332391853,0.0,0.7399520445352279,0.0,0.9790062064104116,0.0,0.2915260924215499,0.0,0.9494255525546109,1.0,0.6969588313221688,0.0,0.08664400257407617,0.0,0.7339303398457174,0.0,0.8892785479259515,0.0,0.1736480618317166,0.0,0.47700516096526285,0.0,0.6177435150285475,0.0,0.48626033584049755,0.0,0.4032444434425566,0.0,0.48221072958516703,0.0,0.3430660832829797,0.0,0.5671195802874948,0.0,0.7523681066475228,0.0,0.14052496054393587,0.0,0.5753351983603066,0.0,0.6198305178361448,0.0,0.76528411447413,0.0,0.24754492583425713,0.0,0.4831722189502766,0.0,0.6249430114079052,0.0,0.5399359454849544,0.0,0.9260965161494898,0.0,0.5204909659072356,0.0,0.3124463391457787,0.0,0.4893141917342575,0.0,0.7799219038716777,0.0,0.9997634163969261,0.0,0.00043040717902938767,0.0,0.533613672427856,0.0,0.8135495488305056,0.0,0.9533852986994998,0.0,0.9082060849068782,0.0,0.3395141024644771,0.0,0.9050146417197245,0.0,0.8509252534835547,0.0,0.83825860924137,0.0,0.4227716409279783,0.0,0.38032726120631133,0.0,0.35571731910308385,0.0,0.24364774183426224,0.0,0.9082246758864827,0.0,0.4404218030367618,0.0,0.18243662273099598,0.0,0.6738202085364533,0.0,0.9539390935277772
