method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,918.80704164505,0.1323386839609204,0.0,0.0,0.0,0.47742065782945275,0.0,0.9999999999419605,0.0,0.0018147010815552367,0.0,0.9652848058246901,0.0,2.4267243770026425e-10,0.0,0.9955227291662007,0.0,0.05062278252756669,0.0,0.9999999998338556,0.0,0.8701813740957851,0.0,0.0,0.0,0.00021342518322586823,0.0,0.13105975890677757,0.0,1.0,0.0,1.0,1.0,1.0,0.0,9.963141422986155e-13,0.0,0.9999999999999574,0.0,0.0,0.0,0.9930594608864477,0.0,0.9999999999999801,0.0,1.0,0.0,0.5066379566924621,0.0,1.0,0.0,5.782013506483441e-05,0.0,0.5813021133219332,0.0,1.996900800271817e-08,0.0,0.9999999999999312,0.0,1.0,0.0,2.202642734872029e-09,0.0,0.260154451710362,0.0,0.9892885804043097,0.0,0.9999999999971212,0.0,0.04437089215896184,0.0,0.9999999001725814,0.0,0.0035139546831487456,0.0,0.00622425582969266,0.0,0.9019109398701026,0.0,1.031826246666867e-08,0.0,0.23899029192691623,0.0,1.0,0.0,3.885780586188048e-15,0.0,0.15630345513857802,0.0,1.0,0.0,1.0746958878371515e-13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7938634608365487,0.0,0.9727803787747894
CPI,300,17.03238797187805,0.1323386839609204,0.0,0.08659448054620728,0.0,0.895836350607849,0.0,0.3286726765796962,0.0,0.5861665531284264,0.0,0.1575038029771575,0.0,0.4035322635043974,0.0,0.05152740583910969,0.0,0.21539274748611492,0.0,0.894121685053119,0.0,0.44879644943718494,0.0,0.5710398995010209,0.0,0.08571735254596169,0.0,0.07790438534897667,0.0,0.41794661687138135,0.0,0.5081520183713444,1.0,0.0012320417249728581,0.0,0.05632592230847204,0.0,0.28041602894645623,0.0,0.5088215999307739,0.0,0.27246009719095854,0.0,0.3543964602266397,0.0,0.9841158366934911,0.0,0.4452964866369097,0.0,0.816723452953635,0.0,0.8658923271516414,0.0,0.9898251175101245,0.0,0.12793245430754624,0.0,0.9827552794947639,0.0,0.31443693076835433,0.0,0.6276474886719865,0.0,0.441173672743056,0.0,0.6462199784538472,0.0,0.7418408009371031,0.0,0.36499107143992254,0.0,0.7869817926891358,0.0,0.6388490903959969,0.0,0.17661135704134007,0.0,0.7570428158835365,0.0,0.5223993209808987,0.0,0.3997180005044798,0.0,0.29323960390279025,0.0,0.6159137549113527,0.0,0.5601264468602459,0.0,0.9124734482559318,0.0,0.2784885070031018,0.0,0.1800653200113873,0.0,0.6435152463289643,0.0,0.6367696425831747,0.0,0.08912881421171104,0.0,0.7836826459925096
CPI_sqrt,300,17.046973943710327,0.1323386839609204,0.0,0.5099428424896614,0.0,0.5015079129331846,0.0,0.5071502448187888,0.0,0.49460480823448394,0.0,0.49089391300276713,0.0,0.4964603874512564,0.0,0.5001829748473023,0.0,0.4958983451376974,0.0,0.5058784683943524,0.0,0.4802832796462091,0.0,0.4840280544101377,0.0,0.49973035464859794,0.0,0.500005165949287,0.0,0.4963868780204778,0.0,0.526796312968531,1.0,0.15599536669500147,0.0,0.4909104480424187,0.0,0.5114524525918064,0.0,0.49214507962646287,0.0,0.5069296731377337,0.0,0.4924409935511354,0.0,0.5020611129789115,0.0,0.49332921034386573,0.0,0.4970283651806708,0.0,0.5012168023099363,0.0,0.5053212850412852,0.0,0.5010586235273876,0.0,0.5003811627641187,0.0,0.49587138552682186,0.0,0.5004962539853947,0.0,0.5063921608265837,0.0,0.4880465148758836,0.0,0.4822809069170786,0.0,0.490760301271301,0.0,0.5063324109502114,0.0,0.4923753165470407,0.0,0.4992519268155569,0.0,0.5146543947314028,0.0,0.5003655949282189,0.0,0.5005616840961706,0.0,0.5095447108106749,0.0,0.5018591332165513,0.0,0.4950606398309437,0.0,0.5039451953294808,0.0,0.501909863762314,0.0,0.4948703883514977,0.0,0.5087371505518726,0.0,0.5045166944393593,0.0,0.4783561476279978,0.0,0.49993658539105845
CPI_n,300,17.049563884735107,0.1323386839609204,0.0,0.4420885178532061,0.0,0.5069844353145462,0.0,0.4265512141167198,0.0,0.47402910096148854,0.0,0.5713520724802228,0.0,0.5189379550500968,0.0,0.4892009743063817,0.0,0.5110636545376417,0.0,0.5977713947050485,0.0,0.3480184697607328,0.0,0.5504873353986748,0.0,0.4793504814779936,0.0,0.5113528320738706,0.0,0.46303162248270846,0.0,0.5553956515334978,1.0,0.17974622575965027,0.0,0.5068237296109481,0.0,0.49988056769334754,0.0,0.4904218450168647,0.0,0.4848305725537849,0.0,0.48905002891242066,0.0,0.5399482265721776,0.0,0.5473498636175884,0.0,0.6664376316610623,0.0,0.5514010972358386,0.0,0.5096603393289959,0.0,0.5477909777441357,0.0,0.6164128408707936,0.0,0.5630463685277025,0.0,0.4970082777311209,0.0,0.46164782519616077,0.0,0.5406828957948216,0.0,0.496430432767465,0.0,0.43896650231381423,0.0,0.5757867863611534,0.0,0.5026463908375695,0.0,0.4914378395983589,0.0,0.4916396971881378,0.0,0.4845758235539669,0.0,0.4891318797392699,0.0,0.45956860876605454,0.0,0.5051692874131436,0.0,0.43530364727505433,0.0,0.5613733564145953,0.0,0.5625474846805875,0.0,0.5050236788585758,0.0,0.5072017870761084,0.0,0.434183175871771,0.0,0.3653538450067865,0.0,0.32054101575953314
CPI_bt,300,17.24177837371826,0.1323386839609204,0.0,0.29810780237102463,0.0,0.551594228313863,0.0,0.48314166486713733,0.0,0.49739142022722943,0.0,0.5114631970062277,0.0,0.4785886239532956,0.0,0.5099072256759831,0.0,0.4455232800658896,0.0,0.448053380299591,0.0,0.3054715029815113,0.0,0.5904346534447973,0.0,0.49425827659915117,0.0,0.5689713679470794,0.0,0.46693878462260413,0.0,0.7439999586179137,1.0,2.0894746821840812e-17,0.0,0.4068829111681762,0.0,0.8300723259544219,0.0,0.5323006092926392,0.0,0.42096153000423087,0.0,0.48806730103593277,0.0,0.48954738921626656,0.0,0.49610521814274494,0.0,0.6089690814450363,0.0,0.5967376064375793,0.0,0.5620313950808723,0.0,0.4999983167495449,0.0,0.7371267562619909,0.0,0.47626958955139354,0.0,0.485393901575916,0.0,0.505920186815171,0.0,0.4401501033183198,0.0,0.45089995290290763,0.0,0.4049396084530774,0.0,0.6003503772853447,0.0,0.5070956950642047,0.0,0.36512635251530956,0.0,0.5620545897064996,0.0,0.5426484320304343,0.0,0.4991390996624195,0.0,0.42869275721455113,0.0,0.41404519154101554,0.0,0.44006214857665354,0.0,0.5558362811532925,0.0,0.5041152517770873,0.0,0.456819138670284,0.0,0.4472070950568096,0.0,0.5630257170916049,0.0,0.36920262818743355,0.0,0.44775140556422044
CPI_sqd,300,17.23426842689514,0.1323386839609204,0.0,7.730446271174563e-12,0.0,0.999999999999193,0.0,5.233107624369764e-10,0.0,0.8541363828458017,0.0,3.522132575825898e-15,0.0,1.3407561069163894e-06,0.0,0.9999999999251877,0.0,8.977087982823713e-07,0.0,0.9922724202364389,0.0,0.0,0.0,2.3861315761798523e-28,0.0,1.2268782816858203e-75,0.0,0.9999999997373467,0.0,1.0,0.0,1.0,1.0,3.2904976622426324e-17,0.0,2.807329090448644e-07,0.0,0.00131251257252724,0.0,2.7551201336382434e-25,0.0,1.0,0.0,1.9025556131948565e-10,0.0,0.9909654763719079,0.0,1.4572910222938774e-28,0.0,1.0,0.0,0.5422201737019169,0.0,1.0,0.0,0.9999999999990841,0.0,1.586122299289042e-18,0.0,0.1217819021129995,0.0,8.685951469157402e-17,0.0,4.082593355638777e-06,0.0,0.9999999854909236,0.0,0.9979772276456876,0.0,4.4973604773578384e-33,0.0,0.9999999912077638,0.0,1.0,0.0,1.0,0.0,3.491986602631001e-05,0.0,7.76776654635222e-267,0.0,0.9999789709694109,0.0,0.002719170387936902,0.0,4.357149563432651e-15,0.0,1.0307135097680586e-50,0.0,0.9999999997171451,0.0,3.342236675314457e-29,0.0,0.9872586595297951,0.0,0.00011549044978588458,0.0,1.0,0.0,0.0,0.0,7.567838693812568e-224
S-CPI,300,30.031641244888306,0.1323386839609204,0.0,0.1704885465693985,0.0,0.9320360696015446,0.0,0.3253519847577475,0.0,0.16585116832852898,0.0,0.4651668129453677,0.0,0.2246134147389831,0.0,0.2551380375878223,0.0,0.33759095845287934,0.0,0.8686217256979802,0.0,0.28050482996574677,0.0,0.23075198705489952,0.0,0.10674437388366587,0.0,0.3333966917984859,0.0,0.2438831603947345,0.0,0.5834301139783789,1.0,0.05648367373761542,0.0,0.07182578665755004,0.0,0.8707118567659009,0.0,0.2546318747468656,0.0,0.7467606327453334,0.0,0.22817811373819952,0.0,0.8490054502162216,0.0,0.4397119905816747,0.0,0.8231901618698453,0.0,0.8881906247632338,0.0,0.9519712910407726,0.0,0.7627311845670777,0.0,0.9043408184990389,0.0,0.745587431392496,0.0,0.49912713777566314,0.0,0.6088407476244461,0.0,0.3195614445757246,0.0,0.459957894700219,0.0,0.16496144813027575,0.0,0.7475528980950371,0.0,0.22578349975604334,0.0,0.7534682882087153,0.0,0.6885314084924632,0.0,0.48460842659369086,0.0,0.7703071899946682,0.0,0.516400761150972,0.0,0.4317828808843628,0.0,0.07376569246903597,0.0,0.9361633018425787,0.0,0.7089921408090328,0.0,0.3531639929503504,0.0,0.4601291795053798,0.0,0.5407778096073774,0.0,0.07948620621095348,0.0,0.27134119147113744
S-CPI_sqrt,300,30.032750606536865,0.1323386839609204,0.0,0.4879706180956283,0.0,0.5078468380786336,0.0,0.49760487500817835,0.0,0.4968505813164443,0.0,0.49852902142761235,0.0,0.4972081563439418,0.0,0.49918090694690986,0.0,0.4938509481534355,0.0,0.512936132531192,0.0,0.4805060806744927,0.0,0.4970200829997583,0.0,0.4851569084855053,0.0,0.4939286198367122,0.0,0.4900371806935823,0.0,0.5119104384400994,1.0,0.12632661107534554,0.0,0.4863933975991286,0.0,0.5282366649055349,0.0,0.48984364921794343,0.0,0.5106165901776345,0.0,0.4936514330483383,0.0,0.5033377024222628,0.0,0.4973275967698127,0.0,0.5538892157861183,0.0,0.508352562348692,0.0,0.5091651305671021,0.0,0.5003031579416075,0.0,0.5290029761086856,0.0,0.5104271800862414,0.0,0.49631765554206064,0.0,0.489485533194882,0.0,0.4943064822387077,0.0,0.49532822599241794,0.0,0.47014178694663694,0.0,0.5173489777044096,0.0,0.5012490510786447,0.0,0.5043046266182323,0.0,0.5095035095644557,0.0,0.497372349480599,0.0,0.4985090499157823,0.0,0.4991576772437228,0.0,0.5000922228562262,0.0,0.49224024496045304,0.0,0.5114141128528407,0.0,0.5001922203382172,0.0,0.5012050709020163,0.0,0.5066214365683703,0.0,0.5041277238107886,0.0,0.4725559526430635,0.0,0.4866302787739774
S-CPI_n,300,30.032317876815796,0.1323386839609204,0.0,0.4464484786407815,0.0,0.5846586251147269,0.0,0.5180365945061599,0.0,0.4585385218552644,0.0,0.4847800694812322,0.0,0.4751580672147432,0.0,0.4632027363042469,0.0,0.4998007178588693,0.0,0.5937786841393181,0.0,0.3603457202722773,0.0,0.43856526509366134,0.0,0.38973059460948944,0.0,0.4192094849700069,0.0,0.48214367684306664,0.0,0.5053027458495054,1.0,0.08462317835489391,0.0,0.42160221649306073,0.0,0.6626970133593352,0.0,0.44825980014257105,0.0,0.6143189202192736,0.0,0.4461690368219635,0.0,0.5148491316630198,0.0,0.5278812018816657,0.0,0.7591539936453862,0.0,0.5653924569673222,0.0,0.5722530155128316,0.0,0.532919121258339,0.0,0.5240312263190062,0.0,0.5483824294013339,0.0,0.48322202494617694,0.0,0.47715452219191556,0.0,0.47907446263522724,0.0,0.4549318642032369,0.0,0.3747105752941646,0.0,0.6298261493506103,0.0,0.46584352855046895,0.0,0.5780507952949159,0.0,0.5662011701051683,0.0,0.47045691688084595,0.0,0.5215996624471332,0.0,0.46024928588978187,0.0,0.5047846346434409,0.0,0.4096785303232724,0.0,0.5597450371591941,0.0,0.4994989049720223,0.0,0.4298437406037462,0.0,0.5245216588486372,0.0,0.48763205035881174,0.0,0.3093613688404562,0.0,0.3562982724144404
S-CPI_bt,300,30.2124240398407,0.1323386839609204,0.0,0.38050724577617334,0.0,0.5926964563105672,0.0,0.44844209727727286,0.0,0.4826783445741093,0.0,0.49199032766170264,0.0,0.4621804792257549,0.0,0.4844002830413158,0.0,0.46877470621656653,0.0,0.6036387869961782,0.0,0.3061684158259339,0.0,0.4169609609658744,0.0,0.3548237568472472,0.0,0.3997033553150207,0.0,0.3915715380997502,0.0,0.4777740777033929,1.0,0.0001494044568897497,0.0,0.3766379527958652,0.0,0.7406226312404394,0.0,0.4284876269345098,0.0,0.5656143220949693,0.0,0.46155502419981664,0.0,0.5200409820448262,0.0,0.49922264907422453,0.0,0.8977195408490763,0.0,0.5886436394403388,0.0,0.6050026404608396,0.0,0.5058943108704389,0.0,0.6264637773153813,0.0,0.5229472588851591,0.0,0.45731404874080805,0.0,0.4037332221342269,0.0,0.5460285295006674,0.0,0.43190686272558043,0.0,0.31585381477571606,0.0,0.7011020579459468,0.0,0.41563623614532075,0.0,0.5330709834991234,0.0,0.6390692774080198,0.0,0.49899948117451515,0.0,0.49713714664526026,0.0,0.4907749921319081,0.0,0.4575740092066289,0.0,0.3795175732388752,0.0,0.604390893542838,0.0,0.5360841244814841,0.0,0.30449822106765434,0.0,0.5382126563000202,0.0,0.49592619819976264,0.0,0.24579275742146284,0.0,0.37709033772289835
