method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,15.748239278793335,0.5330765155610042,0.0,0.7735407744751934,0.0,0.9224045031064507,1.0,0.9954128668983282,0.0,0.9579256653519569,0.0,0.6774961721076572,0.0,0.959257849514269,0.0,0.5579166298521654,0.0,0.8394009255056442,0.0,0.8293307380572699,0.0,0.9610490003727586,0.0,0.9960074260832905,0.0,0.6957307321677031,0.0,0.9905116612411613,0.0,0.958938434532449,0.0,0.995784280286535,0.0,0.9976327061315584,0.0,0.9639979221453117,0.0,0.9467082361073261,0.0,0.9847560147881745,0.0,0.9545674261287949,0.0,0.9889706565530302,0.0,0.9760134758538769,0.0,0.9941383043315846,0.0,0.9339830110012398,0.0,0.9425646624586476,0.0,0.9021246464390007,0.0,0.9669514873205243,0.0,0.9861391822074573,0.0,0.9766204494202047,0.0,0.9995180798384722,0.0,0.9869287980757575,0.0,0.5416163126491186,0.0,0.9261048031072305,0.0,0.8693251832477822,0.0,0.9891918446261753,0.0,0.9272182982563816,0.0,0.3495404990006,0.0,0.4460142879743205,0.0,0.9892110417223675,0.0,0.9979641206939409,0.0,0.4593340817225493,0.0,0.7171791539653127,0.0,0.43245168343827634,0.0,0.9722005567202435,0.0,0.9251713020602865,0.0,0.32490346353664146,0.0,0.9848219436793064,0.0,0.798381530563959,0.0,0.19247608396126537,0.0,0.936879105812728
CPI,300,4.1429243087768555,0.5330765155610042,0.0,0.746733967941979,0.0,0.4059247892331082,1.0,0.14514490516731282,0.0,0.1107640386937771,0.0,0.6655257331888701,0.0,0.3566854272076443,0.0,0.6779205356594006,0.0,0.4926727612173639,0.0,0.3992615135988706,0.0,0.5749764918865957,0.0,0.030806148753928713,0.0,0.6526449082058311,0.0,0.8087681934825706,0.0,0.02596981475556287,0.0,0.31770333054578503,0.0,0.39953682145196945,0.0,0.7220021951098546,0.0,0.9341873862849681,0.0,0.2068442199316236,0.0,0.8730657484282106,0.0,0.2540940422952782,0.0,0.482629055542955,0.0,0.5167187000693984,0.0,0.599542632207299,0.0,0.2994650312915815,0.0,0.6867237054954283,0.0,0.9215061203186419,0.0,0.12022977631559983,0.0,0.23841628314957453,0.0,0.9239776901370792,0.0,0.9472878139242841,0.0,0.3164011048617268,0.0,0.2971900288643118,0.0,0.1715260130796722,0.0,0.0749998461753807,0.0,0.33557780194220965,0.0,0.20545630791119773,0.0,0.6213440446203292,0.0,0.14139631561043786,0.0,0.048389417836108436,0.0,0.7987027173097361,0.0,0.49894672864520095,0.0,0.22923316101202423,0.0,0.08644367214052989,0.0,0.42562898878628397,0.0,0.4184823370930304,0.0,0.6433142639855003,0.0,0.4328111249994764,0.0,0.14780901520270373,0.0,0.2212537923040982
CPI_sqrt,300,4.136109113693237,0.5330765155610042,0.0,0.48942770262877683,0.0,0.5024145889036673,1.0,0.4865506157330587,0.0,0.5076655526371292,0.0,0.5248526867173816,0.0,0.5039156669243248,0.0,0.5249949491484057,0.0,0.5328256248133673,0.0,0.5289987242491064,0.0,0.44744116749609236,0.0,0.44708527719933466,0.0,0.5508551344460838,0.0,0.5102375527106008,0.0,0.493033548597978,0.0,0.48415503741255106,0.0,0.5074626385529004,0.0,0.5131785114187555,0.0,0.5000842604440848,0.0,0.4613020645130722,0.0,0.5497093461281611,0.0,0.502725314417554,0.0,0.4950908363499044,0.0,0.4869291139340923,0.0,0.4872150756634107,0.0,0.49073826042072616,0.0,0.5226400861572629,0.0,0.549474454264818,0.0,0.4920387927896746,0.0,0.5139042421580154,0.0,0.530186584669983,0.0,0.5381688884007092,0.0,0.48416290419421537,0.0,0.4867183259780159,0.0,0.4748767934846745,0.0,0.4815321370610371,0.0,0.5134294520712366,0.0,0.5028169826379856,0.0,0.46887669670721216,0.0,0.4861544355955265,0.0,0.42601441941904356,0.0,0.5016753221128631,0.0,0.5467034841939091,0.0,0.48917414583683655,0.0,0.5103845188269395,0.0,0.4933380251768099,0.0,0.5498017028071736,0.0,0.5105341849022972,0.0,0.4827597936189106,0.0,0.4680786443357228,0.0,0.4718266611598947
CPI_n,300,4.130347013473511,0.5330765155610042,0.0,0.6381520959889888,0.0,0.3526102113303511,1.0,0.4632373452037744,0.0,0.5440038888676819,0.0,0.7713186257699551,0.0,0.652037789636966,0.0,0.5799235736073636,0.0,0.6956789908026563,0.0,0.3986443389366612,0.0,0.44816496243551496,0.0,0.2739392140028532,0.0,0.4508959832118744,0.0,0.5301411571834359,0.0,0.557534792690052,0.0,0.4635179969922912,0.0,0.6762794564275352,0.0,0.3087246495711776,0.0,0.411054705906784,0.0,0.3687636913975315,0.0,0.7768912993554815,0.0,0.46982821804872266,0.0,0.4123656925822108,0.0,0.5650642239449775,0.0,0.47387268654263204,0.0,0.6067643096088777,0.0,0.6240320795749617,0.0,0.7186126159915724,0.0,0.5570301513745622,0.0,0.2801823691595284,0.0,0.8119741941993672,0.0,0.866769034878784,0.0,0.33072638333765253,0.0,0.5045364511466738,0.0,0.23627081415188572,0.0,0.44395108574346503,0.0,0.5015312644443585,0.0,0.2881958471793028,0.0,0.3985515035084926,0.0,0.49139898175728514,0.0,0.4284748076115974,0.0,0.5813256298591863,0.0,0.33423225256098665,0.0,0.20783600730013263,0.0,0.39978961583245465,0.0,0.48058890186448266,0.0,0.6456288906636007,0.0,0.5781379567381582,0.0,0.5049323756521761,0.0,0.33162448593255434,0.0,0.40255423187331973
CPI_bt,300,4.312117099761963,0.5330765155610042,0.0,0.7481021857629921,0.0,0.4703272235176934,1.0,0.434388983902268,0.0,0.7253037385033201,0.0,0.8873980890650652,0.0,0.6188350486567618,0.0,0.5856404126263962,0.0,0.3036547326203818,0.0,0.6148789010770661,0.0,0.44108030853560926,0.0,0.6009337263972341,0.0,0.5777227678409151,0.0,0.6869453440503432,0.0,0.053711632061691016,0.0,0.12071777488572699,0.0,0.5125062246202192,0.0,0.49080772409015705,0.0,0.422036824575611,0.0,0.11786678894695729,0.0,0.9925979294563076,0.0,0.5267369641401021,0.0,0.23958035432059394,0.0,0.4285626979639514,0.0,0.6470654441647129,0.0,0.19146376320687952,0.0,0.39079738509017764,0.0,0.5671185303960133,0.0,0.6875949789044757,0.0,0.4044732245669197,0.0,0.9073060022855235,0.0,0.8665882381237489,0.0,0.627220680026974,0.0,0.4478973437014836,0.0,0.4882315666634382,0.0,0.19070307766443917,0.0,0.3755952487790643,0.0,0.15113844697479667,0.0,0.4156598517930843,0.0,0.09141961233318174,0.0,0.11666555059492312,0.0,0.2376564378224535,0.0,0.7124626880530953,0.0,0.45838401637958903,0.0,0.03897942229173127,0.0,0.4506905703862105,0.0,0.5472622493654067,0.0,0.5795325774593932,0.0,0.6155484297820738,0.0,0.26841349893281563,0.0,0.47410192662163053
CPI_sqd,300,4.311318635940552,0.5330765155610042,0.0,4.804187912344932e-285,0.0,0.9999999999999964,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9999999999990695,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3010654206949781e-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.221235082474799e-39,0.0,6.249040116631469e-10,0.0,1.0,0.0,0.9187122023536141,0.0,0.0013130296131835422,0.0,0.0,0.0,1.0521210264238601e-10,0.0,1.0,0.0,1.0,0.0,5.542745340511019e-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.6174624841672872e-208,0.0,6.233114457427171e-44,0.0,0.0,0.0,0.0,0.0,0.6450970164340162,0.0,3.9447856118452134e-47,0.0,1.0893841126754906e-233,0.0,0.0,0.0,5.217380592841813e-256,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0189652047092575e-134,0.0,3.4714945449098656e-71,0.0,1.8841017400297804e-10,0.0,0.0,0.0,1.629863588634046e-39,0.0,0.0,0.0,4.714034215166659e-09
S-CPI,300,4.3025290966033936,0.5330765155610042,0.0,0.8996486675692892,0.0,0.5921230481471343,1.0,0.2199601725070457,0.0,0.8028576372038023,0.0,0.9971231266176781,0.0,0.7553505505070608,0.0,0.9143077481611486,0.0,0.9508946871529325,0.0,0.9586310601808538,0.0,0.3843632934330515,0.0,0.5305767336271952,0.0,0.8444394508537141,0.0,0.8351107589210589,0.0,0.17130498697069413,0.0,0.4268801180161616,0.0,0.8372146723393633,0.0,0.2847261926864728,0.0,0.5216749465792972,0.0,0.09516686526181295,0.0,0.9965570096412141,0.0,0.8122569488843443,0.0,0.5939348430258742,0.0,0.432303217361699,0.0,0.6051177834208599,0.0,0.5184200840895341,0.0,0.9066390189565117,0.0,0.9728824800310532,0.0,0.5205857704213253,0.0,0.07345415839196702,0.0,0.998771696295412,0.0,0.9924772525379666,0.0,0.42896150749081985,0.0,0.19056714357945614,0.0,0.25034757100251,0.0,0.1398258011840932,0.0,0.5475584113519085,0.0,0.3225529307447981,0.0,0.2915969413314684,0.0,0.14600981873546276,0.0,0.6477834400789231,0.0,0.6793279862194535,0.0,0.880916651278702,0.0,0.5019635060807446,0.0,0.2964074859406619,0.0,0.7281525362053947,0.0,0.9317034926450893,0.0,0.6731586894971433,0.0,0.6526919639315261,0.0,0.1706585882488142,0.0,0.627509677857446
S-CPI_sqrt,300,4.303331136703491,0.5330765155610042,0.0,0.5415539445757963,0.0,0.5083863388097766,1.0,0.47752618238585637,0.0,0.5670135430240713,0.0,0.5977552334443642,0.0,0.5251527397013983,0.0,0.5313406835555541,0.0,0.5228833712587269,0.0,0.5386521281592092,0.0,0.50678671231851,0.0,0.504308071970783,0.0,0.5374759091815794,0.0,0.528819349973339,0.0,0.48559871950195765,0.0,0.4858849915942372,0.0,0.5332158550436654,0.0,0.46933455639578203,0.0,0.4766339924220286,0.0,0.44970326155048185,0.0,0.6107038129291743,0.0,0.5153933322043083,0.0,0.5187585251984501,0.0,0.4814634127768948,0.0,0.4956287597759845,0.0,0.5255112517291233,0.0,0.541971437731511,0.0,0.5337937035577285,0.0,0.47724265566482715,0.0,0.46403368753586294,0.0,0.6042001308462658,0.0,0.6187254313137598,0.0,0.5111497450225579,0.0,0.48497944621149064,0.0,0.4866142352931168,0.0,0.4597893515764559,0.0,0.5074370519911605,0.0,0.47464010514022476,0.0,0.4948317187855225,0.0,0.4807525554311882,0.0,0.513502169883733,0.0,0.5469730353183392,0.0,0.5646557669131878,0.0,0.4844927231665599,0.0,0.5046464895712821,0.0,0.4950943643154845,0.0,0.5738656610534877,0.0,0.5163219883916543,0.0,0.5009852381921454,0.0,0.46506152334454853,0.0,0.5055356059838761
S-CPI_n,300,4.296550750732422,0.5330765155610042,0.0,0.7657183822788696,0.0,0.5094144921906343,1.0,0.40501670489118424,0.0,0.7169900296515213,0.0,0.8311895329305066,0.0,0.6293995537415786,0.0,0.6289928466967066,0.0,0.738441035904483,0.0,0.6959015851655063,0.0,0.426030318343639,0.0,0.5552342674471903,0.0,0.5142266426709527,0.0,0.6769489911137956,0.0,0.4020968302291379,0.0,0.3580426510098206,0.0,0.7402609684968731,0.0,0.3421149398569865,0.0,0.3936973952245569,0.0,0.2853708689143456,0.0,0.909995329669082,0.0,0.5456601469430044,0.0,0.665463620103127,0.0,0.5271103712965082,0.0,0.5781901105374503,0.0,0.5448825553046839,0.0,0.7804194851006769,0.0,0.7988644373298156,0.0,0.4064164963099115,0.0,0.23765083718919094,0.0,0.9366326248001597,0.0,0.923379821400611,0.0,0.5153327003551503,0.0,0.3856917415778574,0.0,0.5043641171661164,0.0,0.3018932680653366,0.0,0.4111246103701842,0.0,0.39500604262093897,0.0,0.5014285100011366,0.0,0.2728830520116643,0.0,0.36184744109711114,0.0,0.5817533958964725,0.0,0.8196781237280337,0.0,0.5505996775759152,0.0,0.4561809911465286,0.0,0.5647609146269201,0.0,0.8416341389024125,0.0,0.6218291453136696,0.0,0.47112768417607614,0.0,0.2930437039184403,0.0,0.5430468914012372
S-CPI_bt,300,4.487102270126343,0.5330765155610042,0.0,0.5544862284561535,0.0,0.5683819393816502,1.0,0.3173545975260568,0.0,0.8948105237322437,0.0,0.985737917342645,0.0,0.6361362731811955,0.0,0.8581849212677892,0.0,0.9620277841257677,0.0,0.7011273849920371,0.0,0.35890117643913333,0.0,0.30199890842426913,0.0,0.7127222199132349,0.0,0.8713654529156339,0.0,0.3348781538203583,0.0,0.3732501502110446,0.0,0.8482539771198412,0.0,0.12519674048975082,0.0,0.438969804633507,0.0,0.12708893501689733,0.0,0.9986154785226742,0.0,0.6008056181959871,0.0,0.7367081741176924,0.0,0.3665790222823912,0.0,0.5086604829642399,0.0,0.726079509423584,0.0,0.8554029529880139,0.0,0.8832277166769307,0.0,0.40853498453639503,0.0,0.11615955519450694,0.0,0.9978153952486487,0.0,0.9980382186426042,0.0,0.8083658685014938,0.0,0.4096025033426398,0.0,0.24994617010050524,0.0,0.3044351716501215,0.0,0.6097117709019658,0.0,0.269347576194247,0.0,0.6557857145998074,0.0,0.14203074802854476,0.0,0.4942176857492866,0.0,0.4823698673995576,0.0,0.9693237591818392,0.0,0.5324995533451427,0.0,0.33605934513553426,0.0,0.654713980465955,0.0,0.9862293019607208,0.0,0.7808485707913423,0.0,0.6431389897722548,0.0,0.08427317445259563,0.0,0.45717029986417357
