method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,121.85566186904907,0.784045166660769,0.0,0.5440441887047511,0.0,0.801764378914051,0.0,0.9993671535790214,0.0,0.6200296863361678,0.0,0.12253040555241623,0.0,0.19553816733804896,0.0,0.1294529499026038,0.0,0.8910602406826482,0.0,0.1285344198832541,0.0,0.22557083178205417,0.0,0.2806873319747093,0.0,0.353425227170018,0.0,0.9915982546688467,0.0,0.24783940877740696,0.0,0.1385892205983078,0.0,0.0044990296077616065,0.0,0.9855430339055901,0.0,0.8696276615613855,0.0,0.8855333076065149,0.0,0.9999938527049421,0.0,0.5446699867147559,0.0,0.8856326078513899,0.0,0.3510321214700788,0.0,0.2949175400238151,0.0,0.25420225850897904,0.0,0.779722400490142,0.0,0.3499273691048689,0.0,0.907132987302761,0.0,0.49267834967516355,0.0,0.07484047428429952,0.0,0.12756190981211724,0.0,0.6266303197597823,0.0,0.47492227859079184,0.0,0.24793250694442714,0.0,0.866785148427412,0.0,0.10132983274541763,0.0,0.0013735692156990886,0.0,0.5953031260300544,1.0,0.12039081378477112,0.0,0.9979724243570929,0.0,0.43904139737532877,0.0,0.46201508762058174,0.0,0.9122001668125905,0.0,0.16110924218470757,0.0,0.353568201589624,0.0,0.07526760358063833,0.0,0.9547296201539754,0.0,0.17574766863948232,0.0,0.28337485986689204,0.0,0.05649610972286656
CPI,300,6.491125106811523,0.784045166660769,0.0,0.07237688589383973,0.0,0.2825601120223964,0.0,0.798347185344325,0.0,0.6683657295039231,0.0,0.598063417744714,0.0,0.2202869736200787,0.0,0.28645073195432613,0.0,0.8671642044444219,0.0,0.9124117313922586,0.0,0.22246297196950704,0.0,0.6528968042864418,0.0,0.724602463140954,0.0,0.5233060193512326,0.0,0.19616311547935533,0.0,0.1815292128566377,0.0,0.2242790476118971,0.0,0.04096016115703554,0.0,0.786782655840264,0.0,0.8658578996237853,0.0,0.6505655606347308,0.0,0.052694406235809635,0.0,0.20479476223918303,0.0,0.48394039178422105,0.0,0.6144744105764538,0.0,0.541488751293747,0.0,0.032974859353491745,0.0,0.17128602760596978,0.0,0.948740657963597,0.0,0.46069399670501626,0.0,0.011643944501319862,0.0,0.9675826949153095,0.0,0.6554328255737416,0.0,0.27901778762886786,0.0,0.7709715335030555,0.0,0.26168427164289404,0.0,0.7281374987038434,0.0,0.7546214225512415,0.0,0.8952650292012819,1.0,0.026001203991322587,0.0,0.888120765984155,0.0,0.09062880871691448,0.0,0.9187974717486684,0.0,0.0423649276715426,0.0,0.27405989023110394,0.0,0.4602158440698528,0.0,0.25025798259631704,0.0,0.9179121051023812,0.0,0.24922081292840803,0.0,0.8158698124998303,0.0,0.9093699855293806
CPI_sqrt,300,6.486105442047119,0.784045166660769,0.0,0.5011424857035789,0.0,0.49179841220051806,0.0,0.5058912065058013,0.0,0.501354288989938,0.0,0.49994318561198625,0.0,0.5018340897293952,0.0,0.499035990406297,0.0,0.5010081250451844,0.0,0.4997061855070943,0.0,0.49590436694608725,0.0,0.498965237001731,0.0,0.49947538516374546,0.0,0.5017828729474643,0.0,0.4985435104283667,0.0,0.4988261183043792,0.0,0.49967594699686085,0.0,0.49955151379237933,0.0,0.5032188646466951,0.0,0.5022589941205411,0.0,0.4998278973427118,0.0,0.4975995004194159,0.0,0.4976209380438392,0.0,0.4990493655288016,0.0,0.5021121312860601,0.0,0.4996537717606888,0.0,0.49580944920191006,0.0,0.4947501008404053,0.0,0.5098030881150032,0.0,0.5017930549121731,0.0,0.49555113475993806,0.0,0.5029062561456471,0.0,0.5016891251974763,0.0,0.4991268272825757,0.0,0.5003275844064605,0.0,0.49870162435240095,0.0,0.5012078954332034,0.0,0.4996053229301402,0.0,0.5016155244612824,1.0,0.5010506208356039,0.0,0.5044488611714747,0.0,0.5015770200764178,0.0,0.49817776858831225,0.0,0.5048798454871362,0.0,0.5060454181170219,0.0,0.5002214041329974,0.0,0.4998042141761295,0.0,0.5028939434400996,0.0,0.49665259763949077,0.0,0.5001648858908954,0.0,0.49977999354063024
CPI_n,300,6.490843772888184,0.784045166660769,0.0,0.4908689344529839,0.0,0.46497575492327037,0.0,0.514377802438107,0.0,0.5067443691278032,0.0,0.5104254066745127,0.0,0.46442637117487817,0.0,0.46798934542707177,0.0,0.540727972781703,0.0,0.5051588305324134,0.0,0.4981139475010645,0.0,0.5292337838714423,0.0,0.49788683622050284,0.0,0.5111428236128513,0.0,0.5030626311880365,0.0,0.49131203224479025,0.0,0.5127422286856548,0.0,0.47545563095964993,0.0,0.504255432322537,0.0,0.5676939164767549,0.0,0.5554580555716737,0.0,0.4659552164877545,0.0,0.515850532076965,0.0,0.49417764019408905,0.0,0.509218809040704,0.0,0.4788298910211952,0.0,0.4816588563539377,0.0,0.4415553083429811,0.0,0.5186928768187801,0.0,0.5098380841712682,0.0,0.4950247464927342,0.0,0.532255864216388,0.0,0.5025769020591969,0.0,0.48984110640794015,0.0,0.5634212535045914,0.0,0.565456286519705,0.0,0.4984118300920388,0.0,0.507428201882121,0.0,0.5041805740672098,1.0,0.301099434602661,0.0,0.5302496154380162,0.0,0.5017649289680057,0.0,0.506066626221011,0.0,0.5469231321560013,0.0,0.4985683776146546,0.0,0.49261658964023736,0.0,0.46183175065814996,0.0,0.5495079067256352,0.0,0.4888108247584856,0.0,0.5044105135323771,0.0,0.4965068754655143
CPI_bt,300,6.65419602394104,0.784045166660769,0.0,0.450403890536398,0.0,0.48241271157351534,0.0,0.5360288378290734,0.0,0.5026074467593261,0.0,0.511306332718088,0.0,0.4984116675901682,0.0,0.4959311945376287,0.0,0.48777632625721573,0.0,0.5061373772341422,0.0,0.48828012009328925,0.0,0.5173237559581425,0.0,0.5019661710108985,0.0,0.5180118172233772,0.0,0.5162128894086653,0.0,0.5062160909864144,0.0,0.4950880768297976,0.0,0.49075353395900495,0.0,0.5094119179993302,0.0,0.5516295151919285,0.0,0.4578154292315212,0.0,0.513067913937249,0.0,0.5107246237624374,0.0,0.5166390408562899,0.0,0.3976371687838465,0.0,0.4930474519354366,0.0,0.4772823172327499,0.0,0.41870798980068846,0.0,0.5604778526696206,0.0,0.5026495545665804,0.0,0.38168472024293276,0.0,0.4893097227491138,0.0,0.49516397873599094,0.0,0.4832461808949536,0.0,0.5615224682197584,0.0,0.4748048577424583,0.0,0.48870097325894574,0.0,0.48676153594428817,0.0,0.3694115035980714,1.0,0.22775163039734508,0.0,0.5127627942232955,0.0,0.4823331825985656,0.0,0.5009701476781362,0.0,0.5167093845682643,0.0,0.500495959545596,0.0,0.4991888339186946,0.0,0.5195142238615048,0.0,0.5271572942007389,0.0,0.46220173003940457,0.0,0.5106185554857845,0.0,0.5039333614211925
CPI_sqd,300,6.676293134689331,0.784045166660769,0.0,0.00047420551282327034,0.0,8.340780823321049e-12,0.0,0.9999998750543968,0.0,0.0037286391652239094,0.0,0.13908297263745256,0.0,1.751049236772963e-24,0.0,0.06406593561673705,0.0,0.9999999999867472,0.0,0.021945251624850684,0.0,4.600266659480381e-59,0.0,0.9999968766439361,0.0,0.1100873185247519,0.0,0.9999977129224906,0.0,1.8597682256743744e-07,0.0,0.05098964953320805,0.0,0.9999601437890694,0.0,0.882410808451036,0.0,1.0,0.0,0.7058686752259353,0.0,0.0020394806490809077,0.0,0.8157726774140325,0.0,1.81766613522695e-08,0.0,0.9947711231275472,0.0,2.9026991788110894e-52,0.0,0.9911188733765712,0.0,0.0030004576288762434,0.0,7.848784624516371e-60,0.0,2.6722488907293127e-08,0.0,0.03718737285302694,0.0,4.676071172107354e-60,0.0,1.0,0.0,0.3277034619904322,0.0,0.16635653901223862,0.0,1.0,0.0,6.101194939998486e-157,0.0,2.9602687792400633e-06,0.0,0.7567046933578543,0.0,0.9997751861072535,1.0,0.0,0.0,0.9999994058377761,0.0,3.139695989106648e-16,0.0,0.047384191391365675,0.0,0.8744908800234318,0.0,0.030916488904467385,0.0,0.0037681392671370414,0.0,0.9999999923637632,0.0,0.8758184553312457,0.0,0.007107278262421855,0.0,0.9999578861093108,0.0,0.9919438023686951
S-CPI,300,18.229485988616943,0.784045166660769,0.0,0.26395421315405265,0.0,0.40681772256324333,0.0,0.9281979122997528,0.0,0.7903120051639441,0.0,0.7007673781564083,0.0,0.25511543340347265,0.0,0.31884225223517704,0.0,0.9582063720094376,0.0,0.569010648926227,0.0,0.22960361819508612,0.0,0.8786576332367271,0.0,0.6282349564535928,0.0,0.8260538782263487,0.0,0.3350924178509942,0.0,0.19504923196542379,0.0,0.2496942404729584,0.0,0.1646573977361373,0.0,0.9762548117158889,0.0,0.9672922787134534,0.0,0.9085939190373936,0.0,0.40256994113652733,0.0,0.3417441007692773,0.0,0.37297053949332887,0.0,0.5909410268074337,0.0,0.43667420902522425,0.0,0.13372607838584644,0.0,0.05785385672266234,0.0,0.8020641288289021,0.0,0.20553762574098616,0.0,0.1376187129207314,0.0,0.9814218876337304,0.0,0.7524694720604939,0.0,0.1900749341222876,0.0,0.9412680655346549,0.0,0.5846264117456614,0.0,0.5791917730447249,0.0,0.632973918970041,0.0,0.4375397203224821,1.0,0.05584311513046104,0.0,0.9875821573535676,0.0,0.3822465779912438,0.0,0.41712751427115746,0.0,0.9873502007288799,0.0,0.5014644594336574,0.0,0.2381979104409176,0.0,0.5424308009537031,0.0,0.8795152290403178,0.0,0.28936411946418605,0.0,0.9436760265554625,0.0,0.6317343164959262
S-CPI_sqrt,300,18.2236967086792,0.784045166660769,0.0,0.4959302184595563,0.0,0.4969616601150915,0.0,0.5016924478673707,0.0,0.5020038099396155,0.0,0.5011774745618447,0.0,0.49478896620825236,0.0,0.4971152180765981,0.0,0.5046208841243193,0.0,0.50076391069931,0.0,0.49881518344105646,0.0,0.503158358183062,0.0,0.5012708893883908,0.0,0.5021790470838697,0.0,0.4958527891122738,0.0,0.49737246889001097,0.0,0.5006847163314334,0.0,0.49639659239512535,0.0,0.5038297651479713,0.0,0.5031500635412286,0.0,0.5048666540933501,0.0,0.4974035721163967,0.0,0.5010126285298219,0.0,0.5001655057895904,0.0,0.49628115084392593,0.0,0.498438276522706,0.0,0.4981533384201651,0.0,0.4890554858884305,0.0,0.5057097264528014,0.0,0.49747754083402246,0.0,0.49443333760201935,0.0,0.5082991895437747,0.0,0.5017725043346772,0.0,0.49798221103857865,0.0,0.5090920875259805,0.0,0.4974694588143751,0.0,0.5014187044712973,0.0,0.5005551723786817,0.0,0.49712985854827213,1.0,0.4831638375257794,0.0,0.5050983316509724,0.0,0.49845183671100507,0.0,0.49724375968404344,0.0,0.5075155635425707,0.0,0.5023137752309491,0.0,0.4996596665351476,0.0,0.5007076488167517,0.0,0.5031023596120334,0.0,0.4977448208739248,0.0,0.5019382212234755,0.0,0.5000181973829415
S-CPI_n,300,18.237712383270264,0.784045166660769,0.0,0.44840365941298876,0.0,0.47362910228342375,0.0,0.5332957116410891,0.0,0.5328273155694186,0.0,0.5096114227725718,0.0,0.4709200553562562,0.0,0.4845246926885098,0.0,0.5322746337435897,0.0,0.50408917467798,0.0,0.4966650718802048,0.0,0.5242703682647776,0.0,0.5000506102670439,0.0,0.5231554194124113,0.0,0.4693001915047973,0.0,0.48496503545203323,0.0,0.4851370700399396,0.0,0.47099638721201803,0.0,0.5479150085745056,0.0,0.5328372456721978,0.0,0.56071057528414,0.0,0.48537874485572496,0.0,0.5061476261140805,0.0,0.5115468844718988,0.0,0.5207456309479718,0.0,0.4964416635971665,0.0,0.4853816028677559,0.0,0.431538479666283,0.0,0.5386364603388372,0.0,0.46630212686631617,0.0,0.4173982548476823,0.0,0.5678819887541968,0.0,0.5272043105382178,0.0,0.48151969476153555,0.0,0.567324010118085,0.0,0.5025965964259556,0.0,0.506668729265274,0.0,0.49869621372194206,0.0,0.6063094615790008,1.0,0.4324098303262822,0.0,0.5540914482674801,0.0,0.5042673915314747,0.0,0.5100694062091219,0.0,0.5717356804652244,0.0,0.48662574242554707,0.0,0.49774872442258666,0.0,0.5032970234283616,0.0,0.535801081147838,0.0,0.48984927032021225,0.0,0.5198114255770079,0.0,0.5001394259206547
S-CPI_bt,300,18.432164192199707,0.784045166660769,0.0,0.45672068176060504,0.0,0.48553525147055004,0.0,0.5241118778289305,0.0,0.5275473842333831,0.0,0.508492653903536,0.0,0.4574710714447361,0.0,0.4796050006814045,0.0,0.5469637532643539,0.0,0.5066345431986264,0.0,0.47201763197049595,0.0,0.5356916022382522,0.0,0.5074111213366419,0.0,0.526431035672568,0.0,0.4582441994721203,0.0,0.49177778165978764,0.0,0.4855677170184554,0.0,0.49178487052019987,0.0,0.5447231725882222,0.0,0.5226749501298492,0.0,0.5468339570683445,0.0,0.47342122902461176,0.0,0.4895726244592126,0.0,0.49798978286914186,0.0,0.4463169138495078,0.0,0.4985713702007652,0.0,0.4625819241469839,0.0,0.4184530322069435,0.0,0.5580189871897033,0.0,0.4825162467369668,0.0,0.4218330321783219,0.0,0.623828776720176,0.0,0.5218861450932196,0.0,0.4873170288397234,0.0,0.5746073354629928,0.0,0.5476281526270327,0.0,0.5132529657334903,0.0,0.503123059302588,0.0,0.5842508410156574,1.0,0.2767520834592488,0.0,0.555353805776537,0.0,0.49395721505061085,0.0,0.4581705280088474,0.0,0.5862623112989646,0.0,0.5277970720709894,0.0,0.5017694102522481,0.0,0.49934893517220685,0.0,0.53419011460082,0.0,0.4739862285288825,0.0,0.5216862294638126,0.0,0.5081284813794181
S-CPI_sqd,300,18.405251264572144,0.784045166660769,0.0,4.67705341338173e-13,0.0,2.6609992253881057e-37,0.0,0.9999999999999999,0.0,0.9999999936459274,0.0,0.9999000957926346,0.0,1.2996759892275568e-28,0.0,0.005332699039893393,0.0,0.9999957511864309,0.0,0.4641827129078494,0.0,0.0008558420287200517,0.0,0.9999999996244653,0.0,0.9949170922811817,0.0,0.9999999989059317,0.0,8.66672039590135e-08,0.0,0.6550553715886147,0.0,0.9781209724180886,0.0,3.930554727546232e-08,0.0,1.0,0.0,0.9999999999991024,0.0,1.0,0.0,3.913391931338433e-05,0.0,0.04073757752796037,0.0,0.999968336357802,0.0,0.2353241829192998,0.0,3.4068531605953446e-06,0.0,0.0023238714523493337,0.0,6.236735816401664e-123,0.0,1.0,0.0,1.7581765555261524e-19,0.0,2.5795326731488336e-72,0.0,1.0,0.0,0.9999992040819458,0.0,0.0006756766424751478,0.0,1.0,0.0,1.0,0.0,0.9928200621042711,0.0,0.9686395643696776,0.0,1.0,1.0,1.5086392660963738e-257,0.0,1.0,0.0,0.01505812268355128,0.0,0.5088021447439336,0.0,1.0,0.0,0.0002153733193703776,0.0,0.9338017899794671,0.0,0.22876926306546796,0.0,0.9999999999818007,0.0,3.6253721244972465e-10,0.0,0.9996047183679064,0.0,0.6974304719933626
S-CPI2,300,135.8260633945465,0.784045166660769,0.0,0.22518310560606725,0.0,0.22108376228661308,0.0,0.89096407734616,0.0,0.8009572907518525,0.0,0.7111847475630924,0.0,0.14833227221374928,0.0,0.35874273638782483,0.0,0.8876449916897471,0.0,0.6413132327531681,0.0,0.26355334827558485,0.0,0.874239490984762,0.0,0.6759808062853281,0.0,0.7435208359810116,0.0,0.31687783929280755,0.0,0.3537970397206379,0.0,0.3890141862808501,0.0,0.15306189116872515,0.0,0.9519053148857947,0.0,0.9144564665383967,0.0,0.7870456059630826,0.0,0.23712294949979362,0.0,0.47325994421739476,0.0,0.6498605903027035,0.0,0.4317658837633378,0.0,0.38093789072487155,0.0,0.17658399918485274,0.0,0.027303118853584343,0.0,0.8691559381067022,0.0,0.24449272988261989,0.0,0.10840995643018131,0.0,0.9400300195918351,0.0,0.7720466928794981,0.0,0.13819817422634711,0.0,0.9671009813611903,0.0,0.4703541906484108,0.0,0.6050092220936689,0.0,0.6614384387293811,0.0,0.6019217340025896,1.0,0.17734688045676744,0.0,0.9919041013374253,0.0,0.4055486986026983,0.0,0.3768177423947016,0.0,0.9711797128362218,0.0,0.6221274193173821,0.0,0.5649046665459707,0.0,0.5246857004535445,0.0,0.9043465593910023,0.0,0.2777681887580822,0.0,0.9255935205850176,0.0,0.5898246389699637
S-CPI2_sqrt,300,135.76520323753357,0.784045166660769,0.0,0.4954566693145379,0.0,0.49444461282342517,0.0,0.5050824903122526,0.0,0.5027506761926243,0.0,0.501192671699677,0.0,0.4956429549576902,0.0,0.49839755203559116,0.0,0.5038911589158166,0.0,0.5006849507605979,0.0,0.4968435371005644,0.0,0.5029223557261284,0.0,0.500739159013325,0.0,0.5025453598370301,0.0,0.49730087813784574,0.0,0.4988603515312635,0.0,0.4993569853168207,0.0,0.4973497885487409,0.0,0.5056680583861445,0.0,0.5053000689396762,0.0,0.5056059800200863,0.0,0.49769910961897357,0.0,0.5001637361305916,0.0,0.5011382101899783,0.0,0.4970253534094816,0.0,0.49921434608948806,0.0,0.49790428315581753,0.0,0.49076401942074815,0.0,0.5088017209800124,0.0,0.4974018013510205,0.0,0.48965829472669425,0.0,0.5114629820317704,0.0,0.5025949570514093,0.0,0.4981488997336013,0.0,0.5104857561972673,0.0,0.4981282599072027,0.0,0.5009356266686311,0.0,0.5007919080291018,0.0,0.5070673270806157,1.0,0.4802388659620601,0.0,0.5062773911180668,0.0,0.49958996857682175,0.0,0.4975135789222782,0.0,0.5075438663270956,0.0,0.4998194385456999,0.0,0.500162508843604,0.0,0.5005876388224912,0.0,0.5032572974325921,0.0,0.4968406279138154,0.0,0.5020385517645025,0.0,0.500511887691567
