method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,823.5116820335388,0.7940414650260049,0.0,0.21219086887563454,0.0,0.8522797378561044,0.0,0.7406133580643967,0.0,0.835798285752022,0.0,0.016204756596789438,0.0,0.9999998786600744,0.0,0.0003534143129051426,0.0,0.3217621062531877,0.0,0.9991669129044415,0.0,0.10198648341778072,0.0,0.9999543103479596,0.0,0.0010907975101336342,0.0,0.9967133832456673,0.0,0.00962184928914167,0.0,0.9263109828153728,0.0,0.9755083012232443,0.0,0.999882542815651,0.0,0.5360098941147897,0.0,0.9444046604361832,0.0,0.03663889712411361,0.0,0.9999040259821291,1.0,0.9996188445436318,0.0,0.8046593808735566,0.0,0.9404075089194268,0.0,0.996331015029034,0.0,0.5662748585782262,0.0,0.014673264729807789,0.0,0.5267903089712124,0.0,0.2767857989228095,0.0,0.09187498667553085,0.0,0.30571429948372464,0.0,0.9321570596521194,0.0,0.99999996792043,0.0,0.998863452623085,0.0,2.525197034153326e-05,0.0,0.665700042843656,0.0,0.9809636623500322,0.0,0.11839309220626393,0.0,0.4703318545067764,0.0,0.999924722643491,0.0,0.8347362599247019,0.0,0.9444389775848532,0.0,0.03742539981500603,0.0,0.761358306716049,0.0,0.7880530684889504,0.0,6.70239520117466e-06,0.0,0.9438833429519835,0.0,0.9998242045615179,0.0,0.0003580928637942904,0.0,0.29187858826858737
CPI,300,15.915920972824097,0.7940414650260049,0.0,0.7245134562585085,0.0,0.6805476736278737,0.0,0.2319939383363493,0.0,0.09359865328128353,0.0,0.8240350120388585,0.0,0.7638441347961905,0.0,0.5749272787517343,0.0,0.01387521277842822,0.0,0.9314070459130099,0.0,0.21676198742246267,0.0,0.8271024965669593,0.0,0.9929393410014551,0.0,0.7374150545042997,0.0,0.6257767422307339,0.0,0.8187002660225278,0.0,0.3396179818876807,0.0,0.21071124522458323,0.0,0.8730085492511415,0.0,0.8325801349319699,0.0,0.7972183343536448,0.0,0.6779628991798065,1.0,0.08474940071814463,0.0,0.734534670943901,0.0,0.6477511622252712,0.0,0.17452428580513835,0.0,0.5664558881312758,0.0,0.07293249537919061,0.0,0.1778650243855368,0.0,0.6980083347964223,0.0,0.48799851497757935,0.0,0.44009154881979967,0.0,0.37093133760732233,0.0,0.5667883880898671,0.0,0.8500473286977906,0.0,0.051321899911223726,0.0,0.8046671639905556,0.0,0.4468198235151343,0.0,0.9963536915825854,0.0,0.08595929463154212,0.0,0.5035902605814305,0.0,0.8049698240941796,0.0,0.8998667302433756,0.0,0.9017752409345254,0.0,0.8576326815750782,0.0,0.695008294714498,0.0,0.578361734298339,0.0,0.15071336935695456,0.0,0.8619609766269867,0.0,0.8210927682303386,0.0,0.6203399219844361
CPI_sqrt,300,15.927221298217773,0.7940414650260049,0.0,0.49957838053566705,0.0,0.4990966025808797,0.0,0.5005134909388317,0.0,0.49921444099575774,0.0,0.5004943056324372,0.0,0.5003463223797697,0.0,0.5009060847147366,0.0,0.4998261435530948,0.0,0.5002091483103184,0.0,0.5010052901176492,0.0,0.4995737522322504,0.0,0.5011083451499192,0.0,0.49955867381196306,0.0,0.5004872616509736,0.0,0.49917145436456645,0.0,0.5005671911301751,0.0,0.4995719905993898,0.0,0.499677610788062,0.0,0.49982797679971813,0.0,0.5005384479175189,0.0,0.5050286818095889,1.0,0.46603902050915214,0.0,0.5002539098985039,0.0,0.49945990649603633,0.0,0.4993388301449784,0.0,0.5000637629354311,0.0,0.5002750984721549,0.0,0.5003786548674282,0.0,0.5006912565391278,0.0,0.49888718827037587,0.0,0.5005615953200598,0.0,0.4996910492975215,0.0,0.4995340385305653,0.0,0.49976550697373034,0.0,0.49963891642084196,0.0,0.5013716689743745,0.0,0.5002897729202918,0.0,0.501591443696284,0.0,0.49864293139725824,0.0,0.5003560333240265,0.0,0.501005443021795,0.0,0.5005469216303561,0.0,0.5003179795044083,0.0,0.5013095085115403,0.0,0.5000368182302652,0.0,0.49826308038460404,0.0,0.500559979495043,0.0,0.5001910740518986,0.0,0.5008060100062294,0.0,0.5006788854277671
CPI_n,300,15.925262451171875,0.7940414650260049,0.0,0.508795613466166,0.0,0.5044458355978467,0.0,0.4965288896387681,0.0,0.5083257129699903,0.0,0.4986173700526998,0.0,0.5079209632285877,0.0,0.5104257117333156,0.0,0.5038219371682031,0.0,0.5073722894209489,0.0,0.49419577692493055,0.0,0.5022958710737662,0.0,0.5036697984984376,0.0,0.5044757744964958,0.0,0.5065010513229172,0.0,0.5010595298077511,0.0,0.5176497801583637,0.0,0.49670194401074785,0.0,0.4986564685188295,0.0,0.5012262560681812,0.0,0.5119479939955316,0.0,0.5582985317477411,1.0,0.1680364322699136,0.0,0.49999113385142097,0.0,0.5206275367102922,0.0,0.508547022960429,0.0,0.5265585918215993,0.0,0.4959527996879424,0.0,0.49884762223881995,0.0,0.5148649701521835,0.0,0.4988399901242802,0.0,0.5003914440425798,0.0,0.5042547226294759,0.0,0.4935378325144312,0.0,0.5035981530846622,0.0,0.4910192110713991,0.0,0.510409193580655,0.0,0.508830633812663,0.0,0.5041451913619653,0.0,0.49192057284423013,0.0,0.5113673191258332,0.0,0.5021224449935847,0.0,0.5089600958515865,0.0,0.5127531159175588,0.0,0.5118001916725596,0.0,0.5042697048584402,0.0,0.4938048646403345,0.0,0.48997694076591897,0.0,0.5020224492973333,0.0,0.5133456116254537,0.0,0.5082436221510157
CPI_bt,300,16.09760022163391,0.7940414650260049,0.0,0.5057702390637623,0.0,0.5061857014303948,0.0,0.500426730526021,0.0,0.5085062978099101,0.0,0.5141743620688735,0.0,0.49179958791541856,0.0,0.5023000346986254,0.0,0.5027318585586179,0.0,0.4992814539095845,0.0,0.5047233504534504,0.0,0.5022241963609926,0.0,0.5130453224027987,0.0,0.5120142682625636,0.0,0.49536840868779775,0.0,0.5024814586356599,0.0,0.5072791127827933,0.0,0.49651632707409443,0.0,0.5007794727682375,0.0,0.5034569619068056,0.0,0.5087759145735387,0.0,0.5355967664921519,1.0,0.16732355605380794,0.0,0.5009956571073995,0.0,0.5066300804819771,0.0,0.4823001573641055,0.0,0.5122964270724983,0.0,0.502877626410818,0.0,0.5022262182571147,0.0,0.506387599588358,0.0,0.503314382016933,0.0,0.49253291724328147,0.0,0.49811739877594075,0.0,0.49922003075853905,0.0,0.502168117960105,0.0,0.5007288009056751,0.0,0.5151927453971513,0.0,0.5020081227223746,0.0,0.5039330374322304,0.0,0.49953731480632046,0.0,0.4801883995727264,0.0,0.5054268503428183,0.0,0.5053867639484677,0.0,0.5070276855321808,0.0,0.5029813060663607,0.0,0.49792367361411705,0.0,0.49661572690747147,0.0,0.48354390461696906,0.0,0.508149483410608,0.0,0.4978776868624014,0.0,0.48556625490012917
CPI_sqd,300,16.090522289276123,0.7940414650260049,0.0,0.9999999848754778,0.0,0.9850567040038543,0.0,1.0105055454333412e-06,0.0,0.6694770168470021,0.0,0.023454245362489124,0.0,3.246803666359278e-07,0.0,0.9850371231556398,0.0,0.0035466939001324656,0.0,0.841157126903275,0.0,0.5486800765812818,0.0,0.35035990088382357,0.0,0.9961609589187419,0.0,0.7311667642514235,0.0,0.9067030871549489,0.0,0.42138526790589437,0.0,0.32985523143732176,0.0,0.05918059707104508,0.0,0.9251333597819884,0.0,0.9271631302349854,0.0,0.9966029757220329,0.0,1.0,1.0,1.4181591867840297e-160,0.0,0.5889725606917294,0.0,0.619977961877449,0.0,0.1265459470378037,0.0,0.9326498876736363,0.0,0.14604473626185221,0.0,0.7594746413169214,0.0,0.3099964921546019,0.0,0.9536261172838465,0.0,0.18328406168942657,0.0,0.30739229491147857,0.0,0.7761029518254471,0.0,0.8154716299733026,0.0,0.10652938372534831,0.0,0.9901253563894175,0.0,0.40838601975728506,0.0,0.9818022112364054,0.0,0.4582798524648918,0.0,0.8534720532664846,0.0,0.6816492561273724,0.0,0.951374006927659,0.0,0.97872338107306,0.0,0.6974177599459467,0.0,0.8783499512405336,0.0,0.9404987767474688,0.0,0.00032039575108824765,0.0,0.4335997157807208,0.0,0.9999368053882047,0.0,0.8578568997697904
S-CPI,300,28.074140071868896,0.7940414650260049,0.0,0.883595969983773,0.0,0.8545185747664246,0.0,0.367137383319752,0.0,0.6676476450093182,0.0,0.6430761434862791,0.0,0.5519765957051068,0.0,0.9016822113907224,0.0,0.274189265424211,0.0,0.8682456927265527,0.0,0.4753153712601227,0.0,0.4884787766574739,0.0,0.9879791543466957,0.0,0.3118557573194042,0.0,0.6438061060587004,0.0,0.7693180788072769,0.0,0.585615559534289,0.0,0.13199648428366423,0.0,0.802039483134862,0.0,0.7818165522673663,0.0,0.7889507692221642,0.0,0.974909733574306,1.0,0.062212815216554106,0.0,0.9336771084608292,0.0,0.8830011106867006,0.0,0.6154332177649329,0.0,0.9772763126899271,0.0,0.27946808070652795,0.0,0.4513978720489737,0.0,0.9127518248111709,0.0,0.24330822706704813,0.0,0.8746873393442429,0.0,0.45094906229107057,0.0,0.4747822165856896,0.0,0.8514122347976318,0.0,0.02661341936274992,0.0,0.8083114671742933,0.0,0.8703919204700652,0.0,0.832506805887076,0.0,0.4281146226510305,0.0,0.5435603122418351,0.0,0.960446330285242,0.0,0.8785324631386835,0.0,0.918280084934571,0.0,0.7689368789113844,0.0,0.40931148304199594,0.0,0.305602204014357,0.0,0.16852981468474487,0.0,0.5780239869334831,0.0,0.6157606023889605,0.0,0.4885028265800261
S-CPI_sqrt,300,28.0640869140625,0.7940414650260049,0.0,0.5022619937770848,0.0,0.499897949996983,0.0,0.49966362073294196,0.0,0.5001110612127131,0.0,0.5011707800374313,0.0,0.49881882924522575,0.0,0.5014693788243555,0.0,0.499931525075356,0.0,0.500216183061345,0.0,0.49932714537676026,0.0,0.49960434626482525,0.0,0.5021565965404986,0.0,0.4997238787222324,0.0,0.5002943758223346,0.0,0.5009353999929733,0.0,0.5004803964677447,0.0,0.499078871366886,0.0,0.5006244556565962,0.0,0.5017385634784053,0.0,0.5010210065977443,0.0,0.5133962227358615,1.0,0.4449779875347611,0.0,0.5007480008548494,0.0,0.5012519621149619,0.0,0.5008573131099783,0.0,0.5027510385037055,0.0,0.4996918201693889,0.0,0.5001458414072854,0.0,0.5018003073420823,0.0,0.4995313379448005,0.0,0.5003861432305025,0.0,0.5002530065737149,0.0,0.4997507498638786,0.0,0.5003159327702054,0.0,0.49882936889668433,0.0,0.5012789323186243,0.0,0.5005891624339587,0.0,0.5020024945224836,0.0,0.4999543185240978,0.0,0.4998794493558217,0.0,0.5020458429662806,0.0,0.5010973359378934,0.0,0.5020351185902303,0.0,0.5005231385692851,0.0,0.5003928991668497,0.0,0.4988707358185317,0.0,0.4981506483799795,0.0,0.5008318203620628,0.0,0.5022926899507977,0.0,0.4997475423089761
S-CPI_n,300,28.108577251434326,0.7940414650260049,0.0,0.5228725608911725,0.0,0.5175918536957976,0.0,0.4918302586882548,0.0,0.5055804298379979,0.0,0.5133641202138516,0.0,0.4934250981926894,0.0,0.5036115667089551,0.0,0.4888660472934061,0.0,0.504942890595593,0.0,0.4993471125462891,0.0,0.49985708014362995,0.0,0.5179458451792355,0.0,0.5041363326595787,0.0,0.5009074679344798,0.0,0.5087966721660873,0.0,0.5078425067398529,0.0,0.4919272912382887,0.0,0.5053418465411685,0.0,0.515419535814595,0.0,0.5099687990586211,0.0,0.579633599763884,1.0,0.24970689837350546,0.0,0.5062718260186547,0.0,0.5217410585062656,0.0,0.5007032744394919,0.0,0.5092357086460731,0.0,0.49597495099580075,0.0,0.5066321377272787,0.0,0.5259661507082078,0.0,0.4975533000322514,0.0,0.5007615453634773,0.0,0.5081008405344127,0.0,0.4973810850191335,0.0,0.5023849717967118,0.0,0.49037688461109885,0.0,0.5172135197284198,0.0,0.5021011135248921,0.0,0.5093870697752968,0.0,0.4939212898457064,0.0,0.5038531918726137,0.0,0.5141374382491082,0.0,0.5133604388426668,0.0,0.5256788496928623,0.0,0.507186078622468,0.0,0.502184412823523,0.0,0.500587869399165,0.0,0.48623935447456834,0.0,0.49996347312368405,0.0,0.4967066647973907,0.0,0.5009529542827246
S-CPI_bt,300,28.26779055595398,0.7940414650260049,0.0,0.5243224143455887,0.0,0.5202612625261942,0.0,0.49726206440206866,0.0,0.5084277861747282,0.0,0.5164845083807356,0.0,0.48716953078251146,0.0,0.5079766028437911,0.0,0.48903640778945434,0.0,0.5037489966613512,0.0,0.4950583253460266,0.0,0.49983543106703443,0.0,0.5180722723104376,0.0,0.4978101435698782,0.0,0.5100250650543865,0.0,0.5055231728543964,0.0,0.5278281734163746,0.0,0.4867010784745529,0.0,0.5083318716096344,0.0,0.5150985805004152,0.0,0.5149770436828915,0.0,0.613312499304274,1.0,0.06269365216997237,0.0,0.5039328295847582,0.0,0.519576431737689,0.0,0.5008624274650019,0.0,0.5289782032746,0.0,0.4957703887679347,0.0,0.4997541770751221,0.0,0.5245544028536879,0.0,0.49494416212490466,0.0,0.5025447994752746,0.0,0.5033811898229957,0.0,0.4964758437386601,0.0,0.5015786606695237,0.0,0.48691470399259823,0.0,0.5108628342417233,0.0,0.5045832509549855,0.0,0.5148850738504415,0.0,0.4946118408317981,0.0,0.5001771277649263,0.0,0.5259863172901201,0.0,0.5090979773083515,0.0,0.51770177269001,0.0,0.5065003609935012,0.0,0.49995362387441733,0.0,0.48793893446130626,0.0,0.4862853526128573,0.0,0.5011273302230325,0.0,0.5113859925917676,0.0,0.5028540089777488
