method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,3.7650177478790283,0.8066164701313772,0.0,0.6339910907403534,0.0,0.00032212696541189523,0.0,0.8775392438751448,0.0,0.45259847041872403,0.0,0.9911014753362951,0.0,0.9936623637010712,0.0,0.8720510375201429,0.0,0.9739970753873142,0.0,0.4980440350384684,0.0,0.9279835878075977,0.0,0.09198945492292643,0.0,0.9987781864571453,0.0,0.12123037707002715,0.0,0.8989322049931516,0.0,0.9872580401463138,0.0,0.4757144953661745,0.0,0.8657550712031671,0.0,0.9814907730288246,0.0,0.039479098883328234,0.0,0.9993130422461456,0.0,0.9980616273402315,1.0,0.9990635135299168,0.0,0.9817498043115692,0.0,0.2804962003063627,0.0,0.005405746282267754,0.0,0.22192335704175203,0.0,0.3669588519244178,0.0,0.0004347219047921014,0.0,0.9766266642333863,0.0,0.39167148212143654,0.0,0.5001159842620874,0.0,0.7262882060454702,0.0,0.936069250465539,0.0,0.05381073133323544,0.0,0.9911946692774992,0.0,0.10593884058687741,0.0,3.9021996781296586e-05,0.0,0.11586631803573844,0.0,0.945540395778861,0.0,0.8161143811493643,0.0,0.9924810724223893,0.0,0.00018358490770531422,0.0,0.061866856212305366,0.0,0.9101580518379202,0.0,0.7663239591235314,0.0,0.05346016895502825,0.0,0.2741887072528728,0.0,0.02330440561940561,0.0,0.4024659034100604,0.0,0.31960150265763354
CPI,300,3.797536849975586,0.8066164701313772,0.0,1.0,0.0,0.9105433054941501,0.0,1.0,0.0,0.614126905429909,0.0,1.0,0.0,0.8253336141334446,0.0,1.0,0.0,1.0,0.0,0.9596581250688765,0.0,1.0,0.0,1.0,0.0,0.049587054513983944,0.0,1.0,0.0,0.5342100495793503,0.0,1.0,0.0,0.5819721133341312,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.7967551254501672,0.0,0.00727685444023053,0.0,1.0,0.0,1.0,0.0,0.07223147261801,0.0,1.0,0.0,1.0,0.0,0.07117890386451775,0.0,1.0,0.0,0.21424285521046882,0.0,1.0,0.0,0.29151635372085755,0.0,1.0,0.0,1.0,0.0,0.6570366993780036,0.0,1.0,0.0,0.5333591076918471,0.0,1.0,0.0,0.5409042671349494,0.0,0.7779052102540427,0.0,1.0,0.0,0.3481901980121042,0.0,0.7335511437449065,0.0,0.1598150773547085,0.0,1.0,0.0,0.2278658754260196,0.0,1.0,0.0,0.008907991819125835,0.0,0.0008356114950045267
CPI_sqrt,300,3.7913365364074707,0.8066164701313772,0.0,0.5,0.0,0.5006051077411419,0.0,0.5,0.0,0.5165296354038741,0.0,0.5,0.0,0.4964529143756936,0.0,0.5,0.0,0.5,0.0,0.496031756480716,0.0,0.5,0.0,0.5,0.0,0.48291575616473387,0.0,0.5,0.0,0.4977209033490427,0.0,0.5,0.0,0.49822201649919445,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.44343573213559306,0.0,0.4965453847292606,0.0,0.5,0.0,0.5,0.0,0.49735508783383453,0.0,0.5,0.0,0.5,0.0,0.4898942826189672,0.0,0.5,0.0,0.5016660676868385,0.0,0.5,0.0,0.4998898972467739,0.0,0.5,0.0,0.5,0.0,0.4993314899023465,0.0,0.5,0.0,0.5089938022582795,0.0,0.5,0.0,0.49707470229364475,0.0,0.5003865265525422,0.0,0.5,0.0,0.49608449278004874,0.0,0.5096908725668945,0.0,0.49847389831788474,0.0,0.5,0.0,0.49876262495443024,0.0,0.5,0.0,0.4874422835282641,0.0,0.49096056484277584
CPI_n,300,3.791262149810791,0.8066164701313772,0.0,0.5,0.0,0.41627677868992324,0.0,0.5,0.0,0.6408223719831616,0.0,0.5,0.0,0.47918964138275766,0.0,0.5,0.0,0.5,0.0,0.46704998009063886,0.0,0.5,0.0,0.5,0.0,0.41808024529890186,0.0,0.5,0.0,0.4899168880692524,0.0,0.5,0.0,0.4523321322267224,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.42949467362473015,0.0,0.4869332204439396,0.0,0.5,0.0,0.5,0.0,0.47462442392919607,0.0,0.5,0.0,0.5,0.0,0.4394033902930738,0.0,0.5,0.0,0.49093838678366647,0.0,0.5,0.0,0.5081747791125519,0.0,0.5,0.0,0.5,0.0,0.49516954507506183,0.0,0.5,0.0,0.5161761611581217,0.0,0.5,0.0,0.5117800598347644,0.0,0.49700442678380374,0.0,0.5,0.0,0.5121616970669642,0.0,0.5710089511290896,0.0,0.5016535110053904,0.0,0.5,0.0,0.46807953936702235,0.0,0.5,0.0,0.412997791699985,0.0,0.47096120208201264
CPI_bt,300,3.9648690223693848,0.8066164701313772,0.0,0.5,0.0,0.47320335205821984,0.0,0.5,0.0,0.6213730768879473,0.0,0.5,0.0,0.5192430464767551,0.0,0.5,0.0,0.5,0.0,0.4987599734039627,0.0,0.5,0.0,0.5,0.0,0.41636773824389994,0.0,0.5,0.0,0.4919628734459561,0.0,0.5,0.0,0.5113009199148529,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.534132461823393,0.0,0.4093947537926329,0.0,0.5,0.0,0.5,0.0,0.4704089693019265,0.0,0.5,0.0,0.5,0.0,0.4299410900986505,0.0,0.5,0.0,0.5017536373881667,0.0,0.5,0.0,0.4420107129830311,0.0,0.5,0.0,0.5,0.0,0.4877722646089839,0.0,0.5,0.0,0.45701571561082754,0.0,0.5,0.0,0.4738023153378365,0.0,0.495694437328545,0.0,0.5,0.0,0.5269250708414033,0.0,0.6012429907782534,0.0,0.5027350732991556,0.0,0.5,0.0,0.4784928157129352,0.0,0.5,0.0,0.38559279129271273,0.0,0.4966869857984814
CPI_sqd,300,3.9626224040985107,0.8066164701313772,0.0,0.5,0.0,8.023793934520075e-12,0.0,0.5,0.0,1.0,0.0,0.5,0.0,9.993371013292784e-26,0.0,0.5,0.0,0.5,0.0,0.07605701728043963,0.0,0.5,0.0,0.5,0.0,7.259650490344838e-121,0.0,0.5,0.0,0.233456702278232,0.0,0.5,0.0,3.818735535243589e-27,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,1.6539377391787274e-146,0.0,0.5,0.0,0.5,0.0,0.0031031767963053234,0.0,0.5,0.0,0.5,0.0,9.002849672697672e-37,0.0,0.5,0.0,0.10682368542420845,0.0,0.5,0.0,3.349148132492229e-17,0.0,0.5,0.0,0.5,0.0,0.9677782131064911,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.9999999997045075,0.0,0.19206829395913516,0.0,0.5,0.0,0.0026462850021279176,0.0,4.62207755495831e-128,0.0,3.970778120734236e-16,0.0,0.5,0.0,1.0,0.0,0.5,0.0,6.137829788284681e-36,0.0,6.300370319803845e-14
S-CPI,300,3.892582416534424,0.8066164701313772,0.0,0.5,0.0,0.7744081941879886,0.0,0.5,0.0,0.9996132358614138,0.0,0.5,0.0,0.6921334613582177,0.0,0.5,0.0,0.5,0.0,0.38842125808609734,0.0,0.5,0.0,0.5,0.0,0.07165209640473803,0.0,0.5,0.0,0.12513180623737297,0.0,0.5,0.0,0.4305006109183557,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.48115248091433854,0.0,0.21945154897996366,0.0,0.5,0.0,0.5,0.0,0.026927847908367337,0.0,0.5,0.0,0.5,0.0,0.0970174004992081,0.0,0.5,0.0,0.6041575126768535,0.0,0.5,0.0,0.6059041542840312,0.0,0.5,0.0,0.5,0.0,0.11865749377707135,0.0,0.5,0.0,0.4583442427284565,0.0,0.5,0.0,0.4635865422829485,0.0,0.3894280159012713,0.0,0.5,0.0,0.5778955596492167,0.0,0.8371424119685287,0.0,0.23516286424802746,0.0,0.5,0.0,0.305437014492122,0.0,0.5,0.0,0.005873430963683635,0.0,0.039284468200845205
S-CPI_sqrt,300,3.8930037021636963,0.8066164701313772,0.0,0.5,0.0,0.5033860407221864,0.0,0.5,0.0,0.5248014696451996,0.0,0.5,0.0,0.49822110699914995,0.0,0.5,0.0,0.5,0.0,0.49892201603501046,0.0,0.5,0.0,0.5,0.0,0.4771056051565761,0.0,0.5,0.0,0.4983971273121388,0.0,0.5,0.0,0.49942852275772004,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5202666033183405,0.0,0.4963315010200346,0.0,0.5,0.0,0.5,0.0,0.49534459402456493,0.0,0.5,0.0,0.5,0.0,0.48895056171047047,0.0,0.5,0.0,0.5002325973113455,0.0,0.5,0.0,0.5042364369601481,0.0,0.5,0.0,0.5,0.0,0.49781617819508484,0.0,0.5,0.0,0.49980945648303254,0.0,0.5,0.0,0.495654370478119,0.0,0.4993171717207099,0.0,0.5,0.0,0.499323284411172,0.0,0.5066164904828447,0.0,0.49689482532291623,0.0,0.5,0.0,0.4979828696351539,0.0,0.5,0.0,0.4811101631322887,0.0,0.4910187019567504
S-CPI_n,300,3.8904507160186768,0.8066164701313772,0.0,0.5,0.0,0.5515338578029877,0.0,0.5,0.0,0.6797335039242847,0.0,0.5,0.0,0.5018858646313085,0.0,0.5,0.0,0.5,0.0,0.4672578467578425,0.0,0.5,0.0,0.5,0.0,0.34521164080703387,0.0,0.5,0.0,0.48612786024900073,0.0,0.5,0.0,0.49692222385067514,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5533408255157246,0.0,0.46948516381223826,0.0,0.5,0.0,0.5,0.0,0.45570735173321825,0.0,0.5,0.0,0.5,0.0,0.41452581191547533,0.0,0.5,0.0,0.49860002697092,0.0,0.5,0.0,0.5133551606960253,0.0,0.5,0.0,0.5,0.0,0.4737136107027172,0.0,0.5,0.0,0.5593610706655983,0.0,0.5,0.0,0.46885441383439164,0.0,0.4956804590583701,0.0,0.5,0.0,0.49629543452560476,0.0,0.5854921971255875,0.0,0.4718670098011088,0.0,0.5,0.0,0.46772574928260785,0.0,0.5,0.0,0.3174153946481023,0.0,0.42481456633107706
S-CPI_bt,300,4.06731653213501,0.8066164701313772,0.0,0.5,0.0,0.5746288748770196,0.0,0.5,0.0,0.7070276677999824,0.0,0.5,0.0,0.49968759604584784,0.0,0.5,0.0,0.5,0.0,0.49851824929370897,0.0,0.5,0.0,0.5,0.0,0.2680880824869746,0.0,0.5,0.0,0.48254113423776035,0.0,0.5,0.0,0.5152101492071544,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5936935907504437,0.0,0.49315437430873216,0.0,0.5,0.0,0.5,0.0,0.45919054338988896,0.0,0.5,0.0,0.5,0.0,0.4026214816115511,0.0,0.5,0.0,0.498853542756714,0.0,0.5,0.0,0.5248260361217437,0.0,0.5,0.0,0.5,0.0,0.46366678042078074,0.0,0.5,0.0,0.5320233086500268,0.0,0.5,0.0,0.47184411374170215,0.0,0.49370875685380194,0.0,0.5,0.0,0.5190070686833599,0.0,0.6502958967286483,0.0,0.4676726286954823,0.0,0.5,0.0,0.48120497622361874,0.0,0.5,0.0,0.2839126999390388,0.0,0.41445673375282976
