method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,69.6897656917572,0.41387180674014845,0.0,0.9999763645083815,0.0,0.7109565318324598,0.0,0.0743943027619387,0.0,1.1128002574412044e-05,0.0,0.9687941155023432,0.0,0.003311554263417893,0.0,0.9999968904802656,0.0,0.8038074174796277,0.0,3.750310300532078e-06,0.0,5.472712333642882e-06,0.0,0.9991663275081543,0.0,0.35831744689225087,0.0,0.07233315382348315,0.0,0.8346075167056684,0.0,1.041563360593134e-05,0.0,0.7617934869987443,0.0,0.0005854876448485591,0.0,0.00015169590329633387,0.0,7.393142498157701e-05,0.0,0.11014763573156805,0.0,0.9997512971773788,0.0,0.5410368813686082,0.0,0.9999999984627562,0.0,2.115072950115149e-08,0.0,0.046218519866354724,0.0,0.3179217486460638,0.0,0.9999991388273272,0.0,0.851524311430575,0.0,0.9342044880295496,0.0,0.35576242899698074,0.0,0.8723963054170352,0.0,0.6614744779622039,0.0,1.7082913972288338e-09,0.0,0.4417904811700537,0.0,0.55508178684591,0.0,3.2071201250261083e-10,0.0,0.001376162612750309,0.0,0.8355865527979982,0.0,0.1755766820328084,0.0,0.9999994947216527,0.0,2.295537671936909e-05,0.0,2.8925498026799445e-06,0.0,0.2700969518262033,0.0,0.0037418590471554047,0.0,0.6367146448270965,0.0,0.9999999141850084,0.0,1.3677486829788421e-06,0.0,0.836744403555091,1.0,2.4254412922530832e-09,0.0,0.9998933684979745
CPI,300,4.287841320037842,0.41387180674014845,0.0,0.14917716328340935,0.0,0.20973572851834382,0.0,0.651105048402373,0.0,0.5979493039765709,0.0,0.8729822780600978,0.0,0.9523883279736627,0.0,0.0294903498682661,0.0,0.09377995119364407,0.0,0.33797710219146593,0.0,0.23472847766440302,0.0,0.07354321813742087,0.0,0.23665438335640476,0.0,0.24956403174517133,0.0,0.16618752155629463,0.0,0.7697091334537218,0.0,0.39067783965563474,0.0,0.9028582019956587,0.0,0.8956351475984221,0.0,0.9434181213616897,0.0,0.9805467266596439,0.0,0.47885681503184957,0.0,0.24634395250260677,0.0,0.1418132492964112,0.0,0.28516726155977035,0.0,0.012365872838521664,0.0,0.5179833372101548,0.0,0.2706563216362067,0.0,0.5507746638422274,0.0,0.16952986657709584,0.0,0.24634713527428387,0.0,0.3544538194171135,0.0,0.5883625262447599,0.0,0.8543916395041837,0.0,0.06942851932116194,0.0,0.07574973097774228,0.0,0.6885884577794147,0.0,0.41959272283440563,0.0,0.22271823651842826,0.0,0.09035332523635481,0.0,0.7509707632321584,0.0,0.39588635118311594,0.0,0.9613124551049956,0.0,0.8432640266949585,0.0,0.7170983306932108,0.0,0.0614151986450825,0.0,0.6339746923021911,0.0,0.26772054201476014,0.0,0.13448232449153746,1.0,3.415115425471129e-10,0.0,0.17048652918249946
CPI_sqrt,300,4.263845205307007,0.41387180674014845,0.0,0.48839411464242355,0.0,0.5066708034508378,0.0,0.4883974429704673,0.0,0.49974709264544115,0.0,0.5025522504024496,0.0,0.497354663030915,0.0,0.49349779141109645,0.0,0.49639202191382537,0.0,0.49134080322212104,0.0,0.48711546125893246,0.0,0.5029418944322083,0.0,0.49475916626125316,0.0,0.5040578548998234,0.0,0.4879599210118242,0.0,0.5014358249332467,0.0,0.4962884564154039,0.0,0.5012823872293016,0.0,0.5008533965787789,0.0,0.5130417587028295,0.0,0.5012778034682828,0.0,0.5092909503087395,0.0,0.502358656979324,0.0,0.5050639071932175,0.0,0.4834474911181374,0.0,0.48168107720140413,0.0,0.4968455862441,0.0,0.5005592321552876,0.0,0.5035699098085218,0.0,0.4976613443143787,0.0,0.47792270055372404,0.0,0.49341929429799997,0.0,0.5083417662643002,0.0,0.5081328907336906,0.0,0.48092907247417166,0.0,0.4909671307499405,0.0,0.49727632173803216,0.0,0.5056349730364218,0.0,0.4941615459636115,0.0,0.48444050890692514,0.0,0.5243644945793612,0.0,0.506705757579535,0.0,0.5197336508960592,0.0,0.47613831820160324,0.0,0.5040065074341662,0.0,0.48416064420910254,0.0,0.4888875653881438,0.0,0.4966668249439681,0.0,0.4930838441744461,1.0,0.005040683679180298,0.0,0.43584866302378333
CPI_n,300,4.262010335922241,0.41387180674014845,0.0,0.4919533815678429,0.0,0.5386930610232173,0.0,0.4469071111640499,0.0,0.43821887803247067,0.0,0.5139517766545888,0.0,0.5934595429820384,0.0,0.551062464165146,0.0,0.4442004288753284,0.0,0.41341526389244365,0.0,0.3220311836911711,0.0,0.5352080425383006,0.0,0.44441598541692984,0.0,0.3808880064834259,0.0,0.41487805065914657,0.0,0.535648221424134,0.0,0.43605489355563953,0.0,0.5143239614964009,0.0,0.5682992512405711,0.0,0.5775098826111065,0.0,0.6027522471806929,0.0,0.3627519096890821,0.0,0.48827399931869375,0.0,0.4393354495880829,0.0,0.3303190002421422,0.0,0.3989844001607684,0.0,0.5136174379701527,0.0,0.4826321257588924,0.0,0.6736584772589236,0.0,0.5221174447273897,0.0,0.3217439646206565,0.0,0.41000350629320986,0.0,0.7353133614251014,0.0,0.5860498734107993,0.0,0.35094429175000275,0.0,0.43321335423753204,0.0,0.487046661216192,0.0,0.4882887977833295,0.0,0.6018531106498095,0.0,0.3991429696059065,0.0,0.6351793462490606,0.0,0.506593853324784,0.0,0.5481352516224245,0.0,0.596965156847792,0.0,0.526453177550798,0.0,0.40150969460729447,0.0,0.48662546605512275,0.0,0.39205733513508595,0.0,0.3293939474652736,1.0,3.1546285450860776e-09,0.0,0.47170633992091204
CPI_bt,300,4.452712535858154,0.41387180674014845,0.0,0.3615483474495104,0.0,0.2854135221759503,0.0,0.4820233199061272,0.0,0.24207345037031103,0.0,0.4741635752299709,0.0,0.6846172972677433,0.0,0.2579926611648604,0.0,0.3445404879436101,0.0,0.49312676859308974,0.0,0.6105339079741339,0.0,0.520262835211681,0.0,0.49735904609261367,0.0,0.5244891861977186,0.0,0.5187555365989236,0.0,0.5219515608779984,0.0,0.42292919410020396,0.0,0.5152377453132563,0.0,0.6884770989737315,0.0,0.5490898403351705,0.0,0.49636301950055867,0.0,0.6271155765142021,0.0,0.5492966032177896,0.0,0.5066395530209602,0.0,0.43104752604250113,0.0,0.13944077770812346,0.0,0.49864451538827853,0.0,0.4689431446281878,0.0,0.5081048364411574,0.0,0.48968406609020737,0.0,0.2805987895819073,0.0,0.47173807373111803,0.0,0.7145269965599744,0.0,0.5506563387185627,0.0,0.31642328178945145,0.0,0.4130606018450609,0.0,0.3871271592401813,0.0,0.5276883560302981,0.0,0.5557594675551665,0.0,0.5156053030210528,0.0,0.7450554031713501,0.0,0.5197298472706069,0.0,0.5317529353097744,0.0,0.6349824406518695,0.0,0.5010643326387277,0.0,0.4009155695479883,0.0,0.49331283150382815,0.0,0.4874732944951865,0.0,0.25689685505589466,1.0,6.1993972761157464e-121,0.0,0.1325232668482137
CPI_sqd,300,4.452447175979614,0.41387180674014845,0.0,5.004574299932668e-49,0.0,1.253111125854919e-100,0.0,4.115502561212411e-188,0.0,6.308103376224437e-111,0.0,2.582983210074539e-38,0.0,9.445186156752757e-160,0.0,7.142378619735021e-270,0.0,4.081185082121588e-99,0.0,0.9571935260423083,0.0,1.0,0.0,0.9999999999999386,0.0,1.9370684461704086e-188,0.0,1.0,0.0,0.0,0.0,4.1613962655376175e-12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.6270521615126672e-11,0.0,1.7279023342403042e-40,0.0,0.9999832139301297,0.0,8.042367452572435e-238,0.0,2.2553809645043012e-13,0.0,0.0014806409358029003,0.0,1.0,0.0,4.935141409162238e-33,0.0,3.356771753414115e-147,0.0,5.783012604909706e-47,0.0,1.0,0.0,4.206444764322067e-56,0.0,1.2644910068443252e-90,0.0,1.889500072307117e-33,0.0,0.5858647546994382,0.0,0.9999739232769388,0.0,0.9999893417371775,0.0,0.0,0.0,1.0,0.0,2.203934985794611e-25,0.0,1.0,0.0,1.0,0.0,1.230253434551083e-123,0.0,0.0,0.0,7.730825690959033e-30,0.0,0.9999999995412913,0.0,0.0,1.0,0.0,0.0,0.0
S-CPI,300,4.69588041305542,0.41387180674014845,0.0,0.12592694353447165,0.0,0.36885842580061595,0.0,0.42036410533532814,0.0,0.15574481363788578,0.0,0.642996035710745,0.0,0.8556316898439416,0.0,0.08807962122956497,0.0,0.07616887526175746,0.0,0.4858303257200772,0.0,0.7845882862455116,0.0,0.5811031421501299,0.0,0.11486504347364618,0.0,0.5790643330468864,0.0,0.45529556982717323,0.0,0.5968760588265909,0.0,0.18780786073668176,0.0,0.9570555998124622,0.0,0.6326032960262665,0.0,0.7587589304402647,0.0,0.8968796846302529,0.0,0.8093988174155128,0.0,0.15362737854488462,0.0,0.3681364451936482,0.0,0.12242093710869911,0.0,0.01524041033728818,0.0,0.29516841875732375,0.0,0.24807236458000054,0.0,0.8584457148442939,0.0,0.17656730735499637,0.0,0.1097013938022004,0.0,0.22818603327861464,0.0,0.9893706071589906,0.0,0.7221951179748374,0.0,0.004667697615774597,0.0,0.08346534199218619,0.0,0.5491047713210533,0.0,0.6679276776451659,0.0,0.28637539779475135,0.0,0.027649830043941837,0.0,0.921286593565255,0.0,0.42317085166419205,0.0,0.9923532372021953,0.0,0.7196339724976107,0.0,0.6644879315795009,0.0,0.15784863931955606,0.0,0.3595516284902084,0.0,0.24218832196187973,0.0,0.03907892796441798,1.0,1.195129292586399e-07,0.0,0.1279245048414946
S-CPI_sqrt,300,4.701589822769165,0.41387180674014845,0.0,0.4893818179338583,0.0,0.49441072333412467,0.0,0.517350853888602,0.0,0.47946578185735583,0.0,0.5056553295081051,0.0,0.512320572571062,0.0,0.47286362446858626,0.0,0.4828569469137773,0.0,0.4922456327350685,0.0,0.5084566298788387,0.0,0.5050645735441124,0.0,0.48847293123280655,0.0,0.4978390122213373,0.0,0.49451636750571043,0.0,0.5078785253856516,0.0,0.49372829632247184,0.0,0.5060735610647512,0.0,0.508691201854395,0.0,0.5200937093197399,0.0,0.5142870897282227,0.0,0.5083448763348377,0.0,0.48951296952469137,0.0,0.5014964802501278,0.0,0.4802599014958591,0.0,0.459616209896993,0.0,0.5014292673002095,0.0,0.4991500849730044,0.0,0.515649926667221,0.0,0.4961801015701926,0.0,0.47762494131465166,0.0,0.48619230120900364,0.0,0.5408342219838697,0.0,0.5104793450909972,0.0,0.48220576475384375,0.0,0.4831245510154088,0.0,0.49517655906467617,0.0,0.5004447887886379,0.0,0.5043162394570779,0.0,0.46183727885596865,0.0,0.5336242142646564,0.0,0.5015479036160526,0.0,0.5210185069762546,0.0,0.5041407389073548,0.0,0.5049322149004455,0.0,0.4728380865993378,0.0,0.5133834371811362,0.0,0.4986745047228244,0.0,0.4761086999141594,1.0,0.005410467618592298,0.0,0.44209799450571774
S-CPI_n,300,4.694746255874634,0.41387180674014845,0.0,0.39945357639535006,0.0,0.4841774448790041,0.0,0.5483687937385443,0.0,0.39135397959595825,0.0,0.5567824339448592,0.0,0.5457973608747188,0.0,0.3384185067196743,0.0,0.31624636810135004,0.0,0.475973441659887,0.0,0.5606492781609891,0.0,0.5007425967855901,0.0,0.40031230128513173,0.0,0.4703071173667803,0.0,0.4450326743779819,0.0,0.5528460964534525,0.0,0.4353532772881068,0.0,0.5793786873014845,0.0,0.6396024392352926,0.0,0.6241163021579996,0.0,0.641832475462898,0.0,0.5440269700433639,0.0,0.47117468178258376,0.0,0.44721991550152107,0.0,0.3794325047624063,0.0,0.2220316439826006,0.0,0.4909611369188377,0.0,0.46998466364371055,0.0,0.5697129226787034,0.0,0.4843567086084857,0.0,0.3252526106628575,0.0,0.4002787527950744,0.0,0.7971117728163482,0.0,0.5625316445176708,0.0,0.33487391513359127,0.0,0.3788490739224636,0.0,0.4794816011977725,0.0,0.5170041710475125,0.0,0.47861852355684187,0.0,0.25908342270564877,0.0,0.7117370718641245,0.0,0.5269769543666791,0.0,0.6244818123503035,0.0,0.5558008232533854,0.0,0.5311970600218521,0.0,0.4131147918865739,0.0,0.5510936939569319,0.0,0.5095200890227981,0.0,0.24888462085543683,1.0,1.8509216292434135e-06,0.0,0.23046169661720362
S-CPI_bt,300,4.877336263656616,0.41387180674014845,0.0,0.39185882273657946,0.0,0.3900334690912382,0.0,0.7242705147619283,0.0,0.4655577581771977,0.0,0.5171657242931103,0.0,0.5893977013809778,0.0,0.2936089286984327,0.0,0.2751029292380317,0.0,0.4168730683772953,0.0,0.5376582385980535,0.0,0.5343485726765113,0.0,0.3659170747895566,0.0,0.5571127674369643,0.0,0.5209073653112156,0.0,0.569180043213292,0.0,0.45072299266309174,0.0,0.5599123528467145,0.0,0.5606294166315874,0.0,0.6231882341475394,0.0,0.7225523089725789,0.0,0.6266216378794633,0.0,0.46085608116678517,0.0,0.3822326869573126,0.0,0.4006771425157989,0.0,0.22578605271993518,0.0,0.487885195439517,0.0,0.4669662701612229,0.0,0.6600958404859346,0.0,0.45968532215367813,0.0,0.27869827986036777,0.0,0.3084360251339422,0.0,0.8478480444418826,0.0,0.6523187132213388,0.0,0.3058921720608224,0.0,0.3683365614141927,0.0,0.42282737029331163,0.0,0.5210287089489368,0.0,0.4519237324379068,0.0,0.2541910956958087,0.0,0.7833776504490044,0.0,0.48134376477647717,0.0,0.7656390686648331,0.0,0.6259531423257664,0.0,0.6774921627156596,0.0,0.3532320822118168,0.0,0.5878005446120789,0.0,0.4862629925105969,0.0,0.25021586386317474,1.0,7.84754054437124e-133,0.0,0.19583181030773583
