method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,129.69703888893127,0.5223992182436896,0.0,0.10104608839154994,0.0,0.5998547223961299,0.0,0.5284102016837338,0.0,0.02590570242225143,0.0,0.5538954846758978,0.0,0.6485215237354526,0.0,0.662656717281965,0.0,0.7115683410328231,0.0,0.8932266181776078,0.0,0.6885414549710186,0.0,0.346121522677704,0.0,0.9294953222187433,0.0,0.6904401330119396,0.0,0.3013628717088812,0.0,0.0740926754321416,0.0,0.5623592321233588,0.0,0.18886352756437552,0.0,0.2271080651662738,0.0,0.8979272540111431,0.0,0.2600714487898501,0.0,0.1641999944528203,0.0,0.8089364438627938,0.0,0.8224524041066505,0.0,0.9010181217450635,0.0,0.3502984023147768,0.0,0.1476894351329815,0.0,0.49705518416533445,0.0,0.5492722460449635,0.0,0.9576105336829307,0.0,0.8731710332343132,0.0,0.1361012679381246,0.0,0.8825916223589922,0.0,0.622229414575083,0.0,0.1751930330462269,0.0,0.6297749779385005,0.0,0.46052087815937326,0.0,0.7358520342361878,0.0,0.43255254418447564,1.0,0.0,0.0,0.9252352352382427,0.0,0.854886851724642,0.0,0.5375854314316473,0.0,0.8893924633990584,0.0,0.8518759530125941,0.0,0.6056025416190451,0.0,0.2001180252200312,0.0,0.40048843133165823,0.0,0.3207834341268063,0.0,0.8295127931458014,0.0,0.09274522610003255
CPI,300,6.2434470653533936,0.5223992182436896,0.0,0.5885053712871856,0.0,0.13995338707131588,0.0,0.34753937468325313,0.0,0.6770951452429324,0.0,0.24631009927872494,0.0,0.5676926475678055,0.0,0.20117358966328186,0.0,0.331052008927343,0.0,0.34207572903991945,0.0,0.6052689876706587,0.0,0.025295099073532574,0.0,0.58531934955705,0.0,0.17200088003146846,0.0,0.09195243393945968,0.0,0.560962885998789,0.0,0.5233067979169959,0.0,0.7778764706063774,0.0,0.15746458363446547,0.0,0.1239212060458944,0.0,0.21892766711070272,0.0,0.12436315116599178,0.0,0.13305335447924715,0.0,0.49601891021940475,0.0,0.39017513896858885,0.0,0.11274539602121042,0.0,0.49867743602632675,0.0,0.21943373586367432,0.0,0.02256208845556038,0.0,0.6310046901112796,0.0,0.31771208681078966,0.0,0.1402841504395727,0.0,0.9739344824162645,0.0,0.13793356438701493,0.0,0.5465485197720028,0.0,0.21584261640832386,0.0,0.9513845277685147,0.0,0.338485067974023,0.0,0.010136137292234242,1.0,3.7278402488992577e-11,0.0,0.9380821495505173,0.0,0.6568879786198389,0.0,0.8209427128780976,0.0,0.38303474067087995,0.0,0.890758282773141,0.0,0.6936382280750072,0.0,0.6312439634718439,0.0,0.5802301777900893,0.0,0.7746471233501575,0.0,0.48738573855105705,0.0,0.314209136714913
CPI_sqrt,300,6.286162376403809,0.5223992182436896,0.0,0.4983063288441269,0.0,0.48098054136958285,0.0,0.49681500391731553,0.0,0.4982613470285747,0.0,0.49376567216782874,0.0,0.5038439092278233,0.0,0.4919212018143211,0.0,0.48621640297878926,0.0,0.4967088039745971,0.0,0.500418527273784,0.0,0.501958980003292,0.0,0.502522304703523,0.0,0.5026256928353463,0.0,0.49911564047516854,0.0,0.506911240604889,0.0,0.5055857445709856,0.0,0.5086870146233192,0.0,0.49725809514252056,0.0,0.4966863355694385,0.0,0.5001104316980121,0.0,0.5004242464146188,0.0,0.49735820617721216,0.0,0.4999346882623049,0.0,0.5029895120334518,0.0,0.4978090157761955,0.0,0.5004193079931817,0.0,0.49447763506643466,0.0,0.4968194898626069,0.0,0.500874950854466,0.0,0.5028391059520875,0.0,0.4955101987313526,0.0,0.4999120470378648,0.0,0.4955278830480001,0.0,0.5015876681748574,0.0,0.49706194006528714,0.0,0.5156545708479318,0.0,0.4917265247133951,0.0,0.4990938783347531,1.0,0.007413538104619016,0.0,0.4426147394560706,0.0,0.5000559220414261,0.0,0.5021730039669076,0.0,0.4999700362766722,0.0,0.49938939742945654,0.0,0.5044118498893384,0.0,0.5213682611413352,0.0,0.5034372793230026,0.0,0.5095218613507928,0.0,0.48534305642480396,0.0,0.5034160952922543
CPI_n,300,6.253039598464966,0.5223992182436896,0.0,0.46061240269705994,0.0,0.3771203153169073,0.0,0.4993079869158816,0.0,0.5018836240415814,0.0,0.4443778004955581,0.0,0.47631907526848544,0.0,0.4805862833796794,0.0,0.4369773092686055,0.0,0.4840312428874504,0.0,0.5062794309391014,0.0,0.44924190842985534,0.0,0.5330337763202178,0.0,0.49730312109034897,0.0,0.4986214181585526,0.0,0.532192760401411,0.0,0.539701275140169,0.0,0.5223525324288075,0.0,0.4803799530109883,0.0,0.47515254315373195,0.0,0.4862980231460381,0.0,0.46533779520924723,0.0,0.4965973488330913,0.0,0.5164256875237294,0.0,0.4143250472370864,0.0,0.4678045278870331,0.0,0.5306465104644077,0.0,0.4253480148470925,0.0,0.45395906958852533,0.0,0.5015310997413159,0.0,0.5559700543342193,0.0,0.4970968553227473,0.0,0.5155565837994062,0.0,0.5116334612440427,0.0,0.535514612600939,0.0,0.5170404371749063,0.0,0.5457766485697699,0.0,0.5113322554675895,0.0,0.5330077725561813,1.0,2.0667793099241086e-07,0.0,0.1703119027172097,0.0,0.4513585411853519,0.0,0.585446626633045,0.0,0.4825906584950343,0.0,0.47451115867743976,0.0,0.5149900133725465,0.0,0.48596517149544577,0.0,0.5310562308798269,0.0,0.4854350570104186,0.0,0.47401228752773245,0.0,0.536561317772035
CPI_bt,300,6.426443338394165,0.5223992182436896,0.0,0.4688477877677134,0.0,0.4531441747420103,0.0,0.512662737529542,0.0,0.48824434634136255,0.0,0.4753460945405261,0.0,0.521054904064381,0.0,0.4854051353046197,0.0,0.4692042866690682,0.0,0.48008925375873296,0.0,0.5071365831986111,0.0,0.4349632001504754,0.0,0.5058788314884158,0.0,0.4661992145130703,0.0,0.45260588912822164,0.0,0.45450227640410595,0.0,0.48917077159384326,0.0,0.503101506902303,0.0,0.48295800859305626,0.0,0.4467366781234615,0.0,0.511422575592056,0.0,0.4692509763101307,0.0,0.4780769585136863,0.0,0.5240910859781734,0.0,0.4359270086773549,0.0,0.4851383428444909,0.0,0.5256482538581742,0.0,0.48232906939962866,0.0,0.46395284099980577,0.0,0.44202586866324073,0.0,0.5131685548808448,0.0,0.48066566992441423,0.0,0.5411323466162627,0.0,0.4149717703991481,0.0,0.5205283900384832,0.0,0.4755793609522738,0.0,0.5425699043813328,0.0,0.4829127935279364,0.0,0.4428709923384267,1.0,6.006901568955863e-202,0.0,0.06751578111054984,0.0,0.47783959961706385,0.0,0.592727700684277,0.0,0.4712583579072649,0.0,0.47241492994737655,0.0,0.48444574859892797,0.0,0.5027826793342659,0.0,0.49995361440632446,0.0,0.5545185890358197,0.0,0.5636076982804024,0.0,0.5445465668079442
CPI_sqd,300,6.419424295425415,0.5223992182436896,0.0,0.03363280111540029,0.0,1.1741469340841671e-33,0.0,0.5120009317102473,0.0,0.751805384418222,0.0,7.614747257692578e-36,0.0,0.999999999999995,0.0,8.331828787906026e-32,0.0,0.00018911147589413638,0.0,8.657114742649505e-06,0.0,1.553900448036405e-10,0.0,8.155037221397091e-14,0.0,1.2393493392889829e-09,0.0,0.999999999938578,0.0,0.9986407155313396,0.0,1.0,0.0,1.0,0.0,0.9999999987751182,0.0,5.324389967305591e-06,0.0,0.06667699560856112,0.0,3.472292716498094e-07,0.0,1.150384565414717e-13,0.0,1.0275988543663725e-08,0.0,1.0,0.0,1.016749450473251e-05,0.0,9.859020741168258e-24,0.0,0.9151384716163267,0.0,1.883641473927883e-37,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006850039011199453,0.0,0.9999999999556729,0.0,0.9998691475963544,0.0,0.9958522226366504,0.0,0.9634565860208439,0.0,1.0,0.0,5.625706451458785e-20,0.0,2.0003557517244795e-09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.30353025131478556,0.0,4.5370763410976676e-12,0.0,0.9991259872979947,0.0,1.0,0.0,1.0,0.0,2.1500131742042557e-21,0.0,2.513515755757692e-30,0.0,0.9999961615715531
S-CPI,300,17.808608531951904,0.5223992182436896,0.0,0.12826715640711606,0.0,0.1931583465106923,0.0,0.29409455645454025,0.0,0.7020542223186668,0.0,0.0012057109675633897,0.0,0.8706999987014985,0.0,0.4069166138910221,0.0,0.0737829059292746,0.0,0.06825058826556246,0.0,0.5229048466593282,0.0,0.26009310323133134,0.0,0.41451128754831046,0.0,0.44571835035930907,0.0,0.15561286439527117,0.0,0.9180347131459997,0.0,0.36740448874383824,0.0,0.8646872564111714,0.0,0.09783504488825451,0.0,0.21536157120468458,0.0,0.40999954483454715,0.0,0.17205206806122753,0.0,0.11119612674859752,0.0,0.7415812633535885,0.0,0.45348307210657646,0.0,0.031456061648786615,0.0,0.5793879779146092,0.0,0.3793280284364267,0.0,0.4188653485442031,0.0,0.23655647697671406,0.0,0.8764502023421179,0.0,0.07615328762490715,0.0,0.8460542244406334,0.0,0.22447894870608742,0.0,0.9381014170051548,0.0,0.1608366864912693,0.0,0.8701045702668628,0.0,0.26923125253822267,0.0,0.5929905918084722,1.0,4.386617698434563e-09,0.0,0.27508103249952104,0.0,0.15539775334408734,0.0,0.9164645170784786,0.0,0.19947018746904271,0.0,0.1958199283599243,0.0,0.6799978063120464,0.0,0.8342829785800662,0.0,0.9274715079929433,0.0,0.6968097437764633,0.0,0.2834902989056549,0.0,0.8589410272180731
S-CPI_sqrt,300,17.831186056137085,0.5223992182436896,0.0,0.49663315205649605,0.0,0.48104612354078835,0.0,0.4997587711691517,0.0,0.5002545541592618,0.0,0.48531491790447157,0.0,0.5081343894379619,0.0,0.4987225934323982,0.0,0.4891966130402131,0.0,0.497055898635645,0.0,0.49989828885784493,0.0,0.49693489263033547,0.0,0.5006926169341495,0.0,0.5050863008840643,0.0,0.49783565277700764,0.0,0.5065467845409698,0.0,0.5025483274673189,0.0,0.5077233059607315,0.0,0.49657196606517373,0.0,0.4941967943568462,0.0,0.4978063222289893,0.0,0.49469286416608255,0.0,0.49476864845488705,0.0,0.5043578141570977,0.0,0.49570396352100904,0.0,0.4944051821362902,0.0,0.5024884606150407,0.0,0.4949093151514314,0.0,0.49597350650905486,0.0,0.49452883812623033,0.0,0.5049521862247962,0.0,0.49711261032554777,0.0,0.5065199078603405,0.0,0.49114313692832945,0.0,0.5042572230157301,0.0,0.495146637885323,0.0,0.516909470926345,0.0,0.49628323874674285,0.0,0.4990935910206756,1.0,0.004001653255972328,0.0,0.4515208623636157,0.0,0.49531494494883566,0.0,0.5126366066079981,0.0,0.49739478396149234,0.0,0.4986723497482436,0.0,0.5014655092538743,0.0,0.5035440897598784,0.0,0.5050414279610644,0.0,0.5068828903029504,0.0,0.4996696197830176,0.0,0.5075502617306453
S-CPI_n,300,17.828983306884766,0.5223992182436896,0.0,0.47060896699151017,0.0,0.352880905011264,0.0,0.4705699390496359,0.0,0.4900055560516282,0.0,0.3742431798825235,0.0,0.5368019146582849,0.0,0.4773011266997644,0.0,0.44034096623006197,0.0,0.46710035069696426,0.0,0.4973701228373638,0.0,0.4614674580924143,0.0,0.5107379818659236,0.0,0.5109466344475715,0.0,0.4775420009435033,0.0,0.5710319894397794,0.0,0.5511081294309425,0.0,0.5555301471027785,0.0,0.4746789167981577,0.0,0.4707443984856724,0.0,0.4900025225562722,0.0,0.45160111530509806,0.0,0.4442946947502952,0.0,0.5273790726668287,0.0,0.4917772291870961,0.0,0.45651006696537777,0.0,0.5361646694170527,0.0,0.4601658421404239,0.0,0.47168418593556427,0.0,0.49661053207975,0.0,0.5589336724816729,0.0,0.4682866543503758,0.0,0.5190399830401121,0.0,0.48781059170952684,0.0,0.5343122390507004,0.0,0.477560700674967,0.0,0.6053297928688988,0.0,0.42108809640250444,0.0,0.4732435095194966,1.0,9.2447188539258e-07,0.0,0.2967882337773464,0.0,0.464892352488266,0.0,0.588757728124251,0.0,0.4591684287579195,0.0,0.4785671090348544,0.0,0.49102588037591666,0.0,0.6048852334276162,0.0,0.5466359806816231,0.0,0.5594473008134732,0.0,0.4570269979045181,0.0,0.5503213068616971
S-CPI_bt,300,18.03055214881897,0.5223992182436896,0.0,0.473488325407806,0.0,0.343894674237776,0.0,0.47673759519841913,0.0,0.503405285882939,0.0,0.403667422078657,0.0,0.5521696692273489,0.0,0.4699880635336715,0.0,0.39020361122975367,0.0,0.4625731767416285,0.0,0.5175653562316425,0.0,0.45842642615451334,0.0,0.5128936069078266,0.0,0.5027167963087683,0.0,0.4516919563050874,0.0,0.5671282021550013,0.0,0.5105641552566963,0.0,0.5785815810743726,0.0,0.4567824959668869,0.0,0.48387039494383166,0.0,0.5019755056305213,0.0,0.48285046953093735,0.0,0.4489683890039462,0.0,0.4883941146924447,0.0,0.5165867084707171,0.0,0.45604680304028955,0.0,0.5297396295616404,0.0,0.39687513209166364,0.0,0.4889547814902443,0.0,0.4617545555112411,0.0,0.5454217193579174,0.0,0.46914233795076277,0.0,0.554731769089683,0.0,0.45200630730569485,0.0,0.5376350046332888,0.0,0.466531648416312,0.0,0.6642542021378548,0.0,0.43353255665583645,0.0,0.465521904239552,1.0,5.745254413557408e-173,0.0,0.05254554317968224,0.0,0.4273252337648547,0.0,0.6570601240912872,0.0,0.4344045826485021,0.0,0.47113787805645135,0.0,0.48649892964162866,0.0,0.5934674576628542,0.0,0.542007188135564,0.0,0.5850681584501951,0.0,0.4703886468396108,0.0,0.5380314819814579
