method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,77.43440318107605,0.6269554863385474,1.0,0.999231000685653,1.0,0.7226380834162599,1.0,0.8511431836324537,1.0,0.8384315896874481,1.0,0.2331588769986952,1.0,0.5879954477462463,1.0,0.9911841821535147,1.0,4.368738770743619e-08,1.0,0.9999998891383577,1.0,0.0015050656775453808,1.0,0.21459112336263242,1.0,0.8229981875177719,0.0,0.6645970138306753,0.0,0.9999266380022268,0.0,0.8053756015665423,0.0,0.1214634451550951,0.0,0.9999999074125617,0.0,0.0001336566398867367,0.0,0.033587683134777446,0.0,0.0008662871475626499,0.0,0.32241304863327325,0.0,0.9999858153786342,0.0,0.12321008901983976,0.0,0.6799110399726116,0.0,4.962149121257031e-05,0.0,0.008615926112999328,0.0,0.2738279296112165,0.0,0.9827025280722061,0.0,0.000389522392500119,0.0,0.6859074239283215,0.0,0.9043012294092149,0.0,0.9999137484704025,0.0,0.9769925128989643,0.0,0.8163825181746851,0.0,0.9996706058896342,0.0,0.0036299934793760924,0.0,0.992034725032481,0.0,0.9941109562457223,0.0,0.999960300448647,0.0,2.7338571439994297e-07,0.0,0.01626778428489495,0.0,0.3938603421373621,0.0,0.5856191411260048,0.0,0.6215322271537508,0.0,0.004382762173655519,0.0,0.030660745660751054,0.0,0.01818930083857595,0.0,0.12783320407334509,0.0,0.998083232681294,0.0,0.9987055999646522
CPI,300,4.24618124961853,0.6269554863385474,1.0,0.48193607386495385,1.0,0.0327337295236185,1.0,0.2707354714763656,1.0,0.0005534776017967897,1.0,0.00020212352837505507,1.0,0.04780381669237445,1.0,0.8873021205742639,1.0,0.0014594664140141348,1.0,0.006202292684961143,1.0,0.03729806449446941,1.0,0.0007255940361312349,1.0,0.1591210503728097,0.0,0.16194962211166158,0.0,0.13208769242889756,0.0,0.9320806368041858,0.0,0.564657713740025,0.0,0.9977028465416464,0.0,0.32441036756219266,0.0,0.8193939125450831,0.0,0.6023017185467375,0.0,0.44462114157690985,0.0,0.17809281490905837,0.0,0.10380559631750202,0.0,0.884398624140651,0.0,0.9277986875160911,0.0,0.33166016966837475,0.0,0.005524475611504143,0.0,0.9447420154672184,0.0,0.38538088331993947,0.0,0.11346042886001734,0.0,0.6827040756689411,0.0,0.24774580351710285,0.0,0.9481124772763146,0.0,0.07229542932626108,0.0,0.7905123764094208,0.0,0.5429172526366798,0.0,0.5214477883773205,0.0,0.5478745256733943,0.0,0.24801981739940815,0.0,0.6849442650359827,0.0,0.8825241066120344,0.0,0.3105798688983792,0.0,0.2812564909124854,0.0,0.11179537629726999,0.0,0.19405539669548372,0.0,0.3245158014529097,0.0,0.2810706326689582,0.0,0.4827344336647521,0.0,0.18210651647411769,0.0,0.6985896211559302
CPI_sqrt,300,4.2643349170684814,0.6269554863385474,1.0,0.4915093178567661,1.0,0.45194020295208975,1.0,0.3879045740539002,1.0,0.1926081119197659,1.0,0.056892259856991964,1.0,0.34048229295503696,1.0,0.5545529450021672,1.0,0.06185137795816716,1.0,0.4849037685234914,1.0,0.5091468412794076,1.0,0.0812322136311473,1.0,0.15277175083469718,0.0,0.5057297790175259,0.0,0.4870570289884904,0.0,0.5040458271467562,0.0,0.5053404251534721,0.0,0.5106037187880071,0.0,0.49726237467124274,0.0,0.5029737013885449,0.0,0.4956860144390438,0.0,0.46757360628636513,0.0,0.5088410802795791,0.0,0.48218715090992315,0.0,0.5052843105403886,0.0,0.49709564386830124,0.0,0.49251744914393514,0.0,0.470248528385028,0.0,0.5144610835457313,0.0,0.4929189700006842,0.0,0.46958070314979483,0.0,0.4957497014569359,0.0,0.49008067174653114,0.0,0.5047153430560269,0.0,0.4913941915605881,0.0,0.5097048743807006,0.0,0.5076807193210947,0.0,0.4990610342331147,0.0,0.4968963242683453,0.0,0.4952745569936647,0.0,0.49985272379675444,0.0,0.49304459014764423,0.0,0.48677871717654747,0.0,0.5016515089706464,0.0,0.49215518839876227,0.0,0.4877658461031755,0.0,0.493380511647673,0.0,0.49144827118069495,0.0,0.5034954534396839,0.0,0.4388956201126962,0.0,0.4902006302566941
CPI_n,300,4.27214241027832,0.6269554863385474,1.0,0.45714393611095994,1.0,0.36987061100557506,1.0,0.5461679304211199,1.0,0.016343175078611754,1.0,0.001906725728577349,1.0,0.2199540737614501,1.0,0.7851142578403654,1.0,0.003662884060977946,1.0,0.5473778841110112,1.0,0.6566677145496441,1.0,0.0013040312818302197,1.0,0.022813046603656562,0.0,0.4641327208027263,0.0,0.41953387648450813,0.0,0.4706318442784248,0.0,0.5077663429004625,0.0,0.5292879147963624,0.0,0.472224968042984,0.0,0.5159746227793759,0.0,0.5706345636870541,0.0,0.45116090222157473,0.0,0.5987804709926382,0.0,0.31271642240191133,0.0,0.5791201928937952,0.0,0.5458771597332703,0.0,0.39602413745144194,0.0,0.24748657836155658,0.0,0.5003211497260504,0.0,0.39868687065806657,0.0,0.38438074606948913,0.0,0.4092909042848334,0.0,0.381783115381209,0.0,0.5509771540442762,0.0,0.4313332267180178,0.0,0.37370673439856306,0.0,0.7771338217770359,0.0,0.4957779849125661,0.0,0.48308108548120315,0.0,0.4557054691331201,0.0,0.6282355383148195,0.0,0.4728651095383493,0.0,0.348465419375694,0.0,0.41353964052071746,0.0,0.47908136557313613,0.0,0.4288047834892597,0.0,0.526896345278623,0.0,0.41104528657112444,0.0,0.508826157870803,0.0,0.28938278963530584,0.0,0.3902053996166127
CPI_bt,300,4.449337720870972,0.6269554863385474,1.0,0.5351864854235711,1.0,0.2949404525389898,1.0,0.004928458082637875,1.0,3.67264582137906e-08,1.0,4.317039673039436e-08,1.0,2.526676723800743e-05,1.0,0.9356498326402605,1.0,4.6613410830525695e-05,1.0,0.26846167989432124,1.0,0.4041598572250384,1.0,6.70412357671862e-15,1.0,0.908957654275117,0.0,0.22427469453134202,0.0,0.39475488679414905,0.0,0.41845029707994674,0.0,0.5162256972813529,0.0,0.5728427726382316,0.0,0.35764420674869657,0.0,0.47700285753521104,0.0,0.4862866581608372,0.0,0.45343578496167186,0.0,0.3672055569533088,0.0,0.3719216294534915,0.0,0.4232517962205822,0.0,0.4009568319834076,0.0,0.499830176282922,0.0,0.2857944938832307,0.0,0.5827665754384146,0.0,0.3649208488323867,0.0,0.4567198587601549,0.0,0.42664084608445607,0.0,0.45464091002546514,0.0,0.5060658464614958,0.0,0.48273697491779194,0.0,0.5233873262535708,0.0,0.9247464591826846,0.0,0.48939577225106445,0.0,0.44244014374154017,0.0,0.3578227497487629,0.0,0.6103884080792089,0.0,0.5630702411755802,0.0,0.27437677138677236,0.0,0.46629410652328723,0.0,0.4587183215323201,0.0,0.38946665784018686,0.0,0.4786744116645076,0.0,0.4956123685621176,0.0,0.42906462000986856,0.0,0.06672087728798352,0.0,0.6412577195713184
CPI_sqd,300,4.417692422866821,0.6269554863385474,1.0,1.8697274645690784e-20,1.0,1.0,1.0,2.130291505414244e-07,1.0,1.5123444229166716e-36,1.0,1.0547757157579531e-16,1.0,1.597483641024575e-13,1.0,1.0,1.0,5.256016010914721e-12,1.0,3.3691628986188063e-156,1.0,3.646880146010588e-43,1.0,7.2666891688405e-16,1.0,0.04388232600519278,0.0,4.089376402277554e-15,0.0,5.127642892597653e-149,0.0,1.0,0.0,0.9999993770135063,0.0,0.9999999999999991,0.0,9.8097299342868e-107,0.0,1.3805286532485955e-31,0.0,2.211759258681716e-96,0.0,0.0,0.0,1.6466447472713744e-19,0.0,1.5592173380571694e-83,0.0,1.0090422348855994e-84,0.0,0.5448796404836496,0.0,0.9999999933706442,0.0,2.2661063093016435e-276,0.0,1.0,0.0,1.2895782988037835e-107,0.0,8.936756690268916e-136,0.0,2.8646092349065726e-38,0.0,4.593397155104815e-109,0.0,7.291315301716524e-43,0.0,0.9701422752420081,0.0,0.9999999984737361,0.0,8.904585065967732e-06,0.0,0.998396246478074,0.0,3.571294241153354e-52,0.0,4.0587936043562564e-19,0.0,1.0,0.0,0.05017101754720264,0.0,1.5950265673317046e-77,0.0,5.2459674780726665e-11,0.0,9.467419016568485e-31,0.0,1.97776605973133e-93,0.0,0.19790685935415597,0.0,0.00017514731842800736,0.0,1.0,0.0,1.1545176728981268e-37,0.0,0.0037835730018107626
S-CPI,300,4.631348133087158,0.6269554863385474,1.0,0.5750977439694233,1.0,0.3900350553947799,1.0,0.2765380414976123,1.0,0.008125087411875126,1.0,0.003922534795803376,1.0,0.16208819331975738,1.0,0.9085078365848751,1.0,0.009660563617810938,1.0,0.04844872987061641,1.0,0.5875234549539111,1.0,0.00013325203767478982,1.0,0.24850536254364708,0.0,0.19216110067887004,0.0,0.10514798639022399,0.0,0.3873888919418094,0.0,0.5402636958548416,0.0,0.9545081932952229,0.0,0.012232781485157556,0.0,0.5105164275796935,0.0,0.26680287408600445,0.0,0.28560200462966767,0.0,0.5114204172954095,0.0,0.19465104651320647,0.0,0.4685720692305512,0.0,0.848406988280202,0.0,0.4928704050092423,0.0,0.02148099920512696,0.0,0.895077152035397,0.0,0.5211788451129853,0.0,0.10935927129815448,0.0,0.2018513704042076,0.0,0.22957310492188548,0.0,0.4505665136717162,0.0,0.16168247068185443,0.0,0.4761233518317438,0.0,0.708874062392701,0.0,0.3987030109819733,0.0,0.29190340348396415,0.0,0.07288893640237532,0.0,0.6762919909204627,0.0,0.8838864233122667,0.0,0.2660398076342121,0.0,0.5255181365906647,0.0,0.21397377161286124,0.0,0.18901144975602796,0.0,0.5667028384276506,0.0,0.2806468888670087,0.0,0.5974435601809812,0.0,0.05769654822795171,0.0,0.6896027626609091
S-CPI_sqrt,300,4.641019344329834,0.6269554863385474,1.0,0.5009417820762206,1.0,0.4677442348671198,1.0,0.430500558983811,1.0,0.12545923308746204,1.0,0.0789763494201472,1.0,0.3119749603443479,1.0,0.602317961266728,1.0,0.07341973879429803,1.0,0.45198835594347514,1.0,0.491739175656144,1.0,0.019053714208565973,1.0,0.3997594705446858,0.0,0.47608178248484445,0.0,0.49030088030848146,0.0,0.4906475211356318,0.0,0.4969794108371305,0.0,0.5140546292283822,0.0,0.4722265776937829,0.0,0.49247358128756075,0.0,0.49336321612063777,0.0,0.4331613125240892,0.0,0.5027348506142779,0.0,0.47527969816114174,0.0,0.5055688751847144,0.0,0.5075353858586649,0.0,0.5005824297195648,0.0,0.44671413548935685,0.0,0.5188021336731354,0.0,0.5088962344091161,0.0,0.47314575819874927,0.0,0.48945472517191246,0.0,0.4787790183033412,0.0,0.5030513787045898,0.0,0.4947314139582229,0.0,0.4950052587112234,0.0,0.4914962092485699,0.0,0.4996130997828373,0.0,0.4970535920253793,0.0,0.48413747814147295,0.0,0.49534028375352224,0.0,0.512713187279249,0.0,0.4821172047608691,0.0,0.49748089936910983,0.0,0.490120757347065,0.0,0.4840114927371879,0.0,0.4957576364208372,0.0,0.4839931091418936,0.0,0.497695968367599,0.0,0.43846910925753446,0.0,0.5074923462277422
S-CPI_n,300,4.639695405960083,0.6269554863385474,1.0,0.4382671723871969,1.0,0.2870951727313039,1.0,0.32647615021932885,1.0,0.02076420498850319,1.0,0.012386684970408068,1.0,0.1500497131842531,1.0,0.8282862605323487,1.0,0.01584769673940609,1.0,0.28802735393730683,1.0,0.5299665747683837,1.0,0.0006043754126757803,1.0,0.35952489531062864,0.0,0.3559335377609174,0.0,0.29928819065767304,0.0,0.5060259250554483,0.0,0.5055728472069297,0.0,0.5807984450646877,0.0,0.30636764353937923,0.0,0.5326538562691966,0.0,0.4679343547843422,0.0,0.3089342561712166,0.0,0.47818516489269763,0.0,0.2990191196405653,0.0,0.4769646768467394,0.0,0.5760136986133214,0.0,0.4832019589917361,0.0,0.3096181479758816,0.0,0.6161941272758662,0.0,0.42950323116225164,0.0,0.2969182232660855,0.0,0.432133183649465,0.0,0.3596660735150117,0.0,0.562044137599146,0.0,0.46098158889333907,0.0,0.5713420428926342,0.0,0.6151307373670444,0.0,0.4938328648318537,0.0,0.5050998062373497,0.0,0.39848930754483813,0.0,0.5711472920119058,0.0,0.6234573579637428,0.0,0.4254554220876205,0.0,0.4650111710322066,0.0,0.41234686012754185,0.0,0.386820952098238,0.0,0.43050494704921327,0.0,0.3392205474361847,0.0,0.5578702092793703,0.0,0.23936620656583546,0.0,0.5458423385752081
S-CPI_bt,300,4.826033115386963,0.6269554863385474,1.0,0.4578883209700997,1.0,0.43365038287364444,1.0,0.013011114681218273,1.0,1.2856863895470982e-07,1.0,8.456386176238106e-05,1.0,0.00016243715139991895,1.0,0.9909867553670269,1.0,0.0006137277966708094,1.0,0.17517864730126448,1.0,0.7776397363703038,1.0,3.5830262718609445e-09,1.0,0.01640928135930495,0.0,0.4040112593878354,0.0,0.31415261408395634,0.0,0.4774718249512279,0.0,0.5194492578130157,0.0,0.5711618753827372,0.0,0.23384474112948656,0.0,0.38586173526559875,0.0,0.46586391176982067,0.0,0.11125311809168381,0.0,0.3120158410543514,0.0,0.20751043263231894,0.0,0.46826048179886254,0.0,0.5347927271079339,0.0,0.48914910321224936,0.0,0.16032072240434608,0.0,0.6198498387032574,0.0,0.534300780728104,0.0,0.28341922091770205,0.0,0.4288501384147655,0.0,0.29323156314417864,0.0,0.5528727207016715,0.0,0.40313883710452847,0.0,0.4603709145013435,0.0,0.9737185362761709,0.0,0.4900138079244508,0.0,0.4951943203325338,0.0,0.31877945585630657,0.0,0.627908207385449,0.0,0.5815349022267225,0.0,0.25638129814872823,0.0,0.5292742986206159,0.0,0.4890939477035481,0.0,0.3160415932753986,0.0,0.4555761116457492,0.0,0.5557965129079702,0.0,0.7194164366061369,0.0,0.12906522936636267,0.0,0.5835631046656491
