method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,26.558285236358643,0.866826455769089,1.0,0.7355129482846633,1.0,0.3691551632609823,1.0,0.8824883324644739,1.0,0.5345716908465861,1.0,0.5160584260831469,1.0,0.15423610069882554,1.0,0.5147488035360388,1.0,0.6974230228387202,1.0,0.669246402060339,1.0,0.5073010817646344,1.0,0.39889146539598075,1.0,0.6425032512719446,0.0,0.6516752093621444,0.0,0.400368927423046,0.0,0.5250188926668544,0.0,0.16032925946946464,0.0,0.5257476369845856,0.0,0.09210634767852377,0.0,0.25656398903044564,0.0,0.48283411156822154,0.0,0.6919778237026577,0.0,0.16501821431416852,0.0,0.5401592753441542,0.0,0.21999680704486946,0.0,0.17320837391094768,0.0,0.25546102751801625,0.0,0.5181781288423302,0.0,0.31325578291370115,0.0,0.1558313874675954,0.0,0.23178157841224611,0.0,0.8283454157511105,0.0,0.49823085077440243,0.0,0.3915960658014104,0.0,0.563078424393165,0.0,0.23113367435107035,0.0,0.25812391049832084,0.0,0.7169981569728033,0.0,0.4585840673363901,0.0,0.12135631198733932,0.0,0.38800398047673434,0.0,0.5943651567294965,0.0,0.12058399789278629,0.0,0.5606499166393257,0.0,0.043845548261953304,0.0,0.5105867124123957,0.0,0.7641319159119235,0.0,0.5747452154420185,0.0,0.15015310621864397,0.0,0.3213509890348596,0.0,0.6146691872774321
CPI,300,4.185883045196533,0.866826455769089,1.0,0.021747858999110754,1.0,0.0025152852695138343,1.0,0.00032835498522395195,1.0,0.0004276682204054032,1.0,0.0006576050468159687,1.0,0.007016467040924562,1.0,0.08352062805733301,1.0,0.15521502117307195,1.0,0.018158983207017514,1.0,0.2086508134042961,1.0,0.9930344500946705,1.0,0.00252403880784796,0.0,0.6569413021303858,0.0,0.5211591293433561,0.0,0.4681463904665253,0.0,0.541247986919074,0.0,0.9939575965223363,0.0,0.3736412921621405,0.0,0.42563446430640406,0.0,0.2802769523916355,0.0,0.47623964792628676,0.0,0.2933117056295123,0.0,0.5010031233591363,0.0,0.30793070057775174,0.0,0.4106313964144022,0.0,0.07996571262877461,0.0,0.8201145918008909,0.0,0.8689224925887924,0.0,0.6203687988929064,0.0,0.7523958341618326,0.0,0.3563639479571543,0.0,0.6984481871959469,0.0,0.7664558007311513,0.0,0.0736436948805721,0.0,0.15642996046887647,0.0,0.6408428871492186,0.0,0.605730845465415,0.0,0.6608870652395864,0.0,0.1768103302212446,0.0,0.7357944223351545,0.0,0.43158964200663774,0.0,0.7917171918430009,0.0,0.6534492891975852,0.0,0.07804758800071691,0.0,0.9237456219655937,0.0,0.2132317168233368,0.0,0.9817685815997959,0.0,0.20562564457737809,0.0,0.33919293302935316,0.0,0.21782619178827295
CPI_sqrt,300,4.1725029945373535,0.866826455769089,1.0,0.13169843564830175,1.0,0.21757426895624127,1.0,0.020869095239314045,1.0,0.09367447691232894,1.0,0.035188067476755625,1.0,0.14882618310791984,1.0,0.40440157996075426,1.0,0.31166144586660705,1.0,0.3981536252390967,1.0,0.5259168206103398,1.0,0.6104132461235879,1.0,0.3448149030630745,0.0,0.5562614625847959,0.0,0.4366137283342968,0.0,0.4676559817865602,0.0,0.4656198457690561,0.0,0.566425567560917,0.0,0.4823768396046091,0.0,0.4858858577905301,0.0,0.4660004678608674,0.0,0.5265618342936239,0.0,0.5362398130552759,0.0,0.49645422960136976,0.0,0.49414480051474813,0.0,0.529229777540721,0.0,0.41034548408246435,0.0,0.5212100354613876,0.0,0.5554252423435807,0.0,0.5131880926691756,0.0,0.48053813577373017,0.0,0.5392765744338383,0.0,0.5086909410418591,0.0,0.5291691446559129,0.0,0.5212486337459316,0.0,0.43863453930219504,0.0,0.5248330995082882,0.0,0.6033419129494507,0.0,0.5801864237273646,0.0,0.4612030070730709,0.0,0.6273042949709052,0.0,0.45871148511697235,0.0,0.4369454895646038,0.0,0.4719640735362241,0.0,0.4056557718425066,0.0,0.5422497654168635,0.0,0.4665727933135178,0.0,0.5890612275455797,0.0,0.4895468404615352,0.0,0.4571032121095105,0.0,0.4681774894924078
CPI_n,300,4.175611734390259,0.866826455769089,1.0,0.03890627088831262,1.0,0.0009480213449225795,1.0,0.0013269318034024582,1.0,0.0017919478746241323,1.0,0.0020772323165511807,1.0,0.006533383883537752,1.0,0.3834115120582975,1.0,0.11225170431364934,1.0,0.21079995443444183,1.0,0.379817071468059,1.0,0.6929235268734483,1.0,0.03974865172471597,0.0,0.8138179241985424,0.0,0.3443632901536675,0.0,0.19807843607072212,0.0,0.47823613133274884,0.0,0.4669807700097916,0.0,0.4892939760394098,0.0,0.38633743002688126,0.0,0.45061390223205333,0.0,0.600643425995907,0.0,0.44241396028375357,0.0,0.5497499063507361,0.0,0.3826745476620551,0.0,0.4004178247191801,0.0,0.3295243244545332,0.0,0.6165976894377343,0.0,0.8245764835452687,0.0,0.5272156737833613,0.0,0.4695679002423741,0.0,0.6737698006436724,0.0,0.41792140294697777,0.0,0.9200153986064602,0.0,0.6196690915072668,0.0,0.33179872703104585,0.0,0.47382118131865314,0.0,0.40269236034736167,0.0,0.7806136449815104,0.0,0.23258692321064517,0.0,0.595858670852838,0.0,0.5666980317386292,0.0,0.7265867966136864,0.0,0.6934435329408398,0.0,0.517281448674607,0.0,0.48856407760635157,0.0,0.3880620091252519,0.0,0.5935276598220023,0.0,0.12617285224446784,0.0,0.3837894914426606,0.0,0.4670718642926446
CPI_bt,300,4.3819310665130615,0.866826455769089,1.0,0.010512495162992162,1.0,6.333885825331122e-05,1.0,5.532459573967573e-09,1.0,1.971319605248485e-05,1.0,3.225026637500027e-11,1.0,3.4380164488188123e-09,1.0,0.4267694174749091,1.0,0.0020100830127864613,1.0,0.01445862980915631,1.0,0.6805841067483254,1.0,0.9828696080371954,1.0,2.7822269577310336e-06,0.0,0.9662925169404283,0.0,0.032717341866199,0.0,0.31680488953239594,0.0,0.07800342869000074,0.0,0.30472220124886895,0.0,0.48644280414494734,0.0,0.4797154757478582,0.0,0.31790689431065444,0.0,0.9638174479645958,0.0,0.22461756867421134,0.0,0.34073700837273957,0.0,0.2577851207885069,0.0,0.9234018513499824,0.0,0.12060407229864839,0.0,0.8600227150988565,0.0,0.860607103854049,0.0,0.3770379605853309,0.0,0.28122014481281665,0.0,0.723267661582655,0.0,0.6719864197020529,0.0,0.8930965827821395,0.0,0.51099447734862,0.0,0.2482026670657258,0.0,0.4012802433884576,0.0,0.7847874991601739,0.0,0.6691655902851363,0.0,0.09223614257019985,0.0,0.6948801393345095,0.0,0.6500830552778386,0.0,0.4406061175278814,0.0,0.8429889224790412,0.0,0.019168134430164296,0.0,0.8280847098937824,0.0,0.02741565063995877,0.0,0.817475790149883,0.0,0.02072018379219147,0.0,0.43624999345134635,0.0,0.7979384789522613
CPI_sqd,300,4.371993064880371,0.866826455769089,1.0,5.898537172620805e-07,1.0,5.177234655398683e-13,1.0,3.66602217877562e-06,1.0,0.00254795055236902,1.0,1.6119318959584855e-05,1.0,1.970063780281449e-18,1.0,0.9887714312257742,1.0,1.899777821095359e-30,1.0,7.75783837053768e-50,1.0,2.9604835311866897e-12,1.0,1.0,1.0,2.247845276483041e-19,0.0,0.9999999999999882,0.0,0.00014826515664088938,0.0,4.664133398810534e-24,0.0,5.769572251062662e-103,0.0,0.7571852923706962,0.0,4.265288583188705e-06,0.0,0.9999999999755215,0.0,3.0587016070305538e-68,0.0,0.9638467146009362,0.0,7.1993056853840745e-37,0.0,0.9381933747309189,0.0,0.04272107219781468,0.0,1.0,0.0,1.0775396115418104e-16,0.0,1.0,0.0,0.49111623737183596,0.0,2.3882536031750845e-15,0.0,0.9999999736820111,0.0,0.4950528467201883,0.0,0.9999999995599138,0.0,1.0,0.0,0.00023721887196270503,0.0,0.9999999997469666,0.0,0.9824866006079603,0.0,0.9999998937420613,0.0,1.0,0.0,1.6837576042341845e-112,0.0,1.0,0.0,1.50224387385296e-23,0.0,1.0,0.0,1.0,0.0,2.1570145387168103e-57,0.0,0.0010720888457355793,0.0,0.4643126771137182,0.0,0.9999998060979521,0.0,9.514378111518069e-24,0.0,0.7281130702311754,0.0,0.9999999963652138
S-CPI,300,4.3456971645355225,0.866826455769089,1.0,0.019130656362609563,1.0,0.01582095341002839,1.0,0.000780990957731256,1.0,0.05374644566161897,1.0,0.0008367396373332434,1.0,0.0101937525047002,1.0,0.5323432453737964,1.0,0.12111012390439096,1.0,0.02392909254671956,1.0,0.50762131064094,1.0,0.9481553996446586,1.0,0.02342145973503944,0.0,0.872114080890084,0.0,0.6843561334408398,0.0,0.2542125979874559,0.0,0.40021213478413875,0.0,0.9124252041835111,0.0,0.8769495098708115,0.0,0.8284947256606695,0.0,0.23604426888987817,0.0,0.6831171102768743,0.0,0.4169086873526491,0.0,0.6205384996534207,0.0,0.3470209773737618,0.0,0.8212350185884907,0.0,0.2668474534053549,0.0,0.8672154605549203,0.0,0.9263491777621224,0.0,0.6021199773697739,0.0,0.36010149039315575,0.0,0.7376201646420288,0.0,0.831616053804701,0.0,0.9948227124120472,0.0,0.34505371143792474,0.0,0.7191490888634412,0.0,0.7423107083691975,0.0,0.9589546972728558,0.0,0.9331814219748245,0.0,0.18965656108451545,0.0,0.9837270702397458,0.0,0.437310312880697,0.0,0.6956098679421648,0.0,0.7105826124979467,0.0,0.0722840687598672,0.0,0.7046437054968622,0.0,0.9061027636345379,0.0,0.9479161170877174,0.0,0.21856204509885463,0.0,0.6169417520806004,0.0,0.44888478366305373
S-CPI_sqrt,300,4.350548267364502,0.866826455769089,1.0,0.39287418760695353,1.0,0.0922319591015694,1.0,0.01678040049292241,1.0,0.1475219437064944,1.0,0.021745754367945794,1.0,0.14565677541051708,1.0,0.5510105919333627,1.0,0.34876115898980065,1.0,0.42621662705655783,1.0,0.4740739145069173,1.0,0.656601291862166,1.0,0.29974373170461666,0.0,0.6114409355907385,0.0,0.4831640067684305,0.0,0.45786327391334564,0.0,0.4625240970273787,0.0,0.5435062872726071,0.0,0.555702379829356,0.0,0.5155990533988424,0.0,0.4829576853082123,0.0,0.5361905455082734,0.0,0.5255491677384805,0.0,0.504124544632916,0.0,0.4719558911337851,0.0,0.5283872901090203,0.0,0.46225833824752127,0.0,0.5757968539783417,0.0,0.5798946067263474,0.0,0.5211768918006506,0.0,0.47626102703955714,0.0,0.5256557926995947,0.0,0.4821406112096654,0.0,0.6505150799853816,0.0,0.4744979436404601,0.0,0.5532980463794824,0.0,0.553334673901746,0.0,0.6091168268562617,0.0,0.6268339804416083,0.0,0.4218662491242499,0.0,0.6307754719421943,0.0,0.4969322999041238,0.0,0.5671028574653525,0.0,0.5501235218724929,0.0,0.4205634859723115,0.0,0.5190751095022549,0.0,0.6593886527994409,0.0,0.6349983363522962,0.0,0.5145443292801708,0.0,0.4971510583443663,0.0,0.4967443896415461
S-CPI_n,300,4.346432685852051,0.866826455769089,1.0,0.053984439688100794,1.0,0.011546385437692321,1.0,0.0005908950538692786,1.0,0.16094932740702578,1.0,0.0023783264827776764,1.0,0.031300531504218396,1.0,0.7039519729452275,1.0,0.08251727546279702,1.0,0.22520303801006247,1.0,0.5883564711206781,1.0,0.9459353584917959,1.0,0.06352522178278186,0.0,0.7796067081934239,0.0,0.6924108479560271,0.0,0.3880144074610991,0.0,0.43147068590366067,0.0,0.7714276555467205,0.0,0.7471677069802722,0.0,0.6550757247899144,0.0,0.39219250517052223,0.0,0.6237207804288321,0.0,0.42572978056977345,0.0,0.4668618231928223,0.0,0.4920890919732844,0.0,0.8473654247763389,0.0,0.32634105515928424,0.0,0.7600592669748498,0.0,0.8030463166955818,0.0,0.6431880816442174,0.0,0.35978339745735377,0.0,0.686048216761441,0.0,0.6099005104432755,0.0,0.9585421807952315,0.0,0.4059559950792667,0.0,0.4409885875528645,0.0,0.7160829420014716,0.0,0.8489554639748182,0.0,0.8328194086971075,0.0,0.09764591991871979,0.0,0.8970247733768498,0.0,0.5459813735524132,0.0,0.7582549798534175,0.0,0.7184757601054255,0.0,0.17321638516785143,0.0,0.6427273549302335,0.0,0.8359096941616888,0.0,0.9570736767943969,0.0,0.4172829878478512,0.0,0.44218797271220095,0.0,0.4406663702380732
S-CPI_bt,300,4.548821687698364,0.866826455769089,1.0,0.009299670144789352,1.0,1.6587667217021476e-05,1.0,0.00029610432938405236,1.0,0.09664768299282278,1.0,0.01683314943104191,1.0,4.692665486005235e-06,1.0,0.8434910450219879,1.0,0.004428009384805784,1.0,0.0030457828078418424,1.0,0.44333372376877567,1.0,0.9957172300964727,1.0,0.0038694527891626578,0.0,0.971195492034018,0.0,0.9077075331531856,0.0,0.1395651571486627,0.0,0.3434213933201754,0.0,0.9309693253909285,0.0,0.9237703922898541,0.0,0.8782083573274615,0.0,0.22707061958753982,0.0,0.9552139683302143,0.0,0.5317798321090771,0.0,0.5516976323364984,0.0,0.1796865974093485,0.0,0.7090809990679361,0.0,0.1767759954248826,0.0,0.8951493748489854,0.0,0.9915264197284702,0.0,0.8258837996353663,0.0,0.34755050574790847,0.0,0.9201486428944303,0.0,0.8672097274822832,0.0,0.9991546602896877,0.0,0.5773081552150936,0.0,0.6940111602672325,0.0,0.7203457461009211,0.0,0.8245721506992814,0.0,0.9972948144312895,0.0,0.0011276242115613225,0.0,0.9989498386362855,0.0,0.6469670890394279,0.0,0.8883714546128245,0.0,0.9676590058311162,0.0,0.04981202165663098,0.0,0.7777742832382055,0.0,0.9945876634882594,0.0,0.9998526984997617,0.0,0.5059670713668086,0.0,0.48806571733258897,0.0,0.29526548225729543
