method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,125.48866939544678,0.6872924322889862,1.0,0.8341219763816052,1.0,0.7812494379260387,1.0,0.44455310148685445,1.0,0.9862555405009977,1.0,0.38335204795621425,1.0,0.10432785710062131,1.0,0.02134773891359465,1.0,0.17568208277721897,1.0,0.4516815439220305,1.0,0.9690670008103399,1.0,0.9426974985541566,1.0,0.35130838088119787,0.0,0.035219224775403735,0.0,0.11072739269263687,0.0,0.4975456880402155,0.0,0.041034071779555537,0.0,0.2814980187902698,0.0,0.809034948979531,0.0,0.865012443547318,0.0,1.8870349812627474e-05,0.0,0.09861752303583327,0.0,0.6052029011649257,0.0,0.3310443896661023,0.0,0.42541059059120334,0.0,0.7531914035889811,0.0,0.6314703796442807,0.0,0.12473439887055915,0.0,0.3617701238980531,0.0,0.5624079942681018,0.0,0.510784717979381,0.0,0.6314756398881084,0.0,0.8503777927821643,0.0,0.912268559708465,0.0,0.6122788647826158,0.0,0.8775152873677035,0.0,0.397069387292851,0.0,0.6007198012903441,0.0,0.2560487929385673,0.0,0.17377422236979934,0.0,0.06758832669851655,0.0,0.05697916577451867,0.0,0.056407252974595146,0.0,0.6823487676031483,0.0,0.2892252529785797,0.0,0.816201548971358,0.0,0.19961055626575575,0.0,0.9950570715777671,0.0,0.013410334131074952,0.0,0.9296378088403389,0.0,0.9996508081299137
CPI,300,6.435151100158691,0.6872924322889862,1.0,0.006005504981312115,1.0,0.8630183363764711,1.0,0.5254739607023828,1.0,0.015674896587927683,1.0,0.7715194148893052,1.0,0.7744364722497892,1.0,1.364597361128334e-05,1.0,0.7508029995838298,1.0,0.3742088798477117,1.0,0.0751311043916366,1.0,0.0597156133730664,1.0,0.24440162602764826,0.0,0.08248052424384267,0.0,0.369173732021154,0.0,0.9389355682153279,0.0,0.0884978188950763,0.0,0.08073763620193714,0.0,0.24296439760926913,0.0,0.9456991163464183,0.0,0.3484384131742892,0.0,0.5584349250144915,0.0,0.7227346105102674,0.0,0.23595466036267315,0.0,0.6891413084661724,0.0,0.23837077574561594,0.0,0.3635829812843211,0.0,0.06676606768019831,0.0,0.11269584042340192,0.0,0.7057537700237411,0.0,0.91640165448495,0.0,0.13774977990486775,0.0,0.08497406876590607,0.0,0.5516983090885631,0.0,0.43334519419887285,0.0,0.210416363283282,0.0,0.8930753287556803,0.0,0.6745376920332373,0.0,0.494086726291679,0.0,0.38664575881038654,0.0,0.2567781505436992,0.0,0.723973181262176,0.0,0.46264000659119336,0.0,0.6426824765420528,0.0,0.41081243569710185,0.0,0.7162871455463521,0.0,0.1429728813547992,0.0,0.14254572716748737,0.0,0.9882941882385495,0.0,0.5330842680217771,0.0,0.23800902352703274
CPI_sqrt,300,6.43584680557251,0.6872924322889862,1.0,0.30687558349225774,1.0,0.5062296267540002,1.0,0.5134730042300811,1.0,0.49738963308375755,1.0,0.4985189154374561,1.0,0.5554684902602604,1.0,0.005565602101196543,1.0,0.5001533834283752,1.0,0.5029229040773787,1.0,0.37769179634129424,1.0,0.36208820711226064,1.0,0.49472112338475116,0.0,0.5005631666653284,0.0,0.5035693111380334,0.0,0.5011470911096914,0.0,0.49079319477800326,0.0,0.49239505484502205,0.0,0.4869045505499693,0.0,0.513972594013345,0.0,0.5027953591726441,0.0,0.4884885909721478,0.0,0.4837133301521737,0.0,0.48839773976028916,0.0,0.503575635318783,0.0,0.5031216149422355,0.0,0.5038153368093662,0.0,0.47230216332727926,0.0,0.4942358162625243,0.0,0.49565693525905724,0.0,0.5128826598562659,0.0,0.49338434028589306,0.0,0.4707520505476845,0.0,0.49028753472086234,0.0,0.5066596079471718,0.0,0.4900660774434612,0.0,0.5179373113951034,0.0,0.4850677472445157,0.0,0.49423632000201934,0.0,0.4997366802657612,0.0,0.5046557192751352,0.0,0.49724650389910036,0.0,0.4949913155089944,0.0,0.49104489339717233,0.0,0.5017813102996311,0.0,0.5004875680204974,0.0,0.4944329978589063,0.0,0.47194749323062263,0.0,0.5105510987267227,0.0,0.4770935786826981,0.0,0.49228456294517964
CPI_n,300,6.429643869400024,0.6872924322889862,1.0,0.10820542943516392,1.0,0.6093297747353781,1.0,0.5428997362088426,1.0,0.3947156196712159,1.0,0.5048510598178367,1.0,0.7552944241685591,1.0,0.00808589890035011,1.0,0.597737665905958,1.0,0.21511577828794293,1.0,0.6719089702609727,1.0,0.2317592855066239,1.0,0.38862788170154894,0.0,0.26521554098153455,0.0,0.6581664062119111,0.0,0.577061268998971,0.0,0.47752301496040256,0.0,0.46866497978381577,0.0,0.4901484398753797,0.0,0.583215940283088,0.0,0.5445683656274506,0.0,0.5025238080610528,0.0,0.6736587903670579,0.0,0.5225181288217753,0.0,0.5677435713653614,0.0,0.3954882205161896,0.0,0.5185636626843747,0.0,0.39949808516574553,0.0,0.4244628885021332,0.0,0.410476896144234,0.0,0.6758754144538096,0.0,0.3825146875734637,0.0,0.33801186242367487,0.0,0.4966924470406808,0.0,0.4890805594901564,0.0,0.43308636601348005,0.0,0.7634642884098503,0.0,0.5092422402564515,0.0,0.6143092237358432,0.0,0.5201067155467036,0.0,0.5034247263755169,0.0,0.4688257663978664,0.0,0.46928771305660927,0.0,0.5211931252216322,0.0,0.4822037278852012,0.0,0.5724999041399375,0.0,0.4336416150869172,0.0,0.364568590637288,0.0,0.6067656767637146,0.0,0.3164533536002401,0.0,0.5708462384864155
CPI_bt,300,6.614901781082153,0.6872924322889862,1.0,0.024452685648823736,1.0,0.2691996347686374,1.0,0.5939039925537516,1.0,0.4350150842542582,1.0,0.4788722966857795,1.0,0.9969888589093212,1.0,0.01893562808318369,1.0,0.31557692243643576,1.0,0.392715980915295,1.0,0.3088567951614342,1.0,0.0732393061997896,1.0,0.4951653431862282,0.0,0.5892869193001481,0.0,0.5703403983427312,0.0,0.428428568263741,0.0,0.48005144855504445,0.0,0.4375436434407251,0.0,0.45030735516373654,0.0,0.5308048969625648,0.0,0.46801116030344697,0.0,0.43087197013217526,0.0,0.5248835348466971,0.0,0.48315781684091086,0.0,0.4774875610894125,0.0,0.408574463598181,0.0,0.5798334067455774,0.0,0.4511292282953397,0.0,0.4247826660748669,0.0,0.5014728308222749,0.0,0.7019385255131341,0.0,0.32914643709985136,0.0,0.23857513382109724,0.0,0.49431089049809496,0.0,0.5023899267936284,0.0,0.4411457470771489,0.0,0.7822562994662405,0.0,0.3997655008872272,0.0,0.4413888573161829,0.0,0.5860184823002249,0.0,0.47740334044200844,0.0,0.598284735951417,0.0,0.5265707971817245,0.0,0.5567720119918469,0.0,0.4944965377266784,0.0,0.36740286833480573,0.0,0.42394367734296207,0.0,0.14989112244288444,0.0,0.5907933982985472,0.0,0.5183270873172792,0.0,0.44319834542965963
CPI_sqd,300,6.6152262687683105,0.6872924322889862,1.0,4.3423214108620707e-20,1.0,1.1857032362734487e-23,1.0,1.0,1.0,3.9814147421143393e-60,1.0,5.600031847229747e-35,1.0,0.012928285935845798,1.0,0.00017361453704880264,1.0,5.065334869066905e-54,1.0,0.21128856307913052,1.0,0.00043624288064782874,1.0,5.065899062543506e-15,1.0,6.121583367014956e-89,0.0,9.747113997115099e-05,0.0,1.0,0.0,4.4879428089315055e-35,0.0,3.602713720377451e-12,0.0,1.5625816222748398e-49,0.0,7.414740853491204e-77,0.0,1.0,0.0,0.9999814380449472,0.0,4.1854636824473156e-10,0.0,0.00018428920609734483,0.0,1.0,0.0,1.0,0.0,3.044731367385062e-72,0.0,7.483835385144676e-07,0.0,2.4077683480299234e-08,0.0,3.457738948630759e-63,0.0,3.039633826671648e-06,0.0,1.0,0.0,0.989193947862145,0.0,9.79346005700712e-73,0.0,0.45763295754778677,0.0,3.503799241833303e-41,0.0,4.997399299920136e-93,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.999066469795476,0.0,1.5170192106670053e-51,0.0,9.449939702220388e-25,0.0,0.19399384968861033,0.0,0.9999999975562107,0.0,0.9990388035906599,0.0,1.0,0.0,2.621162077895531e-80,0.0,2.0753664256244165e-50,0.0,1.0,0.0,8.0674307867785865e-25,0.0,6.522712879607778e-15
S-CPI,300,18.837096214294434,0.6872924322889862,1.0,0.018510442339532474,1.0,0.2978153554659534,1.0,0.7208876909127452,1.0,0.06066131482174436,1.0,0.6527330795995105,1.0,0.9311297682237577,1.0,0.0030031677209998273,1.0,0.5844259910876765,1.0,0.8429673311603658,1.0,0.6356273088446344,1.0,0.039606547207480754,1.0,0.05757312192577686,0.0,0.3100328052991339,0.0,0.9031264622079964,0.0,0.47546616230138644,0.0,0.17517605250465018,0.0,0.05802106649554576,0.0,0.021730272207066713,0.0,0.9994659662592082,0.0,0.8799223148010121,0.0,0.5010372475153393,0.0,0.46169948683357503,0.0,0.6556401391806881,0.0,0.9623020296955357,0.0,0.17138638419085117,0.0,0.6931105280391611,0.0,0.16995912545448189,0.0,0.16080216712151918,0.0,0.34938847120575145,0.0,0.9683913195845354,0.0,0.14192961253331177,0.0,0.01013721727517528,0.0,0.4541842091029224,0.0,0.7515201074395913,0.0,0.30862002591663135,0.0,0.8005156655771536,0.0,0.32419198209835787,0.0,0.7056740925407612,0.0,0.4916862276098079,0.0,0.3799041027226575,0.0,0.7976414261895519,0.0,0.10526571754549979,0.0,0.46048691375904893,0.0,0.4321242753979735,0.0,0.8977757680839491,0.0,0.13327703605656271,0.0,0.09377814355638592,0.0,0.9935963063652237,0.0,0.345054373022193,0.0,0.7280764912800691
S-CPI_sqrt,300,18.847819089889526,0.6872924322889862,1.0,0.2778729782590447,1.0,0.4834309775671818,1.0,0.526319699973751,1.0,0.4792439438722234,1.0,0.4952530101654944,1.0,0.6301330871058621,1.0,0.0043473291513451634,1.0,0.4910015945167711,1.0,0.7634828292422258,1.0,0.5047534062807322,1.0,0.38657694699491024,1.0,0.47711467189238993,0.0,0.4820845266963743,0.0,0.5260674945629058,0.0,0.4934071064089385,0.0,0.48627561718527085,0.0,0.4898565391767861,0.0,0.49293749804032716,0.0,0.5138437690644583,0.0,0.5130257633788288,0.0,0.4936648946328168,0.0,0.5034270422561924,0.0,0.5126190793309428,0.0,0.5128955932578747,0.0,0.4923763523446943,0.0,0.5004025744039969,0.0,0.4686283597426775,0.0,0.4839232172994998,0.0,0.4955145814043547,0.0,0.5232329423783233,0.0,0.47865677209612284,0.0,0.4576486082293134,0.0,0.49314140871887147,0.0,0.5039189888253105,0.0,0.5024120243887896,0.0,0.5405544077758251,0.0,0.48613558804800283,0.0,0.5097090727463246,0.0,0.5048257184804058,0.0,0.4992352638502044,0.0,0.5056146610024074,0.0,0.48892693746990856,0.0,0.49665466944103454,0.0,0.49438132762161396,0.0,0.5103244977148644,0.0,0.48660890240760873,0.0,0.4510731120508551,0.0,0.5220585504821718,0.0,0.49229749111424936,0.0,0.50153232189289
S-CPI_n,300,18.835636854171753,0.6872924322889862,1.0,0.06975781865518775,1.0,0.5964663882229054,1.0,0.63480411784558,1.0,0.366658600515788,1.0,0.5016971381597269,1.0,0.8160002179774866,1.0,0.0009503879151367248,1.0,0.4389356532787139,1.0,0.9034333074269401,1.0,0.7259902994403965,1.0,0.18171834273318554,1.0,0.37214605501290837,0.0,0.3634915279018821,0.0,0.6074869808809115,0.0,0.49948805219124964,0.0,0.4356508786408731,0.0,0.43939546902419657,0.0,0.418690072734331,0.0,0.6173509709136262,0.0,0.5997929845783226,0.0,0.4939068881363382,0.0,0.5326169592390062,0.0,0.5579068870283778,0.0,0.6504895314305295,0.0,0.48836905080317844,0.0,0.49269735774204787,0.0,0.302698830583792,0.0,0.41088706366976446,0.0,0.4868856536596404,0.0,0.689414725678587,0.0,0.35469256849842046,0.0,0.2616019648035669,0.0,0.4552549607499975,0.0,0.5405948415941443,0.0,0.4847322810601112,0.0,0.686053350747158,0.0,0.35236690341342614,0.0,0.6331578284053263,0.0,0.5510147734421611,0.0,0.4735547912925647,0.0,0.5158760934524015,0.0,0.44576419930183,0.0,0.48512497722085346,0.0,0.48299116246564705,0.0,0.6287611820499512,0.0,0.42526212593150764,0.0,0.28196338062582826,0.0,0.6777794694992065,0.0,0.4451313454744794,0.0,0.5402480335891446
S-CPI_bt,300,19.054897785186768,0.6872924322889862,1.0,6.548977049762356e-05,1.0,0.43191455745578566,1.0,0.6978960686903294,1.0,0.3250421028169569,1.0,0.5587096077508614,1.0,0.9778822040495276,1.0,0.005847324479787498,1.0,0.3662157644992281,1.0,0.8577842577307986,1.0,0.22698957875273718,1.0,0.026839782707410775,1.0,0.3419047203988991,0.0,0.32691105071177906,0.0,0.7002399496433409,0.0,0.5798390517344253,0.0,0.43221369443353097,0.0,0.3823232003420907,0.0,0.4200432251114283,0.0,0.6297475118778699,0.0,0.642481291842762,0.0,0.5037318942301309,0.0,0.5842358580264208,0.0,0.5947660000597425,0.0,0.7206769940086771,0.0,0.4789883496916398,0.0,0.5432177961948584,0.0,0.2474823454542197,0.0,0.4001223122094713,0.0,0.45707008334197885,0.0,0.7363017169722305,0.0,0.30461534996222883,0.0,0.12910211687785172,0.0,0.48131439998913644,0.0,0.5117078803562278,0.0,0.5407450776861484,0.0,0.6654507455018481,0.0,0.3251422810786512,0.0,0.6524711812041661,0.0,0.5574135248647824,0.0,0.4692908582582913,0.0,0.609528102455644,0.0,0.4101581394547355,0.0,0.4786946332610204,0.0,0.5484819286795395,0.0,0.6538123219272065,0.0,0.33581551165834433,0.0,0.06595712061388889,0.0,0.7022809856349999,0.0,0.4221576957813326,0.0,0.5041605093189029
