method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,883.7589054107666,0.9776903856820758,1.0,0.031201153415139626,1.0,0.06182105655590797,1.0,6.982206801064983e-06,1.0,0.00031173379708449023,1.0,0.0010300673035426033,1.0,9.419864694937274e-07,1.0,0.05880199512951967,1.0,0.0008684085292738342,1.0,0.7294525888319078,1.0,0.48462022359871926,1.0,0.4678456121627954,1.0,0.31340507774869986,0.0,0.4098223242385475,0.0,0.36193204215028396,0.0,0.09033435133952827,0.0,0.7351305271673563,0.0,0.9299503489673141,0.0,0.4087392692505263,0.0,0.4747891797496747,0.0,0.28135638012132935,0.0,0.011135263676280593,0.0,0.038587637941645214,0.0,0.3393264486922858,0.0,0.798933980220103,0.0,0.513291315838963,0.0,0.29489827323970585,0.0,0.9022578194701353,0.0,0.15444498981923793,0.0,0.398284687529594,0.0,0.036242574359929836,0.0,0.4564348647439387,0.0,0.7887209881071532,0.0,0.819919350241568,0.0,0.055899966965459846,0.0,0.8629934824368486,0.0,0.4987249285643558,0.0,0.06379208805287995,0.0,0.016808971725365884,0.0,0.643646616095894,0.0,0.4578653455807552,0.0,0.9736989669634823,0.0,0.09747246732283477,0.0,0.1987221568683759,0.0,0.7355670535044893,0.0,0.7558986945007964,0.0,0.8147568049963829,0.0,0.769995248091656,0.0,0.7776397868053924,0.0,0.17148567388057623,0.0,0.6734726258727525
CPI,300,16.78146243095398,0.9776903856820758,1.0,3.6489103769649512e-06,1.0,8.011852241212972e-09,1.0,4.620302951219675e-06,1.0,9.560314628876397e-07,1.0,5.906820886700428e-06,1.0,1.6362220608755928e-11,1.0,0.00826177077911617,1.0,0.0015833406796009822,1.0,0.002586064959788531,1.0,0.02127951384017009,1.0,0.23074755073747222,1.0,0.002768670373976888,0.0,0.22782065326411827,0.0,0.6294303690554927,0.0,0.19159151665258695,0.0,0.360401503016599,0.0,0.2456163549125211,0.0,0.9627941489985804,0.0,0.1753870309440514,0.0,0.18534290385595303,0.0,0.3863856904159739,0.0,0.49320587420088435,0.0,0.793545443546311,0.0,0.4989334347466147,0.0,0.05762326651668197,0.0,0.7830213496127731,0.0,0.386350198126903,0.0,0.25704438363875093,0.0,0.9969264622240912,0.0,0.29460151806543156,0.0,0.7348326419559378,0.0,0.5398292625901677,0.0,0.36480604904830094,0.0,0.10897249624948502,0.0,0.08943882543366971,0.0,0.8290098013614904,0.0,0.157852222829706,0.0,0.4238451380035927,0.0,0.7876323693071519,0.0,0.22977289600785894,0.0,0.6120151009594359,0.0,0.06326862975103636,0.0,0.8614717952926834,0.0,0.6493774275834265,0.0,0.31905285774219116,0.0,0.3346319597004783,0.0,0.6556640655652259,0.0,0.5649415025567959,0.0,0.8741509117321475,0.0,0.24048891788055277
CPI_sqrt,300,16.79677724838257,0.9776903856820758,1.0,0.16677194304384318,1.0,0.13918663782979968,1.0,0.005020321937643216,1.0,0.03484970745618657,1.0,0.0030301689272360308,1.0,0.013609798409432355,1.0,0.42700409379212906,1.0,0.3730417377556012,1.0,0.40617343448812393,1.0,0.466102713105677,1.0,0.4845948580644443,1.0,0.4123556815631076,0.0,0.4999869687709836,0.0,0.4994688551036989,0.0,0.49734949505106474,0.0,0.5001765852186659,0.0,0.498761875727051,0.0,0.4999817937909893,0.0,0.5001940569236093,0.0,0.5003029690355353,0.0,0.4984032933352003,0.0,0.5002425858928181,0.0,0.5000470441812845,0.0,0.5002357836266701,0.0,0.4992391597105333,0.0,0.5001023273151064,0.0,0.500110946230626,0.0,0.4996464062876505,0.0,0.5003671207432804,0.0,0.4997332909773601,0.0,0.5003184495939496,0.0,0.4987742818368743,0.0,0.5000359760789689,0.0,0.4995371890435797,0.0,0.49961415929888375,0.0,0.5000427907836433,0.0,0.4996919595451432,0.0,0.5002256838034139,0.0,0.49888927402203825,0.0,0.4975361272831853,0.0,0.49969380436646404,0.0,0.5001877217764314,0.0,0.50099077781313,0.0,0.49993468277449216,0.0,0.5000365308130208,0.0,0.5004870796305151,0.0,0.4995217190042876,0.0,0.5000736750570889,0.0,0.5004774305118073,0.0,0.5005008669831955
CPI_n,300,16.802371978759766,0.9776903856820758,1.0,0.0018115867690067563,1.0,9.421316684611064e-07,1.0,1.020272624756589e-06,1.0,3.2240757199020595e-06,1.0,0.00014314399428880508,1.0,4.799404143217733e-07,1.0,0.22802899332976845,1.0,0.05513679207977174,1.0,0.10032943254468063,1.0,0.24686970710445627,1.0,0.4424592877619503,1.0,0.05337140685454884,0.0,0.5026301274276119,0.0,0.5072970899353296,0.0,0.4931034287733731,0.0,0.49666987380623945,0.0,0.4954404991756137,0.0,0.5023047851688186,0.0,0.5017897921963399,0.0,0.5026231319013125,0.0,0.498787844834494,0.0,0.50041840175403,0.0,0.5005287589983267,0.0,0.5054935040773958,0.0,0.4941280792181272,0.0,0.496649243646259,0.0,0.49428410223246005,0.0,0.49663090834663753,0.0,0.5082374869583306,0.0,0.49984598277429676,0.0,0.5014936197912915,0.0,0.49150107213857047,0.0,0.4989836422722747,0.0,0.49695667378416136,0.0,0.4949778098075001,0.0,0.5018496707715113,0.0,0.49347961406275265,0.0,0.4959276945250516,0.0,0.4912165661561505,0.0,0.4869692951538306,0.0,0.5003812112477988,0.0,0.49904267663546537,0.0,0.5065008957453091,0.0,0.4979151656949636,0.0,0.4941595749384392,0.0,0.49126001474774195,0.0,0.4902216283024807,0.0,0.5062260296592885,0.0,0.5104571683837601,0.0,0.49555022300281654
CPI_bt,300,16.969562530517578,0.9776903856820758,1.0,7.409927738523909e-16,1.0,8.703441512480474e-23,1.0,4.26818899242467e-15,1.0,1.83042746579909e-18,1.0,0.00023281020497361606,1.0,7.372027615389693e-35,1.0,0.22503949244760602,1.0,0.0005916851093374491,1.0,0.012648106089878887,1.0,0.19462859825410928,1.0,0.335236437412698,1.0,0.0013863172196643854,0.0,0.5005224020127779,0.0,0.4971017839416362,0.0,0.47896475268054495,0.0,0.497657994767562,0.0,0.5126022580831952,0.0,0.500659448838519,0.0,0.5000087307871112,0.0,0.5002039995182279,0.0,0.49798590717151175,0.0,0.5016258208620128,0.0,0.5030197966579499,0.0,0.5121486865922364,0.0,0.49074121550640454,0.0,0.4895436036387528,0.0,0.4827452362406485,0.0,0.48841193585862797,0.0,0.5065543530813615,0.0,0.5020036067588317,0.0,0.5013048696338521,0.0,0.5021929209404099,0.0,0.49845105132702394,0.0,0.49607276294076774,0.0,0.4944680485084842,0.0,0.5013224278682049,0.0,0.4897904031284126,0.0,0.49584972377805586,0.0,0.5117715279951722,0.0,0.502140875192912,0.0,0.5031146485484214,0.0,0.4987770167008443,0.0,0.50397147449332,0.0,0.4978665305114379,0.0,0.49584739536522304,0.0,0.5014394571817047,0.0,0.5016684688758768,0.0,0.5029092710002837,0.0,0.5127109637400747,0.0,0.4947589814974841
CPI_sqd,300,16.964588403701782,0.9776903856820758,1.0,3.923072966367469e-89,1.0,9.22711750012051e-91,1.0,2.008129978532665e-10,1.0,5.660778832178217e-20,1.0,6.939991424370009e-08,1.0,1.4641735799401703e-15,1.0,2.7343731724378046e-95,1.0,0.0,1.0,0.0,1.0,2.1693909668141456e-213,1.0,1.0,1.0,1.023953665689107e-104,0.0,0.5824171427612421,0.0,0.9782812014694094,0.0,0.002733485536994171,0.0,0.39189555862457975,0.0,0.06871690653229345,0.0,0.5690580032087512,0.0,0.5542692545487501,0.0,0.5287552033467361,0.0,9.212374845832418e-05,0.0,0.6023803649903916,0.0,0.7843433118753105,0.0,0.16462238557542225,0.0,0.03348898568727407,0.0,0.4304449644966293,0.0,0.5699558719916266,0.0,0.22064773553325856,0.0,0.941590774753505,0.0,0.48701023760107914,0.0,0.2703314382807136,0.0,4.511946584984841e-05,0.0,0.5924450712854439,0.0,0.15087087199867638,0.0,0.13025064093227778,0.0,0.4702543593337276,0.0,0.3972607031546588,0.0,0.6198714064174663,0.0,0.010210463460114852,0.0,0.7589273467214155,0.0,0.5543085963998643,0.0,0.4147904366206391,0.0,0.8588937058925532,0.0,0.19823967064052178,0.0,0.3047923816564925,0.0,0.5316082711364687,0.0,0.02717095462751521,0.0,0.573399104530172,0.0,0.9909035671913256,0.0,0.6803100715132347
S-CPI,300,29.611550092697144,0.9776903856820758,1.0,1.5424497651146966e-05,1.0,1.895967934992917e-09,1.0,8.161364805807048e-05,1.0,0.0001495983478720452,1.0,0.00010021432789196388,1.0,2.238149203788362e-06,1.0,0.051271537404075536,1.0,0.00520763141765439,1.0,0.0002892947002583479,1.0,0.003800431872359542,1.0,0.2563110975093728,1.0,0.015563295587159905,0.0,0.6797492682110358,0.0,0.8824475608971971,0.0,0.10047358678802737,0.0,0.2013046513689667,0.0,0.315351900032645,0.0,0.9899542594295823,0.0,0.46772732095598935,0.0,0.299917739848677,0.0,0.34526191751704427,0.0,0.32755786692508215,0.0,0.8235358620358638,0.0,0.6985701141262523,0.0,0.015383324618965027,0.0,0.38356791638144716,0.0,0.4196152637718201,0.0,0.387545517501259,0.0,0.9429780698445606,0.0,0.4886209313765401,0.0,0.703285333346487,0.0,0.22402015674457237,0.0,0.5762043886328391,0.0,0.28009410035843096,0.0,0.04898287132754654,0.0,0.8038549647710462,0.0,0.16454934793683423,0.0,0.5318947901161356,0.0,0.28659365284495053,0.0,0.2555530084436599,0.0,0.5870137106329437,0.0,0.2431203228224999,0.0,0.7245432010847626,0.0,0.28799606390185933,0.0,0.2792886130572021,0.0,0.22282445262975742,0.0,0.3540924806978532,0.0,0.33721002208481465,0.0,0.9457140483588251,0.0,0.6045049616633709
S-CPI_sqrt,300,29.53069806098938,0.9776903856820758,1.0,0.1694800542060788,1.0,0.03679026234688899,1.0,0.00579980577824078,1.0,0.033525092786499115,1.0,0.007422488325881535,1.0,0.00800051200573082,1.0,0.44625877245530904,1.0,0.3564613565994969,1.0,0.40350869102171927,1.0,0.442468016383164,1.0,0.4938311470456847,1.0,0.388580699037982,0.0,0.5003047915790279,0.0,0.5028932904241871,0.0,0.4979755396515789,0.0,0.49966750094286483,0.0,0.5010810110564613,0.0,0.5006348487863906,0.0,0.5004934957330021,0.0,0.4999791079591121,0.0,0.4992683842557753,0.0,0.4999309381860048,0.0,0.5003285732314483,0.0,0.5013955001630649,0.0,0.4986983571030886,0.0,0.4995131381271728,0.0,0.49990446924594517,0.0,0.4989686773591834,0.0,0.5016085152948184,0.0,0.49983879317328567,0.0,0.500280744729143,0.0,0.4987086130711773,0.0,0.49991994831444375,0.0,0.4998609794866794,0.0,0.49924341705367115,0.0,0.5000804953072236,0.0,0.4993454015784561,0.0,0.500150187689058,0.0,0.4994233292479794,0.0,0.4985563971507723,0.0,0.500960878993502,0.0,0.49982189488404405,0.0,0.5002078192824665,0.0,0.499996773784511,0.0,0.49966167427958863,0.0,0.49880748026553257,0.0,0.49953695220432753,0.0,0.4996573723283594,0.0,0.5016687795600328,0.0,0.500429774841161
S-CPI_n,300,29.533915996551514,0.9776903856820758,1.0,0.002158739031280172,1.0,5.108551891031893e-08,1.0,3.6375321244369555e-05,1.0,0.0007911349422515584,1.0,0.00035208317457643664,1.0,1.2044914634356573e-05,1.0,0.27442667343509514,1.0,0.05194060945035682,1.0,0.06257535822299595,1.0,0.20372348385529537,1.0,0.48009927034712796,1.0,0.09580083482035084,0.0,0.5019929240105965,0.0,0.5310332153546528,0.0,0.4748028635091551,0.0,0.4982950672995136,0.0,0.501581070478113,0.0,0.504292528847495,0.0,0.5004024937425968,0.0,0.49949378999744565,0.0,0.4952994469307857,0.0,0.4960600339371909,0.0,0.5021323623329013,0.0,0.5074735835094366,0.0,0.4853419069374712,0.0,0.49914898920187795,0.0,0.49046251354493625,0.0,0.4973801390087915,0.0,0.5098639254589984,0.0,0.49959621773735025,0.0,0.5000756357090472,0.0,0.4793989978974607,0.0,0.5003103578167304,0.0,0.49699180884309146,0.0,0.4922106260933271,0.0,0.5025189823635672,0.0,0.49549519876892684,0.0,0.498926891443194,0.0,0.501256219649033,0.0,0.48926030654694364,0.0,0.5062019612838676,0.0,0.498794045100487,0.0,0.5053591724222084,0.0,0.4977006436402853,0.0,0.4988251789538908,0.0,0.49232977791993365,0.0,0.4972918331600022,0.0,0.49675305759103205,0.0,0.5180063790891813,0.0,0.506060932452824
S-CPI_bt,300,29.71261501312256,0.9776903856820758,1.0,2.469163109720021e-14,1.0,6.385633719668549e-31,1.0,2.6138837886338246e-09,1.0,2.325541085854392e-07,1.0,0.0006310477924925653,1.0,9.569448107585352e-12,1.0,0.08977789405596809,1.0,0.00027845674104763217,1.0,0.013887854701157066,1.0,0.12969728021240057,1.0,0.4676024214559014,1.0,0.008386703377942773,0.0,0.5043924850995449,0.0,0.5290923807574156,0.0,0.4779069081703064,0.0,0.49615098326769136,0.0,0.5004518971707533,0.0,0.50555531455303,0.0,0.5013988534410921,0.0,0.5000029929988825,0.0,0.49989146941216983,0.0,0.5002494114199769,0.0,0.5029367604517008,0.0,0.5078920581966608,0.0,0.48674371531257504,0.0,0.5000357623738013,0.0,0.499741328756606,0.0,0.4948237078301585,0.0,0.5173623631425173,0.0,0.5003013779693714,0.0,0.5032563291681397,0.0,0.47223213815092313,0.0,0.5013434652716251,0.0,0.4975011614547075,0.0,0.4907278367365212,0.0,0.5035490848770505,0.0,0.4940151460060315,0.0,0.49679232586185385,0.0,0.4967336967434569,0.0,0.4696085482910608,0.0,0.5042098760358557,0.0,0.49906982278964557,0.0,0.5020073927289939,0.0,0.49476095442326956,0.0,0.4986111409001278,0.0,0.49066522448453176,0.0,0.4954246141405636,0.0,0.49265682849419046,0.0,0.521448490433788,0.0,0.5009080563752039
