method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.209296226501465,0.9805424570174753,1.0,0.31790472015068827,1.0,0.977747302401717,1.0,0.6433966768058715,1.0,0.5501592841007317,1.0,0.45300740150582786,1.0,0.013432367852303506,1.0,0.0003043739240052856,1.0,1.839070562503764e-08,1.0,0.34974097050378816,1.0,1.4134652635777734e-05,1.0,0.000847197538868194,1.0,4.372888855463941e-06,0.0,0.006380262649763546,0.0,0.2487231314025815,0.0,0.8986786764748865,0.0,0.095558419010634,0.0,0.1594705335264599,0.0,0.07800663186810208,0.0,0.05242311681747602,0.0,0.020857957257941262,0.0,0.934025773662482,0.0,0.8433554145569053,0.0,0.9261562132445783,0.0,0.20093801996571914,0.0,0.060946549749860135,0.0,0.935061077895669,0.0,0.2870604615461517,0.0,0.024524548805316515,0.0,0.9923234141695124,0.0,0.5906626807225395,0.0,0.9530359817085652,0.0,0.3307003112634751,0.0,0.988035602365472,0.0,0.27166285190426964,0.0,0.9995991675359666,0.0,0.1532415988235417,0.0,0.21765153669918003,0.0,0.9643933048639952,0.0,0.9304702749890998,0.0,0.5114438531779714,0.0,0.9728763100991618,0.0,0.014204444361470281,0.0,0.4207037118467222,0.0,0.9976142857833813,0.0,0.3437957440278393,0.0,0.789044143298921,0.0,0.1274609411032137,0.0,0.927900198405113,0.0,0.03523952042084788,0.0,0.6928120714070171
CPI,300,2.9524872303009033,0.9805424570174753,1.0,5.565265497629059e-05,1.0,1.0,1.0,0.002019494089623904,1.0,4.223506282287672e-06,1.0,0.024282866521243004,1.0,0.0004711414892240973,1.0,7.207040368914004e-06,1.0,1.4105775339224726e-08,1.0,0.0019523496453766904,1.0,3.005680054103086e-08,1.0,1.4599962577072504e-06,1.0,1.3252935322431259e-06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4952415830022739,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.37766538842665276,0.0,1.0,0.0,0.0016542839454402197,0.0,0.6641506190584792,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8472241920287418,0.0,1.0,0.0,0.8925766754717074,0.0,1.0,0.0,0.406416331024722,0.0,1.0,0.0,1.0,0.0,0.22567261445453407,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13021099182515816,0.0,1.0,0.0,1.0,0.0,0.4808002695410763,0.0,1.0,0.0,1.0,0.0,0.0877491325194763,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.058218602309860784,0.0,1.0
CPI_sqrt,300,2.9505836963653564,0.9805424570174753,1.0,0.1410154097296274,1.0,0.5,1.0,0.28725655530310934,1.0,0.32814263808117483,1.0,0.4639536108927359,1.0,0.22358490953126509,1.0,0.2856234629801031,1.0,0.0008956932878015482,1.0,0.24715382439667394,1.0,0.006973727825103121,1.0,0.026365164830313856,1.0,0.28830441786535455,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5083404883559172,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5005859452579589,0.0,0.5,0.0,0.499318367007892,0.0,0.5001015674612209,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5000404355563313,0.0,0.5,0.0,0.5000518703855504,0.0,0.5,0.0,0.49859463040731283,0.0,0.5,0.0,0.5,0.0,0.49901480820672406,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4984675795167756,0.0,0.5,0.0,0.5,0.0,0.48315328383686,0.0,0.5,0.0,0.5,0.0,0.4971143102396998,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4990568822357832,0.0,0.5
CPI_n,300,2.9500272274017334,0.9805424570174753,1.0,0.0012049226490460886,1.0,0.5,1.0,0.04104124002301279,1.0,0.013462707918846243,1.0,0.22354010358709542,1.0,0.026437475095150133,1.0,0.06287135232101136,1.0,9.669700572034734e-08,1.0,0.004346531365050739,1.0,1.501383589114974e-07,1.0,3.8610630547996976e-06,1.0,0.005555213720843806,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.570078186494032,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49497210222466653,0.0,0.5,0.0,0.49982160635167383,0.0,0.4993230008224452,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5024470234690855,0.0,0.5,0.0,0.5010801789038215,0.0,0.5,0.0,0.4976960651620281,0.0,0.5,0.0,0.5,0.0,0.49425226739038225,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.46592936918315525,0.0,0.5,0.0,0.5,0.0,0.45667371642549004,0.0,0.5,0.0,0.5,0.0,0.468275877674573,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4378466640406291,0.0,0.5
CPI_bt,300,3.1136515140533447,0.9805424570174753,1.0,5.075327385500537e-08,1.0,0.5,1.0,2.0976311763337213e-05,1.0,5.5349106438406606e-05,1.0,0.22253814491294605,1.0,3.7984679527224086e-07,1.0,0.0046914723657249455,1.0,2.312093509736544e-18,1.0,1.8502092850589564e-10,1.0,9.705848112749524e-20,1.0,6.590335156368592e-22,1.0,3.749671763826758e-08,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5380038496828032,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5022920849873044,0.0,0.5,0.0,0.49540733076109855,0.0,0.4987934742874484,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5108008548927383,0.0,0.5,0.0,0.5002173301712491,0.0,0.5,0.0,0.4619957836484791,0.0,0.5,0.0,0.5,0.0,0.49442260635036317,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.40637775400060194,0.0,0.5,0.0,0.5,0.0,0.5782626416373539,0.0,0.5,0.0,0.5,0.0,0.46224567152826723,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4519617091220567,0.0,0.5
CPI_sqd,300,3.1139097213745117,0.9805424570174753,1.0,1.6757193137669915e-41,1.0,0.5,1.0,5.421573213873567e-34,1.0,3.854402067912867e-273,1.0,1.231336133982394e-80,1.0,2.6251426551719293e-15,1.0,3.8323338959402246e-63,1.0,1.0549228349539295e-05,1.0,3.361876251517746e-44,1.0,1.4792969422902837e-17,1.0,5.583851031118184e-60,1.0,6.847162376878937e-79,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9999999999999994,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3653887898468031,0.0,0.5,0.0,0.15410440731311265,0.0,0.5278750943393256,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.8986079948414114,0.0,0.5,0.0,0.5349918178057758,0.0,0.5,0.0,3.671691574828723e-23,0.0,0.5,0.0,0.5,0.0,1.2151381669923596e-06,0.0,0.5,0.0,0.5,0.0,0.5,0.0,8.995727189516933e-59,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0015666941879335643,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.6497331360050493e-122,0.0,0.5
S-CPI,300,3.049769163131714,0.9805424570174753,1.0,0.0005877032112056918,1.0,0.8358398624201415,1.0,0.03842695372927481,1.0,0.000358578978747297,1.0,0.09454821320121654,1.0,0.017398624805704074,1.0,0.001097425417238726,1.0,2.009345752280073e-09,1.0,0.0017298114750835575,1.0,1.409059440333764e-05,1.0,1.9100182398503322e-07,1.0,0.003151522987758756,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.787945437813073,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.1471614948574076,0.0,0.8358398624201415,0.0,0.018177239296921402,0.0,0.22442219789825452,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.7546273443178992,0.0,0.8358398624201415,0.0,0.7440535652864331,0.0,0.8358398624201415,0.0,0.43676425640821903,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.225232223842803,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.16036785723028535,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.8231104348583459,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.19890777453745434,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.8358398624201415,0.0,0.008724458030302043,0.0,0.8358398624201415
S-CPI_sqrt,300,3.044267416000366,0.9805424570174753,1.0,0.12518704054853275,1.0,0.5000000000000001,1.0,0.363366093686151,1.0,0.2573123205643918,1.0,0.4828779123917575,1.0,0.20425987882098612,1.0,0.30165639793808213,1.0,0.0006557113577946924,1.0,0.2971208917069733,1.0,0.014450397683897444,1.0,0.04105147832217045,1.0,0.22584039870469463,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5096587330136597,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.49940589992731144,0.0,0.5000000000000001,0.0,0.4994184468598148,0.0,0.49994292334178164,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5011542211139102,0.0,0.5000000000000001,0.0,0.5000179442110911,0.0,0.5000000000000001,0.0,0.49806951667327193,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.4994848620867201,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.49404871886658513,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5204799402123647,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.4968613348535909,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.4839009074170266,0.0,0.5000000000000001
S-CPI_n,300,3.0403783321380615,0.9805424570174753,1.0,0.004713849567400022,1.0,0.5000000000000011,1.0,0.11008892488872762,1.0,0.004603869930995512,1.0,0.2926160819604873,1.0,0.015778148527571832,1.0,0.05320346465248419,1.0,7.83800341949457e-08,1.0,0.042604742296877884,1.0,4.076986230539425e-05,1.0,0.00010805782073696821,1.0,0.029150408835474904,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5179001266268524,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.4971030717155528,0.0,0.5000000000000011,0.0,0.49270823410036385,0.0,0.4988268010652897,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5125177137063702,0.0,0.5000000000000011,0.0,0.5000572307899657,0.0,0.5000000000000011,0.0,0.4706072627840209,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5025988803770036,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.4807639637350766,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.6748208056607997,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.4714206424587907,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.3858726834764924,0.0,0.5000000000000011
S-CPI_bt,300,3.210716724395752,0.9805424570174753,1.0,1.6209884831157943e-07,1.0,0.5000000000000011,1.0,0.0008967044694279145,1.0,2.4615304432586225e-08,1.0,0.2709940167322643,1.0,4.8174756249922695e-11,1.0,7.026920075117747e-06,1.0,2.45239778732625e-08,1.0,4.611866731738846e-07,1.0,9.061070472840275e-10,1.0,8.680604090034444e-16,1.0,2.289201195132096e-07,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5660367544158491,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.49467017262624996,0.0,0.5000000000000011,0.0,0.48844725346417894,0.0,0.5012696892015736,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5089742127094832,0.0,0.5000000000000011,0.0,0.5002688105037845,0.0,0.5000000000000011,0.0,0.4829724087954678,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5029117174600117,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.4324426262050812,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.6918720696990359,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.4681938513901054,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.350492174873708,0.0,0.5000000000000011
