method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,78.14123034477234,0.8957249433775146,1.0,0.12998241403704314,1.0,0.11588541702738442,1.0,0.0006497814293929816,1.0,3.8629362029585224e-05,1.0,0.00015247574942811593,1.0,0.7803189041469851,1.0,6.695341739937355e-05,1.0,3.780318506008129e-07,1.0,0.01462389899196348,1.0,0.16071688796316663,1.0,0.9020358294934296,1.0,0.7021290190222218,0.0,0.7378465192665199,0.0,0.999976252360046,0.0,0.9066538385316691,0.0,0.005069156388209373,0.0,0.07981961757823397,0.0,0.9892203451185063,0.0,0.038951165257710585,0.0,0.9993380403237371,0.0,0.9998310865712002,0.0,7.912522864694793e-07,0.0,0.8109452576032954,0.0,9.016859586763459e-07,0.0,0.058480792730055686,0.0,0.6338559455015942,0.0,0.9415954728715649,0.0,0.14459467018370353,0.0,0.9529748643469804,0.0,0.1779126727304935,0.0,0.08338900645422864,0.0,0.9997823161874423,0.0,0.03155387830161671,0.0,0.9997623475328135,0.0,0.004943206097860031,0.0,0.06248602097668321,0.0,0.9998751521716143,0.0,1.1969673288314553e-05,0.0,9.77604754037742e-06,0.0,0.8764816310334819,0.0,0.9846198516608329,0.0,0.9987781524486965,0.0,0.42008391934441724,0.0,0.305428142252017,0.0,0.9525970703770064,0.0,0.9999994526745977,0.0,0.5976529759260644,0.0,0.998782165046927,0.0,0.9811342702140663,0.0,0.9999986350603356
CPI,300,4.237103700637817,0.8957249433775146,1.0,0.20581216756572496,1.0,0.028155728181568602,1.0,0.12872888303785768,1.0,0.05990033948382791,1.0,0.001259897512589091,1.0,0.022558833892655377,1.0,0.12170037965895741,1.0,0.002596342587986625,1.0,0.013751263868880793,1.0,0.16007434172319274,1.0,0.0018616508678032104,1.0,0.00030393807124964064,0.0,0.20238024293029983,0.0,0.7661358688662494,0.0,0.41068119435643324,0.0,0.3522396228610526,0.0,0.7956308714501383,0.0,0.05743558817758788,0.0,0.02480603122794425,0.0,0.7393180394052205,0.0,0.3629958970700127,0.0,0.9467225136602272,0.0,0.003534441727707266,0.0,0.34996698624363876,0.0,0.7477056770917478,0.0,0.22982198999717385,0.0,0.26733324522908697,0.0,0.9562673259863931,0.0,0.18938419265912954,0.0,0.27574597763497233,0.0,0.2943352258461218,0.0,0.36953485574577216,0.0,0.995217999430428,0.0,0.7345948930572183,0.0,0.7467296749698941,0.0,0.2852549957383954,0.0,0.5527966036950088,0.0,0.1979084307677103,0.0,0.8780082077548413,0.0,0.1652744323361537,0.0,0.8926334616670455,0.0,0.9002950174453619,0.0,0.8064045649470688,0.0,0.7496520004763717,0.0,0.8175597073227395,0.0,0.6691607659963017,0.0,0.21561455832490928,0.0,0.8183214413526128,0.0,0.11503586095330698,0.0,0.6183186735588362
CPI_sqrt,300,4.235367774963379,0.8957249433775146,1.0,0.34509036326905146,1.0,0.30208885659459606,1.0,0.270133623356856,1.0,0.31888279835274513,1.0,0.23009105066760616,1.0,0.3234152879769765,1.0,0.3037114495463264,1.0,0.2972846638426725,1.0,0.21660689437394265,1.0,0.24278299314168572,1.0,0.33257436099348814,1.0,0.2612494108043416,0.0,0.5272902163846491,0.0,0.5055489136366061,0.0,0.49581023397295876,0.0,0.49719358599414354,0.0,0.5077146636681387,0.0,0.48402317806248446,0.0,0.489327530658073,0.0,0.5034667498310976,0.0,0.5006937073394718,0.0,0.5212610185460178,0.0,0.4889576601249555,0.0,0.4916289253733798,0.0,0.5072143113321644,0.0,0.5004324811803326,0.0,0.499776206356307,0.0,0.5172312484979741,0.0,0.4918703055559988,0.0,0.4924062800524213,0.0,0.5051013164062362,0.0,0.4985532095065788,0.0,0.5007500451164705,0.0,0.5191295623553421,0.0,0.5044021088251476,0.0,0.500979493900732,0.0,0.5005148273168489,0.0,0.49390025726190817,0.0,0.5014516756278482,0.0,0.485949354131309,0.0,0.5033223637978781,0.0,0.5033730555861352,0.0,0.5172083483499373,0.0,0.49372956642648,0.0,0.5010170240880735,0.0,0.4977456746157848,0.0,0.4993414110248059,0.0,0.5025102374636425,0.0,0.4970548757736384,0.0,0.49607250012702475
CPI_n,300,4.227290391921997,0.8957249433775146,1.0,0.19767211696784476,1.0,0.2059984206276007,1.0,0.042682114860477724,1.0,0.11342338132809282,1.0,0.041828439655816466,1.0,0.2300746861777881,1.0,0.08558429070782064,1.0,0.0011475139740494491,1.0,0.07815689197365973,1.0,0.025851575250037628,1.0,0.022334949183800475,1.0,0.005103585260994047,0.0,0.6223112615310717,0.0,0.594906750251517,0.0,0.49721868428330795,0.0,0.4822503484015766,0.0,0.5021632929261206,0.0,0.43947210502601347,0.0,0.4126876007123908,0.0,0.5635524037693673,0.0,0.5365966312445348,0.0,0.6455029271978282,0.0,0.4254549528446391,0.0,0.4480978289532932,0.0,0.5869276236670609,0.0,0.36313259915930474,0.0,0.40722316555886706,0.0,0.645705059829105,0.0,0.39681426590741525,0.0,0.468776929300887,0.0,0.576066740695584,0.0,0.5363584407230759,0.0,0.5460878662673768,0.0,0.49830152005773887,0.0,0.506878534177922,0.0,0.33388434938224,0.0,0.49536224696990694,0.0,0.44931207423490244,0.0,0.4927682121077874,0.0,0.45191545874673866,0.0,0.47358851227579596,0.0,0.5081843041456331,0.0,0.5283240260226123,0.0,0.4902668402911681,0.0,0.4832753440625114,0.0,0.44733664575787346,0.0,0.46763202882037963,0.0,0.5066580624748578,0.0,0.5518400856759981,0.0,0.4766626254587526
CPI_bt,300,4.415085077285767,0.8957249433775146,1.0,0.0016517010001689406,1.0,0.0744630983414311,1.0,4.198553070423962e-06,1.0,0.0020137210604725857,1.0,1.9548833192721223e-06,1.0,0.16994332361454972,1.0,0.08482523759036964,1.0,0.0005181518395716937,1.0,0.04388839670042778,1.0,0.415176459559764,1.0,0.014696012669641946,1.0,3.5547467023742587e-07,0.0,0.5116055875461792,0.0,0.5389523481962206,0.0,0.5010159171909121,0.0,0.48359377079584,0.0,0.5121857181051593,0.0,0.43715430304401764,0.0,0.37560860201543106,0.0,0.5751740837536592,0.0,0.4883678340201332,0.0,0.7475007218460639,0.0,0.4437024447406827,0.0,0.3926725455696322,0.0,0.5224739417873613,0.0,0.47613678231180323,0.0,0.5211722209170165,0.0,0.6877965476217511,0.0,0.4568460442863782,0.0,0.46056591136006386,0.0,0.4969977365107666,0.0,0.43796261665521385,0.0,0.4574756217650284,0.0,0.6697408601051591,0.0,0.4990467198689828,0.0,0.49160372487100606,0.0,0.49600580267627375,0.0,0.5683614561231274,0.0,0.5054004743767818,0.0,0.503754031187092,0.0,0.5427486063992304,0.0,0.5402631824518949,0.0,0.5938279187893667,0.0,0.5197062809278655,0.0,0.4896085297345456,0.0,0.4865151857437803,0.0,0.4363681072380353,0.0,0.5032622496710751,0.0,0.5412178194991627,0.0,0.4814994181457654
CPI_sqd,300,4.466842889785767,0.8957249433775146,1.0,1.6877400211513945e-44,1.0,5.622458059772354e-07,1.0,3.067066247146878e-24,1.0,4.297900841251443e-20,1.0,1.2518229606425401e-14,1.0,0.008934100998503957,1.0,0.5900354229036018,1.0,1.1333643488146662e-12,1.0,0.055490385726793615,1.0,0.09790264320318937,1.0,0.0008667171400809862,1.0,4.056819994482508e-99,0.0,2.1837191771693757e-51,0.0,1.0,0.0,7.203117954701501e-05,0.0,2.5424573557056963e-07,0.0,0.9996232864545875,0.0,4.124405315229088e-56,0.0,3.4382276214446826e-70,0.0,0.1183838788818588,0.0,1.0,0.0,3.2891810351325163e-06,0.0,0.010647720930132257,0.0,4.458127023806923e-27,0.0,1.0,0.0,0.9999999999992495,0.0,8.006231830854386e-47,0.0,1.0,0.0,1.0231801935708753e-104,0.0,8.638215387804374e-11,0.0,1.0,0.0,0.9996568343897184,0.0,1.0,0.0,1.0,0.0,0.999956092327287,0.0,1.0,0.0,0.6404282299887545,0.0,0.9999999999999668,0.0,0.1747710577981048,0.0,4.940085553480233e-136,0.0,0.9994408285763584,0.0,1.0,0.0,1.0,0.0,0.8453167483795032,0.0,4.448232244928257e-08,0.0,0.9999835718585467,0.0,1.1797087996552148e-84,0.0,0.9999320988274799,0.0,3.0841986041525185e-13,0.0,0.18013931966060942
S-CPI,300,4.6748833656311035,0.8957249433775146,1.0,0.06433518930145463,1.0,0.025106984276093657,1.0,0.00048426858610778334,1.0,0.03382054992974116,1.0,0.009717631204832496,1.0,0.533862928828566,1.0,0.5679061603460991,1.0,0.0006512184357260297,1.0,0.11137763155753688,1.0,0.5422831766565614,1.0,0.19368715523154978,1.0,2.9835802237661746e-05,0.0,0.5248804433670051,0.0,0.6596716851960025,0.0,0.3622139335206078,0.0,0.3805930332415738,0.0,0.7031152879117489,0.0,0.14167547768940175,0.0,0.0864180440313248,0.0,0.5775074522283667,0.0,0.6951866905686446,0.0,0.9719955854724097,0.0,0.057490118730027254,0.0,0.18688211463970988,0.0,0.9029985494790002,0.0,0.5741528989597761,0.0,0.7227618400869199,0.0,0.8926885513659286,0.0,0.090234742807417,0.0,0.16844798601298389,0.0,0.20790820367562368,0.0,0.5090271475336804,0.0,0.9024714052257646,0.0,0.7368194593523182,0.0,0.5790612698573228,0.0,0.045763318945282246,0.0,0.5359030552490842,0.0,0.2978575783507666,0.0,0.8069011316918314,0.0,0.10536066933413496,0.0,0.7817237641745174,0.0,0.9762927062427211,0.0,0.9165673516028374,0.0,0.5843717272719042,0.0,0.38122366161983884,0.0,0.46161446707243387,0.0,0.06456885465276448,0.0,0.9214208871037349,0.0,0.2855803170744744,0.0,0.28543823232927873
S-CPI_sqrt,300,4.653817176818848,0.8957249433775146,1.0,0.4220100499302562,1.0,0.3542455385915625,1.0,0.2238140087755685,1.0,0.32415333054484696,1.0,0.19013801195042107,1.0,0.5120224540410813,1.0,0.45862176630867246,1.0,0.12549247464271496,1.0,0.2602076025035105,1.0,0.5467007385634847,1.0,0.2107596325574222,1.0,0.1422072643699141,0.0,0.5121016491358713,0.0,0.5078576810540857,0.0,0.5010220876962146,0.0,0.49842929081766846,0.0,0.5055287557278778,0.0,0.49327132351942465,0.0,0.48548387861352893,0.0,0.5060448199907345,0.0,0.501915590437694,0.0,0.5330752917552967,0.0,0.4904155443235116,0.0,0.4932140674178666,0.0,0.5168164401950509,0.0,0.48653654562012155,0.0,0.5027717859509283,0.0,0.5228075829255923,0.0,0.4926257402109059,0.0,0.4977261201251025,0.0,0.4989865487938499,0.0,0.4959127183690715,0.0,0.5079724110240221,0.0,0.5042009556698938,0.0,0.5043500275608787,0.0,0.49708151584882176,0.0,0.4971356494440439,0.0,0.5004006558923972,0.0,0.5031076223496289,0.0,0.4647102290593577,0.0,0.5056654467350797,0.0,0.5078146297572753,0.0,0.5255099571205858,0.0,0.4986358272793238,0.0,0.49971407617764946,0.0,0.5000749586505976,0.0,0.4945475912516884,0.0,0.501552689818245,0.0,0.4880747145264983,0.0,0.5005751348218304
S-CPI_n,300,4.649752616882324,0.8957249433775146,1.0,0.30566918388245035,1.0,0.0670933355479375,1.0,0.010252651586345472,1.0,0.1417920800577927,1.0,0.008741678749778471,1.0,0.5822415218694066,1.0,0.4186664889724643,1.0,0.0031503125731432583,1.0,0.1136704581537964,1.0,0.6129605262017245,1.0,0.1442898198853051,1.0,0.0031799175015389913,0.0,0.518316400284357,0.0,0.49761725810842905,0.0,0.4966765408199552,0.0,0.5017302978080118,0.0,0.5350954064718998,0.0,0.4384178300656611,0.0,0.3690425770964899,0.0,0.5357472823130038,0.0,0.5204017017545052,0.0,0.7754547367704998,0.0,0.4250783552620208,0.0,0.4405155912698844,0.0,0.6412235020024571,0.0,0.44070881879169455,0.0,0.5195927880240139,0.0,0.6627857072951092,0.0,0.4478539097542999,0.0,0.4292305589025188,0.0,0.5313119403420677,0.0,0.5052532418874022,0.0,0.5721160637944476,0.0,0.4996858870548969,0.0,0.49752814738270995,0.0,0.4203875799552339,0.0,0.4895134965578842,0.0,0.44889590304343535,0.0,0.5244010913073134,0.0,0.3385236821251009,0.0,0.5323071913749103,0.0,0.5700929499182956,0.0,0.6652377676215415,0.0,0.47571577922382907,0.0,0.4910211163512318,0.0,0.48648753785285265,0.0,0.43996933544485683,0.0,0.5189033148679786,0.0,0.4011281158145639,0.0,0.4917996737975803
S-CPI_bt,300,4.834180593490601,0.8957249433775146,1.0,0.2207101381931768,1.0,0.016774251034938903,1.0,2.5088439182142958e-05,1.0,0.0017232653747100799,1.0,4.6390819405155044e-05,1.0,0.23128878125166596,1.0,0.2299278353037047,1.0,8.01484096129892e-05,1.0,0.23677241297682772,1.0,0.526159881901033,1.0,0.1445650000719566,1.0,3.694938631112573e-08,0.0,0.41236747158450904,0.0,0.5655872288065888,0.0,0.47989969007273214,0.0,0.48128456260860497,0.0,0.5549051399142242,0.0,0.4048089323595443,0.0,0.3626857746041842,0.0,0.5249852901266565,0.0,0.5119783286851591,0.0,0.8442486714598728,0.0,0.4178170735141257,0.0,0.3982339094795817,0.0,0.6482223187642835,0.0,0.5199344014468306,0.0,0.4990909994447912,0.0,0.7278295062621273,0.0,0.38441928700619327,0.0,0.45588810118526674,0.0,0.5348850586309363,0.0,0.4320017662250559,0.0,0.6050983552729199,0.0,0.5062238574738115,0.0,0.5002298648754253,0.0,0.4419726249649888,0.0,0.490468331216817,0.0,0.4801847747917101,0.0,0.5467343750457775,0.0,0.37134797325366076,0.0,0.5494304221640809,0.0,0.5871992633908585,0.0,0.6923958994166415,0.0,0.47667704922729265,0.0,0.47244366215539546,0.0,0.5111656057080863,0.0,0.4385563626649722,0.0,0.5199767236793648,0.0,0.3978513470073113,0.0,0.4832932009308589
