method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,35.00955271720886,0.9629046338082602,1.0,0.39462469475608863,1.0,0.8074892058349601,1.0,0.5482736462690079,1.0,0.7499416513451687,1.0,0.35881956996846553,1.0,0.11284382486150168,1.0,0.9427223810051947,1.0,0.363571657733338,1.0,0.45955125982324163,1.0,0.29193072769621053,1.0,0.6474606985108852,1.0,0.7077673535779403,0.0,0.2824482887134536,0.0,0.3557150396713151,0.0,0.03221144363826434,0.0,0.5666818198454645,0.0,0.22977589284659694,0.0,0.5657750238831806,0.0,0.09721506282732739,0.0,0.006837101223845621,0.0,0.44805369482866086,0.0,0.47852717106265563,0.0,0.32874648192788714,0.0,0.5530049048859492,0.0,0.0821689336902025,0.0,0.5880915890655891,0.0,0.543704614454016,0.0,0.37838598746119967,0.0,0.3297388358766826,0.0,0.4580950976592918,0.0,0.02584157550109878,0.0,0.08394691017304934,0.0,0.38199072006799906,0.0,0.538747039243455,0.0,0.5788620415257579,0.0,0.7566366116578017,0.0,0.4880001287956799,0.0,0.09599289637552799,0.0,0.5564473489339015,0.0,0.03432059010593724,0.0,0.7645777437933248,0.0,0.47682316786424706,0.0,0.31407403813544166,0.0,0.3711191799453548,0.0,0.42443367240900187,0.0,0.5073161705394532,0.0,0.8426978916456302,0.0,0.5496581004764667,0.0,0.6461059528816804,0.0,0.7491614702084402
CPI,300,4.096275329589844,0.9629046338082602,1.0,0.029010214672777795,1.0,0.0011223418619507775,1.0,0.003439705010991453,1.0,0.0029828353197930446,1.0,0.03650253498845358,1.0,0.004661106713671344,1.0,2.92971807811618e-05,1.0,1.9020179399135044e-05,1.0,4.83397126146915e-06,1.0,7.174347788337908e-05,1.0,3.529162950231746e-05,1.0,1.260349914110814e-05,0.0,0.7152905050393279,0.0,0.7891574837479951,0.0,0.3719247716038534,0.0,0.06939354087819387,0.0,0.897978137525377,0.0,0.05093179468125318,0.0,0.14626006562744243,0.0,0.7357260198561102,0.0,0.4541746320038297,0.0,0.845227382337487,0.0,0.9647887025782894,0.0,0.5604169118284129,0.0,0.5814486588367102,0.0,0.6075453702314927,0.0,0.3151255028658026,0.0,0.930890992991501,0.0,0.6541991558219418,0.0,0.053385248600232686,0.0,0.8521684920930201,0.0,0.7854305829248711,0.0,0.5983200427230421,0.0,0.6514198088984524,0.0,0.7605974017606625,0.0,0.6754869853896202,0.0,0.2719533906933976,0.0,0.3748926140882984,0.0,0.9888221324511014,0.0,0.43466633412227385,0.0,0.1401298318738946,0.0,0.5812997775212986,0.0,0.9968929704113683,0.0,0.7690663062341576,0.0,0.5273608589938051,0.0,0.9049831598232305,0.0,0.7310871849249518,0.0,0.6406439937908541,0.0,0.4507773440827418,0.0,0.7776337323456208
CPI_sqrt,300,4.07694673538208,0.9629046338082602,1.0,0.22640431544415174,1.0,0.3353531439128475,1.0,0.3102849729127601,1.0,0.22791754992706842,1.0,0.14694125361061566,1.0,0.21890484791361609,1.0,0.24181224896186604,1.0,0.14603984912663182,1.0,0.06682136592633851,1.0,0.1101956502981975,1.0,0.11606683256056077,1.0,0.2296339684829788,0.0,0.49109818787251464,0.0,0.5193858025497496,0.0,0.5027525279930088,0.0,0.41657684611089435,0.0,0.5191631986422065,0.0,0.47236867007276045,0.0,0.5021716957754158,0.0,0.498437509722773,0.0,0.4992031760240026,0.0,0.5352975318478445,0.0,0.51005702005819,0.0,0.5167829666829143,0.0,0.5264215790247936,0.0,0.5271072759116908,0.0,0.47901755168034654,0.0,0.5631922361685404,0.0,0.5371468329825282,0.0,0.4697879490949346,0.0,0.4969951871812115,0.0,0.5059944196273701,0.0,0.49643264814240795,0.0,0.5026173407155857,0.0,0.49864005581025905,0.0,0.5231854937116382,0.0,0.5096460804965289,0.0,0.49988170888751343,0.0,0.5281413167991098,0.0,0.48815578211347394,0.0,0.4995443506741676,0.0,0.5150582696289461,0.0,0.49108419956811855,0.0,0.505855765361311,0.0,0.5134433342556487,0.0,0.5072125101990658,0.0,0.5087060338481553,0.0,0.507448250884105,0.0,0.46933189762426786,0.0,0.5214848225275838
CPI_n,300,4.083794355392456,0.9629046338082602,1.0,0.011545755019833447,1.0,0.010052466638977655,1.0,0.024677708797603882,1.0,0.003275994788158564,1.0,0.03696055786147103,1.0,0.015704616452812296,1.0,0.0016874809076729217,1.0,0.0005348742930359376,1.0,3.198738119804206e-05,1.0,8.165151772695889e-05,1.0,0.0032515593745256768,1.0,0.00011436122180722389,0.0,0.5655279135063402,0.0,0.7572165801892548,0.0,0.498062184936021,0.0,0.17435508524261933,0.0,0.5568780377475939,0.0,0.5078020275452578,0.0,0.47751011788867537,0.0,0.5786738888263117,0.0,0.5057188890747633,0.0,0.6191701114926706,0.0,0.6359216657041655,0.0,0.4235800831298431,0.0,0.5964587684072248,0.0,0.36748581964791366,0.0,0.2420143920053922,0.0,0.6886022423888869,0.0,0.5592417394649702,0.0,0.3755956780430027,0.0,0.6406466504146686,0.0,0.5700014809126813,0.0,0.4779914723042933,0.0,0.6598198903327501,0.0,0.598209993050244,0.0,0.5424238955432789,0.0,0.5585805634301846,0.0,0.6024468026038555,0.0,0.717100137485182,0.0,0.506620174001691,0.0,0.5822638198703706,0.0,0.5168297834351382,0.0,0.5832065619484326,0.0,0.7821543888542449,0.0,0.4465057733864728,0.0,0.6600654046112533,0.0,0.3327670052854834,0.0,0.5994883693372655,0.0,0.45946178804682664,0.0,0.6433986727064387
CPI_bt,300,4.261995315551758,0.9629046338082602,1.0,5.1519511525306316e-08,1.0,1.7592677983411017e-07,1.0,0.005262758992013738,1.0,6.73446270178587e-07,1.0,1.0305700446672736e-06,1.0,6.852837709401681e-10,1.0,1.4296006631377686e-12,1.0,5.716791786321987e-11,1.0,6.9190256383822065e-12,1.0,2.4296979392293144e-15,1.0,1.3858758947946012e-05,1.0,4.556910998574749e-15,0.0,0.5872842701992537,0.0,0.6362181375301594,0.0,0.21719820295794656,0.0,0.011337775808522028,0.0,0.654088571943231,0.0,0.28089011613296155,0.0,0.3821061757368846,0.0,0.5738799240384783,0.0,0.642185411637338,0.0,0.5100027701938852,0.0,0.18869418291557533,0.0,0.4521844998331593,0.0,0.6818325024604897,0.0,0.6247607548224643,0.0,0.21684301801439337,0.0,0.6460139816427178,0.0,0.756167921332987,0.0,0.3499286201107106,0.0,0.6009592246720177,0.0,0.6369324423183372,0.0,0.23319913099783884,0.0,0.6848974375712404,0.0,0.42825522660527177,0.0,0.6402923187578394,0.0,0.5224034482024238,0.0,0.5602260017723224,0.0,0.7768226961843823,0.0,0.3147986845656032,0.0,0.35393702660815984,0.0,0.7795241671296058,0.0,0.7520554898966485,0.0,0.34543529770634307,0.0,0.6687076655068287,0.0,0.6913709196601935,0.0,0.160546988503946,0.0,0.3261600042800862,0.0,0.4014020208153884,0.0,0.7081922972057076
CPI_sqd,300,4.256444454193115,0.9629046338082602,1.0,1.1058495966863308e-20,1.0,8.812906322258392e-65,1.0,1.588231772257177e-23,1.0,6.838001661995731e-37,1.0,5.762571612845832e-35,1.0,1.3706781569546856e-24,1.0,1.628365160490126e-19,1.0,4.348637949880903e-15,1.0,4.945942121777558e-37,1.0,4.976191210002883e-66,1.0,3.95888909118829e-23,1.0,3.0015898338330925e-10,0.0,1.0,0.0,1.0,0.0,0.9999999999999992,0.0,3.465825642727831e-36,0.0,1.0,0.0,2.9582274859799134e-22,0.0,1.4002091197416646e-35,0.0,6.329912994294144e-26,0.0,0.9999997955452953,0.0,1.0,0.0,3.317543991503816e-38,0.0,1.2711678567778577e-94,0.0,1.0,0.0,0.9998585606507736,0.0,0.9999993002445594,0.0,1.0,0.0,0.053351619527896965,0.0,8.650035760445615e-58,0.0,1.0,0.0,5.033105983507532e-37,0.0,6.32174524533453e-09,0.0,5.629299912867299e-20,0.0,0.999767193682288,0.0,4.039795143129788e-15,0.0,4.530256922779877e-09,0.0,0.00028215972678432796,0.0,1.0,0.0,5.701254032089356e-42,0.0,0.0005094126567652962,0.0,0.9999999975407423,0.0,6.164398623486612e-13,0.0,1.0,0.0,0.9998737941675964,0.0,0.9999999558805606,0.0,0.9999885253051437,0.0,7.210392835989305e-16,0.0,0.034304367519326834,0.0,3.5065221819738424e-05
S-CPI,300,4.250386476516724,0.9629046338082602,1.0,0.033429592607262144,1.0,3.2394491340962615e-05,1.0,0.05050509739649363,1.0,0.018324723285949456,1.0,0.0003554416348256714,1.0,0.0003111431190504927,1.0,4.758516017846742e-05,1.0,0.0007995858231483898,1.0,0.00014555668492195392,1.0,0.00029879932395775405,1.0,0.00043989929570858153,1.0,2.207462346774487e-05,0.0,0.9757481278894925,0.0,0.9548990671774132,0.0,0.6371219417098308,0.0,0.035908910560615986,0.0,0.6757323976223237,0.0,0.47743726498656475,0.0,0.5996689167249099,0.0,0.8855545530246829,0.0,0.7393078231473572,0.0,0.9802818897763048,0.0,0.7189190005011039,0.0,0.6094205530775777,0.0,0.7378368325549396,0.0,0.7729330071791467,0.0,0.7082577432684647,0.0,0.932867446633188,0.0,0.9826995885327295,0.0,0.07410205706440309,0.0,0.9150965590459443,0.0,0.8946469088657265,0.0,0.6489603447294308,0.0,0.7461953523686594,0.0,0.9585965892611891,0.0,0.9348158972677728,0.0,0.8244100807966264,0.0,0.6996968284624576,0.0,0.9681528662473852,0.0,0.44771705144908425,0.0,0.2686321470021108,0.0,0.8943833325827506,0.0,0.956590156982962,0.0,0.9667362243083494,0.0,0.6473858387983387,0.0,0.9160193955804079,0.0,0.6438313834590822,0.0,0.43627858343915726,0.0,0.7851148029983849,0.0,0.9509583001076629
S-CPI_sqrt,300,4.2499353885650635,0.9629046338082602,1.0,0.3103243961351968,1.0,0.2476979735443396,1.0,0.3075246596304207,1.0,0.2356742339602605,1.0,0.23730721299916663,1.0,0.13791252975389728,1.0,0.16371913413377565,1.0,0.1604322462192272,1.0,0.0733369682586302,1.0,0.1093271541980908,1.0,0.09430167056313865,1.0,0.12853406566023218,0.0,0.535522697990206,0.0,0.5462009100133469,0.0,0.5022961420045107,0.0,0.42543042537273595,0.0,0.5481439666997816,0.0,0.49001838867925507,0.0,0.5220098093837267,0.0,0.516947862389432,0.0,0.5088617772026384,0.0,0.5211420143490215,0.0,0.5058198902584914,0.0,0.5087244947495233,0.0,0.5158952568570977,0.0,0.5545957907044535,0.0,0.5285084675415771,0.0,0.5655794129946599,0.0,0.5714830370653641,0.0,0.4602219164079414,0.0,0.5324597455303004,0.0,0.509667894825141,0.0,0.5060885930545668,0.0,0.5310725669769821,0.0,0.5374838258571858,0.0,0.5349819810057889,0.0,0.5200558078438348,0.0,0.5167184565455606,0.0,0.5368734886103628,0.0,0.4958953210948923,0.0,0.47339342832848436,0.0,0.5337044237278517,0.0,0.5582026539188903,0.0,0.5766273113489083,0.0,0.5105261897175728,0.0,0.5598980790025146,0.0,0.5120721800933266,0.0,0.5156490698383949,0.0,0.5561917634210447,0.0,0.5914096475586011
S-CPI_n,300,4.2459845542907715,0.9629046338082602,1.0,0.045702708993760104,1.0,0.012414732014121166,1.0,0.11655366794547312,1.0,0.047784574088199305,1.0,0.005465270667785628,1.0,0.001016772678117769,1.0,0.0028708704583040477,1.0,0.006786649496294929,1.0,0.0020235024642663822,1.0,0.002431255459308741,1.0,0.0022824156757931206,1.0,0.0011006750972019255,0.0,0.7040641639521117,0.0,0.7235324423286006,0.0,0.5109585902321628,0.0,0.19728401290128667,0.0,0.7030253271539707,0.0,0.5643225064257513,0.0,0.48487231534077163,0.0,0.5828186329312656,0.0,0.666225539900251,0.0,0.6546570592674364,0.0,0.41816442271949616,0.0,0.501823977755627,0.0,0.5787097419054458,0.0,0.6555767818837044,0.0,0.5846947458233095,0.0,0.8088505711879524,0.0,0.7429251190597334,0.0,0.3606760489142233,0.0,0.7529867876929484,0.0,0.6410903435829252,0.0,0.5857793743246653,0.0,0.6197665519884351,0.0,0.7761834950294355,0.0,0.6301941177894755,0.0,0.5632550654136611,0.0,0.5992098587052572,0.0,0.7644914765101389,0.0,0.4072098342492001,0.0,0.4205403662021659,0.0,0.6884299090376464,0.0,0.8094237618276661,0.0,0.8487744915997648,0.0,0.5519835156393251,0.0,0.7911149845412576,0.0,0.5221696959169305,0.0,0.5280726576892762,0.0,0.6159472075564892,0.0,0.8175811841619223
S-CPI_bt,300,4.433137655258179,0.9629046338082602,1.0,0.0002185503734323468,1.0,5.726890453043798e-10,1.0,4.8505961121378194e-05,1.0,2.9139361559992303e-05,1.0,1.0060579272007094e-08,1.0,1.6686746236000006e-08,1.0,6.4440183970252894e-12,1.0,8.20594437872454e-08,1.0,3.1600521441109316e-11,1.0,5.114472898627646e-07,1.0,3.9831781863650015e-08,1.0,2.1633086384499534e-07,0.0,0.8072305350354743,0.0,0.8544330664712534,0.0,0.705841439513688,0.0,0.04783559315612708,0.0,0.8467129977533951,0.0,0.48048508871198525,0.0,0.6167092702193055,0.0,0.6514505210900507,0.0,0.6597393634841267,0.0,0.6431884411075899,0.0,0.6300739520311704,0.0,0.5191120929343661,0.0,0.7210232320360928,0.0,0.8452113317382645,0.0,0.773416221556667,0.0,0.957857667361328,0.0,0.9019716825781527,0.0,0.18423677546795475,0.0,0.9179040515890444,0.0,0.7019341295752832,0.0,0.4464430113684406,0.0,0.5998893666790195,0.0,0.8546799084504719,0.0,0.7366826765018109,0.0,0.6311833356302035,0.0,0.5838745316159282,0.0,0.8612242490208076,0.0,0.42650273885799217,0.0,0.3588028553160502,0.0,0.8474814155302726,0.0,0.824482385678187,0.0,0.9614077530774187,0.0,0.7551110181975577,0.0,0.9382930303305518,0.0,0.676829961872702,0.0,0.48087544961626905,0.0,0.7802826136870085,0.0,0.9443532852529646
