method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,122.27937841415405,0.8497926410607006,1.0,0.7053692086720927,1.0,0.4571369933686761,1.0,0.5895665120597078,1.0,0.5463239876192286,1.0,0.2153485622018929,1.0,0.581221682189956,1.0,0.28141293272731027,1.0,0.9999997824451106,1.0,0.2400129108623339,1.0,0.1140781923094234,1.0,0.9748756320478457,1.0,0.00030470936865723,0.0,0.06283045393677222,0.0,0.897582956573882,0.0,0.34104211369775617,0.0,0.313077369506618,0.0,0.7788075352271047,0.0,0.01227016957921545,0.0,0.6692642270282689,0.0,0.4620462642359858,0.0,0.9635983252637742,0.0,0.02251929548704623,0.0,0.8056670322771431,0.0,0.11947414005272916,0.0,0.9071469039096461,0.0,0.995599214331381,0.0,0.5663381454798141,0.0,0.37093770085601396,0.0,0.6028160677562795,0.0,0.7725090630715886,0.0,0.8210626873301402,0.0,0.0037010621456698978,0.0,0.41523255677580173,0.0,0.4150154992856332,0.0,0.9942947654926763,0.0,0.12030469743865813,0.0,0.9995057655496997,0.0,0.6629960566300426,0.0,0.5930628874401689,0.0,0.9659594558488813,0.0,0.7822809424130948,0.0,0.005356329504263679,0.0,0.6853314189950288,0.0,0.9868404246715194,0.0,0.47039211520033164,0.0,0.497427865686084,0.0,0.9896675156658542,0.0,0.2645624769441155,0.0,0.944859034596206,0.0,0.0002003033475954652
CPI,300,6.324685335159302,0.8497926410607006,1.0,0.30133154643981885,1.0,0.031480332729937985,1.0,0.3584945469471861,1.0,0.00194340836846025,1.0,0.12479687276774654,1.0,0.0002949554559258952,1.0,0.018523913843492352,1.0,0.005326129883361004,1.0,0.0018851731508734506,1.0,0.016088777520226354,1.0,0.043131745474390984,1.0,0.0009872820965888143,0.0,0.29014424299869157,0.0,0.6352855572505018,0.0,0.10028419918506898,0.0,0.9122358299988708,0.0,0.780969678387281,0.0,0.7983716658468689,0.0,0.3646958733765322,0.0,0.16071478521908472,0.0,0.8044318756521048,0.0,0.9912979882719909,0.0,0.3961535048662223,0.0,0.20815521776747442,0.0,0.05304795149505303,0.0,0.13277009649810612,0.0,0.1365585077294938,0.0,0.5978484630100306,0.0,0.5935462298297358,0.0,0.7693712605801584,0.0,0.8584823755614097,0.0,0.34411660538362543,0.0,0.9029608094824408,0.0,0.5609275959993981,0.0,0.791376704424877,0.0,0.9118704378191502,0.0,0.03667702518870406,0.0,0.52613699126049,0.0,0.8458411909998969,0.0,0.060594743524786644,0.0,0.5639729898109203,0.0,0.9230876436298225,0.0,0.7531250700759768,0.0,0.4981935254824345,0.0,0.7989521866848859,0.0,0.14850033054869266,0.0,0.5805977552296808,0.0,0.23821002663097368,0.0,0.3076609345475323,0.0,0.22334295541683924
CPI_sqrt,300,6.330454111099243,0.8497926410607006,1.0,0.4153300520470075,1.0,0.4646929794041949,1.0,0.4428299387629939,1.0,0.25263726905460565,1.0,0.26667801227118676,1.0,0.29902990749853126,1.0,0.30736185541669137,1.0,0.14702192951846965,1.0,0.193695684910961,1.0,0.12381380091517558,1.0,0.07613071669643622,1.0,0.27454263140764107,0.0,0.49110706043433106,0.0,0.5042810567874434,0.0,0.48655105657685876,0.0,0.491953241455522,0.0,0.5086194385793923,0.0,0.4956892872108092,0.0,0.510099107527503,0.0,0.5069440202131782,0.0,0.5051191592529781,0.0,0.5143592706913088,0.0,0.4991532099703037,0.0,0.49077788024204283,0.0,0.494224073238795,0.0,0.5086473176565784,0.0,0.48800637049527845,0.0,0.49848184991773087,0.0,0.49073536802405654,0.0,0.4942088431914542,0.0,0.5067331795398873,0.0,0.4954854032517941,0.0,0.500215580437757,0.0,0.49200769764179353,0.0,0.49607135318298823,0.0,0.5122423723290934,0.0,0.47665144392142855,0.0,0.5110260574913299,0.0,0.5104228067722607,0.0,0.4902607932222171,0.0,0.49986780537304437,0.0,0.5020748638265506,0.0,0.5010964982694036,0.0,0.48970898584577827,0.0,0.5001583895359438,0.0,0.505338523534322,0.0,0.503650725967373,0.0,0.4833930294458171,0.0,0.5099623747635005,0.0,0.5064788384498619
CPI_n,300,6.334348440170288,0.8497926410607006,1.0,0.3293590175285893,1.0,0.43899923095825755,1.0,0.23051839945671088,1.0,0.011574131539333336,1.0,0.1371885555549351,1.0,0.0017234027008783956,1.0,0.02784416536372396,1.0,0.008368426523322986,1.0,0.01285840455977476,1.0,0.008551773681078732,1.0,0.18336414705409626,1.0,0.012505141510761094,0.0,0.4243007181432905,0.0,0.6081168091998036,0.0,0.2729435512334125,0.0,0.558519094600248,0.0,0.5140465806527191,0.0,0.45523405475937156,0.0,0.5700066359224975,0.0,0.4649355005347867,0.0,0.4700297278663021,0.0,0.5997468718016714,0.0,0.615003187719111,0.0,0.5067208007711228,0.0,0.48985269222281763,0.0,0.5219480315350232,0.0,0.48981408610797134,0.0,0.5018109534914338,0.0,0.4623649844410704,0.0,0.47736998612678144,0.0,0.5965701124922583,0.0,0.4756669350738217,0.0,0.5788665383903273,0.0,0.41625805239652974,0.0,0.561610954714162,0.0,0.5652284861969962,0.0,0.6245968120494022,0.0,0.5268808037829051,0.0,0.5752589888746974,0.0,0.4195107824719762,0.0,0.6041087919183338,0.0,0.5747907430105355,0.0,0.5206771970747492,0.0,0.4100525394909602,0.0,0.6760319090570233,0.0,0.5723563464845961,0.0,0.3886713451619913,0.0,0.3722583632572689,0.0,0.5830446084125438,0.0,0.4036130033408147
CPI_bt,300,6.531582355499268,0.8497926410607006,1.0,0.043665530055960716,1.0,0.17836489470265915,1.0,0.0034694255429452672,1.0,7.0493081834141976e-06,1.0,0.00019261951609347437,1.0,6.43098353620512e-11,1.0,0.0008578784915391102,1.0,0.00017161596451736416,1.0,3.265752203896359e-05,1.0,3.714984128479514e-05,1.0,0.13785037478158796,1.0,1.49311792581008e-07,0.0,0.4340349345360589,0.0,0.6467619749336463,0.0,0.40673299064467555,0.0,0.47683024722484857,0.0,0.521875394787918,0.0,0.4598705490023882,0.0,0.5261676151629768,0.0,0.44649763376109325,0.0,0.5427668571136199,0.0,0.6437554360620192,0.0,0.5788347577173165,0.0,0.3947118638235669,0.0,0.4563055660546487,0.0,0.5555033000076022,0.0,0.23909227609620592,0.0,0.48502684416358427,0.0,0.316469768373256,0.0,0.48836525499140326,0.0,0.4562913748826273,0.0,0.6178972328578223,0.0,0.47141463102785097,0.0,0.4058713019084572,0.0,0.7931735322825157,0.0,0.5197921743761446,0.0,0.5103721892861102,0.0,0.5020954494203526,0.0,0.5240990234375418,0.0,0.4316085880639802,0.0,0.4998127647416571,0.0,0.558389443372818,0.0,0.4948104863527634,0.0,0.5381694349223748,0.0,0.6236369660911136,0.0,0.6586600607166249,0.0,0.5276672438041754,0.0,0.5627161574901289,0.0,0.4977021989323464,0.0,0.45177899287993284
CPI_sqd,300,6.52106499671936,0.8497926410607006,1.0,6.323225328951215e-14,1.0,2.234114136761112e-39,1.0,8.178352082318563e-15,1.0,0.04907691093864343,1.0,8.718137431384942e-07,1.0,1.3611613549131197e-08,1.0,0.021196286835596188,1.0,3.79021179304971e-18,1.0,1.9874596520702118e-18,1.0,8.780612247926689e-12,1.0,0.12706581618353735,1.0,1.8523369582519324e-24,0.0,2.3227627125967438e-23,0.0,1.0,0.0,1.3050064576564336e-93,0.0,1.2622610119646045e-11,0.0,0.9993652339970932,0.0,1.0,0.0,0.21849362830257613,0.0,0.16202779187496802,0.0,0.9999993710011716,0.0,1.0,0.0,0.9874492789725714,0.0,9.75854668057911e-38,0.0,6.405815589389501e-11,0.0,1.0,0.0,4.951139180450855e-86,0.0,4.931581783433262e-38,0.0,1.8150791900063643e-197,0.0,8.822658732237101e-10,0.0,6.6011799313964684e-12,0.0,1.0,0.0,0.999999999998866,0.0,3.638151390036679e-27,0.0,0.9719329030746006,0.0,1.0,0.0,1.7954872954876195e-157,0.0,7.816662862806491e-41,0.0,1.0,0.0,1.188198656133129e-35,0.0,0.9999910911628029,0.0,1.1618781203472187e-24,0.0,1.0,0.0,6.219305103066121e-20,0.0,1.984050911725149e-08,0.0,0.011163119231301458,0.0,0.9999999999991268,0.0,2.705980832361188e-19,0.0,1.0,0.0,1.1593905834450523e-05
S-CPI,300,18.722447395324707,0.8497926410607006,1.0,0.03240400328725449,1.0,0.09415579340525204,1.0,0.5051982786075527,1.0,0.057081826110258145,1.0,0.05182719363690804,1.0,0.0007318823633433636,1.0,0.1961676920929134,1.0,0.0009934828271091628,1.0,0.008549824473480459,1.0,0.010991435693042877,1.0,0.28624800327994626,1.0,0.00010931974258704649,0.0,0.09371837016515083,0.0,0.9290535054835194,0.0,0.14913675066610305,0.0,0.8198068083256227,0.0,0.6275549593391314,0.0,0.22022142790696791,0.0,0.6501596233428191,0.0,0.43776919267324743,0.0,0.7176811467828195,0.0,0.961799825895345,0.0,0.4799582915454606,0.0,0.42715204281675717,0.0,0.05049658212221677,0.0,0.7523974869684565,0.0,0.08013369497726058,0.0,0.44359426698743665,0.0,0.016177595375072056,0.0,0.35907048669213903,0.0,0.7826976356202491,0.0,0.722824648886655,0.0,0.7628992133500854,0.0,0.2955937693894597,0.0,0.8260988366437096,0.0,0.9744112466611796,0.0,0.22547661786032452,0.0,0.5715429409366333,0.0,0.9135090307776458,0.0,0.07492450380188581,0.0,0.6198871662754573,0.0,0.9637336066324705,0.0,0.8167139537441086,0.0,0.5290602575583971,0.0,0.576295602888572,0.0,0.5929030344180424,0.0,0.450389241225732,0.0,0.15055850650124053,0.0,0.6965725967221985,0.0,0.6709804443063082
S-CPI_sqrt,300,18.738457918167114,0.8497926410607006,1.0,0.4298234243728135,1.0,0.4075597426463123,1.0,0.4585535116714734,1.0,0.26026960025639123,1.0,0.27481875195085964,1.0,0.22086755761794485,1.0,0.35380688230888213,1.0,0.15983830086946638,1.0,0.14046250523866766,1.0,0.24680221575077865,1.0,0.329417843421454,1.0,0.21657214254893326,0.0,0.47181771726141225,0.0,0.5266519797831012,0.0,0.49505276888212546,0.0,0.5092389940620039,0.0,0.5026302397716648,0.0,0.48955640905066256,0.0,0.5107407102562335,0.0,0.49612617377160567,0.0,0.5077666552681229,0.0,0.523533911573072,0.0,0.5075950591283733,0.0,0.49345339548642164,0.0,0.48971494301484325,0.0,0.5129698960807507,0.0,0.48865223143065956,0.0,0.49562059494924887,0.0,0.47886771454273347,0.0,0.495928420434365,0.0,0.5090093055621122,0.0,0.4992137309097411,0.0,0.5142151216335276,0.0,0.4957957859503911,0.0,0.5138939387215311,0.0,0.5112612984536705,0.0,0.4672917450421306,0.0,0.503823536859791,0.0,0.5175355962246131,0.0,0.48625607829990547,0.0,0.4956929868317113,0.0,0.5176806621030153,0.0,0.5056869934667084,0.0,0.5017823233413543,0.0,0.5072960504230171,0.0,0.5000365264037605,0.0,0.5027866911092518,0.0,0.4864443033168408,0.0,0.508406217065342,0.0,0.4867288938202596
S-CPI_n,300,18.72717785835266,0.8497926410607006,1.0,0.1745526440015827,1.0,0.2249093392761728,1.0,0.4813166418179123,1.0,0.0957873789205444,1.0,0.10260939144758663,1.0,0.016441900481492307,1.0,0.4769903366776923,1.0,0.008826187298567437,1.0,0.009846827700146,1.0,0.06425200407534641,1.0,0.16545830454019828,1.0,0.004978248967878428,0.0,0.3850065146886767,0.0,0.6478031537132811,0.0,0.39117309297675695,0.0,0.5878058902181401,0.0,0.5291766551689843,0.0,0.4525130341091831,0.0,0.556486085302629,0.0,0.43456606881390825,0.0,0.5622485603053984,0.0,0.6507873006841796,0.0,0.49181515415602456,0.0,0.5280500843861151,0.0,0.4368997541954085,0.0,0.5443468253981361,0.0,0.3027006717399104,0.0,0.4772673686772329,0.0,0.3435113286724581,0.0,0.47014196071084774,0.0,0.5648361570026421,0.0,0.527282723637075,0.0,0.5789637704240147,0.0,0.44437761959943844,0.0,0.6060814886021348,0.0,0.6377950536896535,0.0,0.3626347256324026,0.0,0.5463750817468914,0.0,0.6378343911705806,0.0,0.3755063734147702,0.0,0.5157039044335402,0.0,0.6356407835174305,0.0,0.5596111036277882,0.0,0.485378049042976,0.0,0.6363537588709498,0.0,0.5039827627132816,0.0,0.5253293666333705,0.0,0.42530338874091933,0.0,0.5514323773735172,0.0,0.46329236108087374
S-CPI_bt,300,18.92769169807434,0.8497926410607006,1.0,0.07523526047940342,1.0,0.007102625696649368,1.0,0.18190371707249386,1.0,0.04190813894348228,1.0,0.000688535756417976,1.0,7.573286980878632e-05,1.0,0.4078708901315683,1.0,0.0002508686494552433,1.0,0.00727373075297616,1.0,4.291370116435997e-06,1.0,0.2280619924757984,1.0,1.968338588233867e-10,0.0,0.1925373368960951,0.0,0.7128913058377908,0.0,0.4583165289317674,0.0,0.5798740533223045,0.0,0.5736297938782522,0.0,0.45328197516544355,0.0,0.6276721028981185,0.0,0.4983305859208207,0.0,0.592677445062643,0.0,0.678618953420908,0.0,0.4527988953736292,0.0,0.49223469760052896,0.0,0.3887228070586415,0.0,0.5599157997476243,0.0,0.3138678260582529,0.0,0.45917788265210013,0.0,0.2522518264107777,0.0,0.4636311420247062,0.0,0.5941525754237614,0.0,0.5666149119482573,0.0,0.4867184967192552,0.0,0.449831254378036,0.0,0.6054412779186198,0.0,0.6249378611840904,0.0,0.2544433366669369,0.0,0.5069625865349936,0.0,0.667921982914311,0.0,0.31362610290290277,0.0,0.5206100577695499,0.0,0.6930851277553506,0.0,0.6199217023000547,0.0,0.5153120249002224,0.0,0.47727016175475295,0.0,0.5001158900006929,0.0,0.5295643956268621,0.0,0.35852205101653034,0.0,0.5938159083781873,0.0,0.4440117734000627
