method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,820.5570483207703,0.9884113146432677,1.0,0.2257569103260788,1.0,0.03467768867757115,1.0,0.20006922794183546,1.0,0.0010078729487781324,1.0,0.018341441380882784,1.0,0.017602696754483116,1.0,0.0001719544811026319,1.0,0.11540417957720084,1.0,0.008686457259112546,1.0,0.00013151181117965205,1.0,0.0005137921316314964,1.0,3.1956204355476636e-05,0.0,0.9141223708449635,0.0,0.6897734037194037,0.0,0.95037377659112,0.0,0.748439604391625,0.0,0.38066192708934254,0.0,0.9383018792235562,0.0,0.9463629990549802,0.0,0.16982588689979528,0.0,0.9052479347961582,0.0,0.29288907258621344,0.0,0.21060679397108784,0.0,0.6247700513991677,0.0,0.47443769021801274,0.0,0.8832789344141085,0.0,0.6784717096533803,0.0,0.031657473346489495,0.0,0.7928018585376069,0.0,0.5881377230371015,0.0,0.9614427361809749,0.0,0.49349884446320336,0.0,0.23488685078160754,0.0,0.9458138700473999,0.0,0.02441012931131037,0.0,0.9125985342459093,0.0,0.908725537875499,0.0,0.7839866380797889,0.0,0.010713016462842506,0.0,0.5718942498065992,0.0,0.3467311958382592,0.0,0.9088665164440571,0.0,0.9335348171117388,0.0,0.03848872008851323,0.0,0.7512332756918295,0.0,0.30790550628530056,0.0,0.918940087493241,0.0,0.9899282809444324,0.0,0.16963026833498018,0.0,0.4534607280215819
CPI,300,15.631681680679321,0.9884113146432677,1.0,6.0565744258773115e-05,1.0,1.980679606396519e-05,1.0,0.0003185876081591326,1.0,2.3142802895588456e-08,1.0,9.270806833345584e-07,1.0,9.081207097942406e-06,1.0,3.840870640795142e-11,1.0,1.832219811307287e-09,1.0,3.748101075744711e-08,1.0,3.110314490018523e-10,1.0,3.036113469770783e-06,1.0,1.917708079225164e-07,0.0,0.20437806937652148,0.0,0.16441401112154097,0.0,0.6784655765271974,0.0,0.4997631870238229,0.0,0.9885787760482614,0.0,0.8008156273665448,0.0,0.10107376722639994,0.0,0.7920826238255354,0.0,0.2080139463417075,0.0,0.1598903180728115,0.0,0.8894595888158745,0.0,0.5185764390273682,0.0,0.2833717664680069,0.0,0.8453456437855412,0.0,0.9575764625085168,0.0,0.4262735655132259,0.0,0.17047660971835638,0.0,0.06633581957918266,0.0,0.3216924883701748,0.0,0.17167703826364322,0.0,0.23452267887172212,0.0,0.2019304940918505,0.0,0.06205834365990212,0.0,0.39600341041723686,0.0,0.606452458096149,0.0,0.008817170434159737,0.0,0.7430564275572369,0.0,0.20286830759770508,0.0,0.9008410803997362,0.0,0.9578447514938411,0.0,0.9088235965669387,0.0,0.17276751990472267,0.0,0.24136121501286412,0.0,0.4042839075626721,0.0,0.9728713055446571,0.0,0.37514454759164145,0.0,0.5263803548007882,0.0,0.16267073681740357
CPI_sqrt,300,15.631285429000854,0.9884113146432677,1.0,0.3995690682741541,1.0,0.24576391183680535,1.0,0.40209924138638725,1.0,0.22622654324328273,1.0,0.2936600773724898,1.0,0.22384224979490486,1.0,0.19054065374387502,1.0,0.16821293279777177,1.0,0.2501221175173408,1.0,0.139014802399683,1.0,0.1261374517575079,1.0,0.0529253976296155,0.0,0.4996047747648056,0.0,0.499784075598474,0.0,0.500517354357221,0.0,0.5001336066398341,0.0,0.5002864991812908,0.0,0.5001527373495962,0.0,0.4995027230171898,0.0,0.5004849245822641,0.0,0.49998269600282325,0.0,0.5002411934749057,0.0,0.5002620695949519,0.0,0.5000331547639107,0.0,0.4999431179325325,0.0,0.5000169781588237,0.0,0.5014004482629761,0.0,0.4999450159579765,0.0,0.4999010505543106,0.0,0.4999465998854387,0.0,0.5001775002757373,0.0,0.49972130379924823,0.0,0.4999310041535416,0.0,0.502517273583158,0.0,0.4996891045317137,0.0,0.5001543680787688,0.0,0.5000824667306787,0.0,0.49988314267821293,0.0,0.4999390472578918,0.0,0.4998911971181746,0.0,0.49995339471900674,0.0,0.5001328878529268,0.0,0.49999399352323814,0.0,0.49957809579168466,0.0,0.4999938491368109,0.0,0.5001330537941387,0.0,0.5003370537818361,0.0,0.4999540980215933,0.0,0.4998230633910372,0.0,0.5001302737888492
CPI_n,300,15.63579773902893,0.9884113146432677,1.0,0.008127753237574843,1.0,0.013201676149333999,1.0,0.18799902196783264,1.0,0.003526644710119295,1.0,0.0003054525655264849,1.0,0.001424180433342178,1.0,9.237101112547961e-05,1.0,5.598018201296691e-05,1.0,3.177892456650468e-05,1.0,1.7354428760520262e-05,1.0,1.4980661034655201e-05,1.0,1.2258546212968633e-06,0.0,0.4968655142510245,0.0,0.5002736280963845,0.0,0.49719242495763616,0.0,0.5007394215695564,0.0,0.5015905245975033,0.0,0.5020479739374242,0.0,0.49664486059786467,0.0,0.5040135635173656,0.0,0.49860593594862757,0.0,0.5017290945923053,0.0,0.5033425487472202,0.0,0.49894061080785235,0.0,0.49686825651571287,0.0,0.49928957691362236,0.0,0.5083775164012615,0.0,0.4982953855999664,0.0,0.49959790536306636,0.0,0.4987677695109293,0.0,0.4980540415752392,0.0,0.4967628024457168,0.0,0.5019247136806463,0.0,0.4961934706803415,0.0,0.49980572349976204,0.0,0.4973614822824397,0.0,0.5010811110798271,0.0,0.4965847489532035,0.0,0.5009617772728542,0.0,0.5004995902397755,0.0,0.5012446818254622,0.0,0.5008074762215105,0.0,0.4987561730570822,0.0,0.4981638465214551,0.0,0.5015381274684303,0.0,0.5014629770838599,0.0,0.5018917126177428,0.0,0.5009397725426058,0.0,0.49985521037600134,0.0,0.500894642626167
CPI_bt,300,15.823307752609253,0.9884113146432677,1.0,0.0003782849032233137,1.0,3.270585162495679e-07,1.0,0.008406080983465554,1.0,1.1909279348594568e-09,1.0,3.803446612862962e-18,1.0,2.4427289225091813e-08,1.0,5.2060052689073465e-18,1.0,2.6884032130857335e-12,1.0,3.11430790062259e-16,1.0,6.798856069485868e-15,1.0,8.011504493393173e-13,1.0,1.7928397540773874e-27,0.0,0.4945092046455367,0.0,0.49947447502250064,0.0,0.5024109048458887,0.0,0.5008607539427974,0.0,0.5015625483109813,0.0,0.5014433281958016,0.0,0.49900007223001636,0.0,0.5051553703596379,0.0,0.49844731744382414,0.0,0.48172706731444953,0.0,0.5014757830752724,0.0,0.5018215434938864,0.0,0.5012984168906662,0.0,0.49981472053455855,0.0,0.5053263932561114,0.0,0.49990418499012895,0.0,0.49894303899681297,0.0,0.5001973572641797,0.0,0.5006670550063906,0.0,0.4978887455655246,0.0,0.4976367260750101,0.0,0.5232403100586067,0.0,0.49765297419476,0.0,0.5017904469427354,0.0,0.5013390085297399,0.0,0.5009194815675766,0.0,0.5017124397346308,0.0,0.5005951460306927,0.0,0.49651763746420574,0.0,0.5009149443744784,0.0,0.500867360392726,0.0,0.4994138019320259,0.0,0.5025153686901134,0.0,0.5012750357399839,0.0,0.5008148706131065,0.0,0.49825392264916146,0.0,0.5017596544028418,0.0,0.49878240108748184
CPI_sqd,300,15.81186056137085,0.9884113146432677,1.0,3.704613182034725e-189,1.0,5.97676584587462e-306,1.0,0.0,1.0,2.2082918164032958e-187,1.0,1.4145804451387374e-97,1.0,1.4659922289325043e-17,1.0,1.6905796890412652e-85,1.0,2.4607468438634364e-54,1.0,5.306540982268942e-112,1.0,5.016542288388596e-250,1.0,1.4632991558725144e-130,1.0,1.1297154250454554e-73,0.0,0.04506952060225044,0.0,0.5365814548414582,0.0,0.9120548129534256,0.0,0.39932229207211994,0.0,0.5484323167822326,0.0,0.7840633027173676,0.0,0.36015571010425895,0.0,0.5980544236264862,0.0,0.41637654453657436,0.0,0.19418109164108643,0.0,0.5277721174480463,0.0,0.5513220004499675,0.0,0.5839059388703862,0.0,0.6011066494127869,0.0,0.9326862999676307,0.0,0.6785143486158377,0.0,0.3876288050229183,0.0,0.3706454046873332,0.0,0.5416488123828014,0.0,0.21670307827985236,0.0,0.35332561133906026,0.0,0.5072494814721884,0.0,0.27338313023238836,0.0,0.5695657241575367,0.0,0.5273625233510498,0.0,0.24682911938042335,0.0,0.42328586204692287,0.0,0.5722786938610773,0.0,0.4110984953104483,0.0,0.7264157224026311,0.0,0.22744065283453618,0.0,0.4325991595683375,0.0,0.6162650889756607,0.0,0.5245207278690001,0.0,0.708951753646247,0.0,0.5069444834997087,0.0,0.48526223391032286,0.0,0.3645240016029984
S-CPI,300,28.201239347457886,0.9884113146432677,1.0,0.00014577661869650136,1.0,1.7049294015281636e-05,1.0,0.028030980953080646,1.0,1.662401264481896e-05,1.0,1.5126172462734109e-05,1.0,0.005078612803331827,1.0,2.7202020405578944e-08,1.0,7.005977073890005e-06,1.0,1.4053323704953608e-06,1.0,8.325297597669172e-08,1.0,7.021841404997675e-07,1.0,2.4807773130679445e-06,0.0,0.06762707329860024,0.0,0.7806503523975352,0.0,0.8201151605637065,0.0,0.7224808014314174,0.0,0.9687229212672103,0.0,0.7742920107137734,0.0,0.19449215911857093,0.0,0.9292443982369097,0.0,0.6447957984577466,0.0,0.6925088680993683,0.0,0.946693406678817,0.0,0.29314478025065605,0.0,0.7144337244179527,0.0,0.6418059616433305,0.0,0.9889970429289111,0.0,0.35067247555219594,0.0,0.183204828806322,0.0,0.25614083866069726,0.0,0.40473466623236176,0.0,0.032211697661504925,0.0,0.11592185378425623,0.0,0.7121655859830583,0.0,0.04856781237471752,0.0,0.816432930478177,0.0,0.7246044658539287,0.0,0.22147292412298147,0.0,0.8597294272657496,0.0,0.13286456228983257,0.0,0.26703544983989896,0.0,0.8399276774514961,0.0,0.4638646395217355,0.0,0.05119508474238581,0.0,0.8458833217696659,0.0,0.8315952630337474,0.0,0.987451195269919,0.0,0.48531438060433474,0.0,0.804883976671388,0.0,0.5252752138916328
S-CPI_sqrt,300,28.218976497650146,0.9884113146432677,1.0,0.3513242819879432,1.0,0.2969460061388184,1.0,0.43187847684593483,1.0,0.2669935274994745,1.0,0.21382228680535886,1.0,0.2676929034316848,1.0,0.1457473868977477,1.0,0.23257294884171176,1.0,0.16142350186737314,1.0,0.11647176987133862,1.0,0.13261194082784633,1.0,0.08539925838105272,0.0,0.4992837715633611,0.0,0.5001929719095914,0.0,0.5002581761923032,0.0,0.5000451218118133,0.0,0.5004385901699087,0.0,0.49985435673743994,0.0,0.4994152467904276,0.0,0.5001982312340161,0.0,0.5000646271963043,0.0,0.5023454821215081,0.0,0.5004170864322889,0.0,0.49983600135307826,0.0,0.5001441646996371,0.0,0.5001263084270368,0.0,0.5020488950540807,0.0,0.49993859822801057,0.0,0.4998688434927554,0.0,0.49986798482511235,0.0,0.5000736350388599,0.0,0.49971661564185194,0.0,0.49946944323118236,0.0,0.4995510640984423,0.0,0.49969405085286267,0.0,0.5003286038380063,0.0,0.5001059692679629,0.0,0.49966926798977446,0.0,0.5001621393740647,0.0,0.4998558531258972,0.0,0.49981766541401224,0.0,0.5001364122136261,0.0,0.5001065454784966,0.0,0.4996018521997941,0.0,0.5001721351202969,0.0,0.5002631187557312,0.0,0.5003044609040675,0.0,0.5000127094518325,0.0,0.500219056213922,0.0,0.5001177368980184
S-CPI_n,300,28.219316005706787,0.9884113146432677,1.0,0.01845460847621476,1.0,0.004864956575595775,1.0,0.1770434878674173,1.0,0.005591394189349415,1.0,0.001069351593929841,1.0,0.017723940147782023,1.0,0.0005036932336919136,1.0,0.0010346338843951947,1.0,0.00020003795755181241,1.0,0.00010761972238563762,1.0,0.00011700021935618987,1.0,2.0482422735821186e-05,0.0,0.4958436317428932,0.0,0.5009973004775545,0.0,0.5056030729422697,0.0,0.5011460711239389,0.0,0.503995524301276,0.0,0.5003074207582231,0.0,0.4958621201362147,0.0,0.5062879367155524,0.0,0.5019840409964502,0.0,0.5073130472882088,0.0,0.504100812237575,0.0,0.4989881963567274,0.0,0.5024933768663221,0.0,0.501385999001163,0.0,0.5184343239804077,0.0,0.49823067762201617,0.0,0.5001968589530428,0.0,0.4981856409369259,0.0,0.5010985409737555,0.0,0.4969876652072523,0.0,0.49355135558011054,0.0,0.5051446457003009,0.0,0.4970967960273019,0.0,0.4996979224344546,0.0,0.5008552789028983,0.0,0.4970067523395009,0.0,0.5004942559926482,0.0,0.49851106463567163,0.0,0.4981135839619904,0.0,0.5014112524184651,0.0,0.5000622809369545,0.0,0.49638146960894336,0.0,0.5023760569433305,0.0,0.5019063494214404,0.0,0.5029056638471829,0.0,0.5014479709442103,0.0,0.5010664594090213,0.0,0.5002526704781936
S-CPI_bt,300,28.388694286346436,0.9884113146432677,1.0,1.4676081289555316e-05,1.0,5.616733495023489e-07,1.0,0.08634675167258793,1.0,1.9672922976517865e-07,1.0,7.155195504120794e-08,1.0,0.0005722715594183514,1.0,1.4880142941471586e-15,1.0,1.3777917604156946e-12,1.0,9.426791948134399e-12,1.0,4.142298711165798e-18,1.0,4.014629508622317e-14,1.0,5.571310218748034e-16,0.0,0.4956469119234226,0.0,0.5005131962766391,0.0,0.5036727086222291,0.0,0.5014649924218917,0.0,0.5036183850038831,0.0,0.49983849216290294,0.0,0.495163931795748,0.0,0.5025563504542282,0.0,0.5009819658982874,0.0,0.515220593875597,0.0,0.5032191428917892,0.0,0.49868044777805015,0.0,0.4998668650956482,0.0,0.5001372580540697,0.0,0.5183314252737818,0.0,0.49788462832755004,0.0,0.5001619499759719,0.0,0.4980692681866674,0.0,0.49885365073545285,0.0,0.4969392770682041,0.0,0.4941149822303978,0.0,0.5107907137551324,0.0,0.497016703741289,0.0,0.49957911986614056,0.0,0.5017934430678519,0.0,0.4976474876024175,0.0,0.5025225110395973,0.0,0.49848954021069936,0.0,0.500643398198838,0.0,0.5010845858208599,0.0,0.5009089321892561,0.0,0.4968813546631419,0.0,0.5000436904407796,0.0,0.5040540150393781,0.0,0.5025170298753227,0.0,0.49982537663471166,0.0,0.5016097294017157,0.0,0.5005191526458443
