method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.2550034523010254,0.9877606821931704,1.0,0.12045726026243875,1.0,0.009857602336387994,1.0,0.003666559445177686,1.0,0.024426791646715573,1.0,0.0045252161906583765,1.0,0.013804574700575167,1.0,0.0011018862332830004,1.0,0.0004421555043084835,1.0,0.015819666629961482,1.0,5.363487583953663e-06,1.0,1.659826567301792e-06,1.0,7.403795686533599e-07,0.0,0.5483339659761417,0.0,0.10248302277767207,0.0,0.10879509531182352,0.0,0.4576059408310026,0.0,0.7825288412953183,0.0,0.5559957273090099,0.0,0.7368416441687042,0.0,0.4141507469081791,0.0,0.43707258130949733,0.0,0.4180393860128855,0.0,0.25274380116539186,0.0,0.8083281322210081,0.0,0.865215868723202,0.0,0.7038990790023533,0.0,0.9357005131542797,0.0,0.049197278170480696,0.0,0.533987682225034,0.0,0.42873321366512995,0.0,0.7245058268927841,0.0,0.023803109526228106,0.0,0.5680015437859425,0.0,0.5871406054933873,0.0,0.49862131588435576,0.0,0.060332323112663455,0.0,0.12000696265121946,0.0,0.5026211982985416,0.0,0.7822350483566686,0.0,0.7749696989924169,0.0,0.16248794594654048,0.0,0.1922420328587804,0.0,0.5915530142093761,0.0,0.780114334996016,0.0,0.23984304104603305,0.0,0.17437808582535408,0.0,0.31295082620944237,0.0,0.865717880059468,0.0,0.7939825940022058,0.0,0.534329773225289
CPI,300,3.2318434715270996,0.9877606821931704,1.0,3.0143926299275042e-05,1.0,1.786229708525711e-06,1.0,8.932883149711638e-06,1.0,0.00011412565154409063,1.0,3.6929704372870946e-07,1.0,1.5700710915191453e-05,1.0,0.00015194785782236467,1.0,8.85376328086021e-08,1.0,2.1549264256341744e-05,1.0,6.283820732908612e-09,1.0,4.2011136909195e-07,1.0,5.342303537956636e-08,0.0,1.0,0.0,0.5250480172508064,0.0,1.0,0.0,0.21572873465283193,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4485287591376681,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03887756489159905,0.0,1.0,0.0,0.19900628573784235,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.2269389629364014,0.9877606821931704,1.0,0.3304110974139981,1.0,0.2986847466160415,1.0,0.15382370399088796,1.0,0.2919493220245346,1.0,0.17529091334331343,1.0,0.34867954314516686,1.0,0.2849235325038416,1.0,0.1620797995566473,1.0,0.1608657458954172,1.0,0.0811835112944082,1.0,0.11087317079434161,1.0,0.09572549962649363,0.0,0.5,0.0,0.5010911002673777,0.0,0.5,0.0,0.4995071111602417,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49971693223002533,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.500132465844923,0.0,0.5,0.0,0.5000086518196409,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_n,300,3.2243878841400146,0.9877606821931704,1.0,0.010724170128544569,1.0,0.007085032659888649,1.0,0.000407448604309019,1.0,0.016504139352829853,1.0,0.0007239694951218173,1.0,0.0069296205700387975,1.0,0.026467884854402178,1.0,0.0004785856306570713,1.0,0.0011873432840720302,1.0,2.4357904473926013e-06,1.0,4.689757149225441e-06,1.0,1.7642804631069213e-05,0.0,0.5,0.0,0.5142705088083156,0.0,0.5,0.0,0.5093299978067565,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.497139551432519,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49609536213570476,0.0,0.5,0.0,0.5004853813077406,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_bt,300,3.404695987701416,0.9877606821931704,1.0,5.1118145945966484e-06,1.0,2.046169985996288e-07,1.0,7.901579167647975e-12,1.0,2.4572962817778838e-05,1.0,1.2179311765161112e-13,1.0,6.560512594522721e-07,1.0,7.046613898547663e-08,1.0,2.685955092841653e-10,1.0,2.1335113084550464e-11,1.0,1.8934566852115014e-29,1.0,3.020312617957545e-12,1.0,5.522686844090222e-16,0.0,0.5,0.0,0.5188488252898581,0.0,0.5,0.0,0.504893200683574,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49535198118279566,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49741271543959237,0.0,0.5,0.0,0.5002921669854061,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
CPI_sqd,300,3.3982837200164795,0.9877606821931704,1.0,2.182816946339405e-129,1.0,2.2702177611307248e-118,1.0,1.1631741313088225e-291,1.0,5.9217121905808345e-208,1.0,1.97572668971487e-98,1.0,2.3186169431455083e-53,1.0,1.3735306128510868e-41,1.0,5.2043420499817485e-149,1.0,3.017039469709888e-54,1.0,9.214603148844908e-62,1.0,3.7140888892301914e-59,1.0,4.0391496711471036e-47,0.0,0.5,0.0,0.9999965658303167,0.0,0.5,0.0,0.6069591279840418,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.33333014505611397,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.08212519849370697,0.0,0.5,0.0,0.534612357333528,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI,300,3.322141408920288,0.9877606821931704,1.0,0.00013569928158992887,1.0,0.0004918655259487716,1.0,6.020348505085593e-07,1.0,0.0041340148472554985,1.0,3.685091942260382e-06,1.0,0.005436734054216755,1.0,5.686642403214484e-05,1.0,1.1175051904732208e-07,1.0,4.1517266670664225e-05,1.0,1.325628284496996e-07,1.0,8.32690058179883e-07,1.0,8.654180925401197e-09,0.0,0.07558518875317036,0.0,0.8005938969609314,0.0,0.07558518875317036,0.0,0.6404808495739709,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07960471162063504,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.13276238714334937,0.0,0.07558518875317036,0.0,0.8551704880815196,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036,0.0,0.07558518875317036
S-CPI_sqrt,300,3.325244426727295,0.9877606821931704,1.0,0.26136747139075134,1.0,0.290964225992287,1.0,0.1650668100074793,1.0,0.30175114199378694,1.0,0.20225324322329818,1.0,0.2946261995192162,1.0,0.2829615241626159,1.0,0.15430787539654672,1.0,0.16967545981058424,1.0,0.09915565458072345,1.0,0.13039638456148833,1.0,0.13318007349988725,0.0,0.4999999999999998,0.0,0.5012665625578586,0.0,0.4999999999999998,0.0,0.5006440707126655,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4995446352413658,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4992004580576991,0.0,0.4999999999999998,0.0,0.5000538169042169,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998,0.0,0.4999999999999998
S-CPI_n,300,3.31919264793396,0.9877606821931704,1.0,0.010833850417128203,1.0,0.019322113824168066,1.0,0.00011998905188533555,1.0,0.023038922547606262,1.0,0.0012539734690431262,1.0,0.04746140424327759,1.0,0.0061877414146821975,1.0,0.00045566904198250446,1.0,0.003110318858743145,1.0,2.8005729231733433e-05,1.0,0.000336305625267009,1.0,1.183746197006238e-06,0.0,0.4999999999999977,0.0,0.5139457143649385,0.0,0.4999999999999977,0.0,0.502479493275186,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.49419718273412994,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.49603775964610103,0.0,0.4999999999999977,0.0,0.5003343030373845,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977
S-CPI_bt,300,3.499952554702759,0.9877606821931704,1.0,6.152399006564523e-07,1.0,0.00010406934448315693,1.0,1.4619452165227215e-11,1.0,2.0945167380341233e-05,1.0,9.351245743252947e-11,1.0,1.1221292891778813e-05,1.0,6.371812547393594e-06,1.0,2.3983585971140828e-11,1.0,3.4558240606560887e-09,1.0,7.049248279519999e-17,1.0,8.812911482047277e-13,1.0,2.1243164382273866e-15,0.0,0.4999999999999977,0.0,0.5120837751901268,0.0,0.4999999999999977,0.0,0.4980390869203242,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.49335950285575464,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4934048849002067,0.0,0.4999999999999977,0.0,0.5004313682336369,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977,0.0,0.4999999999999977
