method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,14.153030395507812,-0.40739471789182824,0.0,0.038284540297965464,0.0,0.057422872894966503,0.0,0.008418511903207415,0.0,0.015124882579085619,0.0,0.009043257741732313,0.0,0.015578166159046836,0.0,0.00485820712231666,0.0,0.02029686639954298,0.0,0.0014639472694371047,0.0,0.002482553659094444,0.0,0.003146574559448223,0.0,0.02052620902007385,0.0,0.06312452660175472,0.0,9.122141274520157e-05,0.0,0.6753085203373324,0.0,0.00018782470361244918,0.0,0.0005429590414401941,0.0,0.006448078325239193,0.0,0.03332629913707674,0.0,0.1453609791502315,1.0,0.005701274825488434,0.0,0.0050521219314015875,0.0,0.02724058291981668,0.0,0.0002922631948201193,0.0,0.060789156393325605,0.0,0.007475763507322819,0.0,0.0007795659271514488,0.0,0.006340786013664279,0.0,0.011276433770920136,0.0,0.6906953190089168,0.0,0.007742947861014926,0.0,0.12502312786230418,0.0,0.017320864068107844,0.0,0.031216918048139086,0.0,0.19103875051938402,0.0,0.0045836480198017115,0.0,0.10834762147790888,0.0,0.1045672296700888,0.0,0.030141663014061626,0.0,0.02601383575240679,0.0,0.12648921826724369,0.0,0.03522199605845622,0.0,0.03646332280572673,0.0,0.004337863061458669,0.0,0.06398933774013105,0.0,0.02538244213313212,0.0,0.8183287115083226,0.0,0.11646000936766399,0.0,0.005954143638486786,0.0,0.008070349143310396
CPI,300,3.614678382873535,-0.40739471789182824,0.0,0.7102903375468289,0.0,0.42648278465443834,0.0,0.3332149051199427,0.0,0.6295506442262991,0.0,0.20734424331514073,0.0,0.048830340128483564,0.0,0.7341413850771572,0.0,0.8467125835238309,0.0,0.23990351432190377,0.0,0.9724881410844711,0.0,0.7907351436245431,0.0,0.4883788944960728,0.0,0.6667035806111262,0.0,0.25286126098967016,0.0,0.7500563639370793,0.0,0.5342338918924626,0.0,0.3503501030826648,0.0,0.46841803780845875,0.0,0.11462589460670214,0.0,0.08314253937069244,1.0,0.6558037204627383,0.0,0.2907226955213159,0.0,0.7962141687551394,0.0,0.32402085675746717,0.0,0.43116744891727354,0.0,0.09926925605325931,0.0,0.9797986551158298,0.0,0.3566500285416328,0.0,0.2448243825069975,0.0,0.2480749064518225,0.0,0.5742487907658408,0.0,0.03296719865691117,0.0,0.0948098907454617,0.0,0.5440278612337421,0.0,0.16794714570100577,0.0,0.6329192326832616,0.0,0.9731742241150625,0.0,0.8256115776955864,0.0,0.6812926571807174,0.0,0.45684071764791,0.0,0.07606485210404465,0.0,0.3607625291479157,0.0,0.3506453295205749,0.0,0.23331994849724402,0.0,0.8974422713351187,0.0,0.5678407784956507,0.0,0.7865112052934502,0.0,0.7728268213143694,0.0,0.16039160942990843,0.0,0.18183579842919412
CPI_sqrt,300,3.596712827682495,-0.40739471789182824,0.0,0.4519618664089338,0.0,0.5668572358343684,0.0,0.5351800153327656,0.0,0.48492716207930375,0.0,0.5065111472606234,0.0,0.558018536336043,0.0,0.5830479422318937,0.0,0.5145221946908366,0.0,0.47132837287623036,0.0,0.5877941906311115,0.0,0.5063466272078447,0.0,0.445954000229773,0.0,0.4835353377093183,0.0,0.41719884574782334,0.0,0.5541901279194745,0.0,0.5019943816926087,0.0,0.45880678248533113,0.0,0.5267660166290886,0.0,0.5017215792946479,0.0,0.5207339090519015,1.0,0.49308423331129736,0.0,0.5295406870694808,0.0,0.581877481835183,0.0,0.5644595885283181,0.0,0.4322144698836813,0.0,0.5413859709489346,0.0,0.4711396680566591,0.0,0.5183083865941587,0.0,0.49756893642030425,0.0,0.4965177063345357,0.0,0.42736149667023327,0.0,0.46605462644853307,0.0,0.44672463756834757,0.0,0.5103868082223478,0.0,0.4720488024800157,0.0,0.5347400057220655,0.0,0.5673692873752789,0.0,0.5353330305629596,0.0,0.5609302227329118,0.0,0.5396924861865725,0.0,0.37556645515187786,0.0,0.4864421413431132,0.0,0.4955710390333018,0.0,0.4634747705308618,0.0,0.5055602534267263,0.0,0.42156098375507245,0.0,0.5670409353435937,0.0,0.4984820399196512,0.0,0.45879603056391755,0.0,0.44340885515227824
CPI_n,300,3.6027863025665283,-0.40739471789182824,0.0,0.8618320747400889,0.0,0.7220080237637538,0.0,0.3457660524997593,0.0,0.6005607234352325,0.0,0.39911030071235226,0.0,0.6989660900444452,0.0,0.8991381387950925,0.0,0.6593472017960584,0.0,0.3895387239624329,0.0,0.7251788658258373,0.0,0.7325430792870764,0.0,0.6885907170139786,0.0,0.3465797915437136,0.0,0.38090872752934196,0.0,0.7534474563112903,0.0,0.4800802502706526,0.0,0.17160295985853224,0.0,0.5082602869752102,0.0,0.5253630374139279,0.0,0.3373406935749836,1.0,0.46772701427434804,0.0,0.26359947767644165,0.0,0.5668605504447322,0.0,0.4122255424598392,0.0,0.21408821088695518,0.0,0.8089191977638195,0.0,0.37105659688549014,0.0,0.43565126744729876,0.0,0.6238773630887752,0.0,0.8195630740350903,0.0,0.6117114395419458,0.0,0.24824596769372764,0.0,0.346563610403094,0.0,0.6179961766576091,0.0,0.3851332201634975,0.0,0.4975095402319089,0.0,0.8179146553833928,0.0,0.6501626188079728,0.0,0.4870814015123901,0.0,0.48373611714230746,0.0,0.6528731525486362,0.0,0.2568841863972171,0.0,0.3790832015714499,0.0,0.3946756418047529,0.0,0.24773511818301774,0.0,0.2953923077473827,0.0,0.7053756629052828,0.0,0.6572694588218789,0.0,0.3504086778451958,0.0,0.6468360767560257
CPI_bt,300,3.7795886993408203,-0.40739471789182824,0.0,0.9051791169378516,0.0,0.560877794980539,0.0,0.5119850147378541,0.0,0.8275977265492922,0.0,0.27761550386887757,0.0,0.2930193126769236,0.0,0.3783306295371851,0.0,0.08332182321679804,0.0,0.7412858568641424,0.0,0.9572431048884712,0.0,0.9991926804787538,0.0,0.3889872513188371,0.0,0.007742525428589093,0.0,0.14567571782233935,0.0,0.7330009500904747,0.0,0.4946148256706525,0.0,0.6755784038398567,0.0,0.8881254694974041,0.0,0.4335101265898015,0.0,0.4788225969432443,1.0,0.9945774436834248,0.0,0.0002687744762336777,0.0,0.8988634541162466,0.0,0.1578642099720945,0.0,0.7628358189868811,0.0,0.9958153926410721,0.0,0.9986605986218112,0.0,0.6070852325085276,0.0,0.8670865345809597,0.0,0.16157369231711943,0.0,0.30060392267740477,0.0,0.13674130863873596,0.0,0.43347600697395094,0.0,0.5143824174178258,0.0,0.0005416245497341525,0.0,0.834711355203952,0.0,0.9242681206571602,0.0,0.9515566952488117,0.0,0.9872166275458394,0.0,0.13578566774127948,0.0,0.11925205160451363,0.0,0.002235488119485209,0.0,0.6811424097545642,0.0,6.86740837980621e-07,0.0,0.17770190415367715,0.0,0.34504848908709,0.0,0.6294090621990682,0.0,0.6916740372437375,0.0,0.053435273474531926,0.0,0.02452976256485067
CPI_sqd,300,3.78116512298584,-0.40739471789182824,0.0,1.0,0.0,1.2770367954087558e-53,0.0,0.9999189928707212,0.0,0.9999999999999978,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.842017567536145e-51,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.15811957175735714,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0367596711701216e-05,0.0,0.0,1.0,1.0,0.0,1.3070934256833664e-283,0.0,0.9999979421546376,0.0,8.594247915232486e-53,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.125218812035877e-97,0.0,3.1151533409789867e-112,0.0,1.0,0.0,0.0,0.0,0.9596534107895403,0.0,5.753870763533962e-41,0.0,1.0,0.0,1.0,0.0,0.27614996066849995,0.0,7.187706295076252e-253,0.0,0.0,0.0,3.162785777747557e-42,0.0,1.0,0.0,2.296668993192261e-133,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
S-CPI,300,3.7680513858795166,-0.40739471789182824,0.0,0.9582275756157114,0.0,0.9002424598603924,0.0,0.5818335675613093,0.0,0.6471858602779319,0.0,0.4755460421186018,0.0,0.9455249897701551,0.0,0.9781639243111789,0.0,0.6811262710085368,0.0,0.08454068370853884,0.0,0.9780194450286372,0.0,0.971499737815849,0.0,0.5291761693176222,0.0,0.7949940737318264,0.0,0.8150151301349843,0.0,0.8876780549138046,0.0,0.7380626258273172,0.0,0.9190981682655717,0.0,0.9547023425511951,0.0,0.5833709466409761,0.0,0.2023487814038626,1.0,0.5606027697070387,0.0,0.2076551158390751,0.0,0.8783968519320289,0.0,0.6527636936378937,0.0,0.4406314745857073,0.0,0.8196113947444035,0.0,0.8441414642735412,0.0,0.7287221083927051,0.0,0.6496079474265165,0.0,0.8153708685400857,0.0,0.3980639759305385,0.0,0.19643653861960952,0.0,0.2400797162064207,0.0,0.9089227511547588,0.0,0.09158974602509662,0.0,0.6946605181851235,0.0,0.8520094608210412,0.0,0.8658248592781886,0.0,0.9629803385433531,0.0,0.8385923913346092,0.0,0.33101338758140364,0.0,0.26610870620904836,0.0,0.8286364182439614,0.0,0.7294615775344097,0.0,0.3113644139443136,0.0,0.4790348593032058,0.0,0.8818456316424497,0.0,0.9525315073265034,0.0,0.0835805632288098,0.0,0.2982626217377403
S-CPI_sqrt,300,3.7807631492614746,-0.40739471789182824,0.0,0.6069066916365315,0.0,0.5734320814792311,0.0,0.49748336550200767,0.0,0.532279104528323,0.0,0.5043908060920845,0.0,0.604910032967276,0.0,0.6418380087433968,0.0,0.5289485972634851,0.0,0.48757799585505696,0.0,0.6763730043185537,0.0,0.6769869350285047,0.0,0.537354288254158,0.0,0.5368391095145578,0.0,0.533828801604841,0.0,0.5572276043612724,0.0,0.5360753787922834,0.0,0.5335637328201911,0.0,0.5508659420061875,0.0,0.5134903221562422,0.0,0.44056675978503484,1.0,0.5575184870760912,0.0,0.449981566258699,0.0,0.5506675208179511,0.0,0.4991730012749012,0.0,0.45496582606522956,0.0,0.5481182541125146,0.0,0.6456731933280919,0.0,0.5479263639161257,0.0,0.5045010617103887,0.0,0.630288802886276,0.0,0.4825765091645181,0.0,0.4166594355312284,0.0,0.46630978497244874,0.0,0.5835827170667303,0.0,0.4217117151365175,0.0,0.5269848046954049,0.0,0.5770552623848272,0.0,0.5346459021277568,0.0,0.6577681406941869,0.0,0.529419437999566,0.0,0.491166061127557,0.0,0.49441937522781054,0.0,0.5411785026925762,0.0,0.5436522346763919,0.0,0.5292029782720721,0.0,0.5383883858944651,0.0,0.6401129718365813,0.0,0.6129786999366255,0.0,0.46837544309249596,0.0,0.4568223688118491
S-CPI_n,300,3.768878221511841,-0.40739471789182824,0.0,0.7874427272169231,0.0,0.6225518973564359,0.0,0.34266817843408326,0.0,0.6577445251725746,0.0,0.517912138432416,0.0,0.9025427008533446,0.0,0.8927315875272428,0.0,0.6511501412295834,0.0,0.32450182209732464,0.0,0.9302873722887292,0.0,0.9409403267882825,0.0,0.6088763516603212,0.0,0.6573963541253495,0.0,0.6161746241282433,0.0,0.576293109657416,0.0,0.6692174931159158,0.0,0.7827454571975035,0.0,0.652404869252611,0.0,0.5949228557396837,0.0,0.39798028454607315,1.0,0.6788361184478888,0.0,0.3488301002686197,0.0,0.8068167278690732,0.0,0.6391490975054364,0.0,0.4229553911139265,0.0,0.6085165307147897,0.0,0.8784415034166176,0.0,0.6219135550124208,0.0,0.6470729595703657,0.0,0.7931055668814853,0.0,0.5272148446144549,0.0,0.24344130190580732,0.0,0.41930769319259753,0.0,0.8059946867094108,0.0,0.24750329107833613,0.0,0.5331353286444314,0.0,0.8489500030993318,0.0,0.7213997406429248,0.0,0.9031395924657635,0.0,0.7116623642589096,0.0,0.46249416002407256,0.0,0.20658885627010115,0.0,0.5061760651247843,0.0,0.6714009882113384,0.0,0.37842232801028974,0.0,0.5783373660439793,0.0,0.755523244811524,0.0,0.8321041326273525,0.0,0.28573010007139693,0.0,0.34140614966171623
S-CPI_bt,300,3.9532573223114014,-0.40739471789182824,0.0,0.9969357678443476,0.0,0.6793761302835166,0.0,0.7265371225631545,0.0,0.9863827669610342,0.0,0.5567081668915849,0.0,0.9995748408211184,0.0,0.998127614222097,0.0,0.9519104297563169,0.0,0.19537498043096602,0.0,0.999999994500334,0.0,0.9999923176852648,0.0,0.8716818067671277,0.0,0.7025747667954739,0.0,0.7021821720226228,0.0,0.9636002272069129,0.0,0.728565248618779,0.0,0.8879935421732978,0.0,0.7809430190010476,0.0,0.6432174767732396,0.0,0.06682381509530741,1.0,0.9020978053151871,0.0,0.06329836088013818,0.0,0.7232666608468139,0.0,0.8354011332308953,0.0,0.33993141886467404,0.0,0.8414122216690408,0.0,0.9992914629800328,0.0,0.7811567335436331,0.0,0.7789937913844736,0.0,0.7681423962747709,0.0,0.27304097779973163,0.0,0.028368684834930973,0.0,0.5547016345321507,0.0,0.9104192018492242,0.0,0.03272048225379642,0.0,0.8583528958404393,0.0,0.9506755188461948,0.0,0.8992444784961953,0.0,0.9990958223637564,0.0,0.9986364106552458,0.0,0.09054645327534688,0.0,0.12000573398881437,0.0,0.9802336403529677,0.0,0.9679611654873564,0.0,0.3065362437843817,0.0,0.6047538942541371,0.0,0.9995822321565287,0.0,0.9986636723530959,0.0,0.07086402997561995,0.0,0.06723627883931234
