method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,847.8774561882019,0.3900175156873864,1.0,0.027222239074024213,0.0,0.0,0.0,0.0,0.0,0.9999995993380121,0.0,3.980149543281186e-13,0.0,0.0,0.0,5.082630982755632e-10,0.0,6.273407349155491e-10,0.0,0.0,1.0,0.974613893448452,0.0,0.9999999998824589,1.0,0.07140891155708562,0.0,1.0,1.0,0.0,1.0,0.9999999999999996,0.0,6.795701184447722e-06,0.0,1.0,0.0,0.999999999999919,0.0,1.6431906968428223e-07,0.0,1.0,1.0,1.0,0.0,0.0013968178372201212,0.0,0.026101974844649156,0.0,2.0505819264826641e-13,1.0,0.6824517798700859,0.0,1.0,0.0,0.979960888752854,0.0,1.5543122344752192e-15,0.0,0.9999999999872932,0.0,4.184596780199001e-09,0.0,1.0,0.0,0.997221976267821,0.0,4.73232564246473e-12,0.0,0.0,0.0,0.9994620080616186,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.816090025729693e-09,0.0,0.9873859838126305,1.0,0.9999999990318866,0.0,0.9961304090063027,1.0,0.9999998608248879,1.0,1.0,0.0,0.0006935716421696547,0.0,0.980774072865503,0.0,1.0,0.0,0.9999999524211091,0.0,1.0
CPI,300,16.215991258621216,0.3900175156873864,1.0,0.00017480923846612572,0.0,0.8703187021822403,0.0,0.3802384677623161,0.0,0.797347652391943,0.0,0.6742559714425382,0.0,0.7041905669010147,0.0,0.6274376053716542,0.0,0.9012992222388636,0.0,0.4810123995344072,1.0,0.07724586914674736,0.0,0.6681884528116704,1.0,0.35312925496172354,0.0,0.06664502942939733,1.0,0.3456879991737181,1.0,0.09548223382561638,0.0,0.4336270338201672,0.0,0.7847804365736796,0.0,0.7172179187307715,0.0,0.8765632816248589,0.0,0.08859240682221942,1.0,0.10139430270576805,0.0,0.8064834854853857,0.0,0.7429994633144184,0.0,0.4127561833403637,1.0,0.21095118140317914,0.0,0.1024664354046762,0.0,0.6313830177614144,0.0,0.37602447569945024,0.0,0.10820332259723897,0.0,0.17235484807638402,0.0,0.10444148796958236,0.0,0.8488208879847245,0.0,0.2624923502073365,0.0,0.2831284002674548,0.0,0.634252515427914,0.0,0.7431618197999568,1.0,0.02249698780026946,0.0,0.6260767918460598,1.0,0.005692076894666743,0.0,0.46652222091072315,0.0,0.422929149502049,1.0,0.023348799539221202,0.0,0.558886842845688,1.0,0.2640936415340257,1.0,0.042769265710945886,0.0,0.14257394124854267,0.0,0.51429348058939,0.0,0.8451905901863106,0.0,0.771006647142795,0.0,0.903971919734976
CPI_sqrt,300,16.23112916946411,0.3900175156873864,1.0,0.1120099178720319,0.0,0.5192840513421751,0.0,0.5609164369492131,0.0,0.5078525478366464,0.0,0.506716970859574,0.0,0.5223925742540497,0.0,0.4994524080941913,0.0,0.5526100599952941,0.0,0.4899365585036465,1.0,0.33280802654972674,0.0,0.5164011527399925,1.0,0.4655195951446996,0.0,0.38903361045901014,1.0,0.39344544842432827,1.0,0.2444461813301108,0.0,0.5630476831508933,0.0,0.5083666259465005,0.0,0.5059828501636107,0.0,0.49016359671514514,0.0,0.3665996247860513,1.0,0.5551362708828433,0.0,0.508618416942445,0.0,0.5357521989670643,0.0,0.4706960203984652,1.0,0.30888170063998344,0.0,0.44996062858258523,0.0,0.5016770623227025,0.0,0.49059705431314177,0.0,0.5774111132528099,0.0,0.5076782665196634,0.0,0.38282776777203154,0.0,0.48427936520342546,0.0,0.5677072726310155,0.0,0.4837722634168885,0.0,0.5533488749383393,0.0,0.5389121126165347,1.0,0.358271801501228,0.0,0.4738138316312002,1.0,0.2864967640715671,0.0,0.30821377477203316,0.0,0.49289010475405637,1.0,0.3004666786113942,0.0,0.4619474630543571,1.0,0.4160007279000641,1.0,0.4127420072664135,0.0,0.48881157900903804,0.0,0.3110276649808475,0.0,0.5701101030317559,0.0,0.5054299368547045,0.0,0.47047351190610737
CPI_n,300,16.23007822036743,0.3900175156873864,1.0,0.000805944634849345,0.0,0.5899816145640733,0.0,0.48794974820495335,0.0,0.5819298290906915,0.0,0.4748707926000191,0.0,0.5760615603814575,0.0,0.5216651371687046,0.0,0.5795253134464601,0.0,0.4007591989688538,1.0,0.042204738234617685,0.0,0.5462439952849913,1.0,0.8175474198909548,0.0,0.19602416926376376,1.0,0.13014354907676368,1.0,0.004101388164844554,0.0,0.7487211193224796,0.0,0.6035087850896881,0.0,0.8405351607917854,0.0,0.44920634377090624,0.0,0.10956530757688515,1.0,0.2578654918324903,0.0,0.5318684870773689,0.0,0.6504385482047119,0.0,0.1718320654887458,1.0,0.4296379185977138,0.0,0.22956481432443254,0.0,0.4432280744114925,0.0,0.5813566093486512,0.0,0.38548478576328615,0.0,0.367696271930244,0.0,0.4190529121979023,0.0,0.6157328211470224,0.0,0.8415534427223148,0.0,0.2989595694021021,0.0,0.7500366305699413,0.0,0.6681987379411092,1.0,0.14299108951640077,0.0,0.35313218595503315,1.0,0.14328811458261742,0.0,0.4812181794926594,0.0,0.6600239113352921,1.0,0.14166146400945334,0.0,0.37798099623421355,1.0,0.33548367732054785,1.0,0.10191665756825008,0.0,0.5387202746341593,0.0,0.14376585553883148,0.0,0.8031682750872498,0.0,0.47970217109075014,0.0,0.41359797570925305
CPI_bt,300,16.38752794265747,0.3900175156873864,1.0,2.702173373082361e-17,0.0,0.7719516968568663,0.0,0.9003038896552754,0.0,0.5833500832946424,0.0,0.5480433046395297,0.0,0.935870581986701,0.0,0.528797835571621,0.0,0.8253704100466321,0.0,0.42335923647695645,1.0,6.921230289739011e-09,0.0,0.5369964128133493,1.0,0.9031228733009369,0.0,0.09584459739399592,1.0,0.04479126733256528,1.0,1.1388326770051686e-12,0.0,0.7175811751825232,0.0,0.6991411122872154,0.0,0.7682289083971143,0.0,0.3915768061328298,0.0,0.0009584611795809001,1.0,0.0010254789645438107,0.0,0.34217201422673116,0.0,0.7801936360083248,0.0,0.008940833998663005,1.0,0.9662000076652326,0.0,0.08830303987747506,0.0,0.45207364565914954,0.0,0.6631323597039039,0.0,0.25063210201026614,0.0,0.4439058546648501,0.0,0.16695378777561604,0.0,0.7110526286417584,0.0,0.9605432631738555,0.0,0.3266880774054238,0.0,0.5736586197295787,0.0,0.855755724189387,1.0,0.001109873108766477,0.0,0.4609821207638199,1.0,0.001382850418126029,0.0,0.0350769441030769,0.0,0.7733134972815345,1.0,4.315175101843563e-10,0.0,0.4122618259852601,1.0,9.256854007231634e-06,1.0,0.017092741606694287,0.0,0.5282414708159127,0.0,0.00021661776226173274,0.0,0.984949325805271,0.0,0.5274570111222501,0.0,0.8144273459802842
CPI_sqd,300,16.39250946044922,0.3900175156873864,1.0,1.7506633341171702e-95,0.0,1.0,0.0,1.4109258235130064e-06,0.0,5.935225769802566e-18,0.0,1.0,0.0,2.145390706942476e-12,0.0,7.878423456987798e-95,0.0,1.0,0.0,0.9999999991425349,1.0,1.3585971262100152e-06,0.0,0.9999999871173068,1.0,0.0005562818806497188,0.0,6.417944539997024e-163,1.0,9.11986481217834e-28,1.0,3.08692215034853e-93,0.0,4.182648841424373e-06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.967532122771737e-102,0.0,9.736872164114492e-76,0.0,1.0,0.0,6.83030317653959e-76,1.0,0.14834281965178997,0.0,3.0623285629440965e-183,0.0,1.0,0.0,4.6256784783982456e-31,0.0,1.0,0.0,1.6382175753389086e-06,0.0,0.0,0.0,1.0,0.0,2.036029422767311e-14,0.0,3.1570452978903805e-72,0.0,1.4561806249393366e-22,0.0,0.07867947815702397,1.0,1.707811132794746e-42,0.0,4.465344130409555e-190,1.0,1.2348703726637159e-123,0.0,0.2552781744660554,0.0,6.089192565766733e-279,1.0,1.94158967928622e-159,0.0,0.7899684520391863,1.0,2.0369654763629053e-172,1.0,0.0,0.0,4.925061995474401e-15,0.0,0.07022899012856876,0.0,1.0,0.0,0.9998617660025931,0.0,1.0
S-CPI,300,28.6234233379364,0.3900175156873864,1.0,0.0005370869747132159,0.0,0.48080658991637226,0.0,0.575619193217681,0.0,0.9353883481677001,0.0,0.8940979383517922,0.0,0.8334355928221577,0.0,0.583631627037886,0.0,0.8919964976140933,0.0,0.6450697975530408,1.0,0.3519819594800907,0.0,0.6742609785994992,1.0,0.6263711028330231,0.0,0.0954666889062123,1.0,0.11823280347285708,1.0,0.024554207211299636,0.0,0.9652148245862522,0.0,0.856078595910031,0.0,0.9654626021219817,0.0,0.483411458512046,0.0,0.027231370957455186,1.0,0.136549792297051,0.0,0.10757133557572873,0.0,0.8399602820629428,0.0,0.016108611736370602,1.0,0.315060541537884,0.0,0.020736369849902046,0.0,0.46334196595516675,0.0,0.7684655011442074,0.0,0.8743970381102497,0.0,0.8171120584010074,0.0,0.029327496863470463,0.0,0.536734230055773,0.0,0.6453114892569658,0.0,0.24953723734160072,0.0,0.8514382509274979,0.0,0.8449552600455101,1.0,0.18796907397144674,0.0,0.3690416036238979,1.0,0.0004337505767086328,0.0,0.9134841305503019,0.0,0.40587343769934564,1.0,0.016375721982464692,0.0,0.42285804705221275,1.0,0.05395215172496605,1.0,0.004617592824010887,0.0,0.6445546126481281,0.0,0.1077797262001926,0.0,0.926142857409789,0.0,0.7291811422702479,0.0,0.5825736062201892
S-CPI_sqrt,300,28.629769563674927,0.3900175156873864,1.0,0.0878637383362591,0.0,0.505294881083567,0.0,0.5216773261236466,0.0,0.5151162136895049,0.0,0.5104374465551963,0.0,0.5402896219211805,0.0,0.5075141729982706,0.0,0.542753151516092,0.0,0.49009693739522475,1.0,0.5385176226422114,0.0,0.5097773225886923,1.0,0.5435180450815716,0.0,0.3802109047332979,1.0,0.42423078833760663,1.0,0.15779340941145403,0.0,0.535012828522044,0.0,0.5090041459476896,0.0,0.5693041755577122,0.0,0.48966883380590187,0.0,0.36168670243749523,1.0,0.3366568623541665,0.0,0.48048107021089925,0.0,0.5524568159978798,0.0,0.42024562353883443,1.0,0.4072486441167156,0.0,0.42522470210106317,0.0,0.4995821290813224,0.0,0.511720125175758,0.0,0.5245395533450433,0.0,0.5377866282208373,0.0,0.40035526268611393,0.0,0.5132522523605874,0.0,0.5537667244224458,0.0,0.4735987515415916,0.0,0.5673845476024467,0.0,0.5761702327368448,1.0,0.34078304036595863,0.0,0.47933295472091936,1.0,0.24874965674058108,0.0,0.7490063500489741,0.0,0.5078534249010892,1.0,0.2392244772591312,0.0,0.513107938954758,1.0,0.22223588587946075,1.0,0.3946172028133193,0.0,0.48309513508022717,0.0,0.4080373526495462,0.0,0.6161795305412703,0.0,0.5098888769709845,0.0,0.5526440413496132
S-CPI_n,300,28.632659912109375,0.3900175156873864,1.0,0.0005764154321849017,0.0,0.5517030462299449,0.0,0.6012907790663993,0.0,0.6152893207377828,0.0,0.5724685686198709,0.0,0.6422028415448898,0.0,0.48006403873673725,0.0,0.7520577462055603,0.0,0.6637716841010586,1.0,0.3258012297506131,0.0,0.6122864983258766,1.0,0.520708330442421,0.0,0.1641720692109485,1.0,0.2910755794134362,1.0,0.017265454139365942,0.0,0.6849375139909109,0.0,0.589867381667547,0.0,0.8116040156328416,0.0,0.535108877004321,0.0,0.1699589711577575,1.0,0.29188407911346026,0.0,0.41312815222745874,0.0,0.7445542202778461,0.0,0.2806313436397915,1.0,0.25132710107515177,0.0,0.14523784270160017,0.0,0.502167346183981,0.0,0.5937216311571113,0.0,0.6384812865476185,0.0,0.6426958492488606,0.0,0.09555307983949934,0.0,0.5326409347920562,0.0,0.7134789107301293,0.0,0.37543493048746474,0.0,0.7824361525934413,0.0,0.6629295320733717,1.0,0.21676304014624637,0.0,0.513911515384982,1.0,0.007439654378417871,0.0,0.9376742225942034,0.0,0.5328829975744952,1.0,0.07235762306578072,0.0,0.5674942517405543,1.0,0.05068856964472017,1.0,0.06858047637792485,0.0,0.37761585569560874,0.0,0.29161326926098385,0.0,0.9102208571262009,0.0,0.5681984816733812,0.0,0.6341663750555024
S-CPI_bt,300,28.807865619659424,0.3900175156873864,1.0,2.0848028348404602e-22,0.0,0.5702897817980508,0.0,0.820880066533493,0.0,0.574584470385182,0.0,0.5575398104180838,0.0,0.9787704954781199,0.0,0.6027015097747703,0.0,0.922564084779643,0.0,0.7425972720871823,1.0,0.0142326184508675,0.0,0.5976602520311783,1.0,0.639648121287085,0.0,0.0003826310918940575,1.0,0.00015777169771209965,1.0,1.8972870181019445e-15,0.0,0.9150503244403285,0.0,0.6932751018954377,0.0,0.966990337180891,0.0,0.4809291874157433,0.0,0.0015662833136317429,1.0,0.003194562127650183,0.0,0.37500519636390905,0.0,0.8087142246088553,0.0,0.043066224827051636,1.0,0.17963917305229465,0.0,0.015706903632246843,0.0,0.4388670653062494,0.0,0.48011230108290065,0.0,0.9622330919272111,0.0,0.8293488056211767,0.0,0.001964041039945283,0.0,0.7779425334420882,0.0,0.968931595816187,0.0,0.4113830406184852,0.0,0.9707457208201455,0.0,0.7449789116149147,1.0,0.0006360663157044431,0.0,0.22323631787882847,1.0,4.2584836740462725e-13,0.0,0.9981714904468965,0.0,0.6882369936946289,1.0,4.474812940384005e-07,0.0,0.4326341976686276,1.0,5.027175572188141e-09,1.0,0.0010956143457449567,0.0,0.734200199350431,0.0,0.2932283862410331,0.0,0.9809153818686663,0.0,0.5867937947092415,0.0,0.7016313902754132
