method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,78.02518510818481,-0.9962982019578368,0.0,0.0007468904277666555,0.0,0.9339160111023229,0.0,0.6116841994443554,0.0,0.8421163137803074,1.0,0.11071965613085288,0.0,0.14423869227507558,0.0,0.8596159743015155,1.0,0.28733159113271,1.0,0.8424972665637722,0.0,0.08527588066110403,0.0,0.23394644265355158,0.0,0.01963090242967791,0.0,0.6553181910075975,0.0,0.8829839739042782,1.0,0.9931445935808816,0.0,0.041616113737482086,0.0,0.06665543856194722,0.0,0.06208433376707401,0.0,0.9548140777155385,0.0,0.06274042032335703,0.0,0.5180003135823925,0.0,0.04664506816703351,0.0,0.9880283396013382,0.0,0.9999999874365736,1.0,0.5306819496464115,0.0,3.82176972613113e-06,1.0,9.174853099480629e-10,0.0,0.6323427636654375,0.0,0.4254447237153083,0.0,0.06455506302164837,1.0,0.1847173308206298,0.0,0.8649516181803423,0.0,0.9407766380525725,1.0,0.9811894579543284,1.0,0.25812438390200076,0.0,0.112241841581731,0.0,0.3005391186122437,0.0,0.26248167868637395,0.0,0.5756143538482361,0.0,0.9934621656585005,0.0,0.26684181437114896,0.0,0.6917710524984578,0.0,0.8873914188615702,1.0,0.8044301811241787,0.0,0.43778867956385725,0.0,0.17222748356141593,1.0,0.38231527839154944,0.0,0.800856789890477,1.0,0.986312480104785,0.0,0.987680224312527
CPI,300,4.278936147689819,-0.9962982019578368,0.0,0.032935369954282416,0.0,0.36976563662793327,0.0,0.4955739426215744,0.0,0.1602777810730982,1.0,0.37407216418039724,0.0,0.6252138844437,0.0,0.6454268671417933,1.0,0.8664048689670791,1.0,0.9484941357401323,0.0,0.495702946482845,0.0,0.09992462184964052,0.0,0.1067065058163632,0.0,0.8788198846675239,0.0,0.5620156579263126,1.0,0.9128174719467901,0.0,0.1979124174814414,0.0,0.6910090580084146,0.0,0.941466426699231,0.0,0.8584087442388433,0.0,0.7479823862782855,0.0,0.7068623494365418,0.0,0.13492411088207223,0.0,0.7604665003714071,0.0,0.14873133632083613,1.0,0.3756943649436423,0.0,0.8489546548640212,1.0,0.07929676668735147,0.0,0.20454455344608508,0.0,0.9468857855104994,0.0,0.14832841275022945,1.0,0.18674995177840154,0.0,0.8959796438657712,0.0,0.24055297081881383,1.0,0.34875073298290266,1.0,0.3438501162480532,0.0,0.07511592206180438,0.0,0.20514741879004106,0.0,0.14711431695713745,0.0,0.2520206033048741,0.0,0.17498364845067443,0.0,0.130656184489378,0.0,0.13677258164072348,0.0,0.9535990308571378,1.0,0.9482088509798662,0.0,0.1867677684398189,0.0,0.2607636625127028,1.0,0.15007356013836065,0.0,0.2521899068028449,1.0,0.12191490144667172,0.0,0.3988498938153371
CPI_sqrt,300,4.260233402252197,-0.9962982019578368,0.0,0.4629604577038084,0.0,0.509435840645685,0.0,0.4993607038205126,0.0,0.45200736459033647,1.0,0.4758612794384113,0.0,0.49529765946520316,0.0,0.4621924561787496,1.0,0.524962696590732,1.0,0.495575736471796,0.0,0.49905047889706033,0.0,0.5616765244593285,0.0,0.497807937328731,0.0,0.558887906126628,0.0,0.6073163085486566,1.0,0.5633772851523231,0.0,0.5112949598656484,0.0,0.5129911115438628,0.0,0.501746993510719,0.0,0.5234878675733787,0.0,0.5024324069202045,0.0,0.5275344070408495,0.0,0.4513956655102065,0.0,0.4057002421218128,0.0,0.4897040252072904,1.0,0.48957285323928257,0.0,0.5210920365405272,1.0,0.486930917536163,0.0,0.507284005141105,0.0,0.511076157356688,0.0,0.49808009253825275,1.0,0.5163869951680858,0.0,0.6766267157751902,0.0,0.4957661043223051,1.0,0.47571390258308555,1.0,0.5345657555828456,0.0,0.3819826662624227,0.0,0.4830621528369057,0.0,0.4954645435734883,0.0,0.4904396973118151,0.0,0.45305792038803516,0.0,0.4823067560531566,0.0,0.4895887577529391,0.0,0.531605984200952,1.0,0.5322578690818238,0.0,0.532593405801771,0.0,0.49886431073502013,1.0,0.25245462544357267,0.0,0.5039367657243109,1.0,0.4745021047623288,0.0,0.48226955963136525
CPI_n,300,4.259581089019775,-0.9962982019578368,0.0,0.14596989235221391,0.0,0.4157127161255204,0.0,0.48165091961098355,0.0,0.2759973682865624,1.0,0.37263454663422285,0.0,0.43279322124792696,0.0,0.38231962139232556,1.0,0.6769946388806249,1.0,0.2507000136440031,0.0,0.6559678486167244,0.0,0.6491214785281186,0.0,0.3742521201042458,0.0,0.6287596223415393,0.0,0.6479775863153626,1.0,0.809586176533821,0.0,0.3749249945610954,0.0,0.6411948714075103,0.0,0.4881625934633267,0.0,0.43319917318838136,0.0,0.7319804305496418,0.0,0.1821767391596874,0.0,0.25222820216817254,0.0,0.4326193574256727,0.0,0.48930587255879604,1.0,0.7696911376032459,0.0,0.6798053190110463,1.0,0.3071762096417967,0.0,0.49022973509096424,0.0,0.5950522652898924,0.0,0.22132170030141457,1.0,0.5463938626648114,0.0,0.7962115259433579,0.0,0.487184521724902,1.0,0.5440913718816409,1.0,0.40142521282816257,0.0,0.15119599187490573,0.0,0.5622707425734607,0.0,0.4268771577166789,0.0,0.6243779735234376,0.0,0.6955337685946152,0.0,0.5555278977747625,0.0,0.385713797530709,0.0,0.7003516900884389,1.0,0.7735599495695953,0.0,0.4923973635494739,0.0,0.5792156327359446,1.0,0.1743007743178362,0.0,0.5304066293488351,1.0,0.3587865762744715,0.0,0.4887374497411053
CPI_bt,300,4.438663005828857,-0.9962982019578368,0.0,0.044832851529347045,0.0,0.5107759312612701,0.0,0.44804606489413595,0.0,0.11510376358767105,1.0,0.3762265877435149,0.0,0.6082442697432834,0.0,0.31696109494244884,1.0,0.7085995189820167,1.0,0.7616399312365627,0.0,0.41133145669516724,0.0,0.9542422281832889,0.0,0.5265918617038245,0.0,0.23494614955468512,0.0,0.9860473006040081,1.0,0.9265516323175603,0.0,0.2955517863060184,0.0,0.598174902231704,0.0,0.5342206001935834,0.0,0.7058125307270395,0.0,0.4494785598755314,0.0,0.028526880586565766,0.0,0.07134483584386926,0.0,0.7575938522037053,0.0,0.4642894319620256,1.0,0.9734385196276504,0.0,0.790566378658052,1.0,0.3902730166873601,0.0,0.5441830341189053,0.0,0.6708178302226508,0.0,0.3135201512428786,1.0,0.6425324654064379,0.0,0.9999251969297178,0.0,0.48027732518773475,1.0,0.5589786853558171,1.0,0.7482385515831256,0.0,0.07295593020254801,0.0,0.059900177747551686,0.0,0.8531657186893455,0.0,0.5398861637584007,0.0,0.0003583350483654649,0.0,0.4920149903291721,0.0,0.4018851490483345,0.0,0.5277629001758337,1.0,0.6070367700741409,0.0,0.5431818063048912,0.0,0.4863807917785361,1.0,0.0008597725754183502,0.0,0.5487174410716646,1.0,0.30673812762414,0.0,0.3835855833869778
CPI_sqd,300,4.433876037597656,-0.9962982019578368,0.0,0.0,0.0,0.5942040103292704,0.0,2.591009901980367e-08,0.0,5.1195182075512225e-55,1.0,1.0934978429914095e-23,0.0,5.6863083092405966e-36,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.065256465338806e-254,0.0,2.8584938848436896e-195,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.990207387424993,0.0,1.9765397287965423e-43,0.0,1.0,0.0,1.0,0.0,0.999999999999997,0.0,2.732304562045332e-106,0.0,7.171789825771318e-69,1.0,1.0,0.0,1.0,1.0,1.9390529114919973e-37,0.0,1.0,0.0,1.0,0.0,5.372430640821962e-14,1.0,0.9977904605417953,0.0,1.0,0.0,0.00038842795128287544,1.0,1.2439338425508206e-57,1.0,1.0,0.0,5.397564271847973e-238,0.0,3.0014407035100795e-292,0.0,1.1402016435917283e-35,0.0,0.42530563662817844,0.0,7.065480261076795e-07,0.0,1.0946429872460564e-121,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.20545755871771743,0.0,0.9999999672823607,1.0,6.785155451315042e-25,0.0,1.0,1.0,1.600448905395967e-111,0.0,0.7367198431834417
S-CPI,300,4.659067153930664,-0.9962982019578368,0.0,0.08331103654743743,0.0,0.8290569932189218,0.0,0.6992361211571049,0.0,0.1429140209375579,1.0,0.09407017746470264,0.0,0.6628636423380283,0.0,0.4422565999369803,1.0,0.8915105557840048,1.0,0.29609481262577586,0.0,0.8369756821036425,0.0,0.788729656097629,0.0,0.16229995226065203,0.0,0.8071617844424398,0.0,0.9034551326172587,1.0,0.9367039313764051,0.0,0.5607976789721096,0.0,0.905236308012431,0.0,0.6577190656260739,0.0,0.8637340748278318,0.0,0.6601839491363245,0.0,0.7476220071992892,0.0,0.08442339236355051,0.0,0.2537540573897709,0.0,0.09353002734130844,1.0,0.49837398768001645,0.0,0.809686947459287,1.0,0.1538651268605974,0.0,0.7661777556679937,0.0,0.9660218190015553,0.0,0.10020321210163213,1.0,0.8289724278138888,0.0,0.8750395780438621,0.0,0.1183590446612135,1.0,0.5925975636336203,1.0,0.8185874670068061,0.0,0.018283733647001442,0.0,0.09945444776815676,0.0,0.4239880525250914,0.0,0.5733452783012531,0.0,0.22473511545425973,0.0,0.8581789508489086,0.0,0.03680406987395207,0.0,0.9497287701252558,1.0,0.8995800667045782,0.0,0.7830858129652846,0.0,0.49661325892817454,1.0,0.8908202452217913,0.0,0.7468995419533779,1.0,0.2682251024882927,0.0,0.47431853231717824
S-CPI_sqrt,300,4.6601879596710205,-0.9962982019578368,0.0,0.4347007939942766,0.0,0.5261289212520205,0.0,0.505260916197325,0.0,0.4329722503720108,1.0,0.4792894755127263,0.0,0.503443188792504,0.0,0.4917329133506268,1.0,0.5258650313454013,1.0,0.45487014127830216,0.0,0.5158025975005583,0.0,0.5833468977511167,0.0,0.477907005458081,0.0,0.5778473756192714,0.0,0.5565733319996137,1.0,0.5893415438937017,0.0,0.5075275905443639,0.0,0.521623027815341,0.0,0.5040775324969107,0.0,0.5467243834998401,0.0,0.5072772753018421,0.0,0.5395069412441146,0.0,0.4552382811580184,0.0,0.45536286162818856,0.0,0.4551098890572961,1.0,0.5234011237880869,0.0,0.5387643057356393,1.0,0.48868782462836646,0.0,0.5161185663124381,0.0,0.5253550854519601,0.0,0.47360289488011864,1.0,0.5105533539338188,0.0,0.6942966366853801,0.0,0.47820820202726844,1.0,0.5166307024948372,1.0,0.5272372008231941,0.0,0.4061114735875769,0.0,0.43554940291308686,0.0,0.4843388278040843,0.0,0.49808968055878666,0.0,0.422585261680295,0.0,0.5837177343556266,0.0,0.4825304463887774,0.0,0.5345659297309667,1.0,0.5519307569985853,0.0,0.4909012032072084,0.0,0.48380916596869245,1.0,0.4987764237770838,0.0,0.5051880570525968,1.0,0.47056775190851846,0.0,0.5129138692657421
S-CPI_n,300,4.65896463394165,-0.9962982019578368,0.0,0.2023830597051745,0.0,0.6678749763066383,0.0,0.4006433940859957,0.0,0.3700430205068852,1.0,0.41632225384341837,0.0,0.5767291516501358,0.0,0.618537305652064,1.0,0.6267410016301086,1.0,0.42541717869032153,0.0,0.5934348564326469,0.0,0.6842546254027653,0.0,0.3651318523434186,0.0,0.8404332713726541,0.0,0.8179717702065683,1.0,0.8404127374431779,0.0,0.514306977412541,0.0,0.6089705942295319,0.0,0.5327266455423043,0.0,0.744621254017806,0.0,0.5854142408056558,0.0,0.5845237006760857,0.0,0.28482052641406935,0.0,0.5040475444618994,0.0,0.2637006942681358,1.0,0.4414353760883312,0.0,0.7019181639858284,1.0,0.3868593154461253,0.0,0.5922033142248496,0.0,0.6140017398078672,0.0,0.25833182901776036,1.0,0.7051805480792814,0.0,0.8217033502289497,0.0,0.4304476193776752,1.0,0.5912112516305457,1.0,0.6794171852139537,0.0,0.12703024357349524,0.0,0.29448832937466485,0.0,0.44904629036732174,0.0,0.49840988324771657,0.0,0.2893991652197655,0.0,0.7726955909607958,0.0,0.3886764084456793,0.0,0.7229718020034848,1.0,0.821638814654772,0.0,0.5281257986317427,0.0,0.4118044634507856,1.0,0.4146460084018254,0.0,0.5693943998896117,1.0,0.3716876253071282,0.0,0.44338901813795484
S-CPI_bt,300,4.837129592895508,-0.9962982019578368,0.0,0.11025333097758838,0.0,0.7688043361065324,0.0,0.4013897121686565,0.0,0.05985569193172262,1.0,0.39178742975499786,0.0,0.43518467629816526,0.0,0.5760400305389951,1.0,0.7918569452013904,1.0,0.31226601954194144,0.0,0.7082035796767695,0.0,0.979719935605266,0.0,0.38303975314078154,0.0,0.9419449040288487,0.0,0.9801767732475362,1.0,0.9975463229899717,0.0,0.5972350995809113,0.0,0.6188033681608109,0.0,0.5203418984098052,0.0,0.752949757666824,0.0,0.7641272676052001,0.0,0.8242889353057066,0.0,0.08370830030364285,0.0,0.08421075936729672,0.0,0.06260136747647688,1.0,0.09655014269139506,0.0,0.9181803634627399,1.0,0.21924081009698515,0.0,0.6385108216722194,0.0,0.7288999534966882,0.0,0.06645392171587776,1.0,0.7352704222106707,0.0,0.9999536685385024,0.0,0.37453006004701805,1.0,0.6617605658826359,1.0,0.7353926669960287,0.0,0.00360396477643046,0.0,0.001843840755966873,0.0,0.26676112880042546,0.0,0.48466645543008613,0.0,0.021635484206815887,0.0,0.9697679204564088,0.0,0.39601428190293,0.0,0.6539673992343435,1.0,0.7912409843731104,0.0,0.31572269348134685,0.0,0.1842156397815795,1.0,0.017192113005178936,0.0,0.5701898050342635,1.0,0.3449189112100953,0.0,0.6027539626830111
