method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,39.42835283279419,-0.48183865232103207,0.0,0.2673479929304903,0.0,0.6514250028012417,0.0,0.25616734193456836,1.0,0.15366381877304214,0.0,0.7187249016243438,0.0,0.475104044604549,0.0,0.5404984035161403,0.0,0.2861139893356448,0.0,0.8378295005389853,0.0,0.5616869946195295,0.0,0.3394228401789835,0.0,0.6158923197956983,0.0,0.6317219085228907,0.0,0.7477624438183069,0.0,0.15946128786773595,0.0,0.22644123198734878,0.0,0.713526389260361,0.0,0.8298240495404751,0.0,0.4054155637657517,0.0,0.3993389542043546,0.0,0.7744213782693941,0.0,0.40414526051758304,0.0,0.8402330938619238,0.0,0.40202327295651785,0.0,0.2153071304449714,0.0,0.39798400136263,0.0,0.46685404217650284,0.0,0.596883849570912,0.0,0.4058334205163786,0.0,0.5766276211032648,0.0,0.33036563037466626,0.0,0.3211638864875077,0.0,0.41335378252008936,0.0,0.13231466337334208,0.0,0.52327292091449,0.0,0.6383087695512979,0.0,0.374873052679474,0.0,0.2517198477683773,0.0,0.42015630138170035,0.0,0.32211758740775953,0.0,0.13591576075449274,0.0,0.07752770475475124,0.0,0.1885684166771786,0.0,0.743974056261428,0.0,0.81862469625932,0.0,0.7343548805757658,0.0,0.4108760324077012,0.0,0.2983487360126925,0.0,0.7045805398936485,0.0,0.6874906611554531
CPI,300,3.997195243835449,-0.48183865232103207,0.0,0.9061235584766874,0.0,0.3056372147031193,0.0,0.046830896098260626,1.0,0.08325379606571998,0.0,0.43948632764652334,0.0,0.16880946540968467,0.0,0.3440795115960663,0.0,0.06227919715015853,0.0,0.8203643355961316,0.0,0.22889530765568827,0.0,0.12688201847437808,0.0,0.19828035943520061,0.0,0.2211334563330839,0.0,0.2939340134585191,0.0,0.11013346160307569,0.0,0.3717388624795188,0.0,0.4445881738904724,0.0,0.11893304579332997,0.0,0.7484097351727245,0.0,0.3305972838794692,0.0,0.25163203886457297,0.0,0.22081631929113937,0.0,0.12464230793392661,0.0,0.5944290508690911,0.0,0.0564269033407898,0.0,0.937316886965153,0.0,0.7753373111701987,0.0,0.7306432750595105,0.0,0.24732127952717176,0.0,0.2744280508244714,0.0,0.12312046403801785,0.0,0.21115441891179793,0.0,0.008469529657759378,0.0,0.9423583990307783,0.0,0.31359208743653016,0.0,0.9776008887515242,0.0,0.1499837122737654,0.0,0.17849870235477833,0.0,0.5506065931987884,0.0,0.15549220719659568,0.0,0.14217855966647297,0.0,0.1193044066072328,0.0,0.1379366549238794,0.0,0.1729363400235906,0.0,0.7702996030584137,0.0,0.8862735862849843,0.0,0.4622417752553939,0.0,0.9472016764587563,0.0,0.2519723244092693,0.0,0.31862052843468486
CPI_sqrt,300,3.9913222789764404,-0.48183865232103207,0.0,0.42426974252876887,0.0,0.4332710613734214,0.0,0.21116522364377355,1.0,0.22691287322989467,0.0,0.4079027233332443,0.0,0.35470945703640827,0.0,0.47558860528447827,0.0,0.19807356924507857,0.0,0.5828590170634166,0.0,0.2613414291088951,0.0,0.4695815925300279,0.0,0.5719712896775474,0.0,0.22761861521571575,0.0,0.36232735777353703,0.0,0.21969686081659223,0.0,0.43019243121196576,0.0,0.4828519189084946,0.0,0.4423922724218079,0.0,0.6075146500058737,0.0,0.520429910450843,0.0,0.4648424281739937,0.0,0.3807697929915941,0.0,0.4460437910594035,0.0,0.4598342211518221,0.0,0.21407146890511736,0.0,0.6089811707906176,0.0,0.5390941068950024,0.0,0.6542855441620259,0.0,0.4207907715463278,0.0,0.43202345437858614,0.0,0.41924066212603917,0.0,0.5199686760900729,0.0,0.4236208383353808,0.0,0.6834506040346982,0.0,0.37058043017204656,0.0,0.6792689202567095,0.0,0.2742954506403763,0.0,0.35159001681628066,0.0,0.5361063426922058,0.0,0.4788100573896074,0.0,0.4003442539597514,0.0,0.27668604412863074,0.0,0.36961945597941903,0.0,0.36062733095666055,0.0,0.5351342736846916,0.0,0.7458423774155993,0.0,0.4530037516143395,0.0,0.5912322312850014,0.0,0.5723471170768892,0.0,0.4857302086768752
CPI_n,300,3.988208293914795,-0.48183865232103207,0.0,0.8076656116027539,0.0,0.5446646222990899,0.0,0.12016759652915848,1.0,0.1159236442030695,0.0,0.5124137368946947,0.0,0.3973758076806331,0.0,0.3956164512638276,0.0,0.07714406221024912,0.0,0.8882307539722125,0.0,0.2503962848583814,0.0,0.53434323654475,0.0,0.31377124481161806,0.0,0.21085905166932079,0.0,0.19809114600067806,0.0,0.060853081864323484,0.0,0.16078084598623338,0.0,0.39545783350296454,0.0,0.15139006683211792,0.0,0.6426793199047275,0.0,0.6175807321076143,0.0,0.25157218112544727,0.0,0.3869628233867321,0.0,0.2511970925200355,0.0,0.42951915807935853,0.0,0.12958274630398597,0.0,0.7885582540646701,0.0,0.6991633439271668,0.0,0.5012979208946842,0.0,0.19507797100200752,0.0,0.4315108481607568,0.0,0.19001745088495398,0.0,0.6660644004966269,0.0,0.17779780878432866,0.0,0.38158152972946685,0.0,0.3463792431462237,0.0,0.7734131622163651,0.0,0.24466890784287032,0.0,0.20385952173511357,0.0,0.32342077508597344,0.0,0.44952190772162204,0.0,0.22045999700544605,0.0,0.2591622155785971,0.0,0.16247138483313628,0.0,0.3398436694030785,0.0,0.6443684276274769,0.0,0.6935374775158525,0.0,0.3823794658467743,0.0,0.8225574386474244,0.0,0.42138875163800354,0.0,0.5564748591975108
CPI_bt,300,4.202820777893066,-0.48183865232103207,0.0,0.02159679519544296,0.0,0.039700826872553774,0.0,0.04837149710852666,1.0,0.028537248406050496,0.0,0.8036834468947176,0.0,0.00028121543562187367,0.0,0.0009802876854466862,0.0,0.0003310982463968006,0.0,0.9865139395388542,0.0,0.016993312708220753,0.0,0.0033677634414691292,0.0,0.09558447057458969,0.0,0.03504701005888771,0.0,0.11706676457350429,0.0,8.411840264748395e-05,0.0,0.5724312656405706,0.0,0.5944506605667995,0.0,0.06635221495242734,0.0,0.9189968341193941,0.0,0.3982338544358867,0.0,0.653774006482049,0.0,0.017299566626978354,0.0,0.19845288316830034,0.0,0.07767541094760645,0.0,0.0077037173830810735,0.0,0.9999708293999412,0.0,0.8001648648238043,0.0,0.7835522188424986,0.0,0.0026472902139736297,0.0,0.2906380014584806,0.0,0.05042999913395001,0.0,0.24842402810134395,0.0,0.2982887365154527,0.0,0.9997700099383547,0.0,0.006476046366484652,0.0,0.9999867154192599,0.0,0.0011632962913722732,0.0,0.02371170945593273,0.0,0.4550329961081373,0.0,0.9898536968085917,0.0,0.006700011545055373,0.0,0.15015801669881124,0.0,0.041435073169924085,0.0,0.03730905543028295,0.0,0.5013880559196997,0.0,0.8706352945121736,0.0,0.004920937497594375,0.0,0.851305394998081,0.0,0.2971658378637506,0.0,0.8054635360063206
CPI_sqd,300,4.157258987426758,-0.48183865232103207,0.0,0.9999999998589741,0.0,5.830545974366963e-08,0.0,6.552640048603117e-06,1.0,0.02898014291345571,0.0,1.5917715378561043e-05,0.0,1.1159908059292335e-06,0.0,5.788697495831551e-21,0.0,0.00017125538902713078,0.0,0.6847893101983923,0.0,1.3682209518886796e-06,0.0,1.1382029873753293e-25,0.0,1.588510074827782e-06,0.0,0.009962395239916894,0.0,0.11609641806437099,0.0,1.8322184549436307e-39,0.0,0.2697483972990262,0.0,0.5721911614409475,0.0,1.8985663615620641e-06,0.0,0.8145977609852645,0.0,0.9606782112331385,0.0,0.11614063421077936,0.0,0.053108111530488555,0.0,0.0024464821410551197,0.0,4.033517152389972e-11,0.0,1.3652898708202804e-05,0.0,1.0,0.0,0.9999999998182362,0.0,0.7999562310056785,0.0,0.3729792783919547,0.0,0.1210733338289266,0.0,4.808782880517557e-39,0.0,0.9999998181483263,0.0,4.778453484349218e-15,0.0,1.0,0.0,7.077099010890521e-80,0.0,1.0,0.0,5.597995686294089e-05,0.0,3.2382651707972294e-29,0.0,6.370111459624671e-09,0.0,1.0,0.0,0.011894566417931915,0.0,0.09489433833068484,0.0,0.0027274602164903765,0.0,3.210984418288122e-13,0.0,0.9828287176986641,0.0,0.9865447903809703,0.0,0.9995716178272139,0.0,1.0,0.0,0.9864532658575361,0.0,0.31658725445375213
S-CPI,300,4.146649360656738,-0.48183865232103207,0.0,0.8012601106048346,0.0,0.2363877913949463,0.0,0.08702882419694685,1.0,0.10087023799433131,0.0,0.426779473236386,0.0,0.30252106770414033,0.0,0.18110871247775567,0.0,0.06743749228573492,0.0,0.9329963103378153,0.0,0.2553775694988041,0.0,0.25329413773830517,0.0,0.3559927736201177,0.0,0.18739463860324684,0.0,0.22812103967103814,0.0,0.01241745120097057,0.0,0.27939551582964123,0.0,0.6374100543257861,0.0,0.39854596631925865,0.0,0.8028408424802909,0.0,0.6284155131292755,0.0,0.2742941264970161,0.0,0.2341160820844554,0.0,0.2574955282695847,0.0,0.2895801538098691,0.0,0.11927319603770337,0.0,0.9759275473329684,0.0,0.895403100452449,0.0,0.7996526553335532,0.0,0.3349488790417001,0.0,0.37475299673633,0.0,0.13333688909765523,0.0,0.7370664370193316,0.0,0.19281493479451578,0.0,0.9434960831309883,0.0,0.11401243682151962,0.0,0.9801480200995192,0.0,0.20890545641927066,0.0,0.12907944929825083,0.0,0.511244575005862,0.0,0.5406444858233557,0.0,0.35467269139213287,0.0,0.2176381950921163,0.0,0.13190339471124612,0.0,0.20861150442441134,0.0,0.6973287084220674,0.0,0.8395652278593895,0.0,0.28826969078349074,0.0,0.8885106574411592,0.0,0.488294223771086,0.0,0.630339104165819
S-CPI_sqrt,300,4.155243158340454,-0.48183865232103207,0.0,0.4628585454743388,0.0,0.3922275839943347,0.0,0.2048587302640149,1.0,0.205828427411896,0.0,0.4050942902820611,0.0,0.4004929250020788,0.0,0.38038229375366384,0.0,0.16976324243658059,0.0,0.6968106635099208,0.0,0.33549409119128226,0.0,0.40938476744106683,0.0,0.4239391050123294,0.0,0.2673726882054316,0.0,0.31782719015811883,0.0,0.2274491273927765,0.0,0.46874010877168526,0.0,0.5422080301980244,0.0,0.3907516348242424,0.0,0.7294771064792901,0.0,0.5696344891220563,0.0,0.4400311771356946,0.0,0.3755000414904207,0.0,0.41198892307928364,0.0,0.4622603051617865,0.0,0.19594106211167156,0.0,0.7583081104766197,0.0,0.548468729567037,0.0,0.6171677967067376,0.0,0.382538220701247,0.0,0.4644497653712653,0.0,0.34609470764166683,0.0,0.6394126447929818,0.0,0.39210415189776326,0.0,0.6734807211672934,0.0,0.43613305429811106,0.0,0.8285660807187883,0.0,0.2903172236429895,0.0,0.3273009517608467,0.0,0.44876882876327107,0.0,0.4428471026463284,0.0,0.3653660664882016,0.0,0.26309482102149173,0.0,0.26261320614452605,0.0,0.4111814453076883,0.0,0.6097723330263896,0.0,0.6703812570346672,0.0,0.454534406623918,0.0,0.6274008674303728,0.0,0.5280772054434879,0.0,0.5013621412615092
S-CPI_n,300,4.146986722946167,-0.48183865232103207,0.0,0.5350190935304119,0.0,0.30382588227210583,0.0,0.14312643476723136,1.0,0.1338143956263413,0.0,0.2513582878603664,0.0,0.23009962140676865,0.0,0.26238022189513677,0.0,0.07998722639820965,0.0,0.9067890533781032,0.0,0.22565411219012643,0.0,0.2676115809659353,0.0,0.3837924678915455,0.0,0.2598748108025977,0.0,0.2799918450769124,0.0,0.0287326732803314,0.0,0.45467442226599103,0.0,0.5856516584341406,0.0,0.3323304475732419,0.0,0.8170442006023431,0.0,0.6610870728018639,0.0,0.4130085180483241,0.0,0.3054387238254538,0.0,0.29788334494100355,0.0,0.43969673495005945,0.0,0.15400189475816045,0.0,0.9367355411231997,0.0,0.7426182063227359,0.0,0.8276556405266219,0.0,0.2139300784742581,0.0,0.3275546309683151,0.0,0.21581148537209893,0.0,0.6604412323366529,0.0,0.32439323001500125,0.0,0.8639309799929256,0.0,0.22497179856594013,0.0,0.9658715914985739,0.0,0.20804063530318345,0.0,0.1419463480021994,0.0,0.5151025083517685,0.0,0.5968968293770408,0.0,0.2574779333884999,0.0,0.17890455393471122,0.0,0.17001447407219217,0.0,0.2940773104624267,0.0,0.6641688023065861,0.0,0.7928162005147669,0.0,0.3865659223550231,0.0,0.8580722175666171,0.0,0.4910372654049732,0.0,0.408258572760362
S-CPI_bt,300,4.32732081413269,-0.48183865232103207,0.0,0.8782404540328002,0.0,0.19392300109844557,0.0,0.008043976451629823,1.0,0.09395506208974719,0.0,0.30459243809459546,0.0,0.004336438029045219,0.0,0.2030406367719474,0.0,0.014719765408952602,0.0,0.9995744648971854,0.0,0.013144952106756667,0.0,0.043013289665569665,0.0,0.1888313159715705,0.0,0.2069034194485086,0.0,0.27303939688539847,0.0,2.019269327761817e-07,0.0,0.17157694995263328,0.0,0.4807713916159741,0.0,0.0413694584727931,0.0,0.9244957927696872,0.0,0.7795731765055143,0.0,0.24858522950677148,0.0,0.1854019543955135,0.0,0.031458789630214326,0.0,0.06592122541566647,0.0,0.023649599211199718,0.0,0.9999935595442355,0.0,0.9976480234235686,0.0,0.9751357220125466,0.0,0.1261712820950895,0.0,0.25083272661638284,0.0,0.014936625115590916,0.0,0.899247801604349,0.0,0.06818419527002113,0.0,0.9999984414014501,0.0,0.08203468577146888,0.0,0.9999999989457378,0.0,0.05367198486099076,0.0,0.001331464605981555,0.0,0.5286591012510616,0.0,0.336043754631393,0.0,0.1343607625942746,0.0,0.2470166409644166,0.0,0.0621872235097285,0.0,0.013740853519892215,0.0,0.7085830646642551,0.0,0.9779127050012921,0.0,0.20261185117964764,0.0,0.9927738579727461,0.0,0.4183022351437276,0.0,0.41696517811613587
