method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,78.7811427116394,-0.29315500484873014,0.0,0.9773353027799776,0.0,0.8767786454170685,0.0,0.003075234751824918,0.0,0.9633539099503572,0.0,0.6888425696676226,0.0,0.2312576434368323,0.0,7.935739843034639e-10,0.0,3.707653521978216e-07,1.0,2.1632141966598795e-08,1.0,0.9304313506247589,0.0,0.003853294374785432,0.0,0.9013570882355557,0.0,0.009350126488349986,0.0,5.37850044782795e-05,1.0,0.9999993432013581,1.0,0.9999998987161932,0.0,0.012010821339536792,0.0,0.9999999999977403,0.0,0.9999998937990934,0.0,0.9999995658857236,1.0,0.9999936212611217,0.0,0.9999999982922828,0.0,8.464930423279782e-09,1.0,0.999999999978189,1.0,0.035013323745048286,1.0,0.9410718642771116,1.0,0.09176908004732365,0.0,0.999999999998451,0.0,0.0035886144143685295,0.0,0.9999934422822856,0.0,0.9961612492820093,0.0,1.3159984213473308e-10,0.0,0.998173225049568,0.0,0.9996855633591674,0.0,0.7912071846341151,0.0,0.8939994183071882,0.0,0.9999352526120775,0.0,0.9999999999820425,1.0,0.9999999998319461,0.0,0.9707197581187292,0.0,0.9774144424895763,0.0,0.9999724489381231,1.0,0.9999986498502549,0.0,0.9999999997109997,0.0,0.9999999988380548,0.0,0.9987349279838835,0.0,0.9998103106237503,0.0,0.9999998350713507,0.0,0.9999999991669573,1.0,0.9999973307345358
CPI,300,4.2442686557769775,-0.29315500484873014,0.0,0.8903710111459333,0.0,0.5390953773576667,0.0,0.9528823472480779,0.0,0.9137134102733107,0.0,0.44782390391559307,0.0,0.08344670103241597,0.0,0.36178053708776214,0.0,0.8314674950915777,1.0,0.6647509866623699,1.0,0.5942797499398518,0.0,0.9894225340589172,0.0,0.9828679368642553,0.0,0.5927355386278269,0.0,0.531484870788699,1.0,0.9241713296499434,1.0,0.45527928423551556,0.0,0.8520760943287138,0.0,0.18980821274430332,0.0,0.06142054979703104,0.0,0.9467741370783181,1.0,0.0652219766465752,0.0,0.9503748573624484,0.0,0.25332834573957186,1.0,0.4069367317936851,1.0,0.24993015726769024,1.0,0.9333469233448892,1.0,0.6386461265373505,0.0,0.2594422189504515,0.0,0.5826879566405379,0.0,0.949890289612335,0.0,0.8364305858252307,0.0,0.33231299463811115,0.0,0.9249982101376386,0.0,0.5247129072179988,0.0,0.4655657478526902,0.0,0.8128889130901087,0.0,0.7445851990418878,0.0,0.2462224157856392,1.0,0.974678287586343,0.0,0.12121299828879972,0.0,0.39816921508519737,0.0,0.9594449690035264,1.0,0.9447645504397085,0.0,0.7674216086464279,0.0,0.8442676683431338,0.0,0.2631491589549064,0.0,0.9995805088668184,0.0,0.2723593463534506,0.0,0.6717931371865173,1.0,0.4251218494818391
CPI_sqrt,300,4.251618385314941,-0.29315500484873014,0.0,0.5169827805253224,0.0,0.47371019523823943,0.0,0.5452562371724273,0.0,0.5114700661079565,0.0,0.5078282710146005,0.0,0.523610514562736,0.0,0.5149448115385737,0.0,0.5106837942006072,1.0,0.5068398887755629,1.0,0.519539984815651,0.0,0.5183742817391114,0.0,0.5308954019538435,0.0,0.5901695214264056,0.0,0.5123599922734138,1.0,0.5599968932498303,1.0,0.5045027430344929,0.0,0.5286704856588271,0.0,0.4897369614987152,0.0,0.462473002112357,0.0,0.5072475357880073,1.0,0.47564756646936274,0.0,0.5453255462159361,0.0,0.4848053879671409,1.0,0.4762172240399626,1.0,0.4557893386616378,1.0,0.5705103429731726,1.0,0.5385890590811228,0.0,0.49917963846541397,0.0,0.5470172177636495,0.0,0.6057912708879554,0.0,0.531424278640397,0.0,0.4165376483255027,0.0,0.5004678387145308,0.0,0.49108752419947393,0.0,0.5103215803852157,0.0,0.512932765284396,0.0,0.5380354830053791,0.0,0.502090635638436,1.0,0.49433680102280614,0.0,0.5128569802770049,0.0,0.47347204304048884,0.0,0.5796582747228951,1.0,0.4968397320407175,0.0,0.5717408735807129,0.0,0.5168727655303011,0.0,0.5211998706174372,0.0,0.5763129161231549,0.0,0.5073539964630829,0.0,0.5334741258843542,1.0,0.5084493486081377
CPI_n,300,4.238904714584351,-0.29315500484873014,0.0,0.5767745894651435,0.0,0.5704689246712472,0.0,0.7230543509394218,0.0,0.5476469926710096,0.0,0.5330364594344955,0.0,0.76331908037446,0.0,0.5359228147629963,0.0,0.2831027196354627,1.0,0.5000684913254038,1.0,0.7430513574115277,0.0,0.6204594190212853,0.0,0.8041192414430132,0.0,0.5241346065124127,0.0,0.5553326686527293,1.0,0.7927354821852675,1.0,0.45173169169287775,0.0,0.6239736699860673,0.0,0.6248615355442008,0.0,0.4428337623764789,0.0,0.5431696570310839,1.0,0.2992880985903559,0.0,0.7332515574107026,0.0,0.22866250519356396,1.0,0.3785933203299645,1.0,0.522395300645257,1.0,0.8823143082816034,1.0,0.426421052398651,0.0,0.302934612417761,0.0,0.647093477975281,0.0,0.716660116510012,0.0,0.47120124050221124,0.0,0.6614456721248303,0.0,0.3853022245650646,0.0,0.5596530090096932,0.0,0.4475360979467711,0.0,0.5940143867655621,0.0,0.8066925242937273,0.0,0.2874638916644362,1.0,0.6773622549366192,0.0,0.2623169156313352,0.0,0.5608771098974094,0.0,0.9043582931135881,1.0,0.48959253049053664,0.0,0.7971570999022382,0.0,0.6140897011425713,0.0,0.3616529649428046,0.0,0.9221629249900702,0.0,0.532032582105698,0.0,0.46220482305904276,1.0,0.4643103464568338
CPI_bt,300,4.417380332946777,-0.29315500484873014,0.0,0.5116203864614517,0.0,0.3499924415247454,0.0,0.6672601295581119,0.0,0.8918399803997177,0.0,0.5267131418617281,0.0,0.6309178225737607,0.0,0.6707078784942296,0.0,0.38947854146475985,1.0,0.8290847943503791,1.0,0.5741977087196601,0.0,0.8556688643299725,0.0,0.99922026614945,0.0,0.058294699118474534,0.0,0.5743755364607803,1.0,0.884940491867133,1.0,0.08247193444036127,0.0,0.6203056532750292,0.0,0.43560205478590136,0.0,0.1447407442178621,0.0,0.7669155595120325,1.0,0.03198272768532456,0.0,0.9894858580104584,0.0,0.40333612633233074,1.0,0.2707896824376669,1.0,0.4376461972132183,1.0,0.9999999411805044,1.0,0.7959730963133902,0.0,0.4521278897923448,0.0,0.8636230394161037,0.0,0.9875337953713662,0.0,0.3077728166218677,0.0,0.5782812819946143,0.0,0.3510728189850859,0.0,0.5400008240857723,0.0,0.5253073606121903,0.0,0.6107927178706076,0.0,0.8680352621086525,0.0,0.7610921585977217,1.0,0.7925170540973283,0.0,0.12976824884118776,0.0,0.5580442236346534,0.0,0.7574500613483792,1.0,0.5322919116827208,0.0,0.9224810381845159,0.0,0.7443477904480853,0.0,0.3774906086776933,0.0,0.9500569183406589,0.0,0.1364165867077149,0.0,0.6445119849804738,1.0,0.5151025658479127
CPI_sqd,300,4.415950536727905,-0.29315500484873014,0.0,1.0,0.0,2.8765226440305015e-91,0.0,1.0,0.0,0.0076845483885013225,0.0,2.7431660861433903e-12,0.0,0.9999999999999951,0.0,1.0,0.0,1.0,1.0,4.3408073361131566e-91,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.5859717841996723e-11,0.0,1.0,1.0,1.0,1.0,5.923968596520254e-29,0.0,1.0,0.0,0.0,0.0,0.04337613349894807,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2556957983317426,1.0,0.0,1.0,8.669928972991269e-18,1.0,1.7959652672532784e-14,1.0,0.9813560784769353,0.0,1.4539152720486126e-226,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3444723587627341e-167,0.0,1.9906678234002403e-232,0.0,2.9951679974611314e-121,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.999988445702199,1.0,1.0,0.0,7.242129535761001e-05,0.0,0.0,0.0,1.0,1.0,0.14097051590939969,0.0,1.0,0.0,1.0,0.0,2.7812836661624242e-170,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5175070229118052e-86
S-CPI,300,4.631946325302124,-0.29315500484873014,0.0,0.5702024561021751,0.0,0.335236052926976,0.0,0.9320691841257872,0.0,0.8848653505588331,0.0,0.8713279074033342,0.0,0.35708426885703437,0.0,0.6712195148929352,0.0,0.37336500479954804,1.0,0.6867159679478269,1.0,0.9148473471769787,0.0,0.9971308162934075,0.0,0.890708772411861,0.0,0.5377108515290281,0.0,0.5035108023913605,1.0,0.9478192005930388,1.0,0.43347840855176806,0.0,0.9024303713362036,0.0,0.1979061647542396,0.0,0.11042553663177873,0.0,0.9188634008343954,1.0,0.06768160829288264,0.0,0.8131517163887148,0.0,0.5159572810945874,1.0,0.009423236383376854,1.0,0.34381759092513325,1.0,0.8819843660022075,1.0,0.9261274062176268,0.0,0.02298502497019922,0.0,0.8480070639600272,0.0,0.9666463669117248,0.0,0.9696739207973712,0.0,0.2847596759917468,0.0,0.37263628175158164,0.0,0.7284099920604649,0.0,0.11257408458327217,0.0,0.8722411707333093,0.0,0.9925009852133447,0.0,0.2979846083284702,1.0,0.9723341719770046,0.0,0.2336887530170198,0.0,0.3108061908179326,0.0,0.9275468511206526,1.0,0.5591991437034783,0.0,0.8850571792494375,0.0,0.7969818100510937,0.0,0.2716896498962137,0.0,0.9999083988015901,0.0,0.08204514065933921,0.0,0.7929137100354098,1.0,0.542371405324809
S-CPI_sqrt,300,4.6444714069366455,-0.29315500484873014,0.0,0.5025047151797968,0.0,0.47132321845974096,0.0,0.586725953424435,0.0,0.5562038886415223,0.0,0.5030073236745745,0.0,0.5794106324574988,0.0,0.5317506215913973,0.0,0.5107520501355817,1.0,0.5313081034794087,1.0,0.5220326623472946,0.0,0.6433186444576255,0.0,0.6533555008108992,0.0,0.541513920714145,0.0,0.5096234672024623,1.0,0.5971923252641206,1.0,0.5027569605139915,0.0,0.5362474196975701,0.0,0.49409884113597213,0.0,0.4256132427529302,0.0,0.5266139118202644,1.0,0.46032098668934646,0.0,0.5576390642224881,0.0,0.4895033681654022,1.0,0.45660548965076564,1.0,0.5028748000313077,1.0,0.6623097159691037,1.0,0.5173466298096047,0.0,0.476349008209053,0.0,0.5654864026676778,0.0,0.6494054847243836,0.0,0.5827359705102406,0.0,0.49422729303782104,0.0,0.4996460559794306,0.0,0.5146661396420248,0.0,0.47570278363115964,0.0,0.5300335768204254,0.0,0.5813503942805204,0.0,0.46731863292704456,1.0,0.5453100842305317,0.0,0.42627074890122535,0.0,0.47248645587440397,0.0,0.6103681570156718,1.0,0.5056001874757026,0.0,0.5400064274104538,0.0,0.5447426299902562,0.0,0.48663284252365263,0.0,0.6498129205762955,0.0,0.4372857510743511,0.0,0.527613825566399,1.0,0.4983577466755681
S-CPI_n,300,4.648238897323608,-0.29315500484873014,0.0,0.5753292263259625,0.0,0.4116551057759543,0.0,0.8592002457333427,0.0,0.6263956070658229,0.0,0.5362014638823648,0.0,0.4883516769462726,0.0,0.6133734428453042,0.0,0.5228035057590139,1.0,0.605182691554531,1.0,0.6117328306616401,0.0,0.9494963122288655,0.0,0.9163163070607232,0.0,0.6229061184414915,0.0,0.5352100376376834,1.0,0.8626805685860741,1.0,0.44507584887326945,0.0,0.6783263753922708,0.0,0.4337772017361807,0.0,0.26133243013737717,0.0,0.6377119745017685,1.0,0.1464078791171723,0.0,0.750806993054985,0.0,0.5072745507813902,1.0,0.2011477110712443,1.0,0.6004676506822278,1.0,0.9060445998782543,1.0,0.6095912764860979,0.0,0.30276011622534754,0.0,0.6941843104467345,0.0,0.8830962763593047,0.0,0.8677027003751575,0.0,0.3549873961675125,0.0,0.38915441151710034,0.0,0.44821132316799606,0.0,0.43424925587674335,0.0,0.6422822874786869,0.0,0.7964098115442388,0.0,0.5022212806272159,1.0,0.6951372686453972,0.0,0.32262010241242123,0.0,0.4425133692171168,0.0,0.8581897328226329,1.0,0.5846798643529202,0.0,0.7180225769225608,0.0,0.44230088324154393,0.0,0.444012032336586,0.0,0.9723019146010449,0.0,0.2798045343057316,0.0,0.7773676748712841,1.0,0.48243353113833526
S-CPI_bt,300,4.895988941192627,-0.29315500484873014,0.0,0.6147460111033068,0.0,0.27887710419768275,0.0,0.9599758871094444,0.0,0.7389001090746092,0.0,0.5839064692144558,0.0,0.48096326264528355,0.0,0.7591031360533949,0.0,0.33480933999016477,1.0,0.9188376670614634,1.0,0.8322978426945236,0.0,0.9996337917428126,0.0,0.9999859490859861,0.0,0.9796832555395084,0.0,0.3488083063784193,1.0,0.986410278627103,1.0,0.04321975271036931,0.0,0.8234733959680496,0.0,0.2390350993485098,0.0,0.17685455855898546,0.0,0.8618663642818034,1.0,0.0776572253081083,0.0,0.9943869187028022,0.0,0.3409249726194291,1.0,0.07309349385177075,1.0,0.6058366070499596,1.0,0.9999997469106948,1.0,0.8031251194135386,0.0,0.22026771203459633,0.0,0.9365210389421518,0.0,0.9998913487710832,0.0,0.9980750354556415,0.0,0.26383473542424063,0.0,0.4184830251747446,0.0,0.5769237329817513,0.0,0.44343514157319436,0.0,0.8506581826643316,0.0,0.9848350358430238,0.0,0.38417545647298423,1.0,0.8300880738368217,0.0,0.1105061360745569,0.0,0.085799621858339,0.0,0.9987549983129805,1.0,0.49194132199431995,0.0,0.8908215705505953,0.0,0.8637933548441883,0.0,0.4082455257971317,0.0,0.9999576721186134,0.0,0.04762043466123396,0.0,0.8684308065767361,1.0,0.3426777797460172
