method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,141.2841215133667,-0.06613326715119072,0.0,0.6278233779588893,0.0,0.5868327893367562,0.0,0.16535370896835577,0.0,0.9787598945445599,0.0,0.01576618049068601,0.0,0.47187681239825174,0.0,0.45211688053660837,0.0,0.9543607164674981,1.0,0.24132547485258016,1.0,0.39002033268162517,0.0,0.2895774601023594,0.0,0.0766002555673212,0.0,0.2315379475795497,0.0,0.24626954237859044,1.0,0.6207081044018072,1.0,0.7678952868002865,0.0,0.9423438173118368,0.0,0.4494314887119639,0.0,0.8854624592041666,0.0,0.26976661648296707,1.0,0.9717706639932036,0.0,0.6904323226434953,0.0,0.16537550857105565,1.0,0.5572820066902775,1.0,0.7710454826668356,1.0,0.42790075476349665,1.0,0.9092790263549455,0.0,0.013362616358221224,0.0,0.4107087084745963,0.0,0.02498372949487926,0.0,0.1557074527994533,0.0,0.982835712919735,0.0,0.011533017981855576,0.0,0.1850256987766502,0.0,0.7318703617472219,0.0,0.1674340632895326,0.0,0.5661425823265025,0.0,0.4441458569166977,1.0,0.21138694650931056,0.0,0.3808674613099573,0.0,0.9858293006837356,0.0,0.0914881419539364,1.0,0.6941369032613454,0.0,0.9387653609926401,0.0,0.6181909240780501,0.0,0.8495529290921313,0.0,0.5366451764890425,0.0,0.9898181321479769,0.0,0.5347659151629306,1.0,0.0904644892423434
CPI,300,6.714022159576416,-0.06613326715119072,0.0,0.3923555183128398,0.0,0.9448229326958845,0.0,0.09978949836368578,0.0,0.9556449176472332,0.0,0.6583830756913811,0.0,0.08748948791933897,0.0,0.3412687875520004,0.0,0.47147131784207985,1.0,0.4026427155586653,1.0,0.7479153063343824,0.0,0.4817531990222095,0.0,0.9587737078463426,0.0,0.5598378254118827,0.0,0.5430615377056388,1.0,0.9990494763630595,1.0,0.2367448493336799,0.0,0.6221863594538143,0.0,0.21235596699993153,0.0,0.22189115123535796,0.0,0.8389246982038006,1.0,0.5161295803756986,0.0,0.9723012480860205,0.0,0.07958533372738125,1.0,0.8746108516871313,1.0,0.18068906383161448,1.0,0.8190380061523395,1.0,0.15124900616808234,0.0,0.7794013366154346,0.0,0.3357857032739092,0.0,0.314744965333807,0.0,0.837213969468418,0.0,0.16817954779959454,0.0,0.432091488430229,0.0,0.12289107411577904,0.0,0.6540752943360507,0.0,0.8562150248779192,0.0,0.9892309064148311,0.0,0.04374045897772205,1.0,0.8705976437265879,0.0,0.2114342680966611,0.0,0.6085953876462188,0.0,0.822123029864424,1.0,0.9047277830030775,0.0,0.14203102687213037,0.0,0.7651092035732749,0.0,0.502489038923668,0.0,0.9673608116430497,0.0,0.8695843644548271,0.0,0.6714502809768879,1.0,0.48964273358279226
CPI_sqrt,300,6.726125955581665,-0.06613326715119072,0.0,0.500408118456991,0.0,0.4975757095713074,0.0,0.48921076005494146,0.0,0.508004781075609,0.0,0.49894500360795707,0.0,0.4864818122502027,0.0,0.5237897573647,0.0,0.49281669872994704,1.0,0.4882114471868476,1.0,0.5054735031136091,0.0,0.4953811176641803,0.0,0.5259095864740166,0.0,0.5036145483102292,0.0,0.47008386094782306,1.0,0.5222902044302531,1.0,0.5073859905870557,0.0,0.49681689240027593,0.0,0.4901867519746796,0.0,0.49561252051091526,0.0,0.49513978119509466,1.0,0.4940036340085691,0.0,0.5151985958248723,0.0,0.4962783511571661,1.0,0.5026435850907979,1.0,0.49463268495241014,1.0,0.5080542741176858,1.0,0.5012799042885555,0.0,0.5120509364921637,0.0,0.5010280492141342,0.0,0.491392554274164,0.0,0.5161384869006642,0.0,0.4879181336439789,0.0,0.48389134201706063,0.0,0.49684732365173534,0.0,0.5031099120896537,0.0,0.5026850776529092,0.0,0.5172624993037798,0.0,0.4896528374051593,1.0,0.5155456675151017,0.0,0.5043188722691866,0.0,0.4674823654519162,0.0,0.5483881238831262,1.0,0.5024520519808489,0.0,0.509981852832649,0.0,0.5062981268254177,0.0,0.5057994591674788,0.0,0.4991869879215438,0.0,0.5101311016267663,0.0,0.49784748012230756,1.0,0.5005159836271819
CPI_n,300,6.728455305099487,-0.06613326715119072,0.0,0.514859297170692,0.0,0.5833231524843105,0.0,0.3876570542014033,0.0,0.6702979956264524,0.0,0.5027011661316152,0.0,0.5853590964715608,0.0,0.6181423826133656,0.0,0.4601940462319425,1.0,0.46867113963035356,1.0,0.5056352681782547,0.0,0.4920886512295665,0.0,0.6112098957579213,0.0,0.2697788707697932,0.0,0.3562801972173091,1.0,0.7056317895136188,1.0,0.5538361631538298,0.0,0.5420550043638507,0.0,0.5583857238899845,0.0,0.4196421184828059,0.0,0.5062497976504158,1.0,0.5468666653479776,0.0,0.7467668488806496,0.0,0.34906411511291546,1.0,0.48390310322372493,1.0,0.4401618097613511,1.0,0.6438112293047406,1.0,0.4649808694189925,0.0,0.5749077695183992,0.0,0.49653241008563775,0.0,0.46884462288339496,0.0,0.43705492823566894,0.0,0.48856899421407585,0.0,0.489281188083417,0.0,0.4966140601722526,0.0,0.5825183037362894,0.0,0.5725563598674968,0.0,0.631973755971229,0.0,0.336420566272296,1.0,0.5664786102287658,0.0,0.42865714625550805,0.0,0.6759519932306096,0.0,0.7683314236538772,1.0,0.5519498515055924,0.0,0.5643639867714524,0.0,0.4519242282491304,0.0,0.47049273863462426,0.0,0.6324305836954783,0.0,0.5664113152589668,0.0,0.5195122562698695,1.0,0.46468391783582397
CPI_bt,300,6.888015031814575,-0.06613326715119072,0.0,0.5000673206561962,0.0,0.5710207732121838,0.0,0.43730398429491574,0.0,0.6332562260638623,0.0,0.5831176900910975,0.0,0.33031502099542676,0.0,0.5220028718716653,0.0,0.46585642024444845,1.0,0.4863648527603379,1.0,0.5778483402414194,0.0,0.70705096790235,0.0,0.956975124180994,0.0,0.1605493610636472,0.0,0.4628536513917646,1.0,0.6980070124029945,1.0,0.3937419188599129,0.0,0.5466095531376972,0.0,0.3826949991416818,0.0,0.5047514758388228,0.0,0.5261947360139846,1.0,0.4942708351193715,0.0,0.8228786931194496,0.0,0.41075050335056124,1.0,0.5998115064124716,1.0,0.45773525534787063,1.0,0.7682199502766087,1.0,0.4828572859084447,0.0,0.5294006351397538,0.0,0.611785453092223,0.0,0.40284418381663634,0.0,0.1961475324033276,0.0,0.5044017159877597,0.0,0.25715229247016413,0.0,0.3547479312544357,0.0,0.5415727902539367,0.0,0.5810958550848669,0.0,0.6377535199532391,0.0,0.40177270039590235,1.0,0.5457350793571998,0.0,0.5154207013381417,0.0,0.6033007262725789,0.0,0.7091071605577055,1.0,0.49305854970811086,0.0,0.5232258692204167,0.0,0.5673014258581991,0.0,0.521122955795743,0.0,0.4956695864786517,0.0,0.5334481200416649,0.0,0.5880131728967766,1.0,0.44091373695899716
CPI_sqd,300,6.900583982467651,-0.06613326715119072,0.0,0.9999999927235496,0.0,1.0,0.0,0.6279600100146745,0.0,1.0,0.0,0.16996759407615036,0.0,2.1410516222841727e-23,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8150631055017988,0.0,0.18016531079316167,0.0,1.0,0.0,5.264433900977019e-70,0.0,1.0,1.0,1.0,1.0,0.0012618980963137224,0.0,3.0518139610170977e-06,0.0,0.0,0.0,4.303270214874591e-06,0.0,3.17248479983477e-11,1.0,1.0,0.0,1.0,0.0,6.374724316544608e-58,1.0,1.4469662903780626e-34,1.0,4.465231761330935e-42,1.0,0.9999911630224964,1.0,0.9613565530570931,0.0,0.9603719542243042,0.0,9.787722423275625e-48,0.0,5.748313743187305e-155,0.0,1.0,0.0,1.0486173294569425e-30,0.0,0.13615473872946593,0.0,2.056376651278756e-298,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.394924865596414e-253,1.0,1.0,0.0,3.8196167468759266e-90,0.0,0.0,0.0,1.0,1.0,1.135240866059348e-57,0.0,2.2103766944449416e-11,0.0,1.0,0.0,1.038726631461732e-13,0.0,1.0,0.0,0.15198745737525476,0.0,1.0,1.0,0.9941598032000253
S-CPI,300,19.17858910560608,-0.06613326715119072,0.0,0.4058708732378863,0.0,0.4245752626731405,0.0,0.11803914069114169,0.0,0.887749220540113,0.0,0.5959521132097572,0.0,0.16641254599860678,0.0,0.8314090431496387,0.0,0.6595804924627086,1.0,0.5412880571671217,1.0,0.6244953437518668,0.0,0.9453975895008434,0.0,0.7744420241449264,0.0,0.1793565860308059,0.0,0.25504541369159495,1.0,0.9936116581852062,1.0,0.5738589255692031,0.0,0.32707123798717486,0.0,0.2047709096595406,0.0,0.3273510844354448,0.0,0.7038637345856099,1.0,0.5465308660961314,0.0,0.8873675618004765,0.0,0.16663714465522084,1.0,0.5236640245400301,1.0,0.2813057600767074,1.0,0.7693755901142496,1.0,0.4616454818208314,0.0,0.958855894196022,0.0,0.4289280155479233,0.0,0.17587434394089296,0.0,0.9301911828306406,0.0,0.08026249422476078,0.0,0.25828227479582494,0.0,0.3819047427966931,0.0,0.5819710966883945,0.0,0.7697883747001091,0.0,0.9940971671759771,0.0,0.02440422336627049,1.0,0.8689990702820698,0.0,0.27997143855737494,0.0,0.40707358324700393,0.0,0.8524485210576411,1.0,0.35199863871592885,0.0,0.4765558321757124,0.0,0.6796771460246843,0.0,0.6012871389772669,0.0,0.7343367297325103,0.0,0.8836607451887046,0.0,0.9034802090905284,1.0,0.5977889790664044
S-CPI_sqrt,300,19.19096612930298,-0.06613326715119072,0.0,0.5012398101585087,0.0,0.5048600718216566,0.0,0.48964881595643645,0.0,0.5240052224576802,0.0,0.5091454543500096,0.0,0.4912401362898394,0.0,0.5276075595681216,0.0,0.5022470127005619,1.0,0.4948255365318503,1.0,0.5010077830936096,0.0,0.5403066500961256,0.0,0.5664660107482172,0.0,0.46379381452037927,0.0,0.48084705987500675,1.0,0.5427408707657227,1.0,0.5069054158698736,0.0,0.4909530000113599,0.0,0.4977798889224714,0.0,0.4986072329674967,0.0,0.5055865382017708,1.0,0.5045001909867121,0.0,0.5297072585103018,0.0,0.48990413701213353,1.0,0.5121728821429056,1.0,0.5039142276588696,1.0,0.5142708384071769,1.0,0.4961959131112227,0.0,0.5115851433902512,0.0,0.5077697738440375,0.0,0.49058475195358997,0.0,0.5387865216579439,0.0,0.47494687810569847,0.0,0.4909036865870488,0.0,0.4856851450805645,0.0,0.49519154758200945,0.0,0.5063331379445872,0.0,0.5177172373884993,0.0,0.4695614894471756,1.0,0.506012185611567,0.0,0.48466458931301015,0.0,0.4864485032687158,0.0,0.5546588311018934,1.0,0.5050808542957174,0.0,0.498627485691219,0.0,0.527763515675105,0.0,0.5160777867826658,0.0,0.5082514413747926,0.0,0.5086853259058766,0.0,0.5161168770523402,1.0,0.49708640536215554
S-CPI_n,300,19.266765832901,-0.06613326715119072,0.0,0.5237071640058101,0.0,0.5283961651589439,0.0,0.4153585175032092,0.0,0.6104684406123879,0.0,0.5803908865516088,0.0,0.3754665917896715,0.0,0.6197440093684019,0.0,0.48654907260890107,1.0,0.5220556454254666,1.0,0.5307087710759077,0.0,0.7260395292592267,0.0,0.8542873095398531,0.0,0.3350850791111245,0.0,0.4060451352363064,1.0,0.7890760007005473,1.0,0.49258526104129896,0.0,0.45119223628609806,0.0,0.5383043575714482,0.0,0.46359880916504187,0.0,0.5051240454248757,1.0,0.4763350120666196,0.0,0.7398296689053541,0.0,0.4133826904142025,1.0,0.48644275664416287,1.0,0.5054432958880235,1.0,0.558598234742773,1.0,0.4537311383197904,0.0,0.5849386841123594,0.0,0.5700944309296944,0.0,0.4178922694113306,0.0,0.6859573746138015,0.0,0.3228826765550366,0.0,0.37323425634825047,0.0,0.38564149169744943,0.0,0.548521566720051,0.0,0.5966926166801921,0.0,0.6043032499946088,0.0,0.3472495871556812,1.0,0.59898672984664,0.0,0.44129160605782386,0.0,0.5203406628849876,0.0,0.7604137610425414,1.0,0.5784805919189037,0.0,0.508614316445869,0.0,0.4739272252771298,0.0,0.5759606744344333,0.0,0.6007580972451201,0.0,0.5776844431808676,0.0,0.6015536959153645,1.0,0.41690943205878384
S-CPI_bt,300,18.702573537826538,-0.06613326715119072,0.0,0.5364433785597744,0.0,0.5076014390998879,0.0,0.3868393129158624,0.0,0.670888746282168,0.0,0.5619748149959882,0.0,0.19648309766315525,0.0,0.7267833823630918,0.0,0.543852474754884,1.0,0.5056017105643222,1.0,0.4982699042890093,0.0,0.764090474373345,0.0,0.9925442659587772,0.0,0.14492772020420752,0.0,0.16225162070657323,1.0,0.8312139279837836,1.0,0.4812547263867164,0.0,0.48675180680754193,0.0,0.40538610683203735,0.0,0.47694020131112286,0.0,0.5315369306972103,1.0,0.49776249692152064,0.0,0.7979866865143019,0.0,0.36422645653248953,1.0,0.5345142204535336,1.0,0.4616089035033732,1.0,0.6344414642630041,1.0,0.449275856758938,0.0,0.6469063592201176,0.0,0.490486921390389,0.0,0.39259467194221875,0.0,0.8343466455250271,0.0,0.24811925492777115,0.0,0.38531141336050756,0.0,0.29279999842129867,0.0,0.5542728582469513,0.0,0.5591026590084447,0.0,0.6998665756843216,0.0,0.24929599650639722,1.0,0.5690989106094556,0.0,0.44975081090193764,0.0,0.25976334963338177,0.0,0.8629201332648809,1.0,0.4274802133193269,0.0,0.5514760339457601,0.0,0.7300114489897113,0.0,0.6868663041146037,0.0,0.6223913344432928,0.0,0.5982108297090789,0.0,0.6326681463055212,1.0,0.41795316206232347
