method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,915.3314690589905,-0.006916779495762082,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.998266024412674,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999964877224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9791580287201149,0.0,2.6514375905950516e-07,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4970792683872627,0.0,0.0,0.0,1.0908529171294035e-05,0.0,1.0,0.0,1.0,0.0,0.0
CPI,300,18.084552526474,-0.006916779495762082,0.0,0.5758214504006117,0.0,0.606741666912356,1.0,0.19445695154777132,1.0,0.7817276956044159,0.0,0.023742707379147132,0.0,0.5808285035135108,0.0,0.6986408801981975,0.0,0.024292548627712168,0.0,0.41737428071038923,1.0,0.8982795889093398,1.0,0.7021082743338213,0.0,0.7157268406132729,1.0,0.8477827620871031,0.0,0.8436526604885072,0.0,0.004498665780807866,0.0,0.31162910979838654,1.0,0.10962708040934732,0.0,0.9243680107509497,0.0,0.6108449586162582,0.0,0.3917433155447203,1.0,0.9408605543681592,0.0,0.010684036958369475,1.0,0.689244655741021,0.0,0.6562918294392404,0.0,0.8110623456974257,1.0,0.3964308910533205,0.0,0.9992373403602437,0.0,0.28177374879979156,0.0,0.4961957484953225,0.0,0.6648976024895041,0.0,0.44372930603334276,0.0,0.13962990476190057,0.0,0.5121054989423471,0.0,0.8169487692049218,1.0,0.1290814456781877,0.0,0.5708618129984689,1.0,0.23945041835630776,0.0,0.5468275648930884,0.0,0.680635348799192,0.0,0.28325407908916217,0.0,0.9832391706767563,0.0,0.43109059686292805,1.0,0.6597564229591477,0.0,0.3494744028324743,0.0,0.5514752303856342,0.0,0.8613212935934218,0.0,0.7273421048016309,0.0,0.22266503270798205,0.0,0.6632835715902238,0.0,0.9156038768578989
CPI_sqrt,300,18.086824655532837,-0.006916779495762082,0.0,0.5076548144276588,0.0,0.5010568117175519,1.0,0.4961216923660802,1.0,0.5011775162356358,0.0,0.4947398478001863,0.0,0.503213869523924,0.0,0.5024478537975795,0.0,0.4996317776589563,0.0,0.49949757012852175,1.0,0.5017715394816922,1.0,0.49815750720826246,0.0,0.5014517447287477,1.0,0.499740260009235,0.0,0.5030344947459213,0.0,0.4970179068949215,0.0,0.4983755146983925,1.0,0.49593397259956395,0.0,0.5046571954064707,0.0,0.5053785609570245,0.0,0.49790638236516205,1.0,0.50626528617233,0.0,0.4983073230664209,1.0,0.5005142546614036,0.0,0.498319690060567,0.0,0.5046779086136932,1.0,0.5013181039472125,0.0,0.504393029785784,0.0,0.4982748738420845,0.0,0.5008386202015445,0.0,0.5004902872492349,0.0,0.49998437075326113,0.0,0.4968303124634306,0.0,0.4997733213380832,0.0,0.5000762647928461,1.0,0.5009731972283358,0.0,0.4969014537304951,1.0,0.4983888024886707,0.0,0.5019721624823468,0.0,0.5012108527588163,0.0,0.49919864195575164,0.0,0.500377921602892,0.0,0.5012551275253012,1.0,0.5053108750738554,0.0,0.5000986329090003,0.0,0.4971921395782247,0.0,0.5027372915401417,0.0,0.49924190706931354,0.0,0.49908853628707467,0.0,0.5038178702754743,0.0,0.5069180451807143
CPI_n,300,18.102492570877075,-0.006916779495762082,0.0,0.5374866089593999,0.0,0.4835276489858263,1.0,0.4661623168614964,1.0,0.4904162552587738,0.0,0.46037411275437085,0.0,0.5044944418284163,0.0,0.5216626061548848,0.0,0.49256735208439406,0.0,0.49689690743086323,1.0,0.49879501405865245,1.0,0.4847711708609408,0.0,0.5210171462465222,1.0,0.5238792076224049,0.0,0.5357006139196552,0.0,0.4534124897364907,0.0,0.4930053687277824,1.0,0.4974034602238304,0.0,0.5132036945084713,0.0,0.5324948208405345,0.0,0.5023678597635741,1.0,0.533339667635375,0.0,0.4931216889821804,1.0,0.4933592307373037,0.0,0.511326225815076,0.0,0.4341407936605472,1.0,0.5024349497554533,0.0,0.5378272776235873,0.0,0.487969777890293,0.0,0.5256150026536691,0.0,0.5087294841123917,0.0,0.5245283651242949,0.0,0.44964536503798014,0.0,0.4718711998967132,0.0,0.5232972755067477,1.0,0.48125601952200403,0.0,0.45553865070338445,1.0,0.501750516953957,0.0,0.527392371893712,0.0,0.4840233328204346,0.0,0.49766021081404976,0.0,0.5034131404836597,0.0,0.5234272600696648,1.0,0.5439580920881606,0.0,0.5032653347227524,0.0,0.49631913399188066,0.0,0.5133615901752712,0.0,0.5110526573183198,0.0,0.4685733664661783,0.0,0.5533287036261214,0.0,0.5092185817667759
CPI_bt,300,18.269164562225342,-0.006916779495762082,0.0,0.48365132478875367,0.0,0.4980850787325674,1.0,0.48107466833808316,1.0,0.5047714039653577,0.0,0.45631325929441047,0.0,0.510760392386806,0.0,0.49664484822199334,0.0,0.49834315409294544,0.0,0.5186789855205461,1.0,0.5053739376497673,1.0,0.6416363514427268,0.0,0.49790699025787044,1.0,0.5319359538524374,0.0,0.5382251689756102,0.0,0.47665627103212976,0.0,0.454515222421498,1.0,0.5055657432914359,0.0,0.533618624885528,0.0,0.5643905783192645,0.0,0.5005169620871556,1.0,0.48018157018488017,0.0,0.4783585668267,1.0,0.5124959241847479,0.0,0.5162779270674247,0.0,0.4551201069738503,1.0,0.5043802118723398,0.0,0.5416834576388282,0.0,0.5433598605628005,0.0,0.5299534303629659,0.0,0.4879545785433591,0.0,0.5207530918506335,0.0,0.5002152991635201,0.0,0.46588335052091434,0.0,0.5108401226213934,1.0,0.49229427197234366,0.0,0.49138064013979676,1.0,0.4808768951975209,0.0,0.5251601062532372,0.0,0.5031723813455395,0.0,0.4908388719520006,0.0,0.5044353773823314,0.0,0.5124426358286397,1.0,0.5080323923704282,0.0,0.49460689044425954,0.0,0.5039141396652678,0.0,0.5157974812887824,0.0,0.4901055673521471,0.0,0.4984945161337552,0.0,0.5268056802175155,0.0,0.5545398354003689
CPI_sqd,300,18.26096773147583,-0.006916779495762082,0.0,2.6205072954760406e-06,0.0,0.0021768351613212274,1.0,1.500239503065227e-41,1.0,2.263408894707727e-07,0.0,9.280989008484813e-18,0.0,1.0,0.0,0.9999999999999706,0.0,0.9933332613152721,0.0,0.26042194513096273,1.0,0.9995637500096676,1.0,1.0,0.0,0.09457409877773637,1.0,0.7186481132960236,0.0,0.9901833875255681,0.0,1.0771546682639159e-13,0.0,0.9773275686324013,1.0,0.9999999999988962,0.0,0.9994198318298142,0.0,1.0,0.0,0.05108070005363682,1.0,0.9999999581192579,0.0,0.5270525548383852,1.0,0.9845564996481025,0.0,0.003376941590949019,0.0,2.2559126962626297e-12,1.0,0.24953262529687859,0.0,1.0,0.0,0.4809732029963445,0.0,0.9999999999999998,0.0,0.7264806537173873,0.0,0.06458451325153684,0.0,0.9822997927497649,0.0,0.0021933209277772156,0.0,0.16245119209015269,1.0,0.0006392602314500699,0.0,0.144157353149856,1.0,0.9887875361735315,0.0,1.0,0.0,0.9105481820527415,0.0,0.9999999753990195,0.0,1.0,0.0,0.9448133996468787,1.0,1.0,0.0,0.9997569937734267,0.0,2.828620816565251e-08,0.0,0.9999999962461285,0.0,0.9999999999987174,0.0,0.7483203072081303,0.0,1.0,0.0,0.99995213431419
S-CPI,300,31.063259840011597,-0.006916779495762082,0.0,0.5687180309666928,0.0,0.1919891894811861,1.0,0.22639078729902518,1.0,0.29348836226603164,0.0,0.005568412978803861,0.0,0.9090885687443984,0.0,0.8048604595992896,0.0,0.11830455832567605,0.0,0.2777061528080539,1.0,0.8408296519479228,1.0,0.7211089956495876,0.0,0.8084491291026963,1.0,0.9477447834762245,0.0,0.9762986385285888,0.0,0.04839840203374049,0.0,0.1902404213666693,1.0,0.37256691775441086,0.0,0.9150248393907922,0.0,0.9885941310614996,0.0,0.10690142766504934,1.0,0.8548269789684142,0.0,0.03871740302149738,1.0,0.5713862955606442,0.0,0.6748571508783304,0.0,0.055165514340505116,1.0,0.4747983355945028,0.0,0.9671859090555534,0.0,0.4711510712111923,0.0,0.7890919385332218,0.0,0.38769515688576095,0.0,0.6392618153964085,0.0,0.16349963261716433,0.0,0.5023817879669582,0.0,0.7128358916515559,1.0,0.36930687654733274,0.0,0.37076011536074893,1.0,0.27861523315859055,0.0,0.7970596849990872,0.0,0.3532138225282095,0.0,0.26209519774152334,0.0,0.6895516459399306,0.0,0.385328305384534,1.0,0.9399483561922454,0.0,0.8032019049055499,0.0,0.36409972024626913,0.0,0.9876549832089139,0.0,0.7254234592419513,0.0,0.18241629140944865,0.0,0.8672165132703351,0.0,0.9783146198386719
S-CPI_sqrt,300,31.093740463256836,-0.006916779495762082,0.0,0.499960472734753,0.0,0.497034736824384,1.0,0.49425176577569474,1.0,0.4991476826226489,0.0,0.49520671832196106,0.0,0.5040772931983163,0.0,0.5026433305382173,0.0,0.4981211431623983,0.0,0.4986661211434397,1.0,0.5013696133305504,1.0,0.49829533922201774,0.0,0.5013818527931638,1.0,0.5050651536802898,0.0,0.5049867143842998,0.0,0.49589118564014373,0.0,0.4960419400507971,1.0,0.49616770361893575,0.0,0.5037142949948974,0.0,0.5080178411088226,0.0,0.5003466740029798,1.0,0.5028263687089789,0.0,0.49829096997928113,1.0,0.5015247004151073,0.0,0.5082273890402083,0.0,0.4925762030511782,1.0,0.4999126567975421,0.0,0.5067842816660396,0.0,0.4980807082406378,0.0,0.5038637799272239,0.0,0.5014984320965469,0.0,0.5011138517825751,0.0,0.49591644496680537,0.0,0.49661610687574675,0.0,0.5026626714477898,1.0,0.4990894058928351,0.0,0.5003948024675673,1.0,0.4984795186501168,0.0,0.5047288796735802,0.0,0.5008624838816742,0.0,0.5001990754658759,0.0,0.503505460526505,0.0,0.5018840021931,1.0,0.5097209190062749,0.0,0.5013671808524743,0.0,0.4994293921916465,0.0,0.5029285149163735,0.0,0.5008741997045045,0.0,0.49644095508861674,0.0,0.5048589374871951,0.0,0.5095435697729287
S-CPI_n,300,31.107508897781372,-0.006916779495762082,0.0,0.4760928679378358,0.0,0.4811597580551262,1.0,0.4508740249250608,1.0,0.5132628657409773,0.0,0.4722310971198532,0.0,0.5212310224565426,0.0,0.5411321775783372,0.0,0.4890165066031648,0.0,0.5022603734043448,1.0,0.5068115165685374,1.0,0.5018995672923824,0.0,0.5163779836528136,1.0,0.5498408722486804,0.0,0.5516729123703504,0.0,0.4545719084435323,0.0,0.45350425028568286,1.0,0.4689239211352398,0.0,0.554135619427721,0.0,0.5804323913802438,0.0,0.4913943958935572,1.0,0.515354951373698,0.0,0.47531746645916534,1.0,0.5023139558053916,0.0,0.5024452104537711,0.0,0.4368754240043504,1.0,0.5014172234361343,0.0,0.574896859790701,0.0,0.5215002393510427,0.0,0.5445370498812404,0.0,0.5024214116290994,0.0,0.49853083483362887,0.0,0.44771468681945326,0.0,0.4944862304734558,0.0,0.5270256478700512,1.0,0.45758795797296714,0.0,0.5009864371618135,1.0,0.4833966697092073,0.0,0.5354834669240832,0.0,0.5027658080465152,0.0,0.49362729123461285,0.0,0.5420136908377897,0.0,0.4775019983873764,1.0,0.541789491544187,0.0,0.4938260900012653,0.0,0.4871727985735951,0.0,0.5352847200620634,0.0,0.5186228962014885,0.0,0.489079708647805,0.0,0.554433568625666,0.0,0.565559340645966
S-CPI_bt,300,31.410438537597656,-0.006916779495762082,0.0,0.4899739639458177,0.0,0.4869121544519479,1.0,0.47135187140423257,1.0,0.4914978196439327,0.0,0.4484599732268122,0.0,0.5198354651424708,0.0,0.524898588546878,0.0,0.49546715845865485,0.0,0.4961747984438516,1.0,0.5089914422142551,1.0,0.48229044929080045,0.0,0.5229990050074186,1.0,0.5389119926729079,0.0,0.5517325101060747,0.0,0.46728784020320546,0.0,0.4480644377532558,1.0,0.4841450009409212,0.0,0.5523903486009158,0.0,0.5738357628601876,0.0,0.4928651984308719,1.0,0.5170110683609082,0.0,0.4801804071538419,1.0,0.49551269684617366,0.0,0.5493402364901188,0.0,0.42825220176301326,1.0,0.4994799247047765,0.0,0.5654926099736849,0.0,0.5049610916842647,0.0,0.5622233585227838,0.0,0.5100428262568764,0.0,0.5106202398783592,0.0,0.4609680859899813,0.0,0.48705887679603366,0.0,0.5067315420418803,1.0,0.48781558735005104,0.0,0.4811381535477437,1.0,0.4858325811030771,0.0,0.5348854451505263,0.0,0.5186866538474043,0.0,0.48686217464583137,0.0,0.5506136428965483,0.0,0.48988440737735595,1.0,0.5776727793448703,0.0,0.5026811608534082,0.0,0.4862970624383945,0.0,0.5385768655282461,0.0,0.5125346804601658,0.0,0.47612895589799487,0.0,0.5557299779128714,0.0,0.6185181181731106
