method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,26.06834602355957,-0.1256955781297624,0.0,0.10922596283319774,0.0,0.6165144511930234,0.0,0.13403448541643082,0.0,0.5041550821352385,1.0,0.14055491582426038,0.0,0.8124730237581721,0.0,0.5282304462406537,1.0,0.6659876140246186,1.0,0.3672674419515125,0.0,0.7198287313009382,0.0,0.19410129278911914,0.0,0.36891280088880996,0.0,0.9523545129326167,0.0,0.08745853356784883,1.0,0.23356421425346863,0.0,0.7377401754356175,0.0,0.5907886810996601,0.0,0.21320106585327803,0.0,0.07190184231381214,0.0,0.39430476607585874,0.0,0.9090748725056883,0.0,0.6901783876737424,0.0,0.02973983052090301,0.0,0.5184613367353986,1.0,0.2805248105787348,0.0,0.9121681606556802,1.0,0.3222316709356978,0.0,0.5573795187454123,0.0,0.6643516043797897,0.0,0.7018881579541965,1.0,0.11943643321703445,0.0,0.5413974477733301,0.0,0.10129277605140596,1.0,0.48143457735894246,1.0,0.4992875032727405,0.0,0.4298110317351589,0.0,0.48857933193937175,0.0,0.6791344497098574,0.0,0.6635508014875318,0.0,0.35697361555233154,0.0,0.5630052178986915,0.0,0.12034317848607545,0.0,0.4362033469303983,1.0,0.753962193210307,0.0,0.41721243865894697,0.0,0.770959296202589,1.0,0.1380847734123869,0.0,0.24325357396906155,1.0,0.450367871000675,0.0,0.5940900917856116
CPI,300,4.282885313034058,-0.1256955781297624,0.0,0.3377311524705273,0.0,0.2680429348098719,0.0,0.3035905899302189,0.0,0.9258677757203078,1.0,0.6813738713326235,0.0,0.03452389423813219,0.0,0.372861100758794,1.0,0.8869756524630498,1.0,0.0058940011437004685,0.0,0.9159736964404281,0.0,0.8347885192009441,0.0,0.5676354593949694,0.0,0.27037895946085677,0.0,0.6742733709274078,1.0,0.9265938503787756,0.0,0.19954797347259118,0.0,0.5682450079137642,0.0,0.07985134197886706,0.0,0.4315161689894261,0.0,0.2720020930265601,0.0,0.8855516723259572,0.0,0.11956281936360597,0.0,0.63578685299315,0.0,0.9125917374444281,1.0,0.05195102150744729,0.0,0.7940111291683389,1.0,0.005843753617422375,0.0,0.12835251256118185,0.0,0.17559648311778508,0.0,0.40809208371560113,1.0,0.674724371608319,0.0,0.22982040552897343,0.0,0.39169757183426307,1.0,0.4925770346555222,1.0,0.9398812436814195,0.0,0.9947928289235022,0.0,0.2735218924601548,0.0,0.7991166365603823,0.0,0.4842949810257566,0.0,0.7405006487805385,0.0,0.2335304059688263,0.0,0.4778317160050671,0.0,0.315983859487903,1.0,0.2622425044161202,0.0,0.4406650820066119,0.0,0.8233497044483544,1.0,0.5623643590551961,0.0,0.41645671139927704,1.0,0.03509726328163205,0.0,0.7018936274396685
CPI_sqrt,300,4.268028020858765,-0.1256955781297624,0.0,0.4582460620759033,0.0,0.5164809742827416,0.0,0.46405090037617164,0.0,0.675524126545647,1.0,0.5579713818373891,0.0,0.5657153812232789,0.0,0.4724111300627048,1.0,0.4764408948085587,1.0,0.35401199771418923,0.0,0.7085455813748843,0.0,0.796687163393354,0.0,0.6522643006994188,0.0,0.23557353734189002,0.0,0.45184382296194653,1.0,0.49914351417071445,0.0,0.588394145992257,0.0,0.46887261347365505,0.0,0.3482979616923129,0.0,0.5242833757554862,0.0,0.5978119773931868,0.0,0.6328763876265886,0.0,0.49420440772259583,0.0,0.5099085912221636,0.0,0.5691615857377006,1.0,0.17427257096845522,0.0,0.49428514621053954,1.0,0.17530617930032216,0.0,0.33328645951881963,0.0,0.7292236022263314,0.0,0.4845633612999671,1.0,0.48978068194335,0.0,0.7031198446610417,0.0,0.41058516734575096,1.0,0.48539304720848553,1.0,0.7507682159858804,0.0,0.8988631768180866,0.0,0.46445334939035604,0.0,0.6192882112163164,0.0,0.5802640752382927,0.0,0.77472304345787,0.0,0.5971547159326466,0.0,0.31361609535521684,0.0,0.6722416411077319,1.0,0.5377481742102492,0.0,0.4550960914072419,0.0,0.4318707517637952,1.0,0.8259226119242544,0.0,0.3674244883514055,1.0,0.09375746784522299,0.0,0.6214822119298652
CPI_n,300,4.258555173873901,-0.1256955781297624,0.0,0.7816375960351648,0.0,0.48070482662755243,0.0,0.1025702923130688,0.0,0.6316237636849057,1.0,0.8653248366092012,0.0,0.9429419733135185,0.0,0.3526398554920738,1.0,0.9654407228046036,1.0,0.033396447819027675,0.0,0.9544390138261538,0.0,0.6427109830109267,0.0,0.779291890101246,0.0,0.06323993908622684,0.0,0.8340363720141889,1.0,0.7187287645172917,0.0,0.821171801190772,0.0,0.7066336956423998,0.0,0.193382595709284,0.0,0.2534447640609984,0.0,0.3977294092549541,0.0,0.8684503407213968,0.0,0.754993917712423,0.0,0.2789257665824942,0.0,0.575796842916839,1.0,0.3004941684438066,0.0,0.725171385960224,1.0,0.009183850456739138,0.0,0.4123957051531783,0.0,0.050263302266371185,0.0,0.4995162128191848,1.0,0.36562714733681423,0.0,0.49503175598242427,0.0,0.26301893079200855,1.0,0.9020335258184149,1.0,0.7156292595554586,0.0,0.7937736521053722,0.0,0.7628007312115351,0.0,0.6968651437348667,0.0,0.309002911136534,0.0,0.7093702047706945,0.0,0.40344084764617877,0.0,0.1785984807357312,0.0,0.811488808526373,1.0,0.50659991094584,0.0,0.7800388798407778,0.0,0.15970870599979692,1.0,0.1905243309089299,0.0,0.12615665714681457,1.0,0.008629082202980528,0.0,0.7485096910832637
CPI_bt,300,4.4428510665893555,-0.1256955781297624,0.0,0.5670646251922278,0.0,0.9120657485714088,0.0,0.17675124082473054,0.0,0.9892353822249461,1.0,0.4391871987487626,0.0,0.9858460735694423,0.0,0.3183674290744825,1.0,0.5490543593684081,1.0,3.9486395253285323e-10,0.0,0.5314821814755296,0.0,0.99850153306996,0.0,0.03323306033047304,0.0,0.735590455451157,0.0,0.16166539954112935,1.0,0.9885986043762114,0.0,0.13855433475195117,0.0,0.930989497004993,0.0,7.817901074743248e-05,0.0,0.8179011620771042,0.0,0.5473865393266343,0.0,0.9793312048301961,0.0,0.7864966111376257,0.0,0.9019823145049384,0.0,0.9961682798202711,1.0,0.039740816025113895,0.0,0.9648415353695354,1.0,5.938916451569858e-06,0.0,0.01235955573088753,0.0,0.007093467511599464,0.0,0.525279175905103,1.0,0.8789389782109268,0.0,0.9177655570251113,0.0,0.8420271863583896,1.0,0.9790810145956398,1.0,0.9996163714752014,0.0,0.9814078580947007,0.0,0.01437115980564092,0.0,0.22059552688514739,0.0,0.24979794987787723,0.0,0.9990887883790729,0.0,0.9997989761051985,0.0,0.033839089088569356,0.0,0.8601738275113475,1.0,0.0003676140141670445,0.0,0.5825316631634744,0.0,0.01601298814556689,1.0,0.745935878105612,0.0,0.3671094964259838,1.0,0.008277634199666454,0.0,0.8426019107233496
CPI_sqd,300,4.44249701499939,-0.1256955781297624,0.0,0.9994255249601315,0.0,0.6485236392206448,0.0,0.6011523945488615,0.0,0.36672288344714976,1.0,0.860275468728016,0.0,0.0006165030885383134,0.0,0.42044002387252993,1.0,0.9838946152227427,1.0,3.5837160932830356e-17,0.0,0.9999999849135222,0.0,0.9794516442481649,0.0,0.8698967729880773,0.0,8.221789719688196e-07,0.0,0.9999957607126773,1.0,0.3847950512656577,0.0,0.8898784405079483,0.0,0.002026083713660868,0.0,0.040068333816358555,0.0,0.8363726147877375,0.0,0.048347437610938945,0.0,0.9988807143311668,0.0,0.03015521928472008,0.0,0.9626903837437889,0.0,0.9992504372848504,1.0,0.008314696195946086,0.0,0.23272175002520074,1.0,0.11306048414785186,0.0,0.8196194231150433,0.0,0.9952398067936171,0.0,0.503014533463677,1.0,0.9686860709636765,0.0,0.9998451188573114,0.0,0.9310200993705028,1.0,0.9921724775598897,1.0,0.9999700416908113,0.0,0.9823686079559808,0.0,4.018278764066569e-05,0.0,0.5856064820947384,0.0,0.9982339397610472,0.0,0.9998583633570571,0.0,0.2970010077040875,0.0,0.1594116291573452,0.0,0.9890144050004792,1.0,2.2905305615852585e-18,0.0,0.7849012606026169,0.0,0.692045662574267,1.0,0.38455940416640644,0.0,0.9758228454996982,1.0,0.06683110091570411,0.0,0.9995226315002863
S-CPI,300,4.433298349380493,-0.1256955781297624,0.0,0.775166635048839,0.0,0.6877307776283285,0.0,0.723825230857438,0.0,0.8926204699676514,1.0,0.8897583271320133,0.0,0.7116150400145018,0.0,0.8730034310476409,1.0,0.43884325764968096,1.0,0.020491993821335045,0.0,0.9788654875561477,0.0,0.93194836385744,0.0,0.8418485547660804,0.0,0.25703752784301903,0.0,0.6610474575020462,1.0,0.6525574271335036,0.0,0.8369911923547859,0.0,0.7431727873643146,0.0,0.07124632240775328,0.0,0.8660867061345222,0.0,0.7013075809510744,0.0,0.952925295887829,0.0,0.6366132159702147,0.0,0.5569353833289796,0.0,0.745721185163734,1.0,0.27494696920093165,0.0,0.8214988717798393,1.0,0.025265310847487222,0.0,0.5334665118853092,0.0,0.6066870823303333,0.0,0.9130469750526646,1.0,0.878565166697792,0.0,0.3920969643504332,0.0,0.7089437808539449,1.0,0.9441501871936978,1.0,0.9630273824507875,0.0,0.993901758109819,0.0,0.17807424644718173,0.0,0.7520617014963683,0.0,0.805410274092841,0.0,0.9456788102173221,0.0,0.8829405417415555,0.0,0.5647259106045133,0.0,0.8562051751482158,1.0,0.2815464878666454,0.0,0.5721646855377919,0.0,0.3384499543898323,1.0,0.9501770959351887,0.0,0.6053459972614073,1.0,0.016163101893157037,0.0,0.811222683120178
S-CPI_sqrt,300,4.442978620529175,-0.1256955781297624,0.0,0.7049753073058985,0.0,0.6220315787813612,0.0,0.7153792236705099,0.0,0.859073649117155,1.0,0.6710497926887317,0.0,0.6635467614653625,0.0,0.6567634028936002,1.0,0.5772136518045348,1.0,0.23633601161834267,0.0,0.7531236887626318,0.0,0.6607155531979945,0.0,0.7474099862629096,0.0,0.3314374655131883,0.0,0.6193154188674515,1.0,0.7076140233834799,0.0,0.5475760062155781,0.0,0.6123161985222056,0.0,0.37064834465944096,0.0,0.699606221599328,0.0,0.4932351667217308,0.0,0.8298503111811888,0.0,0.7179548637100878,0.0,0.6124866235872294,0.0,0.6143767133744611,1.0,0.2944453255333192,0.0,0.6055576927622516,1.0,0.12139364219141191,0.0,0.4237822113945868,0.0,0.4957344745950205,0.0,0.66424851288555,1.0,0.8460553892424634,0.0,0.5220785031908737,0.0,0.647084959919703,1.0,0.7922319911412316,1.0,0.8010665478789321,0.0,0.9425860647940056,0.0,0.42091669522089065,0.0,0.5920787614463462,0.0,0.6587009010587237,0.0,0.7726717644637346,0.0,0.47778371461664787,0.0,0.5964811823896845,0.0,0.6282125980660422,1.0,0.40951677962367317,0.0,0.5534491774095094,0.0,0.40456690210707674,1.0,0.7738447018148995,0.0,0.4859912830849325,1.0,0.05369605736804645,0.0,0.7691180091887969
S-CPI_n,300,4.434063911437988,-0.1256955781297624,0.0,0.758725156594608,0.0,0.5423057247583686,0.0,0.7607336338175484,0.0,0.8759992615969749,1.0,0.906780287454872,0.0,0.5652885580056692,0.0,0.5565496443015305,1.0,0.8026402679652263,1.0,0.01971313178925997,0.0,0.8799096159241561,0.0,0.9276086649762545,0.0,0.6544307425018211,0.0,0.20423838477519618,0.0,0.6368662668316667,1.0,0.840051798215155,0.0,0.5163702041173199,0.0,0.7392849464717577,0.0,0.1295586678026171,0.0,0.838528802812591,0.0,0.8947901294558492,0.0,0.9669522840226051,0.0,0.6391589309801768,0.0,0.8144649134795922,0.0,0.7122407259036576,1.0,0.16127538345557718,0.0,0.7715712944787041,1.0,0.016070952762386317,0.0,0.5918212101823359,0.0,0.31363876539635305,0.0,0.8183360661407304,1.0,0.9218852286168283,0.0,0.6086313775213906,0.0,0.38625423372120615,1.0,0.8884198680946165,1.0,0.9797089076790558,0.0,0.9965996430043509,0.0,0.2977683443260166,0.0,0.3996027774902051,0.0,0.682793762778956,0.0,0.875764615934417,0.0,0.5166500095726324,0.0,0.6311282708048206,0.0,0.8977863694901371,1.0,0.39820836559826,0.0,0.5053029759123052,0.0,0.2737836184783546,1.0,0.8638854407174242,0.0,0.3547256029083352,1.0,0.018931291141572198,0.0,0.8142815994298147
S-CPI_bt,300,4.625933885574341,-0.1256955781297624,0.0,0.8138196809525271,0.0,0.6702805064065377,0.0,0.8108618919513171,0.0,0.949628557193807,1.0,0.8570131379645338,0.0,0.9450906063629452,0.0,0.8601705186641053,1.0,0.9800817408008689,1.0,5.1759122397242215e-06,0.0,0.9958580446677289,0.0,0.9988796097882868,0.0,0.9662575810215064,0.0,0.007913297015084272,0.0,0.9704702665523985,1.0,0.8456570177349501,0.0,0.775129718431617,0.0,0.7785193826895963,0.0,0.004290119539762869,0.0,0.7226254640585867,0.0,0.8783033141308605,0.0,0.9992670722276029,0.0,0.6785677650079118,0.0,0.8082586862522714,0.0,0.8412184254836081,1.0,0.12794022544943284,0.0,0.8892145244497092,1.0,0.0033575103140350273,0.0,0.597507575443439,0.0,0.8963090199777082,0.0,0.9868877563330176,1.0,0.8713997814934954,0.0,0.6854153353509562,0.0,0.6935890654437099,1.0,0.7668844877110883,1.0,0.9998439367869233,0.0,0.999942960010286,0.0,0.026452987941639437,0.0,0.7087984614712144,0.0,0.9738584419300952,0.0,0.9973137608208416,0.0,0.772707573194652,0.0,0.4785615961927392,0.0,0.83921493153689,1.0,0.27989749930327623,0.0,0.6505573280094906,0.0,0.04345959013999749,1.0,0.9047082252174052,0.0,0.32575144097029635,1.0,0.000328262626535,0.0,0.8960669871710822
