method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,9.318921327590942,-0.8655993834132061,0.0,0.5845143717504255,0.0,0.8728068303014593,1.0,0.47340780025232077,0.0,0.47778502574472814,0.0,0.14606949245906775,0.0,0.6803360846344968,0.0,0.24434558198609535,0.0,0.9884439478219486,1.0,0.25867442292318477,1.0,0.3184110148528837,0.0,0.9034370173504722,0.0,0.09466622434875371,0.0,0.7548014185651916,0.0,0.3045881300028993,0.0,0.770597742212846,0.0,0.7951509550938161,0.0,0.02910983172499504,1.0,0.928711868579345,0.0,0.2888450761731587,0.0,0.20098438743885394,0.0,0.915575913867827,0.0,0.11564883861907038,0.0,0.0028862486530972786,0.0,0.17130628278949755,0.0,0.9464191544337407,1.0,0.07179069444199937,0.0,0.6043922262611183,0.0,0.3841998840003603,0.0,0.1789711346436189,0.0,0.3007285341538781,1.0,0.6715403499778119,1.0,0.5946378032253987,0.0,0.9531193055111935,1.0,0.14356970010389514,0.0,0.2035521363285384,0.0,0.6586769359667783,0.0,0.6379996730015741,1.0,0.1255051189655858,1.0,0.06032307129752357,0.0,0.3954370432278387,0.0,0.12345893065827929,0.0,0.4114386145399036,0.0,0.7007071184053866,0.0,0.2568507234105182,0.0,0.8528915442430065,1.0,0.3049371760563616,0.0,0.2770558652670211,0.0,0.6192993846134622,0.0,0.8745695203321286,1.0,0.1784535221107073
CPI,300,3.5018253326416016,-0.8655993834132061,0.0,0.6381283724860419,0.0,0.74472456483439,1.0,0.07842940392345042,0.0,0.5016005847064466,0.0,0.24339045178162122,0.0,0.8198191098702794,0.0,0.12418301414521221,0.0,0.3545250749759741,1.0,0.6364343614842289,1.0,0.7140938246240567,0.0,0.5105734233992578,0.0,0.6026060667162024,0.0,0.9054704284901032,0.0,0.9075123516682693,0.0,0.7748975402431344,0.0,0.4755546412237485,0.0,0.8706940630395203,1.0,0.39731764831409244,0.0,0.2775807560136192,0.0,0.5356391558281853,0.0,0.04158175936452553,0.0,0.5583914081159768,0.0,0.39682976348715265,0.0,0.4863624286233682,0.0,0.016512137177011978,1.0,0.18662191462711053,0.0,0.26224702737338745,0.0,0.8586591958612271,0.0,0.27554884125413637,0.0,0.9952861032664806,1.0,0.7849990233264043,1.0,0.5066340834797133,0.0,0.19995592255738615,1.0,0.4013176573713654,0.0,0.8855795679694791,0.0,0.8247459320914944,0.0,0.27692227019855564,1.0,0.5839462364163266,1.0,0.8038210054811512,0.0,0.5140081174104452,0.0,0.035946817538810544,0.0,0.7769042147520984,0.0,0.3311043473958078,0.0,0.938212234547176,0.0,0.008560921947773756,1.0,0.04641181906725994,0.0,0.10616285036835843,0.0,0.13417312866925335,0.0,0.33238534059441915,1.0,0.8771104835685588
CPI_sqrt,300,3.4828684329986572,-0.8655993834132061,0.0,0.5753358020093149,0.0,0.5377857092292133,1.0,0.4535057747379368,0.0,0.45346046014762936,0.0,0.36022792443024004,0.0,0.45581052504588365,0.0,0.5929072846626146,0.0,0.5739405379439624,1.0,0.4308261431941989,1.0,0.5137853702317303,0.0,0.5192639416223075,0.0,0.4249385834733301,0.0,0.526347656183626,0.0,0.6332642324646558,0.0,0.5599862824890317,0.0,0.573147621442756,0.0,0.5733131553306974,1.0,0.4933756303566026,0.0,0.48522629667814837,0.0,0.44656465444479976,0.0,0.3503818089717543,0.0,0.4273303561340892,0.0,0.3601169149322264,0.0,0.42748044888095765,0.0,0.390452858253844,1.0,0.4671101907187527,0.0,0.41366226894620256,0.0,0.5135366166203801,0.0,0.44054966052001027,0.0,0.5293491898449669,1.0,0.629974352675092,1.0,0.437171229005962,0.0,0.5433914347758686,1.0,0.3514536219156448,0.0,0.6405196479581299,0.0,0.5233828586936645,0.0,0.5232549613794178,1.0,0.4798334209238084,1.0,0.7184961878602166,0.0,0.3726247585455318,0.0,0.4174151418284927,0.0,0.6047419387846698,0.0,0.4788684082106049,0.0,0.5639434673597133,0.0,0.3561671694768573,1.0,0.4397535685121913,0.0,0.4439536683172772,0.0,0.5005184703659666,0.0,0.4978092202575015,1.0,0.4303266067725622
CPI_n,300,3.4798905849456787,-0.8655993834132061,0.0,0.6398972932866962,0.0,0.3718048490643904,1.0,0.4424912343289689,0.0,0.5419327719757687,0.0,0.08657242737046078,0.0,0.5506593133527463,0.0,0.26578822187918544,0.0,0.81951308632743,1.0,0.1783179135874955,1.0,0.21241184078886494,0.0,0.5950438750179755,0.0,0.09279573600119062,0.0,0.8906011114319534,0.0,0.8086746453759939,0.0,0.5404295328140537,0.0,0.35672707659779446,0.0,0.7093977418089658,1.0,0.40857412830093465,0.0,0.5665650743048094,0.0,0.49225556288130146,0.0,0.3436715108815632,0.0,0.44314900956541453,0.0,0.27569613464376896,0.0,0.5080336070675053,0.0,0.6489896363481359,1.0,0.36627365062944617,0.0,0.5878413968428062,0.0,0.7214812786207796,0.0,0.4442388603571915,0.0,0.6298295052109082,1.0,0.6212353648400092,1.0,0.2022494631406448,0.0,0.07136193205002134,1.0,0.09401814990133112,0.0,0.5124740745089019,0.0,0.31150479402022396,0.0,0.44656791785336014,1.0,0.3182604842623523,1.0,0.828656844768862,0.0,0.6582576451530877,0.0,0.02485200578126463,0.0,0.7578021429977977,0.0,0.71351364508885,0.0,0.88040718878489,0.0,0.24901158416924668,1.0,0.13289088357122197,0.0,0.1712907732848873,0.0,0.8013544233995344,0.0,0.2996517525180552,1.0,0.5616403242856779
CPI_bt,300,3.6675209999084473,-0.8655993834132061,0.0,0.9998348235139048,0.0,0.8774443514659291,1.0,0.054666025202744356,0.0,0.9994315328316672,0.0,0.024448489981729358,0.0,0.5746659698656823,0.0,0.5399709082644448,0.0,0.9997937591302606,1.0,5.375466458289483e-11,1.0,0.6525646579517811,0.0,0.31428022192516764,0.0,1.1213493670030634e-07,0.0,0.9631824950384124,0.0,0.9999997576339648,0.0,0.4457492620736838,0.0,0.07695586580152707,0.0,0.9597400885896499,1.0,0.01610821750506299,0.0,0.0004797266446226362,0.0,0.999815761997427,0.0,2.133340796134313e-08,0.0,0.0026819674221263616,0.0,7.641931051452898e-09,0.0,0.5852525306606209,0.0,0.24450302371341426,1.0,0.07355375674097464,0.0,0.05775592555487472,0.0,0.9692439995931538,0.0,0.9851319672377136,0.0,0.9821102346430702,1.0,0.0002859032987041841,1.0,0.5666536241116162,0.0,0.5571541973644478,1.0,0.4981717999265012,0.0,0.9995505614999601,0.0,8.172512005391813e-06,0.0,0.021288239534468553,1.0,0.19149926559788488,1.0,0.9342797674897313,0.0,0.9307496882238913,0.0,6.4502712209813504e-06,0.0,0.9999999182411763,0.0,0.9999999942991338,0.0,0.9932258406316775,0.0,2.9321346832252708e-08,1.0,3.7233579410162896e-05,0.0,0.9683452925489671,0.0,0.7687285332518705,0.0,0.006157041011037533,1.0,0.12225420237471657
CPI_sqd,300,3.6621081829071045,-0.8655993834132061,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.872519602664928e-11,0.0,2.1971881705977875e-122,0.0,1.0,0.0,6.575710592998567e-250,1.0,1.0,1.0,3.337352892176554e-134,0.0,0.984380465047718,0.0,1.8896074301604933e-71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.903935044817192e-119,0.0,0.01865611160160315,0.0,0.0,0.0,0.0,0.0,8.590143208784259e-87,0.0,3.790111439086796e-137,0.0,0.9999999999969703,1.0,0.0,0.0,1.0880081519479508e-06,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.328397718279201e-60,1.0,4.600664820375937e-14,0.0,0.9999999999999999,0.0,8.505712205288382e-69,0.0,1.7066624774383886e-12,1.0,0.9999999999997535,1.0,5.405091625296367e-116,0.0,1.5734223812443546e-68,0.0,0.0,0.0,1.0,0.0,0.971523168870759,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.954519970371981e-244,1.0,2.3261722551150845e-13
S-CPI,300,3.6440069675445557,-0.8655993834132061,0.0,0.9631784406777373,0.0,0.890182654631913,1.0,0.2278309588926452,0.0,0.8265312152486981,0.0,0.30049352031223747,0.0,0.7528699076536847,0.0,0.7870209434714617,0.0,0.9704153820154852,1.0,0.5789768401599735,1.0,0.4970452658075486,0.0,0.7910377295645843,0.0,0.14774183839115795,0.0,0.9623147943932658,0.0,0.9891627806698439,0.0,0.8475703645776204,0.0,0.8634200391666464,0.0,0.9886694497145738,1.0,0.7771771788669757,0.0,0.4676407384664924,0.0,0.8584739183802905,0.0,0.04421994595984311,0.0,0.5379921246482097,0.0,0.22550409856460185,0.0,0.5831486828489837,0.0,0.6224675672143526,1.0,0.5846461138708856,0.0,0.4375141542002427,0.0,0.9579414734486786,0.0,0.6194564093811578,0.0,0.9314887317749749,1.0,0.9117035213390703,1.0,0.5504534530495477,0.0,0.5694601310372778,1.0,0.10806657685439736,0.0,0.8723348518224997,0.0,0.8085442980847544,0.0,0.5040663854676991,1.0,0.5989925314934573,1.0,0.9979277323958009,0.0,0.7053032786454343,0.0,0.18161741022433792,0.0,0.9674527499843746,0.0,0.6893451030740004,0.0,0.9284886650018083,0.0,0.06075399804230607,1.0,0.015381704892260756,0.0,0.3447215080745011,0.0,0.9654787637435458,0.0,0.6560193143528303,1.0,0.902742025359268
S-CPI_sqrt,300,3.6567320823669434,-0.8655993834132061,0.0,0.7239447615464358,0.0,0.6394757213744323,1.0,0.5334296450083854,0.0,0.5957763590522861,0.0,0.36290385978037754,0.0,0.5414864965614431,0.0,0.5543516089877218,0.0,0.6527062751672116,1.0,0.5488808336091793,1.0,0.48700463202495387,0.0,0.6448734432873225,0.0,0.38128624854419946,0.0,0.7559298377231598,0.0,0.6880354006826288,0.0,0.5663405117241758,0.0,0.549027332456859,0.0,0.6582322854159659,1.0,0.6294409259541591,0.0,0.5114254702007907,0.0,0.5042042979673171,0.0,0.4051351772806872,0.0,0.5249021403235337,0.0,0.4276850483555316,0.0,0.5083379987164922,0.0,0.4678932941330592,1.0,0.4736705634544172,0.0,0.41448996808717,0.0,0.724544686557899,0.0,0.5377112175992883,0.0,0.6508654252007706,1.0,0.647611336005209,1.0,0.4522994782044787,0.0,0.6031592141578069,1.0,0.4370318940748094,0.0,0.7355420432892843,0.0,0.5961485471053762,0.0,0.5075010822459501,1.0,0.49077598919247784,1.0,0.703136237200884,0.0,0.4614317836456062,0.0,0.3378992373479486,0.0,0.7383815870703065,0.0,0.6168132628878659,0.0,0.6583523007734036,0.0,0.34771651392615144,1.0,0.3922624832570142,0.0,0.43926916247363496,0.0,0.6164832355625369,0.0,0.5118303832791288,1.0,0.6896799806098832
S-CPI_n,300,3.6468725204467773,-0.8655993834132061,0.0,0.9547107508079794,0.0,0.8856379254809236,1.0,0.33243268533645737,0.0,0.8158213046697917,0.0,0.26218215629874986,0.0,0.5819218608636451,0.0,0.6252635417754082,0.0,0.7804641152948802,1.0,0.5211375119791085,1.0,0.6919279943684383,0.0,0.8476325838627097,0.0,0.20512023326477913,0.0,0.9256735234515743,0.0,0.9675141270881118,0.0,0.8427848753330272,0.0,0.5886049994417439,0.0,0.9291811351880781,1.0,0.7963537771169665,0.0,0.5043008516874362,0.0,0.6153255179914173,0.0,0.16752467339209298,0.0,0.5468603855502179,0.0,0.24914838244593807,0.0,0.49027779753008904,0.0,0.6103771983756192,1.0,0.7343038604650333,0.0,0.3921319618417354,0.0,0.9269213545562593,0.0,0.6441708345934006,0.0,0.898982770688581,1.0,0.7140883805648666,1.0,0.5086237847121797,0.0,0.7758902148542159,1.0,0.32604273045821375,0.0,0.8843593378484123,0.0,0.8105764047919404,0.0,0.39572807272427996,1.0,0.39083065946810225,1.0,0.9429147281868222,0.0,0.5951022608894125,0.0,0.17287134655513525,0.0,0.9246539141077096,0.0,0.8598144635162355,0.0,0.9535450622417873,0.0,0.13147748216192923,1.0,0.1257357689969713,0.0,0.46163667560556404,0.0,0.8552736034300694,0.0,0.4512624365434176,1.0,0.8846402530970877
S-CPI_bt,300,3.8322901725769043,-0.8655993834132061,0.0,0.999999999999783,0.0,0.9995918465559668,1.0,0.729107943847261,0.0,0.9993124161467183,0.0,0.00042431244692017083,0.0,0.8227783051663472,0.0,0.7562718587872925,0.0,0.9999784043278074,1.0,0.666249530396218,1.0,0.1823537977494465,0.0,0.9716848879414746,0.0,0.050556591162976186,0.0,0.999999999999998,0.0,0.9999999988711239,0.0,0.9998940259754168,0.0,0.9330824834168663,0.0,0.9999999999999868,1.0,0.9999994943518877,0.0,0.40244469437407526,0.0,0.8474331447251029,0.0,6.9213893213038104e-06,0.0,0.47596506106225517,0.0,0.08722514417015848,0.0,0.5954156271871036,0.0,0.7269712417178149,1.0,0.8835688208489716,0.0,0.25100648974564266,0.0,0.9999999999992095,0.0,0.9427911825114431,0.0,0.9999999512406234,1.0,0.9999998329435448,1.0,0.8259316334693659,0.0,0.6343480367877652,1.0,0.005533267005124759,0.0,0.9999999996969162,0.0,0.9854103254099501,0.0,0.6994015165107306,1.0,0.02417275914164388,1.0,0.9999999999977579,0.0,0.6674704723390047,0.0,0.00010925468362589715,0.0,0.9999999999998287,0.0,0.9996472289074506,0.0,0.9999999293184367,0.0,1.2055383773550775e-08,1.0,7.399648153533623e-08,0.0,0.03438031297424238,0.0,0.9999999396257615,0.0,0.4946891082549641,1.0,0.999995631664238
