method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,67.96982932090759,-0.04709419674177262,0.0,0.9999903420955023,0.0,0.9999964382966361,0.0,0.1811707964416207,0.0,0.9999999532988897,0.0,0.9817465494890933,0.0,0.01755847125508292,0.0,0.04922234904265099,0.0,5.903671810836286e-05,0.0,0.0790049360678895,0.0,0.010477786757383978,0.0,0.6734008711659214,0.0,0.9260274273014464,0.0,0.9999237183622831,0.0,0.6210540533458643,0.0,0.8323288660526147,0.0,0.0386845722614384,0.0,0.7501462107043775,0.0,3.333527634963307e-05,0.0,0.8084093752110001,0.0,4.166869978694532e-05,0.0,0.03483656754676301,0.0,0.9999991975343342,0.0,0.007705068198320286,1.0,0.05527505924280551,0.0,0.9999994396523701,0.0,0.0001892912142765768,0.0,0.9714373128642934,0.0,0.8856504423631244,0.0,0.37704229046950477,0.0,0.9992774085043542,0.0,0.0030182484625416173,0.0,0.9972373952852096,0.0,0.08504115747320129,0.0,0.6641354931567343,0.0,3.043906904309779e-08,0.0,0.9849962240596372,0.0,6.547994662042811e-07,0.0,0.0009348536979979505,0.0,0.0005062212703175195,0.0,0.5660120814100378,0.0,0.5240543758060299,0.0,0.18730517271041824,0.0,6.861726686846481e-07,0.0,0.9702015471080899,0.0,0.003941523940509284,0.0,0.9810128045991432,0.0,0.7205456610833662,0.0,0.0001850304337349673,0.0,0.3929407627150183,0.0,0.9765819089467253
CPI,300,4.04362154006958,-0.04709419674177262,0.0,0.4059576073256136,0.0,0.5678074017158216,0.0,0.7499359678379127,0.0,0.1268911750719895,0.0,0.722993610010828,0.0,0.10258709287582102,0.0,0.004405990653451095,0.0,0.6466658132430565,0.0,0.5361613065734196,0.0,0.8432706484070371,0.0,0.8181413860094506,0.0,0.7441774588238029,0.0,0.8748180447540983,0.0,0.8650046450020585,0.0,0.3809890662753016,0.0,0.18472689595395292,0.0,0.1584349245140071,0.0,0.6080427533266886,0.0,0.8552081561088288,0.0,0.8054816299287086,0.0,0.9154479958344965,0.0,0.0009085416507108897,0.0,0.4001340314276758,1.0,0.09746306691327017,0.0,0.20097729371919898,0.0,0.8048837339079268,0.0,0.21296102858307236,0.0,0.11816965825022774,0.0,0.7278335361517674,0.0,0.9170464959261091,0.0,0.7378076105063706,0.0,0.6455562227281207,0.0,0.05837546110148727,0.0,0.7567076017174761,0.0,0.44186413124149143,0.0,0.09642382892150986,0.0,0.5482257617153594,0.0,0.5276132445911972,0.0,0.4364496510168374,0.0,0.8939852092410925,0.0,0.8563998749353191,0.0,0.03944677052585536,0.0,0.62719043349198,0.0,0.9709582194919247,0.0,0.8994213057438445,0.0,0.2723633907765676,0.0,0.46002252991371434,0.0,0.43786230851672336,0.0,0.7483767139934934,0.0,0.817757216320725
CPI_sqrt,300,4.044840335845947,-0.04709419674177262,0.0,0.49028742767083583,0.0,0.5475390992310978,0.0,0.4776650629580766,0.0,0.47325852988503125,0.0,0.5418543970286854,0.0,0.5054700689583344,0.0,0.44400183257194453,0.0,0.4836964039400997,0.0,0.5149719218728073,0.0,0.5218462429628503,0.0,0.5139738088588793,0.0,0.5743715187631209,0.0,0.4691464948377648,0.0,0.49055112344930657,0.0,0.6053692853945926,0.0,0.46577702301629725,0.0,0.5233555149527559,0.0,0.40666254843683414,0.0,0.6100358150932803,0.0,0.5051542125047842,0.0,0.509140662435382,0.0,0.28923817448105194,0.0,0.5203936749881091,1.0,0.3913558873218962,0.0,0.5291465458666298,0.0,0.5242783783689349,0.0,0.4532994898582613,0.0,0.5026870731246721,0.0,0.474909451394175,0.0,0.36612932791393,0.0,0.5688730950859322,0.0,0.5221449278710288,0.0,0.40489033420042175,0.0,0.49632032594552256,0.0,0.4450735149859686,0.0,0.46971469517167586,0.0,0.5132864102883933,0.0,0.5089195500705717,0.0,0.3551910960551443,0.0,0.5649953729887236,0.0,0.6006417364942093,0.0,0.4180937616230774,0.0,0.5018237651361515,0.0,0.6030477856316948,0.0,0.502299103716836,0.0,0.5092260372205715,0.0,0.4000073943142586,0.0,0.5593738388623536,0.0,0.5390694186536934,0.0,0.5209683545024812
CPI_n,300,4.044818639755249,-0.04709419674177262,0.0,0.3125389167441778,0.0,0.5614329605763129,0.0,0.44771088626374844,0.0,0.6294532354659925,0.0,0.8311169764004034,0.0,0.39470810473146,0.0,0.30023958310794385,0.0,0.4621528853554575,0.0,0.45964907119548104,0.0,0.7055276552000098,0.0,0.47641292045337297,0.0,0.6575140840530214,0.0,0.14901285098901745,0.0,0.6671697533128665,0.0,0.4244062781838334,0.0,0.3838830582232316,0.0,0.4487303743949657,0.0,0.4926696043476832,0.0,0.7265807962524191,0.0,0.6851320105929336,0.0,0.7577716768421384,0.0,0.042811847287338035,0.0,0.8417177962243776,1.0,0.34493881016427463,0.0,0.38243571486517575,0.0,0.49304378761474454,0.0,0.7249903039651301,0.0,0.6066511937595603,0.0,0.28355772962347225,0.0,0.12218998059738934,0.0,0.6891804071831926,0.0,0.5024672183934789,0.0,0.23613899259946497,0.0,0.2634781215762629,0.0,0.6539334333206457,0.0,0.27984959863074443,0.0,0.5407643179725217,0.0,0.16724871918551137,0.0,0.36285842335483043,0.0,0.77991445772877,0.0,0.7879267560012766,0.0,0.5534528433562381,0.0,0.3540140287028,0.0,0.7780207105872798,0.0,0.4484299560224888,0.0,0.8347154226083466,0.0,0.31659115009026495,0.0,0.6352837710363297,0.0,0.48667014829051064,0.0,0.7458315904976794
CPI_bt,300,4.221838712692261,-0.04709419674177262,0.0,0.23435379605188883,0.0,0.9955147278038883,0.0,0.2698160145704787,0.0,0.3081956803716295,0.0,0.6677655304038859,0.0,0.17829145484711262,0.0,0.14750259201077975,0.0,0.4087271172986257,0.0,0.25574017071044775,0.0,0.9381660606375958,0.0,0.6707057445285252,0.0,0.7684655370672783,0.0,0.6126714418903582,0.0,0.9844253398850669,0.0,0.1864505005775955,0.0,0.3682755544142121,0.0,0.21597504442848697,0.0,0.0646415773605039,0.0,0.9685187429833096,0.0,0.7792475375721228,0.0,0.9922385875527632,0.0,2.0759529613673957e-09,0.0,0.9999993384354787,1.0,0.0010559712839669914,0.0,0.6283718212505538,0.0,0.9999999905755885,0.0,0.08259556385761557,0.0,0.5092395327660176,0.0,0.6316254650733939,0.0,0.30208619309781026,0.0,0.8630764499662692,0.0,0.9922169655899189,0.0,0.0009085826135566184,0.0,0.12728898761119456,0.0,0.049723526158517085,0.0,0.058931925991970495,0.0,0.5256279394497408,0.0,0.9164207815249772,0.0,0.011518453294828614,0.0,0.9898591078252743,0.0,0.9994022397947184,0.0,0.021143184623562707,0.0,0.06903561885033917,0.0,0.9999977075710794,0.0,0.7243147209998506,0.0,0.7593522897656975,0.0,0.1475453565265819,0.0,0.3429862117878453,0.0,0.6499609762801091,0.0,0.6791484194880368
CPI_sqd,300,4.224610328674316,-0.04709419674177262,0.0,6.48385507373047e-56,0.0,1.0,0.0,2.7359166730457964e-28,0.0,5.894602059553282e-117,0.0,0.9996572921090026,0.0,0.9999999999020724,0.0,3.451782245072897e-221,0.0,1.9051860209986475e-09,0.0,0.9999999759983651,0.0,0.9999965165330519,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.2733933964015114e-108,0.0,0.9999764863738899,0.0,8.733341441258531e-24,0.0,3.917522284110918e-31,0.0,2.4538533525780136e-37,0.0,0.9999999998925633,0.0,1.0,0.0,1.0,0.0,7.15864096428258e-48,0.0,1.0,1.0,3.6245553965225257e-13,0.0,1.0,0.0,1.0,0.0,0.00011064380527875608,0.0,0.9007347075511585,0.0,3.242679446043666e-132,0.0,3.745529593916446e-05,0.0,2.17453511119246e-53,0.0,0.9655753479331237,0.0,0.0,0.0,3.9279886798546444e-25,0.0,8.067387143335447e-106,0.0,5.942217637312872e-144,0.0,6.727150472389352e-134,0.0,0.9999999999992871,0.0,0.13555348703403425,0.0,1.0,0.0,1.0,0.0,3.549654430928411e-37,0.0,2.3479793674727277e-96,0.0,1.0,0.0,1.0,0.0,2.2564943305769772e-39,0.0,9.744285463330709e-42,0.0,1.0,0.0,1.0,0.0,1.0
S-CPI,300,4.457293748855591,-0.04709419674177262,0.0,0.242602542025193,0.0,0.8478403987166723,0.0,0.3084513451361558,0.0,0.09899474037186257,0.0,0.7620456904248356,0.0,0.32038770776387065,0.0,0.4991824951742779,0.0,0.3145667091679877,0.0,0.5523356139414618,0.0,0.513679525060827,0.0,0.7103643644926674,0.0,0.9416474140419357,0.0,0.7698028849131536,0.0,0.8070077210473159,0.0,0.6768504939311594,0.0,0.295847800496313,0.0,0.3472497465418623,0.0,0.10014542315017755,0.0,0.898259778117847,0.0,0.9321833063880347,0.0,0.8705532099920458,0.0,0.056383251713706874,0.0,0.9251620571852375,1.0,0.2979817146490831,0.0,0.7795080032591222,0.0,0.7412517236026093,0.0,0.31170173293696507,0.0,0.4326175159339918,0.0,0.09904904572711981,0.0,0.6503597203284708,0.0,0.47431751838130437,0.0,0.7352098430645894,0.0,0.027282769738830263,0.0,0.2522937415611297,0.0,0.11731343401696542,0.0,0.193543517874333,0.0,0.3266485001825594,0.0,0.7220872352131473,0.0,0.2518107517971713,0.0,0.8367251161261778,0.0,0.8306611644623125,0.0,0.30680782357656944,0.0,0.06037105153637942,0.0,0.9557957358798574,0.0,0.8247929689176915,0.0,0.8807646520329715,0.0,0.20403417769659649,0.0,0.5496887529969462,0.0,0.7483778173525361,0.0,0.9696734036291041
S-CPI_sqrt,300,4.459238767623901,-0.04709419674177262,0.0,0.43709111215437746,0.0,0.5611206791131107,0.0,0.48361541564932564,0.0,0.45274507994661406,0.0,0.6324704720435327,0.0,0.4893976171365082,0.0,0.4646406230115389,0.0,0.49676494981646346,0.0,0.488975985894242,0.0,0.5094695731772456,0.0,0.4986440402970004,0.0,0.5836084354819866,0.0,0.5181744008892728,0.0,0.5783817465524124,0.0,0.5876798394558759,0.0,0.4938872317577106,0.0,0.43632071030107666,0.0,0.49006709356546385,0.0,0.6055401188760201,0.0,0.5420623488747285,0.0,0.5421589636656506,0.0,0.305264166947699,0.0,0.7319223319240586,1.0,0.2951033907074113,0.0,0.522376743058606,0.0,0.5692029437699628,0.0,0.3610423990420958,0.0,0.43823649811630117,0.0,0.4699778614040505,0.0,0.5414061424381972,0.0,0.5641801817690799,0.0,0.5336671358649,0.0,0.33195413316881706,0.0,0.46874486974475765,0.0,0.44772241028209925,0.0,0.4237314475230467,0.0,0.49415353022361613,0.0,0.548241645013003,0.0,0.4227304044557285,0.0,0.6050607940283287,0.0,0.6273483160073993,0.0,0.4528754795937267,0.0,0.47418326304645486,0.0,0.7013412623206821,0.0,0.5497724850394701,0.0,0.5747179574143476,0.0,0.42623106858644094,0.0,0.5348182280198206,0.0,0.5194333320681463,0.0,0.6143537506669161
S-CPI_n,300,4.4466331005096436,-0.04709419674177262,0.0,0.2360491064839797,0.0,0.7687779435639075,0.0,0.3942955412201667,0.0,0.2782877318920471,0.0,0.7258270724518452,0.0,0.5378892669956643,0.0,0.31963634689881754,0.0,0.4636250160942189,0.0,0.4598009774519382,0.0,0.502912578226913,0.0,0.5902823473713451,0.0,0.8177773723235756,0.0,0.43427372685313703,0.0,0.7156851370182538,0.0,0.6848661758429075,0.0,0.3376799726389982,0.0,0.24593768700218455,0.0,0.586052708952265,0.0,0.8775122095881169,0.0,0.6571731218766684,0.0,0.8595847214453467,0.0,0.0777804249726144,0.0,0.9144699721771962,1.0,0.20380235199636254,0.0,0.4626019936220687,0.0,0.7218938918027366,0.0,0.15157694358629814,0.0,0.3289650736798757,0.0,0.36075178083493925,0.0,0.5221580631048516,0.0,0.6341293004145773,0.0,0.608198265411494,0.0,0.07676469715893719,0.0,0.39009322833530513,0.0,0.4155653273501134,0.0,0.2682822649989623,0.0,0.37762184082540684,0.0,0.508640245567915,0.0,0.25705541840262974,0.0,0.8770267725481647,0.0,0.8026960505287561,0.0,0.3641626229513407,0.0,0.33381528955457673,0.0,0.9503062923694467,0.0,0.7305574747936314,0.0,0.6432030553595482,0.0,0.26000782373340814,0.0,0.48420843338012326,0.0,0.5961757577266424,0.0,0.8780065170910782
S-CPI_bt,300,4.629603624343872,-0.04709419674177262,0.0,0.10572547535942894,0.0,0.9603852043639778,0.0,0.044644602120599716,0.0,0.11739772665127574,0.0,0.9990174208236708,0.0,0.11749716917251296,0.0,0.2682497076280853,0.0,0.5052069103972885,0.0,0.3362553406262485,0.0,0.4321188561775789,0.0,0.6413735850632395,0.0,0.9961282758969997,0.0,0.16634079800218338,0.0,0.9852861783264214,0.0,0.9827118590306391,0.0,0.21858844672637412,0.0,0.4919994505921265,0.0,0.13226158251643882,0.0,0.9999568869708927,0.0,0.8867880366583379,0.0,0.9813467791919012,0.0,6.885615577615034e-06,0.0,0.9987839645052596,1.0,0.06422643250586067,0.0,0.7275046347518557,0.0,0.8375692638821999,0.0,0.04516240479846007,0.0,0.09393527483469377,0.0,0.27283836371883463,0.0,0.20359487308867624,0.0,0.5323721688609103,0.0,0.9895693899406512,0.0,6.12307339232732e-06,0.0,0.12450819297736121,0.0,0.08645475833754057,0.0,0.002990227440845293,0.0,0.4221776485688915,0.0,0.7957805654462583,0.0,0.04014680812634371,0.0,0.9951499849518352,0.0,0.9869793825225651,0.0,0.09919483389631156,0.0,0.18130842756451254,0.0,0.9999999688577148,0.0,0.7547274600154128,0.0,0.9885689661182047,0.0,0.028907128246332948,0.0,0.8364636959397451,0.0,0.7373370737168605,0.0,0.9986464575740948
