method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,19.153716325759888,-0.3906122574325275,0.0,0.057668827172762116,0.0,0.0955092146433687,0.0,0.6652641451571324,0.0,0.08952136732619709,0.0,0.39888701117212433,0.0,0.40478829148702433,0.0,0.0912246545639146,0.0,0.526119958219142,0.0,0.15643128467703205,0.0,0.47755592711608674,0.0,0.2487994124450592,0.0,0.1330572878610169,0.0,0.04427220814696331,0.0,0.10987003205684354,0.0,0.3458007179293634,1.0,0.16262998965831732,0.0,0.4156320817481918,0.0,0.6104633680132515,0.0,0.2639940919865582,0.0,0.29992838028158464,0.0,0.05806242066801415,0.0,0.06701366494462124,0.0,0.046836495658723165,0.0,0.060313857133239224,0.0,0.06317800555673503,0.0,0.36279902017839893,0.0,0.8057552354630593,0.0,0.25719276496372867,0.0,0.062270699110335226,0.0,0.3121030420641214,0.0,0.02873232563305339,0.0,0.5559895876416652,0.0,0.28746792141168465,0.0,0.5710082904382318,0.0,0.12455195304794586,0.0,0.8105733074842225,0.0,0.1731838040136633,0.0,0.09985502520977829,0.0,0.6062876785364193,0.0,0.21432563700036567,0.0,0.011828118462902548,0.0,0.5679554660822715,0.0,0.9591513277452616,0.0,0.3574760865194775,0.0,0.033119495302703306,0.0,0.3733606491546311,0.0,0.5156448079701323,0.0,0.05836996841277742,0.0,0.827798289079607,0.0,0.13400909327058474
CPI,300,3.883033514022827,-0.3906122574325275,0.0,0.6121646201597826,0.0,0.9757016905038962,0.0,0.8309834655987559,0.0,0.8367977602653607,0.0,0.4311554482884822,0.0,0.8880622679039378,0.0,0.9369626141539809,0.0,0.3847750631124566,0.0,0.7619927324542702,0.0,0.6593405298489639,0.0,0.0282101221300496,0.0,0.33630370428137996,0.0,0.7742602540050664,0.0,0.8995975301989089,0.0,0.11597294775885059,1.0,0.07736406197996581,0.0,0.045638490778347945,0.0,0.04098334180806414,0.0,0.7401761685440931,0.0,0.8641588401940976,0.0,0.8287333370832026,0.0,0.5352062001702268,0.0,0.5169523974888467,0.0,0.9653397388061423,0.0,0.41723137103110597,0.0,0.9472351552583604,0.0,0.48449596305109954,0.0,0.057325892763986364,0.0,0.8366528818475261,0.0,0.6637237628031551,0.0,0.6107125330349514,0.0,0.8334386705230468,0.0,0.8507804902769674,0.0,0.6507159243253232,0.0,0.12434254449711502,0.0,0.8718496630946084,0.0,0.7476001843662148,0.0,0.3657854820204387,0.0,0.7940180471560427,0.0,0.2126151677276774,0.0,0.12805373477789922,0.0,0.45864352959132,0.0,0.9786970353720852,0.0,0.9231892936680806,0.0,0.7049354444371663,0.0,0.5854972000294338,0.0,0.9790511430609793,0.0,0.7070873307785893,0.0,0.14606753803364425,0.0,0.33138074886014657
CPI_sqrt,300,3.86810564994812,-0.3906122574325275,0.0,0.6882566700829149,0.0,0.5237259903649616,0.0,0.3437007905558731,0.0,0.6117405700863546,0.0,0.42357489783433755,0.0,0.6583945235096611,0.0,0.5416056468326149,0.0,0.4119553083636043,0.0,0.6622318029289547,0.0,0.570877268062294,0.0,0.4262958563312071,0.0,0.4449617683605563,0.0,0.782447325389882,0.0,0.5100132712725972,0.0,0.3714020693961531,1.0,0.36897394167598047,0.0,0.475034866911037,0.0,0.40539849805687467,0.0,0.5469537586253206,0.0,0.45765421052304445,0.0,0.5825487179074829,0.0,0.4834611863530697,0.0,0.3899062230896571,0.0,0.6202062129562361,0.0,0.6866568921602182,0.0,0.5958042893970218,0.0,0.5557198088442118,0.0,0.3749885207081599,0.0,0.4893452161123449,0.0,0.5176090607297545,0.0,0.43006335982906496,0.0,0.5786996883576463,0.0,0.5279828665254894,0.0,0.45344791381886096,0.0,0.3790799920002449,0.0,0.6228734019927921,0.0,0.47354859739086436,0.0,0.3854154669687848,0.0,0.5037453797369907,0.0,0.5271328168007658,0.0,0.415466332560825,0.0,0.5811989343881216,0.0,0.6153338549037739,0.0,0.5932282105509319,0.0,0.5749048854122293,0.0,0.650100769612718,0.0,0.5917397246779877,0.0,0.32523744990970305,0.0,0.4512598244248303,0.0,0.595784991878241
CPI_n,300,3.861849308013916,-0.3906122574325275,0.0,0.9781975151218166,0.0,0.4602939603090663,0.0,0.33193131692538824,0.0,0.6479584909352517,0.0,0.2984244716141927,0.0,0.8370546616603693,0.0,0.25687964188897816,0.0,0.22974155038889416,0.0,0.6327180763149243,0.0,0.4276922918257305,0.0,0.31666292455583567,0.0,0.17133779764221468,0.0,0.5395412813397391,0.0,0.8050315588651566,0.0,0.1604384209063484,1.0,0.01851351032709229,0.0,0.20357677200014002,0.0,0.28781813636397047,0.0,0.28643161336897976,0.0,0.8851771488270974,0.0,0.6750888129303159,0.0,0.6698459566185808,0.0,0.8210415390453387,0.0,0.49587137610465776,0.0,0.5379320152681929,0.0,0.800021380159571,0.0,0.3895695327790366,0.0,0.35461138903391115,0.0,0.5269219110710158,0.0,0.45023419243560137,0.0,0.659550911181906,0.0,0.6692048120271618,0.0,0.9258631092376995,0.0,0.7793982652793148,0.0,0.13746526896981398,0.0,0.782027932215049,0.0,0.03404505879121338,0.0,0.4898223200283015,0.0,0.5618362634534841,0.0,0.1633212253507978,0.0,0.5331097560121708,0.0,0.585524179500578,0.0,0.6606114274455138,0.0,0.23243264814491804,0.0,0.9287790953675535,0.0,0.4890885217351132,0.0,0.8368387162886572,0.0,0.6647067656073288,0.0,0.8238940047542374,0.0,0.4257186926019275
CPI_bt,300,4.037731885910034,-0.3906122574325275,0.0,0.9956780285748997,0.0,0.9870255704645807,0.0,0.12233671410243213,0.0,0.9791336800798486,0.0,0.0066143534689999724,0.0,0.999999999953087,0.0,0.9995297170304304,0.0,0.20976383161898005,0.0,0.9987542308788953,0.0,0.9994803128210388,0.0,0.02747102158283095,0.0,0.440400924806777,0.0,0.9999697874453094,0.0,0.057340645740142804,0.0,0.018800969868743068,1.0,4.906288065632976e-13,0.0,3.529957690410566e-05,0.0,0.01136030933140848,0.0,3.3992232954986634e-09,0.0,0.9970682391130268,0.0,0.8087253293135204,0.0,0.1915509257118691,0.0,0.5573044801467562,0.0,0.9999918444873471,0.0,0.17673500256340025,0.0,0.9980090847788236,0.0,0.9965396866882632,0.0,0.0133873310968145,0.0,0.4793341545869684,0.0,0.9664258440795617,0.0,0.9476285731737453,0.0,0.2386531575248353,0.0,0.8894029588890685,0.0,0.9544064989487678,0.0,0.9214972560232806,0.0,0.31250478803907067,0.0,0.8232424854765668,0.0,0.895333041140146,0.0,0.035914904950530624,0.0,0.04009566125197414,0.0,0.1919989011940496,0.0,0.8655050233135899,0.0,0.28593867142840634,0.0,0.02407355829815683,0.0,0.9875300869531828,0.0,0.06845551296770949,0.0,0.6080756534629389,0.0,0.018745382705129827,0.0,0.3132359249670153,0.0,1.6876008177428084e-05
CPI_sqd,300,4.038975238800049,-0.3906122574325275,0.0,0.9977342814039758,0.0,0.9996052881515102,0.0,0.9991061514351575,0.0,1.0,0.0,2.4394188915868034e-29,0.0,1.0,0.0,0.9999999987751997,0.0,3.091349213395009e-50,0.0,0.9999999749529214,0.0,0.9999999994694972,0.0,0.9323877477076865,0.0,3.566582034184746e-32,0.0,0.9999999999998198,0.0,2.26698642111697e-136,0.0,1.0,1.0,6.711703693122066e-47,0.0,1.8475903168136084e-14,0.0,9.936986241329683e-24,0.0,1.0,0.0,1.0,0.0,0.4324476206782935,0.0,0.15298401937231582,0.0,0.9999999800055177,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.2465460501215023e-12,0.0,7.616772420460061e-09,0.0,2.390530270596025e-10,0.0,5.607757466922162e-07,0.0,2.7249317850384493e-20,0.0,0.32043022425175327,0.0,1.0,0.0,0.08901916543832838,0.0,1.7478095977787693e-28,0.0,0.999999999999661,0.0,0.0027026955709279683,0.0,0.03846250335135018,0.0,2.4038900041256352e-27,0.0,1.794462728974897e-64,0.0,4.1106187284984595e-26,0.0,1.1541635985446929e-07,0.0,1.0,0.0,0.00016903995388737502,0.0,0.20715482975838861,0.0,0.999999999999824,0.0,1.0,0.0,1.0,0.0,2.2857416418356134e-24,0.0,0.9999999142588686
S-CPI,300,4.020525217056274,-0.3906122574325275,0.0,0.9756149774578123,0.0,0.5051858354381786,0.0,0.5708741490524385,0.0,0.9330847025703691,0.0,0.5412855795819201,0.0,0.9832874763765095,0.0,0.9563012641191242,0.0,0.25000505848952215,0.0,0.8018127416726832,0.0,0.6241999566739977,0.0,0.11218707818624729,0.0,0.5418652603478589,0.0,0.9661085109677846,0.0,0.7594696720830219,0.0,0.8352339106615275,1.0,0.019947616398777897,0.0,0.43520117409173076,0.0,0.1235294294929219,0.0,0.3781697696320465,0.0,0.8934716233910663,0.0,0.8034826820955586,0.0,0.5119965871931028,0.0,0.8672383752851858,0.0,0.9498002684039942,0.0,0.8802723684207593,0.0,0.9789590956696603,0.0,0.5263108174587628,0.0,0.2190383732603317,0.0,0.9816346664354382,0.0,0.6837113556637985,0.0,0.590906732245564,0.0,0.9188742592613071,0.0,0.8567269427480751,0.0,0.5365736983230234,0.0,0.31622044444901937,0.0,0.84061055737192,0.0,0.6540461711766368,0.0,0.7467848559143166,0.0,0.6641938191034564,0.0,0.14889390082097487,0.0,0.843863944908514,0.0,0.5617225739836987,0.0,0.8559644357425715,0.0,0.7048077132233388,0.0,0.914894727639964,0.0,0.7647095818631842,0.0,0.9716448097438555,0.0,0.3343545544147818,0.0,0.26368310223436636,0.0,0.769040644621664
S-CPI_sqrt,300,4.029980659484863,-0.3906122574325275,0.0,0.783340662241857,0.0,0.49675691591052873,0.0,0.5307639933799516,0.0,0.7374833996832579,0.0,0.5097131761171655,0.0,0.6971899404195752,0.0,0.6295707415537236,0.0,0.4681646014452684,0.0,0.637994678289786,0.0,0.533185941439944,0.0,0.4288104852315888,0.0,0.37196140476925077,0.0,0.7043881612838852,0.0,0.5536294661285132,0.0,0.4361436700458671,1.0,0.20680337723794612,0.0,0.47994740689128146,0.0,0.3247256073299423,0.0,0.46238796592360565,0.0,0.7763646211491341,0.0,0.6313035813421998,0.0,0.3069987717575472,0.0,0.6544266858605139,0.0,0.5900904288188062,0.0,0.6434933970605476,0.0,0.8013376129133668,0.0,0.49341399711627915,0.0,0.3722802731376107,0.0,0.6376975839899568,0.0,0.5396852059687256,0.0,0.5447411953526881,0.0,0.7057042249995431,0.0,0.6360753590768762,0.0,0.535514495969525,0.0,0.45927698518660004,0.0,0.618647507351012,0.0,0.5429098583227372,0.0,0.6679106598531589,0.0,0.5164794618705748,0.0,0.41787166267366066,0.0,0.6168584800921122,0.0,0.49626292297553787,0.0,0.6487638941319194,0.0,0.4167060245694204,0.0,0.7022093812917318,0.0,0.6452971746777015,0.0,0.7828646659712838,0.0,0.454976099779728,0.0,0.479881708328954,0.0,0.627001694499965
S-CPI_n,300,4.0311198234558105,-0.3906122574325275,0.0,0.9894574343477026,0.0,0.6522275930939394,0.0,0.5691417050943985,0.0,0.9311552991173461,0.0,0.6065865855726877,0.0,0.9687232942158917,0.0,0.8704552660078009,0.0,0.24947378659794295,0.0,0.561917587853115,0.0,0.44436355127456767,0.0,0.30745117821106727,0.0,0.45715312980773953,0.0,0.8235930790468692,0.0,0.4531594643109036,0.0,0.6187081226139183,1.0,0.09402637710133127,0.0,0.4079041882429203,0.0,0.1437552976315427,0.0,0.5026893707027458,0.0,0.8836383419462096,0.0,0.7280373479316735,0.0,0.2167111430914479,0.0,0.8630306416026243,0.0,0.7790858693415715,0.0,0.7995137941061037,0.0,0.9627921158435859,0.0,0.44831859442765826,0.0,0.09848461197621672,0.0,0.7818662656040791,0.0,0.49515254696016475,0.0,0.5019860502197939,0.0,0.8201710779043514,0.0,0.9393261261431849,0.0,0.5613640747655513,0.0,0.3442971892297364,0.0,0.829886860498654,0.0,0.6334147821518132,0.0,0.7137609018065983,0.0,0.6506407088692725,0.0,0.15913221685123474,0.0,0.744891695890717,0.0,0.7335632226100565,0.0,0.8442058491936648,0.0,0.6791051233825066,0.0,0.8187487901565507,0.0,0.6499487269130952,0.0,0.96296066705759,0.0,0.20650340774836173,0.0,0.25793291992217343,0.0,0.7501739579027438
S-CPI_bt,300,4.215911388397217,-0.3906122574325275,0.0,0.9999999999999979,0.0,0.7394471392101298,0.0,0.9975519760766861,0.0,0.9999324250082582,0.0,0.9945411794650607,0.0,0.9999999935099304,0.0,0.9994948803834254,0.0,0.04777991308977312,0.0,0.9755770792888219,0.0,0.46979827545386726,0.0,0.14505743151621558,0.0,0.07920817040567868,0.0,0.9999986792961442,0.0,0.8969441330044501,0.0,0.9240776936154164,1.0,3.5639321769477154e-05,0.0,0.4306756261859,0.0,0.0014161595393038825,0.0,0.18624993480642638,0.0,0.9993366447243431,0.0,0.9881039796378414,0.0,0.006082512647313616,0.0,0.9999264495612374,0.0,0.9827559723811966,0.0,0.9986869188970798,0.0,0.9999999999987309,0.0,0.7217622769517784,0.0,0.000223423292955727,0.0,0.9999732599505697,0.0,0.7040884541625922,0.0,0.512233441744471,0.0,0.9998563111789095,0.0,0.9999992143715994,0.0,0.9259447452149618,0.0,0.24197508798983275,0.0,0.9961090321479128,0.0,0.4314397139703041,0.0,0.9999695555502468,0.0,0.44179313150567434,0.0,0.05903367618996494,0.0,0.9875893827518837,0.0,0.988093051496744,0.0,0.9993638519875779,0.0,0.9386978861388878,0.0,0.9997798731218943,0.0,0.9511223088282375,0.0,0.9999625599312771,0.0,0.3440803800702606,0.0,0.22816619817722694,0.0,0.8261071413155814
S-CPI_sqd,300,4.203724145889282,-0.3906122574325275,0.0,1.0,0.0,0.9604905481679549,0.0,0.8678728098983781,0.0,0.9999999999890689,0.0,0.9145828002444019,0.0,1.0,0.0,1.0,0.0,0.09733355084249468,0.0,0.9519019922707068,0.0,0.05632325794577696,0.0,1.5024536068065824e-20,0.0,0.41242316705806414,0.0,1.0,0.0,0.9999999851083793,0.0,0.9999999999999908,1.0,4.359017107912172e-07,0.0,0.1506685936145361,0.0,4.7167561111515914e-15,0.0,0.5272406840732328,0.0,1.0,0.0,0.9999999359429727,0.0,0.09790345648634563,0.0,1.0,0.0,1.0,0.0,0.9999571409994409,0.0,1.0,0.0,0.9692845205565673,0.0,4.649763546471988e-16,0.0,1.0,0.0,1.0,0.0,0.531373638864503,0.0,0.9999999999999997,0.0,0.9999999953290567,0.0,0.9904100889542957,0.0,0.004998799989322262,0.0,0.9999999999999608,0.0,0.9999990609578476,0.0,0.9999999999938275,0.0,1.0,0.0,6.781463203746238e-42,0.0,0.9999771756534701,0.0,0.9999531588666872,0.0,0.9921195809166463,0.0,0.9998388221346096,0.0,1.0,0.0,0.9999193659611679,0.0,1.0,0.0,0.958223657869298,0.0,1.2017795844390568e-14,0.0,0.9999996764083935
S-CPI2,300,5.767170667648315,-0.3906122574325275,0.0,0.988224685169357,0.0,0.5852631391006249,0.0,0.7387085201321247,0.0,0.9212779943259805,0.0,0.5092936355127283,0.0,0.9758336554911082,0.0,0.9144017758647265,0.0,0.2311554620363208,0.0,0.7550178792534601,0.0,0.6760080966736568,0.0,0.11369369150736208,0.0,0.33160145060245855,0.0,0.9496126027447391,0.0,0.7753680057046459,0.0,0.6469853698807587,1.0,0.03445117059076637,0.0,0.4717857122333497,0.0,0.1548553238771639,0.0,0.4698982712474324,0.0,0.9160809063606732,0.0,0.8462033295425035,0.0,0.33458741792927504,0.0,0.8801296843374028,0.0,0.9282422460292519,0.0,0.8305479889076992,0.0,0.9823448780099593,0.0,0.5710477505783512,0.0,0.15390298684268477,0.0,0.948775313045839,0.0,0.7054921619874454,0.0,0.6547618970548237,0.0,0.874392040525492,0.0,0.9241210383345595,0.0,0.6366551105283897,0.0,0.28305533589265347,0.0,0.8362236816605316,0.0,0.7357040869558636,0.0,0.8660425437617958,0.0,0.5380765739611355,0.0,0.16066193686985547,0.0,0.7680557025950394,0.0,0.4829438097766539,0.0,0.9185226044372763,0.0,0.4316240198954506,0.0,0.940518336989304,0.0,0.8471020536656385,0.0,0.9786582053308379,0.0,0.49213014350611384,0.0,0.2303804619024401,0.0,0.6905386192093954
S-CPI2_sqrt,300,5.758612632751465,-0.3906122574325275,0.0,0.8086612484829016,0.0,0.5176327796510685,0.0,0.5799359555893694,0.0,0.7458894992179121,0.0,0.5372341239850513,0.0,0.7363490511878086,0.0,0.6674728444421418,0.0,0.39396405276324237,0.0,0.6476389644697238,0.0,0.5325469268288785,0.0,0.38366532913872803,0.0,0.4582849310698301,0.0,0.7076279320860095,0.0,0.5325700459644337,0.0,0.5235177495377893,1.0,0.19903372755134524,0.0,0.4933047217665287,0.0,0.3626846629008727,0.0,0.47938736295122114,0.0,0.778890660348357,0.0,0.6658210116104195,0.0,0.4118234715364202,0.0,0.6157491456267299,0.0,0.6538216129640657,0.0,0.6809554818808504,0.0,0.8304866490706186,0.0,0.5320599735840094,0.0,0.34869961694537344,0.0,0.6647410516202523,0.0,0.5560664468223856,0.0,0.5579111263550278,0.0,0.6556049360318461,0.0,0.7454894830440055,0.0,0.573207314356583,0.0,0.4090330643975793,0.0,0.6118759465761963,0.0,0.5769279186500912,0.0,0.649760151829458,0.0,0.48312074867373084,0.0,0.4034633102467992,0.0,0.6313565342266598,0.0,0.5333969249768095,0.0,0.6197334827408725,0.0,0.5063047273580622,0.0,0.6677921873612055,0.0,0.5481718553989853,0.0,0.7637923528601652,0.0,0.5272078292215543,0.0,0.4152065469376062,0.0,0.5499219470179469
S-CPI2_n,300,5.766997575759888,-0.3906122574325275,0.0,0.9792570736598989,0.0,0.6057903528828235,0.0,0.7158815535317287,0.0,0.8885012533155634,0.0,0.4972186133086918,0.0,0.9538663229440661,0.0,0.8489740995226491,0.0,0.29730339984465914,0.0,0.7180564748763107,0.0,0.6432235436921344,0.0,0.17318569161707703,0.0,0.4290574002120702,0.0,0.8927373773523634,0.0,0.6317734449270116,0.0,0.5957695648910714,1.0,0.08119722926792466,0.0,0.46464414446577085,0.0,0.17097803169218456,0.0,0.4531079638704342,0.0,0.8999103699264988,0.0,0.7708841372994786,0.0,0.22035368101053066,0.0,0.834822266278624,0.0,0.8919823195211871,0.0,0.8548593477409119,0.0,0.9737715754295936,0.0,0.538144919089437,0.0,0.2021871198112628,0.0,0.904583687426884,0.0,0.5888747659090288,0.0,0.6076056493110588,0.0,0.8391065336639218,0.0,0.881733734923359,0.0,0.6524984890332745,0.0,0.36087877103087784,0.0,0.7620409380808773,0.0,0.6489418265572571,0.0,0.8270031083457623,0.0,0.4947003344839599,0.0,0.2519911334233733,0.0,0.7655211462059612,0.0,0.5782954106328992,0.0,0.8294839342990978,0.0,0.5894639840218742,0.0,0.9178318555771499,0.0,0.7107745865746249,0.0,0.9610152368004353,0.0,0.5082547788053888,0.0,0.31690703013138055,0.0,0.6259054320031268
S-CPI2_bt,300,5.931046724319458,-0.3906122574325275,0.0,0.9999999999999967,0.0,0.8148397999736867,0.0,0.978618777054108,0.0,0.9999042611445854,0.0,0.7507900009470034,0.0,0.9999999980831421,0.0,0.9996872790462267,0.0,0.019067868728035328,0.0,0.9709431364345054,0.0,0.7378424442751679,0.0,0.0018455559313755563,0.0,0.2651814641772579,0.0,0.9999926796640684,0.0,0.788002536169254,0.0,0.5902996435784037,1.0,1.2080310928480133e-07,0.0,0.49235901740349425,0.0,0.0014029745836505413,0.0,0.4141986696362844,0.0,0.9999966319184673,0.0,0.9865268186110047,0.0,0.07870022266286131,0.0,0.998886367094518,0.0,0.9999906637879784,0.0,0.9986157956148431,0.0,0.9999999999998579,0.0,0.7977493964541642,0.0,0.0016107449319046432,0.0,0.9999251938701492,0.0,0.8168709099493536,0.0,0.9155279301999657,0.0,0.999990546183837,0.0,0.9999726592466994,0.0,0.9516800442068474,0.0,0.06899488867446782,0.0,0.9955746349879652,0.0,0.9130332283383251,0.0,0.9999151533044055,0.0,0.48170425969281794,0.0,0.027810510405242128,0.0,0.9965738110782795,0.0,0.8543119976416895,0.0,0.9998472948989795,0.0,0.511286632289326,0.0,0.9999997336290435,0.0,0.972528920156469,0.0,0.9999999954501617,0.0,0.7945703671188142,0.0,0.07886679402170604,0.0,0.9246312203734313
S-CPI2_sqd,300,5.939998149871826,-0.3906122574325275,0.0,1.0,0.0,0.8964683824852905,0.0,0.9999999499199076,0.0,0.9999999999996322,0.0,0.9906634390441814,0.0,1.0,0.0,1.0,0.0,1.3542635648889334e-07,0.0,0.9997734949521817,0.0,0.8721528399879991,0.0,2.3519212776914797e-32,0.0,0.12773990132723084,0.0,1.0,0.0,0.9999999999996586,0.0,0.9974444926207804,1.0,2.2109979374593185e-12,0.0,0.9965440503119996,0.0,3.58970833420058e-23,0.0,0.2543731927829862,0.0,0.99995270819682,0.0,0.9999989755144912,0.0,7.022077099770276e-05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6237632578394965,0.0,2.1580772819238233e-14,0.0,1.0,0.0,0.9940389823380901,0.0,0.997477516590536,0.0,1.0,0.0,0.9999999999992215,0.0,0.9998218521295014,0.0,0.013826117495433077,0.0,0.999999999999988,0.0,0.9998699058072589,0.0,0.9999999999999939,0.0,0.6768123726473406,0.0,1.705885636762799e-24,0.0,0.999906454715242,0.0,0.9164210638625677,0.0,1.0,0.0,0.6910742354797256,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8886403914864408,0.0,6.173084221860897e-07,0.0,0.9999999989458423
LOCO,300,35.66049551963806,-0.3906122574325275,0.0,0.3366558316421593,0.0,0.3648704272741462,0.0,0.12565381148292992,0.0,0.21616547655180135,0.0,0.16722945312476162,0.0,0.13851272684822458,0.0,0.14537631171250098,0.0,0.18256073742763224,0.0,0.20627674416005226,0.0,0.3400466443968152,0.0,0.1755893114093246,0.0,0.160066149931834,0.0,0.1746390633480694,0.0,0.12609199319450864,0.0,0.11569389722432705,1.0,0.05128239960047719,0.0,0.6285674194095603,0.0,0.33822639921002573,0.0,0.6200528578321903,0.0,0.6815409850494989,0.0,0.733940692232609,0.0,0.39651997500485925,0.0,0.5572597540633029,0.0,0.5118093778356155,0.0,0.4403326502406084,0.0,0.6975731083727801,0.0,0.7372589234585845,0.0,0.6468096193814546,0.0,0.796891438174202,0.0,0.6950878087311402,0.0,0.6112430420903816,0.0,0.7070933603955925,0.0,0.9171696085159126,0.0,0.6456000248847475,0.0,0.7149866016294857,0.0,0.44064373802687995,0.0,0.4429709465394066,0.0,0.5727311412641515,0.0,0.49390485794701433,0.0,0.5060290342436037,0.0,0.5223074430684342,0.0,0.5425005164839439,0.0,0.5238656108146101,0.0,0.47682821872309256,0.0,0.6285568846500843,0.0,0.5962039515825444,0.0,0.8041048068322909,0.0,0.6651994063525518,0.0,0.7710794696610912,0.0,0.7970980976941362
LOCO_sqrt,300,35.64433526992798,-0.3906122574325275,0.0,0.3730574131253813,0.0,0.3956697587617704,0.0,0.1790561838880344,0.0,0.2721159658315445,0.0,0.22317568599138443,0.0,0.19626699157802108,0.0,0.20115130540273596,0.0,0.24126318604801994,0.0,0.2595541914613978,0.0,0.37352797300232515,0.0,0.22701489928945845,0.0,0.21339670594255422,0.0,0.2231704930242887,0.0,0.1829773090536519,0.0,0.17167535645954324,1.0,0.09643856229919617,0.0,0.5954711362334145,0.0,0.376413213480673,0.0,0.5899242991584147,0.0,0.6427470728923432,0.0,0.6767897989468081,0.0,0.422969590652402,0.0,0.5421313419173572,0.0,0.5087781198813366,0.0,0.4538565082401732,0.0,0.6473610744217004,0.0,0.6786548833340605,0.0,0.6103413634143168,0.0,0.7276918110927966,0.0,0.6478854120486282,0.0,0.5870284243718441,0.0,0.6627397072436663,0.0,0.8512439426942242,0.0,0.6103022214241716,0.0,0.6676661104703598,0.0,0.45427807111021096,0.0,0.4554270937340338,0.0,0.5564246756837619,0.0,0.4954191789936628,0.0,0.5045669450718316,0.0,0.5168149530959033,0.0,0.5327641935186077,0.0,0.5179592012902372,0.0,0.48210346672268295,0.0,0.5963653580796795,0.0,0.5711231185097321,0.0,0.7262090272899051,0.0,0.6179458690048115,0.0,0.7022428369569731,0.0,0.7223642535167163
LOCO_n,300,35.65301704406738,-0.3906122574325275,0.0,0.3414195726531045,0.0,0.3689321046332136,0.0,0.13180150142268843,0.0,0.22316631585140673,0.0,0.1739401871486615,0.0,0.1453013046854285,0.0,0.1519422501442268,0.0,0.18975008921690872,0.0,0.21282564802524817,0.0,0.34436553558284166,0.0,0.18172386845787203,0.0,0.16638321887443547,0.0,0.18037929307920159,0.0,0.13268954597486493,0.0,0.1221094481029118,1.0,0.055915905535369737,0.0,0.6240532026469451,0.0,0.34329765670081447,0.0,0.6159714933839998,0.0,0.6765225777721264,0.0,0.7263513995729489,0.0,0.40012541779309996,0.0,0.555173105671099,0.0,0.5113946280000965,0.0,0.44211945614768566,0.0,0.6907949004661378,0.0,0.7294582922496564,0.0,0.6418929349017941,0.0,0.7879466465533593,0.0,0.6887998516362006,0.0,0.6080813985301967,0.0,0.7013687772502831,0.0,0.9098103665402886,0.0,0.6408726562235258,0.0,0.7088465745134539,0.0,0.4424513226236671,0.0,0.44460175228724264,0.0,0.5705833548382367,0.0,0.49411009603754374,0.0,0.5058322196842598,0.0,0.5215650159357281,0.0,0.541210148106855,0.0,0.523066083044409,0.0,0.4775264137237425,0.0,0.6242011623997328,0.0,0.5927636399911277,0.0,0.7938172945730749,0.0,0.6585568647644664,0.0,0.7619159013364212,0.0,0.7872514389437826
