method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,134.27136945724487,0.13475849446164678,0.0,0.00036383143100826576,0.0,0.0033284314378964064,0.0,0.8495930041833948,0.0,0.017131117278734842,0.0,0.04653035144101869,0.0,0.8844604497579494,0.0,0.9552717623601532,0.0,0.015025208424079062,0.0,0.32945333610111616,0.0,0.9985785996095088,0.0,0.5098068178242219,0.0,0.0022636567020600795,0.0,0.9018369558867967,0.0,0.9029302543186885,0.0,0.8323203214910071,0.0,0.9346775799179352,0.0,0.2387510471360167,0.0,0.08003520473580517,0.0,0.11455309506158717,0.0,0.8754812148363071,0.0,0.08804319881664369,0.0,0.4419211562862425,0.0,0.22279166334708322,0.0,0.6956194078808693,0.0,0.19663303655732234,0.0,0.1611381725103489,0.0,0.00047265039105093276,0.0,0.9852930044660897,0.0,0.6375817195649978,0.0,0.5549955820370985,0.0,0.9339980204629499,1.0,1.933398686482235e-06,0.0,0.3599840844417468,0.0,0.38750235786133413,0.0,0.967487256823805,0.0,0.7161817857624815,0.0,0.023877274421139516,0.0,0.9320983794257596,0.0,0.7417472624651652,0.0,0.36259161241589055,0.0,0.9998088193155621,0.0,0.1665616967046064,0.0,0.3667130906796522,0.0,0.8251805222475852,0.0,0.44455993103074287,0.0,0.15568764108985567,0.0,0.7038963523026907,0.0,0.0229156435368304,0.0,0.3622805416113398,0.0,0.2098192785150268
CPI,300,6.242735147476196,0.13475849446164678,0.0,0.8238242872832608,0.0,0.7733879155167618,0.0,0.10711140361271293,0.0,0.7101440140953321,0.0,0.6243977568219748,0.0,0.2601468186707006,0.0,0.48207585016511806,0.0,0.0019659606118063245,0.0,0.13301827042158298,0.0,0.2608192111442015,0.0,0.3029906233856948,0.0,0.08951573874509372,0.0,0.3584697945671931,0.0,0.9212213763720504,0.0,0.5520694969127298,0.0,0.670053413919765,0.0,0.05214352938078534,0.0,0.2161100904685782,0.0,0.6347856482471923,0.0,0.701207431172459,0.0,0.7129188167631474,0.0,0.7168651106574827,0.0,0.5118833869143735,0.0,0.05818677897792525,0.0,0.7990323006415494,0.0,0.47110671058013437,0.0,0.5316434830278768,0.0,0.6599819294649871,0.0,0.5005801728969841,0.0,0.4297811143704933,0.0,0.8651006441267649,1.0,0.3911714259415161,0.0,0.7683721674704053,0.0,0.2227119215998079,0.0,0.8337440157931497,0.0,0.8930185937191797,0.0,0.36031035692107416,0.0,0.7403261264297313,0.0,0.2780081863502619,0.0,0.439754222734428,0.0,0.7875600712502531,0.0,0.8011548910231492,0.0,0.043638162855856935,0.0,0.5080468219490404,0.0,0.6329054179981559,0.0,0.29556897366995116,0.0,0.8672849631871886,0.0,0.09248007910278311,0.0,0.16284800015642392,0.0,0.5779350726757527
CPI_sqrt,300,6.247567653656006,0.13475849446164678,0.0,0.4943000040180949,0.0,0.5075772720832757,0.0,0.46030549087070516,0.0,0.46210367740620534,0.0,0.5339701392387031,0.0,0.4673962575768,0.0,0.49956802545487244,0.0,0.45448970173812336,0.0,0.48950308630382217,0.0,0.4826528786050968,0.0,0.4683498604974083,0.0,0.4969731044459926,0.0,0.498515479779829,0.0,0.4933186569036685,0.0,0.4920614035249092,0.0,0.48470170261746237,0.0,0.49034949429349867,0.0,0.49870590223186495,0.0,0.5038248791227159,0.0,0.5228567495120341,0.0,0.5107972255636584,0.0,0.4958563870883562,0.0,0.4986446089911355,0.0,0.4864904850284422,0.0,0.5233566763697968,0.0,0.45233297807209255,0.0,0.5410801420187938,0.0,0.5024721923697997,0.0,0.4847116022702032,0.0,0.5146658791927429,0.0,0.5359713198536198,1.0,0.5497268384576537,0.0,0.5575852493876703,0.0,0.4999558879067252,0.0,0.5433909535985992,0.0,0.49576405192057943,0.0,0.4828413117658046,0.0,0.5416023849155848,0.0,0.49157377360100185,0.0,0.5084186050455622,0.0,0.47530590577880893,0.0,0.5115739902395656,0.0,0.49927692580397653,0.0,0.5014807011999566,0.0,0.4963767704999038,0.0,0.48927486359396055,0.0,0.5346003039683738,0.0,0.4682094073343759,0.0,0.4819350492420088,0.0,0.5131942374329014
CPI_n,300,6.23876953125,0.13475849446164678,0.0,0.35931496847075983,0.0,0.45847490801279706,0.0,0.413266164534775,0.0,0.5193168848825402,0.0,0.4436136276311399,0.0,0.3116754029032258,0.0,0.5408295125525848,0.0,0.29855348172135787,0.0,0.5206729768045332,0.0,0.645197079622171,0.0,0.4690110819048813,0.0,0.468140168033342,0.0,0.4821910344882077,0.0,0.4816601215823658,0.0,0.5037667146983562,0.0,0.5270493524259091,0.0,0.4114478995359332,0.0,0.6354244526418805,0.0,0.40729364517652583,0.0,0.7838452447278302,0.0,0.5622070503932892,0.0,0.5133233541663073,0.0,0.4918358924361592,0.0,0.3771547721878895,0.0,0.5731173835568069,0.0,0.1977970321728163,0.0,0.7950593794351924,0.0,0.4896214765568357,0.0,0.40885148818888,0.0,0.5149081399714897,0.0,0.8209572362051898,1.0,0.10739189339418148,0.0,0.6194044907828065,0.0,0.5765677312545556,0.0,0.7749999826519244,0.0,0.5296551701806617,0.0,0.5041456866372995,0.0,0.802355524042651,0.0,0.4159629509743784,0.0,0.8349228568528638,0.0,0.24807389342348818,0.0,0.5292235083159338,0.0,0.5207668889031033,0.0,0.3688291846331764,0.0,0.39690276789939727,0.0,0.35846102991081696,0.0,0.6608282485933614,0.0,0.4430843479503087,0.0,0.46922149900780585,0.0,0.4716631222941858
CPI_bt,300,6.423476696014404,0.13475849446164678,0.0,0.26511060120695396,0.0,0.2618298152622117,0.0,0.704324406595321,0.0,0.7807927504001055,0.0,0.9168433765940425,0.0,0.518329028000068,0.0,0.6500923284843672,0.0,0.15089478538869644,0.0,0.18590993441555148,0.0,0.7145022429512023,0.0,0.4516396009024169,0.0,0.5016135067031235,0.0,0.519167455763048,0.0,0.3927768522801761,0.0,0.3971007056827581,0.0,0.5948973116012157,0.0,0.4156170498419962,0.0,0.8579034079476504,0.0,0.40239963039562177,0.0,0.7296577451665944,0.0,0.6690322497525654,0.0,0.5261939108843836,0.0,0.5423566737945504,0.0,0.2131959937690292,0.0,0.748775333946415,0.0,0.7588837178035452,0.0,0.9602579054981347,0.0,0.4877557703195788,0.0,0.44073541077214096,0.0,0.6535808628881765,0.0,0.9319918885460345,1.0,0.0008246612052418714,0.0,0.9462157381752933,0.0,0.3812341617238421,0.0,0.7405377390529061,0.0,0.5877808059789194,0.0,0.2820931241892657,0.0,0.9482229099346388,0.0,0.6066880151653411,0.0,0.9584883920335892,0.0,0.04089571211359093,0.0,0.9599627847232198,0.0,0.3404343532693854,0.0,0.5103733245109816,0.0,0.6291233173647235,0.0,0.6112541217916264,0.0,0.9695078793708864,0.0,0.44994131027379103,0.0,0.2822603340050238,0.0,0.5133818758253265
CPI_sqd,300,6.421442031860352,0.13475849446164678,0.0,1.0183647967389205e-33,0.0,1.0,0.0,1.387501161681835e-05,0.0,7.985695354669174e-29,0.0,1.0,0.0,1.6285521074892653e-46,0.0,1.1579074792116386e-49,0.0,1.6724787086898434e-125,0.0,1.4822074708857278e-118,0.0,1.9146375783006275e-17,0.0,0.0,0.0,6.240101897813659e-48,0.0,1.0,0.0,0.9997091645010272,0.0,8.116438407036469e-15,0.0,1.0,0.0,5.092706960454513e-172,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.501635821359414e-176,0.0,0.9616132977500456,0.0,2.2273299833498887e-192,0.0,2.9739145463638225e-19,0.0,3.169668861413201e-199,0.0,1.0,0.0,1.0,0.0,0.9999999997750662,0.0,1.0,0.0,1.0,1.0,1.346267121424114e-06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.749438672718042e-05,0.0,0.9946808142649619,0.0,2.5658900110206965e-49,0.0,1.0,0.0,6.9941446080729195e-84,0.0,1.0,0.0,0.9924350474643597,0.0,0.0,0.0,1.0,0.0,8.72382927238058e-266,0.0,6.234500744419319e-107,0.0,2.884187966401595e-284
S-CPI,300,18.13992667198181,0.13475849446164678,0.0,0.44817451622459126,0.0,0.3726763226011528,0.0,0.2240561290709182,0.0,0.33833293598167774,0.0,0.29028604019666987,0.0,0.4207474809622432,0.0,0.6863747431334154,0.0,0.11151405940653686,0.0,0.08547227752803865,0.0,0.7039319004279985,0.0,0.24605912567657368,0.0,0.28076056004290945,0.0,0.8680613047399608,0.0,0.7596253565425084,0.0,0.19693221123209825,0.0,0.37187414578416417,0.0,0.03389577337831812,0.0,0.91528084185881,0.0,0.5706790111053537,0.0,0.7740346311263946,0.0,0.855697463068452,0.0,0.4890898562535175,0.0,0.7410598982143018,0.0,0.08949547959949411,0.0,0.9314375561957061,0.0,0.5612034182535761,0.0,0.7413304988150476,0.0,0.4992647940433423,0.0,0.47835280748340636,0.0,0.777856483815086,0.0,0.9218242261354459,1.0,0.23693612615907356,0.0,0.8574658407127231,0.0,0.6600576542534428,0.0,0.8963814747652309,0.0,0.7117972124168194,0.0,0.5048332065467743,0.0,0.9421616217652307,0.0,0.5006902665033097,0.0,0.5585021218806078,0.0,0.13780563372149662,0.0,0.9339664593120254,0.0,0.3871459169415437,0.0,0.5521707319860727,0.0,0.7137596897321209,0.0,0.3434592116750731,0.0,0.922028659527192,0.0,0.12497313191034415,0.0,0.2855308784140054,0.0,0.7102732888179454
S-CPI_sqrt,300,18.135392904281616,0.13475849446164678,0.0,0.49297328897311,0.0,0.4914307170551312,0.0,0.4468931425759234,0.0,0.5378498108791868,0.0,0.5436689788067852,0.0,0.49980271585993225,0.0,0.5118451426155826,0.0,0.44644685803297907,0.0,0.48650778875200945,0.0,0.5380727581765293,0.0,0.5027403230071572,0.0,0.4848233600647872,0.0,0.5162236717315919,0.0,0.5183711467538406,0.0,0.5010546842997078,0.0,0.47497895719089156,0.0,0.4704457585701755,0.0,0.5375962170350449,0.0,0.517279492762851,0.0,0.5457146317809299,0.0,0.5172289689809311,0.0,0.5014168209856227,0.0,0.5117832102647689,0.0,0.445334953006144,0.0,0.5187400871368658,0.0,0.4866573522496861,0.0,0.5934948217054427,0.0,0.4999854184975822,0.0,0.5070006807354607,0.0,0.5032330368228927,0.0,0.562394618251453,1.0,0.36117930611154314,0.0,0.5506704481967901,0.0,0.5009238707729559,0.0,0.5446928473370002,0.0,0.5112626281212019,0.0,0.5135431847787902,0.0,0.5791466698248962,0.0,0.4900157203690913,0.0,0.4409522709354975,0.0,0.46697521551075105,0.0,0.5577422804549451,0.0,0.49448740839512895,0.0,0.5054276117213722,0.0,0.5025565213921815,0.0,0.45860417834404077,0.0,0.6055823404198089,0.0,0.468791484235793,0.0,0.4818706285815956,0.0,0.5224447578825944
S-CPI_n,300,18.14108443260193,0.13475849446164678,0.0,0.3970908928887505,0.0,0.45157588579740027,0.0,0.26736984327233104,0.0,0.5192317796349831,0.0,0.5614603380995947,0.0,0.4340641420926228,0.0,0.4573829565166553,0.0,0.28556827954373826,0.0,0.4831992403458844,0.0,0.6434979406833057,0.0,0.3682225422039084,0.0,0.47264792592784005,0.0,0.6184059602318328,0.0,0.6791063241726938,0.0,0.418243684297735,0.0,0.48861171198598163,0.0,0.3093180347025049,0.0,0.6682202156092791,0.0,0.5427051251264979,0.0,0.733567912536023,0.0,0.588769318979835,0.0,0.5283599787193698,0.0,0.6175400624000277,0.0,0.24310971634570938,0.0,0.6353087862598917,0.0,0.5056434877211367,0.0,0.7870383555458452,0.0,0.581110623514762,0.0,0.5635574586437018,0.0,0.6206443529157959,0.0,0.7978077218704116,1.0,0.496076958792653,0.0,0.7540096055217209,0.0,0.45254470930316687,0.0,0.7712872024110362,0.0,0.49740396713026414,0.0,0.5807108838401946,0.0,0.7860761041568132,0.0,0.5075893032461037,0.0,0.5340277891766362,0.0,0.20714584107612966,0.0,0.6281257437828867,0.0,0.3573429182271218,0.0,0.607861761136244,0.0,0.5497948295964876,0.0,0.3774412117947441,0.0,0.8618353157736363,0.0,0.248404984819537,0.0,0.3508104588822524,0.0,0.6271671054207906
S-CPI_bt,300,18.326627492904663,0.13475849446164678,0.0,0.47702408400372465,0.0,0.3470681176248503,0.0,0.21484908864523639,0.0,0.6930436706021471,0.0,0.7895623054271639,0.0,0.35187128943797147,0.0,0.5437523472366605,0.0,0.06455521007724144,0.0,0.3073311523148018,0.0,0.7249541959412921,0.0,0.5553242815617242,0.0,0.4271163125225437,0.0,0.7210033936098879,0.0,0.7928187552636943,0.0,0.3105475810473579,0.0,0.3955176796581003,0.0,0.24015957904510032,0.0,0.7670795645197195,0.0,0.5691241055568205,0.0,0.8242410420104616,0.0,0.628837195710874,0.0,0.44323835417998564,0.0,0.60042253605429,0.0,0.18217592834238933,0.0,0.7275503703825792,0.0,0.47390617460117407,0.0,0.9988219350291683,0.0,0.5373567877897264,0.0,0.5110206434563173,0.0,0.5981777395012363,0.0,0.9472556757607846,1.0,0.12148399958065526,0.0,0.904169512376074,0.0,0.4589240762094756,0.0,0.9212881239083857,0.0,0.5635309951325094,0.0,0.641727355607485,0.0,0.9506213649665121,0.0,0.3420158738480181,0.0,0.13796351664738282,0.0,0.009346191464429294,0.0,0.9313216805760091,0.0,0.36370141353070273,0.0,0.497801861691352,0.0,0.39404715502606025,0.0,0.23486760476844226,0.0,0.9913967549633187,0.0,0.037844422545330436,0.0,0.35093290184701303,0.0,0.8683869538156042
