method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,859.8181157112122,0.12219162004423012,0.0,1.0,0.0,0.1628802385790935,0.0,0.2710690029543624,0.0,0.996951561529592,0.0,0.08833788557418198,0.0,1.0,0.0,2.2452996240041045e-08,0.0,0.0,0.0,1.2441898619153235e-06,0.0,0.000204196815123181,0.0,0.0,0.0,7.636776766517528e-10,0.0,1.0,0.0,1.0,0.0,0.9966820710176745,0.0,1.0,0.0,0.1158792220550563,0.0,1.0,0.0,0.0,0.0,0.9999844561729543,1.0,1.865174681370263e-14,0.0,1.0,0.0,0.287032738621102,0.0,0.0013380001689217158,0.0,0.9989561806880564,0.0,1.0,0.0,1.0,0.0,0.6731510559612943,0.0,1.0,0.0,3.3306690738754696e-16,0.0,3.47057025923414e-05,0.0,0.7075098343393795,0.0,1.0,0.0,0.0,0.0,6.350133804344793e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23345365444035804,0.0,0.1542960544791021,0.0,0.009687328785739524,0.0,1.0,0.0,0.0001710485300476794,0.0,0.9999999999999987,0.0,4.507169744538686e-06,0.0,2.3580755714736057e-07,0.0,1.0,0.0,0.0017483771312942764,0.0,0.9626422405548538,0.0,1.0
CPI,300,16.40884041786194,0.12219162004423012,0.0,0.7249701349704516,0.0,0.01611063579375925,0.0,0.7663885026981917,0.0,0.2184571225675544,0.0,0.30839438665890573,0.0,0.6848857098357852,0.0,0.9994872759982799,0.0,0.0036844305590251554,0.0,0.3916033789038261,0.0,0.17153014571142133,0.0,0.4258539229836587,0.0,0.10774851125621937,0.0,0.376655492445182,0.0,0.43761356127081125,0.0,0.9126954369493041,0.0,0.2209411263048951,0.0,0.7388078137251355,0.0,0.5885935808959686,0.0,0.34867124734375204,0.0,0.558432490889504,1.0,0.05683187428873214,0.0,0.04386936542363403,0.0,0.32910287530696225,0.0,0.2495655095886114,0.0,0.6157429053604231,0.0,0.38214232536644155,0.0,0.339208593452514,0.0,0.16223085994027492,0.0,0.40897507646881165,0.0,0.027846465998573478,0.0,0.46198018644019906,0.0,0.3142916924845975,0.0,0.10647123311236179,0.0,0.7966663781169763,0.0,0.39451382865121837,0.0,0.2541629635241406,0.0,0.37119202849372446,0.0,0.5120538378456269,0.0,0.6548398666690376,0.0,0.36665144718008,0.0,0.9386659996475157,0.0,0.5411148131547274,0.0,0.9975045407746121,0.0,0.402681341416735,0.0,0.3160233338688283,0.0,0.7482794741952191,0.0,0.7412380535486841,0.0,0.1639799933545696,0.0,0.5186058032874722,0.0,0.7532563899068966
CPI_sqrt,300,16.414823532104492,0.12219162004423012,0.0,0.5964915040643047,0.0,0.49060947656807363,0.0,0.5402125115723109,0.0,0.5206269220138446,0.0,0.5153200407569284,0.0,0.5098875573692813,0.0,0.5273778301424562,0.0,0.4897964069301552,0.0,0.5115084043058239,0.0,0.49432051964316487,0.0,0.4858804860793996,0.0,0.4703699143228162,0.0,0.4914124032406193,0.0,0.4944536612531287,0.0,0.5262388994654148,0.0,0.4927937627065219,0.0,0.5128325263478344,0.0,0.5106941041214325,0.0,0.5039671529178176,0.0,0.5035208874967473,1.0,0.2491353242001716,0.0,0.4950480191935596,0.0,0.5258187406016694,0.0,0.5101723123832946,0.0,0.5205311609861372,0.0,0.5045955073741649,0.0,0.5037705411642058,0.0,0.485759081305378,0.0,0.4752341950064329,0.0,0.492861142321453,0.0,0.5092881024870258,0.0,0.495605043752162,0.0,0.48102777608407654,0.0,0.4667189745519224,0.0,0.5310032905366627,0.0,0.48782438712955856,0.0,0.48838346746503614,0.0,0.4974703050079688,0.0,0.5496765828943374,0.0,0.577487700870104,0.0,0.5042025360388499,0.0,0.4632849082521908,0.0,0.5606016905578993,0.0,0.48287378510058643,0.0,0.49401632549834185,0.0,0.49257481149688925,0.0,0.5028823466040463,0.0,0.4789397684902059,0.0,0.5063204964364215,0.0,0.4693737976958392
CPI_n,300,16.409010410308838,0.12219162004423012,0.0,0.709350228108558,0.0,0.5276239344177917,0.0,0.40891353449522994,0.0,0.44700015804378784,0.0,0.6232085584515662,0.0,0.7786176216641836,0.0,0.7207108266365297,0.0,0.4162109300739354,0.0,0.512952672305872,0.0,0.45887805624163924,0.0,0.42084470227124765,0.0,0.3900792743927505,0.0,0.4658838408296969,0.0,0.44068861077889143,0.0,0.5743940886814998,0.0,0.49524753772865365,0.0,0.7327396427552431,0.0,0.5019065785415281,0.0,0.4911764717424122,0.0,0.5637648561185042,1.0,0.007893380361689075,0.0,0.494403899233666,0.0,0.5819268734588343,0.0,0.4198389072811058,0.0,0.6478544652663227,0.0,0.5197441699158115,0.0,0.4420498547376251,0.0,0.42675963272393497,0.0,0.5829254903056118,0.0,0.4833107456905532,0.0,0.5351641854254721,0.0,0.4857457260109595,0.0,0.39828338796632856,0.0,0.2840657551695949,0.0,0.5258260320823331,0.0,0.33744442637672545,0.0,0.6519213202197492,0.0,0.49838644327652537,0.0,0.4643710442351949,0.0,0.5617380890038124,0.0,0.47644665010055853,0.0,0.4559165358154854,0.0,0.7346277816181287,0.0,0.3621809339097111,0.0,0.4542176672780198,0.0,0.4846191646561025,0.0,0.5688309944352062,0.0,0.4192758798446905,0.0,0.5480962339996363,0.0,0.5043805328522182
CPI_bt,300,16.588029146194458,0.12219162004423012,0.0,0.9640422767950619,0.0,0.5468622712233538,0.0,0.6472204994798244,0.0,0.3478240910579147,0.0,0.003628690367010617,0.0,0.8334863327653181,0.0,0.8185910191366619,0.0,0.404667129211377,0.0,0.5138022143661983,0.0,0.48847813579862415,0.0,0.33107269911758935,0.0,0.4067106712861088,0.0,0.36983330206630327,0.0,0.41492504324930657,0.0,0.5553813410634425,0.0,0.4207066889456738,0.0,0.725477702940748,0.0,0.5975202923247454,0.0,0.49668395319005654,0.0,0.5488242249941014,1.0,0.0002577851581135699,0.0,0.27063037996250194,0.0,0.3540389596273578,0.0,0.6206586848931557,0.0,0.8364275454121588,0.0,0.5110602917631912,0.0,0.5586092111105894,0.0,0.5048302327713444,0.0,0.4773561133709843,0.0,0.5512917671465051,0.0,0.6028816959433134,0.0,0.4359418953156707,0.0,0.39548094320046595,0.0,0.38891931268881186,0.0,0.38173254011405044,0.0,0.4454670546385689,0.0,0.4891460996768208,0.0,0.5437945148968522,0.0,0.04885442597422672,0.0,0.9913008435768766,0.0,0.6901267109310135,0.0,0.351235967792576,0.0,0.9152683975666793,0.0,0.6430374395680408,0.0,0.42488556425244794,0.0,0.37677755483011877,0.0,0.5025917221557827,0.0,0.45216143738701037,0.0,0.2826710823409891,0.0,0.6509774760156634
CPI_sqd,300,16.59343671798706,0.12219162004423012,0.0,1.0,0.0,1.9739784756555275e-273,0.0,3.33076647312419e-25,0.0,1.165068477484122e-13,0.0,0.00010646738392508302,0.0,1.0,0.0,1.0,0.0,4.9898763344071704e-214,0.0,1.0,0.0,1.0101185770285578e-15,0.0,1.8566729870035774e-14,0.0,0.9999999999999943,0.0,1.0,0.0,2.3518890989942762e-192,0.0,1.0,0.0,2.316173540256973e-89,0.0,0.9999999942823811,0.0,2.4133443895622068e-126,0.0,9.255382708642655e-167,0.0,1.0,1.0,9.585612995740171e-44,0.0,7.198508036588928e-07,0.0,1.0,0.0,5.466610030668695e-130,0.0,0.055056318586287546,0.0,0.9991489108746622,0.0,0.9999970912026831,0.0,2.9050715357336256e-115,0.0,0.0001475016235177589,0.0,1.0,0.0,0.0015881882599411835,0.0,1.4296021769421186e-137,0.0,0.0,0.0,2.494111058458888e-52,0.0,0.9999999999884533,0.0,0.9999999999997956,0.0,1.0,0.0,0.09421402352865588,0.0,1.0,0.0,0.9687624522906425,0.0,0.24109645697482102,0.0,0.7733225373856886,0.0,1.0,0.0,1.0,0.0,3.507083369541768e-115,0.0,1.0,0.0,2.990731448198796e-08,0.0,4.004458558142412e-36,0.0,0.7137775477259574,0.0,1.0
S-CPI,300,28.97194743156433,0.12219162004423012,0.0,0.9493378418553381,0.0,0.3632013409297884,0.0,0.8559796861726601,0.0,0.33901781853762386,0.0,0.2289015767762161,0.0,0.9006156328875672,0.0,0.9851093063872562,0.0,0.003468011907594113,0.0,0.6559042274126816,0.0,0.24463608562094263,0.0,0.21554364299066087,0.0,0.33961432020736715,0.0,0.4235545123111313,0.0,0.1696386508816718,0.0,0.928416569853628,0.0,0.21726171356288043,0.0,0.8795562846203231,0.0,0.801790983611917,0.0,0.3351599469198647,0.0,0.8957091958637502,1.0,0.06802272956208823,0.0,0.06022902341223959,0.0,0.5693706705478175,0.0,0.2869498540729207,0.0,0.9226501837959077,0.0,0.5222260989270746,0.0,0.5634525616974608,0.0,0.8339566654989967,0.0,0.7006359507547916,0.0,0.4905492858934582,0.0,0.17040039808241464,0.0,0.3289603523190824,0.0,0.11934951146794381,0.0,0.3517747631215822,0.0,0.5563445658414197,0.0,0.1368743405537866,0.0,0.7637107709414485,0.0,0.32376769939848826,0.0,0.6857615795380022,0.0,0.8645122562389008,0.0,0.9177935617407375,0.0,0.33528205606757616,0.0,0.9944479795396409,0.0,0.29420732425464047,0.0,0.023198981331978483,0.0,0.6071583542159368,0.0,0.6179751644161692,0.0,0.25643660576392024,0.0,0.5521143464892729,0.0,0.5213540087192868
S-CPI_sqrt,300,28.97342801094055,0.12219162004423012,0.0,0.5695403977934281,0.0,0.49603041325540537,0.0,0.5171710139294813,0.0,0.4938984534727615,0.0,0.46436658418702903,0.0,0.5308622050550753,0.0,0.5478874922893445,0.0,0.4762368008348935,0.0,0.5087191120029535,0.0,0.4889822321179259,0.0,0.4760681736958899,0.0,0.4725711196519064,0.0,0.5074493479063665,0.0,0.4934851660374129,0.0,0.515574690672962,0.0,0.49016539867035364,0.0,0.5357933060448766,0.0,0.5249248849968805,0.0,0.4883926420540073,0.0,0.5199582003631525,1.0,0.25088549007198874,0.0,0.47384591000506376,0.0,0.5148156309472566,0.0,0.48689897505849666,0.0,0.5392709133656529,0.0,0.4906898003170571,0.0,0.5199914696827976,0.0,0.5057852146393749,0.0,0.5034260069038602,0.0,0.5008947101260044,0.0,0.49927568423195917,0.0,0.49307363230050555,0.0,0.48244736679463573,0.0,0.47501831765847546,0.0,0.49769747633761385,0.0,0.48753717127183316,0.0,0.5306862108235234,0.0,0.4969646304157917,0.0,0.5262337221830016,0.0,0.5338832562473745,0.0,0.5136540417927258,0.0,0.4632398539320627,0.0,0.582858329780727,0.0,0.4826531757636266,0.0,0.48721630450109227,0.0,0.5012639402155292,0.0,0.5038023316312467,0.0,0.49223558233879816,0.0,0.5218907794457589,0.0,0.506529145527433
S-CPI_n,300,28.976022481918335,0.12219162004423012,0.0,0.8713367097610237,0.0,0.5047489867137769,0.0,0.6286761658240173,0.0,0.35059294252462697,0.0,0.3162030561230438,0.0,0.7277600358397043,0.0,0.8171302193948883,0.0,0.33678700657087535,0.0,0.5199943262663497,0.0,0.4824353831560835,0.0,0.3693414084921647,0.0,0.30142998712985314,0.0,0.5678034485407899,0.0,0.3968493697640923,0.0,0.6644245749954137,0.0,0.4357578307680017,0.0,0.6600223421728676,0.0,0.6117838110880449,0.0,0.42496137482252744,0.0,0.6067318642817561,1.0,0.03799448488639898,0.0,0.2980989188224981,0.0,0.5696051735060953,0.0,0.4465169946766841,0.0,0.6599500976623965,0.0,0.46554585872093274,0.0,0.504633537390805,0.0,0.5317440365558138,0.0,0.6050696017431136,0.0,0.4817933802922059,0.0,0.4332821776359265,0.0,0.48193264849317274,0.0,0.3366917400284509,0.0,0.42028825174406537,0.0,0.38844998760911653,0.0,0.42367505676108896,0.0,0.5871341015514949,0.0,0.4580053036172593,0.0,0.642576236609021,0.0,0.7393307006952547,0.0,0.6389380593795809,0.0,0.3985136916759755,0.0,0.8610718227566335,0.0,0.38032225040362994,0.0,0.4358472313193228,0.0,0.5239109589281817,0.0,0.50120024592126,0.0,0.4058767589265081,0.0,0.6297623438428004,0.0,0.6106740151187389
S-CPI_bt,300,29.160929203033447,0.12219162004423012,0.0,0.9901933507852458,0.0,0.5186661795872234,0.0,0.7382813227407057,0.0,0.1878932879989893,0.0,0.025694630770687975,0.0,0.7635231113694996,0.0,0.8855678453374715,0.0,0.30235501738336856,0.0,0.5548988686289024,0.0,0.46523229283434925,0.0,0.3079284734829654,0.0,0.3657875981526693,0.0,0.5534530561635113,0.0,0.38634171334994544,0.0,0.5983882724479196,0.0,0.4549997186070583,0.0,0.785071846849707,0.0,0.6132043843143307,0.0,0.43306028486914716,0.0,0.7396163472207488,1.0,2.6363896341496165e-05,0.0,0.28063508827029593,0.0,0.42843533511107074,0.0,0.472003601933651,0.0,0.8378928654104809,0.0,0.4629479991145848,0.0,0.5565958371679266,0.0,0.4946998463203545,0.0,0.5959518838304236,0.0,0.48670880837387753,0.0,0.3594311939903171,0.0,0.48720597814456335,0.0,0.3425047302298533,0.0,0.4581915526772359,0.0,0.5330558284384666,0.0,0.3656765004401118,0.0,0.837784381707036,0.0,0.5076083233902375,0.0,0.3798403803463553,0.0,0.9857189635123778,0.0,0.6367955233506609,0.0,0.5120625606229092,0.0,0.9398425426480815,0.0,0.39094117600200595,0.0,0.3635678985714589,0.0,0.45131123650529587,0.0,0.5529852520462589,0.0,0.4311627847077988,0.0,0.4579446426838452,0.0,0.5742415104971984
