method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.397284746170044,0.044367427375059165,0.0,0.7864819408883889,0.0,0.10843266789224426,0.0,0.774088943207291,0.0,0.7957298343617636,0.0,0.43137207146746037,0.0,0.9999907728203076,0.0,0.9836084386231905,0.0,5.395090137971792e-07,0.0,0.475802452529108,0.0,0.9175054578125272,0.0,0.8502513107867916,0.0,0.9987067973832785,0.0,0.02753253281190149,0.0,0.9999977286521319,0.0,0.03616819663825155,0.0,0.9999999998993935,0.0,0.0005534208233061166,0.0,0.8999132265396435,0.0,0.007620097522363034,0.0,0.9604907875046937,0.0,0.005309171207438457,1.0,9.432825052169136e-07,0.0,0.00037942481697306185,0.0,0.9994358328108958,0.0,0.41615027038658925,0.0,0.09565129791800597,0.0,1.3347034588662154e-10,0.0,0.9173252232398798,0.0,1.0,0.0,0.3671714459194586,0.0,0.5077782645044362,0.0,0.9329931754838477,0.0,0.3153043696392406,0.0,0.058739893851988856,0.0,0.9864162163055316,0.0,0.6273843016468531,0.0,0.9956241135618906,0.0,0.8860951736312882,0.0,0.04349672801650084,0.0,0.022087079888846728,0.0,0.9969770146898145,0.0,0.40211124766815576,0.0,0.02659631780664984,0.0,6.216582804086102e-10,0.0,2.8763736064085776e-06,0.0,0.9999998349191108,0.0,0.448591421405671,0.0,0.953247399223616,0.0,0.7401528943337906,0.0,2.3202197341198882e-07
CPI,300,3.282093048095703,0.044367427375059165,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.17239029664397237,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8579776378955251,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8594552125036019,0.0,1.0,0.0,0.34305435119940136,1.0,0.026333016595080357,0.0,1.0,0.0,0.7181933975391261,0.0,0.9160892627693068,0.0,0.6693026713224086,0.0,1.0,0.0,1.0,0.0,0.9734495126988963,0.0,0.18744168937242867,0.0,1.0,0.0,0.08415847505198704,0.0,0.2699710454855483,0.0,1.0,0.0,1.0,0.0,0.5811534431580966,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9108282464556994,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5164617643798469,0.0,0.17361442854710424,0.0,1.0,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.2640249729156494,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5021682871182751,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5319672820139371,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5006218451904492,0.0,0.5,0.0,0.49622156344185814,1.0,0.2735979909760994,0.0,0.5,0.0,0.5018362160909317,0.0,0.588855526724876,0.0,0.5218979960103203,0.0,0.5,0.0,0.5,0.0,0.5353137575914902,0.0,0.454320880138284,0.0,0.5,0.0,0.4721035410866666,0.0,0.4939863115832288,0.0,0.5,0.0,0.5,0.0,0.5001307781876785,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5092544059144437,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5293921704991613,0.0,0.507947654492846,0.0,0.5,0.0,0.5,0.0,0.5
CPI_n,300,3.259829044342041,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48681358435334143,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.20417167512732803,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5588240372338917,0.0,0.5,0.0,0.6091959409663632,1.0,0.022621123148651383,0.0,0.5,0.0,0.5280264083475293,0.0,0.6145714502016402,0.0,0.5408028333762266,0.0,0.5,0.0,0.5,0.0,0.748061308501613,0.0,0.37120818689248647,0.0,0.5,0.0,0.6720778446781499,0.0,0.43716233383433006,0.0,0.5,0.0,0.5,0.0,0.4971323028578148,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3956275537929456,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7000770143800009,0.0,0.40543673244200545,0.0,0.5,0.0,0.5,0.0,0.5
CPI_bt,300,3.4483132362365723,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.46357797227117364,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.39647341640506883,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.556825506685257,0.0,0.5,0.0,0.7264603637876268,1.0,1.5547575059653738e-12,0.0,0.5,0.0,0.8651416211401779,0.0,0.026181676762284698,0.0,0.9565173868816594,0.0,0.5,0.0,0.5,0.0,0.47318169815941724,0.0,0.2639738284830887,0.0,0.5,0.0,0.7570637603763573,0.0,0.555704761165867,0.0,0.5,0.0,0.5,0.0,0.49717943873661014,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.17749648589582073,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5996422050963174,0.0,0.19487365718413807,0.0,0.5,0.0,0.5,0.0,0.5
CPI_sqd,300,3.4404079914093018,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,7.750672073898538e-05,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,3.571253291358522e-10,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,5.248020280074863e-21,1.0,4.077481808851988e-14,0.0,0.5,0.0,2.1355312418744687e-36,0.0,0.9995031023653507,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.625463423844787,0.0,0.9998423689375113,0.0,0.5,0.0,1.0,0.0,3.69095624242463e-101,0.0,0.5,0.0,0.5,0.0,0.5472715976392879,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.19396807750505357,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI,300,3.367152690887451,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.16825605485224904,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7715471886401859,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9430786042349659,0.0,0.5,0.0,0.5645376678008742,1.0,0.029448780260632496,0.0,0.5,0.0,0.8053636346890471,0.0,0.867877776255644,0.0,0.7375247166556712,0.0,0.5,0.0,0.5,0.0,0.9282766828983483,0.0,0.4272245674007671,0.0,0.5,0.0,0.7911397980263628,0.0,0.4957538697083974,0.0,0.5,0.0,0.5,0.0,0.3254284428666997,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5437895683582019,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7361611943848249,0.0,0.46631201675777495,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI_sqrt,300,3.364570140838623,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.496967957674898,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5840765726357204,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5309507462454075,0.0,0.5,0.0,0.5200690213285951,1.0,0.24224905817886583,0.0,0.5,0.0,0.6317188873967323,0.0,0.7129593799211649,0.0,0.5486260605544067,0.0,0.5,0.0,0.5,0.0,0.5698990570876887,0.0,0.4810230352599297,0.0,0.5,0.0,0.5317791850071089,0.0,0.49686585546643136,0.0,0.5,0.0,0.5,0.0,0.5000142740950375,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5051308096631693,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.584724414729013,0.0,0.4922767173276597,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI_n,300,3.3652610778808594,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4924700731160364,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5123551241720969,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6777160488164631,0.0,0.5,0.0,0.47748827945815886,1.0,0.06877877721349172,0.0,0.5,0.0,0.7707128241824871,0.0,0.8169156412202926,0.0,0.6769479873998605,0.0,0.5,0.0,0.5,0.0,0.7122964397752928,0.0,0.471724816378106,0.0,0.5,0.0,0.7922085071333146,0.0,0.47700226007038027,0.0,0.5,0.0,0.5,0.0,0.4984748766078976,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4563762765903735,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6433453935267304,0.0,0.5321847361077975,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI_bt,300,3.549328565597534,0.044367427375059165,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.46499441026318566,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7861437375294602,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7754382646574374,0.0,0.5,0.0,0.6364644020508305,1.0,2.5027084297771386e-05,0.0,0.5,0.0,0.9915080633645666,0.0,0.9999984542515887,0.0,0.7484709680782328,0.0,0.5,0.0,0.5,0.0,0.8868378430800198,0.0,0.09303718226702695,0.0,0.5,0.0,0.9898128265554613,0.0,0.47866322989824195,0.0,0.5,0.0,0.5,0.0,0.4998677717661949,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5458799457374505,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9225557259691702,0.0,0.5445904755231865,0.0,0.5,0.0,0.5,0.0,0.5
