method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,67.39884305000305,0.7219090857486422,0.0,0.9991500657308579,0.0,0.00034196355112825483,0.0,0.8606499970594828,0.0,0.012275444577134142,0.0,0.30200851126811523,0.0,0.6162053545116928,0.0,0.8453733602929638,0.0,0.06112795732266951,0.0,0.2700894288713467,0.0,0.9859096715456951,0.0,0.9999999974632485,0.0,0.1232981483057517,0.0,0.9999999405446695,0.0,6.537755258495537e-06,0.0,0.87069188369882,0.0,0.9994321846601182,0.0,0.999177644738949,0.0,0.9999988174339162,0.0,0.2021184030427179,0.0,0.9999900617647706,0.0,0.012727764196997948,0.0,2.1602822863897586e-09,0.0,0.17848532701270325,0.0,0.16465937219262772,1.0,0.48861038891809394,0.0,0.9618744975958746,0.0,0.999414569480462,0.0,0.001721835796848925,0.0,0.9997883221494075,0.0,0.9982384695174739,0.0,0.7407973405446356,0.0,0.9859802980048669,0.0,0.9999665328582978,0.0,0.9993717761702968,0.0,0.17871819925764987,0.0,0.9972410180062625,0.0,3.524007083921532e-07,0.0,0.07766046167835705,0.0,0.08801992095766531,0.0,1.1645944457461255e-05,0.0,0.9999481196472929,0.0,0.0005311607153635212,0.0,0.003838898826672099,0.0,0.9994795797103675,0.0,0.8045344919409871,0.0,0.9739935200923392,0.0,0.001780932924368428,0.0,0.9999988641928258,0.0,0.9999968271460004,0.0,3.103539314430748e-08
CPI,300,4.403279781341553,0.7219090857486422,0.0,0.10534397126173994,0.0,0.7961950085554639,0.0,0.16987730550727997,0.0,0.10641719870265126,0.0,0.8753108029924029,0.0,0.22958203854540093,0.0,0.5934028464929589,0.0,0.0714811450319297,0.0,0.45838389470247787,0.0,0.2014797403705349,0.0,0.015121140358907235,0.0,0.5229717387335662,0.0,0.5062564509276735,0.0,0.8158742968758653,0.0,0.0814978484803075,0.0,0.8335161052650873,0.0,0.8545765977645498,0.0,0.6481910007496495,0.0,0.3470690384425449,0.0,0.9319190917899003,0.0,0.922533541970721,0.0,0.5510392005808162,0.0,0.7046693909387826,0.0,0.766004094701157,1.0,0.7290236865022612,0.0,0.7943852425582862,0.0,0.37729566929486275,0.0,0.4300469550210483,0.0,0.17951016108228934,0.0,0.662819493188664,0.0,0.7586272512347371,0.0,0.7872949758190215,0.0,0.4557649189438526,0.0,0.12957204331298555,0.0,0.872658284611554,0.0,0.6833350841154683,0.0,0.3607494205256711,0.0,0.6376991090790751,0.0,0.44992360796857533,0.0,0.6284635562153906,0.0,0.32683224661348276,0.0,0.8954090674238545,0.0,0.2930436997372361,0.0,0.27309844618201407,0.0,0.1488017154940175,0.0,0.8876669575322311,0.0,0.5857224340070243,0.0,0.43329535288771603,0.0,0.7976447503325015,0.0,0.6493886436071554
CPI_sqrt,300,4.4003448486328125,0.7219090857486422,0.0,0.4988852847372502,0.0,0.500899503541814,0.0,0.5023115478090234,0.0,0.5031976486394815,0.0,0.5060937654865335,0.0,0.4964549851912161,0.0,0.499652928744695,0.0,0.4986223221255842,0.0,0.49056062919154847,0.0,0.5008321868228987,0.0,0.49110132017503005,0.0,0.5006590669370494,0.0,0.4960353613182789,0.0,0.5013408949074477,0.0,0.4938515654916291,0.0,0.49878585115885316,0.0,0.5003817556361846,0.0,0.5056952958219606,0.0,0.4858118316164781,0.0,0.5036881869109932,0.0,0.5113329512431797,0.0,0.5054538131842643,0.0,0.5059873002437032,0.0,0.5006744879707833,1.0,0.4888284864532236,0.0,0.4952904594322557,0.0,0.5007402379966459,0.0,0.5030406568103564,0.0,0.5053911221905941,0.0,0.5039551568601202,0.0,0.5024680720137737,0.0,0.4968838482548798,0.0,0.49849284146735945,0.0,0.5010783825281215,0.0,0.50116661388305,0.0,0.4778144443178318,0.0,0.4970069789848026,0.0,0.49966167189868177,0.0,0.4972866953765618,0.0,0.499689415323095,0.0,0.4836761914602462,0.0,0.4979746062448362,0.0,0.49943350658509095,0.0,0.4989101311450728,0.0,0.49745521666333814,0.0,0.5017403827653715,0.0,0.5027982220980339,0.0,0.49794298199830506,0.0,0.49983948091439706,0.0,0.48534874834593994
CPI_n,300,4.393503189086914,0.7219090857486422,0.0,0.46535283459526333,0.0,0.47397344229147675,0.0,0.5049531908589183,0.0,0.5533948444818484,0.0,0.5109959288760373,0.0,0.5542431215151026,0.0,0.530146350222649,0.0,0.516009693057098,0.0,0.4789220899100127,0.0,0.49500752914391255,0.0,0.4184172880343483,0.0,0.500356464298352,0.0,0.5242989766793302,0.0,0.4741291035068481,0.0,0.489018400798113,0.0,0.43230199814823594,0.0,0.54993800016327,0.0,0.5867865839517641,0.0,0.42736679552395684,0.0,0.49069163579410147,0.0,0.5766254302111655,0.0,0.46271460862088637,0.0,0.6310642416713128,0.0,0.5385004534447775,1.0,0.3450363790399425,0.0,0.43038805063564717,0.0,0.4919734769326889,0.0,0.4916112517398358,0.0,0.5097729585217369,0.0,0.5642037052035656,0.0,0.44036825606507507,0.0,0.48027592310722717,0.0,0.4924358180167511,0.0,0.5379179327297933,0.0,0.5155387521536636,0.0,0.4064427232600985,0.0,0.48448792277933284,0.0,0.47245067676237534,0.0,0.4579574203452531,0.0,0.5022886694367293,0.0,0.48202411762491937,0.0,0.46794293329340314,0.0,0.4566504761299621,0.0,0.505099918950774,0.0,0.49145864864594213,0.0,0.5047750460865414,0.0,0.5731367152669622,0.0,0.47888009954840893,0.0,0.4509576447712369,0.0,0.3606196491790074
CPI_bt,300,4.577037334442139,0.7219090857486422,0.0,0.4930107013019732,0.0,0.5616831653580826,0.0,0.45138489599897363,0.0,0.5013279505352841,0.0,0.5218248093770781,0.0,0.5329725932736814,0.0,0.5512975182811893,0.0,0.5269806049773282,0.0,0.4585205861114425,0.0,0.49107812096266823,0.0,0.44825904293437563,0.0,0.5124063079129959,0.0,0.4910385001838142,0.0,0.459851606482338,0.0,0.6470538322422222,0.0,0.5203165754751796,0.0,0.5307565520324512,0.0,0.49024959343165714,0.0,0.4230491172098604,0.0,0.4662995573565966,0.0,0.555684289198753,0.0,0.4647924468670054,0.0,0.5838837407878725,0.0,0.4347619302592067,1.0,0.43343928028379813,0.0,0.4587089567909959,0.0,0.5347492253355665,0.0,0.5164339236700999,0.0,0.4879598850072832,0.0,0.6625699912612831,0.0,0.5304252544709093,0.0,0.4851522165173807,0.0,0.46612213256850854,0.0,0.542050830147461,0.0,0.5210350910411063,0.0,0.21821551384361543,0.0,0.5397439741024623,0.0,0.47972796535720325,0.0,0.397314682272407,0.0,0.5308223502459657,0.0,0.5307974746245445,0.0,0.5138578872854136,0.0,0.47566502349261564,0.0,0.5725502735184341,0.0,0.4519328023842488,0.0,0.5010877887164292,0.0,0.5316441637131274,0.0,0.4637756160138587,0.0,0.4755431189823074,0.0,0.3519344149250433
CPI_sqd,300,4.660184383392334,0.7219090857486422,0.0,9.492713918192349e-46,0.0,1.0,0.0,1.0,0.0,4.032380386770357e-27,0.0,0.17917352723708252,0.0,0.999999971322145,0.0,0.08518481468237638,0.0,0.4733762111494161,0.0,4.3079607505089704e-17,0.0,0.023074228475357946,0.0,3.0664431635191657e-10,0.0,0.5869318603877662,0.0,0.008144960443689661,0.0,0.4548278820317806,0.0,1.0,0.0,0.9999999999999475,0.0,1.0,0.0,0.0712564940752051,0.0,2.6638713134702145e-18,0.0,0.47874578356898406,0.0,1.0,0.0,1.2647048389636289e-33,0.0,1.0,0.0,2.2760083065312222e-21,1.0,1.4126994238431909e-204,0.0,0.008676187971111627,0.0,3.1866726901607856e-20,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999989194,0.0,2.5314634858662424e-27,0.0,0.999996709337111,0.0,1.0,0.0,0.9999999959470552,0.0,1.1438427451926504e-181,0.0,0.9374791654912703,0.0,0.1343614788870348,0.0,4.984756108451088e-06,0.0,0.19312608254581792,0.0,6.458667761887151e-85,0.0,1.4954267697286415e-08,0.0,7.470443409369527e-114,0.0,2.0651716004030624e-23,0.0,5.3635859930638155e-40,0.0,0.9999999998923096,0.0,0.0010189686802545806,0.0,1.0,0.0,1.556255409398152e-11,0.0,3.1854041651036036e-12
S-CPI,300,4.854506731033325,0.7219090857486422,0.0,0.5178179705647499,0.0,0.7939585493009459,0.0,0.6232091398422513,0.0,0.3466011556257873,0.0,0.7693495654394698,0.0,0.6434991299230389,0.0,0.621625378377247,0.0,0.5509641000235204,0.0,0.4189948757624875,0.0,0.11453016080865613,0.0,0.003100326721724466,0.0,0.6435527795505309,0.0,0.5710565391549713,0.0,0.13578238992699482,0.0,0.7386629001613821,0.0,0.7382293421900593,0.0,0.9639166412454386,0.0,0.8413500050445275,0.0,0.3661447747284878,0.0,0.9106162308809833,0.0,0.9900304435162008,0.0,0.20575069981878297,0.0,0.9318524736954069,0.0,0.6574295992092866,1.0,0.32279885981693096,0.0,0.4808127106867312,0.0,0.4767339112377812,0.0,0.7935152871730975,0.0,0.7228068240303874,0.0,0.9423334839661757,0.0,0.5078377988557864,0.0,0.8290187719327864,0.0,0.39370523658071177,0.0,0.6872747080934959,0.0,0.8767326421863639,0.0,0.3511203984193801,0.0,0.8239593161372962,0.0,0.4885304716907635,0.0,0.09923028074753598,0.0,0.8341745479318272,0.0,0.9000278769362903,0.0,0.4115046240495589,0.0,0.395472241255545,0.0,0.41486662606242164,0.0,0.2661995160468015,0.0,0.7332502370031492,0.0,0.711250940140912,0.0,0.4155150779753051,0.0,0.44277469115710194,0.0,0.29076931158122854
S-CPI_sqrt,300,4.823713302612305,0.7219090857486422,0.0,0.49443074188363767,0.0,0.5203505209217153,0.0,0.5006152276679046,0.0,0.5014526752937166,0.0,0.5032877539198729,0.0,0.4997175249468843,0.0,0.5052691022493164,0.0,0.501581325213942,0.0,0.4962011629231322,0.0,0.49784013437118246,0.0,0.4875165067076314,0.0,0.5002207806439364,0.0,0.5053177551175906,0.0,0.4932896426811903,0.0,0.4982756731845987,0.0,0.5046052459448114,0.0,0.5068098304763333,0.0,0.505729673303348,0.0,0.48764389473009295,0.0,0.5022704918855916,0.0,0.5132793832857807,0.0,0.4964723894455028,0.0,0.5155014889126697,0.0,0.5008755073151049,1.0,0.4978623175538205,0.0,0.49204850379997583,0.0,0.49930403158607767,0.0,0.5061810005467293,0.0,0.507495577325519,0.0,0.5233268257557516,0.0,0.5013561764632752,0.0,0.5036369332917454,0.0,0.49944025514647705,0.0,0.5066275240675451,0.0,0.5043058591581356,0.0,0.47583666610165554,0.0,0.5039119738724236,0.0,0.49874779312249995,0.0,0.4901096238124128,0.0,0.5059554775283553,0.0,0.5077526235368012,0.0,0.49980147320608537,0.0,0.4994493770029917,0.0,0.4954190391806483,0.0,0.49685190705588045,0.0,0.5006954741745238,0.0,0.5027872999630824,0.0,0.49895231644236177,0.0,0.4996655176618005,0.0,0.4938998076227817
S-CPI_n,300,4.8208863735198975,0.7219090857486422,0.0,0.4504593850110824,0.0,0.594977372769576,0.0,0.4781989645286344,0.0,0.5359179658215991,0.0,0.5141837655695349,0.0,0.5165749204470377,0.0,0.5244940030283484,0.0,0.46586506144808953,0.0,0.5035185547865372,0.0,0.4884866691229199,0.0,0.39890976576963,0.0,0.5181241132002404,0.0,0.5363241054579744,0.0,0.44268561123350914,0.0,0.47570824471708006,0.0,0.5192956024212132,0.0,0.5725478463006949,0.0,0.5660897171904437,0.0,0.42472861972977316,0.0,0.5175001199029593,0.0,0.5922218219690075,0.0,0.47039956599261545,0.0,0.6271082904814803,0.0,0.47659244064037604,1.0,0.48033782387301804,0.0,0.45884163358235663,0.0,0.4975192337952078,0.0,0.5002659929570563,0.0,0.568812338960741,0.0,0.6206066946831819,0.0,0.47636290373645984,0.0,0.5262851148467841,0.0,0.4851031393875366,0.0,0.5092865664112214,0.0,0.5317414413103124,0.0,0.39171555165700167,0.0,0.5174782319754528,0.0,0.46251647566676723,0.0,0.3910964143971611,0.0,0.5167450398010438,0.0,0.5566044031671831,0.0,0.5003226515448564,0.0,0.46647418339287405,0.0,0.4524436182728773,0.0,0.47738865755872395,0.0,0.5263736481059542,0.0,0.5309026888268651,0.0,0.5453654559872324,0.0,0.4930068986775293,0.0,0.4233042075455061
S-CPI_bt,300,4.999294281005859,0.7219090857486422,0.0,0.4920841730998956,0.0,0.6408413938767932,0.0,0.5129599170791531,0.0,0.5127144274605941,0.0,0.5091362538530926,0.0,0.5255283671762286,0.0,0.5188138070361165,0.0,0.4884293054359211,0.0,0.48257934758431914,0.0,0.48306504820921603,0.0,0.37548217920962595,0.0,0.4764143786502218,0.0,0.5302277322248184,0.0,0.4306547654680843,0.0,0.5319962907956398,0.0,0.5323808103411043,0.0,0.576524494065328,0.0,0.5900109735448347,0.0,0.3939609405592927,0.0,0.5398918004226417,0.0,0.7418083265798846,0.0,0.41776576307414554,0.0,0.6135983438956921,0.0,0.4990739828331732,1.0,0.6298163145711038,0.0,0.47382603890443015,0.0,0.5159935163136385,0.0,0.5353674602689239,0.0,0.5039323032206314,0.0,0.6828470575671625,0.0,0.504664699711976,0.0,0.5274940413033732,0.0,0.515286429848656,0.0,0.5305421534381903,0.0,0.5405977513497006,0.0,0.43891435960407293,0.0,0.5483371536099272,0.0,0.4935784467864655,0.0,0.4030738727963179,0.0,0.5308115156870058,0.0,0.5940275276562618,0.0,0.4922216170590846,0.0,0.4630976033342326,0.0,0.5120507151946887,0.0,0.4668035993632159,0.0,0.5143688687356265,0.0,0.5665117713542827,0.0,0.48982523703303515,0.0,0.5145260093092572,0.0,0.48912649589976637
