method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,14.21079707145691,0.5287518816404555,0.0,0.4579493521007322,0.0,0.8895118732953766,0.0,0.766974328791117,0.0,0.8247106854804389,0.0,0.37884917530151807,0.0,0.42048920423530556,0.0,0.7368401431256406,0.0,0.384222529037485,0.0,0.8764410459135488,0.0,0.7988888839098902,0.0,0.28120108556377055,0.0,0.5035406444787592,0.0,0.6758381567940013,0.0,0.38174361807598756,0.0,0.69531943543911,0.0,0.7174156257920138,0.0,0.970360793680764,0.0,0.6105451221751728,0.0,0.32989245296989356,0.0,0.9290695899287368,0.0,0.0859140002960197,0.0,0.536889617264007,0.0,0.5501385467809937,0.0,0.6877947481737553,0.0,0.801225326008823,0.0,0.10761403423308558,0.0,0.924426149316092,0.0,0.9303856554945549,0.0,0.5801227650877869,0.0,0.8551530509391697,0.0,0.4215517066121408,0.0,0.3847722859929039,0.0,0.32133369041827686,0.0,0.36857124264251584,0.0,0.7052156692983678,0.0,0.6307892723252172,0.0,0.9530287435157431,0.0,0.7998564070591425,0.0,0.4592867907299839,1.0,0.7359693997650533,0.0,0.8033473298464407,0.0,0.26338053416854823,0.0,0.2783206383835328,0.0,0.23145373356723664,0.0,0.7879770683372739,0.0,0.3910798566669781,0.0,0.6486609566798913,0.0,0.7662117670470369,0.0,0.7377306087879743,0.0,0.460524701859241
CPI,300,4.110496997833252,0.5287518816404555,0.0,0.6840995965721122,0.0,0.828900268918397,0.0,0.12335801069452101,0.0,0.2601238912175186,0.0,0.5234467732931785,0.0,0.24033914014538182,0.0,0.43116525470575934,0.0,0.18847733977491687,0.0,0.30726580348549704,0.0,0.38425989935795296,0.0,0.8462064914536136,0.0,0.332072109412164,0.0,0.42923976090021043,0.0,0.6998087973251019,0.0,0.500148608593497,0.0,0.7598607711264997,0.0,0.45345986318898523,0.0,0.8794237900738167,0.0,0.6231811513204799,0.0,0.35372102056223786,0.0,0.42073499902774847,0.0,0.8011011224861848,0.0,0.6485877387848178,0.0,0.8487282920501072,0.0,0.4960322309698044,0.0,0.39750520558308766,0.0,0.8618591240677713,0.0,0.3036753058671888,0.0,0.6325166387606325,0.0,0.6648346645239869,0.0,0.23731686574891242,0.0,0.7580289709170414,0.0,0.1272325217677887,0.0,0.4033432629028517,0.0,0.7885536708349937,0.0,0.6731640863570199,0.0,0.69548943454562,0.0,0.7998496455241337,0.0,0.11350187228066416,1.0,0.27921018831651156,0.0,0.1795325520677275,0.0,0.7999751943992859,0.0,0.6661614725183522,0.0,0.033277359680848675,0.0,0.5549947909775895,0.0,0.6883000181724663,0.0,0.5808108832272529,0.0,0.9335829983564451,0.0,0.5469264382934136,0.0,0.7790878875049905
CPI_sqrt,300,4.112648010253906,0.5287518816404555,0.0,0.4939977086809153,0.0,0.48796760896287533,0.0,0.4993942027176151,0.0,0.45741264085773636,0.0,0.45763086723689905,0.0,0.49095067320899644,0.0,0.49698930718887335,0.0,0.46983948620671134,0.0,0.5167385016346313,0.0,0.4733982217464887,0.0,0.5332633509225977,0.0,0.48212313421881337,0.0,0.46717008071074007,0.0,0.4873199318610951,0.0,0.4983124646692865,0.0,0.5015056881458686,0.0,0.4918600711346799,0.0,0.51625754078273,0.0,0.5093657409299729,0.0,0.5617321137213851,0.0,0.4467057073649967,0.0,0.48937708424498066,0.0,0.5323346073401766,0.0,0.5359775048307276,0.0,0.5235903604182203,0.0,0.48181589175004896,0.0,0.4742095707166062,0.0,0.47370816366249197,0.0,0.5051126143856846,0.0,0.5042996494638328,0.0,0.4620608302449713,0.0,0.5362589812354999,0.0,0.5455418576850196,0.0,0.5223109532944346,0.0,0.5248242296444959,0.0,0.49567121147048776,0.0,0.5226122863625415,0.0,0.5266631296599636,0.0,0.49481633629088995,1.0,0.49737545612996326,0.0,0.40763118302107665,0.0,0.5153283577614158,0.0,0.48669165975359635,0.0,0.5138020531061502,0.0,0.536076234600259,0.0,0.49430270680952343,0.0,0.5180330090863839,0.0,0.4610461602597657,0.0,0.5578247004138387,0.0,0.5130485543218221
CPI_n,300,4.1141111850738525,0.5287518816404555,0.0,0.7442802494474092,0.0,0.7099466860979897,0.0,0.3377566700923388,0.0,0.3419896026284296,0.0,0.4146444691448159,0.0,0.7264113870029858,0.0,0.3774111210205995,0.0,0.45861358299470395,0.0,0.458104057598666,0.0,0.6074906989074816,0.0,0.5410381153782451,0.0,0.4645117889534784,0.0,0.3479599102942389,0.0,0.45002027860938854,0.0,0.4714903445531847,0.0,0.720270021665264,0.0,0.7075299935737833,0.0,0.567747111745216,0.0,0.3823440161292765,0.0,0.5934391703651924,0.0,0.36919919983596194,0.0,0.6094306156707823,0.0,0.5288139554320158,0.0,0.5960174109200391,0.0,0.5164457212324435,0.0,0.5314293079214207,0.0,0.47603855166283254,0.0,0.4278984153570537,0.0,0.5704460238941361,0.0,0.35794198092323126,0.0,0.3987144937283552,0.0,0.6047369394876149,0.0,0.41100368276122956,0.0,0.6151034685825947,0.0,0.6549864289233036,0.0,0.5758977503579573,0.0,0.4579269264854643,0.0,0.6550181854369466,0.0,0.3289876242834686,1.0,0.4023257469236091,0.0,0.24529683214540898,0.0,0.47903942884084894,0.0,0.6091460160386448,0.0,0.4098944966041206,0.0,0.5245011722663173,0.0,0.601843789712817,0.0,0.698027044595706,0.0,0.508076377053341,0.0,0.7288148954093859,0.0,0.3409895689221498
CPI_bt,300,4.304772615432739,0.5287518816404555,0.0,0.5283051044882728,0.0,0.301182139559275,0.0,0.32131595935604496,0.0,0.17824265373077464,0.0,0.37786303150609735,0.0,0.6330164127794939,0.0,0.5206260825111828,0.0,0.13594403549191053,0.0,0.5398186606465923,0.0,0.5118856910802292,0.0,0.6892275215936466,0.0,0.38414154103261267,0.0,0.6280220544706108,0.0,0.6611775481547943,0.0,0.5818889560715678,0.0,0.7356834894812396,0.0,0.3822450068369892,0.0,0.8145351102606733,0.0,0.5010941843027704,0.0,0.7278687084218729,0.0,0.603047017856184,0.0,0.6075947025251821,0.0,0.5706520707683871,0.0,0.781571819941752,0.0,0.5637034493113644,0.0,0.26602671423881263,0.0,0.3075501583082205,0.0,0.48240866869624976,0.0,0.14701551862329754,0.0,0.3139608929429032,0.0,0.5753809133983372,0.0,0.4008094147492962,0.0,0.31163348978896177,0.0,0.5483896876727195,0.0,0.703305242412173,0.0,0.4029219999333397,0.0,0.6227538427580197,0.0,0.4863231602969876,0.0,0.2495341371623327,1.0,0.5431345413532864,0.0,0.10866732112626665,0.0,0.6682134761725427,0.0,0.5778285764725224,0.0,0.6115757542579561,0.0,0.5014756362092712,0.0,0.6502937260521902,0.0,0.9034165917207417,0.0,0.4720699012126811,0.0,0.7657399829883719,0.0,0.8940328728002209
CPI_sqd,300,4.304192781448364,0.5287518816404555,0.0,1.4200838116128346e-64,0.0,0.580639587094951,0.0,4.868270868403562e-147,0.0,0.00543416429000736,0.0,5.3595541632856e-122,0.0,0.9998245778160975,0.0,7.763476274041201e-57,0.0,0.0,0.0,1.264898692234211e-120,0.0,1.0,0.0,9.40097776138436e-81,0.0,2.237763020510046e-22,0.0,0.0,0.0,3.288063615401769e-126,0.0,1.0,0.0,9.295453173965103e-09,0.0,1.0,0.0,1.0,0.0,6.023990447791256e-121,0.0,1.0,0.0,9.883850813094973e-14,0.0,0.999999999904108,0.0,1.0,0.0,1.0,0.0,2.6951953124024336e-83,0.0,1.0,0.0,2.3360174621616332e-85,0.0,9.010571243558e-311,0.0,0.0,0.0,0.0,0.0,3.713086917790516e-174,0.0,1.0,0.0,4.952472701787785e-297,0.0,1.0,0.0,1.0,0.0,9.903089299036757e-31,0.0,1.0,0.0,1.0,0.0,0.5868564342771418,1.0,8.140473074960721e-07,0.0,0.0,0.0,9.279325245388272e-55,0.0,1.0,0.0,0.9999999826113113,0.0,0.9908257010275556,0.0,1.0,0.0,8.088713458801132e-288,0.0,7.965370619808285e-33,0.0,1.0,0.0,2.0435418839468517e-280
S-CPI,300,4.284983396530151,0.5287518816404555,0.0,0.7636308117777019,0.0,0.7959914075910905,0.0,0.6557627625852444,0.0,0.4233594158188876,0.0,0.4567102870252571,0.0,0.8124804559073269,0.0,0.8979495340403192,0.0,0.3587824293056748,0.0,0.5942195161322039,0.0,0.7936218350969209,0.0,0.5945208803505267,0.0,0.4061377889203138,0.0,0.5579020800992419,0.0,0.7556211485509954,0.0,0.7381182172772591,0.0,0.946714031772601,0.0,0.8349474297292114,0.0,0.7481872662377334,0.0,0.6157428634513527,0.0,0.6677652668386301,0.0,0.6972785698759786,0.0,0.8165047980545302,0.0,0.7826209770029333,0.0,0.7086186726025787,0.0,0.7944610290558455,0.0,0.47157693815127244,0.0,0.7512964043653237,0.0,0.08828614560229553,0.0,0.10933016901942777,0.0,0.6241663826210856,0.0,0.1805588756699345,0.0,0.9831523853545086,0.0,0.7502925079259783,0.0,0.7669825602479656,0.0,0.8999580027902039,0.0,0.28460617122184784,0.0,0.8753116805105072,0.0,0.9016871007205483,0.0,0.19348382179657708,1.0,0.20884748709185863,0.0,0.08858953496733535,0.0,0.9835217138050195,0.0,0.8645865915451925,0.0,0.9443008980428395,0.0,0.7468202344256685,0.0,0.9093338812909374,0.0,0.911485664043163,0.0,0.7499864258200396,0.0,0.9698198986820402,0.0,0.7962280787907222
S-CPI_sqrt,300,4.27486515045166,0.5287518816404555,0.0,0.5384157863906853,0.0,0.5200961377486923,0.0,0.4953872868022159,0.0,0.5223250942687714,0.0,0.5182524298690269,0.0,0.5215511706942964,0.0,0.515768380555264,0.0,0.47353815072358824,0.0,0.5169808391083868,0.0,0.5700146993088939,0.0,0.4882540669035832,0.0,0.5020383180098147,0.0,0.5155424390032182,0.0,0.5173723433492559,0.0,0.5168650819834477,0.0,0.5350184134512698,0.0,0.5445825137439642,0.0,0.5460779773064175,0.0,0.5271671337726961,0.0,0.5175038476464323,0.0,0.5257505427340788,0.0,0.5233989898373376,0.0,0.5293932876822178,0.0,0.5486014554244428,0.0,0.5039407607320237,0.0,0.49609362348348296,0.0,0.5055173554298518,0.0,0.472179951859663,0.0,0.47643802996141305,0.0,0.5196645507058681,0.0,0.4961536842065026,0.0,0.6026715244552714,0.0,0.549694864631841,0.0,0.5295486429654811,0.0,0.5500578424254399,0.0,0.4940228361780504,0.0,0.5474580371138663,0.0,0.5408311941967767,0.0,0.4916085125804903,1.0,0.49440080032916195,0.0,0.443298883743327,0.0,0.5706736504067655,0.0,0.5309615629941093,0.0,0.5108731996206355,0.0,0.5088718910735985,0.0,0.5612854219121933,0.0,0.5469882404436922,0.0,0.5229967741951261,0.0,0.5565831295929178,0.0,0.5299559192707667
S-CPI_n,300,4.1960742473602295,0.5287518816404555,0.0,0.6077290988346352,0.0,0.591176937203097,0.0,0.574811323562525,0.0,0.4297294096820361,0.0,0.6170921110605059,0.0,0.6749077766640524,0.0,0.6177526255891734,0.0,0.4032922671378678,0.0,0.4801534303677749,0.0,0.6725567836580754,0.0,0.7036023652196044,0.0,0.5017388630565761,0.0,0.4737180369367861,0.0,0.5568039507031589,0.0,0.5032740409050519,0.0,0.6628909669611304,0.0,0.6351936085134394,0.0,0.747201781946252,0.0,0.5622508227858065,0.0,0.5932001130606636,0.0,0.5502599555302945,0.0,0.6152602068975364,0.0,0.7215278435870572,0.0,0.7750925498709874,0.0,0.46851951306085954,0.0,0.5230055400166089,0.0,0.5192495987045542,0.0,0.3291017178877502,0.0,0.31661538694783575,0.0,0.6063410825891209,0.0,0.35666731882570774,0.0,0.9133228201718908,0.0,0.6939042138703555,0.0,0.5854521756334828,0.0,0.7487752441069061,0.0,0.5086851092604274,0.0,0.6746578824932261,0.0,0.6592113879046693,0.0,0.3859049548026174,1.0,0.38083590261425754,0.0,0.16955137925041486,0.0,0.6877817600375327,0.0,0.6870497828450368,0.0,0.6487827266022509,0.0,0.6132974581175537,0.0,0.7779252287610372,0.0,0.7223702490589408,0.0,0.6629747766686194,0.0,0.8271877906366399,0.0,0.6512939981605639
S-CPI_bt,300,4.393545627593994,0.5287518816404555,0.0,0.8138954177851578,0.0,0.6041861601219706,0.0,0.3512186256074933,0.0,0.433247296621061,0.0,0.6292050601543949,0.0,0.5251460698212846,0.0,0.7125739166275646,0.0,0.1744989972341956,0.0,0.5876640484771629,0.0,0.8312357453102595,0.0,0.8419334921957693,0.0,0.4028354672017857,0.0,0.4467422837339329,0.0,0.653803177081934,0.0,0.6892845729584061,0.0,0.8313126598027701,0.0,0.7221601363592236,0.0,0.8559231264463583,0.0,0.5728280800393425,0.0,0.7150590303783073,0.0,0.6250035522049153,0.0,0.6679991804919237,0.0,0.8363839838427123,0.0,0.8868837451955649,0.0,0.6172846114137163,0.0,0.32169307254851365,0.0,0.5068772001139031,0.0,0.12443118895692429,0.0,0.24142930916164773,0.0,0.7883632882023502,0.0,0.2633906698407426,0.0,0.9984646091928558,0.0,0.9895464023777149,0.0,0.9022767876997868,0.0,0.7463195459269858,0.0,0.5294765967973127,0.0,0.8820672960008336,0.0,0.8903939402755292,0.0,0.2749527136040351,1.0,0.44439317537393663,0.0,0.13317258136509724,0.0,0.9857504167839382,0.0,0.8565622185630992,0.0,0.5209491437427766,0.0,0.668858057736686,0.0,0.8843691086875494,0.0,0.9125908196277159,0.0,0.8594015989195776,0.0,0.9108024607784915,0.0,0.5935188144931626
