method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,125.01784491539001,0.7755781171342166,0.0,0.7750196217917205,0.0,0.6917167959923863,0.0,0.6994146044262902,0.0,0.1445354171862978,0.0,0.39563773622049103,0.0,0.1464099207388485,0.0,0.5029943482281136,0.0,0.2062283855384135,0.0,0.48798321585906124,0.0,0.30947905063623904,0.0,0.5609695535901696,0.0,0.5589296519149305,0.0,0.42982247964810405,0.0,0.4174799443099939,0.0,0.9342750125333681,0.0,0.9953527216680145,0.0,0.0077687854027981285,0.0,0.43410781410061083,0.0,0.520391214596719,0.0,0.4097431816621945,0.0,0.9933379876617144,0.0,0.37480502118567993,0.0,0.01767699184268401,0.0,0.8828755547301995,0.0,0.04598559723972406,0.0,0.661698397487257,0.0,0.0846402751394616,0.0,0.05635770631244952,1.0,0.6029587119686888,0.0,0.14685793799974234,0.0,0.9967191975737781,0.0,0.11730190412273322,0.0,0.8740875052125368,0.0,0.22121674584501738,0.0,0.35444404002443897,0.0,0.05883316533531879,0.0,0.9138153155011622,0.0,0.968225882064093,0.0,0.1329929334482619,0.0,0.4500351817337451,0.0,0.002366627672357069,0.0,0.7254545975923787,0.0,0.08308776188485423,0.0,0.08271034539164934,0.0,0.5274943936601424,0.0,0.9995734571077526,0.0,0.6088269615315456,0.0,0.4038429320997563,0.0,0.01418647314763044,0.0,0.0805050949820828
CPI,300,6.92039942741394,0.7755781171342166,0.0,0.17848714009404976,0.0,0.6961372047884272,0.0,0.5370416314625095,0.0,0.6312035707122406,0.0,0.8822198753314983,0.0,0.7613163777010595,0.0,0.9241270682576519,0.0,0.05992147938789022,0.0,0.6587328850934043,0.0,0.08312139212314412,0.0,0.9393757080649001,0.0,0.7184822743987376,0.0,0.44017093381024475,0.0,0.11574883852860757,0.0,0.35390242588689924,0.0,0.6986583744941586,0.0,0.8220333600240142,0.0,0.11808067989608168,0.0,0.6708806671016205,0.0,0.030508240769886643,0.0,0.13341861987875986,0.0,0.2599014839551008,0.0,0.03410819848207322,0.0,0.8657680331022444,0.0,0.536360387274505,0.0,0.7593858570738841,0.0,0.499952334464086,0.0,0.49554904541535744,1.0,0.9505416462053882,0.0,0.7493036808534246,0.0,0.18333828280951658,0.0,0.2161274766789707,0.0,0.861586676043167,0.0,0.12874220329257385,0.0,0.5604781277065174,0.0,0.986563910811597,0.0,0.5887108302828405,0.0,0.936265161535496,0.0,0.05441904510588371,0.0,0.06595468046583092,0.0,0.4806667253748024,0.0,0.7322890812322197,0.0,0.3121171207995248,0.0,0.39135120738980167,0.0,0.924813199536113,0.0,0.9736801232520882,0.0,0.9316076770113798,0.0,0.9881464364869847,0.0,0.9873110349218286,0.0,0.097242299633305
CPI_sqrt,300,6.80644416809082,0.7755781171342166,0.0,0.49559682608574634,0.0,0.49914572918874267,0.0,0.49714111203189465,0.0,0.5004783597472975,0.0,0.5010882840469721,0.0,0.5031444970803649,0.0,0.5022733236913545,0.0,0.4992371217376642,0.0,0.49877387130662276,0.0,0.5018359675758901,0.0,0.499334975908914,0.0,0.49897265777254335,0.0,0.5029878452874535,0.0,0.4968943433854324,0.0,0.4988484263179953,0.0,0.49760650241472465,0.0,0.5007016804364027,0.0,0.4982560757237116,0.0,0.5004762760422451,0.0,0.49897700195421124,0.0,0.5005663588296022,0.0,0.4934729308254889,0.0,0.49912584018167017,0.0,0.5030427613747676,0.0,0.4954214748236419,0.0,0.5028314688088683,0.0,0.49941847514901405,0.0,0.4928069231341208,1.0,0.5112866459863143,0.0,0.5011468364920783,0.0,0.5003281204065673,0.0,0.49928409569828414,0.0,0.5011033682389529,0.0,0.5010548097975788,0.0,0.497856285455353,0.0,0.5025705045883391,0.0,0.4980440595718153,0.0,0.500778766842597,0.0,0.4976288189679473,0.0,0.4983463401512943,0.0,0.49949174787180345,0.0,0.4964428928178193,0.0,0.49998578254474046,0.0,0.5000518013847971,0.0,0.5013205003534913,0.0,0.5010241663905108,0.0,0.501930836377382,0.0,0.503862850328918,0.0,0.5025984941600654,0.0,0.4957201027877986
CPI_n,300,6.79754114151001,0.7755781171342166,0.0,0.4431147155275168,0.0,0.48284315916500964,0.0,0.4714356037490695,0.0,0.5032049135393656,0.0,0.5201362247618903,0.0,0.507150642981619,0.0,0.5171319077032944,0.0,0.4925507734119564,0.0,0.48959967915032143,0.0,0.4974183239942753,0.0,0.5026617965910377,0.0,0.49330784600865457,0.0,0.4558930229639132,0.0,0.4966522734628282,0.0,0.4846575262451501,0.0,0.5336404415130197,0.0,0.514792926026362,0.0,0.49029904370818217,0.0,0.5403581283458675,0.0,0.5037404513641838,0.0,0.5027381990016405,0.0,0.4841426429570679,0.0,0.49278797886715686,0.0,0.5029255731053133,0.0,0.4983680342392204,0.0,0.5333961393596521,0.0,0.4646524673245537,0.0,0.40230443417229395,1.0,0.7252906646301889,0.0,0.5411221758041137,0.0,0.4856340395505215,0.0,0.48197114127138996,0.0,0.49883475015276535,0.0,0.5124574247273881,0.0,0.49742331232263365,0.0,0.5125793138486374,0.0,0.5100449970850978,0.0,0.5675605537299623,0.0,0.5057582428790504,0.0,0.49848146517690256,0.0,0.5231812903825832,0.0,0.4879751918192455,0.0,0.48100690833885373,0.0,0.5027638235284606,0.0,0.4896167458599075,0.0,0.5156042024893822,0.0,0.5384708447594848,0.0,0.5132269623456637,0.0,0.5366765779510277,0.0,0.4859513074658368
CPI_bt,300,6.978964805603027,0.7755781171342166,0.0,0.46230744417027897,0.0,0.5174028494968863,0.0,0.5202123291853502,0.0,0.49360303427926794,0.0,0.5150978799435102,0.0,0.5017153724263688,0.0,0.5235471629641134,0.0,0.49099647912892225,0.0,0.4796738968536172,0.0,0.5106229665863369,0.0,0.49186134139899607,0.0,0.5096334564698505,0.0,0.46961129526700196,0.0,0.48989105223655066,0.0,0.4829545745286733,0.0,0.5043884115438096,0.0,0.5212144915253747,0.0,0.4841941139045297,0.0,0.5025130732462453,0.0,0.5119507639164131,0.0,0.5009564301072229,0.0,0.4562681611325255,0.0,0.4930022517589515,0.0,0.527262285239544,0.0,0.4746944945280786,0.0,0.49267265148592015,0.0,0.4842096047918415,0.0,0.29127407063748084,1.0,0.4638218331510002,0.0,0.4462458109361612,0.0,0.4898744166849554,0.0,0.4995137172597003,0.0,0.4948659553170505,0.0,0.5077254423814483,0.0,0.510428152373541,0.0,0.5164178823107465,0.0,0.48698205076528633,0.0,0.530779941074901,0.0,0.4936620474200877,0.0,0.4943652734866014,0.0,0.5147114168311273,0.0,0.4874904910594563,0.0,0.48462080590517326,0.0,0.4918200692697095,0.0,0.47215178202396546,0.0,0.5189152185512697,0.0,0.5107663656181196,0.0,0.5347245776825762,0.0,0.510761398763947,0.0,0.5122117142269771
CPI_sqd,300,6.967822551727295,0.7755781171342166,0.0,0.00013077828478567723,0.0,0.8252213074573193,0.0,0.12139776983238232,0.0,1.9291037056631946e-10,0.0,0.8542346089381984,0.0,0.9999970777924693,0.0,0.5815145193838782,0.0,0.0003812990765487457,0.0,0.4052406060106557,0.0,0.6118158531634001,0.0,0.6741800767225362,0.0,0.07703903053464246,0.0,1.5926248844325113e-05,0.0,0.3079341669829197,0.0,1.1971719289682248e-12,0.0,0.1233634025404663,0.0,0.21360775372615715,0.0,0.055173109309926895,0.0,0.9999999998389693,0.0,0.31183830173221205,0.0,0.0016203095385360828,0.0,8.617596473058898e-65,0.0,4.201400216433645e-07,0.0,1.0,0.0,1.499050001235673e-75,0.0,0.9999973257198238,0.0,0.0051271934861332105,0.0,5.9437407152569914e-285,1.0,1.0,0.0,1.0,0.0,0.004584894242497761,0.0,0.5533700226946732,0.0,0.2719977441650817,0.0,4.295317035634709e-23,0.0,0.9965922563768722,0.0,1.0,0.0,0.019954171183700003,0.0,0.9987503824970986,0.0,0.00238290588946279,0.0,0.03265704096769552,0.0,0.9999950166870647,0.0,0.7559196261646117,0.0,7.649994414761578e-05,0.0,0.19628187586039142,0.0,0.009830639850744506,0.0,0.9999999999521243,0.0,0.8859180698877629,0.0,0.9999994196384663,0.0,0.9998538016967716,0.0,0.00047019787344075424
S-CPI,300,19.018754720687866,0.7755781171342166,0.0,0.08096582129444219,0.0,0.3443601718394036,0.0,0.3540191797477493,0.0,0.37963980733359803,0.0,0.8494961199302253,0.0,0.9361192071545688,0.0,0.7258413935363612,0.0,0.02103455377649422,0.0,0.3845770659976122,0.0,0.32889477365005126,0.0,0.5867571769101689,0.0,0.14152025028983822,0.0,0.6020953739917134,0.0,0.27153405184672486,0.0,0.10318064580509284,0.0,0.590794784377145,0.0,0.7992785780236931,0.0,0.04568223870220929,0.0,0.8628971434641104,0.0,0.2660055107960154,0.0,0.38006044275806045,0.0,0.02429646060017639,0.0,0.10409488267258493,0.0,0.9527227829126576,0.0,0.04846488918938368,0.0,0.8880179016893486,0.0,0.2892214987571134,0.0,0.272890590556196,1.0,0.9892680123142705,0.0,0.7478079096115314,0.0,0.47528374028872555,0.0,0.10788425377795507,0.0,0.518280789901247,0.0,0.43690356076167336,0.0,0.5282676662819714,0.0,0.9462555083069926,0.0,0.2577872747014995,0.0,0.8830023550944797,0.0,0.37484748838080806,0.0,0.1204451313280267,0.0,0.6907276026585187,0.0,0.44293111670692564,0.0,0.16302397440103916,0.0,0.49774110805933464,0.0,0.5727034635187376,0.0,0.9897008867849256,0.0,0.8925713813550762,0.0,0.9868945755288655,0.0,0.8601401842223069,0.0,0.13749950909542363
S-CPI_sqrt,300,19.02083110809326,0.7755781171342166,0.0,0.4957139380752064,0.0,0.49917037195841246,0.0,0.49778157780471044,0.0,0.4973803325854741,0.0,0.5014463636760397,0.0,0.5026638423323301,0.0,0.5020989491835479,0.0,0.498111387474671,0.0,0.4997664309591196,0.0,0.4997628825292544,0.0,0.5013960664890889,0.0,0.5002432104751703,0.0,0.49786787720352005,0.0,0.4977178219984397,0.0,0.49832739028500406,0.0,0.5027750824992333,0.0,0.5017017495394035,0.0,0.4979599531618821,0.0,0.5051095612932059,0.0,0.49947174207437295,0.0,0.4983221809198526,0.0,0.49379500994065584,0.0,0.4980412364692856,0.0,0.504348843783113,0.0,0.4916117060316536,0.0,0.5086910158597001,0.0,0.5008439795103494,0.0,0.4892753629542013,1.0,0.5554945904700757,0.0,0.505581561049127,0.0,0.4989275634714125,0.0,0.497917642841572,0.0,0.49992463122144065,0.0,0.5011778040323597,0.0,0.5009754557046762,0.0,0.5055896889958575,0.0,0.4990920057581827,0.0,0.5095498568857237,0.0,0.4981167265252563,0.0,0.49948029309350356,0.0,0.5012869487898208,0.0,0.49963157346763826,0.0,0.4985137728938696,0.0,0.49967096609804956,0.0,0.5012383394835439,0.0,0.5041844779372957,0.0,0.504247714266257,0.0,0.5053855842510047,0.0,0.5023825080925803,0.0,0.49753147446217333
S-CPI_n,300,19.008188009262085,0.7755781171342166,0.0,0.47995156935917993,0.0,0.4965438715197339,0.0,0.5029811309416283,0.0,0.48154048064278415,0.0,0.5094254883751167,0.0,0.5142212041130099,0.0,0.5140784243482694,0.0,0.48536106729181355,0.0,0.4862272975095353,0.0,0.48557190216525087,0.0,0.5147811121955157,0.0,0.4937392658565205,0.0,0.49174656236153846,0.0,0.48301670315798073,0.0,0.4811668034841925,0.0,0.5421909763538072,0.0,0.5192464690477676,0.0,0.48242394758830226,0.0,0.5346476347861132,0.0,0.47166748306082495,0.0,0.4946916839516077,0.0,0.44344252337781837,0.0,0.4696960547877546,0.0,0.5548253010582924,0.0,0.4401946369863442,0.0,0.5778475711171455,0.0,0.46234987916258674,0.0,0.46107934567484576,1.0,0.7815588266252211,0.0,0.5448695152878643,0.0,0.4831706156916701,0.0,0.46919401878009015,0.0,0.5059671545151686,0.0,0.49350023368913837,0.0,0.499938465304502,0.0,0.5432021731764957,0.0,0.5001111855362023,0.0,0.5743883895059955,0.0,0.48301246263731734,0.0,0.4852062459098193,0.0,0.5023707213077803,0.0,0.4882568776192412,0.0,0.4864125116278278,0.0,0.4996454986149198,0.0,0.524061100237306,0.0,0.5417674657941942,0.0,0.5292833311951266,0.0,0.5585424405225613,0.0,0.520373358574275,0.0,0.46985865292461015
S-CPI_bt,300,19.252020835876465,0.7755781171342166,0.0,0.47135844120812387,0.0,0.4896226046937912,0.0,0.48585921126590603,0.0,0.495415616021033,0.0,0.5101670365976867,0.0,0.5355286785813458,0.0,0.5050920821734903,0.0,0.4785155767298995,0.0,0.49962822470006846,0.0,0.49601527406973644,0.0,0.5168402350747214,0.0,0.4952622086601133,0.0,0.4402494921603546,0.0,0.4930572725944082,0.0,0.47466656098665716,0.0,0.5140112597697722,0.0,0.5263081659016035,0.0,0.4884560006504083,0.0,0.5336783104935762,0.0,0.47769479971021056,0.0,0.4786037983006312,0.0,0.4334439055314634,0.0,0.4695484370873779,0.0,0.5647651870994371,0.0,0.4386583887138564,0.0,0.5628517002013418,0.0,0.4805890203024397,0.0,0.37553373756430963,1.0,0.8890521235618074,0.0,0.5715385075009372,0.0,0.48435632802808265,0.0,0.4768284947351273,0.0,0.5001841445068904,0.0,0.48176304390582436,0.0,0.5089032266496337,0.0,0.5566657983101904,0.0,0.4918366512596579,0.0,0.5647797395104507,0.0,0.47876516747332293,0.0,0.4805014683789353,0.0,0.5099632463174741,0.0,0.49308413551099606,0.0,0.47405857919034683,0.0,0.5010456383781434,0.0,0.5054021078775135,0.0,0.5455880938500803,0.0,0.5398497552972796,0.0,0.5553728939866962,0.0,0.5342566299249298,0.0,0.4750037089178832
